name,test_pretraining/micro/precision/mean,test_incremental_only/macro_types/f1/mean,test_incremental/macro_example_exclusive/f1/mean,test/macro_example/recall/mean,test_pretraining/macro_types/f1/mean,test_incremental_location-geography/macro_types/f1/mean,test_incremental_only/macro_example/recall/mean,test_incremental_only/micro/f1/mean,test_incremental_location-geography-island/macro_types/f1/mean,test_incremental/macro_example_exclusive/recall/mean,test_incremental_location-geography-mountain/macro_types/f1/mean,test_incremental_location-geography-body_of_water/macro_types/precision/mean,test_pretraining/micro/recall/mean,test_incremental_only/micro/precision/mean,test_incremental_only/macro_example_exclusive/precision/mean,test_incremental_location-geography-island/macro_types/recall/mean,test/macro_example/f1/mean,test_incremental_only/macro_example_exclusive/recall/mean,test/macro_types/f1/mean,threshold_pretraining/mean,test_incremental_only/macro_types/recall/mean,test_incremental_location-geography/macro_types/recall/mean,test_pretraining/macro_example/recall/mean,test_pretraining/macro_example/precision/mean,test/micro/precision/mean,test/macro_example/precision/mean,test_incremental/micro/recall/mean,test/micro/recall/mean,test_incremental/macro_example/recall/mean,test_incremental_only/macro_example/f1/mean,test_incremental/macro_example/precision/mean,test_incremental_location-geography/macro_types/precision/mean,test_incremental/macro_example/f1/mean,test_incremental_only/micro/recall/mean,test_incremental_location-geography-body_of_water/macro_types/f1/mean,test_incremental_location-geography-body_of_water/macro_types/recall/mean,test_incremental/macro_types/precision/mean,test_incremental_location-geography-island/macro_types/precision/mean,test_pretraining/macro_types/recall/mean,test_pretraining/micro/f1/mean,test/macro_types/precision/mean,epoch/mean,test/micro/f1/mean,test_incremental/micro/f1/mean,test_incremental_only/macro_types/precision/mean,test_incremental_location-geography-mountain/macro_types/precision/mean,test_incremental/micro/precision/mean,test_pretraining/macro_example/f1/mean,test_incremental/macro_types/recall/mean,test_incremental_only/macro_example/precision/mean,threshold_incremental/mean,test/macro_types/recall/mean,test_incremental_only/macro_example_exclusive/f1/mean,test_pretraining/macro_types/precision/mean,test_incremental/macro_example_exclusive/precision/mean,test_incremental_location-geography-mountain/macro_types/recall/mean,test_incremental/macro_types/f1/mean,test_pretraining/micro/precision/std,test_incremental_only/macro_types/f1/std,test_incremental/macro_example_exclusive/f1/std,test/macro_example/recall/std,test_pretraining/macro_types/f1/std,test_incremental_location-geography/macro_types/f1/std,test_incremental_only/macro_example/recall/std,test_incremental_only/micro/f1/std,test_incremental_location-geography-island/macro_types/f1/std,test_incremental/macro_example_exclusive/recall/std,test_incremental_location-geography-mountain/macro_types/f1/std,test_incremental_location-geography-body_of_water/macro_types/precision/std,test_pretraining/micro/recall/std,test_incremental_only/micro/precision/std,test_incremental_only/macro_example_exclusive/precision/std,test_incremental_location-geography-island/macro_types/recall/std,test/macro_example/f1/std,test_incremental_only/macro_example_exclusive/recall/std,test/macro_types/f1/std,threshold_pretraining/std,test_incremental_only/macro_types/recall/std,test_incremental_location-geography/macro_types/recall/std,test_pretraining/macro_example/recall/std,test_pretraining/macro_example/precision/std,test/micro/precision/std,test/macro_example/precision/std,test_incremental/micro/recall/std,test/micro/recall/std,test_incremental/macro_example/recall/std,test_incremental_only/macro_example/f1/std,test_incremental/macro_example/precision/std,test_incremental_location-geography/macro_types/precision/std,test_incremental/macro_example/f1/std,test_incremental_only/micro/recall/std,test_incremental_location-geography-body_of_water/macro_types/f1/std,test_incremental_location-geography-body_of_water/macro_types/recall/std,test_incremental/macro_types/precision/std,test_incremental_location-geography-island/macro_types/precision/std,test_pretraining/macro_types/recall/std,test_pretraining/micro/f1/std,test/macro_types/precision/std,epoch/std,test/micro/f1/std,test_incremental/micro/f1/std,test_incremental_only/macro_types/precision/std,test_incremental_location-geography-mountain/macro_types/precision/std,test_incremental/micro/precision/std,test_pretraining/macro_example/f1/std,test_incremental/macro_types/recall/std,test_incremental_only/macro_example/precision/std,threshold_incremental/std,test/macro_types/recall/std,test_incremental_only/macro_example_exclusive/f1/std,test_pretraining/macro_types/precision/std,test_incremental/macro_example_exclusive/precision/std,test_incremental_location-geography-mountain/macro_types/recall/std,test_incremental/macro_types/f1/std
no_init_box_kenn_bottom_up_adapter_bert_ms,0.8492041230201721,0.560419499874115,0.47132038076718646,0.8008294502894083,0.7029124895731608,0.6153846383094788,0.01759578970571359,0.5628237724304199,0.2935495475927989,0.4203703999519348,0.5190635820229849,1.0,0.7867028911908468,0.9729729692141215,0.3962963322798411,0.17777778456608453,0.8285723328590393,0.3962963322798411,0.7029124895731608,0.26,0.39629630247751874,0.4444444477558136,0.8008294502894083,0.8583064874013265,0.8492041230201721,0.8583064874013265,0.4203703701496124,0.7867028911908468,0.018664692838986717,0.01759578970571359,0.0238447617739439,1.0,0.0209269014497598,0.39629630247751874,0.7787833015124003,0.6444444457689921,0.9694444338480631,0.9444444378217062,0.6514767011006674,0.8167595267295837,0.7631728251775106,55.0,0.8167595267295837,0.5895304282506307,0.9592592716217041,0.9333333373069763,0.9870129823684692,0.8285723328590393,0.4083333412806193,0.01759578970571359,0.023333333333333334,0.6514767011006674,0.3962963322798411,0.7631728251775106,0.5370370944341024,0.3666666845480601,0.5743742187817892,0.00036227761934162946,0.03961066851929783,0.026219613921156307,0.00048701226138341886,0.0025496029326235294,0.0,0.0014241499319911938,0.036798087217918427,0.1203945389501255,0.01603749791839024,0.15599491554544984,0.0,0.0005601020444232514,0.04681219049886983,0.03207501304315934,0.08388705562954368,0.00035953905619113614,0.03207501304315934,0.0025496029326235294,0.0,0.03207501304315934,0.0,0.00048701226138341886,0.0003322895884093818,0.00036227761934162946,0.0003322895884093818,0.01603749791839024,0.0005601020444232514,0.0007120752348451113,0.0014241499319911938,0.001993809658981873,0.0,0.001164165115060715,0.03207501304315934,0.09775258785513956,0.12619796621381477,0.05292379302918642,0.09622505633585687,0.001924499061951683,0.0004331677166957212,0.004233870406087536,1.7320508075688772,0.0004331677166957212,0.018083247258630846,0.0705650114885717,0.1154700469553736,0.022494174376604184,0.00035953905619113614,0.024056264083968833,0.0014241499319911938,0.015275252316519466,0.001924499061951683,0.03207501304315934,0.004233870406087536,0.04490504775707275,0.14529663988380587,0.02961741316815221
no_init_box_kenn_hybrid_adapter_bert_ms,0.8491936127344767,0.5567858219146729,0.46874194343884784,0.8007746338844299,0.7027830878893534,0.6153846383094788,0.017431342974305153,0.559190054734548,0.2935495475927989,0.4185185531775157,0.5094017287095388,1.0,0.7866382201512655,0.9729729692141215,0.3925926287968953,0.17777778456608453,0.8285302321116129,0.3925926287968953,0.7027830878893534,0.26,0.3925926287968953,0.4444444477558136,0.8007746338844299,0.8582790891329447,0.8491936127344767,0.8582790891329447,0.4185185233751933,0.7866382201512655,0.018582469473282497,0.017431342974305153,0.023680315042535465,1.0,0.020812418311834335,0.39259259899457294,0.7787833015124003,0.6444444457689921,0.9694444338480631,0.9444444378217062,0.6512544552485148,0.8167198101679484,0.7631728251775106,54.0,0.8167198101679484,0.5877346197764078,0.9592592716217041,0.9333333373069763,0.9870129823684692,0.8285302321116129,0.4055555562178294,0.017431342974305153,0.023333333333333334,0.6512544552485148,0.3925926287968953,0.7631728251775106,0.5333333810170492,0.35555556416511536,0.5716647704442342,0.0003502187163283684,0.03356249768756638,0.02223714243780939,0.00039217232392467055,0.002375926150114053,0.0,0.0011393198380532244,0.030622610208460847,0.1203945389501255,0.012830005217263738,0.13962788613353408,0.0,0.0004480885180901439,0.04681219049886983,0.025660010434527467,0.08388705562954368,0.0002920850575783991,0.025660010434527467,0.002375926150114053,0.0,0.025660010434527467,0.0,0.00039217232392467055,0.00031128684422467495,0.0003502187163283684,0.00031128684422467495,0.012830005217263738,0.0004480885180901439,0.0005696601878760882,0.0011393198380532244,0.001778762333317119,0.0,0.000987342642145743,0.025660010434527467,0.09775258785513956,0.12619796621381477,0.05292379302918642,0.09622505633585687,0.0015395579542520847,0.00036774856485928753,0.004233870406087536,1.7320508075688772,0.00036774856485928753,0.01503969699044125,0.0705650114885717,0.1154700469553736,0.022494174376604184,0.0002920850575783991,0.01924499922271195,0.0011393198380532244,0.015275252316519466,0.0015395579542520847,0.025660010434527467,0.004233870406087536,0.04006169498198089,0.1261979557180213,0.025123197737192945
no_init_box_kenn_top_down_adapter_bert_ms,0.8486416737238566,0.5977237820625305,0.5028124153614044,0.8015557527542114,0.7032737135887146,0.6153846383094788,0.019898042703668278,0.5964447061220804,0.3404918412367503,0.4462963243325551,0.5985051592191061,0.9583333333333334,0.7876083254814148,0.8965217272440592,0.44814818104108173,0.2222222313284874,0.828647514184316,0.44814818104108173,0.7032737135887146,0.26,0.4481481711069743,0.4444444477558136,0.8015557527542114,0.8576350013415018,0.8486416737238566,0.8576350013415018,0.44629629453023273,0.7876083254814148,0.019815819958845775,0.019898042703668278,0.025571451832850773,1.0,0.022325167432427406,0.44814815123875934,0.7731946309407552,0.6555555661519369,0.9273122946421305,0.8974359035491943,0.6545877655347189,0.8169865409533182,0.759802242120107,55.0,0.8169865409533182,0.6056294838587443,0.9030830462773641,0.8534798622131348,0.943410853544871,0.828647514184316,0.4472222328186035,0.019898042703668278,0.023333333333333334,0.6545877655347189,0.4481481909751892,0.759802242120107,0.5759259859720866,0.46666667858759564,0.6027277509371439,0.0007995719705430071,0.01689837466230159,0.00357681208012891,4.112720489501953e-05,0.0023219091949241203,0.0,0.00028482901853936943,0.016450826169729364,0.1374208664001677,0.003207492701126515,0.09244101411500724,0.07216878364870323,0.00011201352633310747,0.09297844838438885,0.006415002608631875,0.10715168148312852,0.00038404079005264856,0.006415002608631875,0.0023219091949241203,0.0,0.006414985402322233,0.0,4.112720489501953e-05,0.0008435314322639886,0.0007995719705430071,0.0008435314322639886,0.003207492701126515,0.00011201352633310747,0.00014241504696902235,0.00028482901853936943,0.000620772797777571,0.0,0.0001588130342539257,0.006415002608631875,0.07535540845724668,0.10715166255469387,0.07332539836921861,0.17764622608519018,0.00038490669494186015,0.0003280075301441596,0.005866013713791475,2.6457513110645907,0.0003280075301441596,0.008481604005165868,0.09776719748444399,0.14299794968869511,0.051285975410655875,0.00038404079005264856,0.004811239051712836,0.00028482901853936943,0.015275252316519466,0.00038490669494186015,0.0064150198150107205,0.005866013713791475,0.013981183915338166,0.08819171637640416,0.011948877419165348
no_init_kenn_bottom_up_adapter_bert_ms,0.8417675296465555,0.4308041234811147,0.465297391017278,0.8604785998662313,0.8163241545359293,0.7837837934494019,0.025982568661371868,0.43016605575879413,0.46076863010724384,0.614814837773641,0.25976017614205676,0.4579310417175293,0.8515069286028544,0.341413011153539,0.21358025074005127,0.6333333253860474,0.858851412932078,0.5851852297782898,0.8163241545359293,0.33,0.5851852099100748,0.644444465637207,0.8604785998662313,0.857231338818868,0.8417675296465555,0.857231338818868,0.614814817905426,0.8515069286028544,0.02729814127087593,0.013888271215061346,0.016663925101359684,1.0,0.020659477760394413,0.5851852099100748,0.5716830492019653,0.7666666706403097,0.5066474874814352,0.36292821168899536,0.8006338874499003,0.8466072082519531,0.8326486349105835,8.0,0.8466072082519531,0.563749372959137,0.342196653286616,0.2057307114203771,0.5218576093514761,0.858851412932078,0.600000003973643,0.009483089360098043,0.03666666666666667,0.8006338874499003,0.3127947449684143,0.8326486349105835,0.37530867258707684,0.35555556416511536,0.5487298170725504,0.0021918697190217544,0.006883526159381752,0.009731054020453591,0.0007868679708140484,0.0014473255287390649,0.0,0.002483089340759959,0.006748635129867728,0.02191997887214552,0.027962359935831592,0.028039202604198607,0.04314066694663605,0.0009765744421987316,0.01083907705778453,0.0077098716241399,0.06666666269302368,4.9349958312849985e-05,0.05592466855525776,0.0014473255287390649,0.0,0.055924696187152206,0.0,0.0007868679708140484,0.0008158173962969118,0.0021918697190217544,0.0008158173962969118,0.027962363883233074,0.0009765744421987316,0.0012415454721989095,0.0007195153064687942,0.0010047870743688015,0.0,0.00043206554601687606,0.055924696187152206,0.024737367478437973,0.033333331346516296,0.007822875503109644,0.00922125981487018,0.0033555032455027684,0.0006277231378408716,0.0006257954415806797,1.0,0.0006277231378408716,0.002719716785193229,0.010430497497761928,0.014053182082619988,0.024273170616845714,4.9349958312849985e-05,0.041943543851141886,0.000342323045220503,0.03785938897200183,0.0033555032455027684,0.01620507999030795,0.0006257954415806797,0.022630004250830144,0.06938886251297234,0.012915145315770411
no_init_kenn_hybrid_adapter_bert_ms,0.8489664196968079,0.45362527171770733,0.5189654529094696,0.8588752150535583,0.8157348036766052,0.7837837934494019,0.0208847230921189,0.4550108313560486,0.4406944513320923,0.5574074387550354,0.2916766256093979,0.5697743892669678,0.8495019872983297,0.4515843391418457,0.26234568158785504,0.4555555582046509,0.8600086768468221,0.47037039200464886,0.8157348036766052,0.33,0.47037039200464886,0.644444465637207,0.8588752150535583,0.8611475030581156,0.8489664196968079,0.8611475030581156,0.5574074188868204,0.8495019872983297,0.024749218796690304,0.014627884142100811,0.021706954886515934,1.0,0.02304237149655819,0.4703703820705414,0.6134340465068817,0.6666666666666666,0.5860370000203451,0.47298476099967957,0.7937450011571249,0.849230686823527,0.8389998475710551,16.0,0.849230686823527,0.5988296071688334,0.4480493664741516,0.30138889451821643,0.6534174084663391,0.8600086768468221,0.5138888955116272,0.011648303208251795,0.36000000000000004,0.7937450011571249,0.32945247491200763,0.8389998475710551,0.4888889193534851,0.2888888915379842,0.5454397598902384,0.004230225288630473,0.08522408753373015,0.04454429745218562,0.0008792104286771899,0.005038173049096779,0.0,0.0027171053034796004,0.08733362365887178,0.036075569330566666,0.030597591585067016,0.16440748579789247,0.10397637511103867,0.00106860947990624,0.14277922148445546,0.12084427310333036,0.13877772502594468,0.0013798483405890179,0.06119521744078664,0.005038173049096779,0.0,0.06119521744078664,0.0,0.0008792104286771899,0.002478639290901159,0.004230225288630473,0.002478639290901159,0.030597625855719717,0.00106860947990624,0.001358551890795947,0.0046794150876337684,0.0032045990117623956,0.0,0.0019777939906737256,0.061195234576113006,0.11930207240278341,0.1452966296281242,0.10265047298326245,0.11447491510755597,0.0036717217404558067,0.002259702282858835,0.008212036706496744,13.0,0.002259702282858835,0.05554859067187087,0.13686731977574784,0.2081805118663351,0.11609318311426803,0.0013798483405890179,0.04589641172779964,0.005365557105004417,0.3477067730142742,0.0036717217404558067,0.10539080699005875,0.008212036706496744,0.07217469763674574,0.1261979642458529,0.059573195423132136
no_init_kenn_top_down_adapter_bert_ms,0.8401777942975363,0.4352381229400635,0.47833826144536334,0.8610541423161825,0.8174589474995931,0.7837837934494019,0.02779148022333781,0.43513105312983197,0.44778192043304443,0.6351852218310038,0.3241455952326457,0.41288957993189496,0.8522183299064636,0.337910662094752,0.2401234656572342,0.6444444557030996,0.8589412371317545,0.6259259581565857,0.8174589474995931,0.33,0.6259259382883707,0.644444465637207,0.8610541423161825,0.8568437099456787,0.8401777942975363,0.8568437099456787,0.635185182094574,0.8522183299064636,0.028202597051858902,0.015378556524713835,0.017157265295584995,1.0,0.021238501494129498,0.6259259382883707,0.5334333181381226,0.7666666706403097,0.5033584435780843,0.34810105959574383,0.803078313668569,0.8461477359135946,0.8323855598767599,10.0,0.8461477359135946,0.5626622835795084,0.33781127134958905,0.2524431298176448,0.5095927814642588,0.8589412371317545,0.6305555502573649,0.010661623440682888,0.08333333333333333,0.803078313668569,0.34635929266611737,0.8323855598767599,0.38641976316769916,0.46666667858759564,0.5577335556348165,0.004589819448737793,0.012176126295626203,0.016631186004510374,0.0013157784970178146,0.002072370033800082,0.0,0.004018020799723701,0.010131829313585833,0.05282709581414564,0.045247372224829475,0.02011690647343903,0.054234502237991054,0.001580247699323369,0.030900114179320433,0.010530071982276214,0.15396007981354365,0.0005170791613306511,0.09049473103264769,0.002072370033800082,0.0,0.0904947651850277,0.0,0.0013157784970178146,0.0022910195466366167,0.004589819448737793,0.0022910195466366167,0.0452473929602024,0.001580247699323369,0.002009010819143481,0.0010244704072235205,0.0017056800648039313,0.0,0.0007384354598250983,0.0904947651850277,0.03420034489711493,0.057735040684065646,0.022085084953913144,0.028476681915763285,0.0054296746652256,0.0015747515162702237,0.001766806617619564,2.6457513110645907,0.0015747515162702237,0.014602524185459558,0.029446809203856856,0.036283064242809845,0.05309968766662232,0.0005170791613306511,0.0678710687049279,0.0004675418124148484,0.10115993936995679,0.0054296746652256,0.02307335406751055,0.001766806617619564,0.03841568956106623,0.06666667759418542,0.017157940370786558
smart_init_box_adapter_bert_ms,0.74638565381368,0.2066849966843923,0.45075886448224384,0.8070647319157919,0.694667120774587,0.6153846383094788,0.03667159875233968,0.20666195452213287,0.1900880734125773,0.6351852416992188,0.20762471854686737,0.13478770107030869,0.7942051490147909,0.1244829644759496,0.27530865371227264,0.7777777711550394,0.8053820133209229,0.8259260058403015,0.694667120774587,0.26,0.8259259661038717,0.4444444477558136,0.8070647319157919,0.8041734099388123,0.74638565381368,0.8041734099388123,0.635185182094574,0.7942051490147909,0.028202596430977184,0.01833579937616984,0.015512799223264059,1.0,0.02001396007835865,0.8259259263674418,0.22234166661898294,0.8555555542310079,0.3433729310830434,0.11418924480676651,0.6772544384002686,0.7685904304186503,0.7130871415138245,11.0,0.7685904304186503,0.2654928018649419,0.12449724227190018,0.12451477597157161,0.18070732057094574,0.8053820133209229,0.7305555542310079,0.012223866147299608,0.016666666666666666,0.6772544384002686,0.41296298305193585,0.7130871415138245,0.3493827184041341,0.8444444338480631,0.46064751346906024,0.062407098343022153,0.09662544374476224,0.05920690289936508,0.0020592646692973466,0.0026334566544680893,0.0,0.0065138307944069135,0.0966370104093796,0.08191465452518078,0.07335298787515401,0.08501862902204245,0.09004807549399257,0.002561782371305612,0.07219357831683756,0.048901983828657215,0.18358565953722863,0.014862339898352318,0.14670593737879248,0.0026334566544680893,0.0,0.14670594339785958,0.0,0.0020592646692973466,0.03159145292383664,0.062407098343022153,0.03159145292383664,0.07335294950364557,0.002561782371305612,0.0032569143861895713,0.0032569153972034567,0.00217127699416757,0.0,0.002628819919105108,0.14670593135973312,0.12394396565169924,0.0838870600703848,0.054139078719921886,0.06241320091288217,0.008802382199930462,0.03186924045357984,0.004331119078408877,5.0,0.03186924045357984,0.11309760000452206,0.07218546039746801,0.06449489651151298,0.10734640422050006,0.014862339898352318,0.11002944946028277,0.0021712773115788488,0.011547005383792516,0.008802382199930462,0.0733529716989298,0.004331119078408877,0.04890198589770731,0.18358568118185237,0.02327203152368064
smart_init_classifier_adapter_bert_ms,0.8384364247322083,0.4205586314201355,0.47247788310050964,0.8611637949943542,0.8171243866284689,0.7837837934494019,0.028120373686154682,0.42089201013247174,0.4483516315619151,0.638888935248057,0.28395651280879974,0.4019808769226074,0.8523476918538412,0.3188179632027944,0.22037037213643393,0.6777777870496114,0.8584576646486918,0.6333333651224772,0.8171243866284689,0.33,0.6333334048589071,0.644444465637207,0.8611637949943542,0.8557740052541097,0.8384364247322083,0.8557740052541097,0.6388888756434122,0.8523476918538412,0.028367044404149055,0.014513626384238401,0.016718740264574688,1.0,0.020978296175599098,0.6333333452542623,0.5292681455612183,0.7888888915379842,0.48874106009801227,0.3394377926985423,0.803522785504659,0.8453265428543091,0.8312161564826965,8.0,0.8453265428543091,0.5500625173250834,0.318321426709493,0.21354556580384573,0.48701047897338867,0.8584576646486918,0.6361111005147299,0.00978457493086656,0.060000000000000005,0.803522785504659,0.3268791039784749,0.8312161564826965,0.37654322385787964,0.4333333472410838,0.5507741570472717,0.004779922361844721,0.015722556486982574,0.004608694526359226,0.0014385306563366271,0.00255413602966442,0.0,0.004384901464511305,0.014897081161256282,0.043291655857140156,0.04937886331332432,0.04092490791792447,0.07329062057728566,0.0017245503807662395,0.023793888150070643,0.024497699619235497,0.15752719496915157,0.0005575447412179569,0.09875769309641631,0.00255413602966442,0.0,0.09875772662664868,0.0,0.0014385306563366271,0.002371308378105996,0.004779922361844721,0.002371308378105996,0.04937886331332432,0.0017245503807662395,0.002192449998781875,0.0017844606003771535,0.0009740365764888748,0.0,0.0002046275572539072,0.09875772662664868,0.05959796395635101,0.01924502503227447,0.017279887360361946,0.01891933295130912,0.005925429128601042,0.0016382959693862658,0.0013824129214586988,1.0,0.0016382959693862658,0.014026319880518123,0.023039888035531243,0.01584657567395471,0.04628370846555099,0.0005575447412179569,0.07406828323440676,0.0010877124187180123,0.07000000000000002,0.005925429128601042,0.04019001467193011,0.0013824129214586988,0.02193749925483046,0.12018504775039571,0.021508456666705957
