name,instance,run_id,test_pretraining/micro/precision,test_incremental_only/macro_types/f1,test_incremental/macro_example_exclusive/f1,test/macro_example/recall,test_pretraining/macro_types/f1,test_incremental_location-geography/macro_types/f1,test_incremental_only/macro_example/recall,test_incremental_only/micro/f1,test_incremental_location-geography-island/macro_types/f1,test_incremental/macro_example_exclusive/recall,test_incremental_location-geography-mountain/macro_types/f1,test_incremental_location-geography-body_of_water/macro_types/precision,test_pretraining/micro/recall,test_incremental_only/micro/precision,test_incremental_only/macro_example_exclusive/precision,test_incremental_location-geography-island/macro_types/recall,test/macro_example/f1,test_incremental_only/macro_example_exclusive/recall,test/macro_types/f1,threshold_pretraining,test_incremental_only/macro_types/recall,test_incremental_location-geography/macro_types/recall,test_pretraining/macro_example/recall,test_pretraining/macro_example/precision,test/micro/precision,test/macro_example/precision,test_incremental/micro/recall,test/micro/recall,test_incremental/macro_example/recall,test_incremental_only/macro_example/f1,test_incremental/macro_example/precision,test_incremental_location-geography/macro_types/precision,test_incremental/macro_example/f1,test_incremental_only/micro/recall,test_incremental_location-geography-body_of_water/macro_types/f1,test_incremental_location-geography-body_of_water/macro_types/recall,test_incremental/macro_types/precision,test_incremental_location-geography-island/macro_types/precision,test_pretraining/macro_types/recall,test_pretraining/micro/f1,test/macro_types/precision,epoch,test/micro/f1,test_incremental/micro/f1,test_incremental_only/macro_types/precision,test_incremental_location-geography-mountain/macro_types/precision,test_incremental/micro/precision,test_pretraining/macro_example/f1,test_incremental/macro_types/recall,test_incremental_only/macro_example/precision,threshold_incremental,test/macro_types/recall,test_incremental_only/macro_example_exclusive/f1,test_pretraining/macro_types/precision,test_incremental/macro_example_exclusive/precision,test_incremental_location-geography-mountain/macro_types/recall,test_incremental/macro_types/f1
no_init_box_kenn_hybrid_adapter_bert_ms,2,vxkfcs5i,0.8494555950164795,0.5937500596046448,0.4911111295223236,0.8012268543243408,0.7048572897911072,0.6153846383094788,0.018746916204690933,0.59375,0.4210526645183563,0.4333333671092987,0.6666666865348816,1.0,0.7871556282043457,1.0,0.4222222566604614,0.2666666805744171,0.8288361430168152,0.4222222566604614,0.7048572897911072,0.26,0.4222222566604614,0.4444444477558136,0.8012268543243408,0.8584161400794983,0.8494555950164795,0.8584161400794983,0.4333333373069763,0.7871556282043457,0.019240256398916245,0.018746916204690933,0.02516033500432968,1,0.02180562354624271,0.42222222685813904,0.6666666865348816,0.5,1.0,1.0,0.6530321836471558,0.817119836807251,0.7656172513961792,53,0.817119836807251,0.604651153087616,1.0,1.0,1.0,0.8288361430168152,0.4277777671813965,0.018746916204690933,0.01,0.6530321836471558,0.4222222566604614,0.7656172513961792,0.5666667222976685,0.5,0.5992217659950256
no_init_box_kenn_top_down_adapter_bert_ms,2,c1mb01zv,0.8495186567306519,0.6153846383094788,0.5024155378341675,0.8015557527542114,0.705633282661438,0.6153846383094788,0.019733596593141556,0.6153846383094788,0.4210526645183563,0.444444477558136,0.6956522464752197,1.0,0.7875436544418335,1.0,0.444444477558136,0.2666666805744171,0.8290504217147827,0.444444477558136,0.705633282661438,0.26,0.4444445073604584,0.4444444477558136,0.8015557527542114,0.8584983348846436,0.8495186567306519,0.8584983348846436,0.4444444477558136,0.7875436544418335,0.019733596593141556,0.019733596593141556,0.025653675198554993,1,0.022307544946670532,0.4444444477558136,0.6956522464752197,0.5333333611488342,1.0,1.0,0.6543655395507812,0.8173580765724182,0.7656172513961792,53,0.8173580765724182,0.6153846383094788,1.0,1.0,1.0,0.8290504217147827,0.444444477558136,0.019733596593141556,0.04,0.6543655395507812,0.444444477558136,0.7656172513961792,0.5777778625488281,0.5333333611488342,0.6153846979141235
no_init_box_kenn_bottom_up_adapter_bert_ms,2,wwz0air6,0.8494871258735657,0.604651153087616,0.4988464415073395,0.8013913035392761,0.7052454948425293,0.6153846383094788,0.019240256398916245,0.604651153087616,0.4210526645183563,0.43888890743255615,0.6956522464752197,1.0,0.7873496413230896,1.0,0.4333333671092987,0.2666666805744171,0.8289624452590942,0.4333333671092987,0.7052454948425293,0.26,0.4333333373069763,0.4444444477558136,0.8013913035392761,0.8584983348846436,0.8494871258735657,0.8584983348846436,0.43888887763023376,0.7873496413230896,0.0194869264960289,0.019240256398916245,0.025653675198554993,1,0.02214907296001911,0.4333333373069763,0.6666666865348816,0.5,1.0,1.0,0.6536989212036133,0.817238986492157,0.7656172513961792,56,0.817238986492157,0.6100385785102844,1.0,1.0,1.0,0.8289624452590942,0.43611112236976624,0.019240256398916245,0.01,0.6536989212036133,0.4333333671092987,0.7656172513961792,0.5777778625488281,0.5333333611488342,0.6073501110076904
no_init_box_kenn_hybrid_adapter_bert_ms,1,tz64k8xe,0.84932941198349,0.5483871102333069,0.46847546100616455,0.8005279898643494,0.7033010721206665,0.6153846383094788,0.016773557290434837,0.5483871102333069,0.1818181872367859,0.41111114621162415,0.46153849363327026,1.0,0.7863795161247253,1.0,0.3777778148651123,0.10000000149011612,0.8285002708435059,0.3777778148651123,0.7033010721206665,0.26,0.3777778148651123,0.4444444477558136,0.8005279898643494,0.8584983348846436,0.84932941198349,0.8584983348846436,0.41111111640930176,0.7863795161247253,0.018253576010465625,0.016773557290434837,0.02417365461587906,1,0.02080058678984642,0.3777777850627899,0.8461538553237915,0.7333333492279053,1.0,1.0,0.6503655910491943,0.8166431784629822,0.7656172513961792,56,0.8166431784629822,0.5826771855354309,1.0,1.0,1.0,0.8285002708435059,0.39444443583488464,0.016773557290434837,0.04,0.6503655910491943,0.3777778148651123,0.7656172513961792,0.5444445013999939,0.30000001192092896,0.5657370090484619
no_init_box_kenn_top_down_adapter_bert_ms,1,t64fv3h3,0.848453164100647,0.5960784554481506,0.5065711140632629,0.8015146255493164,0.7031964659690857,0.6153846383094788,0.019733596593141556,0.5882352590560913,0.1818181872367859,0.444444477558136,0.5882353186607361,1.0,0.7875436544418335,0.8695651888847351,0.444444477558136,0.10000000149011612,0.8286064863204956,0.444444477558136,0.7031964659690857,0.26,0.4444444477558136,0.4444444477558136,0.8015146255493164,0.8575938940048218,0.848453164100647,0.8575938940048218,0.4444444477558136,0.7875436544418335,0.019733596593141556,0.019733596593141556,0.026147015392780304,1,0.0224920567125082,0.4444444477558136,0.8461538553237915,0.7333333492279053,0.9285714626312256,1.0,0.6543655395507812,0.8168644905090332,0.7599029541015625,58,0.8168644905090332,0.6015037894248962,0.9047619104385376,0.7142857313156128,0.930232584476471,0.8286064863204956,0.4444444477558136,0.019733596593141556,0.02,0.6543655395507812,0.444444477558136,0.7599029541015625,0.588888943195343,0.5,0.6011560559272766
no_init_box_kenn_bottom_up_adapter_bert_ms,1,82n4dth2,0.84932941198349,0.5483871102333069,0.46847546100616455,0.8005279898643494,0.7033010721206665,0.6153846383094788,0.016773557290434837,0.5483871102333069,0.1818181872367859,0.41111114621162415,0.46153849363327026,1.0,0.7863795161247253,1.0,0.3777778148651123,0.10000000149011612,0.8285002708435059,0.3777778148651123,0.7033010721206665,0.26,0.3777777850627899,0.4444444477558136,0.8005279898643494,0.8584983348846436,0.84932941198349,0.8584983348846436,0.41111111640930176,0.7863795161247253,0.018253576010465625,0.016773557290434837,0.02417365461587906,1,0.02080058678984642,0.3777777850627899,0.8461538553237915,0.7333333492279053,1.0,1.0,0.6503655910491943,0.8166431784629822,0.7656172513961792,56,0.8166431784629822,0.5826771855354309,1.0,1.0,1.0,0.8285002708435059,0.39444443583488464,0.016773557290434837,0.04,0.6503655910491943,0.3777778148651123,0.7656172513961792,0.5444445013999939,0.30000001192092896,0.5657370090484619
no_init_box_kenn_hybrid_adapter_bert_ms,0,5xe5578a,0.8487958312034607,0.5282202959060669,0.4466392397880554,0.8005690574645996,0.7001909017562866,0.6153846383094788,0.016773555427789688,0.5354330539703369,0.2777777910232544,0.41111114621162415,0.4000000059604645,1.0,0.7863795161247253,0.9189189076423644,0.3777778148651123,0.1666666716337204,0.8282542824745178,0.3777778148651123,0.7001909017562866,0.26,0.3777778148651123,0.4444444477558136,0.8005690574645996,0.8579227924346924,0.8487958312034607,0.8579227924346924,0.41111111640930176,0.7863795161247253,0.018253576010465625,0.016773555427789688,0.02170695550739765,1,0.019831044599413872,0.3777777850627899,0.8235293626785278,0.699999988079071,0.9083333015441896,0.8333333134651184,0.6503655910491943,0.8163964152336121,0.7582839727401733,53,0.8163964152336121,0.5758755207061768,0.8777778148651123,0.800000011920929,0.9610389471054076,0.8282542824745178,0.39444446563720703,0.016773555427789688,0.02,0.6503655910491943,0.3777778148651123,0.7582839727401733,0.4888889193534851,0.2666666805744171,0.5500355362892151
no_init_box_kenn_top_down_adapter_bert_ms,0,z04dgxos,0.847953200340271,0.5817082524299622,0.4994505941867829,0.8015968799591064,0.7009913921356201,0.6153846383094788,0.02022693492472172,0.5857142210006714,0.41860467195510864,0.45000001788139343,0.5116279125213623,0.875,0.7877376675605774,0.8199999928474426,0.45555558800697327,0.30000001192092896,0.8282856345176697,0.45555558800697327,0.7009913921356201,0.26,0.4555555582046509,0.4444444477558136,0.8015968799591064,0.8568127751350403,0.847953200340271,0.8568127751350403,0.44999998807907104,0.7877376675605774,0.01998026669025421,0.02022693492472172,0.024913664907217022,1,0.022175900638103485,0.4555555582046509,0.7777777910232544,0.699999988079071,0.853365421295166,0.692307710647583,0.655032217502594,0.8167370557785034,0.7538865208625793,54,0.8167370557785034,0.6000000238418579,0.8044872283935547,0.8461538553237915,0.8999999761581421,0.8282856345176697,0.45277777314186096,0.02022693492472172,0.01,0.655032217502594,0.45555561780929565,0.7538865208625793,0.5611111521720886,0.36666667461395264,0.5916424989700317
no_init_box_kenn_bottom_up_adapter_bert_ms,0,0fu0d71e,0.8487958312034607,0.5282202363014221,0.4466392397880554,0.8005690574645996,0.7001909017562866,0.6153846383094788,0.016773555427789688,0.5354330539703369,0.2777777910232544,0.41111114621162415,0.4000000059604645,1.0,0.7863795161247253,0.9189189076423644,0.3777778148651123,0.1666666716337204,0.8282542824745178,0.3777778148651123,0.7001909017562866,0.26,0.3777777850627899,0.4444444477558136,0.8005690574645996,0.8579227924346924,0.8487958312034607,0.8579227924346924,0.41111111640930176,0.7863795161247253,0.018253576010465625,0.016773555427789688,0.02170695550739765,1,0.019831044599413872,0.3777777850627899,0.8235293626785278,0.699999988079071,0.9083333015441896,0.8333333134651184,0.6503655910491943,0.8163964152336121,0.7582839727401733,53,0.8163964152336121,0.5758755207061768,0.8777778148651123,0.800000011920929,0.9610389471054076,0.8282542824745178,0.39444446563720703,0.016773555427789688,0.02,0.6503655910491943,0.3777778148651123,0.7582839727401733,0.4888889193534851,0.2666666805744171,0.5500355362892151
smart_init_box_adapter_bert_ms,2,hvswsm7j,0.811095654964447,0.31496062874794006,0.3864734172821045,0.8048036098480225,0.6919310688972473,0.6153846383094788,0.029600393027067184,0.31496062874794006,0.28346455097198486,0.5555555820465088,0.29921257495880127,0.23711340129375455,0.7914241552352905,0.20618556439876556,0.2222222238779068,0.6000000238418579,0.8199242353439331,0.6666667461395264,0.6919310688972473,0.26,0.6666666865348816,0.4444444477558136,0.8048036098480225,0.8356238603591919,0.811095654964447,0.8356238603591919,0.5555555820465088,0.7914241552352905,0.02466699481010437,0.014800196513533592,0.013155730441212654,1,0.01715965010225773,0.6666666865348816,0.36220473051071167,0.7666666507720947,0.4046391546726227,0.1855670064687729,0.667698860168457,0.8011391758918762,0.7179884314537048,6,0.8011391758918762,0.3913894295692444,0.20618556439876556,0.19587628543376925,0.3021148145198822,0.8199242353439331,0.6111111044883728,0.009866797365248203,0.03,0.667698860168457,0.3333333432674408,0.7179884314537048,0.29629629850387573,0.6333333253860474,0.4868902862071991
smart_init_box_adapter_bert_ms,1,a8grqd9i,0.7414916753768921,0.1758659929037094,0.4627523124217987,0.8075580596923828,0.6948859691619873,0.6153846383094788,0.03798717260360718,0.17579908668994904,0.15646259486675262,0.6500000953674316,0.19243986904621124,0.09961685538291933,0.7947225570678711,0.09796437621116638,0.28518521785736084,0.7666666507720947,0.8060027956962585,0.8555556535720825,0.6948859691619873,0.26,0.8555556535720825,0.4444444477558136,0.8075580596923828,0.8044535517692566,0.7414916753768921,0.8044535517692566,0.6499999761581421,0.7947225570678711,0.028860382735729218,0.01899358630180359,0.01595132425427437,1,0.020546475425362587,0.855555534362793,0.17869414389133453,0.8666666746139526,0.3235044479370117,0.08712121099233627,0.6790322065353394,0.7671849131584167,0.7114976644515991,11,0.7671849131584167,0.23260436952114105,0.09800592809915544,0.1072796955704689,0.14164648950099945,0.8060027956962585,0.7527778148651123,0.012662390246987345,0.01,0.6790322065353394,0.42777782678604126,0.7114976644515991,0.3592592477798462,0.9333333373069764,0.45253363251686096
smart_init_box_adapter_bert_ms,0,hojohgz3,0.6865696310997009,0.1292283684015274,0.5030508637428284,0.8088325262069702,0.6971843242645264,0.6153846383094788,0.04242723062634468,0.12922614812850952,0.13033707439899445,0.7000000476837158,0.1312217116355896,0.06763284653425217,0.7964687347412109,0.06929895281791687,0.3185185194015503,0.9666666388511658,0.7902190089225769,0.9555556178092957,0.6971843242645264,0.26,0.9555555582046508,0.4444444477558136,0.8088325262069702,0.7724428176879883,0.6865696310997009,0.7724428176879883,0.699999988079071,0.7964687347412109,0.03108041174709797,0.02121361531317234,0.017431342974305153,1,0.022335754707455635,0.9555555582046508,0.12612612545490265,0.9333333373069764,0.30197519063949585,0.06987951695919037,0.6850322484970093,0.737447202205658,0.7097753286361694,16,0.737447202205658,0.1724846065044403,0.06930023431777954,0.07038834691047668,0.09836065769195557,0.7902190089225769,0.8277777433395386,0.014142410829663277,0.01,0.6850322484970093,0.47777777910232544,0.7097753286361694,0.3925926089286804,0.9666666388511658,0.4425186216831207
