name,instance,run_id,test_pretraining/micro/precision,test_incremental/macro_example_exclusive/f1,test/micro/f1,test_incremental/micro/recall,test_incremental/macro_types/recall,test_pretraining/macro_types/precision,threshold_incremental,test_pretraining/macro_types/f1,test_incremental_only/macro_types/f1,test/micro/recall,test_incremental_government-political_party/macro_types/recall,test/macro_example/precision,test_incremental/macro_example/precision,test_incremental_only/macro_example_exclusive/f1,test_incremental/macro_example_exclusive/precision,test_incremental_government-political_party/macro_types/f1,test_incremental_government-political_party/macro_types/precision,test/macro_types/f1,test_pretraining/micro/recall,test/micro/precision,test_incremental/macro_types/f1,test_incremental_government/macro_types/precision,threshold_pretraining,test_pretraining/micro/f1,test_incremental/macro_example/f1,test_incremental_only/macro_example/f1,test_incremental_only/macro_types/recall,test_incremental_government-government/macro_types/f1,test_incremental_only/macro_example_exclusive/precision,epoch,test_pretraining/macro_example/f1,test_incremental_only/micro/recall,test_pretraining/macro_example/precision,test_pretraining/macro_example/recall,test_incremental/macro_types/precision,test_incremental_government/macro_types/f1,test_incremental_only/macro_example/precision,test_incremental/micro/f1,test_incremental/micro/precision,test_pretraining/macro_types/recall,test_incremental_only/micro/precision,test_incremental_government-government/macro_types/recall,test/macro_example/f1,test_incremental_only/micro/f1,test_incremental_only/macro_types/precision,test_incremental/macro_example_exclusive/recall,test/macro_types/recall,test/macro_types/precision,test_incremental_only/macro_example/recall,test_incremental_government/macro_types/recall,test_incremental_only/macro_example_exclusive/recall,test_incremental_government-government/macro_types/precision,test/macro_example/recall,test_incremental/macro_example/recall
no_init_box_kenn_hybrid_adapter_bert_ms,2,n3lxab8r,0.9064171314239502,0.9100422859191896,0.8923988342285156,0.8737373948097229,0.8483165502548218,0.8941012620925903,0.01,0.8529900908470154,0.8830812573432922,0.878807544708252,0.7954545617103577,0.9245187044143676,0.03270702809095383,0.7979798316955566,0.9494949579238892,0.8860759735107422,1.0,0.8529900908470154,0.878807544708252,0.9064171314239502,0.9089797735214232,0.9591836929321288,0.25,0.8923988342285156,0.03134801238775253,0.027487821877002716,0.7977272868156433,0.8799999952316284,0.7979798316955566,37,0.9144057631492616,0.7979797720909119,0.9245187044143676,0.9045117497444152,0.9789872169494628,0.9543147087097168,0.027487821877002716,0.920212745666504,0.9719101190567015,0.8154933452606201,0.987500011920929,0.800000011920929,0.9144057631492616,0.8826815485954285,0.9888888597488404,0.8737373948097229,0.8154933452606201,0.8941012620925903,0.027487821877002716,0.9494949579238892,0.7979798316955566,0.9777777791023254,0.9045117497444152,0.03009742498397827
no_init_box_kenn_top_down_adapter_bert_ms,2,v0c6lbdl,0.9058196544647216,0.9415874481201172,0.8932209014892578,0.9242424368858336,0.9180135130882264,0.8925617933273315,0.01,0.8545225858688354,0.9253475666046144,0.8809677958488464,0.931818187236786,0.9242982864379884,0.03305497765541077,0.8989899158477783,0.9595959186553956,0.9534884095191956,0.976190447807312,0.8545225858688354,0.8809677958488464,0.9058196544647216,0.935091495513916,0.9591836929321288,0.25,0.8932209014892578,0.03243464231491089,0.030967293307185173,0.9022727012634276,0.8971962332725525,0.8989899158477783,38,0.9148812294006348,0.8989899158477783,0.9242982864379884,0.9056541919708252,0.9528170228004456,0.9543147087097168,0.030967293307185173,0.9384614825248718,0.953125,0.8195931315422058,0.9468085169792176,0.8727272748947144,0.9148812294006348,0.9222797751426696,0.9496337175369264,0.924242377281189,0.8195931315422058,0.8925617933273315,0.030967293307185173,0.9494949579238892,0.8989899158477783,0.9230769276618958,0.9056541919708252,0.031837161630392075
no_init_box_kenn_bottom_up_adapter_bert_ms,2,kulsn7h7,0.9064379334449768,0.91277414560318,0.8925203084945679,0.8787878751754761,0.8574074506759644,0.8940913081169128,0.01,0.8532779812812805,0.8912707567214966,0.879023551940918,0.8409090638160706,0.9245187044143676,0.03270702809095383,0.808080792427063,0.9494949579238892,0.9135802388191224,1.0,0.8532779812812805,0.879023551940918,0.9064379334449768,0.9140993356704712,0.9591836929321288,0.25,0.8925203084945679,0.03144211322069168,0.027835769578814507,0.8113636374473572,0.8686869144439697,0.808080792427063,48,0.9144887328147888,0.808080792427063,0.9245187044143676,0.9046741127967834,0.9788188934326172,0.9543147087097168,0.027835769578814507,0.9230769276618958,0.9720670580863952,0.8160280585289001,0.9876543283462524,0.7818182110786438,0.9144887328147888,0.8888888359069824,0.9886363744735718,0.8787878751754761,0.8160280585289001,0.8940913081169128,0.027835769578814507,0.9494949579238892,0.808080792427063,0.9772727489471436,0.9046741127967834,0.03027139976620674
no_init_box_kenn_hybrid_adapter_bert_ms,1,24du70uh,0.9058586955070496,0.8611698150634766,0.8902318477630615,0.7878788113594055,0.7361953258514404,0.8934165239334106,0.060000000000000005,0.8490591049194336,0.7639829516410828,0.8751350045204163,0.6590909361839294,0.9245012998580932,0.03270702809095383,0.6262626647949219,0.9494949579238892,0.7945205569267273,1.0,0.8490591049194336,0.8751350045204163,0.9058586955070496,0.8360888361930847,0.9591836929321288,0.25,0.8902318477630615,0.02966451458632946,0.021572722122073177,0.6295454502105713,0.7333333492279053,0.6262626647949219,32,0.9132044911384584,0.6262626051902771,0.9245012998580932,0.9021804928779602,0.9673470258712769,0.9543147087097168,0.021572722122073177,0.8666666150093079,0.9629629850387572,0.8088979721069336,0.96875,0.6000000238418579,0.9132044911384584,0.7607361674308777,0.9714285731315612,0.7878788113594055,0.8088979721069336,0.8934165239334106,0.021572722122073177,0.9494949579238892,0.6262626647949219,0.9428571462631226,0.9021804928779602,0.027139876037836075
no_init_box_kenn_top_down_adapter_bert_ms,1,kkvcccxa,0.9058797359466552,0.8641780018806458,0.890353798866272,0.7929292917251587,0.7437710762023926,0.8934165239334106,0.14,0.8493045568466187,0.7722916007041931,0.875351071357727,0.6818181872367859,0.9245012998580932,0.03270702809095383,0.6363636255264282,0.9494949579238892,0.8108108043670654,1.0,0.8493045568466187,0.875351071357727,0.9058797359466552,0.8409527540206909,0.9591836929321288,0.25,0.890353798866272,0.029768135398626328,0.021920669823884964,0.6409090757369995,0.7333333492279053,0.6363636255264282,32,0.9132639169692992,0.6363636255264282,0.9245012998580932,0.9022964239120485,0.9673470258712769,0.9543147087097168,0.021920669823884964,0.8698061108589172,0.9631901979446412,0.8093435764312744,0.9692307710647584,0.6000000238418579,0.9132639169692992,0.7682926654815674,0.9714285731315612,0.7929292917251587,0.8093435764312744,0.8934165239334106,0.021920669823884964,0.9494949579238892,0.6363636255264282,0.9428571462631226,0.9022964239120485,0.02731384709477425
no_init_box_kenn_bottom_up_adapter_bert_ms,1,j1x0my2u,0.9055382013320924,0.8773448467254639,0.8905237913131714,0.808080792427063,0.766498327255249,0.8922960758209229,0.03,0.8495325446128845,0.7867549657821655,0.8759991526603699,0.75,0.9243853092193604,0.03305497765541077,0.6666666269302368,0.9595959186553956,0.8354430198669434,0.9428571462631226,0.8495325446128845,0.8759991526603699,0.9055382013320924,0.8477616310119629,0.9591836929321288,0.25,0.8905237913131714,0.030221691355109215,0.022964509204030037,0.675000011920929,0.7333333492279053,0.6666666269302368,46,0.9133855104446412,0.6666666865348816,0.9243853092193604,0.9026443958282472,0.9482994079589844,0.9543147087097168,0.022964511066675183,0.8743168711662292,0.9523809552192688,0.8106805086135864,0.9428571462631226,0.6000000238418579,0.9133855104446412,0.7810651063919067,0.9428571462631226,0.808080792427063,0.8106805086135864,0.8922960758209229,0.022964511066675183,0.9494949579238892,0.6666666269302368,0.9428571462631226,0.9026443958282472,0.027835769578814507
no_init_box_kenn_hybrid_adapter_bert_ms,0,2cvhjhuu,0.905601441860199,0.8818670511245728,0.8908891081809998,0.8232323527336121,0.7877105474472046,0.8924729824066162,0.01,0.8502974510192871,0.8096030354499817,0.8766472339630127,0.7954545617103577,0.9244142770767212,0.03270702809095383,0.6969696879386902,0.9494949579238892,0.8860759735107422,1.0,0.8502974510192871,0.8766472339630127,0.905601441860199,0.8618136048316956,0.9591836929321288,0.25,0.8908891081809998,0.030377468094229695,0.02400835044682026,0.7068182229995728,0.7311828136444092,0.6969696879386902,42,0.9135361909866332,0.6969696879386902,0.9244142770767212,0.9029111862182616,0.9513068795204164,0.9543147087097168,0.02400835044682026,0.8834688663482666,0.9532163739204408,0.8119282722473145,0.9452054500579834,0.6181818246841431,0.9135361909866332,0.8023255467414856,0.9473683834075928,0.8232322931289673,0.8119282722473145,0.8924729824066162,0.02400835044682026,0.9494949579238892,0.6969696879386902,0.8947368264198303,0.9029111862182616,0.028357690200209618
no_init_box_kenn_top_down_adapter_bert_ms,0,may2tdlg,0.9041065573692322,0.9283047914505004,0.891832709312439,0.8989899158477783,0.8877105116844177,0.8893299102783203,0.01,0.8520721793174744,0.8619880676269531,0.8798876404762268,0.931818187236786,0.923428475856781,0.03305497765541077,0.8484848737716675,0.9595959186553956,0.9111111760139464,0.8913043737411499,0.8520721793174744,0.8798876404762268,0.9041065573692322,0.8927639126777649,0.9591836929321288,0.25,0.891832709312439,0.0319770947098732,0.02922755852341652,0.8568181991577148,0.8113207817077637,0.8484848737716675,50,0.913987636566162,0.8484848737716675,0.923428475856781,0.9047378897666932,0.897875189781189,0.9543147087097168,0.02922755852341652,0.9058523774147034,0.9128205180168152,0.817810595035553,0.8659793734550476,0.7818182110786438,0.913987636566162,0.8571429252624512,0.8672208189964294,0.8989899158477783,0.817810595035553,0.8893299102783203,0.02922755852341652,0.9494949579238892,0.8484848737716675,0.843137264251709,0.9047378897666932,0.030967293307185173
no_init_box_kenn_bottom_up_adapter_bert_ms,0,j03w7goq,0.905601441860199,0.8861990571022034,0.8908891081809998,0.8232323527336121,0.7892255783081055,0.8924171924591064,0.01,0.8503209352493286,0.8105700612068176,0.8766472339630127,0.8181818127632141,0.9244142770767212,0.03305497765541077,0.6969696879386902,0.9595959186553956,0.9000000357627869,1.0,0.8503209352493286,0.8766472339630127,0.905601441860199,0.8623294234275818,0.9591836929321288,0.25,0.8908891081809998,0.030526692047715187,0.02400835044682026,0.7090909481048584,0.717391312122345,0.6969696879386902,50,0.9135065078735352,0.6969696879386902,0.9244142770767212,0.9028531312942504,0.950358510017395,0.9543147087097168,0.02400835230946541,0.8834688663482666,0.9532163739204408,0.8120173811912537,0.9452054500579834,0.6000000238418579,0.9135065078735352,0.8023255467414856,0.9459459781646729,0.8232322931289673,0.8120173811912537,0.8924171924591064,0.02400835230946541,0.9494949579238892,0.6969696879386902,0.8918918967247009,0.9028531312942504,0.028357690200209618
no_init_box_kenn_horizontal_adapter_bert_ms,2,q67iyewn,0.9060402512550354,0.8581441640853882,0.8902077674865723,0.7828282713890076,0.7316498756408691,0.8939242362976074,0.01,0.8491409420967102,0.7628601789474487,0.8749189972877502,0.6818181872367859,0.9245187044143676,0.03270702809095383,0.6161616444587708,0.9494949579238892,0.8108108043670654,1.0,0.8491409420967102,0.8749189972877502,0.9060402512550354,0.8363346457481384,0.9591836929321288,0.25,0.8902077674865723,0.029560286551713943,0.021224774420261383,0.6227272748947144,0.7126436829566956,0.6161616444587708,48,0.9136287569999696,0.6161616444587708,0.9245187044143676,0.9029923677444458,0.9759779572486876,0.9543147087097168,0.021224774420261383,0.8659217953681946,0.96875,0.8086305856704712,0.9838709831237792,0.5636363625526428,0.9136287569999696,0.7577640414237976,0.984375,0.7828283309936523,0.8086305856704712,0.8939242362976074,0.021224774420261383,0.9494949579238892,0.6161616444587708,0.96875,0.9029923677444458,0.026965901255607605
