metric,projector,instance,family,subset,precision,recall,f1
test_incremental_location-geography/macro_types,kenn_bottom_up_adapter_bert_ms,2,location/geography,10,1.0,0.644444465637207,0.7837837934494019
test/micro,kenn_bottom_up_adapter_bert_ms,2,location/geography,10,0.8521249890327454,0.8519596457481384,0.8520423173904419
test_incremental/micro,kenn_bottom_up_adapter_bert_ms,2,location/geography,10,0.7434210777282715,0.6277777552604675,0.6807228326797485
test_pretraining/micro,kenn_bottom_up_adapter_bert_ms,2,location/geography,10,0.8521249890327454,0.8519596457481384,0.8520423173904419
test/macro_types,kenn_bottom_up_adapter_bert_ms,2,location/geography,10,0.8506390452384949,0.8021894693374634,0.8257042169570923
test_incremental_location-geography-mountain/macro_types,kenn_bottom_up_adapter_bert_ms,2,location/geography,10,0.7083333134651184,0.5666666626930237,0.6296296119689941
test_pretraining/macro_example,kenn_bottom_up_adapter_bert_ms,2,location/geography,10,0.8613256216049194,0.8609033823013306,0.8611144423484802
test/macro_example,kenn_bottom_up_adapter_bert_ms,2,location/geography,10,0.8613256216049194,0.8609033823013306,0.8611144423484802
test_incremental_only/micro,kenn_bottom_up_adapter_bert_ms,2,location/geography,10,0.585106372833252,0.6111111044883728,0.5978260636329651
test_incremental/macro_example,kenn_bottom_up_adapter_bert_ms,2,location/geography,10,0.02951817214488983,0.027873706072568893,0.02867237851023674
test_pretraining/macro_types,kenn_bottom_up_adapter_bert_ms,2,location/geography,10,0.8506390452384949,0.8021894693374634,0.8257042169570923
test_incremental/macro_types,kenn_bottom_up_adapter_bert_ms,2,location/geography,10,0.7315277457237244,0.6194444298744202,0.6708366274833679
test_incremental_only/macro_types,kenn_bottom_up_adapter_bert_ms,2,location/geography,10,0.642037034034729,0.6111111044883728,0.6261924505233765
test_incremental_only/macro_example_exclusive,kenn_hybrid_adapter_bert_ms,1,location/geography,10,0.6111111640930176,0.6111111640930176,0.6111111640930176
test_incremental/macro_example_exclusive,kenn_hybrid_adapter_bert_ms,1,location/geography,10,0.6888889074325562,0.6277778148651123,0.6569151282310486
test_incremental_location-geography-island/macro_types,kenn_hybrid_adapter_bert_ms,1,location/geography,10,0.7599999904632568,0.6333333253860474,0.6909090876579285
test_incremental_only/macro_example,kenn_hybrid_adapter_bert_ms,1,location/geography,10,0.027133693918585777,0.027133693918585777,0.027133693918585777
test_incremental_location-geography-body_of_water/macro_types,kenn_hybrid_adapter_bert_ms,1,location/geography,10,1.0,0.800000011920929,0.888888955116272
test_incremental_location-geography/macro_types,kenn_hybrid_adapter_bert_ms,1,location/geography,10,1.0,0.644444465637207,0.7837837934494019
test/micro,kenn_hybrid_adapter_bert_ms,1,location/geography,10,0.8574497103691101,0.8519596457481384,0.8546958565711975
test_incremental/micro,kenn_hybrid_adapter_bert_ms,1,location/geography,10,0.9416666626930236,0.6277777552604675,0.753333330154419
test_pretraining/micro,kenn_hybrid_adapter_bert_ms,1,location/geography,10,0.8574497103691101,0.8519596457481384,0.8546958565711975
test/macro_types,kenn_hybrid_adapter_bert_ms,1,location/geography,10,0.865778386592865,0.8021894097328186,0.8327717781066895
test_incremental_location-geography-mountain/macro_types,kenn_hybrid_adapter_bert_ms,1,location/geography,10,0.9230769276618958,0.4000000059604645,0.5581395030021667
test_pretraining/macro_example,kenn_hybrid_adapter_bert_ms,1,location/geography,10,0.8661357164382935,0.8609445095062256,0.8635323643684387
test/macro_example,kenn_hybrid_adapter_bert_ms,1,location/geography,10,0.8661357164382935,0.8609445095062256,0.8635323643684387
test_incremental_only/micro,kenn_hybrid_adapter_bert_ms,1,location/geography,10,0.8870967626571655,0.6111111044883728,0.7236841917037964
test_incremental/macro_example,kenn_hybrid_adapter_bert_ms,1,location/geography,10,0.030587073415517807,0.027873704209923744,0.0291674192994833
test_pretraining/macro_types,kenn_hybrid_adapter_bert_ms,1,location/geography,10,0.865778386592865,0.8021894097328186,0.8327717781066895
test_incremental/macro_types,kenn_hybrid_adapter_bert_ms,1,location/geography,10,0.920769214630127,0.6194444894790649,0.7406315207481384
test_incremental_only/macro_types,kenn_hybrid_adapter_bert_ms,1,location/geography,10,0.8943589925765991,0.6111111044883728,0.7260891199111938
test_incremental_only/macro_example_exclusive,kenn_top_down_adapter_bert_ms,1,location/geography,10,0.7500000596046448,0.7888889312744141,0.7689531445503235
test_incremental/macro_example_exclusive,kenn_top_down_adapter_bert_ms,1,location/geography,10,0.7888889312744141,0.7166666984558105,0.7510455846786499
test_incremental_location-geography-island/macro_types,kenn_top_down_adapter_bert_ms,1,location/geography,10,0.09848485141992568,0.8666666746139526,0.17687074840068817
test_incremental_only/macro_example,kenn_top_down_adapter_bert_ms,1,location/geography,10,0.03330044448375702,0.03502713143825531,0.03414196893572807
test_incremental_location-geography-body_of_water/macro_types,kenn_top_down_adapter_bert_ms,1,location/geography,10,0.203125,0.8666666746139526,0.3291139006614685
test_incremental_location-geography/macro_types,kenn_top_down_adapter_bert_ms,1,location/geography,10,1.0,0.644444465637207,0.7837837934494019
test/micro,kenn_top_down_adapter_bert_ms,1,location/geography,10,0.794483482837677,0.8550640344619751,0.8236612677574158
test_incremental/micro,kenn_top_down_adapter_bert_ms,1,location/geography,10,0.23626373708248136,0.7166666388511658,0.35537189245224
test_pretraining/micro,kenn_top_down_adapter_bert_ms,1,location/geography,10,0.794483482837677,0.8550640344619751,0.8236612677574158
test/macro_types,kenn_top_down_adapter_bert_ms,1,location/geography,10,0.8221074342727661,0.812856137752533,0.8174556493759155
test_incremental_location-geography-mountain/macro_types,kenn_top_down_adapter_bert_ms,1,location/geography,10,0.1979166716337204,0.6333333253860474,0.30158731341362
test_pretraining/macro_example,kenn_top_down_adapter_bert_ms,1,location/geography,10,0.8218680620193481,0.8634523153305054,0.842147171497345
test/macro_example,kenn_top_down_adapter_bert_ms,1,location/geography,10,0.8218680620193481,0.8634523153305054,0.842147171497345
test_incremental_only/micro,kenn_top_down_adapter_bert_ms,1,location/geography,10,0.1454918086528778,0.7888888716697693,0.2456747591495514
test_incremental/macro_example,kenn_top_down_adapter_bert_ms,1,location/geography,10,0.03502713516354561,0.031820423901081085,0.03334686532616615
test_pretraining/macro_types,kenn_top_down_adapter_bert_ms,1,location/geography,10,0.8221074342727661,0.812856137752533,0.8174556493759155
