name,test/macro_example/precision/mean,test/macro_types/f1/mean,test/macro_types/recall/mean,test_pretraining/macro_types/recall/mean,test_incremental/macro_example_exclusive/f1/mean,test_incremental_only/macro_example/precision/mean,test_pretraining/macro_types/f1/mean,test_pretraining/micro/precision/mean,test_pretraining/macro_types/precision/mean,test_incremental_EVENT-WAR/macro_types/precision/mean,test/macro_example/recall/mean,test_incremental/macro_types/recall/mean,test_pretraining/macro_example/precision/mean,test_incremental/micro/f1/mean,test_incremental/macro_example/recall/mean,test_incremental_only/macro_types/precision/mean,test_incremental_EVENT-WAR/macro_types/recall/mean,test_incremental/micro/recall/mean,test_incremental_only/micro/recall/mean,test_incremental_only/macro_types/recall/mean,test_incremental_only/macro_example_exclusive/precision/mean,test_incremental/macro_example_exclusive/precision/mean,test/macro_types/precision/mean,test_incremental_only/micro/f1/mean,test_incremental/macro_example/f1/mean,test_incremental_only/micro/precision/mean,test_incremental_EVENT/macro_types/recall/mean,test_incremental/macro_types/f1/mean,test_incremental_EVENT/macro_types/precision/mean,test/micro/recall/mean,test_incremental_EVENT-HURRICANE/macro_types/recall/mean,test_incremental_only/macro_example_exclusive/f1/mean,test/macro_example/f1/mean,test_incremental/macro_types/precision/mean,test_incremental_only/macro_example/f1/mean,test_incremental_EVENT-WAR/macro_types/f1/mean,test_incremental_EVENT-HURRICANE/macro_types/precision/mean,threshold_pretraining/mean,test_pretraining/micro/recall/mean,test_pretraining/macro_example/recall/mean,test_incremental_only/macro_example_exclusive/recall/mean,threshold_incremental/mean,test_pretraining/macro_example/f1/mean,test_incremental_only/macro_types/f1/mean,test_incremental/macro_example/precision/mean,test/micro/f1/mean,test_pretraining/micro/f1/mean,test_incremental_EVENT/macro_types/f1/mean,test/micro/precision/mean,test_incremental_only/macro_example/recall/mean,epoch/mean,test_incremental/micro/precision/mean,test_incremental/macro_example_exclusive/recall/mean,test_incremental_EVENT-HURRICANE/macro_types/f1/mean,test/macro_example/precision/std,test/macro_types/f1/std,test/macro_types/recall/std,test_pretraining/macro_types/recall/std,test_incremental/macro_example_exclusive/f1/std,test_incremental_only/macro_example/precision/std,test_pretraining/macro_types/f1/std,test_pretraining/micro/precision/std,test_pretraining/macro_types/precision/std,test_incremental_EVENT-WAR/macro_types/precision/std,test/macro_example/recall/std,test_incremental/macro_types/recall/std,test_pretraining/macro_example/precision/std,test_incremental/micro/f1/std,test_incremental/macro_example/recall/std,test_incremental_only/macro_types/precision/std,test_incremental_EVENT-WAR/macro_types/recall/std,test_incremental/micro/recall/std,test_incremental_only/micro/recall/std,test_incremental_only/macro_types/recall/std,test_incremental_only/macro_example_exclusive/precision/std,test_incremental/macro_example_exclusive/precision/std,test/macro_types/precision/std,test_incremental_only/micro/f1/std,test_incremental/macro_example/f1/std,test_incremental_only/micro/precision/std,test_incremental_EVENT/macro_types/recall/std,test_incremental/macro_types/f1/std,test_incremental_EVENT/macro_types/precision/std,test/micro/recall/std,test_incremental_EVENT-HURRICANE/macro_types/recall/std,test_incremental_only/macro_example_exclusive/f1/std,test/macro_example/f1/std,test_incremental/macro_types/precision/std,test_incremental_only/macro_example/f1/std,test_incremental_EVENT-WAR/macro_types/f1/std,test_incremental_EVENT-HURRICANE/macro_types/precision/std,threshold_pretraining/std,test_pretraining/micro/recall/std,test_pretraining/macro_example/recall/std,test_incremental_only/macro_example_exclusive/recall/std,threshold_incremental/std,test_pretraining/macro_example/f1/std,test_incremental_only/macro_types/f1/std,test_incremental/macro_example/precision/std,test/micro/f1/std,test_pretraining/micro/f1/std,test_incremental_EVENT/macro_types/f1/std,test/micro/precision/std,test_incremental_only/macro_example/recall/std,epoch/std,test_incremental/micro/precision/std,test_incremental/macro_example_exclusive/recall/std,test_incremental_EVENT-HURRICANE/macro_types/f1/std
no_init_box_kenn_bottom_up_adapter_bert_ms,0.8259765108426412,0.8414795796076456,0.8488864302635193,0.8488864302635193,0.8846462567647299,0.03675777465105057,0.8414795796076456,0.8004907568295797,0.8342258135477701,0.6841880281766256,0.846685528755188,0.7453900973002116,0.8259765108426412,0.7929502725601196,0.07492930938800176,0.8420940240224203,0.42222222685813904,0.8246753215789795,0.6500000158945719,0.6500000158945719,0.6500000357627869,0.9273049831390381,0.8342258135477701,0.7406632304191589,0.07837581386168797,0.8648550709088644,0.936170220375061,0.773017168045044,0.7272727489471436,0.851590116818746,0.8777777751286825,0.6500000357627869,0.8362027009328207,0.8038202921549479,0.03675777465105057,0.5145449638366699,1.0,0.17499999999999996,0.851590116818746,0.846685528755188,0.6500000357627869,0.043333333333333335,0.8362027009328207,0.7325972517331442,0.08215519785881042,0.825248638788859,0.825248638788859,0.8186047077178955,0.8004907568295797,0.03675777465105057,45.0,0.7638008793195089,0.8457446893056234,0.9348371028900146,0.00027583046358355026,0.0017302273613391682,0.0032075099075053602,0.0032075099075053602,0.007837402329273794,0.0016324680984636437,0.0017302273613391682,0.0016832526290378026,0.005219523201983403,0.09395201355215925,0.0008162017872714724,0.019244990619516757,0.00027583046358355026,0.00494511268570015,0.0008162318984344662,0.04697603876799518,0.07698003130358241,0.011247087188302052,0.028867520342032837,0.028867520342032837,0.028867537548427066,0.006142057820886515,0.005219523201983403,0.013734107285480976,0.0006943591170185829,0.06263296982029487,0.0,0.009339138478675832,0.0,0.0012240617916032584,0.019244990619516757,0.028867537548427066,0.0004333290975482923,0.031317341194513855,0.0016324680984636437,0.04756648337822423,0.0,0.0,0.0012240617916032584,0.0008162017872714724,0.028867537548427066,0.04932882862316248,0.0004333290975482923,0.012775778416216705,0.0005441560328212146,0.0005770171008355553,0.0005770171008355553,0.0,0.0016832526290378026,0.0016324680984636437,1.7320508075688772,0.01411982958591843,0.009213052318572095,0.010852407270171664
no_init_box_kenn_horizontal_adapter_bert_ms,0.6639752686023712,0.8218829035758972,0.8525901238123575,0.8525901238123575,0.8044076959292094,0.02921772003173828,0.8218829035758972,0.649163693189621,0.7955791155497233,0.31245538281897706,0.8476280371348063,0.7676123181978861,0.6639752686023712,0.5598949318130811,0.07587181776762009,0.49427357005576295,0.4444444477558136,0.8376623392105103,0.6833333373069763,0.6833333373069763,0.5166666805744171,0.7996453841527303,0.7955791155497233,0.4715828684469064,0.07126703734199206,0.6673198013255993,0.936170220375061,0.5979820191860199,0.7272727489471436,0.8530035416285197,0.9222222169240316,0.5722222427527109,0.7181700964768728,0.5719399650891622,0.032359411319096885,0.18093343451619148,0.6760917374243339,0.17499999999999996,0.8530035416285197,0.8476280371348063,0.6833333472410837,0.006666666666666667,0.7181700964768728,0.42285263414184254,0.07084511468807857,0.712810883919398,0.712810883919398,0.8186047077178955,0.649163693189621,0.038642791410287224,21.0,0.5425522526105245,0.8563829660415649,0.643645086636146,0.2825897323674604,0.02084763519465368,0.03212842205665974,0.03212842205665974,0.10554768242777353,0.005247658099916122,0.02084763519465368,0.26578082593562863,0.0514624112691987,0.5168949211992685,0.008175908811845985,0.19277055810661872,0.2825897323674604,0.3785020332573642,0.008175944026240391,0.46316169369472276,0.5091750761334156,0.11265810898199492,0.289155856914366,0.289155856914366,0.09279606183010268,0.231876713777253,0.0514624112691987,0.36853452715446483,0.009351064437136488,0.5535852423426976,0.0,0.1906799777834723,0.0,0.012261040909598507,0.06938886728516519,0.12285190324590696,0.20246355745377984,0.3087744398411219,0.006947330442890001,0.26717726584040924,0.5610255677724144,0.0,0.012261040909598507,0.008175908811845985,0.28915584403103634,0.005773502691896258,0.20246355745377984,0.3489902177629137,0.020543266329335393,0.19236977235362893,0.19236977235362893,0.0,0.26578082593562863,0.016351888911368826,9.539392014169456,0.4127554020585228,0.09228380316335053,0.5098721986868595
no_init_box_kenn_hybrid_adapter_bert_ms,0.8259765307108561,0.84327632188797,0.8513555725415548,0.8513555725415548,0.8884392182032267,0.03801445166269938,0.84327632188797,0.8004949490229288,0.8354188203811646,0.7180076440175375,0.8473138809204102,0.7602049112319946,0.8259765307108561,0.7970897356669108,0.07555764665206273,0.8528309861818949,0.46666667858759564,0.8333333333333334,0.6722222367922465,0.6722222367922465,0.6722222765286764,0.9273049831390381,0.8354188203811646,0.7536041140556335,0.07871185739835103,0.8679991364479065,0.936170220375061,0.783401091893514,0.7272727489471436,0.8525324066480001,0.8777777751286825,0.6722222765286764,0.8365081548690796,0.8109782934188843,0.03801445166269938,0.5487866600354513,0.9876543283462524,0.17499999999999996,0.8525324066480001,0.8473138809204102,0.6722222765286764,0.10000000000000002,0.8365081548690796,0.748676598072052,0.08215519537528355,0.8256902098655701,0.8256902098655701,0.8186047077178955,0.8004949490229288,0.03801445166269938,47.0,0.7644932667414347,0.8528368870417277,0.9294068415959676,0.0006396887145528685,0.0005129936108029856,0.006503507026977957,0.006503507026977957,0.010096055368587875,0.0033099758165591035,0.0005129936108029856,0.0022065176809004227,0.006940885986064883,0.10745948413074369,0.0016549827815012224,0.0390209233559962,0.0006396887145528685,0.0007901894321945148,0.0016549841955962245,0.062468288615996063,0.13333334028720883,0.022804453508000276,0.05853141332110525,0.05853141332110525,0.05853144160822273,0.003071028910443334,0.006940885986064883,0.005655689253209045,0.0008944633749642695,0.08151312511135599,0.0,0.0017495822384617204,0.0,0.002481902772190789,0.019244990619516757,0.05853144160822273,0.0005052927891057628,0.041645546047103875,0.0033099758165591035,0.06768969574311438,0.021383330557853734,0.0,0.002481902772190789,0.0016549827815012224,0.05853144160822273,0.14730919862656236,0.0005052927891057628,0.012132491270799376,0.0002720801672079629,4.753809538616332e-05,4.753809538616332e-05,0.0,0.0022065176809004227,0.0033099758165591035,2.6457513110645907,0.017825796171284457,0.018680249067149195,0.017558762714432012
no_init_box_kenn_top_down_adapter_bert_ms,0.8264215985933939,0.8307647705078125,0.84024445215861,0.84024445215861,0.8712389866511027,0.032359408835570015,0.8307647705078125,0.8011162479718527,0.8215590318044027,0.4685314695040385,0.8444863557815552,0.693538248538971,0.8264215985933939,0.7803957859675089,0.07273012648026149,0.7280929088592529,0.26666667064030963,0.7943723003069559,0.5722222328186035,0.5722222328186035,0.5722222626209259,0.9290780226389567,0.8215590318044027,0.6928139925003052,0.0771879901488622,0.9070987701416016,0.936170220375061,0.7090978423754374,0.7272727489471436,0.8482921123504639,0.8777777751286825,0.5722222626209259,0.8353527386983236,0.727819542090098,0.032359408835570015,0.3345259428024292,0.9876543283462524,0.17499999999999996,0.8482921123504639,0.8444863557815552,0.5722222626209259,0.14666666666666667,0.8353527386983236,0.6391878525416056,0.0823122834165891,0.8240226705869039,0.8240226705869039,0.8186047077178955,0.8011162479718527,0.032359408835570015,36.666666666666664,0.7680214246114095,0.8209219773610433,0.9294068415959676,0.0008162189941944225,0.018686922545040167,0.013650214691292914,0.013650214691292914,0.02046188705210467,0.006947327579011408,0.018686922545040167,0.0012118611242396928,0.0240155025690961,0.41116264886238896,0.003473657051080515,0.08190127601837999,0.0008162189941944225,0.02202868252145378,0.0034736644633606237,0.21613942048481868,0.24037008723511322,0.047864365216064075,0.12285192009225185,0.12285192009225185,0.12285192615694064,0.008125152752554106,0.0240155025690961,0.0823709342667548,0.0018128308735469517,0.06664310752811439,0.0,0.11044349852469663,0.0,0.0052092807258552,0.019244990619516757,0.12285192615694064,0.0012966201919424037,0.14409292846121033,0.006947327579011408,0.2920198346377359,0.021383330557853734,0.0,0.0052092807258552,0.003473657051080515,0.12285192615694064,0.18475208614068026,0.0012966201919424037,0.1585738079804793,0.0007198523944815749,0.002185013449578907,0.002185013449578907,0.0,0.0012118611242396928,0.006947327579011408,16.289055630494154,0.00969810154942289,0.03920808105253441,0.017558762714432012
no_init_kenn_bottom_up_adapter_bert_ms,0.7938737074534098,0.8306355675061544,0.8898268143335978,0.8898268143335978,0.8906665444374084,0.05152371898293495,0.8306355675061544,0.7594447731971741,0.7791139682133993,0.39718614021937054,0.8597235282262167,0.956028401851654,0.7938737074534098,0.7219703793525696,0.08529688666264217,0.5105658372243246,0.9666666388511658,0.9610389471054077,0.949999988079071,0.9499999682108561,0.9111111760139465,0.8309692541758219,0.7791139682133993,0.6192567845185598,0.07890919347604115,0.4772218664487203,0.9680851101875304,0.7132094303766886,0.7165354490280151,0.8727915287017822,0.9333333174387614,0.9297396143277487,0.8254297375679016,0.5792223910490671,0.052577165265878044,0.553204357624054,0.6239455143610636,0.25,0.8727915287017822,0.8597235282262167,0.9500000476837158,0.08333333333333333,0.8254297375679016,0.6434935331344604,0.0736202746629715,0.8120370507240295,0.8120370507240295,0.8235293626785278,0.7594447731971741,0.05372290313243866,25.666666666666668,0.5843310952186584,0.9627659519513448,0.7132295568784078,0.015829571309565978,0.013488898843601967,0.0018518567088463408,0.0018518567088463408,0.040738435222705635,0.001784138310359134,0.013488898843601967,0.024330369589413873,0.025259573180215676,0.13942501361828558,0.0004712641242307519,0.011111080646514893,0.015829571309565978,0.08793738640491647,0.00047125294805064045,0.22733614995208343,0.0,0.006493508815765367,0.016666650772094657,0.016666680574425954,0.031549494833389036,0.07573089663401654,0.025259573180215676,0.1620341386771397,0.0036092449870188314,0.19050182835653656,0.0,0.11074405340859887,0.0,0.0007067322731018066,0.033333331346516226,0.009892939076935267,0.008351623552995475,0.15155744266447813,0.0005594513798706753,0.14442281919557048,0.3279591019558847,0.0,0.0007067322731018066,0.0004712641242307519,0.016666650772094643,0.09291573243177569,0.008351623552995475,0.18055513171985169,0.006709424296256479,0.013631407522796292,0.013631407522796292,0.0,0.024330369589413873,0.0009425058960914612,0.5773502691896255,0.11603968539031449,0.005319148302106035,0.20544649859280054
no_init_kenn_horizontal_adapter_bert_ms,0.8029898405075073,0.8381597598393759,0.8873576720555624,0.8873576720555624,0.9215262730916342,0.05183788761496544,0.8381597598393759,0.7754960258801779,0.7942692438761393,0.48821690678596497,0.8590951959292094,0.9412136077880859,0.8029898405075073,0.7775923013687134,0.08466855188210805,0.6469634771347046,0.9333333373069764,0.9523809353510538,0.9277777870496114,0.9277777671813965,0.9166667461395264,0.890070915222168,0.7942692438761393,0.7172911167144775,0.08164323618014653,0.591465691725413,0.9680851101875304,0.7792767286300659,0.7165354490280151,0.8718492190043131,0.9222222169240316,0.9221595128377279,0.8300824364026388,0.6701541741689047,0.05214850728710493,0.6402786572774252,0.8057100375493368,0.25,0.8718492190043131,0.8590951959292094,0.9277778466542562,0.12,0.8300824364026388,0.7537017265955607,0.07885642598072688,0.8208297888437907,0.8208297888437907,0.8235293626785278,0.7754960258801779,0.052466227362553276,23.0,0.6585972309112549,0.9556737740834554,0.8350721796353658,0.0076284496876688245,0.009781114860818505,0.0010692043819261754,0.0010692043819261754,0.013537573883870559,0.0004712529480457306,0.009781114860818505,0.010230457386056133,0.01801095520685755,0.045002483027660356,0.00027206726242380813,0.00641501981501064,0.0076284496876688245,0.04137963501850888,0.00027207586561324865,0.16209845083255775,0.0,0.0037490290627674146,0.009622495309758422,0.009622529722516161,0.008333325386047336,0.027865659802283067,0.01801095520685755,0.08884715178641835,0.001199366216965588,0.11852051721006791,0.0,0.07517019232086872,0.0,0.0004080320681203082,0.0192450250322745,0.00637369364951442,0.003989163499159576,0.1080656639753987,0.00036043372201892415,0.038332744741767864,0.30714143001279837,0.0,0.0004080320681203082,0.00027206726242380813,0.009622495309758422,0.11532562594670796,0.003989163499159576,0.11764282620738174,0.0024687754717815894,0.00561976033018811,0.00561976033018811,0.0,0.010230457386056133,0.0005441581836185702,4.358898943540674,0.05957330521718594,0.00307099449768558,0.19604987562623025
no_init_kenn_hybrid_adapter_bert_ms,0.8008901675542196,0.8366862336794535,0.889209508895874,0.889209508895874,0.8859105110168457,0.0527803972363472,0.8366862336794535,0.7702835202217102,0.7901260058085123,0.4052075843016307,0.8595664302508036,0.9523246685663859,0.8008901675542196,0.7582331498463949,0.08513980110486348,0.609674483537674,0.9666666388511658,0.9588744441668192,0.9444444378217062,0.9444444179534912,0.9333333969116211,0.8221040368080139,0.7901260058085123,0.675047238667806,0.07848783085743587,0.5282440682252248,0.9680851101875304,0.766481856505076,0.7165354490280151,0.8725559512774149,0.9222222169240316,0.9387897451718649,0.8291873137156168,0.6452948252360026,0.05308895433942477,0.5708786050478617,0.8141414125760397,0.25,0.8725559512774149,0.8595664302508036,0.944444497426351,0.11,0.8291873137156168,0.7340996066729227,0.07283484935760498,0.818219800790151,0.818219800790151,0.8235293626785278,0.7702835202217102,0.05340873450040817,25.333333333333332,0.6279218196868896,0.9609928925832113,0.8465084036191305,0.0042505945048432366,0.008465853953180015,0.0010691355564107473,0.0010691355564107473,0.01652017145839544,0.0009425058960914612,0.008465853953180015,0.00825759112220293,0.015547201590835506,0.018608896994556836,0.00027206726242380813,0.006415002608701078,0.0042505945048432366,0.031905841618549806,0.00027207586561324865,0.13992485496332555,0.0,0.0037490290627672225,0.00962249530975831,0.009622529722516,0.016666650772094727,0.030211313481569475,0.015547201590835506,0.06331470563777,0.001463615286267129,0.07695425251682356,0.0,0.06723127564487931,0.0,0.0004080320681203082,0.0192450250322745,0.009709547061368659,0.002186329488975252,0.09328323323877892,0.000549080223875944,0.018351031247994174,0.2662761202269744,0.0,0.0004080320681203082,0.00027206726242380813,0.00962249530975831,0.06244997998398399,0.002186329488975252,0.10725472448360444,0.0026765904609402894,0.004553918650098826,0.004553918650098826,0.0,0.00825759112220293,0.0005441560328212146,0.5773502691896263,0.04412555455599185,0.003070994497685612,0.16269132026546032
no_init_kenn_top_down_adapter_bert_ms,0.8010001182556152,0.8377514878908793,0.889209508895874,0.889209508895874,0.9055155316988627,0.05325165018439293,0.8377514878908793,0.7719096144040426,0.792032798131307,0.4262198706467946,0.8595664302508036,0.9523246884346008,0.8010001182556152,0.7651558717091879,0.08513980110486348,0.626835415760676,0.9666666388511658,0.9588744441668192,0.9444444378217062,0.9444444179534912,0.9416667222976685,0.8569740255673727,0.792032798131307,0.6909447511037191,0.08022474497556686,0.5505423049132029,0.9680851101875304,0.7745215694109598,0.7165354490280151,0.8725559512774149,0.9222222169240316,0.9430494904518127,0.8292397459348043,0.6567354400952657,0.053329844027757645,0.5885228514671326,0.8274509906768799,0.25,0.8725559512774149,0.8595664302508036,0.944444497426351,0.29,0.8292397459348043,0.7466985185941061,0.07592417548100154,0.8191302816073099,0.8191302816073099,0.8235293626785278,0.7719096144040426,0.05340873450040817,25.333333333333332,0.6379495859146118,0.9609928925832113,0.8573532501856486,0.006827903707248499,0.008496111155346786,0.0010691355564107473,0.0010691355564107473,0.024370025345202315,0.0004712529480457306,0.008496111155346786,0.009604382026362705,0.015828084386882713,0.08245453997582905,0.00027206726242380813,0.006414968195943388,0.006827903707248499,0.03850680036128659,0.00027207586561324865,0.14245273182719015,0.0,0.0037490290627672225,0.00962249530975831,0.009622529722516,0.008333325386047336,0.04658545990755888,0.015828084386882713,0.0828454100566131,0.002159079137631852,0.11040196997783598,0.0,0.06585725511919993,0.0,0.0004080320681203082,0.0192450250322745,0.008670666369667745,0.003526729662462844,0.09496848657071498,0.0004903313185127385,0.07787793446784189,0.24342170396683294,0.0,0.0004080320681203082,0.00027206726242380813,0.00962249530975831,0.15132745950421556,0.003526729662462844,0.10329814450024316,0.004127267526249197,0.005224601015452959,0.005224601015452959,0.0,0.009604382026362705,0.0005441560328212146,0.5773502691896263,0.0557711963425154,0.003070994497685612,0.1439272577115612
smart_init_box_adapter_bert_ms,0.786993404229482,0.8194353381792704,0.8840716083844503,0.8840716083844503,0.6782174309094747,0.02733270451426506,0.8194353381792704,0.7019673585891724,0.7636193037033081,0.20700367291768393,0.8556393186251322,0.9565012454986572,0.786993404229482,0.5238238175710043,0.08388313154379527,0.2066353758176168,0.9777777791023254,0.948051929473877,0.9666666785875956,0.9666666785875956,0.4833333492279053,0.5283687710762024,0.7636193037033081,0.3396723469098409,0.06008712823192278,0.2066297084093094,0.936170220375061,0.5437803268432617,0.7272727489471436,0.8650176723798116,0.9555555383364359,0.6444444457689921,0.8198764522870382,0.3801811635494232,0.036443604777256645,0.3408883213996887,0.20626708368460336,0.17499999999999996,0.8650176723798116,0.8556393186251322,0.9666666984558105,0.07333333333333335,0.8198764522870382,0.33967960874239606,0.04681118826071421,0.7749322454134623,0.7749322454134623,0.8186047077178955,0.7019673585891724,0.05466540902853012,15.333333333333334,0.36267170310020447,0.9468085368474325,0.33845887581507367,0.004325688890289143,0.0006173767574260228,0.00320747549474767,0.00320747549474767,0.00014446475684987188,0.0008162340492318218,0.0006173767574260228,0.016351578019628867,0.0029374908658789966,0.024004998464513025,0.0008162362000291624,0.019245059445032048,0.004325688890289143,0.03488865820167172,0.0008162362000291805,0.026437355764470625,0.038490015651791123,0.011247087188302132,0.0288675203420327,0.0288675203420327,0.014433742964637562,0.0030710289104432698,0.0029374908658789966,0.033793695128384274,1.279294267721535e-05,0.026428378799990004,0.0,0.014995002420291576,0.0,0.0012240617916032825,0.019244990619516702,0.019244990619516733,0.0020068952938834634,0.017624908240422572,0.0010883142164397847,0.03000639422794601,0.028892484578995993,0.0,0.0012240617916032825,0.0008162362000291624,0.02886748592927501,0.0929157324317757,0.0020068952938834634,0.03380501598232135,0.0002720758656132517,0.00947419335010168,0.00947419335010168,0.0,0.016351578019628867,0.0016324680984636437,1.1547005383792515,0.035262445695213265,0.00921305231857212,0.03761951349179679
smart_init_classifier_adapter_bert_ms,0.7867211103439331,0.8070891499519348,0.868839164574941,0.868839164574941,0.7358609437942505,0.025761859491467476,0.8070891499519348,0.7382170756657919,0.753690222899119,0.30039533972740173,0.8543826341629028,0.8301024436950684,0.7867211103439331,0.6153306166330973,0.07995601495107015,0.2817522982756297,0.7888888915379842,0.88744588692983,0.7611111005147299,0.7611111203829447,0.45555558800697327,0.6282505591710409,0.753690222899119,0.4064462681611379,0.06519409144918124,0.28159457445144653,0.9680851101875304,0.5611792008082072,0.7165354490280151,0.8647820949554443,0.7333333293596903,0.5670884450276693,0.8191244602203369,0.4266800383726756,0.032069090753793716,0.4296356439590454,0.2631092617909114,0.25,0.8647820949554443,0.8543826341629028,0.7611111402511597,0.22666666666666668,0.8191244602203369,0.4065942366917928,0.055660280088583626,0.7963801026344299,0.7963801026344299,0.8235293626785278,0.7382170756657919,0.043041154742240906,11.666666666666666,0.47399431467056274,0.902482271194458,0.3834046522776286,0.0074362124460333485,0.007643878546379301,0.020314195907043323,0.020314195907043323,0.04525403998849026,0.001439703366341704,0.007643878546379301,0.015944125423974703,0.002166258273526297,0.04244221903728683,0.005169526120148649,0.12188506133679165,0.0074362124460333485,0.021047938799703497,0.005169487971794614,0.0194961263935272,0.15752716133565164,0.07123151868542135,0.18282756845961556,0.18282755849802962,0.025458742588308415,0.08672248557278847,0.002166258273526297,0.013521795099326515,0.004009313321393792,0.019426117345620882,0.0,0.01783932099155666,0.0,0.007752428174531609,0.23333331942558352,0.06974907842403154,0.0017428186171700023,0.01299743826330432,0.003944342469151218,0.03335586221886283,0.03330251150473227,0.0,0.007752428174531609,0.005169526120148649,0.18282759200518742,0.18610033136277146,0.0017428186171700023,0.013310525706986683,0.007683236636306787,0.006156140848533275,0.006156140848533275,0.0,0.015944125423974703,0.010338978037786613,0.5773502691896255,0.04185333598266259,0.05834923415001074,0.05884940548448925
