name,instance,run_id,test_incremental_only/macro_example_exclusive/precision,test_incremental/macro_types/recall,test_incremental_only/micro/precision,test_incremental_only/macro_types/precision,test_incremental/micro/f1,test_pretraining/micro/precision,test_incremental_only/macro_types/f1,test_incremental_EVENT/macro_types/f1,test/macro_example/f1,test_pretraining/micro/f1,test_incremental_only/macro_example_exclusive/recall,test/macro_example/recall,test/macro_example/precision,test_incremental_only/micro/f1,test_incremental_only/macro_example/f1,test_incremental/macro_example/precision,test_incremental_EVENT/macro_types/precision,test_pretraining/macro_types/f1,test_pretraining/macro_types/recall,test_incremental/macro_example/recall,test_incremental/macro_example_exclusive/f1,test_incremental_EVENT-WAR/macro_types/recall,test_incremental_EVENT-HURRICANE/macro_types/recall,test_pretraining/micro/recall,test_incremental_only/micro/recall,test_incremental_only/macro_example/precision,test_incremental_only/macro_types/recall,test/micro/f1,test_pretraining/macro_types/precision,test_incremental/macro_example_exclusive/precision,test_incremental_EVENT-HURRICANE/macro_types/f1,test_incremental_EVENT-HURRICANE/macro_types/precision,threshold_incremental,test/macro_types/precision,test_incremental_EVENT/macro_types/recall,test_incremental/macro_example_exclusive/recall,test_incremental/micro/recall,test_pretraining/macro_example/recall,test_incremental_EVENT-WAR/macro_types/precision,test/macro_types/f1,test/micro/precision,test_incremental_only/macro_example/recall,test_incremental_only/macro_example_exclusive/f1,epoch,test_incremental/macro_types/f1,test_pretraining/macro_example/f1,test/micro/recall,threshold_pretraining,test_incremental/macro_types/precision,test/macro_types/recall,test_incremental/micro/precision,test_incremental/macro_example/f1,test_pretraining/macro_example/precision,test_incremental_EVENT-WAR/macro_types/f1
no_init_box_kenn_horizontal_adapter_bert_ms,2,onr6x8b2,0.5666667222976685,0.6898345351219177,1.0,1.0,0.7896440029144287,0.8032128810882568,0.7234042882919312,0.8186047077178955,0.8357605934143066,0.8250257968902588,0.5666667222976685,0.8443292379379272,0.8273640871047974,0.7234042882919312,0.032045237720012665,0.08294062316417694,0.7272727489471436,0.8456554412841797,0.8396271467208862,0.07257304340600967,0.8737589120864868,0.23333333432674408,0.8999999761581421,0.8480565547943115,0.5666666626930237,0.032045237720012665,0.5666666626930237,0.8250257968902588,0.8517708778381348,0.936170220375061,0.9473683834075928,1.0,0.06999999999999999,0.8517708778381348,0.936170220375061,0.8191489577293396,0.7922077775001526,0.8443292379379272,1.0,0.8456554412841797,0.8032128810882568,0.032045237720012665,0.5666667222976685,54,0.784429669380188,0.8357605934143066,0.8480565547943115,0.175,0.9090909957885742,0.8396271467208862,0.7870967984199524,0.0774112418293953,0.8273640871047974,0.3783783614635467
no_init_box_kenn_horizontal_adapter_bert_ms,1,bmb8iy0b,0.7500000596046448,0.8120567798614502,0.8035714030265808,0.8166666626930237,0.8036253452301025,0.7988126873970032,0.7819149494171143,0.8186047077178955,0.8356232047080994,0.8263391256332397,0.7500000596046448,0.849513053894043,0.8221802711486816,0.7758619785308838,0.04241281747817993,0.07775682955980301,0.7272727489471436,0.8454572558403015,0.859997570514679,0.07775682955980301,0.8776595592498779,0.6333333253860474,0.8666666746139526,0.8558303713798523,0.75,0.04241281747817993,0.75,0.8263391256332397,0.8314005136489868,0.8776595592498779,0.9285714626312256,1.0,0.01,0.8314005136489868,0.936170220375061,0.8776595592498779,0.8636363744735718,0.849513053894043,0.6333333253860474,0.8454572558403015,0.7988126873970032,0.04241281747817993,0.7500001192092896,46,0.7992643713951111,0.8356232047080994,0.8558303713798523,0.175,0.7868687510490417,0.859997570514679,0.7514124512672424,0.07775682955980301,0.8221802711486816,0.6333333253860474
no_init_box_kenn_horizontal_adapter_bert_ms,0,twjbmr8r,0.23333336412906647,0.4676123261451721,1.0,0.5,0.7058823704719543,0.8005427122116089,0.3181818127632141,0.8186047077178955,0.8311170339584351,0.816891610622406,0.23333336412906647,0.8349041938781738,0.8273640871047974,0.3783783614635467,0.013195098377764223,0.08294062316417694,0.7272727489471436,0.7993900179862976,0.8025901317596436,0.06314797699451447,0.8093342781066895,0.0,0.46666666865348816,0.833922266960144,0.23333333432674408,0.013195098377764223,0.23333333432674408,0.816891610622406,0.7962153553962708,0.936170220375061,0.6363636255264282,1.0,0.01,0.7962153553962708,0.936170220375061,0.7127659916877747,0.6623376607894897,0.8349041938781738,0.0,0.7993900179862976,0.8005427122116089,0.013195098377764223,0.23333336412906647,26,0.5160803198814392,0.8311170339584351,0.833922266960144,0.175,0.575757622718811,0.8025901317596436,0.7555555701255798,0.07170350849628448,0.8273640871047974,0.0
no_init_box_kenn_hybrid_adapter_bert_ms,2,9cy32x2x,0.5500000715255737,0.6787234544754028,1.0,1.0,0.7857142090797424,0.8030810356140137,0.7096774578094482,0.8186047077178955,0.8355296850204468,0.8246216773986816,0.5500000715255737,0.843858003616333,0.8273640871047974,0.7096774578094482,0.031102731823921204,0.08294062316417694,0.7272727489471436,0.8447151780128479,0.8377753496170044,0.07210178673267365,0.8707236647605896,0.20000000298023224,0.8999999761581421,0.8473498225212097,0.550000011920929,0.031102731823921204,0.550000011920929,0.8246216773986816,0.8517708778381348,0.936170220375061,0.9473683834075928,1.0,0.26,0.8517708778381348,0.936170220375061,0.813829779624939,0.7857142686843872,0.843858003616333,1.0,0.8447151780128479,0.8030810356140137,0.031102731823921204,0.5500000715255737,53,0.7771958112716675,0.8355296850204468,0.8473498225212097,0.175,0.9090909957885742,0.8377753496170044,0.7857142686843872,0.07714233547449112,0.8273640871047974,0.3333333134651184
no_init_box_kenn_top_down_adapter_bert_ms,2,myk65u8m,0.5666667222976685,0.6898345351219177,1.0,1.0,0.7896440029144287,0.8032128810882568,0.7234042882919312,0.8186047077178955,0.8357605934143066,0.8250257968902588,0.5666667222976685,0.8443292379379272,0.8273640871047974,0.7234042882919312,0.032045237720012665,0.08294062316417694,0.7272727489471436,0.8456554412841797,0.8396271467208862,0.07257304340600967,0.8737589120864868,0.23333333432674408,0.8999999761581421,0.8480565547943115,0.5666666626930237,0.032045237720012665,0.5666666626930237,0.8250257968902588,0.8517708778381348,0.936170220375061,0.9473683834075928,1.0,0.34,0.8517708778381348,0.936170220375061,0.8191489577293396,0.7922077775001526,0.8443292379379272,1.0,0.8456554412841797,0.8032128810882568,0.032045237720012665,0.5666667222976685,53,0.784429669380188,0.8357605934143066,0.8480565547943115,0.175,0.9090909957885742,0.8396271467208862,0.7870967984199524,0.0774112418293953,0.8273640871047974,0.3783783614635467
no_init_box_kenn_bottom_up_adapter_bert_ms,2,fqngz9f9,0.5666667222976685,0.6898345351219177,1.0,1.0,0.7896440029144287,0.8032128810882568,0.7234042882919312,0.8186047077178955,0.8357605934143066,0.8250257968902588,0.5666667222976685,0.8443292379379272,0.8273640871047974,0.7234042882919312,0.032045237720012665,0.08294062316417694,0.7272727489471436,0.8456554412841797,0.8396271467208862,0.07257304340600967,0.8737589120864868,0.23333333432674408,0.8999999761581421,0.8480565547943115,0.5666666626930237,0.032045237720012665,0.5666666626930237,0.8250257968902588,0.8517708778381348,0.936170220375061,0.9473683834075928,1.0,0.05,0.8517708778381348,0.936170220375061,0.8191489577293396,0.7922077775001526,0.8443292379379272,1.0,0.8456554412841797,0.8032128810882568,0.032045237720012665,0.5666667222976685,53,0.784429669380188,0.8357605934143066,0.8480565547943115,0.175,0.9090909957885742,0.8396271467208862,0.7870967984199524,0.0774112418293953,0.8273640871047974,0.3783783614635467
no_init_box_kenn_hybrid_adapter_bert_ms,1,fk795pj2,0.7166666984558105,0.7898344993591309,0.8269230723381042,0.8269230723381042,0.8012232184410095,0.7996031641960144,0.7678571343421936,0.8186047077178955,0.8356530666351318,0.8261018395423889,0.7166666984558105,0.8485705852508545,0.8231228590011597,0.7678571343421936,0.04052780568599701,0.07869933545589447,0.7272727489471436,0.8442500233650208,0.8562938570976257,0.07681432366371155,0.8775306940078735,0.5666666626930237,0.8666666746139526,0.8544169664382935,0.7166666388511658,0.04052780568599701,0.7166666984558105,0.8261018395423889,0.8325401544570923,0.8882979154586792,0.9285714626312256,1.0,0.03,0.8325401544570923,0.936170220375061,0.8670213222503662,0.850649356842041,0.8485705852508545,0.6538461446762085,0.8442500233650208,0.7996031641960144,0.04052780568599701,0.7166666984558105,44,0.7917656898498535,0.8356530666351318,0.8544169664382935,0.175,0.7937062978744507,0.8562938570976257,0.7572254538536072,0.07774540781974792,0.8231228590011597,0.6071428060531616
no_init_box_kenn_top_down_adapter_bert_ms,1,ofqyrc28,0.7166666984558105,0.7898344993591309,0.8269230723381042,0.8269230723381042,0.8012232184410095,0.7996031641960144,0.7678571343421936,0.8186047077178955,0.8356530666351318,0.8261018395423889,0.7166666984558105,0.8485705852508545,0.8231228590011597,0.7678571343421936,0.04052780568599701,0.07869933545589447,0.7272727489471436,0.8442500233650208,0.8562938570976257,0.07681432366371155,0.8775306940078735,0.5666666626930237,0.8666666746139526,0.8544169664382935,0.7166666388511658,0.04052780568599701,0.7166666984558105,0.8261018395423889,0.8325401544570923,0.8882979154586792,0.9285714626312256,1.0,0.08,0.8325401544570923,0.936170220375061,0.8670213222503662,0.850649356842041,0.8485705852508545,0.6538461446762085,0.8442500233650208,0.7996031641960144,0.04052780568599701,0.7166666984558105,44,0.7917656898498535,0.8356530666351318,0.8544169664382935,0.175,0.7937062978744507,0.8562938570976257,0.7572254538536072,0.07774540781974792,0.8231228590011597,0.6071428060531616
no_init_box_kenn_bottom_up_adapter_bert_ms,1,17j3so05,0.7166666984558105,0.7898345589637756,0.8269230723381042,0.8333333730697632,0.8012232184410095,0.7996031641960144,0.7706093192100525,0.8186047077178955,0.8356530666351318,0.8261018395423889,0.7166666984558105,0.8485705256462097,0.8231228590011597,0.7678571343421936,0.04052780568599701,0.07869933545589447,0.7272727489471436,0.8446160554885864,0.8562938570976257,0.07681432366371155,0.8775306940078735,0.6000000238418579,0.8333333134651184,0.8544169664382935,0.7166666388511658,0.04052780568599701,0.7166666984558105,0.8261018395423889,0.8332524299621582,0.8882979154586792,0.9090909361839294,1.0,0.01,0.8332524299621582,0.936170220375061,0.8670213222503662,0.850649356842041,0.8485705256462097,0.6666666865348816,0.8446160554885864,0.7996031641960144,0.04052780568599701,0.7166666984558105,44,0.7938863039016724,0.8356530666351318,0.8544169664382935,0.175,0.7979798316955566,0.8562938570976257,0.7572254538536072,0.07774540781974792,0.8231228590011597,0.6315790414810181
no_init_box_kenn_hybrid_adapter_bert_ms,0,77h44974,0.21666668355464935,0.4565011858940125,1.0,0.5,0.701388955116272,0.800407350063324,0.302325576543808,0.8186047077178955,0.8308835029602051,0.8164820075035095,0.21666668355464935,0.8344329595565796,0.8273640871047974,0.3561643660068512,0.01225259155035019,0.08294062316417694,0.7272727489471436,0.7984704375267029,0.8007382750511169,0.06267672032117844,0.8058940768241882,0.0,0.4333333373069763,0.8332155346870422,0.21666666865348816,0.01225259155035019,0.21666666865348816,0.8164820075035095,0.7962153553962708,0.936170220375061,0.604651153087616,1.0,0.1,0.7962153553962708,0.936170220375061,0.707446813583374,0.6558441519737244,0.8344329595565796,0.0,0.7984704375267029,0.800407350063324,0.01225259155035019,0.21666668355464935,28,0.5092406272888184,0.8308835029602051,0.8332155346870422,0.175,0.575757622718811,0.8007382750511169,0.753731369972229,0.07139872759580612,0.8273640871047974,0.0
