name,instance,run_id,test_pretraining/micro/precision,test_incremental_only/macro_types/precision,test_incremental_EVENT/macro_types/precision,test_incremental_only/macro_example/precision,test_incremental/macro_types/f1,test_incremental_only/macro_example_exclusive/precision,epoch,test_pretraining/macro_example/f1,test_pretraining/micro/f1,test_pretraining/macro_types/f1,threshold_incremental,test/macro_example/precision,test_incremental/micro/recall,test_incremental/macro_example/f1,test_incremental/macro_example_exclusive/recall,test_incremental_EVENT-HURRICANE/macro_types/precision,test/micro/f1,test_incremental_EVENT/macro_types/recall,test_incremental/macro_example_exclusive/f1,test_incremental/macro_example_exclusive/precision,test_incremental_only/macro_types/recall,test_incremental_EVENT-WAR/macro_types/f1,test_incremental_only/micro/recall,test_pretraining/macro_example/recall,test_incremental/macro_example/precision,test_incremental_EVENT-WAR/macro_types/recall,test_incremental/micro/f1,test/macro_types/precision,test_incremental_only/micro/f1,test_pretraining/macro_types/recall,test_incremental/macro_types/precision,test_incremental_only/macro_example_exclusive/recall,test/micro/recall,threshold_pretraining,test_incremental/macro_types/recall,test_incremental_only/micro/precision,test_pretraining/macro_types/precision,test/macro_example/f1,test_incremental_EVENT-HURRICANE/macro_types/f1,test_pretraining/macro_example/precision,test_incremental_only/macro_example/recall,test/macro_types/recall,test/micro/precision,test_incremental/micro/precision,test_incremental_only/macro_types/f1,test/macro_example/recall,test_pretraining/micro/recall,test_incremental_only/macro_example_exclusive/f1,test/macro_types/f1,test_incremental/macro_example/recall,test_incremental_EVENT/macro_types/f1,test_incremental_only/macro_example/f1,test_incremental_EVENT-WAR/macro_types/precision,test_incremental_EVENT-HURRICANE/macro_types/recall
no_init_box_kenn_horizontal_adapter_bert_ms,2,2g7ca594,0.8002637028694153,0.8500000238418579,0.7272727489471436,0.045240338891744614,0.8268423676490784,0.8000000715255737,27,0.8367940187454224,0.8281037211418152,0.850055992603302,0.01,0.8231228590011597,0.8831169009208679,0.07893425226211548,0.8936170339584351,1.0,0.8281037211418152,0.936170220375061,0.890949547290802,0.8882979154586792,0.7999999523162842,0.699999988079071,0.800000011920929,0.8509268164634705,0.07869933545589447,0.699999988079071,0.8192771673202515,0.83510422706604,0.8205128312110901,0.865553081035614,0.8090909719467163,0.8000000715255737,0.8579505085945129,0.175,0.8453900814056396,0.8421052694320679,0.83510422706604,0.8367940187454224,0.9473683834075928,0.8231228590011597,0.045240338891744614,0.865553081035614,0.8002637028694153,0.7640449404716492,0.8242424726486206,0.8509268164634705,0.8579505085945129,0.8000000715255737,0.850055992603302,0.0791705921292305,0.8186047077178955,0.045240338891744614,0.699999988079071,0.8999999761581421
no_init_box_kenn_horizontal_adapter_bert_ms,1,aoax21jp,0.7982972860336304,0.8205128312110901,0.7272727489471436,0.04995287582278251,0.841511070728302,0.8833333849906921,33,0.8381757140159607,0.8286879062652588,0.8527787923812866,0.01,0.8235940933227539,0.9155844449996948,0.08129055798053741,0.920212745666504,1.0,0.8286879062652588,0.936170220375061,0.91754549741745,0.914893627166748,0.8833333253860474,0.7246376276016235,0.8833333253860474,0.8532830476760864,0.08105560392141342,0.8333333134651184,0.824561357498169,0.8318278789520264,0.8346456289291382,0.8748123645782471,0.7894328236579895,0.8833333849906921,0.8614841103553772,0.175,0.9009456634521484,0.7910447716712952,0.8318278789520264,0.8381757140159607,0.9655172228813172,0.8235940933227539,0.04995287582278251,0.8748123645782471,0.7982972860336304,0.75,0.8507649898529053,0.8532830476760864,0.8614841103553772,0.8833333849906921,0.8527787923812866,0.08152686059474945,0.8186047077178955,0.04995287582278251,0.6410256624221802,0.9333333373069764
no_init_box_kenn_horizontal_adapter_bert_ms,0,v3pdxz5t,0.7920727729797363,0.7450980544090271,0.7272727489471436,0.04995287209749222,0.8120710253715515,0.8833333849906921,45,0.8356056809425354,0.825321614742279,0.8483536839485168,0.01,0.8186458945274353,0.9155844449996948,0.07859775424003601,0.920212745666504,1.0,0.825321614742279,0.936170220375061,0.8871512413024902,0.8563829660415649,0.8833333253860474,0.6172839999198914,0.8833333253860474,0.8532830476760864,0.07587181776762009,0.8333333134651184,0.7966101169586182,0.8234485387802124,0.7625898718833923,0.8748123645782471,0.7391562461853027,0.8833333849906921,0.8614841103553772,0.175,0.9009456634521484,0.6708860993385315,0.8234485387802124,0.8356056809425354,0.9655172228813172,0.8186458945274353,0.04995287209749222,0.8748123645782471,0.7920727729797363,0.7049999833106995,0.8083484172821045,0.8532830476760864,0.8614841103553772,0.8833333849906921,0.8483536839485168,0.08152686059474945,0.8186047077178955,0.04995286837220192,0.4901960790157318,0.9333333373069764
no_init_box_kenn_hybrid_adapter_bert_ms,2,2ipjioki,0.7996044754981995,0.8333333730697632,0.7272727489471436,0.044297829270362854,0.8157257437705994,0.783333420753479,19,0.836322546005249,0.8274216055870056,0.8482036590576172,0.01,0.8226515650749207,0.8766233921051025,0.07846300303936005,0.8882979154586792,1.0,0.8274216055870056,0.936170220375061,0.8856303095817566,0.8829787373542786,0.7833333015441895,0.6666666865348816,0.7833333611488342,0.8504555225372314,0.07822808623313904,0.6666666865348816,0.8132530450820923,0.8332524299621582,0.8034188151359558,0.8637012243270874,0.7979798316955566,0.783333420753479,0.8572438359260559,0.175,0.8342790007591248,0.8245614171028137,0.8332524299621582,0.836322546005249,0.9473683834075928,0.8226515650749207,0.044297829270362854,0.8637012243270874,0.7996044754981995,0.7584269642829895,0.80756014585495,0.8504555225372314,0.8572438359260559,0.7833333611488342,0.8482036590576172,0.07869933545589447,0.8186047077178955,0.044297829270362854,0.6666666865348816,0.8999999761581421
no_init_box_kenn_top_down_adapter_bert_ms,2,ebhpttso,0.7994740009307861,0.8382352590560913,0.7272727489471436,0.047125354409217834,0.833110511302948,0.8333333730697632,21,0.836761474609375,0.8283377885818481,0.8511577248573303,0.01,0.8221802711486816,0.8961039185523987,0.07891737669706345,0.9042553305625916,1.0,0.8283377885818481,0.936170220375061,0.8907589316368103,0.8776595592498779,0.8333333134651184,0.71875,0.8333333134651184,0.8518692851066589,0.07775682955980301,0.7666666507720947,0.8214285969734192,0.8337970972061157,0.8264462351799011,0.8692567944526672,0.8012478351593018,0.8333333730697632,0.8593639731407166,0.175,0.8676123023033142,0.8196721076965332,0.8337970972061157,0.836761474609375,0.9473683834075928,0.8221802711486816,0.047125354409217834,0.8692567944526672,0.7994740009307861,0.7582417726516724,0.8357770442962646,0.8518692851066589,0.8593639731407166,0.833333432674408,0.8511577248573303,0.08011309802532196,0.8186047077178955,0.047125354409217834,0.6764705777168274,0.8999999761581421
no_init_box_kenn_bottom_up_adapter_bert_ms,2,vyz57u90,0.8015872836112976,0.8799999952316284,0.7272727489471436,0.04335532337427139,0.8261187672615051,0.7666667699813843,19,0.8370670080184937,0.8281516432762146,0.8499823212623596,0.01,0.8245365619659424,0.8701298832893372,0.07915937155485153,0.8829787373542786,1.0,0.8281516432762146,0.936170220375061,0.8934904336929321,0.9042553305625916,0.7666666507720947,0.6909090876579285,0.7666666507720947,0.8499842882156372,0.08011309802532196,0.6333333253860474,0.819571852684021,0.838437557220459,0.8214284777641296,0.8618494272232056,0.82909095287323,0.7666667699813843,0.8565371036529541,0.175,0.8231678605079651,0.8846153616905212,0.838437557220459,0.8370670080184937,0.9473683834075928,0.8245365619659424,0.04335532337427139,0.8618494272232056,0.8015872836112976,0.7745664715766907,0.8194331526756287,0.8499842882156372,0.8565371036529541,0.7666667103767395,0.8499823212623596,0.07822808623313904,0.8186047077178955,0.04335532337427139,0.7599999904632568,0.8999999761581421
no_init_box_kenn_hybrid_adapter_bert_ms,1,pbfale4x,0.7975098490715027,0.8026316165924072,0.7272727489471436,0.048067860305309296,0.825025200843811,0.8500000238418579,27,0.8378021121025085,0.827609658241272,0.8499742746353149,0.02,0.8237512111663818,0.902597427368164,0.08105286210775375,0.9095745086669922,1.0,0.827609658241272,0.936170220375061,0.9148626923561096,0.920212745666504,0.8500000238418579,0.6764705777168274,0.8500000238418579,0.852340579032898,0.08152686059474945,0.7666666507720947,0.8152492642402649,0.829841136932373,0.8095238208770752,0.8711086511611938,0.7775119543075562,0.8500000238418579,0.8600706458091736,0.175,0.8787233829498291,0.7727272510528564,0.829841136932373,0.8378021121025085,0.9655172228813172,0.8237512111663818,0.048067860305309296,0.8711086511611938,0.7975098490715027,0.7433155179023743,0.8256369829177856,0.852340579032898,0.8600706458091736,0.8500000238418579,0.8499742746353149,0.08058434724807739,0.8186047077178955,0.048067860305309296,0.6052631735801697,0.9333333373069764
no_init_box_kenn_top_down_adapter_bert_ms,1,ed8rqyha,0.7938881516456604,0.7699999809265137,0.7272727489471436,0.05183788761496544,0.831116259098053,0.9166667461395264,25,0.8368349075317383,0.8269556164741516,0.8515634536743164,0.02,0.8201382160186768,0.9285714030265808,0.08004379272460938,0.9308511018753052,1.0,0.8269556164741516,0.936170220375061,0.9034730792045592,0.8776595592498779,0.9166666269302368,0.6749999523162842,0.9166666865348816,0.8542255759239197,0.0777568370103836,0.8999999761581421,0.8101983070373535,0.826215386390686,0.7971014380455017,0.8785160779953003,0.7557576298713684,0.9166667461395264,0.862897515296936,0.175,0.923167884349823,0.7051281929016113,0.826215386390686,0.8368349075317383,0.9655172228813172,0.8201382160186768,0.05183788761496544,0.8785160779953003,0.7938881516456604,0.7185929417610168,0.8369564414024353,0.8542255759239197,0.862897515296936,0.9166667461395264,0.8515634536743164,0.08246935904026031,0.8186047077178955,0.05183788761496544,0.5400000214576721,0.9333333373069764
no_init_box_kenn_bottom_up_adapter_bert_ms,1,i0rzi6qy,0.7959582805633545,0.79347825050354,0.7272727489471436,0.05183788761496544,0.8404934406280518,0.9166667461395264,25,0.8378151059150696,0.8280772566795349,0.8529468774795532,0.01,0.8220232129096985,0.9285714030265808,0.0810309499502182,0.9308511018753052,1.0,0.8280772566795349,0.936170220375061,0.9146153330802916,0.8989361524581909,0.9166666269302368,0.7105262875556946,0.9166666865348816,0.8542255759239197,0.07964184880256653,0.8999999761581421,0.8194841742515564,0.8288240432739258,0.8208954930305481,0.8785160779953003,0.771409809589386,0.9166667461395264,0.862897515296936,0.175,0.923167884349823,0.7432432174682617,0.8288240432739258,0.8378151059150696,0.9655172228813172,0.8220232129096985,0.05183788761496544,0.8785160779953003,0.7959582805633545,0.7333333492279053,0.8506355285644531,0.8542255759239197,0.862897515296936,0.9166667461395264,0.8529468774795532,0.08246935904026031,0.8186047077178955,0.05183788761496544,0.5869565010070801,0.9333333373069764
no_init_box_kenn_hybrid_adapter_bert_ms,0,estxi8ip,0.7943864464759827,0.7613636255264282,0.7272727489471436,0.048067860305309296,0.8092749714851379,0.8500000238418579,30,0.8362963199615479,0.8259246945381165,0.8475625514984131,0.03,0.8208450675010681,0.902597427368164,0.07938873767852783,0.9095745086669922,1.0,0.8259246945381165,0.936170220375061,0.8960793614387512,0.8829787373542786,0.8500000238418579,0.6216216087341309,0.8500000238418579,0.8523405194282532,0.07822808623313904,0.7666666507720947,0.8011528253555298,0.8252557516098022,0.7727272510528564,0.8711086511611938,0.75,0.8500000238418579,0.8600706458091736,0.175,0.8787233829498291,0.7083333134651184,0.8252557516098022,0.8362963199615479,0.9655172228813172,0.8208450675010681,0.048067860305309296,0.8711086511611938,0.7943864464759827,0.7202072739601135,0.8032439947128296,0.8523405194282532,0.8600706458091736,0.8500000238418579,0.8475625514984131,0.08058434724807739,0.8186047077178955,0.048067860305309296,0.5227272510528564,0.9333333373069764
