name,test_pretraining/micro/precision/mean,test_incremental_only/macro_types/precision/mean,test_incremental_EVENT/macro_types/precision/mean,test_incremental_only/macro_example/precision/mean,test_incremental/macro_types/f1/mean,test_incremental_only/macro_example_exclusive/precision/mean,epoch/mean,test_pretraining/macro_example/f1/mean,test_pretraining/micro/f1/mean,test_pretraining/macro_types/f1/mean,threshold_incremental/mean,test/macro_example/precision/mean,test_incremental/micro/recall/mean,test_incremental/macro_example/f1/mean,test_incremental/macro_example_exclusive/recall/mean,test_incremental_EVENT-HURRICANE/macro_types/precision/mean,test/micro/f1/mean,test_incremental_EVENT/macro_types/recall/mean,test_incremental/macro_example_exclusive/f1/mean,test_incremental/macro_example_exclusive/precision/mean,test_incremental_only/macro_types/recall/mean,test_incremental_EVENT-WAR/macro_types/f1/mean,test_incremental_only/micro/recall/mean,test_pretraining/macro_example/recall/mean,test_incremental/macro_example/precision/mean,test_incremental_EVENT-WAR/macro_types/recall/mean,test_incremental/micro/f1/mean,test/macro_types/precision/mean,test_incremental_only/micro/f1/mean,test_pretraining/macro_types/recall/mean,test_incremental/macro_types/precision/mean,test_incremental_only/macro_example_exclusive/recall/mean,test/micro/recall/mean,threshold_pretraining/mean,test_incremental/macro_types/recall/mean,test_incremental_only/micro/precision/mean,test_pretraining/macro_types/precision/mean,test/macro_example/f1/mean,test_incremental_EVENT-HURRICANE/macro_types/f1/mean,test_pretraining/macro_example/precision/mean,test_incremental_only/macro_example/recall/mean,test/macro_types/recall/mean,test/micro/precision/mean,test_incremental/micro/precision/mean,test_incremental_only/macro_types/f1/mean,test/macro_example/recall/mean,test_pretraining/micro/recall/mean,test_incremental_only/macro_example_exclusive/f1/mean,test/macro_types/f1/mean,test_incremental/macro_example/recall/mean,test_incremental_EVENT/macro_types/f1/mean,test_incremental_only/macro_example/f1/mean,test_incremental_EVENT-WAR/macro_types/precision/mean,test_incremental_EVENT-HURRICANE/macro_types/recall/mean,test_pretraining/micro/precision/std,test_incremental_only/macro_types/precision/std,test_incremental_EVENT/macro_types/precision/std,test_incremental_only/macro_example/precision/std,test_incremental/macro_types/f1/std,test_incremental_only/macro_example_exclusive/precision/std,epoch/std,test_pretraining/macro_example/f1/std,test_pretraining/micro/f1/std,test_pretraining/macro_types/f1/std,threshold_incremental/std,test/macro_example/precision/std,test_incremental/micro/recall/std,test_incremental/macro_example/f1/std,test_incremental/macro_example_exclusive/recall/std,test_incremental_EVENT-HURRICANE/macro_types/precision/std,test/micro/f1/std,test_incremental_EVENT/macro_types/recall/std,test_incremental/macro_example_exclusive/f1/std,test_incremental/macro_example_exclusive/precision/std,test_incremental_only/macro_types/recall/std,test_incremental_EVENT-WAR/macro_types/f1/std,test_incremental_only/micro/recall/std,test_pretraining/macro_example/recall/std,test_incremental/macro_example/precision/std,test_incremental_EVENT-WAR/macro_types/recall/std,test_incremental/micro/f1/std,test/macro_types/precision/std,test_incremental_only/micro/f1/std,test_pretraining/macro_types/recall/std,test_incremental/macro_types/precision/std,test_incremental_only/macro_example_exclusive/recall/std,test/micro/recall/std,threshold_pretraining/std,test_incremental/macro_types/recall/std,test_incremental_only/micro/precision/std,test_pretraining/macro_types/precision/std,test/macro_example/f1/std,test_incremental_EVENT-HURRICANE/macro_types/f1/std,test_pretraining/macro_example/precision/std,test_incremental_only/macro_example/recall/std,test/macro_types/recall/std,test/micro/precision/std,test_incremental/micro/precision/std,test_incremental_only/macro_types/f1/std,test/macro_example/recall/std,test_pretraining/micro/recall/std,test_incremental_only/macro_example_exclusive/f1/std,test/macro_types/f1/std,test_incremental/macro_example/recall/std,test_incremental_EVENT/macro_types/f1/std,test_incremental_only/macro_example/f1/std,test_incremental_EVENT-WAR/macro_types/precision/std,test_incremental_EVENT-HURRICANE/macro_types/recall/std
no_init_box_kenn_bottom_up_adapter_bert_ms,0.7967111070950826,0.8078260819117228,0.7272727489471436,0.04838202769557635,0.8268838922182719,0.8555556337038676,25.333333333333332,0.8369110623995463,0.8272766868273417,0.8505239486694336,0.01,0.8218923211097717,0.9047619104385376,0.07968006034692128,0.9113475282986959,1.0,0.8272766868273417,0.936170220375061,0.8993675311406454,0.8882978757222494,0.855555534362793,0.675478458404541,0.8555555542310079,0.8524976372718811,0.0786993404229482,0.7888888716697693,0.8126409649848938,0.8304182688395182,0.8034799695014954,0.8717259565989176,0.7809750239054362,0.8555556337038676,0.8603062431017557,0.17499999999999996,0.8824271361033121,0.7691152493158976,0.8304182688395182,0.8369110623995463,0.959467609723409,0.8218923211097717,0.04838202769557635,0.8717259565989176,0.7967111070950826,0.7388141751289368,0.8270977338155111,0.8524976372718811,0.8603062431017557,0.8555556138356527,0.8505239486694336,0.08074143528938293,0.8186047077178955,0.04838202645381292,0.6156521638234457,0.9222222169240316,0.004546749404724699,0.06617699668044841,0.0,0.004454114740961234,0.013243572742238429,0.07876357541259354,6.5064070986477125,0.0009912594713858405,0.001451524932825643,0.002202639239197257,0.0,0.002712056749744413,0.030687102307732507,0.0011800959548793034,0.025137320470614538,0.0,0.001451524932825643,0.0,0.013320019539695421,0.02318562307734877,0.07876358592306151,0.04480250779958039,0.0787636090460921,0.00222705691067437,0.002054144832018117,0.13877772502594468,0.011928798443016572,0.007352957686259697,0.03062730932687599,0.008751499737238915,0.0441179869526359,0.07876357541259354,0.0033397960297884242,0.0,0.052509076200883936,0.10498292911094631,0.007352957686259697,0.0009912594713858405,0.010478237355634173,0.002712056749744413,0.004454114740961234,0.008751499737238915,0.004546749404724699,0.03335137240734313,0.020793418381449488,0.00222705691067437,0.0033397960297884242,0.0787636090460921,0.002202639239197257,0.0022270537575099446,0.0,0.004454114084057723,0.13235399336089684,0.01924502503227456
no_init_box_kenn_horizontal_adapter_bert_ms,0.796877920627594,0.8052036364873251,0.7272727489471436,0.04838202893733978,0.8268081545829773,0.8555556138356527,35.0,0.8368584712346395,0.827371080716451,0.8503961563110352,0.01,0.8217876156171163,0.9047619303067526,0.07960752149422963,0.911347508430481,1.0,0.827371080716451,0.936170220375061,0.8985487620035807,0.8865248362223307,0.855555534362793,0.6806405385335287,0.8555555542310079,0.8524976372718811,0.07854225238164265,0.7888888716697693,0.8134828805923462,0.8301268815994263,0.8059161106745402,0.8717259367307028,0.7792266805966696,0.8555556138356527,0.8603062431017557,0.17499999999999996,0.8824271361033121,0.7680120468139648,0.8301268815994263,0.8368584712346395,0.959467609723409,0.8217876156171163,0.04838202893733978,0.8717259367307028,0.796877920627594,0.7396816412607828,0.8277852932612101,0.8524976372718811,0.8603062431017557,0.8555556138356527,0.8503961563110352,0.0807414377729098,0.8186047077178955,0.04838202769557635,0.6104072431723276,0.9222222169240316,0.004275953897237274,0.05410068742667935,0.0,0.0027207833903027407,0.014720052498286156,0.04811251096154957,9.16515138991168,0.0012862282426341414,0.00179876378356907,0.0022320796740902013,0.0,0.0027309932260025675,0.018745145313836746,0.0014672309260638809,0.015355041313943343,0.0,0.00179876378356907,0.0,0.01656091028245808,0.02929560075865112,0.048112545374307286,0.0562342561001459,0.04811251096154957,0.0013603707248768268,0.0025954606606972807,0.07698003130358241,0.014849184521004552,0.00601114060301864,0.038181228616631625,0.005345849845842259,0.036067166286972555,0.04811251096154957,0.002040125927843923,0.0,0.0320750302495382,0.08790267835876758,0.00601114060301864,0.0012862282426341414,0.010478237355634173,0.0027309932260025675,0.0027207833903027407,0.005345849845842259,0.004275953897237274,0.03084522875321205,0.021429071155401103,0.0013603707248768268,0.002040125927843923,0.04811251096154957,0.0022320796740902013,0.001360392232850392,0.0,0.002720782314905976,0.10820136673159116,0.01924502503227456
no_init_box_kenn_hybrid_adapter_bert_ms,0.7971669236818949,0.7991095383961996,0.7272727489471436,0.046811183293660484,0.8166753053665161,0.8277778228123983,25.333333333333332,0.8368069926897684,0.8269853194554647,0.8485801617304484,0.02,0.8224159479141235,0.8939394156138102,0.07963486760854721,0.9024823109308878,1.0,0.8269853194554647,0.936170220375061,0.8988574544588724,0.8953900734583536,0.8277777830759684,0.6549196243286133,0.8277778029441833,0.8517122069994608,0.07932767768700917,0.7333333293596903,0.809885044892629,0.8294497728347778,0.7952232956886292,0.8686395088831583,0.7751639286677042,0.8277778228123983,0.8591283758481344,0.17499999999999996,0.863908588886261,0.7685406605402628,0.8294497728347778,0.8368069926897684,0.959467609723409,0.8224159479141235,0.046811183293660484,0.8686395088831583,0.7971669236818949,0.7406499187151591,0.8121470411618551,0.8517122069994608,0.8591283758481344,0.8277778029441833,0.8485801617304484,0.07995600998401642,0.8186047077178955,0.046811183293660484,0.5982190370559692,0.9222222169240316,0.002625862731808793,0.03611391582863861,0.0,0.002176628432879571,0.007917934176982779,0.03848998123903349,5.686240703077327,0.0008618984485141789,0.0009233281440902434,0.001249166850045938,0.01,0.0014673289800543497,0.014996116251069298,0.001312355689351705,0.012284046816257676,0.0,0.0009233281440902434,0.0,0.014812879574475303,0.021497064722072128,0.03849005006454892,0.02925059747209712,0.03849001565179121,0.0010883206692399137,0.0019045482656716067,0.05773500627130796,0.007627907069762769,0.004012678726290517,0.019719832452781732,0.0042766798766738215,0.024075941948084524,0.03848998123903349,0.0016320594469658766,0.0,0.025659976021769764,0.058227044179606204,0.004012678726290517,0.0008618984485141789,0.010478237355634173,0.0014673289800543497,0.002176628432879571,0.0042766798766738215,0.002625862731808793,0.019248772593708306,0.011880285628056533,0.0010883206692399137,0.0016320594469658766,0.03849001565179121,0.001249166850045938,0.0010883120656424291,0.0,0.002176628432879571,0.07222780050818176,0.01924502503227456
no_init_box_kenn_top_down_adapter_bert_ms,0.7931941151618958,0.7673104604085287,0.7272727489471436,0.05026704321304957,0.8212073644002279,0.888888955116272,25.333333333333332,0.8360040982564291,0.8260232210159302,0.8499196171760559,0.013333333333333334,0.8192742466926575,0.9177489082018534,0.07933143774668376,0.9219858447710673,0.9885057409604391,0.8260232210159302,0.936170220375061,0.8954325517018636,0.8705673615137736,0.8888888557751974,0.6560726761817932,0.8888888955116272,0.8534401257832845,0.0771284947792689,0.855555534362793,0.8029335935910543,0.8259165485699972,0.7808339595794678,0.875429650147756,0.7539646029472351,0.888888955116272,0.8617196679115295,0.17499999999999996,0.9046493371327718,0.7053993741671244,0.8259165485699972,0.8360040982564291,0.9540127118428549,0.8192742466926575,0.05026704321304957,0.875429650147756,0.7931941151618958,0.7150196631749471,0.8208262125651041,0.8534401257832845,0.8617196679115295,0.8888889749844869,0.8499196171760559,0.0816839411854744,0.8186047077178955,0.05026704321304957,0.5461151997248331,0.9222222169240316,0.006654105631006519,0.07230708322848148,0.0,0.00272078231490343,0.018916081241951783,0.048112545374307286,4.509249752822894,0.0013758990845512762,0.002895630603844342,0.0025040678223042603,0.005773502691896258,0.0034208386582795106,0.018745110901079054,0.0006196270794001404,0.015355075726700945,0.019908640651877352,0.002895630603844342,0.0,0.006993885641320031,0.012284046816257652,0.04811251096154957,0.07397972504789221,0.048112545374307286,0.0013603879315821148,0.0010883142164461637,0.07698003130358241,0.02300439330501344,0.008034136968558292,0.0555617427031372,0.005345849845842259,0.04820476223763755,0.048112545374307286,0.002040091515086209,0.0,0.03207501304317317,0.11413738451125416,0.008034136968558292,0.0013758990845512762,0.010003055771267788,0.0034208386582795106,0.00272078231490343,0.005345849845842259,0.006654105631006519,0.045115005327602854,0.026923446824843832,0.0013603879315821148,0.002040091515086209,0.04811251096154957,0.0025040678223042603,0.0013603900820581371,0.0,0.00272078231490343,0.12740790243219074,0.01924502503227456
no_init_kenn_bottom_up_adapter_bert_ms,0.7703571120897929,0.592672069867452,0.7165354490280151,0.053251648942629494,0.759163518746694,0.9416667024294535,17.333333333333332,0.8295880556106567,0.8184313178062439,0.8361402551333109,0.08,0.8013928333918253,0.9632034500439962,0.08044260740280151,0.9645389914512634,0.7385057409604391,0.8184313178062439,0.9680851101875304,0.9079745610555013,0.8593380451202393,0.9555555383364359,0.6083297530810038,0.9555555383364359,0.8598806063334147,0.0761336237192154,0.9666666388511658,0.761864980061849,0.7882368564605713,0.6885823210080465,0.8904440800348917,0.6339598695437113,0.9555555979410807,0.8730271061261495,0.25,0.9597320755322775,0.5471300880114237,0.7882368564605713,0.8295880556106567,0.8053297400474548,0.8013928333918253,0.05403707176446915,0.8904440800348917,0.7703571120897929,0.6328880389531454,0.7206815083821615,0.8598806063334147,0.8730271061261495,0.948458194732666,0.8361402551333109,0.08545396973689397,0.8235293626785278,0.053635710229476295,0.4468383888403575,0.9444444378217062,0.014909792998335615,0.17032897398471783,0.0,0.0008162362000291789,0.08431556119066419,0.014433777377395275,4.932882862316247,0.0047999053683144876,0.008282347656011406,0.010255773685283132,0.05291502622129182,0.009163680949116897,0.003749029062767471,0.00312617196840574,0.0030710289104431336,0.27940041375242297,0.008282347656011406,0.0,0.03528587374950528,0.06403469575135357,0.009622495309758367,0.07514545470432438,0.009622495309758367,0.00027210167518152214,0.0056731929034389205,0.0,0.05706393793573882,0.018925439945521212,0.11171346678619744,0.0010692043819261513,0.11355267394827383,0.009622495309758295,0.0004080320681203322,0.0,0.006415002608701118,0.13322481440038422,0.018925439945521212,0.0047999053683144876,0.18857123567235748,0.009163680949116897,0.0005441560328212146,0.0010692043819261513,0.014909792998335615,0.07754462145528189,0.1372619618388594,0.00027210167518152214,0.0004080320681203322,0.002670567649018271,0.010255773685283132,0.0002720801672079629,0.0,0.00015102253799024158,0.08009423666598177,0.019244990619516695
no_init_kenn_horizontal_adapter_bert_ms,0.7724971175193787,0.6067241032918295,0.7165354490280151,0.05293748031059901,0.7653347055117289,0.9361111720403036,17.333333333333332,0.829642633597056,0.8195492426554362,0.8367550770441691,0.07333333333333335,0.8016284505526224,0.9610389471054077,0.08161208033561707,0.9627659519513448,0.7470563848813375,0.8195492426554362,0.9680851101875304,0.9211746652921041,0.8835697372754415,0.949999988079071,0.6256356835365295,0.949999988079071,0.8597235282262167,0.07828044394652049,0.9555555383364359,0.7690599163373312,0.7897982001304626,0.7013963460922241,0.8898268143335978,0.6433278918266296,0.9500000476837158,0.8727915287017822,0.25,0.9560283819834391,0.5634462038675944,0.7897982001304626,0.829642633597056,0.8114990790685018,0.8016284505526224,0.05372290313243866,0.8898268143335978,0.7724971175193787,0.643120527267456,0.7312668959299723,0.8597235282262167,0.8727915287017822,0.9429026444753011,0.8367550770441691,0.08529688666264217,0.8235293626785278,0.05332154035568237,0.4663918117682139,0.9444444378217062,0.01240726334611385,0.15608434248882,0.0,0.0007198523944815744,0.0748126894768549,0.012729364790753067,4.932882862316247,0.004509539029779378,0.006768720118673447,0.009116544612110396,0.05859465277082316,0.00869843795883949,0.006493508815765381,0.0014960316755558314,0.005319148302105993,0.2736816003337446,0.006768720118673447,0.0,0.016886021936497495,0.034304441309508944,0.0166666507720947,0.05042826177492162,0.0166666507720947,0.00047126412423073805,0.0030392228367587043,0.019244990619516733,0.04782530527866284,0.01734270817556662,0.0968312593890467,0.0018518567088463547,0.10405625070750597,0.016666650772094616,0.0007067322731018066,0.0,0.011111080646568183,0.12087913145425135,0.01734270817556662,0.004509539029779378,0.185560848700624,0.00869843795883949,0.0009425058960914612,0.0018518567088463547,0.01240726334611385,0.06709716726721715,0.12081610532375539,0.00047126412423073805,0.0007067322731018066,0.008603884173862035,0.009116544612110396,0.0004712529480506387,0.0,0.0004865550182886206,0.05500132111161059,0.019244990619516695
no_init_kenn_hybrid_adapter_bert_ms,0.7665804028511047,0.5462242464224497,0.7165354490280151,0.05293748031059901,0.7383277217547098,0.9361111521720886,17.333333333333332,0.8288563887278239,0.8163248300552368,0.8332695960998535,0.07333333333333333,0.8000052571296692,0.9632034500439962,0.07799100875854492,0.9645389914512634,0.6988614499568939,0.8163248300552368,0.9680851101875304,0.8803027272224426,0.8102837006251017,0.9555555383364359,0.5589266419410706,0.9555555383364359,0.8598806063334147,0.07178762306769688,0.9666666388511658,0.7454373637835184,0.7830759684244791,0.6508391300837199,0.8904440800348917,0.6029946605364481,0.9555555979410807,0.8730271061261495,0.25,0.9597320556640625,0.49673667550086975,0.7830759684244791,0.8288563887278239,0.7889965573946635,0.8000052571296692,0.05403707176446915,0.8904440800348917,0.7665804028511047,0.6091034015019735,0.6892713109652201,0.8598806063334147,0.8730271061261495,0.9455309311548868,0.8332695960998535,0.08545396973689397,0.8235293626785278,0.05347017074624697,0.39358703295389813,0.9444444378217062,0.009742482457550087,0.12079532266890432,0.0,0.0013603922328503935,0.0600370182619744,0.024056272687153643,4.932882862316247,0.0027155189895177972,0.0053666205662879244,0.007185090484950948,0.03214550253664318,0.005284170704884003,0.003749029062767471,0.0020106108606124614,0.0030710289104431336,0.2145457149576644,0.0053666205662879244,0.0,0.022694245318557113,0.04008031514403106,0.009622495309758367,0.031657382801911396,0.009622495309758367,0.00027210167518152214,0.0035509472654667953,0.0,0.0361318496966875,0.01342170838936958,0.06790405439224252,0.0010692043819261513,0.08053024542826281,0.009622495309758295,0.0004080320681203322,0.0,0.006415019815010785,0.07853529858167779,0.01342170838936958,0.0027155189895177972,0.14169306691497932,0.005284170704884003,0.0005441560328212146,0.0010692043819261513,0.009742482457550087,0.04875605684771913,0.09836495797607339,0.00027210167518152214,0.0004080320681203322,0.007740736892877589,0.007185090484950948,0.0002720801672079629,0.0,0.0004377453336021196,0.030935776110427585,0.019244990619516695
no_init_kenn_top_down_adapter_bert_ms,0.7316397031148275,0.3976988693078359,0.7165354490280151,0.053251648942629494,0.6496410568555196,0.9416667222976685,17.666666666666668,0.8146250446637472,0.7957157095273336,0.8239292502403259,0.16666666666666666,0.7741857767105103,0.9653679529825846,0.07899773865938187,0.966312050819397,0.47483812272548676,0.7957157095273336,0.9680851101875304,0.891666054725647,0.8291962345441183,0.9611110885938009,0.4678855041662852,0.9611110885938009,0.8600377043088278,0.07346318662166595,0.9666666388511658,0.6396023432413737,0.7665731509526571,0.5044165253639221,0.8910613854726156,0.5039777557055155,0.9611111481984457,0.8732626835505167,0.25,0.9634357889493307,0.3686605642239253,0.7665731509526571,0.8146250446637472,0.573868085940679,0.7741857767105103,0.054351240396499634,0.8910613854726156,0.7316397031148275,0.4913313686847687,0.5293323496977488,0.8600377043088278,0.8732626835505167,0.951236883799235,0.8239292502403259,0.08561105529467265,0.8235293626785278,0.05379284545779228,0.3205596109231313,0.9555555383364359,0.044346188781326644,0.2657750721446169,0.0,0.0004712529480506396,0.14324285154909128,0.008333325386047308,4.725815626252609,0.017461183451036585,0.02588119081236703,0.016448377874885588,0.16072751268321592,0.031855603565471284,0.003749029062767495,0.0029896565938156267,0.0030710289104431574,0.38247697432009814,0.02588119081236703,0.0,0.03374497689689264,0.06070807499083826,0.00962249530975839,0.1674619146974362,0.00962249530975839,0.0002721016751815462,0.005378473089727835,0.0,0.143648386827665,0.02953056039578185,0.229577347248637,0.0010692043819261754,0.17718340982889544,0.00962249530975831,0.0004080320681203082,0.0,0.00641498540225303,0.23755136438779753,0.02953056039578185,0.017461183451036585,0.3198587184446278,0.031855603565471284,0.0005441560328212146,0.0010692043819261754,0.044346188781326644,0.1717474668226012,0.24512544654134172,0.0002721016751815462,0.0004080320681203082,0.002399910973620542,0.016448377874885588,0.0002720801672079659,0.0,0.000135716843856647,0.15657671566526912,0.019244990619516702
smart_init_box_adapter_bert_ms,0.7708344062169393,0.5001053810119629,0.7272727489471436,0.03722902946174145,0.7080830335617065,0.6583333512147268,35.333333333333336,0.8304988543192545,0.814423938592275,0.835850715637207,0.4166666666666667,0.8078070878982544,0.9329004089037577,0.07221844544013341,0.9343971610069275,0.6125249067942301,0.814423938592275,0.936170220375061,0.8151465058326721,0.7281323870023092,0.9277777671813965,0.5378392239411672,0.9277777671813965,0.854539712270101,0.06450937191645305,0.9111111164093018,0.7213971217473348,0.7962270776430765,0.6164077917734782,0.879750649134318,0.5758278568585714,0.9277778267860413,0.8633686701456705,0.17499999999999996,0.9305752913157145,0.4707457721233368,0.7962270776430765,0.8304988543192545,0.7275141080220541,0.8078070878982544,0.052466227362553276,0.879750649134318,0.7708344062169393,0.5910829703013102,0.641002376874288,0.854539712270101,0.8633686701456705,0.7571173310279846,0.835850715637207,0.0827835351228714,0.8186047077178955,0.04281530405084292,0.3876858353614807,0.9444444378217062,0.01676810060561926,0.16554093360247385,0.0,0.01311914274073293,0.08672723654963403,0.23199018802934868,14.294521094927712,0.005437825385089554,0.009716185662118342,0.011249160663460957,0.03785938897200183,0.009734477718514684,0.009918998558035975,0.006914932050395647,0.008125120235531125,0.23248076750346194,0.009716185662118342,0.0,0.07805040964446376,0.12171356377575912,0.025458762098508177,0.11368014770859415,0.025458762098508177,0.0007198548333432924,0.010783291524172083,0.03849001565179132,0.06780949749331973,0.018393448206262354,0.13442414963454827,0.0028287578476783267,0.11036062240164923,0.025458762098508177,0.001079551379185747,0.0,0.016972482052085774,0.1539937793142282,0.018393448206262354,0.005437825385089554,0.17861533474428762,0.009734477718514684,0.0014397035695730808,0.0028287578476783267,0.01676810060561926,0.08948565060145172,0.14080299805664134,0.0007198548333432924,0.001079551379185747,0.16482651949454535,0.011249160663460957,0.0007198532074106939,0.0,0.009321008663225307,0.11590130590323806,0.019244990619516695
smart_init_classifier_adapter_bert_ms,0.7757746974627177,0.6381877660751343,0.7165354490280151,0.05293747906883558,0.780053714911143,0.9361111720403036,23.0,0.8315521279970804,0.8213041027386984,0.8384581804275513,0.27666666666666667,0.8053146799405416,0.9588744441668192,0.07950676480929057,0.9609929124514262,0.798000693321228,0.8213041027386984,0.9680851101875304,0.8974114656448364,0.8433806101481119,0.9444444179534912,0.6315568884213766,0.9444444378217062,0.8595664302508036,0.07471986611684163,0.9444444179534912,0.7810122768084208,0.7932941714922587,0.7246171037356058,0.889209508895874,0.6643036603927612,0.944444497426351,0.8725559512774149,0.25,0.9523246685663859,0.5943299929300944,0.7932941714922587,0.8315521279970804,0.8543471495310465,0.8053146799405416,0.05340873325864474,0.889209508895874,0.7757746974627177,0.6601705153783163,0.7555775046348572,0.8595664302508036,0.8725559512774149,0.940223236878713,0.8384581804275513,0.08513980358839035,0.8235293626785278,0.05317001913984617,0.47837480902671814,0.9444444378217062,0.008433676853745789,0.12546737662385057,0.0,0.000980992730405847,0.05254834895021572,0.017347200118622817,0.0,0.0017733898712373798,0.004241108267899252,0.006554617886192991,0.20428737928059415,0.0039435453151686565,0.009918998558035992,0.002676581635192954,0.008125113732154566,0.19765468590031374,0.004241108267899252,0.0,0.030211218868514193,0.06063035220481494,0.025458762098508163,0.05343516594233768,0.02545872958150611,0.0007198808469429394,0.005371579284891394,0.03849001565179121,0.032003860801346165,0.013940829586969811,0.07148169220431153,0.002828783861367694,0.08364491791788992,0.025458729581506082,0.0010795513791857288,0.0,0.0169724820520857,0.10813091023905146,0.013940829586969811,0.0017733898712373798,0.11599976443557569,0.0039435453151686565,0.0014397035695730795,0.002828783861367694,0.008433676853745789,0.05089920509115886,0.08177780580363574,0.0007198808469429394,0.0010795513791857288,0.02049846170509818,0.006554617886192991,0.0007198483298607572,0.0,0.0011591983923003374,0.0735162812776587,0.019244990619516695
