name,instance,run_id,test/macro_example/precision,test/macro_types/f1,test/macro_types/recall,test_pretraining/macro_types/recall,test_incremental/macro_example_exclusive/f1,test_incremental_only/macro_example/precision,test_pretraining/macro_types/f1,test_pretraining/micro/precision,test_pretraining/macro_types/precision,test_incremental_EVENT-WAR/macro_types/precision,test/macro_example/recall,test_incremental/macro_types/recall,test_pretraining/macro_example/precision,test_incremental/micro/f1,test_incremental/macro_example/recall,test_incremental_only/macro_types/precision,test_incremental_EVENT-WAR/macro_types/recall,test_incremental/micro/recall,test_incremental_only/micro/recall,test_incremental_only/macro_types/recall,test_incremental_only/macro_example_exclusive/precision,test_incremental/macro_example_exclusive/precision,test/macro_types/precision,test_incremental_only/micro/f1,test_incremental/macro_example/f1,test_incremental_only/micro/precision,test_incremental_EVENT/macro_types/recall,test_incremental/macro_types/f1,test_incremental_EVENT/macro_types/precision,test/micro/recall,test_incremental_EVENT-HURRICANE/macro_types/recall,test_incremental_only/macro_example_exclusive/f1,test/macro_example/f1,test_incremental/macro_types/precision,test_incremental_only/macro_example/f1,test_incremental_EVENT-WAR/macro_types/f1,test_incremental_EVENT-HURRICANE/macro_types/precision,threshold_pretraining,test_pretraining/micro/recall,test_pretraining/macro_example/recall,test_incremental_only/macro_example_exclusive/recall,threshold_incremental,test_pretraining/macro_example/f1,test_incremental_only/macro_types/f1,test_incremental/macro_example/precision,test/micro/f1,test_pretraining/micro/f1,test_incremental_EVENT/macro_types/f1,test/micro/precision,test_incremental_only/macro_example/recall,epoch,test_incremental/micro/precision,test_incremental/macro_example_exclusive/recall,test_incremental_EVENT-HURRICANE/macro_types/f1
no_init_box_kenn_horizontal_adapter_bert_ms,2,opmh6kkq,0.8268928527832031,0.8459509611129761,0.8451827168464661,0.8451827168464661,0.8803831934928894,0.034872762858867645,0.8459509611129761,0.8030707836151123,0.8467204570770264,0.9090909361839294,0.8457430601119995,0.723167896270752,0.8268928527832031,0.7987220287322998,0.07398680597543716,0.9545454978942872,0.3333333432674408,0.8116883039474487,0.6166666746139526,0.6166666746139526,0.6166666746139526,0.9308511018753052,0.8467204570770264,0.7551020383834839,0.07799813896417618,0.9736841917037964,0.936170220375061,0.7934191226959229,0.7272727489471436,0.8501766920089722,0.8999999761581421,0.6166666746139526,0.8362117409706116,0.8787878751754761,0.034872762858867645,0.4878048896789551,1.0,0.175,0.8501766920089722,0.8457430601119995,0.6166666746139526,0.01,0.8362117409706116,0.7492767572402954,0.08246936649084091,0.8259526491165161,0.8259526491165161,0.8186047077178955,0.8030707836151123,0.034872762858867645,32,0.7861635088920593,0.835106372833252,0.9473683834075928
no_init_box_kenn_horizontal_adapter_bert_ms,1,81wbfv1a,0.33766886591911316,0.8094361424446106,0.8877753019332886,0.8877753019332886,0.6838905215263367,0.02827521413564682,0.8094361424446106,0.34226688742637634,0.7438015341758728,0.02827521227300167,0.8565818071365356,0.978723406791687,0.33766886591911316,0.123487688601017,0.08482563495635986,0.02827521227300167,1.0,0.9610389471054076,1.0,1.0,0.5,0.5319148302078247,0.7438015341758728,0.05499541386961937,0.0605897419154644,0.02827521227300167,0.936170220375061,0.4124448597431183,0.7272727489471436,0.8664311170578003,1.0,0.6666666865348816,0.4843890964984894,0.26127439737319946,0.037700287997722626,0.05499541386961937,0.02827521227300167,0.175,0.8664311170578003,0.8565818071365356,1.0,0.0,0.4843890964984894,0.05499541386961937,0.047125354409217834,0.49069443345069885,0.49069443345069885,0.8186047077178955,0.34226688742637634,0.05655042827129364,15,0.06598305702209473,0.957446813583374,0.05499541386961937
no_init_box_kenn_horizontal_adapter_bert_ms,0,pm1dg95m,0.8273640871047974,0.810261607170105,0.8248123526573181,0.8248123526573181,0.8489493727684021,0.02450518310070038,0.810261607170105,0.8021534085273743,0.7962153553962708,0.0,0.8405592441558838,0.6009456515312195,0.8273640871047974,0.7574750781059265,0.06880301237106323,0.5,0.0,0.7402597665786743,0.4333333373069763,0.4333333373069763,0.4333333671092987,0.936170220375061,0.7962153553962708,0.604651153087616,0.0752132311463356,1.0,0.936170220375061,0.5880820751190186,0.7272727489471436,0.8424028158187866,0.8666666746139526,0.4333333671092987,0.8339094519615173,0.575757622718811,0.02450518310070038,0.0,1.0,0.175,0.8424028158187866,0.8405592441558838,0.4333333671092987,0.01,0.8339094519615173,0.4642857313156128,0.08294062316417694,0.821785569190979,0.821785569190979,0.8186047077178955,0.8021534085273743,0.02450518310070038,16,0.7755101919174194,0.7765957117080688,0.9285714626312256
no_init_box_kenn_hybrid_adapter_bert_ms,2,5r4t3zi0,0.8264216184616089,0.8438451290130615,0.8451827168464661,0.8451827168464661,0.877997100353241,0.034872762858867645,0.8438451290130615,0.8025349974632263,0.8425116539001465,0.8333333134651184,0.8457430601119995,0.723167896270752,0.8264216184616089,0.7961783409118652,0.07398680597543716,0.9166666269302368,0.3333333432674408,0.8116883039474487,0.6166666746139526,0.6166666746139526,0.6166666746139526,0.9255319237709044,0.8425116539001465,0.747474730014801,0.07778673619031906,0.9487179517745972,0.936170220375061,0.7829620242118835,0.7272727489471436,0.8501766920089722,0.8999999761581421,0.6166666746139526,0.8359706997871399,0.8535354137420654,0.034872762858867645,0.4761905074119568,1.0,0.175,0.8501766920089722,0.8457430601119995,0.6166666746139526,0.02,0.8359706997871399,0.7373188138008118,0.08199810981750488,0.8256692290306091,0.8256692290306091,0.8186047077178955,0.8025349974632263,0.034872762858867645,44,0.78125,0.835106372833252,0.9473683834075928
no_init_box_kenn_top_down_adapter_bert_ms,2,8ltiddng,0.8259503245353699,0.842055082321167,0.8451827168464661,0.8451827168464661,0.8755964040756226,0.034872762858867645,0.842055082321167,0.8019999861717224,0.8389503955841064,0.7692307829856873,0.8457430601119995,0.723167896270752,0.8259503245353699,0.7936508059501648,0.07398680597543716,0.884615421295166,0.3333333432674408,0.8116883039474487,0.6166666746139526,0.6166666746139526,0.6166666746139526,0.920212745666504,0.8389503955841064,0.7400000095367432,0.07757403701543808,0.925000011920929,0.936170220375061,0.7738484740257263,0.7272727489471436,0.8501766920089722,0.8999999761581421,0.6166666746139526,0.8357295393943787,0.8321678638458252,0.034872762858867645,0.46511632204055786,1.0,0.175,0.8501766920089722,0.8457430601119995,0.6166666746139526,0.04,0.8357295393943787,0.7267293334007263,0.08152686059474945,0.8253859281539917,0.8253859281539917,0.8186047077178955,0.8019999861717224,0.034872762858867645,44,0.7763975262641907,0.835106372833252,0.9473683834075928
no_init_box_kenn_bottom_up_adapter_bert_ms,2,cy0v5gzz,0.8259503245353699,0.842055082321167,0.8451827168464661,0.8451827168464661,0.8755964040756226,0.034872762858867645,0.842055082321167,0.8019999861717224,0.8389503955841064,0.7692307829856873,0.8457430601119995,0.723167896270752,0.8259503245353699,0.7936508059501648,0.07398680597543716,0.884615421295166,0.3333333432674408,0.8116883039474487,0.6166666746139526,0.6166666746139526,0.6166666746139526,0.920212745666504,0.8389503955841064,0.7400000095367432,0.07757403701543808,0.925000011920929,0.936170220375061,0.7738484740257263,0.7272727489471436,0.8501766920089722,0.8999999761581421,0.6166666746139526,0.8357295393943787,0.8321678638458252,0.034872762858867645,0.46511632204055786,1.0,0.175,0.8501766920089722,0.8457430601119995,0.6166666746139526,0.01,0.8357295393943787,0.7267293334007263,0.08152686059474945,0.8253859281539917,0.8253859281539917,0.8186047077178955,0.8019999861717224,0.034872762858867645,44,0.7763975262641907,0.835106372833252,0.9473683834075928
no_init_box_kenn_hybrid_adapter_bert_ms,1,0tll5398,0.826264500617981,0.8428487181663513,0.8507382869720459,0.8507382869720459,0.8891711831092834,0.03770028054714203,0.8428487181663513,0.8007968068122864,0.83510422706604,0.699999988079071,0.8471567630767822,0.7565011978149414,0.826264500617981,0.7975077629089355,0.07540056109428406,0.8500000238418579,0.46666666865348816,0.8311688303947449,0.6666666865348816,0.6666666865348816,0.6666667461395264,0.9308511018753052,0.83510422706604,0.7547169327735901,0.07877670228481293,0.8695651888847351,0.936170220375061,0.7819128632545471,0.7272727489471436,0.8522968292236328,0.8666666746139526,0.6666667461395264,0.836580216884613,0.8090909719467163,0.03770028054714203,0.5600000023841858,1.0,0.175,0.8522968292236328,0.8471567630767822,0.6666667461395264,0.27,0.836580216884613,0.7472528219223022,0.08246936649084091,0.82574462890625,0.82574462890625,0.8186047077178955,0.8007968068122864,0.03770028054714203,49,0.7664670944213867,0.8510638475418091,0.9285714626312256
no_init_box_kenn_top_down_adapter_bert_ms,1,dqq4axbj,0.8259503841400146,0.8410443663597107,0.8507382869720459,0.8507382869720459,0.8891711831092834,0.03770028054714203,0.8410443663597107,0.7997347712516785,0.8315689563751221,0.6363636255264282,0.8471567630767822,0.7565011978149414,0.8259503841400146,0.792569637298584,0.07540056109428406,0.8181818127632141,0.46666666865348816,0.8311688303947449,0.6666666865348816,0.6666666865348816,0.6666667461395264,0.9308511018753052,0.8315689563751221,0.7407407760620117,0.07877670228481293,0.8333333134651184,0.936170220375061,0.7718712687492371,0.7272727489471436,0.8522968292236328,0.8666666746139526,0.6666667461395264,0.8364192247390747,0.7878788113594055,0.03770028054714203,0.5384615063667297,1.0,0.175,0.8522968292236328,0.8471567630767822,0.6666667461395264,0.36000000000000004,0.8364192247390747,0.7346938848495483,0.08246936649084091,0.8251796364784241,0.8251796364784241,0.8186047077178955,0.7997347712516785,0.03770028054714203,48,0.7573964595794678,0.8510638475418091,0.9285714626312256
no_init_box_kenn_bottom_up_adapter_bert_ms,1,3cos338s,0.826264500617981,0.8428487181663513,0.8507382869720459,0.8507382869720459,0.8891711831092834,0.03770028054714203,0.8428487181663513,0.8007968068122864,0.83510422706604,0.699999988079071,0.8471567630767822,0.7565011978149414,0.826264500617981,0.7975077629089355,0.07540056109428406,0.8500000238418579,0.46666666865348816,0.8311688303947449,0.6666666865348816,0.6666666865348816,0.6666667461395264,0.9308511018753052,0.83510422706604,0.7547169327735901,0.07877670228481293,0.8695651888847351,0.936170220375061,0.7819128632545471,0.7272727489471436,0.8522968292236328,0.8666666746139526,0.6666667461395264,0.836580216884613,0.8090909719467163,0.03770028054714203,0.5600000023841858,1.0,0.175,0.8522968292236328,0.8471567630767822,0.6666667461395264,0.1,0.836580216884613,0.7472528219223022,0.08246936649084091,0.82574462890625,0.82574462890625,0.8186047077178955,0.8007968068122864,0.03770028054714203,47,0.7664670944213867,0.8510638475418091,0.9285714626312256
no_init_box_kenn_hybrid_adapter_bert_ms,0,vitk3wcv,0.8252434730529785,0.8431351184844971,0.8581457138061523,0.8581457138061523,0.8981493711471558,0.04147031158208847,0.8431351184844971,0.7981530427932739,0.8286405801773071,0.6206896305084229,0.8490418195724487,0.8009456396102905,0.8252434730529785,0.7975831031799316,0.07728557288646698,0.7918263077735901,0.6000000238418579,0.8571428656578064,0.7333333492279053,0.7333333492279053,0.73333340883255,0.9255319237709044,0.8286405801773071,0.7586206793785095,0.07957213371992111,0.7857142686843872,0.936170220375061,0.7853283882141113,0.7272727489471436,0.8551236987113953,0.8666666746139526,0.73333340883255,0.8369735479354858,0.7703084945678711,0.04147031158208847,0.6101694703102112,0.9629629850387572,0.175,0.8551236987113953,0.8490418195724487,0.73333340883255,0.01,0.8369735479354858,0.761458158493042,0.08199810981750488,0.8256567716598511,0.8256567716598511,0.8186047077178955,0.7981530427932739,0.04147031158208847,48,0.7457627058029175,0.8723404407501221,0.9122806787490844
