name,instance,run_id,test_incremental/micro/precision,test_incremental/macro_example/recall,test_incremental_only/macro_example/recall,test/macro_example/precision,test_pretraining/macro_types/f1,test_incremental_only/macro_example/precision,test/macro_example/recall,test_incremental/micro/f1,test_incremental/macro_types/precision,test/micro/f1,test/micro/recall,threshold_pretraining,test_incremental/macro_example_exclusive/recall,test_pretraining/macro_example/recall,test/macro_types/recall,test_incremental_metropolitan_transit-transit_line/macro_types/recall,test_incremental_only/macro_example/f1,test_incremental/macro_example_exclusive/precision,test_incremental_only/macro_example_exclusive/precision,test_incremental_metropolitan_transit/macro_types/recall,test_incremental_only/micro/recall,test_incremental_metropolitan_transit/macro_types/f1,epoch,test_pretraining/macro_types/precision,test_incremental/macro_example/precision,test/macro_types/f1,test/macro_example/f1,test_pretraining/micro/recall,test_incremental/macro_types/f1,test/macro_types/precision,test_incremental/macro_example/f1,test_incremental_only/micro/precision,test_incremental_only/macro_types/recall,test_pretraining/macro_example/f1,test_incremental_only/macro_example_exclusive/f1,test_incremental/macro_types/recall,test_incremental_metropolitan_transit/macro_types/precision,test_incremental_only/macro_types/f1,test_pretraining/macro_example/precision,test_incremental_metropolitan_transit-transit_line/macro_types/precision,threshold_incremental,test_incremental_only/micro/f1,test_pretraining/macro_types/recall,test_incremental/macro_example_exclusive/f1,test_incremental_only/macro_types/precision,test_pretraining/micro/f1,test_incremental_metropolitan_transit-transit_line/macro_types/f1,test_incremental_only/macro_example_exclusive/recall,test/micro/precision,test_incremental/micro/recall,test_pretraining/micro/precision
kenn_hybrid_adapter_bert_ms,2,27wjm83v,0.04368174821138382,0.00974251888692379,0.010438413359224796,0.7705984711647034,0.875353217124939,0.010438413359224796,0.9149675369262696,0.08345752954483032,0.4453141689300537,0.798987090587616,0.8995614051818848,0.375,0.9333333969116212,0.9149675369262696,0.864309549331665,1,0.010438413359224796,1,1,0.8666666746139526,1,0.8666666746139526,85,0.8866828680038452,0.010438413359224796,0.875353217124939,0.8366004228591919,0.8995614051818848,0.6029482483863831,0.8866828680038452,0.010078467428684236,0.023961661383509636,1,0.8366004228591919,1,0.9333333373069764,0.8666666746139526,0.04680187255144119,0.7705984711647034,0.023961661383509636,0.99,0.04680187255144119,0.864309549331665,0.965517282485962,0.023961661383509636,0.798987090587616,0.04680187255144119,1,0.7186405062675476,0.9333333373069764,0.7186405062675476
kenn_top_down_adapter_bert_ms,2,20lw9ams,0.04368174821138382,0.00974251888692379,0.010438413359224796,0.7705984711647034,0.875353217124939,0.010438413359224796,0.9149675369262696,0.08345752954483032,0.4453141689300537,0.798987090587616,0.8995614051818848,0.375,0.9333333969116212,0.9149675369262696,0.864309549331665,1,0.010438413359224796,1,1,0.8666666746139526,1,0.8666666746139526,87,0.8866828680038452,0.010438413359224796,0.875353217124939,0.8366004228591919,0.8995614051818848,0.6029482483863831,0.8866828680038452,0.010078467428684236,0.023961661383509636,1,0.8366004228591919,1,0.9333333373069764,0.8666666746139526,0.04680187255144119,0.7705984711647034,0.023961661383509636,0.99,0.04680187255144119,0.864309549331665,0.965517282485962,0.023961661383509636,0.798987090587616,0.04680187255144119,1,0.7186405062675476,0.9333333373069764,0.7186405062675476
kenn_bottom_up_adapter_bert_ms,2,3rxp9as6,0.04368174821138382,0.00974251888692379,0.010438413359224796,0.7705984711647034,0.875353217124939,0.010438413359224796,0.9149675369262696,0.08345752954483032,0.4453141689300537,0.798987090587616,0.8995614051818848,0.375,0.9333333969116212,0.9149675369262696,0.864309549331665,1,0.010438413359224796,1,1,0.8666666746139526,1,0.8666666746139526,87,0.8866828680038452,0.010438413359224796,0.875353217124939,0.8366004228591919,0.8995614051818848,0.6029482483863831,0.8866828680038452,0.010078467428684236,0.023961661383509636,1,0.8366004228591919,1,0.9333333373069764,0.8666666746139526,0.04680187255144119,0.7705984711647034,0.023961661383509636,0.99,0.04680187255144119,0.864309549331665,0.965517282485962,0.023961661383509636,0.798987090587616,0.04680187255144119,1,0.7186405062675476,0.9333333373069764,0.7186405062675476
kenn_hybrid_adapter_bert_ms,1,10vw5ke3,0.04368174821138382,0.00974251888692379,0.010438413359224796,0.7705984711647034,0.875353217124939,0.010438413359224796,0.9149675369262696,0.08345752954483032,0.4453141689300537,0.798987090587616,0.8995614051818848,0.375,0.9333333969116212,0.9149675369262696,0.864309549331665,1,0.010438413359224796,1,1,0.8666666746139526,1,0.8666666746139526,79,0.8866828680038452,0.010438413359224796,0.875353217124939,0.8366004228591919,0.8995614051818848,0.6029482483863831,0.8866828680038452,0.010078467428684236,0.023961661383509636,1,0.8366004228591919,1,0.9333333373069764,0.8666666746139526,0.04680187255144119,0.7705984711647034,0.023961661383509636,0.99,0.04680187255144119,0.864309549331665,0.965517282485962,0.023961661383509636,0.798987090587616,0.04680187255144119,1,0.7186405062675476,0.9333333373069764,0.7186405062675476
kenn_top_down_adapter_bert_ms,1,27fu6qto,0.04368174821138382,0.00974251888692379,0.010438413359224796,0.7705984711647034,0.875353217124939,0.010438413359224796,0.9149675369262696,0.08345752954483032,0.4453141689300537,0.798987090587616,0.8995614051818848,0.375,0.9333333969116212,0.9149675369262696,0.864309549331665,1,0.010438413359224796,1,1,0.8666666746139526,1,0.8666666746139526,81,0.8866828680038452,0.010438413359224796,0.875353217124939,0.8366004228591919,0.8995614051818848,0.6029482483863831,0.8866828680038452,0.010078467428684236,0.023961661383509636,1,0.8366004228591919,1,0.9333333373069764,0.8666666746139526,0.04680187255144119,0.7705984711647034,0.023961661383509636,0.99,0.04680187255144119,0.864309549331665,0.965517282485962,0.023961661383509636,0.798987090587616,0.04680187255144119,1,0.7186405062675476,0.9333333373069764,0.7186405062675476
kenn_bottom_up_adapter_bert_ms,1,1vn7487f,0.04368174821138382,0.00974251888692379,0.010438413359224796,0.7705984711647034,0.875353217124939,0.010438413359224796,0.9149675369262696,0.08345752954483032,0.4453141689300537,0.798987090587616,0.8995614051818848,0.375,0.9333333969116212,0.9149675369262696,0.864309549331665,1,0.010438413359224796,1,1,0.8666666746139526,1,0.8666666746139526,86,0.8866828680038452,0.010438413359224796,0.875353217124939,0.8366004228591919,0.8995614051818848,0.6029482483863831,0.8866828680038452,0.010078467428684236,0.023961661383509636,1,0.8366004228591919,1,0.9333333373069764,0.8666666746139526,0.04680187255144119,0.7705984711647034,0.023961661383509636,0.99,0.04680187255144119,0.864309549331665,0.965517282485962,0.023961661383509636,0.798987090587616,0.04680187255144119,1,0.7186405062675476,0.9333333373069764,0.7186405062675476
kenn_hybrid_adapter_bert_ms,0,2o443hzo,0.04368174821138382,0.00974251888692379,0.010438413359224796,0.7705984711647034,0.875353217124939,0.010438413359224796,0.9149675369262696,0.08345752954483032,0.4453141689300537,0.798987090587616,0.8995614051818848,0.375,0.9333333969116212,0.9149675369262696,0.864309549331665,1,0.010438413359224796,1,1,0.8666666746139526,1,0.8666666746139526,59,0.8866828680038452,0.010438413359224796,0.875353217124939,0.8366004228591919,0.8995614051818848,0.6029482483863831,0.8866828680038452,0.010078467428684236,0.023961661383509636,1,0.8366004228591919,1,0.9333333373069764,0.8666666746139526,0.04680187255144119,0.7705984711647034,0.023961661383509636,0.99,0.04680187255144119,0.864309549331665,0.965517282485962,0.023961661383509636,0.798987090587616,0.04680187255144119,1,0.7186405062675476,0.9333333373069764,0.7186405062675476
kenn_top_down_adapter_bert_ms,0,1iluf4gf,0.04364769905805588,0.00974251888692379,0.010438413359224796,0.7705404758453369,0.8753530979156494,0.010438413359224796,0.9149675369262696,0.08339537680149078,0.44530460238456726,0.7989093065261841,0.8995614051818848,0.375,0.9333333969116212,0.9149675369262696,0.864309549331665,1,0.010438413359224796,1,1,0.8666666746139526,1,0.8666666746139526,58,0.8866825103759766,0.010438413359224796,0.8753530979156494,0.8365662097930908,0.8995614051818848,0.6029395461082458,0.8866825103759766,0.010078467428684236,0.02394253760576248,1,0.8365662097930908,1,0.9333333373069764,0.8666666746139526,0.046765390783548355,0.7705404758453369,0.02394253760576248,0.99,0.046765390783548355,0.864309549331665,0.965517282485962,0.02394253760576248,0.7989093065261841,0.046765390783548355,1,0.718514621257782,0.9333333373069764,0.718514621257782
kenn_bottom_up_adapter_bert_ms,0,3m3nr7tl,0.04368174821138382,0.00974251888692379,0.010438413359224796,0.7705984711647034,0.875353217124939,0.010438413359224796,0.9149675369262696,0.08345752954483032,0.4453141689300537,0.798987090587616,0.8995614051818848,0.375,0.9333333969116212,0.9149675369262696,0.864309549331665,1,0.010438413359224796,1,1,0.8666666746139526,1,0.8666666746139526,59,0.8866828680038452,0.010438413359224796,0.875353217124939,0.8366004228591919,0.8995614051818848,0.6029482483863831,0.8866828680038452,0.010078467428684236,0.023961661383509636,1,0.8366004228591919,1,0.9333333373069764,0.8666666746139526,0.04680187255144119,0.7705984711647034,0.023961661383509636,0.99,0.04680187255144119,0.864309549331665,0.965517282485962,0.023961661383509636,0.798987090587616,0.04680187255144119,1,0.7186405062675476,0.9333333373069764,0.7186405062675476
box_adapter_bert_ms,2,2r7mjdtk,0.019693654030561447,0.009394572116434574,0.010438413359224796,0.5600788593292236,0.8454490303993225,0.010438413359224796,0.907057523727417,0.03854389861226082,0.48552078008651733,0.6878904104232788,0.8813596367835999,0.25,0.9000000953674316,0.907057523727417,0.8198940753936768,1,0.010438413359224796,1,1,0.800000011920929,1,0.8727272748947144,26,0.8726484179496765,0.010438413359224796,0.8454490303993225,0.6925378441810608,0.8813596367835999,0.6307645440101624,0.8726484179496765,0.009889023378491402,0.01104159001260996,1,0.6925378441810608,1,0.8999999761581421,0.959999978542328,0.02184200845658779,0.5600788593292236,0.01104159001260996,0.99,0.02184200845658779,0.8198940753936768,0.9473685026168824,0.01104159001260996,0.6878904104232788,0.02184200845658779,1,0.5640701651573181,0.8999999761581421,0.5640701651573181
