name,instance,run_id,test_incremental/macro_types/precision,test_incremental_WORK_OF_ART/macro_types/f1,test/macro_example/precision,test_pretraining/micro/precision,test_incremental_WORK_OF_ART-SONG/macro_types/f1,test_incremental/macro_example_exclusive/precision,epoch,test/macro_types/f1,test/macro_example/recall,test_pretraining/micro/recall,test_pretraining/macro_types/recall,test_incremental/macro_example_exclusive/recall,test_incremental_only/micro/recall,test_incremental_only/macro_types/f1,test_pretraining/macro_types/precision,threshold_incremental,test_incremental_only/micro/precision,test_incremental_only/macro_example/precision,test_incremental_WORK_OF_ART/macro_types/recall,test_incremental_only/macro_example_exclusive/recall,test_incremental_only/macro_types/recall,test_incremental_only/macro_example_exclusive/f1,test_incremental_WORK_OF_ART-BOOK/macro_types/recall,test_incremental_WORK_OF_ART-SONG/macro_types/recall,test/micro/f1,test/macro_types/precision,test_incremental_only/micro/f1,test_incremental_only/macro_example_exclusive/precision,test/macro_example/f1,test_pretraining/macro_example/f1,test_incremental/micro/recall,test_incremental/macro_types/f1,test_pretraining/macro_types/f1,test_incremental/macro_types/recall,test/macro_types/recall,test_incremental_only/macro_example/f1,test_pretraining/macro_example/precision,test_incremental/micro/precision,test_incremental/micro/f1,test_pretraining/micro/f1,test_incremental/macro_example/f1,test_incremental/macro_example/recall,test_incremental_only/macro_types/precision,test_incremental_WORK_OF_ART-BOOK/macro_types/f1,test_incremental_WORK_OF_ART/macro_types/precision,test_incremental/macro_example/precision,test_incremental_only/macro_example/recall,test_incremental/macro_example_exclusive/f1,test_incremental_WORK_OF_ART-SONG/macro_types/precision,test/micro/precision,test_pretraining/macro_example/recall,test_incremental_WORK_OF_ART-BOOK/macro_types/precision,test/micro/recall,threshold_pretraining
kenn_horizontal_adapter_bert_ms,2,3d4bd17f,0.6310531497001648,0.7596153616905212,0.8008953928947449,0.7711442708969116,0.5087718963623047,0.6696969270706177,13,0.8167276382446289,0.8559535145759583,0.8504801392555237,0.8537588119506836,0.6681817770004272,0.6019417643547058,0.5815860033035278,0.782775342464447,0.060000000000000005,0.5438596606254578,0.05513666197657585,0.7181817889213562,0.6019417643547058,0.6253876090049744,0.5844579935073853,0.7674418687820435,0.4833333194255829,0.8088715076446533,0.782775342464447,0.5714285969734192,0.5679612159729004,0.8275096416473389,0.8275096416473389,0.6619718074798584,0.6434381604194641,0.8167276382446289,0.6563190221786499,0.8537588119506836,0.05673814192414284,0.8008953928947449,0.6650943160057068,0.6635293364524841,0.8088715076446533,0.06935271620750427,0.06927426159381866,0.5435185432434082,0.6407766938209534,0.8061224222183228,0.0694313496351242,0.058435432612895966,0.6689384579658508,0.5370370149612427,0.7711442708969116,0.8559535145759583,0.550000011920929,0.8504801392555237,0.25
kenn_horizontal_adapter_bert_ms,1,30sx4mbc,0.7722972631454468,0.7596153616905212,0.8109487295150757,0.7834596037864685,0.5176470875740051,0.678787887096405,14,0.8311738967895508,0.8551680445671082,0.8511660099029541,0.857613205909729,0.6727272272109985,0.6116504669189453,0.704522430896759,0.8063160181045532,0.19,0.699999988079071,0.059377942234277725,0.7181817889213562,0.6116504669189453,0.6600775122642517,0.6116504669189453,0.9534883499145508,0.36666667461395264,0.8159105777740479,0.8063160181045532,0.6528497338294983,0.6116504669189453,0.8324716091156006,0.8324716091156006,0.6666666865348816,0.7229021191596985,0.8311738967895508,0.6794456243515015,0.857613205909729,0.059377942234277725,0.8109487295150757,0.7553191781044006,0.7082294225692749,0.8159105777740479,0.07005828619003296,0.06974552571773529,0.755384624004364,0.7592592835426331,0.8061224222183228,0.07037386298179626,0.059377942234277725,0.6757439970970154,0.8799999952316284,0.7834596037864685,0.8551680445671082,0.6307692527770996,0.8511660099029541,0.25
kenn_horizontal_adapter_bert_ms,0,2jc7jcyk,0.4953213930130005,0.7596153616905212,0.7762330770492554,0.7221269011497498,0.4970414638519287,0.7575757503509521,13,0.8151459693908691,0.8653784990310669,0.8662551641464233,0.8787157535552979,0.7727272510528564,0.8252426981925964,0.4856334626674652,0.7601534128189087,0.02,0.3333333432674408,0.0730443000793457,0.7181817889213562,0.8252427577972412,0.8500000238418579,0.7871546745300293,1.0,0.699999988079071,0.7876520156860352,0.7601534128189087,0.4748603701591492,0.7524272203445435,0.8183853030204773,0.8183853030204773,0.7699530720710754,0.6135923862457275,0.8151459693908691,0.8060606122016907,0.8787157535552979,0.07641557604074478,0.7762330770492554,0.4645892381668091,0.5795052647590637,0.7876520156860352,0.07931990921497345,0.08011309802532196,0.3399208188056946,0.45502644777297974,0.8061224222183228,0.07854225486516953,0.08011309802532196,0.7650765180587769,0.38532111048698425,0.7221269011497498,0.8653784990310669,0.2945205569267273,0.8662551641464233,0.25
kenn_hybrid_adapter_bert_ms,2,2t50yjlr,0.5693671107292175,0.7596153616905212,0.806786060333252,0.7581338286399841,0.548672616481781,0.6909090876579285,10,0.8078360557556152,0.8545397520065308,0.8470507264137268,0.8465666770935059,0.6454545259475708,0.553398072719574,0.4998796880245209,0.7724943161010742,0.59,0.42222222685813904,0.05372290313243866,0.7181817889213562,0.5533980131149292,0.5606589317321777,0.5533980131149292,0.604651153087616,0.5166666507720947,0.8001295924186707,0.7724943161010742,0.4789916276931762,0.5533980131149292,0.8299766182899475,0.8299766182899475,0.6384976506233215,0.5904557108879089,0.8078360557556152,0.6131665706634521,0.8465666770935059,0.05372290313243866,0.806786060333252,0.5836910009384155,0.6098654866218567,0.8001295924186707,0.06919412314891815,0.06691800057888031,0.4509894251823426,0.41599997878074646,0.8061224222183228,0.07163053750991821,0.05372290313243866,0.6674087643623352,0.5849056839942932,0.7581338286399841,0.8545397520065308,0.31707316637039185,0.8470507264137268,0.25
kenn_top_down_adapter_bert_ms,2,305mwuru,0.5445695519447327,0.7596153616905212,0.8042412996292114,0.7535082101821899,0.508474588394165,0.6863636374473572,10,0.8057361841201782,0.8543826341629028,0.8470507264137268,0.8469327688217163,0.6454545259475708,0.553398072719574,0.4773426353931427,0.7683614492416382,0.59,0.3931034505367279,0.05372290313243866,0.7181817889213562,0.553398072719574,0.5639535188674927,0.553398072719574,0.6279069781303406,0.5,0.7975459098815918,0.7683614492416382,0.45967742800712585,0.553398072719574,0.8285540342330933,0.8285540342330933,0.6384976506233215,0.5778058767318726,0.8057361841201782,0.6153629422187805,0.8469327688217163,0.05372290313243866,0.8042412996292114,0.5596708059310913,0.5964912176132202,0.7975459098815918,0.06897350400686264,0.06691800057888031,0.4137930870056152,0.41538459062576294,0.8061224222183228,0.07115928828716278,0.05372290313243866,0.665280818939209,0.517241358757019,0.7535082101821899,0.8543826341629028,0.3103448152542114,0.8470507264137268,0.25
kenn_bottom_up_adapter_bert_ms,2,12uym0nk,0.5927315354347229,0.7596153616905212,0.8014765977859497,0.7628992795944214,0.4477611780166626,0.6151515245437622,13,0.8142423629760742,0.8565818667411804,0.8518518805503845,0.8559767007827759,0.6772726774215698,0.6213592290878296,0.5544758439064026,0.77638840675354,0.09,0.4776119291782379,0.05419415235519409,0.7181817889213562,0.6213592290878296,0.645348846912384,0.588117778301239,0.7906976938247681,0.5,0.8049255013465881,0.77638840675354,0.5400843620300293,0.5582524538040161,0.8281134963035583,0.8281134963035583,0.67136150598526,0.6288370490074158,0.8142423629760742,0.6696264743804932,0.8559767007827759,0.05709343031048775,0.8014765977859497,0.6163793206214905,0.6426966190338135,0.8049255013465881,0.06684176623821259,0.07021677494049072,0.4860360324382782,0.6601941585540771,0.8061224222183228,0.06377631425857544,0.060320451855659485,0.6447191834449768,0.4054054021835327,0.7628992795944214,0.8565818667411804,0.5666666626930237,0.8518518805503845,0.25
kenn_hybrid_adapter_bert_ms,1,2115gj5h,0.759957492351532,0.7596153616905212,0.8112629652023315,0.782059371471405,0.5176470875740051,0.6666666269302368,21,0.828260064125061,0.8542255759239197,0.8491083383560181,0.8537372350692749,0.6590908765792847,0.582524299621582,0.6764557957649231,0.8042594194412231,0.13,0.6741573214530945,0.05655042082071304,0.7181817889213562,0.582524299621582,0.6251938343048096,0.582524299621582,0.8837209343910217,0.36666667461395264,0.8142058849334717,0.8042594194412231,0.625,0.582524299621582,0.8321901559829712,0.8321901559829712,0.6525821685791016,0.7042719125747681,0.828260064125061,0.6561898589134216,0.8537372350692749,0.05655042082071304,0.8112629652023315,0.7433155179023743,0.6950000524520874,0.8142058849334717,0.06872223317623138,0.0683317631483078,0.7368749976158142,0.7102803587913513,0.8061224222183228,0.06911718845367432,0.05655042082071304,0.6628571152687073,0.8799999952316284,0.782059371471405,0.8542255759239197,0.59375,0.8491083383560181,0.25
kenn_top_down_adapter_bert_ms,1,1xsb7odr,0.7015524506568909,0.7596153616905212,0.8070216178894043,0.7749999761581421,0.5,0.6621211767196655,21,0.8242666125297546,0.8548538684844971,0.8504801392555237,0.8563212156295776,0.6681817770004272,0.6019417643547058,0.6488583087921143,0.7945252656936646,0.22,0.5849056839942932,0.058435436338186264,0.7181817889213562,0.6019417643547058,0.6484496593475342,0.6019417643547058,0.930232584476471,0.36666667461395264,0.8109875917434692,0.7945252656936646,0.5933014154434204,0.6019417643547058,0.8302493691444397,0.8302493691444397,0.6619718074798584,0.6862984895706177,0.8242666125297546,0.671693742275238,0.8563212156295776,0.058435436338186264,0.8070216178894043,0.6911764740943909,0.6762590408325195,0.8109875917434692,0.06895866245031357,0.06927426904439926,0.6492674350738525,0.6611570715904236,0.8061224222183228,0.06864592432975769,0.058435436338186264,0.6651376485824585,0.7857142686843872,0.7749999761581421,0.8548538684844971,0.5128205418586731,0.8504801392555237,0.25
kenn_bottom_up_adapter_bert_ms,1,43q2h2rh,0.7630990743637085,0.7596153616905212,0.8117341995239258,0.7825537323951721,0.5176470875740051,0.6712120771408081,21,0.82853764295578,0.8542255759239197,0.8491083383560181,0.8537372350692749,0.6590908765792847,0.582524299621582,0.6784346103668213,0.8047829866409302,0.13,0.6818181872367859,0.05655042082071304,0.7181817889213562,0.582524299621582,0.6251938343048096,0.582524299621582,0.8837209343910217,0.36666667461395264,0.8144736289978027,0.8047829866409302,0.6282722353935242,0.582524299621582,0.8324379920959473,0.8324379920959473,0.6525821685791016,0.7056179642677307,0.82853764295578,0.6561898589134216,0.8537372350692749,0.05655042082071304,0.8117341995239258,0.7473118305206299,0.6967418789863586,0.8144736289978027,0.06895437836647034,0.0683317631483078,0.7415872812271118,0.7169811129570007,0.8061224222183228,0.06958843767642975,0.05655042082071304,0.6650962829589844,0.8799999952316284,0.7825537323951721,0.8542255759239197,0.60317462682724,0.8491083383560181,0.25
kenn_hybrid_adapter_bert_ms,0,1iv5w0p3,0.6343044638633728,0.7596153616905212,0.8101319074630737,0.7678571343421936,0.5283018946647644,0.7000000476837158,8,0.8213066458702087,0.8579955697059631,0.8552812337875366,0.8631687760353088,0.699999988079071,0.6699029207229614,0.6188504099845886,0.7833172082901001,0.52,0.5307692289352417,0.06503298878669739,0.7181817889213562,0.6699029207229614,0.7100775241851807,0.6699029207229614,0.9534883499145508,0.46666666865348816,0.8092147707939148,0.7833172082901001,0.5922746658325195,0.6699029207229614,0.8333770036697388,0.8333770036697388,0.6948356628417969,0.6712559461593628,0.8213066458702087,0.7127789258956909,0.8631687760353088,0.06503298878669739,0.8101319074630737,0.6491228342056274,0.6712018251419067,0.8092147707939148,0.07257304340600967,0.07257304340600967,0.5483953952789307,0.6456692218780518,0.8061224222183228,0.07257304340600967,0.06503298878669739,0.699999988079071,0.6086956262588501,0.7678571343421936,0.8579955697059631,0.488095223903656,0.8552812337875366,0.25
