name,instance,run_id,test/micro/precision,test/macro_example/f1,test_incremental/macro_example_exclusive/f1,test_incremental_only/macro_example/precision,test_incremental/macro_example_exclusive/precision,test_incremental_location-transit/macro_types/recall,test_pretraining/micro/f1,test_incremental/macro_types/recall,test_incremental_location-transit-road/macro_types/recall,threshold_incremental,test/macro_example/recall,test/micro/f1,test_incremental/micro/precision,test_incremental/macro_example/recall,test_incremental_only/micro/precision,test_incremental_only/macro_types/recall,test/macro_types/recall,test_pretraining/macro_types/f1,test_incremental_location-transit-road/macro_types/f1,test_incremental_only/macro_example_exclusive/precision,test_incremental_only/macro_types/f1,test_pretraining/macro_example/recall,test_incremental_only/macro_example/recall,test_incremental_only/macro_types/precision,test/macro_types/precision,test_pretraining/macro_example/f1,test_incremental/macro_types/f1,test_incremental_location-transit/macro_types/f1,test_incremental_only/macro_example_exclusive/f1,test_incremental_only/macro_example_exclusive/recall,test_incremental/micro/f1,test_pretraining/micro/precision,test_pretraining/macro_types/recall,test_pretraining/micro/recall,test/micro/recall,test_incremental/micro/recall,test_incremental/macro_example/precision,test_pretraining/macro_example/precision,test_pretraining/macro_types/precision,test_incremental_location-transit/macro_types/precision,test/macro_types/f1,threshold_pretraining,test_incremental_only/micro/f1,test_incremental_location-transit-road/macro_types/precision,epoch,test_incremental/macro_example/f1,test_incremental/macro_types/precision,test_incremental/macro_example_exclusive/recall,test/macro_example/precision,test_incremental_only/micro/recall,test_incremental_only/macro_example/f1
no_init_box_kenn_hybrid_adapter_bert_ms,2,9l84riwl,0.8463149070739746,0.829900324344635,0.2690058648586273,0.011346817016601562,0.4035087823867798,0.0,0.8190476298332214,0.38333332538604736,0.7666666507720947,0.05,0.8061192035675049,0.8190476298332214,0.6052631735801697,0.005673408508300781,0.6052631735801697,0.7666666507720947,0.6698252558708191,0.7065911889076233,0.6764705777168274,0.7666666507720947,0.6764705777168274,0.8061192035675049,0.011346817016601562,0.6052631735801697,0.7476277351379395,0.829900324344635,0.3382352888584137,0.0,0.7666666507720947,0.7666666507720947,0.3680000305175781,0.8463149070739746,0.6698252558708191,0.7934825420379639,0.7934825420379639,0.26436781883239746,0.011346817016601562,0.855127215385437,0.7476277351379395,0.0,0.7065911889076233,0.26,0.6764705777168274,0.6052631735801697,33,0.007564544677734375,0.30263158679008484,0.2017543911933899,0.855127215385437,0.7666666507720947,0.011346817016601562
no_init_box_kenn_top_down_adapter_bert_ms,2,uqa1k48q,0.8475571274757385,0.8305966854095459,0.2690058648586273,0.011346817016601562,0.4035087823867798,0.0,0.8196289539337158,0.38333332538604736,0.7666666507720947,0.27,0.8061192035675049,0.8196289539337158,0.7419354915618896,0.005673408508300781,0.7419354915618896,0.7666666507720947,0.6698252558708191,0.7078604102134705,0.7540983557701111,0.7666666507720947,0.7540983557701111,0.8061192035675049,0.011346817016601562,0.7419354915618896,0.7504750490188599,0.8305966854095459,0.37704917788505554,0.0,0.7666666507720947,0.7666666507720947,0.3898304998874664,0.8475571274757385,0.6698252558708191,0.7934825420379639,0.7934825420379639,0.26436781883239746,0.011346817016601562,0.85660719871521,0.7504750490188599,0.0,0.7078604102134705,0.26,0.7540983557701111,0.7419354915618896,23,0.007564544677734375,0.3709677457809448,0.2017543911933899,0.85660719871521,0.7666666507720947,0.011346817016601562
no_init_box_kenn_bottom_up_adapter_bert_ms,2,vue2ca7v,0.8440175652503967,0.8287485837936401,0.2690058648586273,0.011346817016601562,0.4035087823867798,0.0,0.8179702758789062,0.38333332538604736,0.7666666507720947,0.04,0.8061192035675049,0.8179702758789062,0.45098039507865906,0.005673408508300781,0.45098039507865906,0.7666666507720947,0.6698252558708191,0.7051524519920349,0.5679012537002563,0.7666666507720947,0.5679012537002563,0.8061192035675049,0.011346817016601562,0.45098039507865906,0.7444134950637817,0.8287485837936401,0.2839506268501282,0.0,0.7666666507720947,0.7666666507720947,0.3333333134651184,0.8440175652503967,0.6698252558708191,0.7934825420379639,0.7934825420379639,0.26436781883239746,0.011346817016601562,0.8526851534843445,0.7444134950637817,0.0,0.7051524519920349,0.26,0.5679012537002563,0.45098039507865906,32,0.007564544677734375,0.22549019753932953,0.2017543911933899,0.8526851534843445,0.7666666507720947,0.011346817016601562
no_init_box_kenn_hybrid_adapter_bert_ms,1,shsfhpnp,0.8375077843666077,0.8258566856384277,0.31578946113586426,0.013320177793502808,0.4736841917037964,0.0,0.8153148293495178,0.44999998807907104,0.8999999761581421,0.01,0.8067769408226013,0.8153148293495178,0.29032257199287415,0.006660088896751404,0.29032257199287415,0.8999999761581421,0.6726030111312866,0.7051769495010376,0.4390243887901306,0.9000000357627869,0.4390243887901306,0.8067769408226013,0.013320177793502808,0.29032257199287415,0.7410664558410645,0.8258566856384277,0.2195121943950653,0.0,0.9000000357627869,0.9000000357627869,0.29999998211860657,0.8375077843666077,0.6726030111312866,0.7942677736282349,0.7942677736282349,0.3103448152542114,0.013320177793502808,0.8458606004714966,0.7410664558410645,0.0,0.7051769495010376,0.26,0.4390243887901306,0.29032257199287415,22,0.00888011883944273,0.14516128599643707,0.2368420958518982,0.8458606004714966,0.8999999761581421,0.013320177793502808
no_init_box_kenn_top_down_adapter_bert_ms,1,f8c2xwqv,0.8253774046897888,0.8209589719772339,0.31578946113586426,0.013320177793502808,0.4736841917037964,0.0,0.80952388048172,0.44999998807907104,0.8999999761581421,0.01,0.8067769408226013,0.80952388048172,0.16463415324687958,0.006660088896751404,0.16463415324687958,0.8999999761581421,0.6726030111312866,0.7039891481399536,0.2783505320549011,0.9000000357627869,0.2783505320549011,0.8067769408226013,0.013320177793502808,0.16463415324687958,0.7384479641914368,0.8209589719772339,0.13917526602745056,0.0,0.9000000357627869,0.9000000357627869,0.21513943374156952,0.8253774046897888,0.6726030111312866,0.7942677736282349,0.7942677736282349,0.3103448152542114,0.013320177793502808,0.8356484770774841,0.7384479641914368,0.0,0.7039891481399536,0.26,0.2783505320549011,0.16463415324687958,22,0.00888011883944273,0.08231707662343979,0.2368420958518982,0.8356484770774841,0.8999999761581421,0.013320177793502808
no_init_box_kenn_bottom_up_adapter_bert_ms,1,n5comgtr,0.8371611833572388,0.8256998062133789,0.31578946113586426,0.013320177793502808,0.4736841917037964,0.0,0.8151506185531616,0.44999998807907104,0.8999999761581421,0.01,0.8067769408226013,0.8151506185531616,0.28421053290367126,0.006660088896751404,0.28421053290367126,0.8999999761581421,0.6726030111312866,0.705119252204895,0.4319999814033508,0.9000000357627869,0.4319999814033508,0.8067769408226013,0.013320177793502808,0.28421053290367126,0.7409391403198242,0.8256998062133789,0.21599999070167544,0.0,0.9000000357627869,0.9000000357627869,0.2967032790184021,0.8371611833572388,0.6726030111312866,0.7942677736282349,0.7942677736282349,0.3103448152542114,0.013320177793502808,0.845531702041626,0.7409391403198242,0.0,0.705119252204895,0.26,0.4319999814033508,0.28421053290367126,22,0.00888011883944273,0.14210526645183563,0.2368420958518982,0.845531702041626,0.8999999761581421,0.013320177793502808
no_init_box_kenn_hybrid_adapter_bert_ms,0,p5zmaby7,0.8448528051376343,0.8294572830200195,0.31578946113586426,0.013320177793502808,0.4736841917037964,0.0,0.818779706954956,0.44999998807907104,0.8999999761581421,0.01,0.8067769408226013,0.818779706954956,0.529411792755127,0.006660088896751404,0.529411792755127,0.8999999761581421,0.6726030111312866,0.7074241042137146,0.6666666865348816,0.9000000357627869,0.6666666865348816,0.8067769408226013,0.013320177793502808,0.529411792755127,0.7460474967956543,0.8294572830200195,0.3333333432674408,0.0,0.9000000357627869,0.9000000357627869,0.3913043439388275,0.8448528051376343,0.6726030111312866,0.7942677736282349,0.7942677736282349,0.3103448152542114,0.013320177793502808,0.853449821472168,0.7460474967956543,0.0,0.7074241042137146,0.26,0.6666666865348816,0.529411792755127,45,0.00888011883944273,0.2647058963775635,0.2368420958518982,0.853449821472168,0.8999999761581421,0.013320177793502808
no_init_box_kenn_top_down_adapter_bert_ms,0,ad86ziw0,0.8323390483856201,0.8242583870887756,0.31578946113586426,0.013320177793502808,0.4736841917037964,0.0,0.8128578662872314,0.44999998807907104,0.8999999761581421,0.01,0.8067769408226013,0.8128578662872314,0.2195121943950653,0.006660088896751404,0.2195121943950653,0.8999999761581421,0.6726030111312866,0.7045083045959473,0.3529411554336548,0.9000000357627869,0.3529411554336548,0.8067769408226013,0.013320177793502808,0.2195121943950653,0.7395912408828735,0.8242583870887756,0.1764705777168274,0.0,0.9000000357627869,0.9000000357627869,0.2571428418159485,0.8323390483856201,0.6726030111312866,0.7942677736282349,0.7942677736282349,0.3103448152542114,0.013320177793502808,0.842514157295227,0.7395912408828735,0.0,0.7045083045959473,0.26,0.3529411554336548,0.2195121943950653,53,0.00888011883944273,0.10975609719753264,0.2368420958518982,0.842514157295227,0.8999999761581421,0.013320177793502808
no_init_box_kenn_bottom_up_adapter_bert_ms,0,6mhpohya,0.8450292348861694,0.8295350074768066,0.31578946113586426,0.013320177793502808,0.4736841917037964,0.0,0.8188625574111938,0.44999998807907104,0.8999999761581421,0.02,0.8067769408226013,0.8188625574111938,0.5400000214576721,0.006660088896751404,0.5400000214576721,0.8999999761581421,0.6726030111312866,0.7075232267379761,0.6749999523162842,0.9000000357627869,0.6749999523162842,0.8067769408226013,0.013320177793502808,0.5400000214576721,0.746268093585968,0.8295350074768066,0.3374999761581421,0.0,0.9000000357627869,0.9000000357627869,0.39416056871414185,0.8450292348861694,0.6726030111312866,0.7942677736282349,0.7942677736282349,0.3103448152542114,0.013320177793502808,0.8536142706871033,0.746268093585968,0.0,0.7075232267379761,0.26,0.6749999523162842,0.5400000214576721,62,0.00888011883944273,0.27000001072883606,0.2368420958518982,0.8536142706871033,0.8999999761581421,0.013320177793502808
smart_init_box_adapter_bert_ms,2,w4u4dl0t,0.8488860726356506,0.8309522867202759,0.23391813039779663,0.009866798296570778,0.35087719559669495,0.0,0.8199350237846375,0.3333333432674408,0.6666666865348816,0.6900000000000001,0.8056257963180542,0.8199350237846375,1.0,0.004933399148285389,1.0,0.6666666865348816,0.6677418947219849,0.7090700268745422,0.800000011920929,0.6666667461395264,0.800000011920929,0.8056257963180542,0.009866798296570778,1.0,0.7558513879776001,0.8309522867202759,0.4000000059604645,0.0,0.6666667461395264,0.6666667461395264,0.37383174896240234,0.8488860726356506,0.6677418947219849,0.7928935885429382,0.7928935885429382,0.2298850566148758,0.009866798296570778,0.8579227924346924,0.7558513879776001,0.0,0.7090700268745422,0.26,0.800000011920929,1.0,23,0.006577865686267614,0.5,0.17543859779834747,0.8579227924346924,0.6666666865348816,0.009866798296570778
