name,test/macro_types/precision/mean,test_pretraining/macro_types/f1/mean,test_incremental/macro_example/f1/mean,test_incremental_only/macro_types/precision/mean,test_incremental_location-transit-road/macro_types/recall/mean,test_incremental/macro_example/recall/mean,test_pretraining/micro/precision/mean,test_incremental/macro_types/f1/mean,test_pretraining/macro_example/precision/mean,test_incremental_location-transit/macro_types/f1/mean,threshold_incremental/mean,test_incremental_only/micro/recall/mean,test_incremental_only/micro/precision/mean,test_incremental_only/macro_example_exclusive/f1/mean,test_pretraining/micro/recall/mean,test_incremental_only/macro_example/f1/mean,test/macro_types/f1/mean,test_pretraining/micro/f1/mean,test_incremental/macro_example_exclusive/f1/mean,test_pretraining/macro_example/recall/mean,test_incremental_only/macro_example/recall/mean,test/macro_example/precision/mean,test_incremental_only/macro_types/f1/mean,test_pretraining/macro_types/precision/mean,test_incremental_location-transit/macro_types/precision/mean,test/micro/recall/mean,test/micro/precision/mean,test_incremental/macro_types/recall/mean,test_incremental_only/macro_types/recall/mean,test_incremental/micro/f1/mean,test_incremental_only/macro_example_exclusive/precision/mean,threshold_pretraining/mean,test/macro_example/recall/mean,test_incremental_location-transit-road/macro_types/f1/mean,epoch/mean,test/macro_example/f1/mean,test_incremental/macro_example_exclusive/precision/mean,test_incremental/macro_types/precision/mean,test_incremental/macro_example/precision/mean,test_incremental/macro_example_exclusive/recall/mean,test_pretraining/macro_types/recall/mean,test/micro/f1/mean,test/macro_types/recall/mean,test_incremental_only/micro/f1/mean,test_incremental/micro/precision/mean,test_incremental/micro/recall/mean,test_incremental_only/macro_example/precision/mean,test_incremental_location-transit/macro_types/recall/mean,test_incremental_only/macro_example_exclusive/recall/mean,test_incremental_location-transit-road/macro_types/precision/mean,test_pretraining/macro_example/f1/mean,test/macro_types/precision/std,test_pretraining/macro_types/f1/std,test_incremental/macro_example/f1/std,test_incremental_only/macro_types/precision/std,test_incremental_location-transit-road/macro_types/recall/std,test_incremental/macro_example/recall/std,test_pretraining/micro/precision/std,test_incremental/macro_types/f1/std,test_pretraining/macro_example/precision/std,test_incremental_location-transit/macro_types/f1/std,threshold_incremental/std,test_incremental_only/micro/recall/std,test_incremental_only/micro/precision/std,test_incremental_only/macro_example_exclusive/f1/std,test_pretraining/micro/recall/std,test_incremental_only/macro_example/f1/std,test/macro_types/f1/std,test_pretraining/micro/f1/std,test_incremental/macro_example_exclusive/f1/std,test_pretraining/macro_example/recall/std,test_incremental_only/macro_example/recall/std,test/macro_example/precision/std,test_incremental_only/macro_types/f1/std,test_pretraining/macro_types/precision/std,test_incremental_location-transit/macro_types/precision/std,test/micro/recall/std,test/micro/precision/std,test_incremental/macro_types/recall/std,test_incremental_only/macro_types/recall/std,test_incremental/micro/f1/std,test_incremental_only/macro_example_exclusive/precision/std,threshold_pretraining/std,test/macro_example/recall/std,test_incremental_location-transit-road/macro_types/f1/std,epoch/std,test/macro_example/f1/std,test_incremental/macro_example_exclusive/precision/std,test_incremental/macro_types/precision/std,test_incremental/macro_example/precision/std,test_incremental/macro_example_exclusive/recall/std,test_pretraining/macro_types/recall/std,test/micro/f1/std,test/macro_types/recall/std,test_incremental_only/micro/f1/std,test_incremental/micro/precision/std,test_incremental/micro/recall/std,test_incremental_only/macro_example/precision/std,test_incremental_location-transit/macro_types/recall/std,test_incremental_only/macro_example_exclusive/recall/std,test_incremental_location-transit-road/macro_types/precision/std,test_pretraining/macro_example/f1/std
no_init_box_kenn_bottom_up_adapter_bert_ms,0.7485467791557312,0.7052447199821472,0.0061393411209185915,0.6493778449172776,0.6222222248713175,0.0046045056854685145,0.7652233640352885,0.2038032558436195,0.7685434222221375,0.0,0.03666666666666667,0.6222222248713175,0.6493778449172776,0.6222222447395325,0.7926318446795145,0.0092090112157166,0.7052447199821472,0.7736552158991495,0.2183235933383306,0.8053626815478007,0.009209011370937029,0.7685434222221375,0.407606511687239,0.7485467791557312,0.0,0.7926318446795145,0.7652233640352885,0.31111111243565875,0.6222222248713175,0.1817720935990413,0.6222222447395325,0.26,0.8053626815478007,0.407606511687239,51.666666666666664,0.780760129292806,0.3274853825569153,0.32468892245863873,0.009209011370937029,0.16374269127845764,0.6668160160382589,0.7736552158991495,0.6668160160382589,0.407606511687239,0.6493778449172776,0.2145593911409378,0.009209011370937029,0.0,0.6222222447395325,0.6493778449172776,0.780760129292806,0.011470216132343983,0.001338700273273232,0.0032447840536809934,0.5505703442634564,0.3288588550039962,0.002433587760995791,0.14436777591485225,0.1643596555004715,0.15459600796151235,0.0,0.04725815626252608,0.3288588550039962,0.5505703442634564,0.32885883788623443,0.0019367277272985808,0.00486717567932395,0.001338700273273232,0.07863367220056255,0.11538906862779924,0.0015468787836355109,0.004867175521991582,0.15459600796151235,0.328719311000943,0.011470216132343983,0.0,0.0019367277272985808,0.14436777591485225,0.1644294275019981,0.3288588550039962,0.13380475453286822,0.32885883788623443,0.0,0.0015468787836355109,0.328719311000943,4.72581562625261,0.08577399304022618,0.17308362257677837,0.2752851721317282,0.004867175521991582,0.08654181128838918,0.006851214964837556,0.07863367220056255,0.006851214964837556,0.328719311000943,0.5505703442634564,0.11339960812513006,0.004867175521991582,0.0,0.32885883788623443,0.5505703442634564,0.08577399304022618
no_init_box_kenn_hybrid_adapter_bert_ms,0.7484755516052246,0.7045560677846273,0.00559118560825785,0.6459590417022506,0.5666666726271311,0.004193389012167851,0.7651702364285787,0.17480778166403374,0.7685434222221375,0.0,0.043333333333333335,0.5666666726271311,0.6459590417022506,0.5666666825612386,0.7923046549161276,0.008386778024335703,0.7045560677846273,0.7734552621841431,0.198830413321654,0.8050886392593384,0.008386778024335703,0.7685434222221375,0.3496155633280675,0.7484755516052246,0.0,0.7923046549161276,0.7651702364285787,0.28333333631356555,0.5666666726271311,0.15196074110766253,0.5666666825612386,0.26,0.8050886392593384,0.3496155633280675,51.666666666666664,0.7806140979131063,0.2982456187407176,0.3229795208511253,0.008386778024335703,0.1491228093703588,0.6656586130460104,0.7734552621841431,0.6656586130460104,0.3496155633280675,0.6459590417022506,0.19540230184793472,0.008386778024335703,0.0,0.5666666825612386,0.6459590417022506,0.7806140979131063,0.011415646399551432,0.0007781527734476106,0.0037355096322798805,0.5479510970677317,0.3785938842097271,0.0028016319833396672,0.14432176058901902,0.1408435178774845,0.15459600796151235,0.0,0.05131601439446885,0.3785938842097271,0.5479510970677317,0.37859387764985686,0.002229639611522365,0.0056032639666793345,0.0007781527734476106,0.07846059031370337,0.13283996163901785,0.0017924943194755614,0.0056032639666793345,0.15459600796151235,0.281687035754969,0.011415646399551432,0.0,0.002229639611522365,0.14432176058901902,0.18929694210486356,0.3785938842097271,0.11019438307616862,0.37859387764985686,0.0,0.0017924943194755614,0.281687035754969,4.72581562625261,0.0856475526783976,0.19925995459428633,0.27397554853386585,0.0056032639666793345,0.09962997729714317,0.007887354684734676,0.07846059031370337,0.007887354684734676,0.281687035754969,0.5479510970677317,0.13054961961044037,0.0056032639666793345,0.0,0.37859387764985686,0.5479510970677317,0.0856475526783976
no_init_box_kenn_top_down_adapter_bert_ms,0.7492817640304565,0.706031084060669,0.006468234118074179,0.6846560835838318,0.6555555661519369,0.004851175627360742,0.8469781676928202,0.32854701081911725,0.8560508290926615,0.0,0.030000000000000002,0.6555555661519369,0.6846560835838318,0.6555555860201517,0.7928281625111898,0.009702351254721483,0.706031084060669,0.8190086483955383,0.23001948495705923,0.8055709997812907,0.009702351254721483,0.8560508290926615,0.6570940216382345,0.7492817640304565,0.0,0.7928281625111898,0.8469781676928202,0.32777778307596844,0.6555555661519369,0.33521586656570435,0.6555555860201517,0.26,0.8055709997812907,0.6570940216382345,49.666666666666664,0.8300436536471049,0.34502922495206195,0.3423280417919159,0.009702351254721483,0.17251461247603098,0.6675104300181071,0.8190086483955383,0.6675104300181071,0.6570940216382345,0.6846560835838318,0.22605364521344504,0.009702351254721483,0.0,0.6555555860201517,0.6846560835838318,0.8300436536471049,0.003949783111161158,0.001466388276365951,0.0006846460158754761,0.1895900681509851,0.06938886728516518,0.0005134844932652406,0.0013078807366167261,0.034099028067072594,0.001371436830793668,0.0,0.017320508075688773,0.06938886728516518,0.1895900681509851,0.06938885774078345,0.00040864270393698707,0.0010269689865304809,0.001466388276365951,0.0005216039346709054,0.024346979286723042,0.0003423187965846608,0.0010269689865304809,0.001371436830793668,0.06819805613414519,0.003949783111161158,0.0,0.00040864270393698707,0.0013078807366167261,0.03469443364258259,0.06938886728516518,0.023148699919133927,0.06938885774078345,0.0,0.0003423187965846608,0.06819805613414519,7.3711147958319945,0.0005725976974889066,0.036520457596131345,0.09479503407549256,0.0010269689865304809,0.018260228798065662,0.0014456111453753312,0.0005216039346709054,0.0014456111453753312,0.06819805613414519,0.1895900681509851,0.023927195903550646,0.0010269689865304809,0.0,0.06938885774078345,0.1895900681509851,0.0005725976974889066
no_init_kenn_bottom_up_adapter_bert_ms,0.8607112963994344,0.8369774023691813,0.012737253059943518,0.7082963585853577,0.8222222129503886,0.012497944136460623,0.8536180655161539,0.7141782641410828,0.8627454042434692,0.6190475821495056,0.6633333333333333,0.8222222129503886,0.7082963585853577,0.8222222725550333,0.8560397823651632,0.012169050984084606,0.8369774023691813,0.8548176685969034,0.45295459032058716,0.8627972801526388,0.012169050984084606,0.8627454042434692,0.7047108709812164,0.8607112963994344,0.9629629850387572,0.8560397823651632,0.8536180655161539,0.6391812761624655,0.8222222129503886,0.6396799087524414,0.8222222526868185,0.33,0.8627972801526388,0.7047108709812164,27.666666666666668,0.8627626101175944,0.46198829015096027,0.8356296817461649,0.012991284330685934,0.4444444477558136,0.8145492474238077,0.8548176685969034,0.8145492474238077,0.7047108709812164,0.7704242368539175,0.5823754866917928,0.012169050984084606,0.45614033937454224,0.8222222526868185,0.7082963585853577,0.8627626101175944,0.007836502686461369,0.002974612674411102,0.0004420004746431665,0.37615315411416067,0.0838870284910725,0.000620772797777569,0.006568756111287556,0.05939187555755664,0.00637285272614265,0.0,0.5571654452075553,0.0838870284910725,0.37615315411416067,0.08388706401780854,0.0004940149187153707,0.001241545102128402,0.002974612674411102,0.0031046783643482023,0.015718143962293554,0.00041385478192391696,0.001241545102128402,0.00637285272614265,0.245461194113641,0.007836502686461369,0.0,0.0004940149187153707,0.006568756111287556,0.041943543851141886,0.0838870284910725,0.12128528772408664,0.08388706007038473,0.0,0.00041385478192391696,0.245461194113641,20.744477176668813,0.0030272202135562492,0.010128947864917935,0.18807658436838448,0.00028483009393804546,0.022075532047498264,0.0017476386143605756,0.0031046783643482023,0.0017476386143605756,0.245461194113641,0.30045812452967224,0.028926575024301182,0.001241545102128402,0.0,0.08388706007038473,0.37615315411416067,0.0030272202135562492
no_init_kenn_hybrid_adapter_bert_ms,0.8605564832687378,0.8371487061182658,0.012822789760927359,0.7008638232946396,0.8444444338480631,0.012662390867869059,0.8530365029970804,0.7199414769808451,0.8622246583302816,0.6190475821495056,0.6633333333333333,0.8444444338480631,0.7008638232946396,0.8444444934527079,0.856170654296875,0.012497944136460623,0.8371487061182658,0.8545884291330973,0.45599640409151715,0.8629068930943807,0.012497944136460623,0.8622246583302816,0.7072323461373647,0.8605564832687378,0.9629629850387572,0.856170654296875,0.8530365029970804,0.6502923965454102,0.8444444338480631,0.6375846564769745,0.8444445133209229,0.33,0.8629068930943807,0.7072323461373647,28.0,0.862554689248403,0.46198829015096027,0.831913411617279,0.012991284330685934,0.4502923885981242,0.8150122165679932,0.8545884291330973,0.8150122165679932,0.7072323461373647,0.7596872051556905,0.5900383194287618,0.012497944136460623,0.45614033937454224,0.8444445133209229,0.7008638232946396,0.862554689248403,0.008201243756220732,0.0033628497053673784,0.0003749403138085713,0.3936597002932093,0.06938886728516519,0.0005134847542444244,0.007624457239839475,0.07072094685469635,0.0072745479911816065,0.0,0.5658032638058332,0.06938886728516519,0.3936597002932093,0.06938886728516519,0.0004086522483187009,0.0010269695084888484,0.0033628497053673784,0.0036960997249787025,0.01333338176355995,0.00034231879658465407,0.0010269695084888484,0.0072745479911816065,0.2764335532940683,0.008201243756220732,0.0,0.0004086522483187009,0.007624457239839475,0.03469446704792158,0.06938886728516519,0.14077189485891714,0.06938883387982765,0.0,0.00034231879658465407,0.2764335532940683,21.283796653792763,0.003530344485226946,0.010128947864917935,0.19682986418090231,0.00028483009393804546,0.018260220446731534,0.0014456302341387828,0.0036960997249787025,0.0014456302341387828,0.2764335532940683,0.3208177747186924,0.02392718278003138,0.0010269695084888484,0.0,0.06938883387982765,0.3936597002932093,0.003530344485226946
no_init_kenn_top_down_adapter_bert_ms,0.8610747257868449,0.837395171324412,0.012822789760927359,0.7257424294948578,0.8444444338480631,0.012662390867869059,0.8539666334788004,0.7256677945454916,0.8630523880322775,0.6190475821495056,0.6933333333333334,0.8444444338480631,0.7257424294948578,0.8444444934527079,0.856170654296875,0.012497944136460623,0.837395171324412,0.8550590872764587,0.45599640409151715,0.8629068930943807,0.012497944136460623,0.8630523880322775,0.7291426658630371,0.8610747257868449,0.9629629850387572,0.856170654296875,0.8539666334788004,0.6502923965454102,0.8444444338480631,0.6515388488769531,0.8444445133209229,0.33,0.8629068930943807,0.7291426658630371,13.666666666666666,0.8629721403121948,0.46198829015096027,0.8443527022997538,0.012991284330685934,0.4502923885981242,0.8150122165679932,0.8550590872764587,0.8150122165679932,0.7291426658630371,0.7826351722081503,0.5900383194287618,0.012497944136460623,0.45614033937454224,0.8444445133209229,0.7257424294948578,0.8629721403121948,0.007862067307633055,0.003224498014640731,0.0003749403138085713,0.37737816849749495,0.06938886728516519,0.0005134847542444244,0.0061584974612419715,0.06623030131874534,0.005982001403335642,0.0,0.5138417395787669,0.06938886728516519,0.37737816849749495,0.06938886728516519,0.0004086522483187009,0.0010269695084888484,0.003224498014640731,0.002955576436486754,0.01333338176355995,0.00034231879658465407,0.0010269695084888484,0.005982001403335642,0.25224190792743906,0.007862067307633055,0.0,0.0004086522483187009,0.0061584974612419715,0.03469446704792158,0.06938886728516519,0.12128853011969547,0.06938883387982765,0.0,0.00034231879658465407,0.25224190792743906,5.507570547286102,0.002879219804854511,0.010128947864917935,0.18868909402042736,0.00028483009393804546,0.018260220446731534,0.0014456302341387828,0.002955576436486754,0.0014456302341387828,0.25224190792743906,0.2953868546255872,0.02392718278003138,0.0010269695084888484,0.0,0.06938883387982765,0.37737816849749495,0.002879219804854511
smart_init_box_adapter_bert_ms,0.7532879908879598,0.7087165117263794,0.007235651525358359,0.8769553303718567,0.7333333293596903,0.0054267387216289835,0.8483556707700094,0.39587582151095074,0.8573060830434164,0.0,0.23,0.7333333293596903,0.8769553303718567,0.7333333889643351,0.7932862242062887,0.010853477443257967,0.7087165117263794,0.8198971350987753,0.25730994840463,0.8059547344843546,0.010853477443257967,0.8573060830434164,0.7917516430219015,0.7532879908879598,0.0,0.7932862242062887,0.8483556707700094,0.36666666467984516,0.7333333293596903,0.3902190526326497,0.7333333690961202,0.26,0.8059547344843546,0.7917516430219015,28.333333333333332,0.8308375477790833,0.38596491018931073,0.43847766518592834,0.010853477443257967,0.19298245509465536,0.669130782286326,0.8198971350987753,0.669130782286326,0.7917516430219015,0.8769553303718567,0.25287356475989026,0.010853477443257967,0.0,0.7333333690961202,0.8769553303718567,0.8308375477790833,0.0013390526563558873,0.0009778352015482477,0.0011858414263935277,0.06427607968966013,0.12018501882052557,0.0008893811666585593,0.00027745466180065204,0.02819701758362376,0.0003263131624692437,0.0,0.2986636904613616,0.12018501882052557,0.06427607968966013,0.12018507668026625,0.0007078147218292116,0.0017787623333171173,0.0009778352015482477,0.00029471796930711234,0.042170207201850725,0.0005929052801080533,0.0017787623333171173,0.0003263131624692437,0.05639403516724752,0.0013390526563558873,0.0,0.0007078147218292116,0.00027745466180065204,0.060092509410262784,0.12018501882052557,0.04648420530981916,0.12018505188323371,0.0,0.0005929052801080533,0.05639403516724752,7.094598884597588,0.00019166070710281396,0.06325529220500305,0.03213803984483007,0.0017787623333171173,0.031627646102501523,0.0025038636855597074,0.00029471796930711234,0.0025038636855597074,0.05639403516724752,0.06427607968966013,0.04144311278834576,0.0017787623333171173,0.0,0.12018505188323371,0.06427607968966013,0.00019166070710281396
smart_init_classifier_adapter_bert_ms,0.8606919447580973,0.8369681239128113,0.012737253059943518,0.7073687215646108,0.8222222129503886,0.012497944136460623,0.85356338818868,0.7139245669047037,0.8626906077067057,0.6190475821495056,0.6933333333333334,0.8222222129503886,0.7073687215646108,0.8222222725550333,0.8560397823651632,0.012169050984084606,0.8369681239128113,0.8547899921735128,0.45295459032058716,0.8627972801526388,0.012169050984084606,0.8626906077067057,0.7036207715670267,0.8606919447580973,0.9629629850387572,0.8560397823651632,0.85356338818868,0.6391812761624655,0.8222222129503886,0.638897438844045,0.8222222526868185,0.33,0.8627972801526388,0.7036207715670267,26.666666666666668,0.8627349535624186,0.46198829015096027,0.8351658582687378,0.012991284330685934,0.4444444477558136,0.8145492474238077,0.8547899921735128,0.8145492474238077,0.7036207715670267,0.7693025469779968,0.5823754866917928,0.012169050984084606,0.45614033937454224,0.8222222526868185,0.7073687215646108,0.8627349535624186,0.007869900991138759,0.002990630592289786,0.0004420004746431665,0.3777541294177513,0.0838870284910725,0.000620772797777569,0.006663442696181014,0.0598203456991159,0.006467731970883608,0.0,0.5052062285179523,0.0838870284910725,0.3777541294177513,0.08388706401780854,0.0004940149187153707,0.001241545102128402,0.002990630592289786,0.003152597901137578,0.015718143962293554,0.00041385478192391696,0.001241545102128402,0.006467731970883608,0.24734534666162775,0.007869900991138759,0.0,0.0004940149187153707,0.006663442696181014,0.041943543851141886,0.0838870284910725,0.12263704078297936,0.08388706007038473,0.0,0.00041385478192391696,0.24734534666162775,21.385353243127252,0.0030751182353156398,0.010128947864917935,0.18887708059837527,0.00028483009393804546,0.022075532047498264,0.0017476386143605756,0.003152597901137578,0.0017476386143605756,0.24734534666162775,0.3023980834182438,0.028926575024301182,0.001241545102128402,0.0,0.08388706007038473,0.3777541294177513,0.0030751182353156398
