name,instance,run_id,test_pretraining/micro/f1,test/micro/recall,test/macro_types/recall,test_incremental/micro/f1,test_incremental/macro_types/f1,test_pretraining/macro_example/recall,test_incremental_only/micro/recall,test_incremental/macro_example_exclusive/recall,epoch,test_incremental/micro/recall,test_incremental/micro/precision,test_incremental/macro_types/recall,test_incremental/macro_types/precision,test_incremental_only/macro_example/precision,test_incremental_only/macro_example_exclusive/precision,test_incremental_only/micro/f1,test_incremental/macro_example/precision,test_incremental_only/macro_example/recall,test_incremental_only/macro_example_exclusive/recall,test/macro_example/f1,test/macro_types/precision,test/macro_example/precision,test_incremental_location-transit/macro_types/f1,test_pretraining/macro_types/f1,test_pretraining/macro_example/precision,test_incremental_only/macro_example_exclusive/f1,test_pretraining/micro/recall,test_incremental_only/macro_types/f1,test_pretraining/macro_types/precision,test_incremental_only/macro_types/recall,test_incremental_location-transit-road/macro_types/f1,test_incremental_location-transit-road/macro_types/precision,test_pretraining/macro_example/f1,test_pretraining/macro_types/recall,test_incremental_location-transit/macro_types/recall,test/macro_example/recall,test_pretraining/micro/precision,test_incremental/macro_example/f1,test_incremental_location-transit/macro_types/precision,test_incremental_location-transit-road/macro_types/recall,test/macro_types/f1,test_incremental_only/macro_example/f1,test_incremental/macro_example_exclusive/precision,test/micro/f1,test/micro/precision,test_incremental/macro_example/recall,threshold_incremental,threshold_pretraining,test_incremental_only/micro/precision,test_incremental/macro_example_exclusive/f1,test_incremental_only/macro_types/precision
no_init_box_kenn_hybrid_adapter_bert_ms,2,2bb32ymv,0.8197585940361023,0.7932862043380737,0.669130802154541,0.3859649300575256,0.3859649002552033,0.8059546947479248,0.7333333492279053,0.1929824650287628,38,0.25287356972694397,0.8148148059844971,0.36666667461395264,0.40740740299224854,0.010853477753698826,0.7333333492279053,0.7719298005104065,0.010853477753698826,0.010853477753698826,0.7333333492279053,0.8306638598442078,0.7519934177398682,0.8569360971450806,0.0,0.708146333694458,0.8569360971450806,0.7333333492279053,0.7932862043380737,0.7719298005104065,0.7519934177398682,0.7333333492279053,0.7719298005104065,0.8148148059844971,0.8306638598442078,0.669130802154541,0.0,0.8059546947479248,0.8480587601661682,0.007235651835799217,0.0,0.7333333492279053,0.708146333694458,0.010853477753698826,0.3859649300575256,0.8197585940361023,0.8480587601661682,0.005426738876849413,0.02,0.26,0.8148148059844971,0.2573099136352539,0.8148148059844971
no_init_box_kenn_top_down_adapter_bert_ms,2,x2293oq3,0.8196755051612854,0.7932862043380737,0.669130802154541,0.38260871171951294,0.3793103396892547,0.8059546947479248,0.7333333492279053,0.1929824650287628,39,0.25287356972694397,0.7857142686843872,0.36666667461395264,0.3928571343421936,0.010853477753698826,0.7333333492279053,0.7586206793785095,0.010853477753698826,0.010853477753698826,0.7333333492279053,0.8305866122245789,0.7513871192932129,0.8567716479301453,0.0,0.7078773975372314,0.8567716479301453,0.7333333492279053,0.7932862043380737,0.7586206793785095,0.7513871192932129,0.7333333492279053,0.7586206793785095,0.7857142686843872,0.8305866122245789,0.669130802154541,0.0,0.8059546947479248,0.8478808403015137,0.007235651835799217,0.0,0.7333333492279053,0.7078773975372314,0.010853477753698826,0.3859649300575256,0.8196755051612854,0.8478808403015137,0.005426738876849413,0.11,0.26,0.7857142686843872,0.2573099136352539,0.7857142686843872
no_init_box_kenn_bottom_up_adapter_bert_ms,2,bz7n63w2,0.8193796873092651,0.7934825420379639,0.6698252558708191,0.3801652789115906,0.359375,0.8061192035675049,0.7666666507720947,0.2017543911933899,26,0.26436781883239746,0.6764705777168274,0.38333332538604736,0.3382352888584137,0.011346817016601562,0.7666666507720947,0.71875,0.011346817016601562,0.011346817016601562,0.7666666507720947,0.8303298950195312,0.7491111755371094,0.8560398817062378,0.0,0.707253098487854,0.8560398817062378,0.7666666507720947,0.7934825420379639,0.71875,0.7491111755371094,0.7666666507720947,0.71875,0.6764705777168274,0.8303298950195312,0.6698252558708191,0.0,0.8061192035675049,0.8470243215560913,0.007564544677734375,0.0,0.7666666507720947,0.707253098487854,0.011346817016601562,0.4035087823867798,0.8193796873092651,0.8470243215560913,0.005673408508300781,0.01,0.26,0.6764705777168274,0.2690058648586273,0.6764705777168274
no_init_box_kenn_hybrid_adapter_bert_ms,1,hmcexemz,0.8189759850502014,0.7913231253623962,0.6621863842010498,0.24242424964904785,0.2857142984867096,0.8043102025985718,0.4000000059604645,0.10526315867900848,22,0.13793103396892548,1.0,0.20000000298023224,0.5,0.005920078605413437,0.40000003576278687,0.5714285969734192,0.005920078605413437,0.005920078605413437,0.40000003576278687,0.830251932144165,0.7558513879776001,0.8579227924346924,0.0,0.705925464630127,0.8579227924346924,0.40000003576278687,0.7913231253623962,0.5714285969734192,0.7558513879776001,0.4000000059604645,0.5714285969734192,1.0,0.830251932144165,0.6621863842010498,0.0,0.8043102025985718,0.8486315608024597,0.003946719225496054,0.0,0.4000000059604645,0.705925464630127,0.005920078605413437,0.21052631735801697,0.8189759850502014,0.8486315608024597,0.0029600393027067184,0.08,0.26,1.0,0.14035089313983917,1.0
no_init_box_kenn_top_down_adapter_bert_ms,1,gobq5n34,0.8194359540939331,0.7928935885429382,0.6677418947219849,0.3539822995662689,0.3571428656578064,0.8056257963180542,0.6666666865348816,0.17543859779834747,23,0.2298850566148758,0.7692307829856873,0.3333333432674408,0.3846153914928436,0.009866798296570778,0.6666667461395264,0.7142857313156128,0.009866798296570778,0.009866798296570778,0.6666667461395264,0.8304505348205566,0.7510437369346619,0.8568538427352905,0.0,0.7069473266601562,0.8568538427352905,0.6666667461395264,0.7928935885429382,0.7142857313156128,0.7510437369346619,0.6666666865348816,0.7142857313156128,0.7692307829856873,0.8304505348205566,0.6677418947219849,0.0,0.8056257963180542,0.8478169441223145,0.006577865686267614,0.0,0.6666666865348816,0.7069473266601562,0.009866798296570778,0.35087719559669495,0.8194359540939331,0.8478169441223145,0.004933399148285389,0.04,0.26,0.7692307829856873,0.23391813039779663,0.7692307829856873
no_init_box_kenn_bottom_up_adapter_bert_ms,1,h4c8vjnm,0.8189759850502014,0.7913231253623962,0.6621863842010498,0.24242424964904785,0.2857142984867096,0.8043102025985718,0.4000000059604645,0.10526315867900848,22,0.13793103396892548,1.0,0.20000000298023224,0.5,0.005920078605413437,0.40000003576278687,0.5714285969734192,0.005920078605413437,0.005920078605413437,0.40000003576278687,0.830251932144165,0.7558513879776001,0.8579227924346924,0.0,0.705925464630127,0.8579227924346924,0.40000003576278687,0.7913231253623962,0.5714285969734192,0.7558513879776001,0.4000000059604645,0.5714285969734192,1.0,0.830251932144165,0.6621863842010498,0.0,0.8043102025985718,0.8486315608024597,0.003946719225496054,0.0,0.4000000059604645,0.705925464630127,0.005920078605413437,0.21052631735801697,0.8189759850502014,0.8486315608024597,0.0029600393027067184,0.08,0.26,1.0,0.14035089313983917,1.0
no_init_box_kenn_hybrid_adapter_bert_ms,0,4vj8igh0,0.8181356191635132,0.7899489402770996,0.657325267791748,0.10869564861059187,0.1428571492433548,0.8031591176986694,0.1666666716337204,0.04385964944958687,32,0.05747126415371895,1.0,0.0833333358168602,0.5,0.0024666995741426945,0.1666666865348816,0.2857142984867096,0.0024666995741426945,0.0024666995741426945,0.1666666865348816,0.8296382427215576,0.7558513879776001,0.8579227924346924,0.0,0.7031537294387817,0.8579227924346924,0.1666666865348816,0.7899489402770996,0.2857142984867096,0.7558513879776001,0.1666666716337204,0.2857142984867096,1.0,0.8296382427215576,0.657325267791748,0.0,0.8031591176986694,0.8484081625938416,0.0016444664215669036,0.0,0.1666666716337204,0.7031537294387817,0.0024666995741426945,0.08771929889917374,0.8181356191635132,0.8484081625938416,0.0012333497870713472,0.27,0.26,1.0,0.05847953259944916,1.0
no_init_box_kenn_top_down_adapter_bert_ms,0,blcv9ct1,0.8187063336372375,0.7938751578330994,0.6712141036987305,0.3731343448162079,0.3246753215789795,0.8064480423927307,0.8333333134651184,0.21929824352264404,32,0.28735631704330444,0.5319148898124695,0.4166666567325592,0.26595744490623474,0.012333497405052183,0.8333333730697632,0.649350643157959,0.012333497405052183,0.012333497405052183,0.8333333730697632,0.8293998837471008,0.7460996508598328,0.8536964654922485,0.0,0.7066785097122192,0.8536964654922485,0.833333432674408,0.7938751578330994,0.649350643157959,0.7460996508598328,0.8333333134651184,0.649350643157959,0.5319148898124695,0.8293998837471008,0.6712141036987305,0.0,0.8064480423927307,0.8451410531997681,0.008222331292927265,0.0,0.8333333134651184,0.7066785097122192,0.012333497405052183,0.4385964870452881,0.8187063336372375,0.8451410531997681,0.0061667487025260925,0.02,0.26,0.5319148898124695,0.292397677898407,0.5319148898124695
no_init_box_kenn_bottom_up_adapter_bert_ms,0,2mk1uq6h,0.8179323077201843,0.7897526621818542,0.65663081407547,0.08695652335882187,0.11428572237491608,0.8029947280883789,0.13333334028720856,0.035087719559669495,59,0.04597701132297516,0.800000011920929,0.06666667014360428,0.4000000059604645,0.001973359612748027,0.13333334028720856,0.22857144474983215,0.001973359612748027,0.001973359612748027,0.13333334028720856,0.8294351696968079,0.7516847848892212,0.857676088809967,0.0,0.7009499669075012,0.857676088809967,0.13333334028720856,0.7897526621818542,0.22857144474983215,0.7516847848892212,0.13333334028720856,0.22857144474983215,0.800000011920929,0.8294351696968079,0.65663081407547,0.0,0.8029947280883789,0.848197340965271,0.0013155731139704585,0.0,0.13333334028720856,0.7009499669075012,0.001973359612748027,0.07017543911933899,0.8179323077201843,0.848197340965271,0.0009866798063740134,0.28,0.26,0.800000011920929,0.046783626079559326,0.800000011920929
smart_init_box_adapter_bert_ms,2,cmwh1ruo,0.8195756673812866,0.7923046946525574,0.6656585931777954,0.32692307233810425,0.3617021441459656,0.8051325082778931,0.5666666626930237,0.14912280440330505,25,0.19540229439735413,1.0,0.28333333134651184,0.5,0.008386777713894844,0.5666667222976685,0.7234042882919312,0.008386777713894844,0.008386777713894844,0.5666667222976685,0.8306897878646851,0.7558513879776001,0.8579227924346924,0.0,0.7078936696052551,0.8579227924346924,0.5666667222976685,0.7923046946525574,0.7234042882919312,0.7558513879776001,0.5666666626930237,0.7234042882919312,1.0,0.8306897878646851,0.6656585931777954,0.0,0.8051325082778931,0.8487907648086548,0.005591185297816992,0.0,0.5666666626930237,0.7078936696052551,0.008386777713894844,0.2982456088066101,0.8195756673812866,0.8487907648086548,0.004193388856947422,0.62,0.26,1.0,0.19883039593696591,1.0
