name,instance,run_id,test_incremental/macro_example/f1,test_incremental_only/micro/recall,test_pretraining/macro_types/recall,test_incremental_only/macro_types/precision,test_pretraining/macro_types/f1,test_incremental_only/macro_example/precision,test_incremental_government-political_party/macro_types/precision,test_pretraining/micro/recall,test/micro/f1,test/macro_example/recall,test/macro_types/precision,test_pretraining/macro_example/f1,test_incremental_only/micro/precision,test/macro_example/precision,test_pretraining/macro_example/recall,test_incremental_only/macro_example/recall,test_incremental_government-government/macro_types/recall,test_pretraining/micro/f1,test/macro_example/f1,epoch,test_incremental_only/macro_example_exclusive/precision,test_pretraining/micro/precision,test_pretraining/macro_types/precision,test_incremental_government/macro_types/recall,test_incremental_government-government/macro_types/f1,test_incremental/macro_types/precision,threshold_incremental,test_incremental/macro_types/recall,test_incremental/micro/f1,test_incremental/macro_types/f1,test_incremental/micro/precision,threshold_pretraining,test_incremental_only/macro_types/f1,test_incremental/macro_example_exclusive/f1,test_incremental/macro_example_exclusive/recall,test/macro_types/f1,test_incremental_government/macro_types/precision,test_incremental_government-political_party/macro_types/recall,test/micro/recall,test_incremental_only/micro/f1,test_incremental/macro_example/recall,test_incremental_only/macro_example_exclusive/f1,test_incremental_only/macro_example_exclusive/recall,test/micro/precision,test_incremental_government/macro_types/f1,test_incremental/macro_example_exclusive/precision,test_incremental_only/macro_example/f1,test_incremental/macro_example/precision,test_incremental_only/macro_types/recall,test_pretraining/macro_example/precision,test_incremental_government-political_party/macro_types/f1,test_incremental_government-government/macro_types/precision,test/macro_types/recall,test_incremental/micro/recall
kenn_hybrid_adapter_bert_ms,2,236hna12,0.03313625603914261,0.9494949579238892,0.8650985956192017,0.882446825504303,0.8838502764701843,0.03270702809095383,0.914893627166748,0.8999783992767334,0.9064403772354126,0.914155662059784,0.903432846069336,0.9207621216773988,0.8785046935081482,0.9274646043777466,0.914155662059784,0.03270702809095383,0.9272727370262146,0.9064403772354126,0.9207621216773988,15,0.9494949579238892,0.9129958152770996,0.903432846069336,0.9494949579238892,0.8869565725326538,0.9047962427139282,0.23,0.9513468146324158,0.9306930899620056,0.9274877905845642,0.9126213788986206,0.375,0.916031002998352,0.9619555473327636,0.9494949579238892,0.8838502764701843,0.9494949579238892,0.9772727489471436,0.8999783992767334,0.9126213788986206,0.03270702809095383,0.9494949579238892,0.9494949579238892,0.9129958152770996,0.9494949579238892,0.9747475385665894,0.03270702809095383,0.03357689827680588,0.9522727727890016,0.9274646043777466,0.9450549483299256,0.8500000238418579,0.8650985956192017,0.9494949579238892
kenn_top_down_adapter_bert_ms,2,2ioq1dpv,0.03347884118556976,0.9595959782600404,0.8655441999435425,0.7259649038314819,0.8811342716217041,0.03305497765541077,0.7719298005104065,0.9001944065093994,0.9041987061500548,0.9142716526985168,0.8972963094711304,0.9196332097053528,0.7196969985961914,0.9250580072402954,0.9142716526985168,0.03305497765541077,0.9272727370262146,0.9041987061500548,0.9196332097053528,15,0.9595960378646852,0.9082388877868652,0.8972963094711304,0.9494949579238892,0.7846154570579529,0.800475001335144,0.34,0.958922564983368,0.881118893623352,0.8725641369819641,0.8181818127632141,0.375,0.8280843496322632,0.9719008207321168,0.9545454382896424,0.8811342716217041,0.9494949579238892,1.0,0.9001944065093994,0.822510838508606,0.0328810028731823,0.9595960378646852,0.9595960378646852,0.9082388877868652,0.9494949579238892,0.9898989796638488,0.03305497765541077,0.03409881889820099,0.9636363983154296,0.9250580072402954,0.8712871670722961,0.6800000071525574,0.8655441999435425,0.9545454382896424
kenn_bottom_up_adapter_bert_ms,2,lgoe13zj,0.03347884118556976,0.9595959782600404,0.8655441999435425,0.905701756477356,0.8845191597938538,0.03305497765541077,0.9166666865348816,0.9001944065093994,0.9068552255630492,0.9142716526985168,0.9043448567390442,0.9207780361175536,0.9047619104385376,0.9273776412010192,0.9142716526985168,0.03305497765541077,0.9272727370262146,0.9068552255630492,0.9207780361175536,15,0.9595960378646852,0.9136154055595398,0.9043448567390442,0.9494949579238892,0.9107142686843872,0.9202995300292968,0.13,0.9589226245880128,0.9402984976768494,0.9392141699790956,0.9264705777168274,0.375,0.933771312236786,0.9719008207321168,0.9545454382896424,0.8845191597938538,0.9494949579238892,1.0,0.9001944065093994,0.9313725233078004,0.0328810028731823,0.9595960378646852,0.9595960378646852,0.9136154055595398,0.9494949579238892,0.9898989796638488,0.03305497765541077,0.03409881889820099,0.9636363983154296,0.9273776412010192,0.95652174949646,0.8947368264198303,0.8655441999435425,0.9545454382896424
kenn_hybrid_adapter_bert_ms,1,2bxd6jjl,0.033633291721343994,0.9898989796638488,0.8666137456893921,0.2002380937337875,0.8716176748275757,0.03375086933374405,0.2933333218097687,0.9008424878120422,0.8563507795333862,0.9145616292953492,0.8766795992851257,0.884477436542511,0.1498470902442932,0.8563094735145569,0.9145616292953492,0.03409881889820099,0.9818181991577148,0.8563507795333862,0.884477436542511,15,0.9797979593276978,0.816046953201294,0.8766795992851257,0.9494949579238892,0.1932021528482437,0.4499904215335846,0.02,0.977104425430298,0.40378549695014954,0.6161996126174927,0.25498008728027344,0.375,0.3331540524959564,0.9763845205307008,0.9696969985961914,0.8716176748275757,0.9494949579238892,1.0,0.9008424878120422,0.2602921426296234,0.033402927219867706,0.9848225712776184,0.9898989796638488,0.816046953201294,0.9494949579238892,0.9831649661064148,0.03392395004630089,0.03386685252189636,0.9909090995788574,0.8563094735145569,0.4536082446575165,0.1071428582072258,0.8666137456893921,0.9696969985961914
kenn_top_down_adapter_bert_ms,1,2u1nta6a,0.03351639583706856,0.9797979593276978,0.8662571907043457,0.2610837519168854,0.8726143836975098,0.03357689827680588,0.3793103396892547,0.9006264805793762,0.8710822463035583,0.914474606513977,0.8790656924247742,0.8950585126876831,0.19917865097522736,0.8764498233795166,0.914474606513977,0.03375086933374405,0.9636363387107848,0.8710822463035583,0.8950585126876831,16,0.9747474789619446,0.8434149026870728,0.8790656924247742,0.9494949579238892,0.2488262951374054,0.49055415391922,0.1,0.971043825149536,0.4872449040412903,0.6518203020095825,0.32593855261802673,0.375,0.4124810993671417,0.9729911684989928,0.9646465182304382,0.8726143836975098,0.9494949579238892,1.0,0.9006264805793762,0.33105799555778503,0.03322894871234894,0.9772661924362184,0.9797979593276978,0.8434149026870728,0.9494949579238892,0.9814814925193788,0.033663660287857056,0.033808864653110504,0.9818181991577148,0.8764498233795166,0.550000011920929,0.1428571492433548,0.8662571907043457,0.9646464586257936
kenn_bottom_up_adapter_bert_ms,1,2jskqs3p,0.033633291721343994,0.9898989796638488,0.8666137456893921,0.21057382225990295,0.871817946434021,0.03375086933374405,0.3120567500591278,0.9008424878120422,0.8579363822937012,0.9145616292953492,0.8770849108695984,0.8853273987770081,0.15408805012702942,0.8579041957855225,0.9145616292953492,0.03409881889820099,0.9818181991577148,0.8579363822937012,0.8853273987770081,15,0.9797979593276978,0.8189316391944885,0.8770849108695984,0.9494949579238892,0.196363627910614,0.4568808972835541,0.02,0.977104425430298,0.4115755558013916,0.6226288676261902,0.2612244784832001,0.375,0.34733664989471436,0.9763845205307008,0.9696969985961914,0.871817946434021,0.9494949579238892,1.0,0.9008424878120422,0.2666666805744171,0.033402927219867706,0.9848225712776184,0.9898989796638488,0.8189316391944885,0.9494949579238892,0.9831649661064148,0.03392395004630089,0.03386685252189636,0.9909090995788574,0.8579041957855225,0.47567567229270935,0.1090909093618393,0.8666137456893921,0.9696969985961914
kenn_hybrid_adapter_bert_ms,0,ih58lkpz,0.033835846930742264,1.0,0.8669701814651489,0.31279414892196655,0.8739748001098633,0.03392484411597252,0.3492063581943512,0.901058554649353,0.8865036964416504,0.914677619934082,0.8810935616493225,0.9078448414802552,0.3046153783798218,0.9011133909225464,0.914677619934082,0.03444676846265793,1.0,0.8865036964416504,0.9078448414802552,15,0.9848484992980956,0.8724116086959839,0.8810935616493225,0.9494949579238892,0.4330708384513855,0.5250277519226074,0.02,0.9831650257110596,0.6205787658691406,0.6845132112503052,0.4551886916160583,0.375,0.47653189301490784,0.9822648167610168,0.9747475385665894,0.8739748001098633,0.9494949579238892,1.0,0.901058554649353,0.46698111295700073,0.03357689827680588,0.9923664331436156,1.0,0.8724116086959839,0.9494949579238892,0.9898990392684937,0.034183815121650696,0.03409881889820099,1.0,0.9011133909225464,0.5176470875740051,0.2763819098472595,0.8669701814651489,0.9747474789619446
kenn_top_down_adapter_bert_ms,0,1klc6g5k,0.033835846930742264,1.0,0.8669701814651489,0.12795540690422058,0.8703940510749817,0.03392484411597252,0.1246458888053894,0.901058554649353,0.8463020920753479,0.914677619934082,0.8738449811935425,0.8804737329483032,0.12823833525180817,0.8487358093261719,0.914677619934082,0.03444676846265793,1.0,0.8463020920753479,0.8804737329483032,15,0.9848484992980956,0.7978194355964661,0.8738449811935425,0.9494949579238892,0.23206749558448792,0.4018019437789917,0.060000000000000005,0.9831650257110596,0.36108511686325073,0.5704650282859802,0.22158437967300415,0.375,0.2268802523612976,0.9822648167610168,0.9747475385665894,0.8703940510749817,0.9494949579238892,1.0,0.901058554649353,0.227324903011322,0.03357689827680588,0.9923664331436156,1.0,0.7978194355964661,0.9494949579238892,0.9898990392684937,0.034183815121650696,0.03409881889820099,1.0,0.8487358093261719,0.22166244685649872,0.13126491010189056,0.8669701814651489,0.9747474789619446
kenn_bottom_up_adapter_bert_ms,0,gzqs855i,0.033718857914209366,0.9898989796638488,0.8666137456893921,0.3439401388168335,0.8743938207626343,0.03375086933374405,0.40366971492767334,0.9008424878120422,0.8887467384338379,0.91459059715271,0.8823149800300598,0.9094440937042236,0.3277592062950134,0.9043551683425904,0.91459059715271,0.03409881889820099,0.9818181991577148,0.8887467384338379,0.9094440937042236,15,0.9797979593276978,0.8769716024398804,0.8823149800300598,0.9494949579238892,0.4408163428306579,0.545791745185852,0.02,0.977104425430298,0.6442952752113342,0.7003701329231262,0.4824120700359345,0.375,0.5106396079063416,0.9788686633110046,0.9696969985961914,0.8743938207626343,0.9494949579238892,1.0,0.9008424878120422,0.49246230721473694,0.033402927219867706,0.9848225712776184,0.9898989796638488,0.8769716024398804,0.9494949579238892,0.9882155656814576,0.03392395004630089,0.03404082730412483,0.9909090995788574,0.9043551683425904,0.5751633644104004,0.28421053290367126,0.8666137456893921,0.9696969985961914
box_adapter_bert_ms,2,sz97aata,0.0340062715113163,1.0,0.8234255909919739,0.40319159626960754,0.8466075658798218,0.03444676846265793,0.7857142686843872,0.8831281065940857,0.695592999458313,0.90659362077713,0.8711327314376831,0.6968650817871094,0.036437246948480606,0.5659418106079102,0.90659362077713,0.03444676846265793,1.0,0.695592999458313,0.6968650817871094,38,1.0,0.5737543702125549,0.8711327314376831,0.9494949579238892,0.04050074145197868,0.5885223150253296,0.99,0.9831650257110596,0.12811152637004852,0.7362972497940063,0.06856127828359604,0.25,0.5746778845787048,0.987212300300598,0.9747474789619446,0.8466075658798218,0.9591836929321288,1.0,0.8831281065940857,0.0703125,0.03357689827680588,1.0,1.0,0.5737543702125549,0.9543147087097168,1.0,0.03444676846265793,0.03444676846265793,1.0,0.5659418106079102,0.8799999952316284,0.02066892199218273,0.8234255909919739,0.9747474789619446
