name,instance,run_id,test_incremental/macro_types/recall,test_pretraining/macro_example/precision,test_incremental_only/macro_types/precision,test_incremental_government-political_party/macro_types/recall,test_incremental_government-political_party/macro_types/f1,test_incremental_government-government/macro_types/precision,test_pretraining/macro_example/f1,test_incremental_government-government/macro_types/f1,test_incremental_only/macro_types/f1,test_incremental_government/macro_types/precision,test_incremental_government-government/macro_types/recall,test_pretraining/micro/recall,test_incremental/macro_example/f1,test_incremental/macro_types/precision,test_incremental/macro_example_exclusive/recall,test_pretraining/micro/f1,test_incremental/micro/recall,test_pretraining/macro_example/recall,test_incremental_only/macro_example/f1,test_incremental/macro_example_exclusive/precision,threshold_incremental,test_incremental_government-political_party/macro_types/precision,test/macro_example/f1,test_incremental/micro/precision,test_pretraining/macro_types/recall,test_incremental/macro_example_exclusive/f1,test_incremental_government/macro_types/recall,test_incremental_only/macro_example_exclusive/f1,test_incremental/macro_example/recall,test_pretraining/macro_types/precision,test_incremental_only/macro_example_exclusive/recall,test_pretraining/micro/precision,test_incremental_only/micro/f1,test_incremental/macro_types/f1,test/macro_types/precision,threshold_pretraining,test_incremental_government/macro_types/f1,epoch,test/micro/precision,test_incremental_only/micro/recall,test_incremental_only/macro_example/precision,test/macro_types/recall,test_incremental/micro/f1,test_incremental_only/macro_example_exclusive/precision,test/micro/f1,test/macro_example/recall,test/macro_example/precision,test_incremental_only/micro/precision,test/micro/recall,test_incremental_only/macro_types/recall,test_pretraining/macro_types/f1,test_incremental/macro_example/precision,test_incremental_only/macro_example/recall,test/macro_types/f1
kenn_hybrid_adapter_bert_ms,2,2r77egh6,0.977104425430298,0.9180004596710204,0.5263698697090149,1.0,0.752136766910553,0.44999998807907104,0.9162778258323668,0.6171427965164185,0.6875264644622803,0.9494949579238892,0.9818181991577148,0.9008424878120422,0.03351850435137749,0.6674115657806396,0.9696969985961914,0.8989006280899048,0.9696969985961914,0.9145616292953492,0.03374728932976723,0.9764309525489808,0.03,0.6027397513389587,0.9162778258323668,0.6575342416763306,0.8666137456893921,0.9730523824691772,0.9494949579238892,0.97969388961792,0.033402927219867706,0.8894690871238708,0.9898989796638488,0.8969671130180359,0.6712328791618347,0.7930975556373596,0.8894690871238708,0.375,0.9494949579238892,24,0.8969671130180359,0.9898989796638488,0.03340292349457741,0.8666137456893921,0.7836735248565674,0.9696969985961914,0.8989006280899048,0.9145616292953492,0.9180004596710204,0.5077720284461975,0.9008424878120422,0.9909090995788574,0.8778927326202393,0.033634886145591736,0.03409881889820099,0.8778927326202393
kenn_top_down_adapter_bert_ms,2,1zw14tgm,0.9710437655448914,0.8970201015472412,0.2692762315273285,1.0,0.47567567229270935,0.22649572789669037,0.9056633114814758,0.366782009601593,0.4226384460926056,0.9494949579238892,0.9636363387107848,0.9006264805793762,0.03351639583706856,0.49601584672927856,0.9646465182304382,0.8813953399658203,0.9646464586257936,0.914474606513977,0.033663660287857056,0.9814814925193788,0.09,0.3120567500591278,0.9056633114814758,0.4029535949230194,0.8662571907043457,0.9729911684989928,0.9494949579238892,0.9772661924362184,0.03322894871234894,0.8793869614601135,0.9797979593276978,0.8629683256149292,0.4092826843261719,0.6566237807273865,0.8793869614601135,0.375,0.9494949579238892,25,0.8629683256149292,0.9797979593276978,0.03357689827680588,0.8662571907043457,0.5684523582458496,0.9747474789619446,0.8813953399658203,0.914474606513977,0.8970201015472412,0.25866666436195374,0.9006264805793762,0.9818181991577148,0.8727726936340332,0.033808864653110504,0.03375086933374405,0.8727726936340332
kenn_bottom_up_adapter_bert_ms,2,3f479x99,0.977104425430298,0.8953036069869995,0.26103588938713074,1.0,0.46560847759246826,0.21862348914146423,0.9048301577568054,0.3576158881187439,0.4132175743579865,0.9494949579238892,0.9818181991577148,0.9008424878120422,0.033460814505815506,0.49052226543426514,0.9696969985961914,0.8800252676010132,0.9696969985961914,0.9145616292953492,0.033658262342214584,0.9730639457702636,0.02,0.30344828963279724,0.9048301577568054,0.3910386860370636,0.8666137456893921,0.9713775515556335,0.9494949579238892,0.9771096110343932,0.033402927219867706,0.8790638446807861,0.9898989796638488,0.8601484894752502,0.3991853594779968,0.6531517505645752,0.8790638446807861,0.375,0.9494949579238892,23,0.8601484894752502,0.9898989796638488,0.03322894871234894,0.8666137456893921,0.5573294758796692,0.9646465182304382,0.8800252676010132,0.9145616292953492,0.8953036069869995,0.25,0.9008424878120422,0.9909090995788574,0.8727943897247314,0.03351890295743942,0.03409881889820099,0.8727943897247314
kenn_hybrid_adapter_bert_ms,1,2kt6wbhw,0.9286195039749146,0.9201867580413818,0.6166481971740723,1.0,0.8224299550056458,0.5348837375640869,0.9168488383293152,0.6524823307991028,0.7377952337265015,0.9494949579238892,0.8363636136054993,0.8991142511367798,0.03271997347474098,0.727597177028656,0.9292929172515868,0.9014511704444884,0.9292929172515868,0.9135351181030272,0.03122801147401333,0.9713804721832277,0.12,0.6984127163887024,0.9168488383293152,0.7419354915618896,0.8637616634368896,0.9498707056045532,0.9494949579238892,0.9065585732460022,0.032011136412620544,0.8930094242095947,0.9090908765792848,0.9038001894950868,0.725806474685669,0.8159088492393494,0.8930094242095947,0.375,0.9494949579238892,32,0.9038001894950868,0.9090909361839294,0.031141266226768497,0.8637616634368896,0.8251121044158936,0.9040403962135316,0.9014511704444884,0.9135351181030272,0.9201867580413818,0.6040268540382385,0.8991142511367798,0.9181817770004272,0.8781420588493347,0.033460915088653564,0.031315241008996964,0.8781420588493347
kenn_top_down_adapter_bert_ms,1,3t2vlfgn,0.9710437655448914,0.8045241832733154,0.0958583876490593,1.0,0.22335025668144223,0.0660024881362915,0.8559830784797668,0.12354312837123872,0.1746637523174286,0.9494949579238892,0.9636363387107848,0.9006264805793762,0.033286839723587036,0.38040390610694885,0.9646465182304382,0.8144168853759766,0.9646464586257936,0.914474606513977,0.033310260623693466,0.9680134654045104,0.04,0.1257142871618271,0.8559830784797668,0.152555912733078,0.8662571907043457,0.9663270711898804,0.9494949579238892,0.9670068621635436,0.03322894871234894,0.8725862503051758,0.9797979593276978,0.7432697415351868,0.1549520641565323,0.5466565489768982,0.8725862503051758,0.375,0.9494949579238892,33,0.7432697415351868,0.9797979593276978,0.0328810028731823,0.8662571907043457,0.2634482681751251,0.9545454978942872,0.8144168853759766,0.914474606513977,0.8045241832733154,0.08412835747003555,0.9006264805793762,0.9818181991577148,0.8694102168083191,0.03334493190050125,0.03375086933374405,0.8694102168083191
kenn_bottom_up_adapter_bert_ms,1,8glaaaf8,0.971043825149536,0.7587897777557373,0.07324772328138351,1.0,0.17995910346508026,0.0476190485060215,0.8293895125389099,0.09075342118740082,0.13632503151893616,0.9494949579238892,0.9636363387107848,0.9006264805793762,0.03311255946755409,0.36533015966415405,0.9646465182304382,0.7834257483482361,0.9646464586257936,0.914474606513977,0.033040326088666916,0.9579125046730042,0.01,0.09887640178203584,0.8293895125389099,0.11526855826377869,0.8662571907043457,0.9612677097320556,0.9494949579238892,0.9591706395149232,0.03322894871234894,0.8716995716094971,0.9797979593276978,0.6932158470153809,0.11707904934883118,0.5309166312217712,0.8716995716094971,0.375,0.9494949579238892,23,0.6932158470153809,0.9797979593276978,0.03235907852649689,0.8662571907043457,0.20592990517616272,0.939393937587738,0.7834257483482361,0.914474606513977,0.7587897777557373,0.06225930526852608,0.9006264805793762,0.9818181991577148,0.8689698576927185,0.03299698233604431,0.03375086933374405,0.8689698576927185
kenn_hybrid_adapter_bert_ms,0,3kp7s3p4,0.977104425430298,0.9023627042770386,0.31748253107070923,1.0,0.4705882668495178,0.3272727131843567,0.9084212183952332,0.49090906977653503,0.4808901846408844,0.9494949579238892,0.9818181991577148,0.9008424878120422,0.03369038552045822,0.5281533598899841,0.9696969985961914,0.8878952264785767,0.9696969985961914,0.9145616292953492,0.03374728932976723,0.9865320324897766,0.02,0.3076923191547394,0.9084212183952332,0.4717444777488709,0.8666137456893921,0.9780421257019044,0.9494949579238892,0.97969388961792,0.03340292349457741,0.8812774419784546,0.9898990392684937,0.8753148317337036,0.4815724492073059,0.6856778860092163,0.8812774419784546,0.375,0.9494949579238892,27,0.8753148317337036,0.9898989796638488,0.03340292349457741,0.8666137456893921,0.6347107291221619,0.9696969985961914,0.8878952264785767,0.9145616292953492,0.9023627042770386,0.3181818127632141,0.9008424878120422,0.9909090995788574,0.8738840818405151,0.033982835710048676,0.03409881889820099,0.8738840818405151
kenn_top_down_adapter_bert_ms,0,2k68i8gx,0.9468013644218444,0.921729326248169,0.6254586577415466,1.0,0.8543689250946045,0.5051546096801758,0.917868435382843,0.6447368264198303,0.7528649568557739,0.9494949579238892,0.8909090757369995,0.8997623920440674,0.033214375376701355,0.7334707975387573,0.9444444179534912,0.90141761302948,0.9444444179534912,0.914039671421051,0.032359082251787186,0.9848484992980956,0.09,0.7457627058029175,0.917868435382843,0.7333333492279053,0.8648312091827393,0.9642233848571776,0.9494949579238892,0.939393937587738,0.032533057034015656,0.8933548927307129,0.939393937587738,0.9030789136886596,0.729411780834198,0.8265936970710754,0.8933548927307129,0.375,0.9494949579238892,48,0.9030789136886596,0.939393937587738,0.032359082251787186,0.8648312091827393,0.8256070613861084,0.939393937587738,0.90141761302948,0.914039671421051,0.921729326248169,0.5961538553237915,0.8997623920440674,0.9454545378684998,0.878861665725708,0.03392484411597252,0.032359082251787186,0.878861665725708
kenn_bottom_up_adapter_bert_ms,0,2rq02t6q,0.9831650257110596,0.814149022102356,0.09132038056850432,1.0,0.16117218136787417,0.09499136358499528,0.8614904880523682,0.17350158095359802,0.16735759377479553,0.9494949579238892,1.0,0.901058554649353,0.03372124955058098,0.37737858295440674,0.9747475385665894,0.820578396320343,0.9747474789619446,0.914677619934082,0.0340062715113163,0.9831649661064148,0.01,0.087649405002594,0.8614904880523682,0.16355931758880615,0.8669701814651489,0.9789381623268129,0.9494949579238892,0.987212300300598,0.03357689827680588,0.8724083304405212,1.0,0.7532960176467896,0.16779661178588867,0.5454075932502747,0.8724083304405212,0.375,0.9494949579238892,25,0.7532960176467896,1.0,0.03357689827680588,0.8669701814651489,0.28011608123779297,0.9747475385665894,0.820578396320343,0.914677619934082,0.814149022102356,0.09158186614513396,0.901058554649353,1.0,0.8696807622909546,0.03386685252189636,0.03444676846265793,0.8696807622909546
box_adapter_bert_ms,2,28dubx1d,0.971043825149536,0.5657968521118164,0.03938472643494606,1.0,0.09503240138292313,0.028882833197712895,0.69671231508255,0.05608465149998665,0.0757315531373024,0.9591836929321288,0.9636363387107848,0.8826960325241089,0.033658262342214584,0.3459843695163727,0.9646464586257936,0.6952526569366455,0.9646464586257936,0.9064486026763916,0.03375086933374405,0.9898989796638488,0.99,0.04988662153482437,0.69671231508255,0.06785079836845398,0.8227125406265259,0.9771095514297484,0.9494949579238892,0.9797979593276978,0.03322894871234894,0.8568657636642456,0.9797979593276978,0.5734736919403076,0.06889204680919647,0.5101879835128784,0.8568657636642456,0.25,0.9543147087097168,41,0.5734736919403076,0.9797979593276978,0.03375086933374405,0.8227125406265259,0.12678393721580505,0.9797979593276978,0.6952526569366455,0.9064486026763916,0.5657968521118164,0.03570114076137543,0.8826960325241089,0.9818181991577148,0.8394418954849243,0.03409881889820099,0.03375086933374405,0.8394418954849243
