name,instance,run_id,test_pretraining/macro_types/f1,test_incremental/macro_example/recall,test/macro_example/recall,test_incremental_only/micro/f1,test_pretraining/macro_types/recall,test_incremental/micro/f1,test_incremental_SUBSTANCE-DRUG/macro_types/f1,test_incremental_SUBSTANCE-CHEMICAL/macro_types/f1,test_incremental_SUBSTANCE-FOOD/macro_types/precision,test_incremental_only/macro_example_exclusive/recall,test_incremental/macro_types/f1,test_incremental/macro_types/precision,test_incremental_SUBSTANCE-FOOD/macro_types/f1,test_incremental_only/macro_example_exclusive/f1,test_incremental_SUBSTANCE-CHEMICAL/macro_types/precision,test_incremental/macro_types/recall,test_incremental_only/macro_example/precision,test_incremental_SUBSTANCE-DRUG/macro_types/recall,threshold_pretraining,test_pretraining/micro/f1,test/macro_example/precision,test_incremental_SUBSTANCE/macro_types/precision,test/micro/recall,test/macro_types/recall,test_incremental/macro_example/f1,test_incremental_only/macro_types/f1,test_incremental_only/macro_types/precision,test_pretraining/micro/precision,test_pretraining/macro_example/f1,test_pretraining/macro_types/precision,test_incremental/macro_example_exclusive/precision,test/macro_types/precision,test_pretraining/macro_example/recall,test_incremental_SUBSTANCE/macro_types/f1,test_incremental/macro_example_exclusive/f1,test_incremental/macro_example_exclusive/recall,threshold_incremental,test_incremental/micro/precision,test_incremental_only/micro/recall,test_incremental_only/micro/precision,test/micro/precision,test/macro_example/f1,test_incremental_only/macro_example/f1,test_incremental_SUBSTANCE-CHEMICAL/macro_types/recall,test/micro/f1,test_incremental/micro/recall,test_incremental/macro_example/precision,test_incremental_SUBSTANCE/macro_types/recall,test_pretraining/macro_example/precision,epoch,test_incremental_SUBSTANCE-FOOD/macro_types/recall,test_pretraining/micro/recall,test_incremental_only/macro_types/recall,test/macro_types/f1,test_incremental_SUBSTANCE-DRUG/macro_types/precision,test_incremental_only/macro_example_exclusive/precision,test_incremental_only/macro_example/recall
no_init_box_kenn_horizontal_adapter_bert_ms,2,e6u5el68,0.7962417006492615,0.043041154742240906,0.8254005312919617,0.1621621549129486,0.749620795249939,0.5870968103408813,0.1666666716337204,0.1860465109348297,1.0,0.0882352963089943,0.44117650389671326,0.8880733847618103,0.125,0.09625668078660964,0.800000011920929,0.2934875190258026,0.008482563309371471,0.09090909361839294,0.175,0.8031442761421204,0.8272070288658142,0.752293586730957,0.8070054650306702,0.749620795249939,0.05529046803712845,0.16018883883953094,0.9333333969116212,0.7993197441101074,0.8263027667999268,0.8490461111068726,0.9111111760139464,0.8490461111068726,0.8254005312919617,0.8241206407546997,0.651813268661499,0.5074074268341064,0.03,0.7647058963775635,0.0891089141368866,0.8999999761581421,0.7993197441101074,0.8263027667999268,0.007711421698331833,0.10526315867900848,0.8031442761421204,0.47643980383872986,0.07728558033704758,0.9111111164093018,0.8272070288658142,54,0.06666667014360428,0.8070054650306702,0.08761297166347504,0.7962417006492615,1.0,0.10588235408067705,0.007068803068250418
no_init_box_kenn_horizontal_adapter_bert_ms,1,3zyon8zb,0.809118926525116,0.04979579150676727,0.8313697576522827,0.37795278429985046,0.7738716006278992,0.650306761264801,0.41860467195510864,0.30434781312942505,1.0,0.25294119119644165,0.5585152506828308,0.8818234205245972,0.4210526645183563,0.26683905720710754,0.875,0.4086788892745972,0.022620169445872307,0.27272728085517883,0.175,0.808973491191864,0.8273640871047974,0.752293586730957,0.817307710647583,0.7738716006278992,0.06056744232773781,0.3826292157173157,0.9250000715255736,0.800807535648346,0.8293620944023132,0.8477303385734558,0.9111111760139464,0.8477303385734558,0.8313697576522827,0.8241206407546997,0.7140228748321533,0.5870370864868164,0.01,0.7851851582527161,0.23762376606464383,0.9230769276618958,0.800807535648346,0.8293620944023132,0.021377302706241608,0.18421052396297455,0.808973491191864,0.554973840713501,0.07728558033704758,0.9111111164093018,0.8273640871047974,46,0.2666666805744171,0.817307710647583,0.2412015050649643,0.809118926525116,0.8999999761581421,0.2823529541492462,0.020263902842998505
no_init_box_kenn_horizontal_adapter_bert_ms,0,ndans04j,0.7491685152053833,0.042098648846149445,0.8247722387313843,0.11214953660964966,0.7440973520278931,0.5751633644104004,0.0,0.27272725105285645,0.0,0.07058823853731155,0.33197683095932007,0.43807339668273926,0.0,0.07058823853731155,1.0,0.26725146174430847,0.005655042361468077,0.0,0.175,0.8021903038024902,0.8273640871047974,0.752293586730957,0.8049450516700745,0.7440973520278931,0.05450667068362236,0.09090908616781236,0.3333333432674408,0.7994542717933655,0.8260661363601685,0.7543092966079712,0.9111111760139464,0.7543092966079712,0.8247722387313843,0.8241206407546997,0.6425731182098389,0.4962963163852692,0.01,0.7652173638343811,0.059405941516160965,1.0,0.7994542717933655,0.8260661363601685,0.005655042361468077,0.15789473056793213,0.8021903038024902,0.4607329964637756,0.07728558033704758,0.9111111164093018,0.8273640871047974,34,0.0,0.8049450516700745,0.05263157933950424,0.7491685152053833,0.0,0.07058823853731155,0.005655042361468077
no_init_box_kenn_hybrid_adapter_bert_ms,2,69o7aahd,0.7892602682113647,0.08184103667736053,0.8600376844406128,0.0615103542804718,0.8936818838119507,0.10508183389902116,0.06032906472682953,0.06915377825498581,0.02827521227300167,1.0,0.34827643632888794,0.2118716984987259,0.05499541386961937,0.5674157738685608,0.035815268754959106,0.9777777791023254,0.031731072813272476,1.0,0.175,0.4154779613018036,0.2686167359352112,0.752293586730957,0.870192289352417,0.8936818838119507,0.057349950075149536,0.0615103542804718,0.031731072813272476,0.27288392186164856,0.40937331318855286,0.706687867641449,0.520370364189148,0.706687867641449,0.8600376844406128,0.8241206407546997,0.6760921478271484,0.9648149013519288,0.0,0.055589307099580765,1.0,0.031731072813272476,0.27288392186164856,0.40937331318855286,0.04545743763446808,1.0,0.4154779613018036,0.9581151604652404,0.04414074495434761,0.9111111164093018,0.2686167359352112,34,1.0,0.870192289352417,1.0,0.7892602682113647,0.031102733686566353,0.3960784673690796,0.08011309802532196
no_init_box_kenn_top_down_adapter_bert_ms,2,qmbnlv0p,0.7934275269508362,0.04476908594369888,0.8264216184616089,0.20512820780277252,0.7548335790634155,0.594936728477478,0.05882353335618973,0.21276597678661344,1.0,0.1352941244840622,0.45961737632751465,0.8269622921943665,0.3333333134651184,0.1381727159023285,0.5555555820465088,0.31824827194213867,0.01131008379161358,0.03030303120613098,0.175,0.8035470247268677,0.8273640871047974,0.752293586730957,0.8090659379959106,0.7548335790634155,0.05694764852523804,0.21132919192314148,0.8518518805503845,0.7981029748916626,0.826892614364624,0.8361806869506836,0.9222222566604614,0.8361806869506836,0.8264216184616089,0.8241206407546997,0.6713495254516602,0.5277777910232544,0.01,0.7519999742507935,0.11881188303232192,0.75,0.7981029748916626,0.826892614364624,0.011069444008171558,0.1315789520740509,0.8035470247268677,0.4921466112136841,0.07822808623313904,0.9111111164093018,0.8273640871047974,34,0.20000000298023224,0.8090659379959106,0.12062733620405196,0.7934275269508362,1.0,0.1411764770746231,0.010838830843567848
no_init_box_kenn_bottom_up_adapter_bert_ms,2,7n37sf26,0.7892602682113647,0.08184103667736053,0.8600376844406128,0.0615103542804718,0.8936818838119507,0.10508183389902116,0.06032906472682953,0.06915377825498581,0.02827521227300167,1.0,0.34827643632888794,0.2118716984987259,0.05499541386961937,0.5674157738685608,0.035815268754959106,0.9777777791023254,0.031731072813272476,1.0,0.175,0.4154779613018036,0.2686167359352112,0.752293586730957,0.870192289352417,0.8936818838119507,0.057349950075149536,0.0615103542804718,0.031731072813272476,0.27288392186164856,0.40937331318855286,0.706687867641449,0.520370364189148,0.706687867641449,0.8600376844406128,0.8241206407546997,0.6760921478271484,0.9648149013519288,0.0,0.055589307099580765,1.0,0.031731072813272476,0.27288392186164856,0.40937331318855286,0.04545743763446808,1.0,0.4154779613018036,0.9581151604652404,0.04414074495434761,0.9111111164093018,0.2686167359352112,34,1.0,0.870192289352417,1.0,0.7892602682113647,0.031102733686566353,0.3960784673690796,0.08011309802532196
no_init_box_kenn_hybrid_adapter_bert_ms,1,g1kdiup3,0.7456422448158264,0.03974238038063049,0.8224159479141235,0.019607841968536377,0.7371721863746643,0.5514950156211853,0.0,0.05128205195069313,0.0,0.0117647061124444,0.3053564727306366,0.43807339668273926,0.0,0.0117647061124444,1.0,0.23435673117637632,0.0009425070602446796,0.0,0.175,0.8001371026039124,0.8273640871047974,0.752293586730957,0.8015109896659851,0.7371721863746643,0.05249195173382759,0.017094016075134277,0.3333333432674408,0.7987679839134216,0.8248826265335083,0.7543092966079712,0.9111111760139464,0.7543092966079712,0.8224159479141235,0.8241206407546997,0.6188217997550964,0.4685185551643371,0.15000000000000002,0.7545454502105713,0.009900989942252636,1.0,0.7987679839134216,0.8248826265335083,0.0009425070602446796,0.02631578966975212,0.8001371026039124,0.43455496430397034,0.07728558033704758,0.9111111164093018,0.8273640871047974,35,0.0,0.8015109896659851,0.008771929889917374,0.7456422448158264,0.0,0.0117647061124444,0.0009425070602446796
no_init_box_kenn_top_down_adapter_bert_ms,1,6irnlh43,0.7888622283935547,0.04775369167327881,0.8290920257568359,0.27906978130340576,0.7637230157852173,0.6097561120986938,0.111111119389534,0.3214285969734192,1.0,0.2117647230625153,0.48256927728652954,0.7297400832176208,0.3783783614635467,0.21176473796367645,0.5,0.3604731559753418,0.016965126618742943,0.06060606241226196,0.175,0.804347813129425,0.826264500617981,0.752293586730957,0.8131868243217468,0.7637230157852173,0.05903220176696777,0.28422582149505615,0.7222222089767456,0.7956989407539368,0.8276758193969727,0.8157128095626831,0.9111111760139464,0.8157128095626831,0.8290920257568359,0.8241206407546997,0.6959240436553955,0.5629629492759705,0.01,0.7299270033836365,0.1782178282737732,0.6428571343421936,0.7956989407539368,0.8276758193969727,0.016965126618742943,0.2368421107530594,0.804347813129425,0.5235602259635925,0.07728558033704758,0.9111111164093018,0.826264500617981,35,0.23333333432674408,0.8131868243217468,0.17692717909812927,0.7888622283935547,0.6666666865348816,0.2117647230625153,0.016965126618742943
no_init_box_kenn_bottom_up_adapter_bert_ms,1,qnnq97zw,0.7456422448158264,0.03974238038063049,0.8224159479141235,0.019607841968536377,0.7371721863746643,0.5514950156211853,0.0,0.05128205195069313,0.0,0.0117647061124444,0.3053564727306366,0.43807339668273926,0.0,0.0117647061124444,1.0,0.23435673117637632,0.0009425070602446796,0.0,0.175,0.8001371026039124,0.8273640871047974,0.752293586730957,0.8015109896659851,0.7371721863746643,0.05249195173382759,0.017094016075134277,0.3333333432674408,0.7987679839134216,0.8248826265335083,0.7543092966079712,0.9111111760139464,0.7543092966079712,0.8224159479141235,0.8241206407546997,0.6188217997550964,0.4685185551643371,0.060000000000000005,0.7545454502105713,0.009900989942252636,1.0,0.7987679839134216,0.8248826265335083,0.0009425070602446796,0.02631578966975212,0.8001371026039124,0.43455496430397034,0.07728558033704758,0.9111111164093018,0.8273640871047974,35,0.0,0.8015109896659851,0.008771929889917374,0.7456422448158264,0.0,0.0117647061124444,0.0009425070602446796
no_init_box_kenn_hybrid_adapter_bert_ms,0,xd9l7q07,0.8158251047134399,0.05199497193098068,0.8325479030609131,0.43076926469802856,0.7802595496177673,0.6686930060386658,0.307692289352417,0.4081632792949677,1.0,0.3117647171020508,0.5934235453605652,0.9153461456298828,0.5714285969734192,0.320345401763916,0.9090909361839294,0.4390218257904053,0.02639019675552845,0.1818181872367859,0.175,0.8108658790588379,0.8272070288658142,0.752293586730957,0.8200549483299255,0.7802595496177673,0.06216653063893318,0.4365243315696716,0.9696969985961914,0.8018804788589478,0.8298688530921936,0.8547877669334412,0.9111111760139464,0.8547877669334412,0.8325479030609131,0.8241206407546997,0.73287433385849,0.6129629611968994,0.01,0.7971014380455017,0.2772277295589447,0.9655172228813172,0.8018804788589478,0.8298688530921936,0.025663860142230988,0.2631579041481018,0.8108658790588379,0.5759162306785583,0.07728558033704758,0.9111111164093018,0.8272070288658142,43,0.4000000059604645,0.8200549483299255,0.28165870904922485,0.8158251047134399,1.0,0.3294117748737335,0.02497643604874611
