name,instance,run_id,test_incremental_SUBSTANCE/macro_types/precision,test_incremental_only/macro_example_exclusive/recall,test/macro_example/recall,test/macro_example/precision,test_pretraining/macro_types/recall,test_pretraining/macro_example/f1,test_incremental_SUBSTANCE-FOOD/macro_types/f1,test/micro/f1,test_pretraining/macro_types/f1,test_incremental_only/micro/precision,test_incremental_only/macro_types/precision,test_incremental_only/macro_types/f1,test_incremental/macro_example/precision,test_incremental_SUBSTANCE/macro_types/f1,test/micro/precision,test_incremental/macro_example_exclusive/recall,test_incremental_only/macro_example/recall,test/macro_types/recall,test_pretraining/micro/recall,test_incremental_SUBSTANCE/macro_types/recall,test_incremental/macro_example_exclusive/precision,test_incremental_SUBSTANCE-CHEMICAL/macro_types/f1,test_incremental_SUBSTANCE-FOOD/macro_types/recall,test/macro_types/f1,test/macro_types/precision,test_pretraining/macro_example/recall,epoch,test/micro/recall,test_incremental_only/macro_example_exclusive/f1,test_incremental_SUBSTANCE-DRUG/macro_types/recall,test_incremental_SUBSTANCE-FOOD/macro_types/precision,test_incremental/micro/f1,test_pretraining/micro/f1,test_pretraining/micro/precision,test_incremental/macro_example_exclusive/f1,test_incremental_SUBSTANCE-CHEMICAL/macro_types/precision,test_incremental_only/micro/f1,test/macro_example/f1,threshold_pretraining,test_incremental_SUBSTANCE-CHEMICAL/macro_types/recall,test_pretraining/macro_types/precision,test_incremental_only/macro_example_exclusive/precision,test_incremental/micro/precision,test_incremental/macro_types/recall,test_incremental_only/macro_example/f1,test_incremental_SUBSTANCE-DRUG/macro_types/f1,test_incremental/micro/recall,test_incremental_only/micro/recall,test_incremental/macro_example/recall,test_pretraining/macro_example/precision,test_incremental_SUBSTANCE-DRUG/macro_types/precision,test_incremental/macro_example/f1,test_incremental/macro_types/f1,threshold_incremental,test_incremental_only/macro_example/precision,test_incremental/macro_types/precision,test_incremental_only/macro_types/recall
no_init_box_kenn_bottom_up_adapter_bert_ms,0,as3v91bc,0.752293586730957,0.5235294699668884,0.8402450680732727,0.8264216184616089,0.81159508228302,0.8332759737968445,0.7755101919174194,0.8175083994865417,0.8273577690124512,0.8888888955116272,0.8997584581375122,0.6261280179023743,0.07681432366371155,0.8241206407546997,0.8018494248390198,0.7166666984558105,0.0419415645301342,0.81159508228302,0.833791196346283,0.9111111164093018,0.9055556058883668,0.5901639461517334,0.6333333253860474,0.8273577690124512,0.8437448740005493,0.8402450680732727,36,0.833791196346283,0.5433386564254761,0.3333333432674408,1.0,0.7344632744789124,0.8175083994865417,0.8018494248390198,0.8001142144203186,0.782608687877655,0.6193548440933228,0.8332759737968445,0.175,0.4736842215061188,0.8437448740005493,0.5647059082984924,0.7975460290908813,0.5878654718399048,0.043528541922569275,0.4888889193534851,0.6806282997131348,0.4752475321292877,0.060791708528995514,0.8264216184616089,0.9166666865348816,0.06787019968032837,0.6993098258972168,0.02,0.045240338891744614,0.8628922700881958,0.4801169633865357
no_init_kenn_hybrid_adapter_bert_ms,2,h4lt3s0k,0.792792797088623,0.8647059202194214,0.8552466630935669,0.7965598702430725,0.8735402822494507,0.824860692024231,0.5833333730697632,0.8117154836654663,0.8188177943229675,0.5286624431610107,0.5458259582519531,0.6575537323951721,0.07587181776762009,0.8756219148635864,0.7637795209884644,0.9092592597007751,0.06927426904439926,0.8735402822494507,0.8660714030265808,0.9777777791023254,0.894444465637207,0.6741573214530945,0.9333333373069764,0.8188177943229675,0.7705472111701965,0.8552466630935669,14,0.8660714030265808,0.852778971195221,0.7575757503509521,0.42424243688583374,0.7450979948043823,0.8117154836654663,0.7637795209884644,0.901790976524353,0.5882353186607361,0.6434109210968018,0.824860692024231,0.25,0.7894737124443054,0.7705472111701965,0.8411765098571777,0.638059675693512,0.864540159702301,0.06831875443458557,0.6849315166473389,0.8952879309654236,0.8217821717262268,0.07712849974632263,0.7965598702430725,0.625,0.07649499177932739,0.7136251926422119,0.31,0.06738924980163574,0.6075676679611206,0.8267942667007446
no_init_kenn_top_down_adapter_bert_ms,2,ph492o40,0.792792797088623,0.8647059202194214,0.8554036617279053,0.7667137980461121,0.8749252557754517,0.8086341619491577,0.3589743673801422,0.7914706468582153,0.8066043257713318,0.3514644205570221,0.4041701555252075,0.5448108911514282,0.07492931187152863,0.8756219148635864,0.7282169461250305,0.9111111164093018,0.06927426904439926,0.8749252557754517,0.8667582273483276,0.9777777791023254,0.8833333849906921,0.6526315808296204,0.9333333373069764,0.8066043257713318,0.7481805086135864,0.8554036617279053,14,0.8667582273483276,0.852778971195221,0.7575757503509521,0.2222222238779068,0.635859489440918,0.7914706468582153,0.7282169461250305,0.8970072269439697,0.5438596606254578,0.4941176474094391,0.8086341619491577,0.25,0.8157894611358643,0.7481805086135864,0.8411765098571777,0.49142858386039734,0.8711190819740295,0.06831875443458557,0.5617977380752563,0.9005235433578491,0.8316831588745117,0.07728558033704758,0.7667137980461121,0.4464285671710968,0.07608921080827713,0.6364036798477173,0.32,0.06738924980163574,0.501325786113739,0.8355662822723389
no_init_kenn_bottom_up_adapter_bert_ms,2,q554r0hb,0.792792797088623,0.8352941274642944,0.8539899587631226,0.7938265800476074,0.8688058853149414,0.8228099346160889,0.5294117331504822,0.8092634081840515,0.815730631351471,0.5031446814537048,0.5345495343208313,0.6398488879203796,0.07587181031703949,0.8756219148635864,0.7610405087471008,0.894444465637207,0.06691800057888031,0.8688058853149414,0.8640109896659851,0.9777777791023254,0.894444465637207,0.6590908765792847,0.8999999761581421,0.815730631351471,0.7687667608261108,0.8539899587631226,14,0.8640109896659851,0.8293700814247131,0.7272727489471436,0.375,0.7288503646850586,0.8092634081840515,0.7610405087471008,0.894444465637207,0.5799999833106995,0.6153846383094788,0.8228099346160889,0.25,0.7631579041481018,0.7687667608261108,0.8235294818878174,0.6222222447395325,0.8420521020889282,0.06644339859485626,0.6857143044471741,0.8795811533927917,0.7920792102813721,0.07587182521820068,0.7938265800476074,0.6486486196517944,0.07587181776762009,0.7001044750213623,0.27,0.06597549468278885,0.5991103649139404,0.7968102693557739
no_init_kenn_hybrid_adapter_bert_ms,1,rbvk3t29,0.792792797088623,0.8235294818878174,0.8532044887542725,0.8073986768722534,0.8636350631713867,0.8296698331832886,0.8358209133148193,0.8180038928985596,0.824627697467804,0.6551724076271057,0.6626418828964233,0.7097469568252563,0.07681432366371155,0.8756219148635864,0.7788819670677185,0.8833333253860474,0.06597549468278885,0.8636350631713867,0.8612637519836426,0.9777777791023254,0.9055556058883668,0.5853658318519592,0.9333333373069764,0.824627697467804,0.7889918684959412,0.8532044887542725,19,0.8612637519836426,0.8351284861564636,0.7272727489471436,0.7567567825317383,0.7846890091896057,0.8180038928985596,0.7788819670677185,0.8943064212799072,0.5454545617103577,0.7004608511924744,0.8296698331832886,0.25,0.6315789222717285,0.7889918684959412,0.847058892250061,0.7224669456481934,0.8174906969070435,0.06690473109483719,0.7058824300765991,0.8586387634277344,0.7524752616882324,0.07492931187152863,0.8073986768722534,0.6857143044471741,0.07586010545492172,0.751390278339386,0.28,0.06786050647497177,0.6951795816421509,0.764061689376831
no_init_kenn_top_down_adapter_bert_ms,1,atc7nqpq,0.792792797088623,0.8352941870689392,0.8538328409194946,0.7804586887359619,0.8666150569915771,0.8154985904693604,0.5384615063667297,0.7989821434020996,0.8032069802284241,0.4020618498325348,0.40584641695022583,0.5345832109451294,0.07618598639965057,0.8756219148635864,0.7440758347511292,0.8907407522201538,0.06691800057888031,0.8666150569915771,0.8626373410224915,0.9777777791023254,0.8981481790542603,0.5376343727111816,0.9333333373069764,0.8032069802284241,0.7484452128410339,0.8538328409194946,20,0.8626373410224915,0.8411354422569275,0.7575757503509521,0.37837839126586914,0.6693547964096069,0.7989821434020996,0.7440758347511292,0.8944291472434998,0.4545454680919647,0.5288135409355164,0.8154985904693604,0.25,0.6578947305679321,0.7484452128410339,0.847058892250061,0.5442622900009155,0.8316454291343689,0.0673859566450119,0.5102040767669678,0.8691099286079407,0.7722772359848022,0.0755576491355896,0.7804586887359619,0.3846153914928436,0.07587051391601562,0.6265356540679932,0.23,0.06786050647497177,0.5025830268859863,0.7829346060752869
no_init_kenn_bottom_up_adapter_bert_ms,1,tzz6ypjy,0.792792797088623,0.8411765098571777,0.8541470170021057,0.7966541051864624,0.8680000305175781,0.8243994116783142,0.6829268932342529,0.8104448318481445,0.8141078948974609,0.5197368264198303,0.5202991962432861,0.6279307007789612,0.07477222383022308,0.8756219148635864,0.763669490814209,0.894444465637207,0.06738924980163574,0.8680000305175781,0.8633241653442383,0.9777777791023254,0.8814815282821655,0.604651153087616,0.9333333373069764,0.8141078948974609,0.7665166854858398,0.8541470170021057,19,0.8633241653442383,0.8282353281974792,0.7575757503509521,0.5384615659713745,0.7356827855110168,0.8104448318481445,0.763669490814209,0.8879157304763794,0.5416666865348816,0.6245059370994568,0.8243994116783142,0.25,0.6842105388641357,0.7665166854858398,0.8156863451004028,0.6349809765815735,0.8382243514060974,0.0663524940609932,0.5882353186607361,0.8743455410003662,0.7821782231330872,0.07587181776762009,0.7966541051864624,0.48076921701431274,0.07531800866127014,0.6914536356925964,0.1,0.06534715741872787,0.5884225368499756,0.7917066216468811
no_init_kenn_hybrid_adapter_bert_ms,0,jos1hnq7,0.792792797088623,0.8823529481887817,0.8560320138931274,0.7988375425338745,0.8763606548309326,0.8264464139938354,0.701298713684082,0.8111752867698669,0.8178839683532715,0.5182926654815674,0.5216063261032104,0.6449393033981323,0.07320138067007065,0.8756219148635864,0.7617611289024353,0.9185185432434082,0.07068803161382675,0.8763606548309326,0.8674450516700745,0.9777777791023254,0.8629629611968994,0.6326530575752258,0.8999999761581421,0.8178839683532715,0.766723096370697,0.8560320138931274,12,0.8674450516700745,0.8550636768341064,0.8181818127632141,0.5744680762290955,0.742489218711853,0.8111752867698669,0.7617611289024353,0.8898745179176331,0.5166666507720947,0.6415093541145325,0.8264464139938354,0.25,0.8157894611358643,0.766723096370697,0.8294118046760559,0.6290909051895142,0.8779372572898865,0.0685018002986908,0.5999999642372131,0.9057591557502748,0.8415841460227966,0.07791391015052795,0.7988375425338745,0.4736842215061188,0.07548416405916214,0.7053017020225525,0.15000000000000002,0.06644674390554428,0.5894029140472412,0.8446570634841919
no_init_kenn_top_down_adapter_bert_ms,0,mgbl5quf,0.792792797088623,0.958823561668396,0.8596450090408325,0.6586127281188965,0.8921586275100708,0.7458195090293884,0.2054794430732727,0.6760488152503967,0.7862318158149719,0.11642156541347504,0.11669071763753892,0.20772340893745425,0.07320138812065125,0.8756219148635864,0.5510822534561157,0.9611111879348756,0.07681432366371155,0.8921586275100708,0.8743131756782532,0.9777777791023254,0.8629630208015442,0.2244224399328232,1.0,0.7862318158149719,0.7027890682220459,0.8596450090408325,19,0.8743131756782532,0.9027884602546692,0.939393937587738,0.11450381577014924,0.327370285987854,0.6760488152503967,0.5510822534561157,0.9093965291976928,0.12830188870429993,0.2071973830461502,0.7458195090293884,0.25,0.8947368264198303,0.7027890682220459,0.8529412150382996,0.1974110007286072,0.9529771208763124,0.07232517749071121,0.1925465762615204,0.9581151604652404,0.9405940771102904,0.08152686059474945,0.6586127281188965,0.10726643353700638,0.07714013755321503,0.43962618708610535,0.06999999999999999,0.0683317631483078,0.2857162356376648,0.9447102546691896
no_init_kenn_bottom_up_adapter_bert_ms,0,wjq00k2l,0.792792797088623,0.9294118285179138,0.8580741286277771,0.7714420557022095,0.8843939304351807,0.8124552369117737,0.46875,0.7944862842559814,0.808740496635437,0.3719008266925812,0.3840920925140381,0.5376063585281372,0.07225887477397919,0.8756219148635864,0.7304147481918335,0.9425926208496094,0.0744580551981926,0.8843939304351807,0.8708791136741638,0.9777777791023254,0.8518518805503845,0.6346153616905212,1.0,0.808740496635437,0.7450103163719177,0.8580741286277771,18,0.8708791136741638,0.8830955624580383,0.8181818127632141,0.30612245202064514,0.6544117331504822,0.7944862842559814,0.7304147481918335,0.894927978515625,0.5,0.524781346321106,0.8124552369117737,0.25,0.8684210777282715,0.7450103163719177,0.8411765098571777,0.5042492747306824,0.9160951375961304,0.07074751704931259,0.48648643493652344,0.9319371581077576,0.8910890817642212,0.07995600998401642,0.7714420557022095,0.3461538553237915,0.07591283321380615,0.6353095173835754,0.060000000000000005,0.06738924980163574,0.4862672686576843,0.8955342769622803
