metric,projector,instance,family,subset,precision,recall,f1
test_incremental/macro_example_exclusive,kenn_horizontal_adapter_bert_ms,0,LOCATION,40,0.8961039781570435,0.8311688899993896,0.8624158501625061
test_incremental_LOCATION-CONTINENT/macro_types,kenn_horizontal_adapter_bert_ms,0,LOCATION,40,0.625,0.8333333134651184,0.7142857313156128
test_incremental_only/macro_example,kenn_horizontal_adapter_bert_ms,0,LOCATION,40,0.06503298878669739,0.05655042082071304,0.06049580127000809
test_incremental_LOCATION/macro_types,kenn_horizontal_adapter_bert_ms,0,LOCATION,40,0.8789808750152588,0.8961039185523987,0.8874598741531372
test/macro_types,kenn_horizontal_adapter_bert_ms,0,LOCATION,40,0.7624170780181885,0.8502306938171387,0.8039329648017883
test/micro,kenn_horizontal_adapter_bert_ms,0,LOCATION,40,0.7422618865966797,0.8523581624031067,0.7935093641281128
test_pretraining/macro_example,kenn_horizontal_adapter_bert_ms,0,LOCATION,40,0.7987747192382812,0.8507697582244873,0.8239527344703674
test_pretraining/micro,kenn_horizontal_adapter_bert_ms,0,LOCATION,40,0.7422618865966797,0.8523581624031067,0.7935093641281128
test_incremental/micro,kenn_horizontal_adapter_bert_ms,0,LOCATION,40,0.6034985184669495,0.7900763154029846,0.684297502040863
test_incremental_LOCATION-REGION/macro_types,kenn_horizontal_adapter_bert_ms,0,LOCATION,40,0.65625,0.4375,0.5249999761581421
test/macro_example,kenn_horizontal_adapter_bert_ms,0,LOCATION,40,0.7987747192382812,0.8507697582244873,0.8239527344703674
test_incremental_only/micro,kenn_horizontal_adapter_bert_ms,0,LOCATION,40,0.3709677457809448,0.6388888955116272,0.4693877398967743
test_incremental/macro_example,kenn_horizontal_adapter_bert_ms,0,LOCATION,40,0.13006597757339478,0.12064090371131896,0.12517628073692322
test_pretraining/macro_types,kenn_horizontal_adapter_bert_ms,0,LOCATION,40,0.7624170780181885,0.8502306938171387,0.8039329648017883
test_incremental_LOCATION-RIVER/macro_types,kenn_horizontal_adapter_bert_ms,0,LOCATION,40,0.2017543911933899,0.7666666507720947,0.3194444477558136
test_incremental/macro_types,kenn_horizontal_adapter_bert_ms,0,LOCATION,40,0.590496301651001,0.7334009408950806,0.6542358994483948
test_incremental_only/macro_types,kenn_hybrid_adapter_bert_ms,2,LOCATION,40,0.6162749528884888,0.7958333492279053,0.694638192653656
test_incremental_only/macro_example_exclusive,kenn_hybrid_adapter_bert_ms,2,LOCATION,40,0.902298867702484,0.8045977354049683,0.8506521582603455
test_incremental/macro_example_exclusive,kenn_hybrid_adapter_bert_ms,2,LOCATION,40,0.8430736064910889,0.8658008575439453,0.8542861342430115
test_incremental_LOCATION-CONTINENT/macro_types,kenn_hybrid_adapter_bert_ms,2,LOCATION,40,0.8055555820465088,0.9666666388511658,0.8787878155708313
test_incremental_only/macro_example,kenn_hybrid_adapter_bert_ms,2,LOCATION,40,0.07398679852485657,0.06597549468278885,0.06975187361240387
test_incremental_LOCATION/macro_types,kenn_hybrid_adapter_bert_ms,2,LOCATION,40,0.8789808750152588,0.8961039185523987,0.8874598741531372
test/macro_types,kenn_hybrid_adapter_bert_ms,2,LOCATION,40,0.7816707491874695,0.8686516284942627,0.8228689432144165
