name,instance,run_id,test_incremental_education-department/macro_types/f1,test_incremental_only/macro_example_exclusive/precision,test_incremental/macro_example_exclusive/recall,test_pretraining/micro/f1,test/macro_example/precision,test_incremental_education-educational_degree/macro_types/precision,test/macro_example/f1,test_incremental_education-educational_degree/macro_types/recall,test/micro/f1,test_pretraining/macro_types/precision,test_incremental_education-educational_degree/macro_types/f1,test_pretraining/macro_example/f1,test_incremental_only/macro_types/f1,test_incremental/macro_types/precision,test_incremental_only/macro_example_exclusive/f1,test_incremental_education-department/macro_types/precision,test_incremental/macro_types/recall,test_pretraining/macro_types/f1,test_incremental_only/macro_example/recall,test_incremental_education/macro_types/precision,test/macro_types/recall,test_incremental/micro/precision,epoch,threshold_incremental,test_pretraining/macro_example/precision,test_incremental_only/macro_example_exclusive/recall,test_incremental_only/macro_types/precision,test_incremental_only/micro/precision,test_incremental/micro/f1,test_incremental/micro/recall,test_incremental_education-department/macro_types/recall,test_incremental/macro_example_exclusive/f1,test_incremental_education/macro_types/recall,threshold_pretraining,test/macro_example/recall,test_incremental/macro_example/precision,test_pretraining/micro/precision,test/micro/recall,test/macro_types/precision,test_incremental_only/micro/recall,test_incremental_only/macro_types/recall,test_incremental/macro_example/f1,test_incremental/macro_example/recall,test/macro_types/f1,test_pretraining/micro/recall,test_incremental/macro_types/f1,test_pretraining/macro_example/recall,test_incremental_education/macro_types/f1,test_incremental/macro_example_exclusive/precision,test_incremental_only/macro_example/f1,test_incremental_only/macro_example/precision,test_incremental_only/micro/f1,test/micro/precision,test_pretraining/macro_types/recall
kenn_horizontal_adapter_bert_ms,2,15qkq6kl,0.3931623995304108,0.9333333373069764,0.7694445252418518,0.8989228010177612,0.9201983213424684,0.7346938848495483,0.9176512956619264,0.9230769276618958,0.8989228010177612,0.888416588306427,0.8181818127632141,0.9176512956619264,0.6278469562530518,0.6663539409637451,0.9076452851295472,0.26436781883239746,0.7854701280593872,0.8744350075721741,0.01844119653105736,1,0.8608867526054382,0.5625,27,0.19,0.9201983213424684,0.8833333849906921,0.4995308518409729,0.43382352590560913,0.6491802930831909,0.7674418687820435,0.7666666507720947,0.8435019850730896,0.6666666865348816,0.375,0.9151183366775512,0.01948503777384758,0.8996080160140991,0.8982387185096741,0.888416588306427,0.8550724387168884,0.8448717594146729,0.017609640955924988,0.01606355793774128,0.8744350075721741,0.8982387185096741,0.7210255861282349,0.9151183366775512,0.800000011920929,0.9333333373069764,0.0189487524330616,0.01948503777384758,0.5756097435951233,0.8996080160140991,0.8608867526054382
kenn_horizontal_adapter_bert_ms,1,gtd0o5rn,0.5,0.9083333611488342,0.7444444894790649,0.8997166156768799,0.9217931032180786,0.7297297120094299,0.9182391166687012,0.692307710647583,0.8997166156768799,0.8898308873176575,0.7105263471603394,0.9182391166687012,0.6457110643386841,0.6903977394104004,0.8737302422523499,0.3414634168148041,0.764102578163147,0.8744696974754333,0.017571330070495605,1,0.8596298694610596,0.597484290599823,43,0.13,0.9217931032180786,0.8416666984558105,0.5355965495109558,0.462184876203537,0.6597222685813904,0.7364341020584106,0.9333333373069764,0.8326023817062378,0.6666666865348816,0.375,0.914712369441986,0.019717004150152206,0.9020764827728271,0.8973689675331116,0.8898308873176575,0.7971014380455017,0.812820553779602,0.017382094636559486,0.015541638247668743,0.8744696974754333,0.8973689675331116,0.7253826856613159,0.914712369441986,0.800000011920929,0.944444477558136,0.018240712583065033,0.018963119015097615,0.585106372833252,0.9020764827728271,0.8596298694610596
kenn_horizontal_adapter_bert_ms,0,397hn8yw,0.5045045018196106,0.9333333373069764,0.7972222566604614,0.8982517123222351,0.9173336029052734,0.4931506812572479,0.916558802127838,0.9230769276618958,0.8982517123222351,0.8852747678756714,0.6428571343421936,0.916558802127838,0.5777637958526611,0.6129432916641235,0.9291479587554932,0.34567901492118835,0.841025710105896,0.8745872378349304,0.01931106485426426,1,0.8641546964645386,0.5360824465751648,30,0.05,0.9173336029052734,0.925000011920929,0.41941484808921814,0.4155844151973725,0.6439628601074219,0.8062015771865845,0.9333333373069764,0.8599251508712769,0.6666666865348816,0.375,0.9157851934432985,0.01948503777384758,0.8971800208091736,0.899325966835022,0.8852747678756714,0.9275362491607666,0.928205132484436,0.017952509224414825,0.016643472015857697,0.8745872378349304,0.899325966835022,0.7090950012207031,0.9157851934432985,0.800000011920929,0.9333333373069764,0.019397659227252007,0.01948503777384758,0.5739910006523132,0.8971800208091736,0.8641546964645386
kenn_hybrid_adapter_bert_ms,2,35dhrk7f,0.4319999814033508,0.949999988079071,0.8000000715255737,0.8995215892791748,0.9208015203475952,0.804347813129425,0.9182718992233276,0.9487179517745972,0.8995215892791748,0.8901714086532593,0.8705881834030151,0.9182718992233276,0.6851372122764587,0.6961861252784729,0.9415929317474364,0.28421053290367126,0.8384616374969482,0.8768925070762634,0.01948503777384758,1,0.8640038967132568,0.5745856165885925,30,0.13,0.9208015203475952,0.9333333373069764,0.544279158115387,0.45390069484710693,0.6709677577018738,0.8062015771865845,0.8999999761581421,0.8685714602470398,0.6666666865348816,0.375,0.9157562255859376,0.01983298547565937,0.8997172117233276,0.899325966835022,0.8901714086532593,0.9275362491607666,0.9243589639663696,0.018133016303181648,0.016701461747288704,0.8768925070762634,0.899325966835022,0.7607287764549255,0.9157562255859376,0.800000011920929,0.949999988079071,0.019657472148537636,0.01983298547565937,0.6095238327980042,0.8997172117233276,0.8640038967132568
kenn_top_down_adapter_bert_ms,2,2vqd2hat,0.368794322013855,0.949999988079071,0.7944445013999939,0.8949248194694519,0.9153850674629213,0.4933333396911621,0.9155125617980956,0.9487179517745972,0.8949248194694519,0.8830931186676025,0.6491228342056274,0.9155125617980956,0.5194022059440613,0.5758558511734009,0.937333345413208,0.23423422873020172,0.8273504972457886,0.8731101155281067,0.01931106485426426,1,0.8633502721786499,0.4557522237300873,39,0.15000000000000002,0.9153850674629213,0.925000011920929,0.3637837767601013,0.33870968222618103,0.5802817344665527,0.7984496355056763,0.8666666746139526,0.865286648273468,0.6666666865348816,0.375,0.9156402349472046,0.01983298547565937,0.8907798528671265,0.8991085290908813,0.8830931186676025,0.91304349899292,0.9076923131942748,0.018064439296722412,0.01658547855913639,0.8731101155281067,0.8991085290908813,0.6790656447410583,0.9156402349472046,0.800000011920929,0.949999988079071,0.01956854574382305,0.01983298547565937,0.4941176474094391,0.8907798528671265,0.8633502721786499
kenn_bottom_up_adapter_bert_ms,2,3buk5f5i,0.40909090638160706,0.9333333373069764,0.7916666865348816,0.8984248042106628,0.920227348804474,0.75,0.917898952960968,0.9230769276618958,0.8984248042106628,0.8887233138084412,0.8275862336158752,0.917898952960968,0.6518775224685669,0.6715686917304993,0.9249249696731568,0.2647058963775635,0.8299145698547363,0.8759307265281677,0.01913709193468094,1,0.8635011315345764,0.5421052575111389,22,0.28,0.920227348804474,0.9166666865348816,0.5073529481887817,0.41999998688697815,0.6457679867744446,0.7984496355056763,0.8999999761581421,0.8566827774047852,0.6666666865348816,0.375,0.915582239627838,0.01948503777384758,0.8977420926094055,0.8991085290908813,0.8887233138084412,0.91304349899292,0.9115384817123412,0.017884818837046623,0.016527488827705383,0.8759307265281677,0.8991085290908813,0.7423920631408691,0.915582239627838,0.800000011920929,0.9333333373069764,0.019309496507048607,0.01948503777384758,0.5753424763679504,0.8977420926094055,0.8635011315345764
kenn_hybrid_adapter_bert_ms,1,24n20tlr,0.3857142925262451,0.9166666865348816,0.7472223043441772,0.8921314477920532,0.913651168346405,0.3218390941619873,0.9141525626182556,0.7179487347602844,0.8921314477920532,0.8799505233764648,0.4444445073604584,0.9141525626182556,0.42002299427986145,0.5224312543869019,0.8820754885673523,0.2454545497894287,0.7615385055541992,0.8695943355560303,0.017745304852724075,1,0.8594790101051331,0.40084388852119446,40,0.61,0.913651168346405,0.8500000238418579,0.283646821975708,0.2791878283023834,0.5191256999969482,0.7364341020584106,0.8999999761581421,0.823316752910614,0.6666666865348816,0.375,0.9146543741226196,0.01913709193468094,0.886954665184021,0.8973689675331116,0.8799505233764648,0.7971014380455017,0.8089743852615356,0.017188237980008125,0.015599628910422323,0.8695943355560303,0.8973689675331116,0.619720995426178,0.9146543741226196,0.800000011920929,0.9166666865348816,0.01841493882238865,0.01913709193468094,0.4135338366031647,0.886954665184021,0.8594790101051331
kenn_top_down_adapter_bert_ms,1,26mhsw7r,0.3783783614635467,0.9333333373069764,0.7555556297302246,0.892251193523407,0.913645327091217,0.3499999940395355,0.9142364859580994,0.7179487347602844,0.892251193523407,0.8803426027297974,0.4705882668495178,0.9142364859580994,0.4332132935523987,0.5290960669517517,0.898765504360199,0.23728813230991364,0.7726496458053589,0.8701202273368835,0.018093250691890717,1,0.8601325750350952,0.40336135029792786,40,0.5700000000000001,0.913645327091217,0.8666666746139526,0.2936440706253052,0.28282827138900757,0.5231607556343079,0.7441860437393188,0.9333333373069764,0.8350877165794373,0.6666666865348816,0.375,0.914828360080719,0.01948503777384758,0.8869789242744446,0.8975864052772522,0.8803426027297974,0.8115941882133484,0.8256410360336304,0.017433980479836464,0.015773601830005646,0.8701202273368835,0.8975864052772522,0.6280887126922607,0.914828360080719,0.800000011920929,0.9333333373069764,0.01876337081193924,0.01948503777384758,0.41947564482688904,0.8869789242744446,0.8601325750350952
kenn_bottom_up_adapter_bert_ms,1,56xtqzyp,0.47863245010375977,0.9333333373069764,0.7555556297302246,0.898367702960968,0.9206622838974,0.5833333134651184,0.917735993862152,0.7179487347602844,0.898367702960968,0.8865755796432495,0.6436781883239746,0.917735993862152,0.5846750140190125,0.6350574493408203,0.898765504360199,0.3218390941619873,0.7726496458053589,0.8731539249420166,0.018093250691890717,1,0.8601325750350952,0.5485714077949524,40,0.39,0.9206622838974,0.8666666746139526,0.45258620381355286,0.4148148000240326,0.6315789222717285,0.7441860437393188,0.9333333373069764,0.8350877165794373,0.6666666865348816,0.375,0.914828360080719,0.01948503777384758,0.8991504907608032,0.8975864052772522,0.8865755796432495,0.8115941882133484,0.8256410360336304,0.017433980479836464,0.015773601830005646,0.8731539249420166,0.8975864052772522,0.6971292495727539,0.914828360080719,0.800000011920929,0.9333333373069764,0.01876337081193924,0.01948503777384758,0.5490195751190186,0.8991504907608032,0.8601325750350952
kenn_hybrid_adapter_bert_ms,0,1rk7rpqf,0.4754098355770111,0.9333333373069764,0.8055555820465088,0.8977864384651184,0.9172755479812622,0.52173912525177,0.9165733456611632,0.9230769276618958,0.8977864384651184,0.8852380514144897,0.6666666269302368,0.9165733456611632,0.580053985118866,0.6123188734054565,0.9374815225601196,0.31521740555763245,0.8521367907524109,0.8749039173126221,0.01965901255607605,1,0.8648083209991455,0.5223880410194397,40,0.05,0.9172755479812622,0.9416666626930236,0.41847825050354,0.4037266969680786,0.6363635659217834,0.8139534592628479,0.9666666388511658,0.8671267032623291,0.6666666865348816,0.375,0.9158722162246704,0.019601020961999893,0.8960363864898682,0.8995434045791626,0.8852380514144897,0.9420289993286132,0.9448717832565308,0.018102852627635,0.016817444935441017,0.8749039173126221,0.8995434045791626,0.7125916481018066,0.9158722162246704,0.800000011920929,0.9388889074325562,0.019571639597415924,0.01948503777384758,0.5652173757553101,0.8960363864898682,0.8648083209991455
