name,test_incremental_education-department/macro_types/precision/mean,test_incremental/micro/recall/mean,test_pretraining/macro_types/recall/mean,test_incremental_only/macro_example_exclusive/f1/mean,test_incremental_only/micro/f1/mean,test_incremental_only/macro_example/f1/mean,test_pretraining/macro_example/precision/mean,test_pretraining/micro/f1/mean,test_incremental/macro_types/f1/mean,test_pretraining/macro_types/f1/mean,test_incremental/macro_example/recall/mean,test_incremental_only/macro_example/recall/mean,test_incremental_only/macro_example/precision/mean,test_incremental/micro/precision/mean,test_incremental_education/macro_types/f1/mean,test_pretraining/micro/precision/mean,test/micro/recall/mean,test/macro_types/precision/mean,test_incremental_only/macro_types/f1/mean,test_pretraining/macro_example/recall/mean,test_incremental_only/macro_types/recall/mean,test/macro_example/f1/mean,test/macro_types/recall/mean,test/macro_example/recall/mean,test_incremental_only/micro/precision/mean,test_incremental_education/macro_types/recall/mean,test_incremental_education-educational_degree/macro_types/recall/mean,test/micro/precision/mean,test/macro_example/precision/mean,test_pretraining/micro/recall/mean,test_incremental_education-educational_degree/macro_types/precision/mean,test_incremental/micro/f1/mean,threshold_pretraining/mean,test_pretraining/macro_types/precision/mean,test_incremental_only/macro_types/precision/mean,test_incremental_education-educational_degree/macro_types/f1/mean,threshold_incremental/mean,test_incremental_only/macro_example_exclusive/recall/mean,epoch/mean,test/micro/f1/mean,test_incremental/macro_types/recall/mean,test_incremental/macro_example/precision/mean,test_incremental/macro_example_exclusive/recall/mean,test_incremental/macro_example_exclusive/precision/mean,test_incremental/macro_example_exclusive/f1/mean,test_incremental/macro_example/f1/mean,test_incremental_education/macro_types/precision/mean,test_incremental_education-department/macro_types/f1/mean,test/macro_types/f1/mean,test_pretraining/macro_example/f1/mean,test_incremental_education-department/macro_types/recall/mean,test_incremental_only/micro/recall/mean,test_incremental/macro_types/precision/mean,test_incremental_only/macro_example_exclusive/precision/mean,test_incremental_education-department/macro_types/precision/std,test_incremental/micro/recall/std,test_pretraining/macro_types/recall/std,test_incremental_only/macro_example_exclusive/f1/std,test_incremental_only/micro/f1/std,test_incremental_only/macro_example/f1/std,test_pretraining/macro_example/precision/std,test_pretraining/micro/f1/std,test_incremental/macro_types/f1/std,test_pretraining/macro_types/f1/std,test_incremental/macro_example/recall/std,test_incremental_only/macro_example/recall/std,test_incremental_only/macro_example/precision/std,test_incremental/micro/precision/std,test_incremental_education/macro_types/f1/std,test_pretraining/micro/precision/std,test/micro/recall/std,test/macro_types/precision/std,test_incremental_only/macro_types/f1/std,test_pretraining/macro_example/recall/std,test_incremental_only/macro_types/recall/std,test/macro_example/f1/std,test/macro_types/recall/std,test/macro_example/recall/std,test_incremental_only/micro/precision/std,test_incremental_education/macro_types/recall/std,test_incremental_education-educational_degree/macro_types/recall/std,test/micro/precision/std,test/macro_example/precision/std,test_pretraining/micro/recall/std,test_incremental_education-educational_degree/macro_types/precision/std,test_incremental/micro/f1/std,threshold_pretraining/std,test_pretraining/macro_types/precision/std,test_incremental_only/macro_types/precision/std,test_incremental_education-educational_degree/macro_types/f1/std,threshold_incremental/std,test_incremental_only/macro_example_exclusive/recall/std,epoch/std,test/micro/f1/std,test_incremental/macro_types/recall/std,test_incremental/macro_example/precision/std,test_incremental/macro_example_exclusive/recall/std,test_incremental/macro_example_exclusive/precision/std,test_incremental/macro_example_exclusive/f1/std,test_incremental/macro_example/f1/std,test_incremental_education/macro_types/precision/std,test_incremental_education-department/macro_types/f1/std,test/macro_types/f1/std,test_pretraining/macro_example/f1/std,test_incremental_education-department/macro_types/recall/std,test_incremental_only/micro/recall/std,test_incremental/macro_types/precision/std,test_incremental_only/macro_example_exclusive/precision/std
no_init_box_adapter_bert_ms,0.24917835493882498,0.5891472895940145,0.8095995386441549,0.718934158484141,0.4607836703459422,0.015009063296020031,0.9169682264328003,0.8825811743736267,0.668974498907725,0.843118945757548,0.012564756907522678,0.014729761518537998,0.015309672802686691,0.5103236933549246,0.6956522464752197,0.8883579770723978,0.876929759979248,0.879542609055837,0.6286845604578654,0.9053719242413839,0.6474358836809794,0.911126971244812,0.8095995386441549,0.9053719242413839,0.38958320518334705,0.5333333611488342,0.5726495881875356,0.8883579770723978,0.9169682264328003,0.876929759979248,0.9861111044883728,0.5310060878594717,0.25,0.879542609055837,0.617644727230072,0.722193717956543,0.03333333333333333,0.7055555979410807,44.0,0.8825811743736267,0.6094017426172892,0.018209232638279598,0.6018519004185995,0.8722222844759623,0.7121083736419678,0.014866562249759832,1.0,0.34537532925605774,0.843118945757548,0.911126971244812,0.7222222288449606,0.6376811663309733,0.7450965046882629,0.7333333889643351,0.14174099478651733,0.027949990152214527,0.0025983924000197996,0.048914806196101265,0.11978673626690525,0.001021186469536855,0.005506916534472851,0.0051314119208820275,0.02006764340914049,0.0010346273431911539,0.00048634228125938277,0.0008927634353045294,0.0012545414719454914,0.1980538596938107,0.0,0.011081838945780626,0.0007839829357202431,0.0023354333812932496,0.024915601381860525,0.00036831974572770087,0.06625861696071339,0.002540724625228529,0.0025983924000197996,0.00036831974572770087,0.1905494738510648,0.0,0.07833463885359475,0.011081838945780626,0.005506916534472851,0.0007839829357202431,0.024056272687153643,0.09451336549766165,0.0,0.0023354333812932496,0.05955370888429952,0.0634150698283442,0.03214550253664318,0.0427633045464199,9.0,0.0051314119208820275,0.04417239054770131,0.00020088662390627156,0.023295823547601895,0.009622495309758367,0.018391551005124702,0.00038395690720113834,0.0,0.1292213233768419,0.0010346273431911539,0.002540724625228529,0.189541357701001,0.05225438691536955,0.039702472589533015,0.06009251354312019
no_init_box_kenn_bottom_up_adapter_bert_ms,0.2973684420188268,0.5839793086051941,0.8091637889544169,0.7107094327608744,0.5296499133110046,0.01483735783646504,0.919981857140859,0.8859694401423136,0.6707213918368021,0.8432227571805319,0.012487435402969519,0.01461377926170826,0.015077708599468073,0.5976636012395223,0.6956522464752197,0.8953532973925272,0.8767848014831543,0.8802757064501444,0.6360435684521993,0.9052945971488953,0.6363248030344645,0.9125785032908121,0.8091637889544169,0.9052945971488953,0.4633615215619405,0.5333333611488342,0.5726495881875356,0.8953532973925272,0.919981857140859,0.8767848014831543,0.9753086368242899,0.5885517597198486,0.25,0.8802757064501444,0.6363385319709778,0.7170198758443197,0.01,0.7000000476837158,43.333333333333336,0.8859694401423136,0.6019943555196127,0.01797726812462012,0.5981482068697611,0.8611111640930176,0.7058942914009094,0.01473683180908362,1.0,0.41067372759183246,0.8432227571805319,0.9125785032908121,0.699999988079071,0.6280193130175272,0.757559061050415,0.7222222685813904,0.06002488575779717,0.011841286511881684,0.0015620820517199935,0.012990770831580213,0.047271771269602324,0.0002712057626309033,0.0018651043930115162,0.0014949660771531009,0.019415759885442297,0.0010587315397959725,0.00012071808572670153,0.00030133074240877323,0.0005314979792722339,0.08140670511408091,0.0,0.003309455842677632,0.0003321416404882849,0.0006861974195937565,0.025866836671895536,5.799531936638569e-05,0.03983305906641933,0.000891428173259517,0.0015620820517199935,5.799531936638569e-05,0.0838731211491601,0.0,0.09707536760798725,0.003309455842677632,0.0018651043930115162,0.0003321416404882849,0.04276669552846497,0.033827025101457645,0.0,0.0006861974195937565,0.01749785754285314,0.07402563669099683,0.0,0.014433742964637562,9.712534856222309,0.0014949660771531009,0.026555394879240093,0.00020088769930494863,0.0057824254912491446,0.009622529722516081,0.0029636079589697743,6.187052119925375e-05,0.0,0.059848525615117054,0.0010587315397959725,0.000891428173259517,0.17638341022436824,0.02213807407441622,0.011665251577712673,0.025458762098508163
no_init_box_kenn_horizontal_adapter_bert_ms,0.5890652537345886,0.5271317958831787,0.8044713139533997,0.5883962909380595,0.6092242002487183,0.012283846735954285,0.9230689207712808,0.8888809482256571,0.6456998785336813,0.8430624604225159,0.011211629336078962,0.012062167127927145,0.0125260961552461,0.8395882050196329,0.6956522464752197,0.9030075271924337,0.875190258026123,0.8855456908543905,0.617569367090861,0.9043976863225301,0.5166666805744171,0.9136378367741903,0.8044713139533997,0.9043976863225301,0.738015870253245,0.5333333611488342,0.5555555721124014,0.9030075271924337,0.9230689207712808,0.875190258026123,0.9523809552192688,0.6468643546104431,0.25,0.8855456908543905,0.7707231044769287,0.696644127368927,0.01,0.5777778228123983,49.666666666666664,0.8888809482256571,0.5222222606341044,0.015657620504498482,0.5370370745658875,0.7500000397364298,0.6258350014686584,0.013065448651711145,1.0,0.5049879550933838,0.8430624604225159,0.9136378367741903,0.47777777910232544,0.52173912525177,0.8471487561861674,0.6000000437100729,0.17055456631345886,0.007751941680908203,0.0011197112178914842,0.010627391530986107,0.019651910861699158,0.00022186590205778932,0.0006359262019277452,0.0004697124293739843,0.01032946838170345,0.0005567824126292421,0.00013392477440373818,0.00043782409670862723,0.00034794677048963153,0.061312116304337104,0.0,0.001199789062578194,0.000217437744140625,0.001731593078071554,0.014100675019785788,7.567201882843934e-05,0.028552617321949355,0.0002779726071846704,0.0011197112178914842,7.567201882843934e-05,0.08770838938113436,0.0,0.08242437756266006,0.001199789062578194,0.0006359262019277452,0.000217437744140625,0.08247860496812401,0.01224213120845305,0.0,0.001731593078071554,0.0441555659067524,0.05777448941925328,0.0,0.020971801531177028,8.386497083606084,0.0004697124293739843,0.01903505858822855,0.00034794770181179047,0.006414968195943388,0.01666668057442601,0.007239114680473056,0.00015112984883044244,0.0,0.05152299458546329,0.0005567824126292421,0.0002779726071846704,0.13877772502594468,0.01449275016784668,0.029437027867863945,0.016666650772130268
no_init_box_kenn_hybrid_adapter_bert_ms,0.3078577568133672,0.5813953280448914,0.8089962005615234,0.7051538825035095,0.533720870812734,0.014721375579635302,0.9202331304550171,0.8860916495323181,0.6716773907343546,0.8433324098587036,0.012429444119334221,0.014497797004878521,0.014961726342638334,0.6079427798589071,0.6956522464752197,0.895680288473765,0.8767123222351074,0.8807141582171122,0.6390018463134766,0.9052366216977438,0.6320512890815735,0.9126724402109782,0.8089962005615234,0.9052366216977438,0.47486958901087445,0.5333333611488342,0.5641025801499685,0.895680288473765,0.9202331304550171,0.8767123222351074,0.9871794780095419,0.5912668903668722,0.25,0.8807141582171122,0.6475186149279276,0.7142484188079834,0.01,0.694444497426351,50.0,0.8860916495323181,0.5991453528404236,0.01797726812462012,0.5953704317410787,0.8611111640930176,0.7039815187454224,0.014696898870170116,1.0,0.41812143723169964,0.8433324098587036,0.9126724402109782,0.699999988079071,0.6231883962949117,0.7650124231974283,0.7166667183240255,0.07356564077567644,0.013426756848643893,0.001661408814180789,0.012730470371941374,0.061559552990223164,0.00026577190469554335,0.0021670075260094212,0.0018076825591042322,0.018455569772604753,0.0009956128118267685,8.858270863460851e-05,0.00010044358080388314,0.0006026620225161684,0.10184533664640365,0.0,0.003912354020412232,0.00037661322033472446,0.0010532666304382567,0.02421372072161661,0.00011596083768696083,0.0423658977058329,0.0010617732673353466,0.001661408814180789,0.00011596083768696083,0.10836747908920205,0.0,0.09245004372510769,0.003912354020412232,0.0021670075260094212,0.00037661322033472446,0.02220579546702756,0.04297375980426109,0.0,0.0010532666304382567,0.02685863312692629,0.07288302330048889,0.0,0.004811247654879195,8.717797887081348,0.0018076825591042322,0.028243949841073417,0.00020088769930494863,0.0042431497783322805,0.009622529722516081,0.00478127614059996,9.98186004219985e-05,0.0,0.06054627412708998,0.0009956128118267685,0.0010617732673353466,0.17638341022436824,0.025102214044870536,0.017905735248789217,0.028867520342032837
no_init_box_kenn_top_down_adapter_bert_ms,0.2982850521802902,0.5813953479131063,0.8089962005615234,0.7037566502888998,0.5091425478458405,0.014692205314834913,0.9192125002543131,0.8848713835080465,0.6698329051335653,0.8432353138923645,0.01241011389841636,0.014439805721243223,0.014961725721756617,0.5794575909773508,0.6956522464752197,0.893215278784434,0.8767123222351074,0.8805055022239685,0.6351183652877808,0.9052366018295288,0.6320512692133585,0.912167489528656,0.8089962005615234,0.9052366018295288,0.4516884684562683,0.5333333611488342,0.5641025801499685,0.893215278784434,0.9192125002543131,0.8767123222351074,0.9861111044883728,0.5705234805742899,0.25,0.8805055022239685,0.6421980857849121,0.7143292427062988,0.056666666666666664,0.6916667222976685,41.666666666666664,0.8848713835080465,0.5991453528404236,0.018093250691890717,0.5944444934527079,0.8666667143503824,0.70509934425354,0.014720236572126547,1.0,0.40226338307062787,0.8432353138923645,0.912167489528656,0.699999988079071,0.6231884161631266,0.7614653905232748,0.7166667183240255,0.13684174591929435,0.020509676072902945,0.0020185881049099887,0.0360654324045061,0.10636119167933317,0.0007529325151405976,0.004196545659468346,0.004161617068589039,0.02516042809610296,0.0014266443222501072,0.0003621544063103334,0.0006958944723012136,0.0009205820322299392,0.16738703083313536,0.0,0.008793814070860922,0.0005752861966349856,0.0023908381496678187,0.037941569841593074,0.00025279573631683416,0.05147399815976697,0.0019609359985530636,0.0020185881049099887,0.00025279573631683416,0.1635716470146011,0.0,0.09245004372510769,0.008793814070860922,0.004196545659468346,0.0005752861966349856,0.024056272687153643,0.08204199894777545,0.0,0.0023908381496678187,0.060966869259816855,0.07608076828734876,0.03214550253664318,0.03333330154418945,2.0816659994661335,0.004161617068589039,0.03431599778346981,0.0,0.017347209663036,3.4412757714036146e-08,0.012270975288533116,0.00025617943318043677,0.0,0.14589115690139076,0.0014266443222501072,0.0019609359985530636,0.17638341022436824,0.03834424655016968,0.04064457674608152,0.04409583565977113
no_init_kenn_bottom_up_adapter_bert_ms,0.20517972111701965,0.7906976739565531,0.8631994525591532,0.9286760687828064,0.4248758852481842,0.01938780831793944,0.8749086062113444,0.8653311332066854,0.6783589522043864,0.873789370059967,0.016488827764987946,0.019195082907875378,0.019601020341118176,0.41067902247111004,0.800000011920929,0.8387795885403951,0.8988910714785258,0.8847243189811707,0.4969630613923073,0.9154952565828959,0.9038461645444235,0.8934455116589864,0.8631994525591532,0.9154952565828959,0.3162211130062739,0.6666666865348816,0.8632478713989258,0.8387795885403951,0.8749086062113444,0.8988910714785258,0.6055773595968882,0.4871254215637843,0.375,0.8847243189811707,0.4053785353899002,0.6026957407593727,0.17333333333333334,0.9194444616635641,28.0,0.8653311332066854,0.824786384900411,0.019659011935194332,0.7898148695627848,0.9416667024294535,0.8589486479759216,0.017932121952374775,1.0,0.31729860852162045,0.873789370059967,0.8934455116589864,0.9444444378217062,0.8985507289568583,0.6035857001940409,0.9388888875643412,0.14608759845242855,0.043160957870427216,0.002927718477343499,0.031951683839574564,0.2848435996841704,0.0006670500509765242,0.0800045760298225,0.05888288943274845,0.13950627171867444,0.004698743647502947,0.0006967003811627046,0.0011319423605712653,0.00020088769930494936,0.28879834084954353,0.0,0.1065890156526026,0.0012106742389541253,0.012016556815984793,0.3449762457474305,0.0006279397314253673,0.07465678278722368,0.04277497539291319,0.002927718477343499,0.0006279397314253673,0.23080054207708217,0.0,0.12648416841778248,0.1065890156526026,0.0800045760298225,0.0012106742389541253,0.46929649652124483,0.2980249772861668,0.0,0.012016556815984793,0.3064221984067359,0.4222664325316233,0.1601041327803044,0.054220066993069756,2.0,0.05888288943274845,0.04977118647768473,0.00030133208665676295,0.0333718878433624,0.01443381179015291,0.025070779780534878,0.0005233986577243037,0.0,0.21114651868344753,0.004698743647502947,0.04277497539291319,0.050917517693612684,0.08069225001986723,0.2042814670145072,0.00962249530975831
no_init_kenn_horizontal_adapter_bert_ms,0.31717008352279663,0.7700258493423462,0.8615571061770121,0.9035078287124634,0.5791762471199036,0.01886237474779288,0.9197750091552734,0.8989963332811991,0.7194931705792745,0.8745457728703817,0.016082889400422573,0.018441197151939075,0.01931106485426426,0.5664270122845968,0.800000011920929,0.8996868133544922,0.8983112176259359,0.8879407842954,0.6191108028093973,0.9152052998542786,0.8619658152262369,0.9174830714861552,0.8615571061770121,0.9152052998542786,0.438268780708313,0.6666666865348816,0.8461538553237915,0.8996868133544922,0.9197750091552734,0.8983112176259359,0.6576267977555593,0.6516669789950053,0.375,0.8879407842954,0.4873984356721242,0.7269899050394694,0.12333333333333334,0.8833333651224772,33.333333333333336,0.8989963332811991,0.7968661387761434,0.019562359899282455,0.7703704237937927,0.9370370507240295,0.8453431725502014,0.0176480816056331,1.0,0.46588896711667377,0.8745457728703817,0.9174830714861552,0.8777777751286825,0.8599033753077189,0.6582656701405843,0.925000011920929,0.045776655449856415,0.034955441108532805,0.002335710873812226,0.0279395729174256,0.0055949985253141415,0.0005832899902777014,0.002259685966201514,0.0007327548934393951,0.009031508104862617,6.597230818310773e-05,0.0005511712005061728,0.0008698673918844931,0.00030132993585940806,0.030707125913229945,0.0,0.0024503312654684775,0.0009805119368541501,0.002375097322783288,0.0362947337668211,0.0005416731302435994,0.059561357512985386,0.0008526950035296442,0.002335710873812226,0.0005416731302435994,0.023324635271797955,0.0,0.13323466956389263,0.0024503312654684775,0.002259685966201514,0.0009805119368541501,0.14280061560644525,0.007885570968999013,0.0,0.002375097322783288,0.06056521827559565,0.09345852868061871,0.07023769168568492,0.04166665673256277,8.504900548115383,0.0007327548934393951,0.03970760446265562,0.00013392584980241812,0.026401063297901237,0.006415019815010656,0.013754123280162475,0.00028714362812368074,0.0,0.06302331202674277,6.597230818310773e-05,0.0008526950035296442,0.09622505633585697,0.06535146095480329,0.040376801032837605,0.014433742964637626
no_init_kenn_hybrid_adapter_bert_ms,0.2364522342880567,0.7881136933962504,0.8629815975824991,0.9231127301851908,0.4540295551220576,0.019271664321422577,0.877311110496521,0.8670422633488973,0.6890581250190735,0.8743734757105509,0.016430836791793507,0.0190791009614865,0.019485038394729298,0.44868076344331104,0.800000011920929,0.8419423898061117,0.8988185922304789,0.8861747781435648,0.5184993147850037,0.9154372612635294,0.8982906142870585,0.8947305679321289,0.8629815975824991,0.9154372612635294,0.3571489043533802,0.6666666865348816,0.8632478713989258,0.8419423898061117,0.877311110496521,0.8988185922304789,0.6482785940170288,0.5083197951316833,0.375,0.8861747781435648,0.44236541415254277,0.6202033683657646,0.24333333333333337,0.9138889114061991,33.0,0.8670422633488973,0.8210826714833578,0.019543029988805454,0.7870370944341024,0.9361111521720886,0.8550249934196472,0.01785020778576533,1.0,0.34787002205848694,0.8743734757105509,0.8947305679321289,0.9333333174387614,0.8937198122342428,0.628243625164032,0.9333333373069763,0.1853092001365465,0.047365120033932444,0.00327388476421374,0.04016179903621801,0.3109268659692853,0.0008384497938780655,0.07830804912797852,0.05804970995653618,0.14774989519181148,0.005142318399240841,0.0007873437775831814,0.0013057667779246525,0.00034794677048963094,0.3279521737857221,0.0,0.10562076658614093,0.0013285990790004802,0.013464723071624997,0.3618103395330751,0.0007214078627185717,0.08348440092377257,0.041689637819663436,0.00327388476421374,0.0007214078627185717,0.27490718443405443,0.0,0.12648416841778248,0.10562076658614093,0.07830804912797852,0.0013285990790004802,0.5072646022512758,0.3151196479781176,0.0,0.013464723071624997,0.34335000530676224,0.4302396135634713,0.2706165799305973,0.0625462790739717,8.888194417315589,0.05804970995653618,0.05565628538580967,0.00043782422006609725,0.037713716274452413,0.020971805478607785,0.03091270532656915,0.0006453607345595924,0.0,0.2468461792741828,0.005142318399240841,0.041689637819663436,0.057735040684065674,0.08855219874665544,0.22890001056576145,0.01666665077209474
no_init_kenn_top_down_adapter_bert_ms,0.20452803000807762,0.7855297128359476,0.8627637227376302,0.9258222977320353,0.4164816538492839,0.019328230991959572,0.8616683880488077,0.8551885286966959,0.6715492606163025,0.873460590839386,0.016411506260434788,0.019079099719723065,0.019601020341118176,0.40784330541888875,0.800000011920929,0.8230442007382711,0.898746112982432,0.8845166762669882,0.48401512453953427,0.9154179294904073,0.8927350441614786,0.8855159878730774,0.8627637227376302,0.9154179294904073,0.3154519895712535,0.6666666865348816,0.8632478713989258,0.8230442007382711,0.8616683880488077,0.898746112982432,0.5956391580402851,0.47592609624067944,0.375,0.8845166762669882,0.4000835766394933,0.5888904755314192,0.29,0.9138889114061991,32.333333333333336,0.8551885286966959,0.8173789580663046,0.019659011935194332,0.7861111760139465,0.9416667024294535,0.8567660848299662,0.017886556684970856,1.0,0.3108987646798293,0.873460590839386,0.8855159878730774,0.9222222169240316,0.8888888955116272,0.6000557641188303,0.9388888875643412,0.1624731358357042,0.04269433502283613,0.002957493083054747,0.032824631939411895,0.2988623264221826,0.0006852743747412927,0.10303496938252471,0.07634643679430388,0.1410780394522199,0.004607502835400848,0.0007031068707533307,0.001158372885267526,0.00020088769930494936,0.3066569163536913,0.0,0.1340323139456173,0.0011975825751416246,0.012402327114986064,0.3548501853225077,0.000626153580295781,0.07541614826018357,0.056454077379814845,0.002957493083054747,0.000626153580295781,0.24605634746163588,0.0,0.12648416841778248,0.1340323139456173,0.10303496938252471,0.0011975825751416246,0.47672779929113507,0.31639524663146257,0.0,0.012402327114986064,0.3162592158183575,0.43499855819556726,0.2233830790368868,0.05548607292566716,9.29157324317757,0.07634643679430388,0.05027743982922754,0.00030133208665676295,0.03367876553886032,0.01443381179015291,0.02564509624213814,0.0005353885252648511,0.0,0.22950597671500528,0.004607502835400848,0.056454077379814845,0.08388706007038478,0.07981987283310796,0.21083949988502002,0.00962249530975831
smart_init_box_adapter_bert_ms,0.40723103781541187,0.6976744333902994,0.816939910252889,0.7230777343114217,0.6244271198908488,0.015095568572481474,0.9182846347490946,0.8848229646682739,0.7120898365974426,0.8464208046595255,0.014265831870337328,0.017397355909148853,0.013627928992112478,0.6346118847529093,0.6956522464752197,0.8898887634277344,0.8799738883972168,0.8782020608584086,0.6404152512550354,0.90699569384257,0.8346153895060221,0.9125944375991821,0.816939910252889,0.90699569384257,0.5542223850886027,0.5333333611488342,0.8803418874740601,0.8898887634277344,0.9182846347490946,0.8799738883972168,0.7596899271011353,0.633442223072052,0.25,0.8782020608584086,0.5834604799747467,0.7586419582366943,0.3566666666666667,0.8333333929379781,43.666666666666664,0.8848229646682739,0.7341880997021993,0.01461377926170826,0.6833333770434061,0.7000000476837158,0.687367856502533,0.014350058821340403,1.0,0.49628541866938275,0.8464208046595255,0.9125944375991821,0.7888888915379842,0.8405797084172567,0.722307006518046,0.6527778307596842,0.2141755099249751,0.04101938593846153,0.003298013882133225,0.040505414963438124,0.2167955168834938,0.000845625538597094,0.007046299949206066,0.00916461092702418,0.08802092742994357,0.0037535726901429325,0.0009205811522128086,0.001841162304425616,0.0022970660467710774,0.2856347449566452,0.0,0.01958140920607286,0.0011505723932699712,0.011816477106997441,0.2219170203632267,0.0006869575394934627,0.08409904732601273,0.0031436418112575247,0.003298013882133225,0.0006869575394934627,0.2957523401572874,0.0,0.0533760480869018,0.01958140920607286,0.007046299949206066,0.0011505723932699712,0.41622925583141446,0.16157932222664098,0.0,0.011816477106997441,0.3013207696317629,0.28671558284679804,0.17925772879665,0.08819171637640423,22.678918257565403,0.00916461092702418,0.0560660397284849,0.001822805847051952,0.044095835659771106,0.0873124257446354,0.023701589510575313,0.0004948125595918665,0.0,0.1479710131113109,0.0037535726901429325,0.0031436418112575247,0.15030833155637985,0.07668845930768135,0.2008805319929312,0.11002947579366247
