name,instance,run_id,test_pretraining/macro_example/f1,test_incremental_only/macro_example/f1,test/macro_types/recall,test/macro_types/precision,test_pretraining/macro_types/recall,test/macro_example/recall,test_incremental_only/macro_types/precision,test_incremental_education-educational_degree/macro_types/precision,test_pretraining/micro/recall,test_incremental/macro_example/recall,test_incremental_only/macro_example/precision,test_incremental_only/micro/recall,test_incremental/macro_types/precision,test_pretraining/macro_example/precision,test_incremental/macro_example/f1,test_incremental/micro/f1,test_incremental_only/macro_example/recall,test_pretraining/macro_types/f1,test_incremental_only/micro/precision,test_incremental/macro_example_exclusive/f1,test_incremental_education/macro_types/recall,test_incremental_education/macro_types/precision,epoch,test_pretraining/micro/f1,test_incremental/macro_example_exclusive/precision,test_incremental_only/macro_example_exclusive/recall,test_incremental/macro_types/f1,test_pretraining/micro/precision,test_pretraining/macro_types/precision,test_incremental_only/macro_example_exclusive/precision,test_incremental_education-department/macro_types/recall,test_incremental_only/micro/f1,test_incremental/micro/precision,test/macro_example/f1,threshold_pretraining,test_incremental/micro/recall,test_incremental_only/macro_types/recall,test_incremental_education/macro_types/f1,test/micro/recall,test/micro/precision,test_incremental_education-department/macro_types/f1,test_incremental_education-educational_degree/macro_types/f1,test_incremental_education-educational_degree/macro_types/recall,test/macro_types/f1,test_incremental/macro_types/recall,test/macro_example/precision,threshold_incremental,test_incremental_only/macro_example_exclusive/f1,test_incremental_only/macro_types/f1,test_incremental/macro_example/precision,test_incremental/macro_example_exclusive/recall,test_pretraining/macro_example/recall,test_incremental_education-department/macro_types/precision,test/micro/f1
no_init_box_kenn_horizontal_adapter_bert_ms,2,dtq151fi,0.913138747215271,0.005293359514325857,0.7925558090209961,0.8945369720458984,0.7925558090209961,0.9020354747772216,1.0,1.0,0.8708415031433105,0.007712827529758215,0.005567153915762901,0.23188406229019165,1.0,0.9245187044143676,0.009337784722447395,0.5423728823661804,0.00504523329436779,0.8404641151428223,1.0,0.4472799599170685,0.5333333611488342,1,47,0.8877313137054443,0.5666667222976685,0.24166667461395264,0.48445600271224976,0.905289351940155,0.8945369720458984,0.2666667103767395,0.06666667014360428,0.3764706254005432,1.0,0.913138747215271,0.25,0.3720930218696594,0.21282051503658295,0.6956522464752197,0.8708415031433105,0.905289351940155,0.125,0.5283018946647644,0.3589743673801422,0.8404641151428223,0.31965816020965576,0.9245187044143676,0.02,0.2535519599914551,0.3509513735771179,0.011830201372504234,0.36944448947906494,0.9020354747772216,1.0,0.8877313137054443
no_init_box_kenn_horizontal_adapter_bert_ms,1,yva5mvqv,0.9126631021499634,0.003131524194031954,0.7887347936630249,0.8749290704727173,0.7887347936630249,0.901107668876648,0.5,1.0,0.8693194389343262,0.006668986286967993,0.003131524194031954,0.1304347813129425,0.6666666865348816,0.9245187044143676,0.008341663517057896,0.48235294222831726,0.003131524194031954,0.8295990824699402,1.0,0.399565726518631,0.5333333611488342,1,61,0.8868677616119385,0.533333420753479,0.15000000596046448,0.3685838282108307,0.9051392078399658,0.8749290704727173,0.15000000596046448,0.0,0.2307692319154739,1.0,0.9126631021499634,0.25,0.3178294599056244,0.11538461595773696,0.6956522464752197,0.8693194389343262,0.9051392078399658,0.0,0.375,0.2307692319154739,0.8295990824699402,0.2547008693218231,0.9245187044143676,0.13,0.15000000596046448,0.1875,0.011134307831525804,0.319444477558136,0.901107668876648,0.0,0.8868677616119385
no_init_box_kenn_horizontal_adapter_bert_ms,0,ic7fhzye,0.91293066740036,0.004523312672972679,0.7907458543777466,0.8749290704727173,0.7907458543777466,0.9016295671463012,0.5,1.0,0.8701891899108887,0.007364881224930286,0.004523312672972679,0.1884057968854904,0.6666666865348816,0.9245187044143676,0.008865563198924065,0.517241358757019,0.004523312672972679,0.8307101726531982,1.0,0.4246604442596435,0.5333333611488342,1,98,0.8873614072799683,0.533333420753479,0.21666669845581055,0.4031008183956146,0.9052250385284424,0.8749290704727173,0.21666669845581055,0.0,0.31707319617271423,1.0,0.91293066740036,0.25,0.3488371968269348,0.1666666716337204,0.6956522464752197,0.8701891899108887,0.9052250385284424,0.0,0.5,0.3333333432674408,0.8307101726531982,0.28888893127441406,0.9245187044143676,0.4,0.21666669845581055,0.25,0.011134307831525804,0.3527778089046478,0.9016295671463012,0.0,0.8873614072799683
no_init_box_kenn_hybrid_adapter_bert_ms,2,c2q8u0qv,0.913237988948822,0.0072188545018434525,0.7961254119873047,0.8909718990325928,0.7961254119873047,0.9023950695991516,0.9090908765792848,1.0,0.8719286918640137,0.008698677644133568,0.00730688963085413,0.30434781312942505,0.9393939971923828,0.9243447184562684,0.01080744806677103,0.5760869383811951,0.0071329157799482346,0.8408825993537903,0.91304349899292,0.5176767706871033,0.5333333611488342,1,40,0.8881505727767944,0.6833333969116211,0.34166669845581055,0.541458249092102,0.9049875736236572,0.8909718990325928,0.3500000238418579,0.30000001192092896,0.45652174949646,0.9636363387107848,0.913237988948822,0.25,0.4108527004718781,0.30384618043899536,0.6956522464752197,0.8719286918640137,0.9049875736236572,0.4390243887901306,0.4705882668495178,0.3076923191547394,0.8408825993537903,0.3803419470787048,0.9243447184562684,0.02,0.34578317403793335,0.4554626643657684,0.014265831559896467,0.4166666865348816,0.9023950695991516,0.8181818127632141,0.8881505727767944
no_init_box_kenn_top_down_adapter_bert_ms,2,vxiaymnn,0.913792371749878,0.01518242433667183,0.8094487190246582,0.8806480765342712,0.8094487190246582,0.905839741230011,0.6458333134651184,1.0,0.8773646354675293,0.012584086507558824,0.016005568206310272,0.6666666865348816,0.763888955116272,0.9218858480453492,0.014223296195268633,0.6473029255867004,0.01443980634212494,0.8435486555099487,0.574999988079071,0.6812959313392639,0.5333333611488342,1,41,0.8880818486213684,0.7833333611488342,0.6916667222976685,0.6763662099838257,0.8990641832351685,0.8806480765342712,0.7666667103767395,0.46666666865348816,0.6174496412277222,0.6964285969734192,0.913792371749878,0.25,0.604651153087616,0.6435897350311279,0.6956522464752197,0.8773646354675293,0.8990641832351685,0.3589743673801422,0.9014084935188292,0.8205128312110901,0.8435486555099487,0.6068376302719116,0.9218858480453492,0.01,0.727238118648529,0.644709587097168,0.016353514045476913,0.6027778387069702,0.905839741230011,0.2916666567325592,0.8880818486213684
no_init_box_kenn_bottom_up_adapter_bert_ms,2,y1mswh6c,0.9133736491203308,0.00826282799243927,0.797633707523346,0.8875341415405273,0.797633707523346,0.9028590321540833,0.8214285373687744,1.0,0.8725810050964355,0.009220599196851254,0.008350730873644352,0.3478260934352875,0.8809524178504944,0.92413592338562,0.011201320216059685,0.5894737243652344,0.008176757022738457,0.8401859998703003,0.8275862336158752,0.5365432500839233,0.5333333611488342,1,40,0.8882248401641846,0.6833333969116211,0.3916667103767395,0.5558192133903503,0.9044399261474608,0.8875341415405273,0.40000003576278687,0.30000001192092896,0.4897959232330322,0.9180327653884888,0.9133736491203308,0.25,0.43410852551460266,0.3423076868057251,0.6956522464752197,0.8725810050964355,0.9044399261474608,0.40909090638160706,0.555555522441864,0.3846153914928436,0.8401859998703003,0.40598297119140625,0.92413592338562,0.01,0.3957895040512085,0.48323890566825867,0.014265831559896467,0.44166672229766846,0.9028590321540833,0.6428571343421936,0.8882248401641846
no_init_box_kenn_hybrid_adapter_bert_ms,1,izlnagqi,0.913802444934845,0.01318536512553692,0.8064321279525757,0.8823482990264893,0.8064321279525757,0.9047147035598756,0.6891891956329346,1.0,0.8760600090026855,0.011598236858844755,0.013917884789407252,0.5797101259231567,0.792792797088623,0.9230747222900392,0.013450056314468384,0.6428571343421936,0.012526096776127815,0.8426838517189026,0.6349206566810608,0.6442577838897705,0.5333333611488342,1,54,0.8884233832359314,0.7666667103767395,0.6000000238418579,0.6533036828041077,0.9011406898498536,0.8823482990264893,0.6666667461395264,0.46666666865348816,0.6060606241226196,0.75789475440979,0.913802444934845,0.25,0.5581395626068115,0.5666666626930237,0.6956522464752197,0.8760600090026855,0.9011406898498536,0.41791045665740967,0.800000011920929,0.6666666865348816,0.8426838517189026,0.5555555820465088,0.9230747222900392,0.01,0.6315789818763733,0.6219512224197388,0.016005566343665123,0.5555555820465088,0.9047147035598756,0.37837839126586914,0.8884233832359314
no_init_box_kenn_top_down_adapter_bert_ms,1,l01iddp1,0.9125166535377502,0.014929358847439287,0.8093984127044678,0.8789941072463989,0.8093984127044678,0.905439555644989,0.6036585569381714,1.0,0.8771471977233887,0.01246810518205166,0.015657620504498482,0.6521739363670349,0.7357723712921143,0.9197053909301758,0.014403233304619787,0.5682656168937683,0.014265831559896467,0.8427618741989136,0.40909090638160706,0.6899149417877197,0.5333333611488342,1,54,0.8849402070045471,0.8166667222976685,0.6833333969116211,0.6646003127098083,0.8928729295730591,0.8789941072463989,0.7500000596046448,0.5666666626930237,0.5027933120727539,0.5422534942626953,0.9125166535377502,0.25,0.5968992114067078,0.642307698726654,0.6956522464752197,0.8771471977233887,0.8928729295730591,0.3035714328289032,0.8358209133148193,0.7179487347602844,0.8427618741989136,0.6059829592704773,0.9197053909301758,0.01,0.7151163816452026,0.622383713722229,0.017049409449100494,0.5972223281860352,0.905439555644989,0.2073170691728592,0.8849402070045471
no_init_box_kenn_bottom_up_adapter_bert_ms,1,r8qd0f3l,0.9137433171272278,0.012932424433529375,0.8059293627738953,0.8823482990264893,0.8059293627738953,0.9045987129211426,0.6891891956329346,1.0,0.8758425712585449,0.011482255533337591,0.013569938018918036,0.5652173757553101,0.792792797088623,0.9230747222900392,0.013371740467846394,0.6367713212966919,0.01235212292522192,0.8424093127250671,0.6290322542190552,0.640506386756897,0.5333333611488342,1,53,0.8883008360862732,0.7666667103767395,0.5916666984558105,0.647356390953064,0.9011185765266418,0.8823482990264893,0.6500000953674316,0.46666666865348816,0.5954198241233826,0.7553191781044006,0.9137433171272278,0.25,0.5503876209259033,0.5538461804389954,0.6956522464752197,0.8758425712585449,0.9011185765266418,0.41791045665740967,0.78125,0.6410256624221802,0.8424093127250671,0.5470086336135864,0.9230747222900392,0.01,0.6194631457328796,0.6141495704650879,0.016005566343665123,0.5500000715255737,0.9045987129211426,0.37837839126586914,0.8883008360862732
no_init_box_kenn_hybrid_adapter_bert_ms,0,ukodrsx4,0.913019835948944,0.004871259909123182,0.791248619556427,0.8749290704727173,0.791248619556427,0.9018035531044006,0.5,1.0,0.8704066276550293,0.007538854144513607,0.004871259909123182,0.2028985470533371,0.6666666865348816,0.9245187044143676,0.008990433998405933,0.5257142782211304,0.004871259909123182,0.8309875130653381,1.0,0.4306418597698212,0.5333333611488342,1,57,0.8874847888946533,0.533333420753479,0.23333334922790527,0.41134756803512573,0.9052464962005616,0.8749290704727173,0.23333334922790527,0.0,0.33734941482543945,1.0,0.913019835948944,0.25,0.356589138507843,0.1794871836900711,0.6956522464752197,0.8704066276550293,0.9052464962005616,0.0,0.5283018946647644,0.3589743673801422,0.8309875130653381,0.2974359393119812,0.9245187044143676,0.54,0.23333334922790527,0.2641509473323822,0.011134307831525804,0.3611111342906952,0.9018035531044006,0.0,0.8874847888946533
