name,instance,run_id,test/micro/precision,test_incremental_finance/macro_types/precision,test_incremental_finance-stock_exchange/macro_types/recall,test_incremental/macro_example_exclusive/recall,test_incremental/macro_example/recall,test_incremental_finance-currency/macro_types/precision,test_incremental/micro/f1,test_pretraining/macro_example/recall,test_incremental_only/macro_types/precision,test_pretraining/macro_example/f1,test_incremental_only/macro_example/precision,test_incremental_finance-currency/macro_types/f1,test_incremental_finance-stock_exchange/macro_types/precision,test/macro_example/precision,test_pretraining/macro_example/precision,test/micro/f1,test/micro/recall,test/macro_example/f1,test/macro_types/precision,test_pretraining/micro/recall,test_incremental/macro_types/f1,test_incremental_only/micro/recall,test_incremental/macro_types/recall,test_incremental/macro_example/precision,test_incremental_only/macro_example/recall,test_incremental_finance/macro_types/recall,test_incremental_only/macro_example_exclusive/recall,test_incremental/micro/recall,epoch,test_incremental/macro_types/precision,test_pretraining/micro/precision,test_pretraining/macro_types/precision,test_incremental/macro_example_exclusive/precision,test/macro_types/recall,test_incremental_only/macro_types/f1,test_incremental_only/micro/precision,test_incremental_only/macro_example/f1,test_incremental/macro_example_exclusive/f1,test/macro_example/recall,test_incremental/micro/precision,test_incremental/macro_example/f1,test_pretraining/macro_types/recall,test_incremental_finance/macro_types/f1,test_incremental_only/macro_example_exclusive/f1,test_incremental_finance-stock_exchange/macro_types/f1,threshold_incremental,threshold_pretraining,test_incremental_only/micro/f1,test_pretraining/macro_types/f1,test_incremental_only/macro_types/recall,test_incremental_finance-currency/macro_types/recall,test_incremental_only/macro_example_exclusive/precision,test/macro_types/f1,test_pretraining/micro/f1
kenn_horizontal_adapter_bert_ms,2,icqoygmo,0.7207679152488708,1,0.9666666388511658,0.8250000476837158,0.017223382368683815,0.04078762233257294,0.13797909021377563,0.9153560400009156,0.046148695051670074,0.836513102054596,0.02018093317747116,0.07827260345220566,0.05150976777076721,0.7701750993728638,0.7701750993728638,0.8003875613212585,0.899782121181488,0.836513102054596,0.8706368803977966,0.899782121181488,0.5137423872947693,0.9666666388511658,0.8722222447395325,0.02018093317747116,0.02018093317747116,0.6833333373069763,0.9666666984558104,0.824999988079071,69,0.3640991449356079,0.7207679152488708,0.8706368803977966,0.9666666984558104,0.8656630516052246,0.0880918800830841,0.04552590101957321,0.02018093317747116,0.8902326226234436,0.9153560400009156,0.0752851739525795,0.01858523301780224,0.8656630516052246,0.8118811845779419,0.9666666984558104,0.09780775010585784,0.99,0.375,0.08695652335882187,0.86814284324646,0.9666666388511658,0.9666666388511658,0.9666666984558104,0.86814284324646,0.8003875613212585
kenn_horizontal_adapter_bert_ms,1,1l7zcyui,0.7207679152488708,1,0.9666666388511658,0.8250000476837158,0.017223382368683815,0.04215116426348686,0.13797909021377563,0.9153560400009156,0.045819610357284546,0.836513102054596,0.02018093317747116,0.08077994734048843,0.04948805645108223,0.7701750993728638,0.7701750993728638,0.8003875613212585,0.899782121181488,0.836513102054596,0.8706239461898804,0.899782121181488,0.513524055480957,0.9666666388511658,0.8722222447395325,0.02018093317747116,0.02018093317747116,0.6833333373069763,0.9666666984558104,0.824999988079071,104,0.3638797700405121,0.7207679152488708,0.8706239461898804,0.9666666984558104,0.8656630516052246,0.08749213069677353,0.04552590101957321,0.02018093317747116,0.8902326226234436,0.9153560400009156,0.0752851739525795,0.01858523301780224,0.8656630516052246,0.8118811845779419,0.9666666984558104,0.09415585547685625,0.99,0.375,0.08695652335882187,0.8681364059448242,0.9666666388511658,0.9666666388511658,0.9666666984558104,0.8681364059448242,0.8003875613212585
kenn_horizontal_adapter_bert_ms,0,3d0bi1um,0.9146530628204346,1,0.9333333373069764,0.7916666865348816,0.016527488827705383,0.9629629850387572,0.8796296119689941,0.914718210697174,0.9814814925193788,0.9219785928726196,0.018789146095514297,0.9122806787490844,1.0,0.9293551445007324,0.9293551445007324,0.9067135453224182,0.8989107012748718,0.9219785928726196,0.9073165655136108,0.8989107012748718,0.9006762504577637,0.8999999761581421,0.8277777433395386,0.01948503777384758,0.018789146095514297,0.6833333373069763,0.9000000357627869,0.7916666865348816,114,0.9876543283462524,0.9146530628204346,0.9073165655136108,0.9333333969116212,0.8630486726760864,0.9389764070510864,0.9818181991577148,0.018789146095514297,0.8566827774047852,0.914718210697174,0.9895833134651184,0.017884818837046623,0.8630486726760864,0.8118811845779419,0.9000000357627869,0.9655172228813172,0.03,0.375,0.939130425453186,0.8846291303634644,0.8999999761581421,0.8666666746139526,0.9000000357627869,0.8846291303634644,0.9067135453224182
kenn_hybrid_adapter_bert_ms,2,2zzt4ywv,0.7207679152488708,1,0.9666666388511658,0.8250000476837158,0.017223382368683815,0.04107648879289627,0.13797909021377563,0.9153560400009156,0.04606641083955765,0.836513102054596,0.02018093317747116,0.07880434393882751,0.05105633661150932,0.7701750993728638,0.7701750993728638,0.8003875613212585,0.899782121181488,0.836513102054596,0.8706336617469788,0.899782121181488,0.5136878490447998,0.9666666388511658,0.8722222447395325,0.02018093317747116,0.02018093317747116,0.6833333373069763,0.9666666984558104,0.824999988079071,69,0.36404427886009216,0.7207679152488708,0.8706336617469788,0.9666666984558104,0.8656630516052246,0.08794195204973221,0.04552590101957321,0.02018093317747116,0.8902326226234436,0.9153560400009156,0.0752851739525795,0.01858523301780224,0.8656630516052246,0.8118811845779419,0.9666666984558104,0.0969899594783783,0.99,0.375,0.08695652335882187,0.8681412935256958,0.9666666388511658,0.9666666388511658,0.9666666984558104,0.8681412935256958,0.8003875613212585
kenn_top_down_adapter_bert_ms,2,290jc9ew,0.7207679152488708,1,0.9666666388511658,0.8250000476837158,0.017223382368683815,0.03967168182134628,0.13797909021377563,0.9153560400009156,0.046539340168237686,0.836513102054596,0.02018093317747116,0.07621550559997559,0.05340699851512909,0.7701750993728638,0.7701750993728638,0.8003875613212585,0.899782121181488,0.836513102054596,0.8706521987915039,0.899782121181488,0.5140016078948975,0.9666666388511658,0.8722222447395325,0.02018093317747116,0.02018093317747116,0.6833333373069763,0.9666666984558104,0.824999988079071,80,0.3643595576286316,0.7207679152488708,0.8706521987915039,0.9666666984558104,0.8656630516052246,0.08880332112312317,0.04552590101957321,0.02018093317747116,0.8902326226234436,0.9153560400009156,0.0752851739525795,0.01858523301780224,0.8656630516052246,0.8118811845779419,0.9666666984558104,0.10122164338827132,0.99,0.375,0.08695652335882187,0.8681504726409912,0.9666666388511658,0.9666666388511658,0.9666666984558104,0.8681504726409912,0.8003875613212585
kenn_bottom_up_adapter_bert_ms,2,3rrsdt6a,0.7207679152488708,1,0.9666666388511658,0.8250000476837158,0.017223382368683815,0.04107648879289627,0.13797909021377563,0.9153560400009156,0.04606641083955765,0.836513102054596,0.02018093317747116,0.07880434393882751,0.05105633661150932,0.7701750993728638,0.7701750993728638,0.8003875613212585,0.899782121181488,0.836513102054596,0.8706336617469788,0.899782121181488,0.5136878490447998,0.9666666388511658,0.8722222447395325,0.02018093317747116,0.02018093317747116,0.6833333373069763,0.9666666984558104,0.824999988079071,69,0.36404427886009216,0.7207679152488708,0.8706336617469788,0.9666666984558104,0.8656630516052246,0.08794195204973221,0.04552590101957321,0.02018093317747116,0.8902326226234436,0.9153560400009156,0.0752851739525795,0.01858523301780224,0.8656630516052246,0.8118811845779419,0.9666666984558104,0.0969899594783783,0.99,0.375,0.08695652335882187,0.8681412935256958,0.9666666388511658,0.9666666388511658,0.9666666984558104,0.8681412935256958,0.8003875613212585
kenn_hybrid_adapter_bert_ms,1,34y2ql93,0.7207679152488708,1,0.9666666388511658,0.8250000476837158,0.017223382368683815,0.04027777910232544,0.13797909021377563,0.9153560400009156,0.04631217569112778,0.836513102054596,0.02018093317747116,0.07733333110809326,0.052346568554639816,0.7701750993728638,0.7701750993728638,0.8003875613212585,0.899782121181488,0.836513102054596,0.8706432580947876,0.899782121181488,0.5138508677482605,0.9666666388511658,0.8722222447395325,0.02018093317747116,0.02018093317747116,0.6833333373069763,0.9666666984558104,0.824999988079071,104,0.3642081320285797,0.7207679152488708,0.8706432580947876,0.9666666984558104,0.8656630516052246,0.08838967978954315,0.04552590101957321,0.02018093317747116,0.8902326226234436,0.9153560400009156,0.0752851739525795,0.01858523301780224,0.8656630516052246,0.8118811845779419,0.9666666984558104,0.09931506216526031,0.99,0.375,0.08695652335882187,0.8681460022926331,0.9666666388511658,0.9666666388511658,0.9666666984558104,0.8681460022926331,0.8003875613212585
kenn_top_down_adapter_bert_ms,1,nthkutk4,0.7207679152488708,1,0.9666666388511658,0.8250000476837158,0.017223382368683815,0.03815789520740509,0.13797909021377563,0.9153560400009156,0.04728906601667404,0.836513102054596,0.02018093317747116,0.07341772317886353,0.056420233100652695,0.7701750993728638,0.7701750993728638,0.8003875613212585,0.899782121181488,0.836513102054596,0.8706815838813782,0.899782121181488,0.514498770236969,0.9666666388511658,0.8722222447395325,0.02018093317747116,0.02018093317747116,0.6833333373069763,0.9666666984558104,0.824999988079071,104,0.364859402179718,0.7207679152488708,0.8706815838813782,0.9666666984558104,0.8656630516052246,0.09016717970371246,0.04552590101957321,0.02018093317747116,0.8902326226234436,0.9153560400009156,0.0752851739525795,0.01858523301780224,0.8656630516052246,0.8118811845779419,0.9666666984558104,0.10661764442920683,0.99,0.375,0.08695652335882187,0.868165135383606,0.9666666388511658,0.9666666388511658,0.9666666984558104,0.868165135383606,0.8003875613212585
kenn_bottom_up_adapter_bert_ms,1,32dnbeeg,0.7207679152488708,1,0.9666666388511658,0.8250000476837158,0.017223382368683815,0.03961748629808426,0.13797909021377563,0.9153560400009156,0.04656150937080383,0.836513102054596,0.02018093317747116,0.07611548155546188,0.053505536168813705,0.7701750993728638,0.7701750993728638,0.8003875613212585,0.899782121181488,0.836513102054596,0.8706530332565308,0.899782121181488,0.5140162706375122,0.9666666388511658,0.8722222447395325,0.02018093317747116,0.02018093317747116,0.6833333373069763,0.9666666984558104,0.824999988079071,104,0.3643743395805359,0.7207679152488708,0.8706530332565308,0.9666666984558104,0.8656630516052246,0.08884367346763611,0.04552590101957321,0.02018093317747116,0.8902326226234436,0.9153560400009156,0.0752851739525795,0.01858523301780224,0.8656630516052246,0.8118811845779419,0.9666666984558104,0.10139860957860948,0.99,0.375,0.08695652335882187,0.8681508302688599,0.9666666388511658,0.9666666388511658,0.9666666984558104,0.8681508302688599,0.8003875613212585
kenn_hybrid_adapter_bert_ms,0,1en7kukv,0.912466824054718,1,1.0,0.8083333373069763,0.016875434666872025,0.8666666746139526,0.847161591053009,0.91490375995636,0.8280701637268066,0.92141592502594,0.01948503777384758,0.8666666746139526,0.7894737124443054,0.9280214309692384,0.9280214309692384,0.905859112739563,0.8993464112281799,0.92141592502594,0.9013004302978516,0.8993464112281799,0.8673294186592102,0.9333333373069764,0.8500000238418579,0.02018093317747116,0.01948503777384758,0.6833333373069763,0.9333333969116212,0.8083333373069763,116,0.8853801488876343,0.912466824054718,0.9013004302978516,0.9666666984558104,0.8643558025360107,0.8775563836097717,0.8235294222831726,0.01948503777384758,0.8804382085800171,0.91490375995636,0.8899082541465759,0.01838075555860996,0.8643558025360107,0.8118811845779419,0.9333333969116212,0.8823529481887817,0.02,0.375,0.875,0.8824416399002075,0.9333333373069764,0.8666666746139526,0.9333333969116212,0.8824416399002075,0.905859112739563
