name,instance,run_id,test/macro_types/f1,test_incremental/macro_example/f1,test_incremental/macro_example_exclusive/f1,test/macro_example/recall,test_incremental/macro_types/f1,test_incremental_only/macro_example/recall,test_incremental_only/macro_types/recall,test_incremental_people-ethnicity/macro_types/recall,threshold_pretraining,test_incremental/micro/f1,test_incremental/micro/precision,test_incremental/macro_example/precision,test_incremental_only/micro/precision,test/micro/f1,test_pretraining/micro/recall,test_incremental_only/micro/f1,test_incremental_only/macro_example/precision,test_incremental_people-ethnicity/macro_types/f1,test_incremental_people-ethnicity/macro_types/precision,threshold_incremental,test_incremental_people/macro_types/recall,test/macro_types/recall,test_pretraining/micro/f1,test_incremental/macro_types/precision,test_incremental_people/macro_types/precision,test_incremental/micro/recall,test_incremental_only/macro_example_exclusive/recall,test/macro_example/f1,test_pretraining/macro_types/recall,test_incremental_people/macro_types/f1,test_pretraining/macro_example/f1,test_pretraining/macro_types/precision,epoch,test/micro/precision,test/macro_example/precision,test_pretraining/macro_types/f1,test_incremental_only/micro/recall,test_incremental_only/macro_example/f1,test_incremental/macro_example_exclusive/precision,test/macro_types/precision,test_incremental/macro_example_exclusive/recall,test_pretraining/macro_example/precision,test/micro/recall,test_pretraining/micro/precision,test_incremental_only/macro_types/f1,test_incremental/macro_example/recall,test_incremental_only/macro_types/precision,test_incremental/macro_types/recall,test_pretraining/macro_example/recall,test_incremental_only/macro_example_exclusive/precision,test_incremental_only/macro_example_exclusive/f1
kenn_horizontal_adapter_bert_ms,2,3rixpowp,0.8799483180046082,0.011134307831525804,0.9411764740943908,0.9143876433372498,0.811437726020813,0.011134307831525804,0.9411764740943908,0.9411764740943908,0.375,0.790123462677002,0.6808510422706604,0.011134307831525804,0.5614035129547119,0.9042634963989258,0.8992112278938293,0.7032967805862427,0.011134307831525804,0.7032967805862427,0.5614035129547119,0.17,0.9411764740943908,0.8631330728530884,0.9042634963989258,0.7131341695785522,0.8648648858070374,0.9411764740943908,0.9411764740943908,0.9195141792297364,0.8631330728530884,0.9014084339141846,0.9195141792297364,0.8974317312240601,23,0.9093729257583618,0.9246984720230104,0.8799483180046082,0.9411764740943908,0.011134307831525804,0.9411764740943908,0.8974317312240601,0.9411764740943908,0.9246984720230104,0.8992112278938293,0.9093729257583618,0.7032967805862427,0.011134307831525804,0.5614035129547119,0.9411764740943908,0.9143876433372498,0.9411764740943908,0.9411764740943908
kenn_horizontal_adapter_bert_ms,1,1nndyk0w,0.8771193623542786,0.011090814135968683,0.9375,0.9140976667404176,0.7348607182502747,0.00974251888692379,0.8235294222831726,0.8235294222831726,0.375,0.6818181872367859,0.5555555820465088,0.011830201372504234,0.39436620473861694,0.9019910097122192,0.898334801197052,0.5333333611488342,0.00974251888692379,0.5333333611488342,0.39436620473861694,0.18000000000000002,0.9411764740943908,0.8607801198959351,0.9019910097122192,0.6296155452728271,0.8648648858070374,0.8823529481887817,0.8235294222831726,0.9182913899421692,0.8607801198959351,0.9014084339141846,0.9182913899421692,0.8940909504890442,19,0.9056770205497742,0.92252379655838,0.8771193623542786,0.8235294222831726,0.00974251888692379,1.0,0.8940909504890442,0.8823529481887817,0.92252379655838,0.898334801197052,0.9056770205497742,0.5333333611488342,0.010438414290547373,0.39436620473861694,0.8823529481887817,0.9140976667404176,0.8235294222831726,0.8235294222831726
kenn_horizontal_adapter_bert_ms,0,1yrtlt3h,0.8795174956321716,0.011653630994260313,0.9850746989250184,0.9146195650100708,0.7850755453109741,0.011830201372504234,1.0,1.0,0.375,0.7333333492279053,0.5892857313156128,0.011830201372504234,0.4533333480358124,0.9029136300086976,0.899649441242218,0.6238532066345215,0.011830201372504234,0.6238532066345215,0.4533333480358124,0.01,0.9411764740943908,0.864309549331665,0.9029136300086976,0.6590991020202637,0.8648648858070374,0.970588207244873,1.0,0.9186696410179138,0.864309549331665,0.9014084339141846,0.9186696410179138,0.8952702879905701,40,0.906201720237732,0.922755777835846,0.8795174956321716,1.0,0.011830202303826807,1.0,0.8952702879905701,0.9705882668495178,0.922755777835846,0.899649441242218,0.906201720237732,0.6238532066345215,0.011482254602015018,0.4533333480358124,0.970588207244873,0.9146195650100708,1.0,1.0
kenn_hybrid_adapter_bert_ms,2,2jswznce,0.8766046166419983,0.010957572609186172,0.926237165927887,0.9142136573791504,0.7024685740470886,0.010438414290547373,0.8823529481887817,0.8823529481887817,0.375,0.5821595788002014,0.4275861978530884,0.011134307831525804,0.2777777910232544,0.8987729549407959,0.8987730145454407,0.422535240650177,0.010438414290547373,0.422535240650177,0.2777777910232544,0.52,0.9411764740943908,0.8619565963745117,0.8987729549407959,0.5713213682174683,0.8648648858070374,0.911764681339264,0.8823529481887817,0.917328715324402,0.8619565963745117,0.9014084339141846,0.917328715324402,0.8917591571807861,23,0.8987730145454407,0.9204651117324828,0.8766046166419983,0.8823529481887817,0.010438414290547373,0.9411764740943908,0.8917591571807861,0.911764681339264,0.9204651117324828,0.8987730145454407,0.8987730145454407,0.422535240650177,0.010786360129714012,0.2777777910232544,0.9117647409439088,0.9142136573791504,0.8823529481887817,0.8823529481887817
kenn_top_down_adapter_bert_ms,2,2yqwd0rr,0.8769400119781494,0.010957572609186172,0.926237165927887,0.9142136573791504,0.7154399156570435,0.010438414290547373,0.8823529481887817,0.8823529481887817,0.375,0.6169154047966003,0.4661654233932495,0.011134307831525804,0.3125,0.8999561667442322,0.8987730145454407,0.4615384638309479,0.010438414290547373,0.4615384638309479,0.3125,0.47,0.9411764740943908,0.8619565963745117,0.8999561667442322,0.5886824131011963,0.8648648858070374,0.911764681339264,0.8823529481887817,0.91794753074646,0.8619565963745117,0.9014084339141846,0.91794753074646,0.8924536108970642,24,0.9011423587799072,0.9217119216918944,0.8769400119781494,0.8823529481887817,0.010438414290547373,0.9411764740943908,0.8924536108970642,0.911764681339264,0.9217119216918944,0.8987730145454407,0.9011423587799072,0.4615384638309479,0.010786360129714012,0.3125,0.9117647409439088,0.9142136573791504,0.8823529481887817,0.8823529481887817
kenn_bottom_up_adapter_bert_ms,2,14d3fn22,0.8815205097198486,0.010957572609186172,0.926237165927887,0.9142136573791504,0.867409348487854,0.010438414290547373,0.8823529481887817,0.8823529481887817,0.375,0.867132842540741,0.8266666531562805,0.011134307831525804,0.7894737124443054,0.9057187438011168,0.8987730145454407,0.833333432674408,0.010438414290547373,0.833333432674408,0.7894737124443054,0.22,0.9411764740943908,0.8619565963745117,0.9057187438011168,0.8271692991256714,0.8648648858070374,0.911764681339264,0.8823529481887817,0.9211857318878174,0.8619565963745117,0.9014084339141846,0.9211857318878174,0.9019930958747864,23,0.9127725958824158,0.9282649159431458,0.8815205097198486,0.8823529481887817,0.010438414290547373,0.9411764740943908,0.9019930958747864,0.911764681339264,0.9282649159431458,0.8987730145454407,0.9127725958824158,0.833333432674408,0.010786360129714012,0.7894737124443054,0.9117647409439088,0.9142136573791504,0.8823529481887817,0.8823529481887817
kenn_hybrid_adapter_bert_ms,1,3d4j2usy,0.8763906359672546,0.011030198074877262,0.9323760867118835,0.9141556024551392,0.7015390396118164,0.01009046658873558,0.8529411554336548,0.8529411554336548,0.375,0.5922330021858215,0.4420289993286133,0.011482255533337591,0.2871287167072296,0.8992434740066528,0.8985539078712463,0.4296296238899231,0.01009046658873558,0.4296296238899231,0.2871287167072296,0.48,0.9411764740943908,0.8613683581352234,0.8992434740066528,0.5759968161582947,0.8648648858070374,0.8970588445663452,0.8529411554336548,0.917529821395874,0.8613683581352234,0.9014084339141846,0.917529821395874,0.8919461965560913,10,0.8999341726303101,0.9209290742874146,0.8763906359672546,0.8529411554336548,0.01009046658873558,0.9705882668495178,0.8919461965560913,0.8970588445663452,0.9209290742874146,0.8985539078712463,0.8999341726303101,0.4296296238899231,0.010612387210130692,0.2871287167072296,0.8970588445663452,0.9141556024551392,0.8529411554336548,0.8529411554336548
kenn_top_down_adapter_bert_ms,1,2eebvits,0.874498188495636,0.011378667317330836,0.9618321061134338,0.914358615875244,0.6030701994895935,0.010786360129714012,0.911764681339264,0.911764681339264,0.375,0.10796915739774704,0.0573248416185379,0.011830201372504234,0.02919020690023899,0.8139258623123169,0.898992121219635,0.05656934157013893,0.010786360129714012,0.05656934157013893,0.02919020690023899,0.21,0.9411764740943908,0.8625448346138,0.8139258623123169,0.4470275342464447,0.8648648858070374,0.9264705777168274,0.9117647409439088,0.8455764055252075,0.8625448346138,0.9014084339141846,0.8455764055252075,0.8867874145507812,11,0.7435665130615234,0.7864184379577637,0.874498188495636,0.911764681339264,0.010786360129714012,1.0,0.8867874145507812,0.9264705777168274,0.7864184379577637,0.898992121219635,0.7435665130615234,0.05656934157013893,0.010960333980619907,0.02919020690023899,0.9264705777168274,0.914358615875244,0.9117647409439088,0.9117647409439088
kenn_bottom_up_adapter_bert_ms,1,1950wcmi,0.8783766031265259,0.011284192092716694,0.9538461565971376,0.914271593093872,0.7678689956665039,0.010438413359224796,0.8823529481887817,0.8823529481887817,0.375,0.7294118404388428,0.6078431606292725,0.011830201372504234,0.4615384638309479,0.9030269980430604,0.8987730145454407,0.6060606241226196,0.010438413359224796,0.6060606241226196,0.4615384638309479,0.24,0.9411764740943908,0.8619565963745117,0.9030269980430604,0.6632016897201538,0.8648648858070374,0.911764681339264,0.8823529481887817,0.9195414781570436,0.8619565963745117,0.9014084339141846,0.9195414781570436,0.8954343795776367,10,0.9073213934898376,0.9248723983764648,0.8783766031265259,0.8823529481887817,0.010438413359224796,1.0,0.8954343795776367,0.9117647409439088,0.9248723983764648,0.8987730145454407,0.9073213934898376,0.6060606241226196,0.010786360129714012,0.4615384638309479,0.9117647409439088,0.914271593093872,0.8823529481887817,0.8823529481887817
kenn_hybrid_adapter_bert_ms,0,1a0nwumt,0.88240647315979,0.011394604109227656,0.9631792306900024,0.914503574371338,0.8857985734939575,0.011482255533337591,0.970588207244873,0.970588207244873,0.375,0.884353756904602,0.8227847814559937,0.011482255533337591,0.7857142686843872,0.905980944633484,0.8994303345680237,0.8684210181236267,0.011482255533337591,0.8684210181236267,0.7857142686843872,0.060000000000000005,0.9411764740943908,0.8637213110923767,0.905980944633484,0.8252896070480347,0.8648648858070374,0.9558823704719543,0.9705882668495178,0.9212471842765808,0.8637213110923767,0.9014084339141846,0.9212471842765808,0.9019179344177246,31,0.9126278162002563,0.9280909299850464,0.88240647315979,0.970588207244873,0.011482254602015018,0.9705882668495178,0.9019179344177246,0.9558823704719543,0.9280909299850464,0.8994303345680237,0.9126278162002563,0.8684210181236267,0.011308280751109123,0.7857142686843872,0.9558823108673096,0.914503574371338,0.9705882668495178,0.9705882668495178
