name,instance,run_id,test_incremental_only/macro_example_exclusive/precision,test_incremental/micro/recall,test_pretraining/micro/recall,test_incremental/macro_types/f1,test_incremental/macro_example/f1,test/macro_types/recall,test_incremental_only/macro_types/f1,test_incremental_only/macro_example_exclusive/f1,test_pretraining/micro/f1,test_incremental/macro_example_exclusive/precision,test/micro/f1,test/micro/precision,test_incremental_only/macro_types/precision,test/macro_types/f1,threshold_incremental,test_incremental_people-ethnicity/macro_types/f1,test_pretraining/macro_example/recall,test_incremental_only/macro_example/f1,test_incremental_only/macro_types/recall,test_incremental_only/macro_example/precision,test_incremental/macro_example_exclusive/recall,test_incremental/macro_types/recall,test_incremental_people-ethnicity/macro_types/precision,test_pretraining/macro_types/recall,test/micro/recall,test_incremental_only/micro/f1,test_incremental_only/micro/precision,threshold_pretraining,test_incremental_only/macro_example/recall,test_incremental_people/macro_types/recall,test_incremental/macro_example_exclusive/f1,test_pretraining/macro_types/f1,test_incremental/macro_types/precision,test_incremental_people/macro_types/precision,test_incremental_people-ethnicity/macro_types/recall,test_incremental_people/macro_types/f1,epoch,test/macro_example/f1,test_incremental/micro/f1,test/macro_types/precision,test_pretraining/macro_example/f1,test_pretraining/macro_example/precision,test_pretraining/micro/precision,test_incremental/macro_example/recall,test_pretraining/macro_types/precision,test_incremental_only/macro_example_exclusive/recall,test/macro_example/precision,test_incremental/micro/precision,test_incremental_only/micro/recall,test_incremental/macro_example/precision,test/macro_example/recall
kenn_horizontal_adapter_bert_ms,2,3tr54mo4,1.0,0.970588207244873,0.899649441242218,0.8303597569465637,0.011653630994260313,0.864309549331665,0.739130437374115,1.0,0.9046044945716858,1.0,0.9046044945716858,0.9096145033836364,0.5862069129943848,0.8807979822158813,0.05,0.739130437374115,0.9146195650100708,0.011830202303826807,1.0,0.011830201372504234,0.9705882668495178,0.970588207244873,0.5862069129943848,0.864309549331665,0.899649441242218,0.739130437374115,0.5862069129943848,0.375,0.011830201372504234,0.9411764740943908,0.9850746989250184,0.8807979822158813,0.7255358695983887,0.8648648858070374,1.0,0.9014084339141846,43,0.9198894500732422,0.8098158836364746,0.8979277610778809,0.9198894500732422,0.9252203702926636,0.9096145033836364,0.011482254602015018,0.8979277610778809,1.0,0.9252203702926636,0.6947368383407593,1.0,0.011830201372504234,0.9146195650100708
kenn_horizontal_adapter_bert_ms,1,3hno7ybo,0.7352941036224365,0.8382353186607361,0.897677481174469,0.7285810112953186,0.010642090812325478,0.8590154051780701,0.5376344323158264,0.7352941036224365,0.9025223255157472,0.9705882668495178,0.9025223255157472,0.907419741153717,0.4237288236618042,0.8764842748641968,0.17,0.5376344323158264,0.9138076901435852,0.008698678575456142,0.7352941036224365,0.008698678575456142,0.8382352590560913,0.8382352590560913,0.4237288236618042,0.8590154051780701,0.897677481174469,0.5376344323158264,0.4237288236618042,0.375,0.008698678575456142,0.9411764740943908,0.8995695114135742,0.8764842748641968,0.6442968845367432,0.8648648858070374,0.7352941036224365,0.9014084339141846,36,0.9188337922096252,0.6951219439506531,0.8946782350540161,0.9188337922096252,0.9239155650138856,0.907419741153717,0.00991649366915226,0.8946782350540161,0.7352941036224365,0.9239155650138856,0.59375,0.7352941036224365,0.011482255533337591,0.9138076901435852
kenn_horizontal_adapter_bert_ms,0,r70g2db5,0.3235294222831726,0.6323529481887817,0.8946099877357483,0.5501675605773926,0.008949069306254387,0.8507801294326782,0.16296297311782837,0.3235294222831726,0.8952966332435608,0.9411764740943908,0.8952966332435608,0.8959841728210449,0.10891088843345642,0.8691744804382324,0.55,0.16296297311782837,0.9122419357299804,0.003827418200671673,0.3235294222831726,0.003827418200671673,0.6323530077934265,0.6323529481887817,0.10891088843345642,0.8507801294326782,0.8946099877357483,0.16296297311782837,0.10891088843345642,0.375,0.003827418200671673,0.9411764740943908,0.756459653377533,0.8691744804382324,0.4868878722190857,0.8648648858070374,0.3235294222831726,0.9014084339141846,55,0.9156160950660706,0.4174757301807403,0.888381838798523,0.9156160950660706,0.9190152883529664,0.8959841728210449,0.007480863016098738,0.888381838798523,0.3235294222831726,0.9190152883529664,0.3115941882133484,0.3235294222831726,0.011134307831525804,0.9122419357299804
kenn_hybrid_adapter_bert_ms,2,3b04t4ca,0.8235294222831726,0.8823529481887817,0.898334801197052,0.7032631039619446,0.01077513676136732,0.8607801198959351,0.4444444179534912,0.8235294222831726,0.8999122381210327,0.9411764740943908,0.8999122381210327,0.9014951586723328,0.30434781312942505,0.8762521743774414,0.48,0.4444444179534912,0.913923680782318,0.00974251888692379,0.8235294222831726,0.00974251888692379,0.8823529481887817,0.8823529481887817,0.30434781312942505,0.8607801198959351,0.898334801197052,0.4444444179534912,0.30434781312942505,0.375,0.00974251888692379,0.9411764740943908,0.9108158946037292,0.8762521743774414,0.5846063494682312,0.8648648858070374,0.8235294222831726,0.9014084339141846,28,0.9177438020706176,0.6091370582580566,0.8922905921936035,0.9177438020706176,0.9215959310531616,0.9014951586723328,0.010438414290547373,0.8922905921936035,0.8235294222831726,0.9215959310531616,0.4651162922382355,0.8235294222831726,0.011134307831525804,0.913923680782318
kenn_top_down_adapter_bert_ms,2,vrciqs0f,0.8529411554336548,0.8970588445663452,0.8985539078712463,0.713116466999054,0.010867084376513958,0.8613683581352234,0.4640000164508819,0.8529411554336548,0.9002305269241333,0.9411764740943908,0.9002305269241333,0.9019133448600768,0.3186813294887543,0.8766951560974121,0.47,0.4640000164508819,0.914039671421051,0.01009046658873558,0.8529411554336548,0.01009046658873558,0.8970588445663452,0.8970588445663452,0.3186813294887543,0.8613683581352234,0.8985539078712463,0.4640000164508819,0.3186813294887543,0.375,0.01009046658873558,0.9411764740943908,0.9185882210731506,0.8766951560974121,0.5917730927467346,0.8648648858070374,0.8529411554336548,0.9014084339141846,29,0.9179891347885132,0.6224489808082581,0.8925772905349731,0.9179891347885132,0.9219728708267212,0.9019133448600768,0.010612387210130692,0.8925772905349731,0.8529411554336548,0.9219728708267212,0.4765625,0.8529411554336548,0.011134307831525804,0.914039671421051
kenn_bottom_up_adapter_bert_ms,2,22orc6bf,0.8235294222831726,0.8823529481887817,0.898334801197052,0.8831983208656311,0.01077513676136732,0.8607801198959351,0.8615384697914124,0.8235294222831726,0.9059772491455078,0.9411764740943908,0.9059772491455078,0.9137508273124696,0.9032257795333862,0.8819884061813354,0.19,0.8615384697914124,0.913923680782318,0.00974251888692379,0.8235294222831726,0.00974251888692379,0.8823529481887817,0.8823529481887817,0.9032257795333862,0.8607801198959351,0.898334801197052,0.8615384697914124,0.9032257795333862,0.375,0.00974251888692379,0.9411764740943908,0.9108158946037292,0.8819884061813354,0.8840453624725342,0.8648648858070374,0.8235294222831726,0.9014084339141846,28,0.9210669994354248,0.8823529481887817,0.9042681455612184,0.9210669994354248,0.9283229112625122,0.9137508273124696,0.010438414290547373,0.9042681455612184,0.8235294222831726,0.9283229112625122,0.8823529481887817,0.8235294222831726,0.011134307831525804,0.913923680782318
kenn_hybrid_adapter_bert_ms,1,26vc2yj5,0.7058823704719543,0.8235294222831726,0.8974583745002747,0.7753142714500427,0.010541087947785854,0.8584271669387817,0.6486486792564392,0.7058823704719543,0.9041942358016968,0.9705882668495178,0.9041942358016968,0.9110320210456848,0.6000000238418579,0.8778650760650635,0.25,0.6486486792564392,0.9136627316474916,0.008350731804966927,0.7058823704719543,0.008350731804966927,0.8235294222831726,0.8235294222831726,0.6000000238418579,0.8584271669387817,0.8974583745002747,0.6486486792564392,0.6000000238418579,0.375,0.008350731804966927,0.9411764740943908,0.8910318613052368,0.8778650760650635,0.73243248462677,0.8648648858070374,0.7058823704719543,0.9014084339141846,27,0.920434832572937,0.7724137306213379,0.8982036113739014,0.920434832572937,0.9273080825805664,0.9110320210456848,0.009742519818246365,0.8982036113739014,0.7058823704719543,0.9273080825805664,0.7272727489471436,0.7058823704719543,0.011482255533337591,0.9136627316474916
kenn_top_down_adapter_bert_ms,1,2rrdeae6,0.7647058963775635,0.8529411554336548,0.8978965878486633,0.6050877571105957,0.010891296900808811,0.8596036434173584,0.13299234211444855,0.7647058963775635,0.8740535378456116,1.0,0.8740535378456116,0.8514440059661865,0.07282913476228714,0.8734066486358643,0.19,0.13299234211444855,0.9138947129249572,0.009046625345945358,0.7647058963775635,0.009046625345945358,0.8529411554336548,0.8529411554336548,0.07282913476228714,0.8596036434173584,0.8978965878486633,0.13299234211444855,0.07282913476228714,0.375,0.009046625345945358,0.9411764740943908,0.920634925365448,0.8734066486358643,0.4688470065593719,0.8648648858070374,0.7647058963775635,0.9014084339141846,29,0.8988068103790283,0.25108227133750916,0.8876602053642273,0.8988068103790283,0.8842089772224426,0.8514440059661865,0.01009046658873558,0.8876602053642273,0.7647058963775635,0.8842089772224426,0.14720812439918518,0.7647058963775635,0.011830201372504234,0.9138947129249572
kenn_bottom_up_adapter_bert_ms,1,8x455sgk,0.7647058963775635,0.8529411554336548,0.8978965878486633,0.6544617414474487,0.010891296900808811,0.8596036434173584,0.3132530152797699,0.7647058963775635,0.8955419063568115,1.0,0.8955419063568115,0.893199622631073,0.19696970283985135,0.8746068477630615,0.06999999999999999,0.3132530152797699,0.9138947129249572,0.009046625345945358,0.7647058963775635,0.009046625345945358,0.8529411554336548,0.8529411554336548,0.19696970283985135,0.8596036434173584,0.8978965878486633,0.3132530152797699,0.19696970283985135,0.375,0.009046625345945358,0.9411764740943908,0.920634925365448,0.8746068477630615,0.5309172868728638,0.8648648858070374,0.7647058963775635,0.9014084339141846,28,0.9142078161239624,0.48945143818855286,0.8901430368423462,0.9142078161239624,0.9145209789276124,0.893199622631073,0.01009046658873558,0.8901430368423462,0.7647058963775635,0.9145209789276124,0.34319525957107544,0.7647058963775635,0.011830201372504234,0.9138947129249572
kenn_hybrid_adapter_bert_ms,0,3bln8i10,0.7647058963775635,0.8529411554336548,0.8978965878486633,0.8523638248443604,0.010586719028651714,0.8596036434173584,0.8000000715255737,0.7647058963775635,0.9055352807044984,0.9411764740943908,0.9055352807044984,0.9133051037788392,0.8387096524238586,0.8807570338249207,0.15000000000000002,0.8000000715255737,0.9137787222862244,0.009046625345945358,0.7647058963775635,0.009046625345945358,0.8529412150382996,0.8529411554336548,0.8387096524238586,0.8596036434173584,0.8978965878486633,0.8000000715255737,0.8387096524238586,0.375,0.009046625345945358,0.9411764740943908,0.8948891758918762,0.8807570338249207,0.851787269115448,0.8648648858070374,0.7647058963775635,0.9014084339141846,41,0.9209648966789246,0.8529411554336548,0.9029778242111206,0.9209648966789246,0.9282649159431458,0.9133051037788392,0.01009046658873558,0.9029778242111206,0.7647058963775635,0.9282649159431458,0.8529411554336548,0.7647058963775635,0.011134307831525804,0.9137787222862244
