name,test_incremental_only/micro/recall/mean,test_incremental_only/micro/precision/mean,test_pretraining/micro/precision/mean,test_incremental/macro_types/f1/mean,test_incremental/macro_example/f1/mean,test/micro/f1/mean,threshold_incremental/mean,test/macro_example/precision/mean,test_pretraining/micro/recall/mean,test_incremental_only/macro_example_exclusive/f1/mean,test_incremental_other-product-computer/macro_types/precision/mean,test_incremental_only/macro_example_exclusive/recall/mean,test/macro_example/f1/mean,test_incremental/macro_example_exclusive/precision/mean,test/micro/precision/mean,test_incremental_other-product-software/macro_types/precision/mean,test_incremental_other-product-weapon/macro_types/f1/mean,test_pretraining/micro/f1/mean,test/macro_types/precision/mean,test_incremental_other-product/macro_types/f1/mean,test_incremental_other-product-car/macro_types/f1/mean,test_pretraining/macro_types/recall/mean,test/micro/recall/mean,test_pretraining/macro_types/precision/mean,test_incremental/macro_types/recall/mean,test_incremental_other-product-car/macro_types/recall/mean,test_incremental_other-product-software/macro_types/f1/mean,test_incremental_other-product-car/macro_types/precision/mean,test_pretraining/macro_types/f1/mean,test_incremental_other-product/macro_types/precision/mean,test_incremental_other-product-weapon/macro_types/recall/mean,test_incremental_only/macro_example/precision/mean,test/macro_types/f1/mean,test_pretraining/macro_example/f1/mean,test_incremental_only/macro_types/f1/mean,test_incremental/macro_example/recall/mean,test_pretraining/macro_example/precision/mean,test_incremental/macro_example_exclusive/f1/mean,test_incremental_only/macro_example/f1/mean,test_incremental/macro_example/precision/mean,test_incremental_other-product-computer/macro_types/f1/mean,test_incremental_only/macro_example_exclusive/precision/mean,test_incremental/micro/recall/mean,test_incremental_other-product-software/macro_types/recall/mean,test_incremental_only/macro_types/recall/mean,test_pretraining/macro_example/recall/mean,test_incremental_other-product/macro_types/recall/mean,threshold_pretraining/mean,test/macro_example/recall/mean,test_incremental/micro/precision/mean,test_incremental/macro_types/precision/mean,test_incremental_only/macro_example/recall/mean,test_incremental_only/micro/f1/mean,test_incremental/macro_example_exclusive/recall/mean,test/macro_types/recall/mean,epoch/mean,test_incremental_other-product-computer/macro_types/recall/mean,test_incremental_only/macro_types/precision/mean,test_incremental_other-product-weapon/macro_types/precision/mean,test_incremental/micro/f1/mean,test_incremental_only/micro/recall/std,test_incremental_only/micro/precision/std,test_pretraining/micro/precision/std,test_incremental/macro_types/f1/std,test_incremental/macro_example/f1/std,test/micro/f1/std,threshold_incremental/std,test/macro_example/precision/std,test_pretraining/micro/recall/std,test_incremental_only/macro_example_exclusive/f1/std,test_incremental_other-product-computer/macro_types/precision/std,test_incremental_only/macro_example_exclusive/recall/std,test/macro_example/f1/std,test_incremental/macro_example_exclusive/precision/std,test/micro/precision/std,test_incremental_other-product-software/macro_types/precision/std,test_incremental_other-product-weapon/macro_types/f1/std,test_pretraining/micro/f1/std,test/macro_types/precision/std,test_incremental_other-product/macro_types/f1/std,test_incremental_other-product-car/macro_types/f1/std,test_pretraining/macro_types/recall/std,test/micro/recall/std,test_pretraining/macro_types/precision/std,test_incremental/macro_types/recall/std,test_incremental_other-product-car/macro_types/recall/std,test_incremental_other-product-software/macro_types/f1/std,test_incremental_other-product-car/macro_types/precision/std,test_pretraining/macro_types/f1/std,test_incremental_other-product/macro_types/precision/std,test_incremental_other-product-weapon/macro_types/recall/std,test_incremental_only/macro_example/precision/std,test/macro_types/f1/std,test_pretraining/macro_example/f1/std,test_incremental_only/macro_types/f1/std,test_incremental/macro_example/recall/std,test_pretraining/macro_example/precision/std,test_incremental/macro_example_exclusive/f1/std,test_incremental_only/macro_example/f1/std,test_incremental/macro_example/precision/std,test_incremental_other-product-computer/macro_types/f1/std,test_incremental_only/macro_example_exclusive/precision/std,test_incremental/micro/recall/std,test_incremental_other-product-software/macro_types/recall/std,test_incremental_only/macro_types/recall/std,test_pretraining/macro_example/recall/std,test_incremental_other-product/macro_types/recall/std,threshold_pretraining/std,test/macro_example/recall/std,test_incremental/micro/precision/std,test_incremental/macro_types/precision/std,test_incremental_only/macro_example/recall/std,test_incremental_only/micro/f1/std,test_incremental/macro_example_exclusive/recall/std,test/macro_types/recall/std,epoch/std,test_incremental_other-product-computer/macro_types/recall/std,test_incremental_only/macro_types/precision/std,test_incremental_other-product-weapon/macro_types/precision/std,test_incremental/micro/f1/std
no_init_box_kenn_bottom_up_adapter_bert_ms,0.3703703780968984,0.9765258232752482,0.8496421774228414,0.6297414104143778,0.057728194942077,0.8143842816352844,0.08666666666666667,0.8577199776967367,0.7819380362828573,0.4058803617954254,1.0,0.3844085733095805,0.8245724439620972,0.8232322732607523,0.8496421774228414,1.0,0.6548063556353251,0.8143842816352844,0.7692519028981527,0.7867867350578308,0.5218905558188757,0.6464684804280599,0.7819380362828573,0.7692519028981527,0.47577711939811707,0.4444444477558136,0.316289447247982,0.9509803851445516,0.7025103569030762,0.7797619104385376,0.4888888895511627,0.026311460882425308,0.7025103569030762,0.8245724439620972,0.5595405797163645,0.0507043773929278,0.8577199776967367,0.7091821233431498,0.024829385802149773,0.06701200207074483,0.6086004376411438,0.43010751406351727,0.5965480009714762,0.19999999552965164,0.39623655875523883,0.7938925425211588,0.7939394116401672,0.26,0.7938925425211588,0.8266914288202921,0.9461484750111898,0.023515868932008743,0.5327213406562805,0.6228955984115601,0.6464684804280599,49.333333333333336,0.4516128897666931,0.9877450863520304,1.0,0.692582368850708,0.07649403758351868,0.04065846675312086,0.00017023790199255644,0.067268064743191,0.002808174170771882,0.0010711390315156092,0.07505553499465135,0.00035128543066310696,0.002115033221086417,0.08167869058036553,0.0,0.07590218925022185,0.0004750296002120128,0.04069340346006334,0.00017023790199255644,0.0,0.06148721412306628,0.0010711390315156092,0.0016647859795443293,0.0,0.349642943492537,0.008176436822755848,0.002115033221086417,0.0016647859795443293,0.08339962165822724,0.40010711333049254,0.21298132290666688,0.08490446349709475,0.00411271208307886,0.0,0.06938886251297234,0.00543420970509962,0.00411271208307886,0.0004750296002120128,0.0978881917252587,0.0024451355011528213,0.00035128543066310696,0.034497988048664247,0.0049966238847966365,0.0033124831171119622,0.17386786678065816,0.08883176684546082,0.03564771327939385,0.14422204779494552,0.10424955458369034,0.0011823001150661108,0.0,0.0,0.0011823001150661108,0.0022463754859541607,0.016980906464522078,0.004643250440848581,0.0707906840562719,0.030038169881909375,0.008176436822755848,12.013880860626733,0.17069362788484238,0.021226133080652604,0.0,0.022997887288192374
no_init_box_kenn_hybrid_adapter_bert_ms,0.37268518408139545,0.9690799315770467,0.8495935400327047,0.6317572593688965,0.05767625321944555,0.8143970171610514,0.17,0.85769255956014,0.7820020516713461,0.409347802400589,1.0,0.3884408473968506,0.8246131539344788,0.8191918730735779,0.8495935400327047,1.0,0.6745692292849222,0.8143970171610514,0.768756091594696,0.7867867350578308,0.5269230951865514,0.6466933488845825,0.7820020516713461,0.768756091594696,0.47807105382283527,0.4444444477558136,0.316289447247982,0.9256944457689921,0.7024444739023844,0.7797619104385376,0.5111111203829447,0.026475907613833744,0.7024444739023844,0.8246131539344788,0.5634115835030874,0.050814010202884674,0.85769255956014,0.7085439960161845,0.02504150445262591,0.06668310860792796,0.6035024126370748,0.4327956835428874,0.5976267457008362,0.19999999552965164,0.39910393953323364,0.793991208076477,0.7939394116401672,0.26,0.793991208076477,0.8257378538449606,0.9410912990570068,0.02376253840823968,0.5356314678986868,0.624242385228475,0.6466933488845825,46.333333333333336,0.44086021184921265,0.9814236164093018,1.0,0.6931355198224386,0.05782405448023965,0.03813297170231675,0.0002082213370635434,0.05427982960151879,0.0022502362048705767,0.0007716311056996449,0.13453624047073712,0.0003301125715149249,0.0015988223326766772,0.06345083378714171,0.0,0.06066281929881163,0.0003526922875674799,0.03378935250675709,0.0002082213370635434,0.0,0.062120423296999315,0.0007716311056996449,0.0015373516688800726,0.0,0.3356257516939228,0.006587676387290983,0.0015988223326766772,0.0015373516688800726,0.06719455633818791,0.36405699132892444,0.21298132290666688,0.07840459248632574,0.003248959844301024,0.0,0.06938886728516519,0.004107875946121925,0.003248959844301024,0.0003526922875674799,0.07938990646417414,0.001912465154854781,0.0003301125715149249,0.02764383197545062,0.0038815505516533195,0.0027504850647036365,0.1358702249032645,0.06715051888276229,0.02694712537417037,0.14422204779494552,0.08399319655964997,0.0009144702896984143,0.0,0.0,0.0009144702896984143,0.0032233715287139576,0.01568091907798955,0.0037109956339546717,0.05276990296557815,0.02349437221376328,0.006587676387290983,7.371114795831993,0.13430104015161654,0.019601148847486972,0.0,0.016845087770032387
no_init_box_kenn_top_down_adapter_bert_ms,0.5277777910232544,0.9312476317087809,0.8496438066164652,0.7385373512903849,0.06165801857908567,0.8167397379875183,0.016666666666666666,0.8572046955426534,0.7862903277079264,0.5787970225016276,0.9861111044883728,0.5483870704968771,0.8260727723439535,0.8454544941584269,0.8496438066164652,1.0,0.8124942183494568,0.8167397379875183,0.7668482065200806,0.7867867350578308,0.7604653636614481,0.6603209773699442,0.7862903277079264,0.7668482065200806,0.6170726815859476,0.7373737394809723,0.34110335757335025,0.8422797918319702,0.709602932135264,0.7797619104385376,0.6888888875643412,0.03749383116761843,0.709602932135264,0.8260727723439535,0.715593417485555,0.05591185515125593,0.8572046955426534,0.7574594616889954,0.03540741714338461,0.06882091114918391,0.777019182840983,0.6129031976064047,0.6699029207229614,0.22000000129143396,0.5728559692700704,0.7971239487330118,0.7939394116401672,0.26,0.7971239487330118,0.829077144463857,0.9216305414835612,0.03354711209734281,0.6722211043039957,0.6868686676025391,0.6603209773699442,49.333333333333336,0.6451612909634908,0.9570977290471395,1.0,0.7408446470896403,0.0625,0.03758078727635951,0.0005926099126865667,0.029672660867459195,0.002051978896660689,0.0010535792493932856,0.011547005383792514,0.0005285962716867046,0.0017280876637361597,0.07511450469748751,0.024056272687153643,0.07693059799254834,0.0008989644715304791,0.04198910485533971,0.0005926099126865667,0.0,0.07791823981003182,0.0010535792493932856,0.0011649430221270548,0.0,0.12850302860615948,0.0042526572952219024,0.0017280876637361597,0.0011649430221270548,0.0433771022598925,0.24493646793132007,0.22908350763162938,0.08317853525610723,0.0023282307410968928,0.0,0.10715167491612135,0.0044400598853827815,0.0023282307410968928,0.0008989644715304791,0.04061681190658661,0.0023066523783372528,0.0005285962716867046,0.025208234494195573,0.004595067560372152,0.0034179568256618347,0.05292850033974722,0.07258063554764611,0.029126226902008057,0.1562049947964252,0.05422137782486565,0.001568961172356848,0.0,0.0,0.001568961172356848,0.011712174701929288,0.011882535819107296,0.0047061637517375075,0.05243338630639053,0.028336884100752757,0.0042526572952219024,11.50362261782493,0.08534682520664126,0.014853141670982927,0.0,0.020092412915754754
no_init_kenn_bottom_up_adapter_bert_ms,0.5486111144224802,0.22128725051879883,0.815527061621348,0.45066646734873456,0.051102706541617714,0.8312828739484152,0.08666666666666667,0.8453604181607565,0.847734252611796,0.3174858142932256,0.2672554800907771,0.5094085733095804,0.850443700949351,0.5537710189819336,0.815527061621348,0.33808137973149616,0.19013753781716028,0.8312828739484152,0.8135309418042501,0.8978328108787537,0.22389269868532816,0.7930539846420288,0.847734252611796,0.8135309418042501,0.609680046637853,0.43434343735376996,0.42729853590329486,0.1529811049501101,0.8031358321507772,0.9177215099334716,0.4000000109275182,0.014115002006292343,0.8031358321507772,0.850443700949351,0.3114406367142995,0.060050426671902336,0.8453604181607565,0.627789040406545,0.019421924216051895,0.045077561090389885,0.3906262516975403,0.23073475559552512,0.7249190807342529,0.5933333337306976,0.5424030621846517,0.8556137084960938,0.8787878751754761,0.33,0.8556137084960938,0.44042283296585083,0.36039111018180847,0.031162635733683903,0.3125739097595215,0.7377104163169861,0.7930539846420288,15.333333333333334,0.7419354716936747,0.22105849782625833,0.1259160414338112,0.5452409982681274,0.14698618081908396,0.00725264766964535,0.009245080808223253,0.041023907807477354,0.0018037200827652373,0.0028355939174549032,0.03785938897200183,0.004780368710804977,0.00406415277097743,0.09109431596831044,0.03707031781331543,0.16155890884896462,0.0008375308421830646,0.07385862995681745,0.009245080808223253,0.06725767244207698,0.09040458168241827,0.0028355939174549032,0.0008861804051856005,0.0,0.0832880781117301,0.011784069504341996,0.00406415277097743,0.0008861804051856005,0.12019757264169655,0.22945083203706135,0.09413263691827199,0.04922519347040372,0.006423395651279373,0.0,0.24037009136795187,0.003853180711249231,0.006423395651279373,0.0008375308421830646,0.03746134524659363,0.005034679764322393,0.004780368710804977,0.022158414797242305,0.0055726173762805035,0.006012174106734273,0.03084159651789886,0.0629870706842826,0.06849842584523569,0.17009801343856448,0.15024695137448282,0.0031944220061921836,0.0,0.0,0.0031944220061921836,0.03598040697110766,0.009039088606657433,0.009883227128426476,0.03377688471232509,0.06185030030493342,0.011784069504341996,0.5773502691896258,0.055872587824257955,0.011298869754095713,0.05285583359880252,0.006826384186091726
no_init_kenn_hybrid_adapter_bert_ms,0.594907412926356,0.23522184292475382,0.815353512763977,0.46968868374824524,0.05087024221817652,0.8317245443662008,0.16333333333333336,0.8451938430468241,0.8490143219629923,0.3804035534461339,0.28051435947418213,0.5685483713944753,0.8508582909901937,0.550134668747584,0.815353512763977,0.3553442358970642,0.22826862583557764,0.8317245443662008,0.8150318066279093,0.8978328108787537,0.25880394876003265,0.7971401413281759,0.8490143219629923,0.8150318066279093,0.6513587633768717,0.535353551308314,0.4323909382025401,0.1755905399719874,0.8059101303418478,0.9177215099334716,0.5222222258647283,0.017691717172662418,0.8059101303418478,0.8508582909901937,0.3335655927658081,0.06180452307065328,0.8451938430468241,0.6249332427978516,0.023270863418777783,0.044781558215618134,0.39568133155504864,0.2892025063435237,0.7464940746625265,0.5999999940395355,0.5945014556248983,0.8566688895225525,0.8787878751754761,0.33,0.8566688895225525,0.4535941580931346,0.3756999472777049,0.034780463203787804,0.32924479246139526,0.7592592040697733,0.7971401413281759,16.333333333333332,0.7204300959904989,0.24019454916318259,0.14932904144128165,0.556674063205719,0.24259214607827567,0.03707802469711768,0.01790625794934535,0.06889941339025968,0.004449098351889352,0.006673181654200726,0.17616280348965085,0.008152068713609684,0.006707622904934873,0.141543938198658,0.06849328934238164,0.2614445789704845,0.0018992647081513092,0.12272960539012305,0.01790625794934535,0.12038796879247204,0.11970114792738816,0.006673181654200726,0.0037645846424912924,0.0,0.055368987920312224,0.019366773954722406,0.006707622904934873,0.0037645846424912924,0.1975410065501953,0.25772426671458093,0.1322938967624699,0.018125308076222067,0.010416892596323933,0.0,0.38345407239314844,0.006168986686749724,0.010416892596323933,0.0018992647081513092,0.07311220830984795,0.008203536176128233,0.008152068713609684,0.0546565102066597,0.008658830170577801,0.009990322237043773,0.06658309409431167,0.10084303630608323,0.11305266463329491,0.22715632580272954,0.2469262671946073,0.005246279895997434,0.0,0.0,0.005246279895997434,0.06872464129654758,0.0383989033972439,0.01599364959658146,0.06518910562989533,0.10077918336325682,0.019366773954722406,1.1547005383792517,0.13036941419620776,0.047998615417056315,0.06646514007012934,0.03707416589118938
no_init_kenn_top_down_adapter_bert_ms,0.5601851840813955,0.23240379492441812,0.8165833155314127,0.46794945001602173,0.051869175086418785,0.8319749633471171,0.19333333333333336,0.8461534778277079,0.8480542699495951,0.3745924234390259,0.30088108281294507,0.5309139589468638,0.850931187470754,0.5632659792900085,0.8165833155314127,0.34274513522783917,0.20492363472779593,0.8319749633471171,0.8151503205299377,0.8978328108787537,0.2791004280249278,0.7947643200556437,0.8480542699495951,0.8151503205299377,0.6271254420280457,0.5656565626462301,0.40638332565625507,0.18763054410616556,0.8047999342282613,0.9177215099334716,0.4333333323399226,0.017856163283189137,0.8047999342282613,0.850931187470754,0.3341546456019084,0.0606259914735953,0.8461534778277079,0.6372049649556478,0.022915373245875042,0.04585046321153641,0.42143430312474567,0.2918906807899475,0.7303128441174825,0.5266666809717814,0.5642098387082418,0.8557863632837931,0.8787878751754761,0.33,0.8557863632837931,0.4499010642369588,0.3769083321094513,0.032478210205833115,0.3253435492515564,0.7447811166445414,0.7947643200556437,16.666666666666668,0.7311827937761942,0.24170503516991934,0.13556335866451263,0.5538312196731567,0.14931900606490528,0.04410220926213472,0.011934732417960961,0.0593622528627948,0.002360010118554748,0.005113822392257208,0.178978583448784,0.004709554801113069,0.004128636595739004,0.11422304210980412,0.06786385911743738,0.16216161097773882,0.00135142754176177,0.06841578580266901,0.011934732417960961,0.1511234129355315,0.08731679376155985,0.005113822392257208,0.004889145856811311,0.0,0.043885046957058124,0.012058544416272243,0.004128636595739004,0.004889145856811311,0.12299737928460858,0.19716384208192164,0.13164976113157506,0.01641038170562827,0.0072666057280287785,0.0,0.24037007896943613,0.005944201925824512,0.0072666057280287785,0.00135142754176177,0.07332530698549837,0.005074139834291347,0.004709554801113069,0.02899235148047666,0.006987496812218467,0.005569121334946432,0.06176559906750948,0.09716852484006872,0.06958555417004962,0.1270170757398414,0.15374672534702757,0.0032363910458387563,0.0,0.0,0.0032363910458387563,0.054631075851759164,0.04986911749245877,0.009920098912714895,0.05847513531796015,0.062335071867499224,0.012058544416272243,1.5275252316519463,0.0671505188827623,0.06233639945957864,0.051884413636718495,0.04002422889413873
smart_init_box_adapter_bert_ms,0.9050925970077515,0.11851400261123975,0.6924618482589722,0.38918789227803546,0.040028247982263565,0.7390644550323486,0.049999999999999996,0.783587117989858,0.7967229882876078,0.407367209593455,0.10124931360284488,0.9059139490127563,0.7935929497083029,0.350404034058253,0.6924618482589722,0.1581597998738289,0.18318811307350794,0.7390644550323486,0.7010768055915833,0.7867867350578308,0.19682950526475906,0.6867546836535136,0.7967229882876078,0.7010768055915833,0.8866966565450033,0.9292929371198019,0.2625531206528346,0.11175660664836566,0.6938262184460958,0.7797619104385376,0.9444444378217062,0.016074657440185547,0.6938262184460958,0.7935929497083029,0.20664074023564658,0.06766979147990544,0.783587117989858,0.49174095193545025,0.0249203418691953,0.028523268798987072,0.17952504505713782,0.2627687950929006,0.845738927523295,0.8733333349227905,0.9098859628041586,0.8048365116119385,0.7939394116401672,0.26,0.8048365116119385,0.20418692380189896,0.2507623831431071,0.05541851371526718,0.20648579547802606,0.8313130935033163,0.6867546836535136,12.0,0.8924731214841207,0.11851250007748604,0.10288427770137787,0.3228034923473994,0.06956008239345593,0.04949426633479688,0.0830326918069529,0.04696187945314987,0.002324710193791634,0.04871324549615296,0.03464101615137754,0.045550445643969484,0.0019233215714619999,0.032442521514745463,0.042223158304280056,0.08077949409485724,0.02328155311023522,0.03513365279190225,0.0830326918069529,0.06628919975821924,0.07271118596330445,0.04871324549615296,0.003885723896794791,0.0,0.07660115773165041,0.005158406244885588,0.0019233215714619999,0.003885723896794791,0.05261556355238409,0.04628865776970258,0.09778782026117919,0.04705982429107208,0.0022030543206017473,0.0,0.09622505633585686,0.001235403305824022,0.0022030543206017473,0.02328155311023522,0.07922321375404277,0.0024708108266246003,0.045550445643969484,0.02855868802532481,0.0019846430456345794,0.0028599181136703218,0.06936803724221208,0.020194862118481722,0.0324163582142255,0.09865766586562193,0.06576950103093313,0.0016315545478030595,0.0,0.0,0.0016315545478030595,0.07980288476508132,0.039634365920274084,0.004941613223296084,0.0790424374781787,0.03035349810845957,0.005158406244885588,4.358898943540674,0.03724840335375785,0.049542953630320165,0.04380854662628522,0.10771851480884671
smart_init_classifier_adapter_bert_ms,0.5277777910232544,0.21721719205379486,0.8149120012919108,0.4448382457097371,0.0515285295744737,0.8306475679079691,0.17333333333333334,0.8460875153541565,0.8471582134564718,0.31451412041982013,0.284841184814771,0.48924729228019714,0.8504965305328369,0.5677777727444967,0.8149120012919108,0.3473968704541524,0.14357537279526392,0.8306475679079691,0.8136101166407267,0.8978328108787537,0.23829315602779388,0.7914369304974874,0.8471582134564718,0.8136101166407267,0.59318608045578,0.4848484992980957,0.4206866721312205,0.1611946572860082,0.802332321802775,0.9177215099334716,0.31111111491918564,0.014265745567778746,0.802332321802775,0.8504965305328369,0.30546240011850995,0.059392642229795456,0.8460875153541565,0.6330202023188273,0.019240133774777252,0.04621772592266401,0.4038647413253784,0.23319891095161438,0.7152103583017985,0.5600000023841858,0.5217856168746948,0.8549860914548238,0.8787878751754761,0.33,0.8549860914548238,0.4394516944885254,0.361198623975118,0.02992928773164749,0.303168257077535,0.729629635810852,0.7914369304974874,16.666666666666668,0.7311827937761942,0.22206788758436838,0.09483881667256355,0.5399368405342102,0.1527777910232544,0.03806506875994607,0.015369671995808172,0.044304911938074884,0.0028765456664303266,0.0064528871745760845,0.17039170558842742,0.00624435335994882,0.004224270582234139,0.07891734600617696,0.0752914134558556,0.16331059323656288,0.0018378430706111589,0.08294530837763368,0.015369671995808172,0.15338583021988478,0.07885979066753626,0.0064528871745760845,0.003855313307843678,0.0,0.0661629709177719,0.012522657656820951,0.004224270582234139,0.003855313307843678,0.12773109674982425,0.26243194836182027,0.15397324137695223,0.03245839416310339,0.00653165012437426,0.0,0.23648662536756102,0.0032400053774594194,0.00653165012437426,0.0018378430706111589,0.05232216925556333,0.005139012684986788,0.00624435335994882,0.035337947677891154,0.004827700960606513,0.006751835225425837,0.07254101929156632,0.05296364213997969,0.07119742035865992,0.16370705587436207,0.159663897232056,0.0032412541014153356,0.0,0.0,0.0032412541014153356,0.06444302086653313,0.03932451244366515,0.009990387125530992,0.046141658101442086,0.06313200558114458,0.012522657656820951,1.5275252316519463,0.0671505188827623,0.04915564024281959,0.04581085001427729,0.04120756722206815
