name,test/macro_example/f1/mean,test_incremental_only/macro_types/f1/mean,test_incremental_only/macro_example_exclusive/recall/mean,test_pretraining/micro/recall/mean,test_incremental_other-product/macro_types/precision/mean,test_pretraining/micro/precision/mean,test_incremental_only/macro_example/f1/mean,test_incremental_other-product-software/macro_types/recall/mean,test_pretraining/macro_types/f1/mean,test_incremental_only/macro_types/recall/mean,test_incremental/macro_example_exclusive/precision/mean,test_incremental_other-product-weapon/macro_types/recall/mean,test_incremental/macro_example/recall/mean,test_pretraining/macro_example/precision/mean,test_pretraining/macro_types/precision/mean,test/macro_types/f1/mean,test_pretraining/macro_types/recall/mean,test_incremental/macro_types/precision/mean,test_incremental_other-product/macro_types/recall/mean,test_incremental_other-product-weapon/macro_types/f1/mean,epoch/mean,test_incremental_other-product-car/macro_types/recall/mean,test/macro_example/precision/mean,test_incremental_only/micro/f1/mean,test_incremental_only/micro/precision/mean,test_incremental/macro_types/recall/mean,test_incremental_other-product-software/macro_types/f1/mean,test_incremental_other-product-computer/macro_types/recall/mean,test_incremental_only/macro_example/precision/mean,test_incremental_other-product/macro_types/f1/mean,test_incremental_other-product-software/macro_types/precision/mean,threshold_incremental/mean,test_incremental/macro_types/f1/mean,test_incremental_only/micro/recall/mean,test_incremental_other-product-weapon/macro_types/precision/mean,test_incremental/micro/recall/mean,test_incremental/micro/precision/mean,test_incremental/macro_example/precision/mean,test_incremental/macro_example/f1/mean,test_incremental_other-product-computer/macro_types/f1/mean,test_incremental_only/macro_example_exclusive/precision/mean,test_incremental/micro/f1/mean,test_incremental_other-product-computer/macro_types/precision/mean,test_pretraining/macro_example/f1/mean,test_incremental_only/macro_example/recall/mean,test_incremental_only/macro_example_exclusive/f1/mean,test_incremental_other-product-car/macro_types/precision/mean,test/micro/recall/mean,threshold_pretraining/mean,test/macro_example/recall/mean,test_incremental/macro_example_exclusive/f1/mean,test_incremental_only/macro_types/precision/mean,test_incremental/macro_example_exclusive/recall/mean,test_incremental_other-product-car/macro_types/f1/mean,test/macro_types/recall/mean,test/macro_types/precision/mean,test_pretraining/macro_example/recall/mean,test/micro/f1/mean,test/micro/precision/mean,test_pretraining/micro/f1/mean,test/macro_example/f1/std,test_incremental_only/macro_types/f1/std,test_incremental_only/macro_example_exclusive/recall/std,test_pretraining/micro/recall/std,test_incremental_other-product/macro_types/precision/std,test_pretraining/micro/precision/std,test_incremental_only/macro_example/f1/std,test_incremental_other-product-software/macro_types/recall/std,test_pretraining/macro_types/f1/std,test_incremental_only/macro_types/recall/std,test_incremental/macro_example_exclusive/precision/std,test_incremental_other-product-weapon/macro_types/recall/std,test_incremental/macro_example/recall/std,test_pretraining/macro_example/precision/std,test_pretraining/macro_types/precision/std,test/macro_types/f1/std,test_pretraining/macro_types/recall/std,test_incremental/macro_types/precision/std,test_incremental_other-product/macro_types/recall/std,test_incremental_other-product-weapon/macro_types/f1/std,epoch/std,test_incremental_other-product-car/macro_types/recall/std,test/macro_example/precision/std,test_incremental_only/micro/f1/std,test_incremental_only/micro/precision/std,test_incremental/macro_types/recall/std,test_incremental_other-product-software/macro_types/f1/std,test_incremental_other-product-computer/macro_types/recall/std,test_incremental_only/macro_example/precision/std,test_incremental_other-product/macro_types/f1/std,test_incremental_other-product-software/macro_types/precision/std,threshold_incremental/std,test_incremental/macro_types/f1/std,test_incremental_only/micro/recall/std,test_incremental_other-product-weapon/macro_types/precision/std,test_incremental/micro/recall/std,test_incremental/micro/precision/std,test_incremental/macro_example/precision/std,test_incremental/macro_example/f1/std,test_incremental_other-product-computer/macro_types/f1/std,test_incremental_only/macro_example_exclusive/precision/std,test_incremental/micro/f1/std,test_incremental_other-product-computer/macro_types/precision/std,test_pretraining/macro_example/f1/std,test_incremental_only/macro_example/recall/std,test_incremental_only/macro_example_exclusive/f1/std,test_incremental_other-product-car/macro_types/precision/std,test/micro/recall/std,threshold_pretraining/std,test/macro_example/recall/std,test_incremental/macro_example_exclusive/f1/std,test_incremental_only/macro_types/precision/std,test_incremental/macro_example_exclusive/recall/std,test_incremental_other-product-car/macro_types/f1/std,test/macro_types/recall/std,test/macro_types/precision/std,test_pretraining/macro_example/recall/std,test/micro/f1/std,test/micro/precision/std,test_pretraining/micro/f1/std
no_init_box_kenn_bottom_up_adapter_bert_ms,0.8269209464391073,0.7604559262593588,0.647849440574646,0.7884024580319723,0.7797619104385376,0.8496931989987692,0.04121010874708494,0.3800000051657359,0.7120996316274008,0.6355262398719788,0.8656565149625143,0.7222222288449606,0.05884448687235514,0.8570265571276346,0.7660688161849976,0.7120996316274008,0.6652362744013468,0.9136808117230734,0.7939394116401672,0.8386123577753702,37.666666666666664,0.8484848539034525,0.8570265571276346,0.7299699187278748,0.9228541652361552,0.6672088702519735,0.5501066247622172,0.5913978517055511,0.042920573304096855,0.7867867350578308,1.0,0.016666666666666666,0.7711060444513956,0.6041666666666666,1.0,0.7055015961329142,0.8310598929723104,0.07046537846326828,0.06413261592388153,0.7349880735079447,0.7016128897666931,0.7631113727887472,0.9833333293596903,0.8269209464391073,0.03963163991769155,0.6736523310343424,0.8053088784217834,0.7884024580319723,0.26,0.7988588412602743,0.7878594199816386,0.947160561879476,0.722895622253418,0.8215905825297037,0.6652362744013468,0.7660688161849976,0.7988588412602743,0.8179011146227518,0.8496931989987692,0.8179011146227518,0.00011521393335695516,0.01615205855300371,0.0232802305881251,0.0005080162804813096,0.0,0.0002934725061601957,0.0013655801697576202,0.03464101752788785,0.0009660251665036196,0.02387766339130234,0.006998178407096991,0.019245025032274446,0.0006895635488998629,0.00026959822159540323,0.00032574672921912635,0.0009660251665036196,0.0018727445596913002,0.003322600473824787,0.0,0.013062256919021697,4.932882862316248,0.10925911628433667,0.00026959822159540323,0.00878397319917014,0.018874651443538962,0.01910215160501004,0.036930739187373565,0.09855002826676751,0.0013052540576461056,0.0,0.0,0.011547005383792514,0.011899943220385173,0.018373293018787068,0.0,0.008562304638683974,0.005136090388330802,0.0005696558862813782,0.0006453253176195688,0.07825057794671961,0.021336740094326213,0.0034168214873210615,0.028867520342032837,0.00011521393335695516,0.001424150469690228,0.022322807303922023,0.04510388604255404,0.0005080162804813096,0.0,0.00040608595638738583,0.007927676477488764,0.004153235758479271,0.008471211362588316,0.03179494931767867,0.0018727445596913002,0.00032574672921912635,0.00040608595638738583,0.00017284575532820244,0.0002934725061601957,0.00017284575532820244
no_init_box_kenn_hybrid_adapter_bert_ms,0.826901912689209,0.7491614023844401,0.6303763190905253,0.7878904342651367,0.7797619104385376,0.8500798940658569,0.04002272958556811,0.36666667461395264,0.7117158969243368,0.6164630055427551,0.855555514494578,0.7111111084620158,0.05826892455418905,0.8573115865389506,0.7671952446301779,0.7117158969243368,0.6637411117553711,0.9251706401507059,0.7939394116401672,0.8298628528912863,32.333333333333336,0.8181818127632141,0.8573115865389506,0.722763200600942,0.9502924084663391,0.6519583264986674,0.5361010233561198,0.5698924561341604,0.041604998211065926,0.7867867350578308,1.0,0.06333333333333334,0.7636038263638815,0.5856481393178304,1.0,0.6968716382980347,0.8380373120307922,0.06964314977327983,0.06344274307290713,0.7026183207829794,0.6801075339317322,0.7607174317042033,0.9696342349052429,0.826901912689209,0.038562736163536705,0.6542425553003947,0.8764570355415344,0.7878904342651367,0.26,0.7985765337944031,0.77938445409139,0.9615228176116943,0.7158249020576477,0.8449886441230774,0.6637411117553711,0.7671952446301779,0.7985765337944031,0.8178038398424784,0.8500798940658569,0.8178038398424784,0.0004005898605655563,0.04257509557479318,0.047253741077743,0.0015638655344196693,0.0,0.00042676792048000053,0.0034188001569512502,0.03055050476310745,0.0021237389730786645,0.06494321216699728,0.0017495446017742418,0.06938886728516516,0.0016327781633828458,0.0005303377198622012,0.002129869746941187,0.0021237389730786645,0.00509356531566385,0.021724708346779066,0.0,0.048313033262853584,4.041451884327381,0.0,0.0005303377198622012,0.0368161857828108,0.03517895960208729,0.051954615393127554,0.03250336870570958,0.189015003305053,0.0040180207997237,0.0,0.0,0.08386497083606083,0.030194621381784404,0.05655923083256405,0.0,0.026357688401610208,0.007615811879542701,0.0001424150470177469,0.0010122526616785437,0.15652131985299525,0.06568166817824223,0.014212115781189388,0.026378898984870093,0.0004005898605655563,0.002890709737852256,0.05588630236376617,0.08521675271361107,0.0015638655344196693,0.0,0.001043155417192104,0.01243528974601976,0.02715594062287824,0.020058425854133866,0.039652377278307935,0.00509356531566385,0.002129869746941187,0.001043155417192104,0.0007342014648963916,0.00042676792048000053,0.0007342014648963916
no_init_box_kenn_top_down_adapter_bert_ms,0.8265498479207357,0.7542392412821451,0.6787633895874023,0.7892344991366068,0.7797619104385376,0.8478450576464335,0.043217932184537254,0.3866666654745738,0.71092822154363,0.6689051588376363,0.8595959146817526,0.7555555701255798,0.059831167260805763,0.855486253897349,0.7599719365437826,0.71092822154363,0.6678542296091715,0.8514925638834635,0.7939394116401672,0.8603988885879517,32.666666666666664,0.8989899158477783,0.855486253897349,0.7199116547902426,0.8386045098304749,0.6939120690027872,0.5194332997004191,0.6344085931777954,0.04505837708711624,0.7867867350578308,0.8315789500872294,0.04,0.7634470264116923,0.6342592636744181,1.0,0.7195253372192383,0.8009243011474609,0.0699720432360967,0.06450236092011134,0.7253255844116211,0.7365591526031494,0.7576781312624613,0.879960318406423,0.8265498479207357,0.04152277484536171,0.7064737677574158,0.7661616206169128,0.7892344991366068,0.26,0.7995083928108215,0.7924017310142517,0.8694252173105875,0.7350168228149414,0.8205868204434713,0.6678542296091715,0.7599719365437826,0.7995083928108215,0.8174893061319987,0.8478450576464335,0.8174893061319987,0.000512362640550364,0.013293779604210281,0.025923767645405667,0.0005865871622933426,0.0,0.0019863116725842506,0.0015464645824120663,0.04163331369003153,0.0015493348646812009,0.02785211868632058,0.009257719847820383,0.03849001565179121,0.0007771440571085621,0.001584077649974481,0.00580992463550572,0.0015493348646812009,0.002184484392970043,0.05926146474205578,0.0,0.02467312136903412,3.5118845842842465,0.09741061046975369,0.001584077649974481,0.020637855632070205,0.09335300387770493,0.02228168370916089,0.045034413103171196,0.08118099722398019,0.0015071751243101803,0.0,0.20734435907147714,0.04358898943540673,0.01249151096135723,0.02121563833378802,0.0,0.00988689127265919,0.03311251228057659,0.0007535895944672369,0.0005481144206635223,0.03834515711075545,0.024637480240167188,0.009694975817055347,0.16836752649274025,0.000512362640550364,0.0015858647218694652,0.02527973571246695,0.08777859688808859,0.0005865871622933426,0.0,0.0004463710187561602,0.006733540312276529,0.07407681376140064,0.00954707915657324,0.01363878150586321,0.002184484392970043,0.00580992463550572,0.0004463710187561602,0.0006429637941410491,0.0019863116725842506,0.0006429637941410491
no_init_kenn_bottom_up_adapter_bert_ms,0.8505039016405741,0.3285521964232127,0.5497311651706696,0.8488223155339559,0.9177215099334716,0.8140459060668945,0.02111244574189186,0.5199999908606211,0.8056192994117737,0.5967644155025482,0.5423905750115713,0.4444444427887599,0.06133859356244405,0.8449410994847616,0.8141447901725769,0.8056192994117737,0.797317624092102,0.3666521708170573,0.8787878751754761,0.2067426989475886,10.666666666666666,0.6161616345246633,0.8449410994847616,0.32612480719884235,0.22757070263226828,0.6531691153844198,0.35734928647677106,0.8064516186714172,0.015416871756315231,0.8978328108787537,0.27673808733622235,0.10666666666666667,0.46770723660786945,0.5879629552364349,0.13561002165079117,0.7432578206062317,0.43625186880429584,0.0441511794924736,0.05109921842813492,0.42885152498881024,0.2520161171754201,0.5479330817858378,0.2944326202074687,0.8505039016405741,0.03362933670481046,0.3451203803221385,0.20875850319862366,0.8488223155339559,0.33,0.8561591307322184,0.6277461647987366,0.22888481120268503,0.7535353302955627,0.3107996881008148,0.797317624092102,0.8141447901725769,0.8561591307322184,0.8310428261756897,0.8140459060668945,0.8310428261756897,0.0009150805070786734,0.029434128356254335,0.14343356506461022,0.0036750787118224196,0.0,0.008237381373682982,0.005734042885734101,0.10583004726104289,0.005702226607258745,0.13851503931637824,0.05637101648884427,0.28349667358767455,0.004495290632927786,0.00404629715852009,0.0013362610550320337,0.005702226607258745,0.010863923456173988,0.013630099530383714,0.0,0.10061087192485277,0.5773502691896258,0.14320653839675423,0.00404629715852009,0.029423955465593732,0.015644974558467382,0.11081201861841428,0.031590859110548555,0.06451612710952759,0.004308101524543119,0.0,0.03603971449809007,0.09073771725877465,0.03200977896247047,0.13291553116964294,0.05924991886859512,0.06194124066184202,0.033161725769742856,0.004588659038958714,0.0016913206764224847,0.06198204308776381,0.07042355940698898,0.01625981069440107,0.058797691925395294,0.0009150805070786734,0.00877442563670194,0.09373311649068378,0.019104286543887527,0.0036750787118224196,0.0,0.002945242640618444,0.020777650458601898,0.017037616247577488,0.055223987090939654,0.03931683595437818,0.010863923456173988,0.0013362610550320337,0.002945242640618444,0.0028077699841463624,0.008237381373682982,0.0028077699841463624
no_init_kenn_hybrid_adapter_bert_ms,0.8518103361129761,0.35311082005500793,0.5430107315381368,0.8484382828076681,0.9177215099334716,0.8199630975723267,0.02452162280678749,0.5,0.8061638275782267,0.5844574769337972,0.582390546798706,0.47777777910232544,0.06103710706035296,0.8476579984029134,0.8162579337755839,0.8061638275782267,0.7963523666063944,0.3882061541080475,0.8787878751754761,0.24321648478507996,10.666666666666666,0.5858585933844248,0.8476579984029134,0.34773458043734234,0.2519932687282562,0.6433235804239908,0.3681553602218628,0.774193545182546,0.019500629355510075,0.8978328108787537,0.29799915353457135,0.16,0.48233726620674133,0.5740740795930227,0.16435185074806213,0.736785352230072,0.4701075851917267,0.04740722353259722,0.05314661065737406,0.46462464332580566,0.31877238551775616,0.5719579656918844,0.3360049327214559,0.8518103361129761,0.03321821987628937,0.40084943175315857,0.2249532788991928,0.8484382828076681,0.33,0.8560193379720052,0.6528980533281962,0.25582730770111084,0.7498316168785095,0.323655108610789,0.7963523666063944,0.8162579337755839,0.8560193379720052,0.8339331746101379,0.8199630975723267,0.8339331746101379,0.0010571215595868945,0.02953285942991359,0.1168891062274563,0.0030861694371271922,0.0,0.008218833700663078,0.003620457150181693,0.12489994822837854,0.004377451655597024,0.11072061857153633,0.058952214201631346,0.20367001874724638,0.003700351293620081,0.004008516780622944,0.0022832001137739364,0.004377451655597024,0.008683929742189792,0.02328862583013607,0.0,0.07442858760822094,0.5773502691896258,0.1147254179864929,0.004008516780622944,0.02609551173429106,0.02313931936863826,0.08857647290499573,0.034868766666047636,0.055872587824257955,0.0021697189086557866,0.0,0.034514282211742624,0.12288205727444508,0.026840636377194853,0.11161633048415798,0.04594543195358984,0.05201537875317183,0.0428927248040516,0.004798773755111906,0.0017790326427683319,0.06367866586199619,0.03546791527724548,0.02179428596933745,0.07200714724623729,0.0010571215595868945,0.007150591289858941,0.05918279355379315,0.021722215581324023,0.0030861694371271922,0.0,0.0024543649624242736,0.02185514190524647,0.029110770767623882,0.04545824850799644,0.03525658362831874,0.008683929742189792,0.0022832001137739364,0.0024543649624242736,0.003052371685002654,0.008218833700663078,0.003052371685002654
no_init_kenn_top_down_adapter_bert_ms,0.8528296748797098,0.394536813100179,0.6155914068222046,0.8504224022229513,0.9177215099334716,0.8208449482917786,0.029497491816679638,0.5799999932448069,0.8100994229316711,0.6551987727483114,0.5953535040219625,0.5777777930100759,0.06336676826079686,0.8482660452524821,0.8184867898623148,0.8100994229316711,0.8019007047017416,0.4109407663345337,0.8787878751754761,0.29728998243808746,11.666666666666666,0.6565656661987305,0.8482660452524821,0.3875288963317871,0.2787183125813802,0.6999166011810303,0.41506340106328327,0.8064515988032023,0.024338101968169212,0.8978328108787537,0.3286928137143453,0.24666666666666667,0.516711582740148,0.6458333333333334,0.20045952002207437,0.7702265381813049,0.48405711849530536,0.048462423185507454,0.05483041579524676,0.5013462603092194,0.3978494604428609,0.5930726130803426,0.3686527411142985,0.8528296748797098,0.03765827789902687,0.4821888307730357,0.2391772667566935,0.8504224022229513,0.33,0.857450008392334,0.6735833485921224,0.2842455953359604,0.778451124827067,0.34964577356974286,0.8019007047017416,0.8184867898623148,0.857450008392334,0.8353556791941324,0.8208449482917786,0.8353556791941324,0.0011409567939775014,0.03703135347632691,0.08623129790178657,0.002263794033752164,0.0,0.007349490329757564,0.004611355146526035,0.16000001132488273,0.003031384844571092,0.07156645743355984,0.039481251873517385,0.10183502563212313,0.002727452576504627,0.0029137443970047084,0.0030317672344386125,0.003031384844571092,0.005613034500651288,0.03092359550497076,0.0,0.05553705206616603,0.5773502691896258,0.046288631756102934,0.0029137443970047084,0.031477796961424595,0.031775409848570677,0.057253156762896565,0.06261214953577768,0.05587262223701564,0.004338595298876552,0.0,0.036593903989118354,0.1250333288900737,0.02661077283097657,0.08187378605778613,0.03967389694855691,0.03815479509292175,0.04408368721937605,0.003213816581690464,0.001461152792846393,0.07868310286453813,0.07092202716778133,0.028201342249106916,0.08696744434525704,0.0011409567939775014,0.005275125128958215,0.07538075575903491,0.022172467066876835,0.002263794033752164,0.0,0.0017952299865286803,0.01795011106270306,0.03865451753481635,0.03350632588074557,0.020652178690640503,0.005613034500651288,0.0030317672344386125,0.0017952299865286803,0.0032243543718720367,0.007349490329757564,0.0032243543718720367
smart_init_box_adapter_bert_ms,0.8053033749262491,0.24952849745750427,0.9408601522445679,0.7976190447807312,0.7797619104385376,0.7302418947219849,0.025828568264842033,0.9333333373069763,0.6959655483563741,0.9382861057917277,0.3310100932916005,1.0,0.0687660997112592,0.8050518234570821,0.703095277150472,0.6959655483563741,0.6889821489651998,0.27135077118873596,0.7939394116401672,0.22784224152565002,11.0,0.9595959782600403,0.8050518234570821,0.2494595249493917,0.14423167208830515,0.9094167947769165,0.32772040367126465,0.8602150479952494,0.016650221620996792,0.7867867350578308,0.19938769936561584,0.08666666666666667,0.417708824078242,0.9375,0.12884038935105005,0.860841433207194,0.2405048062403997,0.026944581419229507,0.03871768216292063,0.20082863668600717,0.27217739820480347,0.3750736316045125,0.11395593980948131,0.8053033749262491,0.05755631998181343,0.422213743130366,0.1348078871766726,0.7976190447807312,0.26,0.8055901726086935,0.4756408631801605,0.1442479838927587,0.8447811206181844,0.23594482243061066,0.6889821489651998,0.703095277150472,0.8055901726086935,0.7623281677563986,0.7302418947219849,0.7623281677563986,0.004377259107574601,0.03345387851000663,0.012318740120083677,0.0003840327262878418,0.0,0.021752920561931618,0.00037155293421752483,0.023093988743420234,0.0005658010277930538,0.012923109522315795,0.0042460428251517735,0.0,0.0004138473805235008,0.008954249430124144,0.0017405686126793403,0.0005658010277930538,0.0010135757143812363,0.017753756308468985,0.0,0.03391998356369397,0.0,0.017495480430500206,0.008954249430124144,0.03355173516865241,0.02229570425093344,0.010338495108029254,0.03711852340991185,0.01862421888325777,0.0002466700971149994,0.0,0.027838902098567594,0.025166114784235832,0.020478365938993725,0.013888895511627197,0.02137065456640145,0.006472498178504912,0.03299305549362435,0.0003456324193763959,0.00040134244699847774,0.02936720645498367,0.004032254219055176,0.04058544031218103,0.018724657552161017,0.004377259107574601,0.0007535875621550902,0.006073675080818627,0.020949571051137122,0.0003840327262878418,0.0,0.00028877747513702715,0.004930438353057725,0.02219220524178874,0.005084067954871397,0.03239739198043877,0.0010135757143812363,0.0017405686126793403,0.00028877747513702715,0.011808135231782493,0.021752920561931618,0.011808135231782493
smart_init_classifier_adapter_bert_ms,0.8499184449513754,0.3234234154224396,0.5913978318373362,0.8499743739763895,0.9177215099334716,0.8070123990376791,0.023356253281235695,0.5400000015894572,0.8070574601491293,0.6413212815920512,0.5428619186083475,0.5111111104488373,0.0626815731326739,0.8430282473564148,0.8134509126345316,0.8070574601491293,0.800812284151713,0.3595747947692871,0.8787878751754761,0.22156178454558054,11.333333333333334,0.6969697078069051,0.8430282473564148,0.3200146158536275,0.2180781066417694,0.688814620176951,0.3391958673795064,0.8172042965888977,0.017321711406111717,0.8978328108787537,0.2538731296857198,0.1466666666666667,0.46972742676734924,0.6296296318372091,0.14305752764145532,0.7626753052075704,0.4117609163125356,0.044189551224311195,0.05159815773367882,0.4050323764483134,0.2831541101137797,0.5307840903600057,0.2747221340735753,0.8499184449513754,0.03617825855811437,0.3817993899186452,0.20849963029225668,0.8499743739763895,0.33,0.8569539189338684,0.6338755091031393,0.22003811101118723,0.7700336376825968,0.3182477156321208,0.800812284151713,0.8134509126345316,0.8569539189338684,0.8278595606486002,0.8070123990376791,0.8278595606486002,0.0022471427994105726,0.023723376196139623,0.11089320454388811,0.0028823186121575617,0.0,0.016308840939255245,0.002209292809383495,0.099999994039537,0.0028695957133510353,0.10473564939817678,0.061295758361306636,0.16442941894311722,0.003494570536131994,0.006613486402555114,0.0027103170938350698,0.0028695957133510353,0.008214558361852965,0.027645473047596666,0.0,0.03646511213437586,0.5773502691896255,0.15745918622347105,0.006613486402555114,0.01988239623482288,0.031235990283053402,0.08378850674123244,0.01640206456534448,0.0492750190109349,0.0008626928768161652,0.0,0.04256507227399358,0.12897028081435405,0.004185446064218907,0.10424378875045696,0.023368537478464558,0.048579637676064574,0.06550584605987736,0.004989543252782034,0.002218240257980426,0.08236277646663587,0.014102252005104687,0.04308769343662321,0.07946781049132585,0.0022471427994105726,0.006783797677788977,0.036114791243325076,0.02729194554241708,0.0028823186121575617,0.0,0.0022715057115470717,0.027250713943246924,0.034556832134568005,0.04293028192907261,0.03930788160074365,0.008214558361852965,0.0027103170938350698,0.0022715057115470717,0.007226599366832517,0.016308840939255245,0.007226599366832517
