name,instance,run_id,test_incremental/macro_types/f1,test_incremental_other-product-car/macro_types/f1,test/macro_types/f1,test_incremental_other-product-car/macro_types/precision,test/micro/recall,test_incremental_other-product-car/macro_types/recall,test/micro/f1,test_incremental_only/macro_example_exclusive/recall,test_incremental/micro/f1,test_pretraining/macro_example/f1,test_incremental_only/macro_example/recall,test_incremental/macro_types/recall,test_incremental_only/micro/f1,test_pretraining/macro_types/f1,threshold_pretraining,test_incremental_only/macro_example/f1,test_incremental_other-product-weapon/macro_types/precision,test_incremental_other-product-software/macro_types/recall,test_pretraining/micro/f1,test_incremental_other-product-weapon/macro_types/f1,test/macro_types/recall,test_incremental_only/micro/recall,test_pretraining/macro_types/precision,test_incremental/macro_example_exclusive/f1,test_pretraining/macro_types/recall,test/macro_example/precision,test_incremental_other-product/macro_types/precision,test_incremental/macro_example/f1,test_incremental_other-product-software/macro_types/f1,test_incremental_other-product-weapon/macro_types/recall,test_incremental_other-product-computer/macro_types/recall,test_pretraining/micro/recall,test_pretraining/micro/precision,test_pretraining/macro_example/precision,test_incremental_other-product/macro_types/f1,test_incremental_other-product-software/macro_types/precision,test_incremental_only/macro_types/f1,test_pretraining/macro_example/recall,test_incremental_only/macro_types/precision,test_incremental/macro_example_exclusive/recall,test_incremental/micro/recall,test_incremental/macro_example_exclusive/precision,test/macro_example/recall,test_incremental/macro_example/recall,test_incremental_only/macro_example_exclusive/f1,test_incremental_other-product-computer/macro_types/f1,test_incremental_only/macro_example/precision,test_incremental_only/macro_example_exclusive/precision,epoch,test_incremental_only/micro/precision,test_incremental/macro_types/precision,test_incremental_other-product/macro_types/recall,threshold_incremental,test/micro/precision,test/macro_types/precision,test_incremental/macro_example/precision,test_incremental_other-product-computer/macro_types/precision,test_incremental_only/macro_types/recall,test/macro_example/f1,test_incremental/micro/precision
kenn_hybrid_adapter_bert_ms,2,3qv72qoo,0.7253413200378418,0.7111110687255859,0.8273259997367859,0.5614035129547119,0.8531106114387512,0.9696969985961914,0.8502535820007324,0.7862902879714966,0.7741935849189758,0.8588240146636963,0.04810063913464546,0.8078905344009399,0.6524390578269958,0.8273259997367859,0.33,0.05010975897312164,0.675000011920929,0.41999998688697815,0.8502535820007324,0.7714285850524902,0.8124864101409912,0.7430555820465088,0.8427178263664246,0.8130566477775574,0.8124864101409912,0.8573989272117615,0.9177215099334716,0.06618369370698929,0.5060240626335144,0.8999999761581421,0.8709677457809448,0.8531106114387512,0.8474156260490417,0.8573989272117615,0.8978328108787537,0.6363636255264282,0.6776554584503174,0.8602538108825684,0.5931917428970337,0.8353534936904907,0.8155339956283569,0.7919191122055054,0.8602538108825684,0.06799867749214172,0.819132924079895,0.6352941393852234,0.05229403078556061,0.8548387289047241,36,0.58152174949646,0.6580977439880371,0.8787878751754761,0.12,0.8474156260490417,0.8427178263664246,0.06446307897567749,0.5,0.7901661396026611,0.8588240146636963,0.7368420958518982
kenn_top_down_adapter_bert_ms,2,17940lwf,0.6660003066062927,0.5546218752861023,0.8228174448013306,0.3837209343910218,0.8527265787124634,1.0,0.8455826640129089,0.7701612710952759,0.7102272510528564,0.855858564376831,0.04711395874619484,0.8019511103630066,0.5511810779571533,0.8228174448013306,0.33,0.049121323972940445,0.4821428656578064,0.36000001430511475,0.8455826640129089,0.6279070377349854,0.8119040727615356,0.7291666865348816,0.8340281248092651,0.8185494542121887,0.8119040727615356,0.8518306016921997,0.9177215099334716,0.06663081794977188,0.4675324857234955,0.8999999761581421,0.8709677457809448,0.8527265787124634,0.8385574221611023,0.8518306016921997,0.8978328108787537,0.6666666865348816,0.5969186425209045,0.8599249124526978,0.48239731788635254,0.829292893409729,0.8090614676475525,0.808080792427063,0.8599249124526978,0.06750534474849701,0.8029751777648926,0.5454545617103577,0.051307350397109985,0.8387097120285034,54,0.4430379867553711,0.5694621801376343,0.8787878751754761,0.14,0.8385574221611023,0.8340281248092651,0.06577865779399872,0.3970588147640228,0.782741904258728,0.855858564376831,0.6329113841056824
kenn_bottom_up_adapter_bert_ms,2,22ryc3ts,0.7823762893676758,0.8493150472640991,0.8317966461181641,0.7749999761581421,0.8517665266990662,0.939393937587738,0.8526670336723328,0.7298387289047241,0.8099173903465271,0.8606472015380859,0.04464726150035858,0.7727116346359253,0.7092198729515076,0.8317966461181641,0.33,0.04687376320362091,0.9285714030265808,0.3400000035762787,0.8526670336723328,0.8965517282485962,0.809037446975708,0.6944444179534912,0.8558735251426697,0.8295024633407593,0.809037446975708,0.8621972799301147,0.9177215099334716,0.06752239912748337,0.4788732230663299,0.8666666746139526,0.8387096524238586,0.8517665266990662,0.8535693883895874,0.8621972799301147,0.8978328108787537,0.8095238208770752,0.7534877061843872,0.8591026663780212,0.7609268426895142,0.8141413927078247,0.7928802371025085,0.8454544544219971,0.8591026663780212,0.06627199053764343,0.7662348747253418,0.6499999761581421,0.04933398962020874,0.8064515590667725,37,0.7246376872062683,0.7922857999801636,0.8787878751754761,0.31,0.8535693883895874,0.8558735251426697,0.06882091611623764,0.5306122303009033,0.7461925745010376,0.8606472015380859,0.8277027010917664
kenn_hybrid_adapter_bert_ms,1,rzgru38l,0.7707374095916748,0.790123462677002,0.8307241797447205,0.6666666865348816,0.8525345325469971,0.9696969985961914,0.8528620600700378,0.7620967626571655,0.813725471496582,0.8608418107032776,0.04662061855196953,0.7756325006484985,0.7197232246398926,0.8307241797447205,0.33,0.04862707853317261,0.8275862336158752,0.5199999809265137,0.8528620600700378,0.813559353351593,0.8093238472938538,0.7222222089767456,0.8532870411872864,0.8227120637893677,0.8093238472938538,0.8619258999824524,0.9177215099334716,0.06696965545415878,0.5909090638160706,0.800000011920929,0.7096773982048035,0.8525345325469971,0.8531898260116577,0.8619258999824524,0.8978328108787537,0.6842105388641357,0.738734245300293,0.8597604632377625,0.7279492020606995,0.8262625932693481,0.8058252334594727,0.8191918730735779,0.8597604632377625,0.06725867092609406,0.7948958277702332,0.7213114500045776,0.050814010202884674,0.8306450843811035,36,0.7172414064407349,0.7659037113189697,0.8787878751754761,0.36000000000000004,0.8531898260116577,0.8532870411872864,0.06668311357498169,0.7333333492279053,0.7498435974121094,0.8608418107032776,0.8217821717262268
kenn_top_down_adapter_bert_ms,1,2vgrw8bz,0.6010095477104187,0.30136987566947937,0.8194177746772766,0.17741934955120087,0.8540706634521484,1.0,0.8352267742156982,0.818548321723938,0.6039953231811523,0.8494572043418884,0.05007399991154671,0.8279296159744263,0.42424243688583374,0.8194177746772766,0.33,0.05139489471912384,0.4393939375877381,0.5199999809265137,0.8352267742156982,0.6041666865348816,0.8144509792327881,0.7777777910232544,0.8244455456733704,0.8240641951560974,0.8144509792327881,0.8382256031036377,0.9177215099334716,0.06707973033189774,0.38235291838645935,0.9666666388511658,0.774193525314331,0.8540706634521484,0.8171964287757874,0.8382256031036377,0.8978328108787537,0.302325576543808,0.4996557831764221,0.8609938621520996,0.36021947860717773,0.8484848141670227,0.8317152261734009,0.801010012626648,0.8609938621520996,0.06906758248806,0.8401407599449158,0.6233766078948975,0.05278737097978592,0.8629032373428345,53,0.2916666567325592,0.4717199206352234,0.8787878751754761,0.08,0.8171964287757874,0.8244455456733704,0.06520309299230576,0.52173912525177,0.8152150511741638,0.8494572043418884,0.4741697311401367
kenn_bottom_up_adapter_bert_ms,1,3al76uc1,0.7921832203865051,0.8311688899993896,0.8327421545982361,0.7272727489471436,0.8525345325469971,0.9696969985961914,0.8536819815635681,0.7580645084381104,0.8272425532341003,0.8613253235816956,0.04637394845485687,0.7754174470901489,0.7455196976661682,0.8327421545982361,0.33,0.04849255830049515,0.9200000166893004,0.5199999809265137,0.8536819815635681,0.8363636136054993,0.8093027472496033,0.7222222089767456,0.8575798869132996,0.8347381353378296,0.8093027472496033,0.8629372119903564,0.9177215099334716,0.0679485946893692,0.6190476417541504,0.7666666507720947,0.7419354915618896,0.8525345325469971,0.8548324704170227,0.8629372119903564,0.8978328108787537,0.7647058963775635,0.7657707929611206,0.8597193956375122,0.7826821804046631,0.8252525329589844,0.8058252334594727,0.8444443941116333,0.8597193956375122,0.0671764463186264,0.7926968932151794,0.7301587462425232,0.050814010202884674,0.8306451439857483,36,0.770370364189148,0.8096900582313538,0.8787878751754761,0.28,0.8548324704170227,0.8575798869132996,0.06873869150876999,0.71875,0.7495747804641724,0.8613253235816956,0.849829375743866
kenn_hybrid_adapter_bert_ms,0,3gnuyqmm,0.7556981444358826,0.7441861033439636,0.8294615745544434,0.6037735939025879,0.8527265787124634,0.9696969985961914,0.8519904017448425,0.7701612710952759,0.800000011920929,0.8601911664009094,0.04711396247148514,0.784750759601593,0.695364236831665,0.8294615745544434,0.33,0.049121323972940445,0.625,0.5,0.8519904017448425,0.7142857313156128,0.8102177977561951,0.7291666865348816,0.8496416211128235,0.8242114186286926,0.8102177977561951,0.8604576587677002,0.9177215099334716,0.06709170341491699,0.5747126936912537,0.8333333134651184,0.7419354915618896,0.8527265787124634,0.8512555360794067,0.8604576587677002,0.8978328108787537,0.6756756901741028,0.7191500067710876,0.8599249124526978,0.6814694404602051,0.829292893409729,0.8090614676475525,0.8191918134689331,0.8599249124526978,0.06750533729791641,0.8029751181602478,0.7796609997749329,0.051307350397109985,0.8387096524238586,37,0.6645569801330566,0.7287198901176453,0.8787878751754761,0.22,0.8512555360794067,0.8496416211128235,0.06668310612440109,0.8214285969734192,0.7612414360046387,0.8601911664009094,0.7911392450332642
kenn_top_down_adapter_bert_ms,0,31apt49w,0.7306254506111145,0.7111110687255859,0.8269222974777222,0.5614035129547119,0.8513824939727783,0.9696969985961914,0.8509740233421326,0.725806474685669,0.7826086282730103,0.8598735928535461,0.044400591403245926,0.751847505569458,0.6577181220054626,0.8269222974777222,0.33,0.04628998041152954,0.6410256624221802,0.4000000059604645,0.8509740233421326,0.7246376276016235,0.8069919943809509,0.6805555820465088,0.8478620648384094,0.8220720291137695,0.8069919943809509,0.8608523011207581,0.9177215099334716,0.0669175535440445,0.4878048896789551,0.8333333134651184,0.6774193644523621,0.8513824939727783,0.8505659103393555,0.8608523011207581,0.8978328108787537,0.625,0.6880823969841003,0.8588971495628357,0.6587803363800049,0.8111110925674438,0.7864077687263489,0.8333332538604736,0.8588971495628357,0.06602531671524048,0.7566918134689331,0.7368420362472534,0.04834730923175812,0.7903225421905518,53,0.6363636255264282,0.7105685472488403,0.8787878751754761,0.45,0.8505659103393555,0.8478620648384094,0.06783423572778702,0.807692289352417,0.7201124429702759,0.8598735928535461,0.7788461446762085
kenn_bottom_up_adapter_bert_ms,0,1dqukj53,0.6591313481330872,0.5161290764808655,0.8235908150672913,0.35164836049079895,0.8550307154655457,0.9696969985961914,0.8378962874412537,0.8427419066429138,0.6320868730545044,0.8489083647727966,0.05155402049422264,0.8454388976097107,0.46245062351226807,0.8235908150672913,0.33,0.0526406429708004,0.4655172526836395,0.6399999856948853,0.8378962874412537,0.6136363744735718,0.8161675930023193,0.8125,0.8311502933502197,0.8270989656448364,0.8161675930023193,0.8365365266799927,0.9177215099334716,0.06732675433158875,0.27826088666915894,0.8999999761581421,0.8387096524238586,0.8550307154655457,0.8214351534843445,0.8365365266799927,0.8978328108787537,0.17777778208255768,0.5816943049430847,0.8616516590118408,0.4457055330276489,0.8595959544181824,0.8478964567184448,0.7969696521759033,0.8616516590118408,0.06997203826904297,0.860504686832428,0.8125000596046448,0.05377405136823654,0.8790322542190552,37,0.3232044279575348,0.5401087403297424,0.8787878751754761,0.05,0.8214351534843445,0.8311502933502197,0.06487419456243515,0.7878788113594055,0.8371016979217529,0.8489083647727966,0.5038461685180664
box_adapter_bert_ms,2,2dmkrulz,0.3020632565021515,0.012578616850078106,0.6705631613731384,0.007936508394777775,0.7826420664787292,0.03030303120613098,0.6808652877807617,0.3790322542190552,0.15015974640846252,0.6785293817520142,0.023186976090073586,0.4577087163925171,0.05251036584377289,0.6705631613731384,0.26,0.02541649341583252,0.012658228166401386,0.5600000023841858,0.6808652877807617,0.01834862492978573,0.6446970701217651,0.3958333432674408,0.698591411113739,0.6043758988380432,0.6446970701217651,0.5922020673751831,0.7797619104385376,0.04919686168432236,0.4000000059604645,0.03333333507180214,0.8709677457809448,0.7826420664787292,0.6025129556655884,0.5922020673751831,0.7867867350578308,0.31111112236976624,0.1409057229757309,0.7943201065063477,0.08682369440793991,0.6252524852752686,0.6084142327308655,0.5848484039306641,0.7943201065063477,0.050896234810352325,0.4154776632785797,0.030629606917500496,0.0281203743070364,0.45967739820480347,10,0.0281203743070364,0.2254113405942917,0.7939394116401672,0.99,0.6025129556655884,0.698591411113739,0.04760730266571045,0.015588914975523949,0.37365102767944336,0.6785293817520142,0.08564919978380203
