name,instance,run_id,test_pretraining/micro/precision,test_pretraining/macro_types/precision,test_incremental_only/macro_example_exclusive/f1,test/micro/f1,test_incremental_only/micro/recall,test_incremental_only/macro_types/recall,test_pretraining/macro_example/f1,test_incremental/micro/recall,test_incremental/macro_types/recall,test_pretraining/macro_types/recall,test_incremental/macro_types/precision,test_incremental_only/macro_example/precision,test_incremental_WORK_OF_ART-BOOK/macro_types/f1,test_incremental/macro_example/precision,test_incremental/macro_example_exclusive/recall,test_incremental_WORK_OF_ART-SONG/macro_types/precision,threshold_pretraining,test/macro_example/recall,test_incremental/macro_example_exclusive/f1,test_incremental_WORK_OF_ART/macro_types/recall,test_pretraining/micro/recall,test_pretraining/macro_types/f1,test/macro_example/f1,test_pretraining/micro/f1,test_incremental_only/macro_types/f1,test_pretraining/macro_example/precision,test_incremental_WORK_OF_ART/macro_types/f1,test_incremental_WORK_OF_ART-SONG/macro_types/recall,test_incremental_only/macro_example_exclusive/recall,test/micro/precision,test/macro_types/recall,test/macro_types/precision,test_incremental_only/micro/precision,test/micro/recall,test_incremental/micro/precision,test_incremental_only/macro_types/precision,test_incremental/macro_example_exclusive/precision,test_incremental_only/micro/f1,test_incremental_only/macro_example/f1,test_incremental_WORK_OF_ART-BOOK/macro_types/precision,test_incremental/micro/f1,epoch,test_incremental/macro_example/f1,test_pretraining/macro_example/recall,test_incremental_only/macro_example/recall,test_incremental_WORK_OF_ART/macro_types/precision,test/macro_types/f1,test/macro_example/precision,threshold_incremental,test_incremental/macro_types/f1,test_incremental/macro_example/recall,test_incremental_WORK_OF_ART-SONG/macro_types/f1,test_incremental_WORK_OF_ART-BOOK/macro_types/recall,test_incremental_only/macro_example_exclusive/precision
no_init_box_kenn_horizontal_adapter_bert_ms,2,c7ygecex,0.8009446859359741,0.8425116539001465,0.20388349890708923,0.8074829578399658,0.20388349890708923,0.1914728730916977,0.8312358856201172,0.46948355436325073,0.36704254150390625,0.7979389429092407,0.8771044015884399,0.019792648032307625,0.20408163964748385,0.0744580626487732,0.48181816935539246,1.0,0.175,0.8349041938781738,0.576721727848053,0.7181817889213562,0.8141289353370667,0.8196197748184204,0.8312358856201172,0.8074829578399658,0.31677743792533875,0.8275997638702393,0.7559808492660522,0.2666666805744171,0.20388349890708923,0.8009446859359741,0.7979389429092407,0.8425116539001465,0.9545454382896424,0.8141289353370667,0.8264462947845459,0.9166666269302368,0.718181848526001,0.3360000252723694,0.019792648032307625,0.8333333134651184,0.5988023281097412,43,0.05979207530617714,0.8349041938781738,0.019792648032307625,0.7979797720909119,0.8196197748184204,0.8275997638702393,0.03,0.5175186991691589,0.04995287209749222,0.4210526645183563,0.11627907305955888,0.20388349890708923
no_init_box_kenn_horizontal_adapter_bert_ms,1,ibpy85v7,0.8004059791564941,0.8485029935836792,0.1650485396385193,0.8058583736419678,0.1650485396385193,0.14496125280857086,0.8302564024925232,0.4507042169570923,0.33603477478027344,0.7927709817886353,0.9130520820617676,0.016022618860006332,0.045454543083906174,0.07398680597543716,0.4636363685131073,0.9411764740943908,0.175,0.8336474895477295,0.5620920062065125,0.7181817889213562,0.811385452747345,0.8196907639503479,0.8302564024925232,0.8058583736419678,0.25224822759628296,0.8268928527832031,0.7559808492660522,0.2666666805744171,0.1650485396385193,0.8004059791564941,0.7927709817886353,0.8485029935836792,0.9444444179534912,0.811385452747345,0.8205128312110901,0.970588207244873,0.7136363983154297,0.28099170327186584,0.016022618860006332,1.0,0.581818163394928,54,0.05827532336115837,0.8336474895477295,0.016022618860006332,0.7979797720909119,0.8196907639503479,0.8268928527832031,0.03,0.49126648902893066,0.048067860305309296,0.4155844151973725,0.02325581386685371,0.1650485396385193
no_init_box_kenn_horizontal_adapter_bert_ms,0,vfo2jzu1,0.7990623116493225,0.830049991607666,0.26213592290878296,0.8085395097732544,0.26213592290878296,0.2579457461833954,0.8317698836326599,0.4976525902748108,0.4113577604293823,0.8053248524665833,0.8023341298103333,0.02544769085943699,0.35087719559669495,0.07398680597543716,0.5090909004211426,0.8947368264198303,0.175,0.8369462490081787,0.5942548513412476,0.7181817889213562,0.8182441592216492,0.8175005316734314,0.8317698836326599,0.8085395097732544,0.3906421661376953,0.826657235622406,0.7559808492660522,0.28333333134651184,0.26213592290878296,0.7990623116493225,0.8053248524665833,0.830049991607666,0.8181818127632141,0.8182441592216492,0.8030303120613098,0.804511308670044,0.7136363983154297,0.3970588147640228,0.02544769085943699,0.7142857313156128,0.6144927740097046,54,0.06160983070731163,0.8369462490081787,0.02544769085943699,0.7979797720909119,0.8175005316734314,0.826657235622406,0.01,0.5438717603683472,0.0527803972363472,0.4303797483444214,0.23255814611911776,0.26213592290878296
no_init_box_kenn_hybrid_adapter_bert_ms,2,b50dsn1n,0.8012170195579529,0.8517708778381348,0.18446603417396543,0.80694580078125,0.18446601927280423,0.16821706295013428,0.8308847546577454,0.4600938856601715,0.35153865814208984,0.795354962348938,0.9326599836349488,0.017907634377479553,0.1304347813129425,0.0744580626487732,0.4727272391319275,1.0,0.175,0.8342758417129517,0.5701595544815063,0.7181817889213562,0.8127571940422058,0.8225967884063721,0.8308847546577454,0.80694580078125,0.28798940777778625,0.8275212049484253,0.7559808492660522,0.2666666805744171,0.18446603417396543,0.8012170195579529,0.795354962348938,0.8517708778381348,1.0,0.8127571940422058,0.8305084705352783,1.0,0.718181848526001,0.3114754259586334,0.017907634377479553,1.0,0.5921450257301331,39,0.059111740440130234,0.8342758417129517,0.017907634377479553,0.7979797720909119,0.8225967884063721,0.8275212049484253,0.04,0.5106157660484314,0.04901036620140076,0.4210526645183563,0.06976744532585144,0.18446603417396543
no_init_box_kenn_top_down_adapter_bert_ms,2,2xdqnla8,0.8002681136131287,0.8367797136306763,0.27184465527534485,0.8094915747642517,0.27184465527534485,0.2695736289024353,0.8323225378990173,0.5023474097251892,0.4191097021102905,0.8066168427467346,0.8427128195762634,0.02639019675552845,0.3859649300575256,0.07398680597543716,0.5136363506317139,0.9444444179534912,0.175,0.8372604250907898,0.5973400473594666,0.7181817889213562,0.8189300298690796,0.8214214444160461,0.8323225378990173,0.8094915747642517,0.411055326461792,0.8274426460266113,0.7559808492660522,0.28333333134651184,0.27184465527534485,0.8002681136131287,0.8066168427467346,0.8367797136306763,0.875,0.8189300298690796,0.8167939186096191,0.8650793433189392,0.7136363983154297,0.414814829826355,0.02639019675552845,0.7857142686843872,0.6220930218696594,39,0.06192969158291817,0.8372604250907898,0.02639019675552845,0.7979797720909119,0.8214214444160461,0.8274426460266113,0.02,0.5598079562187195,0.05325164645910263,0.43589743971824646,0.25581395626068115,0.27184465527534485
no_init_box_kenn_bottom_up_adapter_bert_ms,2,88p92cbw,0.8012170195579529,0.8517708778381348,0.18446603417396543,0.80694580078125,0.18446601927280423,0.16821706295013428,0.8308847546577454,0.4600938856601715,0.35153865814208984,0.795354962348938,0.9326599836349488,0.017907634377479553,0.1304347813129425,0.0744580626487732,0.4727272391319275,1.0,0.175,0.8342758417129517,0.5701595544815063,0.7181817889213562,0.8127571940422058,0.8225967884063721,0.8308847546577454,0.80694580078125,0.28798940777778625,0.8275212049484253,0.7559808492660522,0.2666666805744171,0.18446603417396543,0.8012170195579529,0.795354962348938,0.8517708778381348,1.0,0.8127571940422058,0.8305084705352783,1.0,0.718181848526001,0.3114754259586334,0.017907634377479553,1.0,0.5921450257301331,39,0.059111740440130234,0.8342758417129517,0.017907634377479553,0.7979797720909119,0.8225967884063721,0.8275212049484253,0.03,0.5106157660484314,0.04901036620140076,0.4210526645183563,0.06976744532585144,0.18446603417396543
no_init_box_kenn_hybrid_adapter_bert_ms,1,e8jqsm0y,0.8009478449821472,0.8517708778381348,0.1650485396385193,0.8061328530311584,0.1650485396385193,0.14496125280857086,0.8304938673973083,0.4507042169570923,0.33603477478027344,0.7927709817886353,0.9326599836349488,0.016022618860006332,0.045454543083906174,0.0744580626487732,0.4636363685131073,1.0,0.175,0.8336474895477295,0.5634965300559998,0.7181817889213562,0.811385452747345,0.8212125897407532,0.8304938673973083,0.8061328530311584,0.2532159984111786,0.8273640871047974,0.7559808492660522,0.2666666805744171,0.1650485396385193,0.8009478449821472,0.7927709817886353,0.8517708778381348,1.0,0.811385452747345,0.8275862336158752,1.0,0.718181848526001,0.28333330154418945,0.016022618860006332,1.0,0.583586573600769,51,0.05842094123363495,0.8336474895477295,0.016022618860006332,0.7979797720909119,0.8212125897407532,0.8273640871047974,0.3,0.49406084418296814,0.048067860305309296,0.4210526645183563,0.02325581386685371,0.1650485396385193
no_init_box_kenn_top_down_adapter_bert_ms,1,tseuf6in,0.7993333339691162,0.8321385383605957,0.3203883469104767,0.8106829524040222,0.3203883469104767,0.3244186043739319,0.8327771425247192,0.5258215665817261,0.4556730091571808,0.812710702419281,0.8148654699325562,0.031102731823921204,0.4838709831237793,0.0730443000793457,0.5363636016845703,0.8571428656578064,0.175,0.8389883637428284,0.6090575456619263,0.7181817889213562,0.8223593831062317,0.8223098516464233,0.8327771425247192,0.8106829524040222,0.4654356837272644,0.8266571760177612,0.7559808492660522,0.30000001192092896,0.3203883469104767,0.7993333339691162,0.812710702419281,0.8321385383605957,0.824999988079071,0.8223593831062317,0.8057553768157959,0.8233082890510559,0.7045454382896423,0.4615384340286255,0.031102731823921204,0.7894737124443054,0.6363636255264282,51,0.06314451992511749,0.8389883637428284,0.031102731823921204,0.7979797720909119,0.8223098516464233,0.8266571760177612,0.01,0.5844957828521729,0.05560791492462158,0.4444444477558136,0.3488371968269348,0.3203883469104767
no_init_box_kenn_bottom_up_adapter_bert_ms,1,66r4c723,0.8010825514793396,0.8517708778381348,0.17475728690624237,0.8065394759178162,0.17475728690624237,0.15658915042877197,0.8306893110275269,0.4553990662097931,0.34378671646118164,0.7940629720687866,0.9326599836349488,0.016965126618742943,0.08888888359069824,0.0744580626487732,0.4681818187236786,1.0,0.175,0.8339616656303406,0.5668408274650574,0.7181817889213562,0.8120713233947754,0.8219051957130432,0.8306893110275269,0.8065394759178162,0.27077749371528625,0.8274426460266113,0.7559808492660522,0.2666666805744171,0.17475728690624237,0.8010825514793396,0.7940629720687866,0.8517708778381348,1.0,0.8120713233947754,0.8290598392486572,1.0,0.718181848526001,0.2975206673145294,0.016965126618742943,1.0,0.5878788232803345,51,0.05876766145229339,0.8339616656303406,0.016965126618742943,0.7979797720909119,0.8219051957130432,0.8274426460266113,0.08,0.502388596534729,0.04853910952806473,0.4210526645183563,0.04651162773370743,0.17475728690624237
no_init_box_kenn_hybrid_adapter_bert_ms,0,2y4n8ccl,0.7997320890426636,0.8338696956634521,0.27184465527534485,0.8092172145843506,0.27184465527534485,0.2695736289024353,0.8322033882141113,0.5023474097251892,0.4191097021102905,0.8066168427467346,0.8252525329589844,0.0263901986181736,0.3793103396892547,0.07398680597543716,0.5136363506317139,0.9444444179534912,0.175,0.8372604250907898,0.5973400473594666,0.7181817889213562,0.8189300298690796,0.8200169205665588,0.8322033882141113,0.8092172145843506,0.408028781414032,0.8272070288658142,0.7559808492660522,0.28333333134651184,0.27184465527534485,0.7997320890426636,0.8066168427467346,0.8338696956634521,0.8484848737716675,0.8189300298690796,0.810606062412262,0.8388888835906982,0.7136363983154297,0.4117647111415863,0.02639019675552845,0.7333333492279053,0.6202898621559143,50,0.06192969903349877,0.8372604250907898,0.0263901986181736,0.7979797720909119,0.8200169205665588,0.8272070288658142,0.01,0.5559013485908508,0.05325165018439293,0.43589743971824646,0.25581395626068115,0.27184465527534485
