name,instance,run_id,test_incremental/macro_example/recall,test_incremental_only/macro_example/f1,threshold_pretraining,test_incremental_WORK_OF_ART/macro_types/precision,test_incremental_only/macro_example_exclusive/f1,test/micro/recall,test_incremental_only/macro_types/precision,test/micro/precision,test/macro_types/f1,test_pretraining/micro/precision,threshold_incremental,test_incremental/macro_example_exclusive/precision,test_incremental_WORK_OF_ART-SONG/macro_types/recall,test_incremental_only/micro/recall,test_incremental/macro_example/precision,epoch,test/macro_example/f1,test_incremental/micro/recall,test_pretraining/macro_types/precision,test_incremental_only/macro_types/recall,test_incremental_only/macro_example/precision,test_incremental_WORK_OF_ART/macro_types/recall,test_incremental_only/macro_example_exclusive/recall,test/macro_example/precision,test_incremental/macro_types/f1,test_pretraining/macro_example/recall,test_incremental_WORK_OF_ART-SONG/macro_types/f1,test_incremental_only/micro/f1,test_incremental_WORK_OF_ART-SONG/macro_types/precision,test_incremental/micro/f1,test_incremental/macro_example/f1,test_incremental/macro_types/recall,test_incremental_only/macro_example/recall,test_incremental_WORK_OF_ART-BOOK/macro_types/precision,test_pretraining/micro/recall,test_incremental_WORK_OF_ART/macro_types/f1,test_incremental_WORK_OF_ART-BOOK/macro_types/recall,test/macro_example/recall,test/macro_types/precision,test_pretraining/macro_types/recall,test_incremental/macro_example_exclusive/recall,test_incremental_WORK_OF_ART-BOOK/macro_types/f1,test_pretraining/macro_example/f1,test_incremental_only/macro_types/f1,test_incremental/macro_example_exclusive/f1,test_incremental/macro_types/precision,test_pretraining/macro_example/precision,test_incremental_only/macro_example_exclusive/precision,test/micro/f1,test/macro_types/recall,test_pretraining/micro/f1,test_pretraining/macro_types/f1,test_incremental/micro/precision,test_incremental_only/micro/precision
no_init_box_kenn_horizontal_adapter_bert_ms,2,1slg8rab,0.05466540902853012,0.029217718169093132,0.175,0.7979797720909119,0.3009709119796753,0.8209876418113708,0.9642857313156128,0.8022788166999817,0.8285365700721741,0.8022788166999817,0.05,0.718181848526001,0.30000001192092896,0.3009708821773529,0.0744580626487732,43,0.8332215547561646,0.5164319276809692,0.8478026390075684,0.3011627793312073,0.029217718169093132,0.7181817889213562,0.3009709119796753,0.8279924392700195,0.5930943489074707,0.8385170698165894,0.46153849363327026,0.4592592418193817,1.0,0.6395348906517029,0.06304477900266647,0.4401691555976868,0.029217718169093132,0.9285714030265808,0.8209876418113708,0.7559808492660522,0.302325576543808,0.8385170698165894,0.8478026390075684,0.8101267218589783,0.5272727012634277,0.45614033937454224,0.8332215547561646,0.45897871255874634,0.6080955862998962,0.9088504314422609,0.8279924392700195,0.3009709119796753,0.8115254044532776,0.8101267218589783,0.8115254044532776,0.8285365700721741,0.8396946787834167,0.96875
no_init_box_kenn_horizontal_adapter_bert_ms,1,wccq0tp2,0.0527803972363472,0.02544768713414669,0.175,0.7979797720909119,0.26213592290878296,0.8182441592216492,1.0,0.8022865056991577,0.8273162245750427,0.8022865056991577,0.04,0.718181848526001,0.3333333432674408,0.26213592290878296,0.0744580626487732,48,0.8326765298843384,0.4976525902748108,0.8517708778381348,0.24806201457977295,0.02544768899679184,0.7181817889213562,0.26213592290878296,0.8278353810310364,0.5645333528518677,0.8375746011734009,0.5,0.41538459062576294,1.0,0.6253687143325806,0.06177261844277382,0.4047686457633972,0.02544768899679184,1.0,0.8182441592216492,0.7559808492660522,0.1627907007932663,0.8375746011734009,0.8517708778381348,0.8042266368865967,0.5090909004211426,0.2800000011920929,0.8326765298843384,0.39751553535461426,0.5958248972892761,0.9326599836349488,0.8278353810310364,0.26213592290878296,0.8101868033409119,0.8042266368865967,0.8101868033409119,0.8273162245750427,0.841269850730896,1.0
no_init_box_kenn_horizontal_adapter_bert_ms,0,5jy7vyna,0.057964179664850235,0.035815268754959106,0.175,0.7979797720909119,0.36893200874328613,0.8257887363433838,0.8633540272712708,0.8005319237709045,0.82741379737854,0.8005319237709045,0.02,0.7045454382896423,0.3333333432674408,0.3689320385456085,0.0730443000793457,38,0.8337846398353577,0.5492957830429077,0.8365880250930786,0.3759689927101135,0.035815268754959106,0.7181817889213562,0.3689320385456085,0.8268143534660339,0.6194029450416565,0.8408733606338501,0.4819277226924896,0.5170068144798279,0.8695651888847351,0.6573033332824707,0.06463631987571716,0.4900399446487427,0.035815268754959106,0.8571428656578064,0.8257887363433838,0.7559808492660522,0.41860464215278625,0.8408733606338501,0.8365880250930786,0.8184385299682617,0.5590909123420715,0.5625,0.8337846398353577,0.5238252282142639,0.6234467029571533,0.8415626287460327,0.8268143534660339,0.3689320385456085,0.8129642009735107,0.8184385299682617,0.8129642009735107,0.82741379737854,0.8181818127632141,0.8636363744735718
no_init_box_kenn_hybrid_adapter_bert_ms,2,a49qjlc9,0.05513666570186615,0.030160225927829742,0.175,0.7979797720909119,0.3106796145439148,0.8216735124588013,0.9117647409439088,0.8013377785682678,0.826410710811615,0.8013377785682678,0.1,0.718181848526001,0.30000001192092896,0.3106796145439148,0.0744580626487732,44,0.8333368301391602,0.5211267471313477,0.841966986656189,0.3127906918525696,0.030160225927829742,0.7181817889213562,0.3106796145439148,0.8279138803482056,0.592256486415863,0.8388313055038452,0.46153849363327026,0.4637680947780609,1.0,0.6397694945335388,0.06335704028606415,0.44792109727859497,0.030160225927829742,0.8235294222831726,0.8216735124588013,0.7559808492660522,0.3255814015865326,0.8388313055038452,0.841966986656189,0.8114187121391296,0.531818151473999,0.46666669845581055,0.8333368301391602,0.4657878577709198,0.6111074686050415,0.8738363981246948,0.8279138803482056,0.3106796145439148,0.8113782405853271,0.8114187121391296,0.8113782405853271,0.826410710811615,0.8283582329750061,0.9142857193946838
no_init_box_kenn_top_down_adapter_bert_ms,2,1xduqpu6,0.05843544006347656,0.03675777465105057,0.175,0.7979797720909119,0.3786408007144928,0.8264746069908142,0.8290908932685852,0.7996018528938293,0.8265759348869324,0.7996018528938293,0.01,0.7227272987365723,0.30000001192092896,0.3786407709121704,0.07492931187152863,44,0.8340215086936951,0.5539906024932861,0.8327810764312744,0.3941860496997833,0.03675777465105057,0.7181817889213562,0.3786407709121704,0.8271284699440002,0.6225259304046631,0.841030478477478,0.4390243887901306,0.5199999809265137,0.8181818127632141,0.6573815941810608,0.0656624361872673,0.5021846294403076,0.03675777465105057,0.8399999737739563,0.8264746069908142,0.7559808492660522,0.4883720874786377,0.841030478477478,0.8327810764312744,0.8204626441001892,0.5636363625526428,0.6176470518112183,0.8340215086936951,0.534328818321228,0.6333441138267517,0.8187205791473389,0.8271284699440002,0.3786407709121704,0.8128162026405334,0.8204626441001892,0.8128162026405334,0.8265759348869324,0.8082191944122314,0.8297872543334961
no_init_box_kenn_bottom_up_adapter_bert_ms,2,60ue6tvy,0.05513666570186615,0.030160225927829742,0.175,0.7979797720909119,0.3106796145439148,0.8216735124588013,0.9117647409439088,0.8013377785682678,0.826410710811615,0.8013377785682678,0.05,0.718181848526001,0.30000001192092896,0.3106796145439148,0.0744580626487732,44,0.8333368301391602,0.5211267471313477,0.841966986656189,0.3127906918525696,0.030160225927829742,0.7181817889213562,0.3106796145439148,0.8279138803482056,0.592256486415863,0.8388313055038452,0.46153849363327026,0.4637680947780609,1.0,0.6397694945335388,0.06335704028606415,0.44792109727859497,0.030160225927829742,0.8235294222831726,0.8216735124588013,0.7559808492660522,0.3255814015865326,0.8388313055038452,0.841966986656189,0.8114187121391296,0.531818151473999,0.46666669845581055,0.8333368301391602,0.4657878577709198,0.6111074686050415,0.8738363981246948,0.8279138803482056,0.3106796145439148,0.8113782405853271,0.8114187121391296,0.8113782405853271,0.826410710811615,0.8283582329750061,0.9142857193946838
no_init_box_kenn_hybrid_adapter_bert_ms,1,r9v44y1h,0.05702167749404907,0.033930253237485886,0.175,0.7979797720909119,0.34951457381248474,0.824416995048523,0.8478261232376099,0.7997338771820068,0.825249195098877,0.7997338771820068,0.01,0.718181848526001,0.3333333432674408,0.34951457381248474,0.0744580626487732,33,0.8339892625808716,0.5399060845375061,0.8348627090454102,0.3527131676673889,0.033930253237485886,0.7181817889213562,0.34951457381248474,0.8275212049484253,0.6041591167449951,0.8405592441558838,0.5,0.4931507110595703,1.0,0.6478872895240784,0.06458369642496109,0.4745360612869262,0.033930253237485886,0.695652186870575,0.824416995048523,0.7559808492660522,0.3720930218696594,0.8405592441558838,0.8348627090454102,0.815854549407959,0.5499999523162842,0.4848484992980957,0.8339892625808716,0.49817514419555664,0.6229390501976013,0.8312106728553772,0.8275212049484253,0.34951457381248474,0.8118879199028015,0.815854549407959,0.8118879199028015,0.825249195098877,0.8098591566085815,0.8372092843055725
no_init_box_kenn_top_down_adapter_bert_ms,1,r16cx695,0.05843544006347656,0.03675777465105057,0.175,0.7979797720909119,0.3786408007144928,0.8264746069908142,0.865384578704834,0.8001328110694885,0.8281840085983276,0.8001328110694885,0.04,0.718181848526001,0.3333333432674408,0.3786407709121704,0.0744580626487732,34,0.834570050239563,0.5539906024932861,0.8368136882781982,0.38759690523147583,0.03675777465105057,0.7181817889213562,0.3786407709121704,0.8275997638702393,0.6259332299232483,0.8416588306427002,0.5,0.5234898924827576,1.0,0.6592178344726562,0.06548085063695908,0.4977918863296509,0.03675777465105057,0.7307692170143127,0.8264746069908142,0.7559808492660522,0.44186046719551086,0.8416588306427002,0.8368136882781982,0.8197305202484131,0.563636302947998,0.5507246255874634,0.834570050239563,0.535395622253418,0.6315924525260925,0.8429163694381714,0.8275997638702393,0.3786407709121704,0.813090443611145,0.8197305202484131,0.813090443611145,0.8281840085983276,0.8137931227684021,0.8478260636329651
no_init_box_kenn_bottom_up_adapter_bert_ms,1,ahubgw52,0.05655042454600334,0.032987743616104126,0.175,0.7979797720909119,0.33980584144592285,0.8237311244010925,0.8409091234207153,0.7996005415916443,0.8242126703262329,0.7996005415916443,0.01,0.718181848526001,0.3333333432674408,0.33980581164360046,0.0744580626487732,33,0.8337572813034058,0.5352112650871277,0.8340941667556763,0.3410852551460266,0.032987743616104126,0.7181817889213562,0.33980584144592285,0.8275212049484253,0.596642017364502,0.8400880098342896,0.5,0.48275861144065857,1.0,0.6440678238868713,0.06428033858537674,0.46678411960601807,0.032987743616104126,0.6818181872367859,0.8237311244010925,0.7559808492660522,0.3488371968269348,0.8400880098342896,0.8340941667556763,0.8145625591278076,0.5454545021057129,0.4615384340286255,0.8337572813034058,0.4853181838989258,0.6200130581855774,0.8265993595123291,0.8275212049484253,0.33980584144592285,0.811486542224884,0.8145625591278076,0.811486542224884,0.8242126703262329,0.8085106611251831,0.8333333134651184
no_init_box_kenn_hybrid_adapter_bert_ms,0,lf1t6jtm,0.06173421069979668,0.04335532337427139,0.175,0.7979797720909119,0.446601927280426,0.8312757015228271,0.8530219793319702,0.8005284070968628,0.831540048122406,0.8005284070968628,0.01,0.7045454382896423,0.38333332538604736,0.446601927280426,0.0730443000793457,37,0.8354095220565796,0.5868544578552246,0.8354400396347046,0.45910853147506714,0.04335532337427139,0.7181817889213562,0.446601927280426,0.827128529548645,0.6597686409950256,0.843858003616333,0.5348837375640869,0.5859872698783875,0.8846153616905212,0.6830601096153259,0.06691469997167587,0.5454663038253784,0.04335532337427139,0.8214285969734192,0.8312757015228271,0.7559808492660522,0.5348837375640869,0.843858003616333,0.8354400396347046,0.8276762962341309,0.5954545736312866,0.6478873491287231,0.8354095220565796,0.5969370603561401,0.6454227566719055,0.834674596786499,0.827128529548645,0.446601927280426,0.8156123757362366,0.8276762962341309,0.8156123757362366,0.831540048122406,0.8169934749603271,0.8518518805503845
