name,test_incremental/macro_example/recall/mean,test_incremental_only/macro_example/f1/mean,threshold_pretraining/mean,test_incremental_WORK_OF_ART/macro_types/precision/mean,test_incremental_only/macro_example_exclusive/f1/mean,test/micro/recall/mean,test_incremental_only/macro_types/precision/mean,test/micro/precision/mean,test/macro_types/f1/mean,test_pretraining/micro/precision/mean,threshold_incremental/mean,test_incremental/macro_example_exclusive/precision/mean,test_incremental_WORK_OF_ART-SONG/macro_types/recall/mean,test_incremental_only/micro/recall/mean,test_incremental/macro_example/precision/mean,epoch/mean,test/macro_example/f1/mean,test_incremental/micro/recall/mean,test_pretraining/macro_types/precision/mean,test_incremental_only/macro_types/recall/mean,test_incremental_only/macro_example/precision/mean,test_incremental_WORK_OF_ART/macro_types/recall/mean,test_incremental_only/macro_example_exclusive/recall/mean,test/macro_example/precision/mean,test_incremental/macro_types/f1/mean,test_pretraining/macro_example/recall/mean,test_incremental_WORK_OF_ART-SONG/macro_types/f1/mean,test_incremental_only/micro/f1/mean,test_incremental_WORK_OF_ART-SONG/macro_types/precision/mean,test_incremental/micro/f1/mean,test_incremental/macro_example/f1/mean,test_incremental/macro_types/recall/mean,test_incremental_only/macro_example/recall/mean,test_incremental_WORK_OF_ART-BOOK/macro_types/precision/mean,test_pretraining/micro/recall/mean,test_incremental_WORK_OF_ART/macro_types/f1/mean,test_incremental_WORK_OF_ART-BOOK/macro_types/recall/mean,test/macro_example/recall/mean,test/macro_types/precision/mean,test_pretraining/macro_types/recall/mean,test_incremental/macro_example_exclusive/recall/mean,test_incremental_WORK_OF_ART-BOOK/macro_types/f1/mean,test_pretraining/macro_example/f1/mean,test_incremental_only/macro_types/f1/mean,test_incremental/macro_example_exclusive/f1/mean,test_incremental/macro_types/precision/mean,test_pretraining/macro_example/precision/mean,test_incremental_only/macro_example_exclusive/precision/mean,test/micro/f1/mean,test/macro_types/recall/mean,test_pretraining/micro/f1/mean,test_pretraining/macro_types/f1/mean,test_incremental/micro/precision/mean,test_incremental_only/micro/precision/mean,test_incremental/macro_example/recall/std,test_incremental_only/macro_example/f1/std,threshold_pretraining/std,test_incremental_WORK_OF_ART/macro_types/precision/std,test_incremental_only/macro_example_exclusive/f1/std,test/micro/recall/std,test_incremental_only/macro_types/precision/std,test/micro/precision/std,test/macro_types/f1/std,test_pretraining/micro/precision/std,threshold_incremental/std,test_incremental/macro_example_exclusive/precision/std,test_incremental_WORK_OF_ART-SONG/macro_types/recall/std,test_incremental_only/micro/recall/std,test_incremental/macro_example/precision/std,epoch/std,test/macro_example/f1/std,test_incremental/micro/recall/std,test_pretraining/macro_types/precision/std,test_incremental_only/macro_types/recall/std,test_incremental_only/macro_example/precision/std,test_incremental_WORK_OF_ART/macro_types/recall/std,test_incremental_only/macro_example_exclusive/recall/std,test/macro_example/precision/std,test_incremental/macro_types/f1/std,test_pretraining/macro_example/recall/std,test_incremental_WORK_OF_ART-SONG/macro_types/f1/std,test_incremental_only/micro/f1/std,test_incremental_WORK_OF_ART-SONG/macro_types/precision/std,test_incremental/micro/f1/std,test_incremental/macro_example/f1/std,test_incremental/macro_types/recall/std,test_incremental_only/macro_example/recall/std,test_incremental_WORK_OF_ART-BOOK/macro_types/precision/std,test_pretraining/micro/recall/std,test_incremental_WORK_OF_ART/macro_types/f1/std,test_incremental_WORK_OF_ART-BOOK/macro_types/recall/std,test/macro_example/recall/std,test/macro_types/precision/std,test_pretraining/macro_types/recall/std,test_incremental/macro_example_exclusive/recall/std,test_incremental_WORK_OF_ART-BOOK/macro_types/f1/std,test_pretraining/macro_example/f1/std,test_incremental_only/macro_types/f1/std,test_incremental/macro_example_exclusive/f1/std,test_incremental/macro_types/precision/std,test_pretraining/macro_example/precision/std,test_incremental_only/macro_example_exclusive/precision/std,test/micro/f1/std,test/macro_types/recall/std,test_pretraining/micro/f1/std,test_pretraining/macro_types/f1/std,test_incremental/micro/precision/std,test_incremental_only/micro/precision/std
no_init_box_kenn_bottom_up_adapter_bert_ms,0.057807100315888725,0.035501097639401756,0.17499999999999996,0.7979797720909119,0.3656957944234212,0.8255601127942404,0.8685652812321981,0.8004889090855917,0.827387809753418,0.8004889090855917,0.023333333333333334,0.7136363784472147,0.3388888935248057,0.3656957844893138,0.07398680845896403,37.666666666666664,0.8341678778330485,0.5477308233579,0.8371670643488566,0.37099482615788776,0.035501097639401756,0.7181817889213562,0.3656957944234212,0.8275212049484253,0.6162223815917969,0.8409257729848226,0.4988074103991191,0.510837992032369,0.9615384538968405,0.655632476011912,0.06485069294770558,0.4867238402366638,0.035501097639401756,0.7755920688311259,0.8255601127942404,0.7559808492660522,0.40310077865918476,0.8409257729848226,0.8371670643488566,0.8178858558336893,0.5575757424036661,0.5253641605377197,0.8341678778330485,0.5160143673419952,0.6255144278208414,0.845036784807841,0.8275212049484253,0.3656957944234212,0.8128257195154825,0.8178858558336893,0.8128257195154825,0.827387809753418,0.8179541230201721,0.8664903044700623,0.003473661683712489,0.006947327579011408,0.0,0.0,0.07156420909779762,0.005055631277301222,0.037898882689592434,0.0008692917507418333,0.0037601407019574413,0.0008692917507418333,0.023094010767585032,0.007872985120741815,0.04194351424553623,0.07156421448862775,0.0008162362000291805,5.686240703077327,0.0010956528094017708,0.03460617710354408,0.004210971867508263,0.07760904829035017,0.006947327579011408,0.0,0.07156420909779762,0.00039267539978027344,0.0377758620210755,0.0026159718654479615,0.03668716266331925,0.06577020907190169,0.06661735198832519,0.023850057077914308,0.001846134795627718,0.0517393580766597,0.006947327579011408,0.08121735663451195,0.005055631277301222,0.0,0.11471821649748669,0.0026159718654479615,0.004210971867508263,0.008623252628678045,0.033505102686242835,0.1061391708130826,0.0010956528094017708,0.0707581803974828,0.017806839968838372,0.025265899146057803,0.00039267539978027344,0.07156420909779762,0.0024139225299878468,0.008623252628678045,0.0024139225299878468,0.0037601407019574413,0.00995859732114089,0.042415039756970994
no_init_box_kenn_horizontal_adapter_bert_ms,0.05513666197657585,0.03016022468606631,0.17499999999999996,0.7979797720909119,0.3106796145439148,0.8216735124588013,0.9425465861956278,0.8016990820566813,0.8277555306752523,0.8016990820566813,0.03666666666666667,0.7136363784472147,0.3222222328186035,0.3106796145439148,0.07398680845896403,43.0,0.8332275748252869,0.5211267669995626,0.8453871806462606,0.30839792887369794,0.030160225306948025,0.7181817889213562,0.3106796244780223,0.8275473912556967,0.5923435489336649,0.8389883438746134,0.48115540544192,0.46388354897499084,0.956521729628245,0.6407356460889181,0.06315123910705249,0.44499258200327557,0.030160225306948025,0.9285714228947958,0.8216735124588013,0.7559808492660522,0.2945736398299535,0.8389883438746134,0.8453871806462606,0.8109306295712789,0.531818171342214,0.43288011352221173,0.8332275748252869,0.4601064920425415,0.6091223955154419,0.8943576812744141,0.8275473912556967,0.3106796244780223,0.8115588029225668,0.8109306295712789,0.8115588029225668,0.8277555306752523,0.8330487807591757,0.9441287914911906,0.002623825370007607,0.005247659103538885,0.0,0.0,0.05405594478411505,0.0038187661482742465,0.0708694101051785,0.0010107960369036292,0.0006781570744698902,0.0010107960369036292,0.015275252316519466,0.007872985120741815,0.019245007825895603,0.054055963518400994,0.0008162362000291805,5.0,0.0005540795040525952,0.026139739420875285,0.007874362430757413,0.06425970203234299,0.005247658267186468,0.0,0.05405596084207756,0.0006396679790432708,0.027442500108753473,0.0016991256347900607,0.019242380919500153,0.05096868899396457,0.07530657330909617,0.016001135337333768,0.0014348159427710042,0.042839790908874395,0.005247658267186468,0.0714285671710989,0.0038187661482742465,0.0,0.1280830298696306,0.0016991256347900607,0.007874362430757413,0.007139970374489782,0.025308027811370728,0.14267915373887996,0.0005540795040525952,0.0631623981693049,0.013839501073461439,0.04724628951050019,0.0006396679790432708,0.05405596084207756,0.0013889999984537673,0.007139970374489782,0.0013889999984537673,0.0006781570744698902,0.012899238144585889,0.0714381727300166
no_init_box_kenn_hybrid_adapter_bert_ms,0.05796418463190397,0.03581526751319567,0.17499999999999996,0.7979797720909119,0.3689320385456085,0.8257887363433838,0.8708709478378296,0.8005333542823792,0.827733318010966,0.8005333542823792,0.04,0.7136363784472147,0.3388888935248057,0.3689320385456085,0.07398680845896403,38.0,0.8342452049255371,0.5492957631746928,0.8374232451121012,0.37487079699834186,0.03581526751319567,0.7181817889213562,0.3689320385456085,0.8275212049484253,0.6187280813852946,0.8410828510920206,0.4988074103991191,0.5143020252386729,0.9615384538968405,0.6569056312243143,0.06495181222756703,0.48930782079696655,0.03581526751319567,0.7802034020423889,0.8257887363433838,0.7559808492660522,0.41085272034009296,0.8410828510920206,0.8374232451121012,0.8183165192604065,0.5590908924738566,0.5331341822942098,0.8342452049255371,0.5203000207742056,0.6264897584915161,0.8465738892555237,0.8275212049484253,0.3689320385456085,0.8129595120747884,0.8183165192604065,0.8129595120747884,0.827733318010966,0.8184036215146383,0.8677822947502136,0.003398255402204209,0.006796514420642027,0.0,0.0,0.07001069366466148,0.0049458835752921254,0.03551022340242918,0.0008019621376323687,0.003347487907930747,0.0008019621376323687,0.05196152422706632,0.007872985120741815,0.04194351424553623,0.07001069366466148,0.0008162362000291805,5.5677643628300215,0.0010597843219158451,0.03385494849992603,0.0039455694223946,0.07563364298461804,0.006796514420642027,0.0,0.07001069366466148,0.00039267539978027344,0.03603697825842103,0.0025539276900883767,0.03668716266331925,0.06379588747857029,0.06661735198832519,0.02301124081414398,0.0018071711437362267,0.050422420502495804,0.006796514420642027,0.07323103411135413,0.0049458835752921254,0.0,0.10990269619328935,0.0025539276900883767,0.0039455694223946,0.008403762955800186,0.032777773733988616,0.09979409523804185,0.0010597843219158451,0.06831662284832385,0.017431018209482813,0.02367346583479859,0.00039267539978027344,0.07001069366466148,0.0023115378985297465,0.008403762955800186,0.0023115378985297465,0.003347487907930747,0.009329809300365073,0.04093321125864773
no_init_box_kenn_top_down_adapter_bert_ms,0.06094878911972046,0.04178447897235552,0.17499999999999996,0.7979797720909119,0.43042073647181195,0.8301325837771097,0.7781408429145813,0.7959950566291809,0.8263338605562845,0.7959950566291809,0.02,0.7257575988769531,0.37222222487131756,0.430420716603597,0.07524348298708598,38.333333333333336,0.8342313965161642,0.5790297190348307,0.8271199464797974,0.4419250587622325,0.04178447897235552,0.7181817889213562,0.430420716603597,0.8252434531847636,0.6308771173159281,0.8434391021728516,0.48259876171747845,0.5388021866480509,0.785072942574819,0.661642869313558,0.06730831414461136,0.534010648727417,0.04178447897235552,0.7712087829907736,0.8301325837771097,0.7559808492660522,0.5116279025872549,0.8434391021728516,0.8271199464797974,0.8257669806480408,0.5878787636756897,0.6116794347763062,0.8342313965161642,0.5526018937428793,0.649219274520874,0.7847538789113363,0.8252434531847636,0.430420716603597,0.8126705884933472,0.8257669806480408,0.8126705884933472,0.8263338605562845,0.7782594164212545,0.7651969393094381,0.0043532482625697165,0.008706507279126217,0.0,0.0,0.08968547954432918,0.00633580164677147,0.1210473039654322,0.006712229760839636,0.001982301971928377,0.006712229760839636,0.017320508075688773,0.009462109155612426,0.0976577403202084,0.08968549675070804,0.0009809918356210097,5.131601439446884,0.0002960742302489136,0.04336902202659357,0.013449704621975424,0.08845413198984535,0.008706507279126217,0.0,0.08968549675070804,0.0036806484973683357,0.011639229917090743,0.0036412688748160083,0.03799053860445308,0.02959550975340733,0.23325057200972343,0.005862849170616544,0.0030093718659161025,0.05896942668803751,0.008706507279126217,0.05988071916282365,0.00633580164677147,0.0,0.0838500241835394,0.0036412688748160083,0.013449704621975424,0.009828237781339585,0.04198912206172913,0.058200912867827505,0.0002960742302489136,0.030730645300525865,0.02902678439637716,0.08069820264362149,0.0036806484973683357,0.08968549675070804,0.0005085456171493017,0.009828237781339585,0.0005085456171493017,0.001982301971928377,0.056787450527304544,0.12781440510208
no_init_kenn_bottom_up_adapter_bert_ms,0.06471881767114003,0.049245605866114296,0.25,0.8061224222183228,0.5072775880495707,0.8438499967257181,0.7608663241068522,0.7856544057528178,0.8247850934664408,0.7856544057528178,0.32333333333333336,0.6828282872835795,0.38333332538604736,0.508090615272522,0.07079275200764339,24.0,0.8316346804300944,0.6165884137153625,0.8069251378377279,0.5327519277731577,0.049167449275652565,0.7181817889213562,0.5080906351407369,0.8124829729398092,0.6729793349901835,0.8517122069994608,0.528428832689921,0.5975868304570516,0.8699465195337931,0.6857197682062784,0.06760397801796596,0.5945619344711304,0.049324534833431244,0.6517861485481262,0.8438499967257181,0.7596153616905212,0.6821705301602682,0.8517122069994608,0.8069251378377279,0.8434659242630005,0.6242424249649048,0.6626292665799459,0.8316346804300944,0.6260148485501608,0.6520711382230123,0.7759517033894857,0.8124829729398092,0.5064725081125895,0.8137113253275553,0.8434659242630005,0.8137113253275553,0.8247850934664408,0.7726215322812399,0.7271047234535217,0.001961985460811691,0.003964064130469112,0.0,0.0,0.040833689479667624,0.002855507213575446,0.05365092663852808,0.0011901178484450027,0.005301341094208857,0.0011901178484450027,0.178978583448784,0.004870526042470165,0.03333333134651184,0.04042070953611338,0.0005049562004866929,8.888194417315589,0.0005386902799036517,0.019546158857649133,0.005961210374752031,0.053354780138916744,0.004007963690298704,0.0,0.04042069283344474,0.0006840438897448066,0.03263962352806351,0.0012566745282397292,0.014801846260582703,0.03095788079616729,0.11788469523844083,0.01329606824285713,0.0008316775577924214,0.03556986064259819,0.0039239685355231925,0.016434827753636867,0.002855507213575446,0.0,0.13426749966092352,0.0012566745282397292,0.005961210374752031,0.005928331757124456,0.01892421831122485,0.06286468069638791,0.0005386902799036517,0.0499254272507666,0.008021847865432181,0.03576732878003462,0.0006840438897448066,0.04128592146970718,0.0015321021262079961,0.005928331757124456,0.0015321021262079961,0.005301341094208857,0.010857551944114054,0.02468343716420155
no_init_kenn_horizontal_adapter_bert_ms,0.06644674763083458,0.052622073640426,0.25,0.8061224222183228,0.5420584579308828,0.8463648756345113,0.7363779743512472,0.7832133372624716,0.8253921270370483,0.7832133372624716,0.26333333333333336,0.689393937587738,0.399999996026357,0.5436893304189047,0.07147344946861267,23.0,0.8312337398529053,0.6338028113047282,0.8042042056719462,0.5720930099487305,0.05246622487902641,0.7181817889213562,0.5436893403530121,0.810451328754425,0.6808625857035319,0.8531259695688883,0.5399988492329916,0.605254610379537,0.8495543599128723,0.6875048279762268,0.06882486989100774,0.6207893093427023,0.0527803935110569,0.623201588789622,0.8463648756345113,0.7596153616905212,0.7441860437393188,0.8531259695688883,0.8042042056719462,0.8478371500968933,0.6409090558687845,0.6636269688606262,0.8312337398529053,0.6382072567939758,0.6638471285502116,0.7596261699994405,0.810451328754425,0.5404530862967173,0.8135397632916769,0.8478371500968933,0.8135397632916769,0.8253921270370483,0.7549617687861124,0.6993828614552816,0.004026390659198794,0.00783206844976006,0.0,0.0,0.080677848425307,0.005860109285267469,0.08146193313645186,0.006045775558922171,0.005653120976986487,0.006045775558922171,0.25540817005987365,0.0015151500701904297,0.04999999701976851,0.08295149104746442,0.000157088041305542,7.211102550927978,0.0012103865345774066,0.040112704955836916,0.009051329252523334,0.09572563998058156,0.007618195520740719,0.0,0.08295147535102339,0.0034774695708713653,0.0379155856429682,0.00306613241751016,0.031667051004101054,0.03928362262132426,0.0909724986448753,0.016394241055639094,0.0021460152693954584,0.06381708692483726,0.00805278502450176,0.09467773468554891,0.005860109285267469,0.0,0.18163369697637977,0.00306613241751016,0.009051329252523334,0.010636180188797128,0.03883637501616004,0.07826855422255914,0.0012103865345774066,0.05930164635036923,0.0206993082470771,0.05430794537888267,0.0034774695708713653,0.07847476541189562,0.00212156504207694,0.010636180188797128,0.00212156504207694,0.005653120976986487,0.046935294744358556,0.08378549436228462
no_init_kenn_hybrid_adapter_bert_ms,0.065347154935201,0.050422657281160355,0.25,0.8061224222183228,0.5194023648897806,0.8447644909222921,0.7477553288141886,0.7845164140065511,0.8247069319089254,0.7845164140065511,0.4200000000000001,0.6777777473131815,0.3944444457689921,0.5210356116294861,0.07026913265387218,23.666666666666668,0.8316490252812704,0.6228481928507487,0.8054683407147726,0.5460594495137533,0.050267040729522705,0.7181817889213562,0.5210356116294861,0.8120379050572714,0.6742725570996603,0.8522358536720276,0.5321831703186035,0.5983045299847921,0.847729484240214,0.685406227906545,0.06766648590564728,0.6034335692723592,0.05058121060331663,0.6477811733881632,0.8447644909222921,0.7596153616905212,0.6976744333902994,0.8522358536720276,0.8054683407147726,0.8449445168177286,0.6303030252456665,0.6615139842033386,0.8316490252812704,0.6281041502952576,0.6526740590731303,0.7672110597292582,0.8120379050572714,0.5177993575731913,0.8135165174802145,0.8449445168177286,0.8135165174802145,0.8247069319089254,0.7636650602022806,0.7117156585057577,0.003066169061143387,0.006126296302655057,0.0,0.0,0.06310681052705862,0.004462553649195401,0.06383573924231639,0.0028323197140904233,0.005255664702666157,0.0028323197140904233,0.18330302779823363,0.015327283294381948,0.03469443364258259,0.06316900946642758,0.0015890673027254237,9.291573243177568,0.0006882342480526635,0.030546525690711705,0.007092846665354057,0.07729919995831135,0.00613233449609055,0.0,0.06316900946642758,0.0012992803963909002,0.03530292769292959,0.002331678363731106,0.008159916758478386,0.030043032067862224,0.15786469452183088,0.01142461448479223,0.0010295054521877326,0.05153277963229614,0.006132334591517013,0.04749340869175277,0.004462553649195401,0.0,0.16770004836707883,0.002331678363731106,0.007092846665354057,0.008588815965667657,0.02957454951661077,0.05153628084967336,0.0006882342480526635,0.05569913161184419,0.009930006637682781,0.04255715240203398,0.0012992803963909002,0.06316901099325038,0.0010875586057953381,0.008588815965667657,0.0010875586057953381,0.005255664702666157,0.025017556143381456,0.051426333378155956
no_init_kenn_top_down_adapter_bert_ms,0.06566132605075836,0.0512095478673776,0.25,0.8061224222183228,0.5275080998738607,0.845221757888794,0.7404267986615499,0.782962421576182,0.8248056968053182,0.782962421576182,0.48000000000000004,0.6818181475003561,0.38333333532015484,0.5275080800056458,0.07068802913029988,23.666666666666668,0.8312439123789469,0.6259780923525492,0.804654061794281,0.5560077428817749,0.0512095478673776,0.7181817889213562,0.5275080998738607,0.8110796610514323,0.6764619747797648,0.8524452646573385,0.5276675621668497,0.5924591024716696,0.8668564558029175,0.681825856367747,0.06802502026160558,0.610065778096517,0.0512095478673776,0.6139971216519674,0.845221757888794,0.7596153616905212,0.7286821603775024,0.8524452646573385,0.804654061794281,0.8460498849550883,0.6333333253860474,0.6509245832761129,0.8312439123789469,0.6319945653279623,0.6561322212219238,0.7623253663380941,0.8110796610514323,0.5275080998738607,0.8128845691680908,0.8460498849550883,0.8128845691680908,0.8248056968053182,0.7512523730595907,0.6877504785855612,0.0035370206657299647,0.007074037029865216,0.0,0.0,0.07286942739559783,0.005147873250759512,0.062302045199056764,0.00432096411082192,0.006183667961256375,0.00432096411082192,0.09165151389911683,0.012026153382464084,0.01666666567325814,0.07286944460197668,0.001246819513163491,9.291573243177568,0.0007792078744040087,0.03523735620617553,0.006922442638211831,0.09014211641848674,0.007074037029865216,0.0,0.07286942739559783,0.0024766562471193673,0.0407647144435851,0.0023632253055031445,0.021284222083924907,0.02786637611655876,0.15687631972143987,0.010660377050371827,0.0012895061359840495,0.06009474500515079,0.007074037029865216,0.07160326604523796,0.005147873250759512,0.0,0.1950348058430339,0.0023632253055031445,0.006922442638211831,0.010015801940129156,0.034116119734597876,0.028072619593338066,0.0007792078744040087,0.06255582821330874,0.0124378154263361,0.04153471728442513,0.0024766562471193673,0.07286942739559783,0.0011182352777145328,0.010015801940129156,0.0011182352777145328,0.006183667961256375,0.03472377348839076,0.0646393356243126
smart_init_box_adapter_bert_ms,0.06754633784294128,0.037715522572398186,0.17499999999999996,0.7979797720909119,0.3885065019130707,0.8397347728411356,0.4153583149115245,0.7628304163614908,0.8133469621340433,0.7628304163614908,0.29333333333333333,0.5191918810208639,0.4555555482705434,0.5663430392742157,0.053827629735072456,13.666666666666666,0.8299371798833212,0.6447574098904928,0.7868107358614603,0.5882428884506226,0.02874646584192912,0.7181817889213562,0.5663430492083231,0.8115090529123942,0.5771867831548055,0.8492512305577596,0.42636017004648846,0.46422157684961957,0.4299564262231191,0.6000099976857504,0.05940316120783488,0.6315558950106303,0.05497957890232404,0.4007602135340373,0.8397347728411356,0.7559808492660522,0.7209302484989166,0.8492512305577596,0.7868107358614603,0.8420245250066122,0.6515151063601176,0.5069205661614736,0.8299371798833212,0.4705080986022949,0.572970469792684,0.5428988337516785,0.8115090529123942,0.29611651102701825,0.7992956638336182,0.8420245250066122,0.7992956638336182,0.8133469621340433,0.5702487428983053,0.4114715059598287,0.007515472476050008,0.00852855720686362,0.0,0.0,0.0878524023813781,0.010938149597319988,0.05354551856416478,0.014981354277879805,0.006347246459970112,0.014981354277879805,0.13650396819628846,0.05979253099168434,0.025458745840006514,0.1548333246285127,0.006199034662442799,2.0816659994661326,0.0010079472887514409,0.07487244982869785,0.00594948854468246,0.18136619021746575,0.005733048123405665,0.0,0.15483330749841248,0.003052286947218792,0.037233806620623526,0.005387675606981007,0.08140703213359568,0.035577796005864415,0.19057703411065188,0.0018513683780747522,0.0004808300136314308,0.12091079502811164,0.015030945847536958,0.08361794897127965,0.010938149597319988,0.0,0.34257954027614995,0.005387675606981007,0.00594948854468246,0.020151793453368053,0.07249016304226431,0.16655607964504743,0.0010079472887514409,0.04145321471836048,0.004637821220069135,0.03569698349778559,0.003052286947218792,0.05905594775231763,0.003152658769050863,0.020151793453368053,0.003152658769050863,0.006347246459970112,0.06330042332569555,0.04647637698567891
smart_init_classifier_adapter_bert_ms,0.060791704803705215,0.03108531671265761,0.25,0.8061224222183228,0.3202089766661326,0.8381344278653463,0.42218083143234253,0.7636799017588297,0.8011966347694397,0.7636799017588297,0.2733333333333334,0.5803029934565226,0.22777777910232544,0.42718445758024853,0.060163368781407676,9.333333333333334,0.8256050944328308,0.5774647891521454,0.7692933877309164,0.4666020671526591,0.02497643604874611,0.7181817889213562,0.42718446254730225,0.8045920928319296,0.5435725450515747,0.8477851152420044,0.2333461344242096,0.40647925933202106,0.2776949902375539,0.5875114997227987,0.05996303632855415,0.550461987654368,0.04147031158208847,0.5666666825612386,0.8381344278653463,0.7596153616905212,0.7054263552029928,0.8477851152420044,0.7692933877309164,0.8361159563064575,0.5863636136054993,0.6101585030555725,0.8256050944328308,0.4250863393147786,0.5783707102139791,0.5501613616943359,0.8045920928319296,0.2572815616925557,0.7990498741467794,0.8361159563064575,0.7990498741467794,0.8011966347694397,0.6115229924519857,0.4243256747722626,0.008953820914030075,0.013773173253079796,0.0,0.0,0.14187708424030163,0.013031572103511725,0.05154684142485049,0.012522021316010526,0.009735047417072906,0.012522021316010526,0.10692676621563628,0.049862089976081526,0.11097212869353518,0.18446601182222372,0.005169484462598895,0.5773502691896258,0.002554871530475589,0.08920188248157873,0.005727397881089225,0.19957216808108694,0.011319897680285919,0.0,0.18446600437164307,0.0029988119646444447,0.06613250742828171,0.007382988929748535,0.06343365458371339,0.09147359674691556,0.0835683423319323,0.02826753905350892,0.002524303832586652,0.1330481022594326,0.017907634377479553,0.033333331346516296,0.013031572103511725,0.0,0.29262923121192363,0.007382988929748535,0.005727397881089225,0.022174693777854915,0.08636361360549927,0.13914322849721883,0.002554871530475589,0.09537119325514017,0.024348037164149596,0.03436456094990033,0.0029988119646444447,0.1166059534734977,0.0032353811904110162,0.022174693777854915,0.0032353811904110162,0.009735047417072906,0.07141589911765732,0.05868173094349851
