name,test/macro_example/recall/mean,test_incremental_only/micro/recall/mean,test_incremental_only/micro/precision/mean,test_incremental_only/macro_example_exclusive/f1/mean,test_incremental_only/macro_types/f1/mean,test_incremental/macro_types/precision/mean,test_incremental_transportation/macro_types/precision/mean,test/micro/f1/mean,test_incremental/macro_types/f1/mean,test_pretraining/macro_example/recall/mean,test_incremental_only/macro_types/precision/mean,test_incremental/micro/recall/mean,test_pretraining/macro_example/f1/mean,test/micro/precision/mean,test/macro_types/precision/mean,test_incremental/macro_types/recall/mean,test_incremental_only/macro_example/precision/mean,test_incremental_only/macro_example_exclusive/recall/mean,test/macro_example/f1/mean,threshold_incremental/mean,test_incremental/macro_example/f1/mean,test_incremental_only/macro_types/recall/mean,epoch/mean,test_incremental_only/macro_example/recall/mean,test_incremental/macro_example_exclusive/f1/mean,test_incremental_transportation/macro_types/f1/mean,test_incremental_transportation-road/macro_types/recall/mean,test_incremental_transportation-road/macro_types/precision/mean,test/micro/recall/mean,threshold_pretraining/mean,test_incremental/macro_example/recall/mean,test_incremental_only/macro_example_exclusive/precision/mean,test/macro_types/recall/mean,test_pretraining/macro_types/precision/mean,test_incremental/macro_example_exclusive/precision/mean,test_pretraining/micro/recall/mean,test_pretraining/macro_types/recall/mean,test/macro_types/f1/mean,test_pretraining/micro/precision/mean,test_incremental_transportation/macro_types/recall/mean,test_incremental_transportation-road/macro_types/f1/mean,test_incremental/micro/f1/mean,test_incremental/macro_example/precision/mean,test_pretraining/macro_example/precision/mean,test_pretraining/micro/f1/mean,test/macro_example/precision/mean,test_pretraining/macro_types/f1/mean,test_incremental/micro/precision/mean,test_incremental/macro_example_exclusive/recall/mean,test_incremental_only/micro/f1/mean,test_incremental_only/macro_example/f1/mean,test/macro_example/recall/std,test_incremental_only/micro/recall/std,test_incremental_only/micro/precision/std,test_incremental_only/macro_example_exclusive/f1/std,test_incremental_only/macro_types/f1/std,test_incremental/macro_types/precision/std,test_incremental_transportation/macro_types/precision/std,test/micro/f1/std,test_incremental/macro_types/f1/std,test_pretraining/macro_example/recall/std,test_incremental_only/macro_types/precision/std,test_incremental/micro/recall/std,test_pretraining/macro_example/f1/std,test/micro/precision/std,test/macro_types/precision/std,test_incremental/macro_types/recall/std,test_incremental_only/macro_example/precision/std,test_incremental_only/macro_example_exclusive/recall/std,test/macro_example/f1/std,threshold_incremental/std,test_incremental/macro_example/f1/std,test_incremental_only/macro_types/recall/std,epoch/std,test_incremental_only/macro_example/recall/std,test_incremental/macro_example_exclusive/f1/std,test_incremental_transportation/macro_types/f1/std,test_incremental_transportation-road/macro_types/recall/std,test_incremental_transportation-road/macro_types/precision/std,test/micro/recall/std,threshold_pretraining/std,test_incremental/macro_example/recall/std,test_incremental_only/macro_example_exclusive/precision/std,test/macro_types/recall/std,test_pretraining/macro_types/precision/std,test_incremental/macro_example_exclusive/precision/std,test_pretraining/micro/recall/std,test_pretraining/macro_types/recall/std,test/macro_types/f1/std,test_pretraining/micro/precision/std,test_incremental_transportation/macro_types/recall/std,test_incremental_transportation-road/macro_types/f1/std,test_incremental/micro/f1/std,test_incremental/macro_example/precision/std,test_pretraining/macro_example/precision/std,test_pretraining/micro/f1/std,test/macro_example/precision/std,test_pretraining/macro_types/f1/std,test_incremental/micro/precision/std,test_incremental/macro_example_exclusive/recall/std,test_incremental_only/micro/f1/std,test_incremental_only/macro_example/f1/std
box_adapter_bert_ms,0.9062455892562866,1.0,0.011409643106162548,1.0,0.02256186306476593,0.4734467566013336,0.9354838728904724,0.6880027651786804,0.6358283162117004,0.9062455892562866,0.011409643106162548,0.9677419066429138,0.6910814046859741,0.5642105340957642,0.8726558089256287,0.9677419662475586,0.010786360129714012,1.0,0.6910814046859741,0.9899999999999999,0.01060953550040722,1.0,5.0,0.010786360129714012,0.9836065173149108,0.9354838728904724,1.0,0.011409643106162548,0.8813856840133667,0.25,0.010438414290547373,1.0,0.8198940753936768,0.8726558089256287,1.0,0.8813856840133667,0.8198940753936768,0.8454525470733643,0.5642105340957642,0.9354838728904724,0.02256186306476593,0.04270462319254875,0.010786360129714012,0.5584840774536133,0.6880027651786804,0.5584840774536133,0.8454525470733643,0.021834060549736023,0.9677419066429138,0.02256186306476593,0.010786360129714012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
classifier_adapter_bert_ms,0.9139720400174459,0.8602150281270345,0.04604573920369148,0.8602150281270345,0.08656602973739307,0.4746357599894206,0.9032257795333862,0.840490480264028,0.6170729200045267,0.9139720400174459,0.04604573920369148,0.8817204236984253,0.8741817474365234,0.7912916938463846,0.8871245582898458,0.8817204236984253,0.009278590170045694,0.8602150281270345,0.8741817474365234,0.94,0.009679331754644712,0.8602150281270345,5.0,0.009278590170045694,0.8973676760991415,0.9032257795333862,0.8602150281270345,0.04604573920369148,0.8986333211263021,0.375,0.009510554683705172,0.8602150281270345,0.8615138530731201,0.8871245582898458,0.9139784574508667,0.8986333211263021,0.8615138530731201,0.8741316000620524,0.7912916938463846,0.9032257795333862,0.08656602973739307,0.15777632842461267,0.009858502075076103,0.8393354415893555,0.840490480264028,0.8393354415893555,0.8741316000620524,0.08812714864810307,0.8817204236984253,0.08656602973739307,0.009278590170045694,0.00013393445299196482,0.03724840335375787,0.027245340559000207,0.03724840335375787,0.049193836416637604,0.013622676047036463,0.0,0.03954242498082273,0.01578936271304033,0.00013393445299196482,0.027245340559000207,0.01862418447050008,0.035941345228218465,0.06860446860079103,0.0005449137025627503,0.01862418447050008,0.0004017748609105587,0.03724840335375787,0.035941345228218465,0.05567764362830023,9.887856211712196e-05,0.03724840335375787,0.0,0.0004017748609105587,0.009166953530556382,0.0,0.03724840335375787,0.027245340559000207,0.00025317465844322507,0.0,0.00020088769930494898,0.03724840335375787,0.0007449673788200032,0.0005449137025627503,0.01862418447050008,0.00025317465844322507,0.0007449673788200032,0.0006337272245800123,0.06860446860079103,0.0,0.049193836416637604,0.08016402163250468,0.00020088716160560972,0.06488745570721177,0.03954242498082273,0.06488745570721177,0.0006337272245800123,0.048334025137134064,0.01862418447050008,0.049193836416637604,0.0004017748609105587
kenn_bottom_up_adapter_bert_ms,0.9140783548355103,0.8924731016159058,0.48883483310540515,0.8924731016159058,0.555676539738973,0.6960302988688151,0.9032257795333862,0.8936758438746134,0.7719391783078512,0.9140783548355103,0.48883483310540515,0.897849460442861,0.913435161113739,0.8891573150952657,0.8959803183873495,0.897849440574646,0.00962653694053491,0.8924731016159058,0.913435161113739,0.12,0.009883150458335876,0.8924731016159058,43.0,0.00962653694053491,0.9162636597951254,0.9032257795333862,0.8924731016159058,0.48883483310540515,0.8988525867462158,0.375,0.009684528224170208,0.8924731016159058,0.862159013748169,0.8959803183873495,0.9354838331540426,0.8988525867462158,0.862159013748169,0.8787304957707723,0.8891573150952657,0.9032257795333862,0.555676539738973,0.6305606961250305,0.01009046658873558,0.9130151669184366,0.8936758438746134,0.9130151669184366,0.8787304957707723,0.5689118554194769,0.897849460442861,0.555676539738973,0.00962653694053491,0.00022522134601051424,0.06715050933838057,0.36580306941347085,0.06715050933838057,0.3640244717617801,0.18290152481583954,0.0,0.019956245665677042,0.11363444188725295,0.00022522134601051424,0.36580306941347085,0.03357525944138116,0.012186750326054442,0.03938769505792425,0.0073160353076216185,0.03357522603604409,0.0007243094837098338,0.06715050933838057,0.012186750326054442,0.11532562594670795,0.00035198519004635666,0.06715050933838057,13.228756555322953,0.0007243094837098338,0.03263242033031742,0.0,0.06715050933838057,0.36580306941347085,0.0004564123344410722,0.0,0.00036215492826863975,0.06715050933838057,0.0013430090414417637,0.0073160353076216185,0.03225806355476838,0.0004564123344410722,0.0013430090414417637,0.0028325193214388056,0.03938769505792425,0.0,0.3640244717617801,0.3453870478277636,0.00034794677048921585,0.024369782548264635,0.019956245665677042,0.024369782548264635,0.0028325193214388056,0.38027709471809923,0.03357525944138116,0.3640244717617801,0.0007243094837098338
kenn_horizontal_adapter_bert_ms,0.912986179192861,0.5268817047278086,0.21244291557619968,0.5268817047278086,0.24933726092179617,0.5578343470891317,0.9032257795333862,0.8314730723698934,0.6251171628634135,0.912986179192861,0.21244291557619968,0.7150537768999735,0.8620144923528036,0.7801226576169332,0.8904524842898051,0.7150537570317587,0.005683136327813069,0.5268817047278086,0.8620144923528036,0.69,0.008692046316961447,0.5268817047278086,45.666666666666664,0.005683136327813069,0.8058367371559143,0.9032257795333862,0.5268817047278086,0.21244291557619968,0.8963677485783895,0.375,0.007712827684978644,0.5268817047278086,0.8548471927642822,0.8904524842898051,0.9354838132858276,0.8963677485783895,0.8548471927642822,0.8722860813140869,0.7801226576169332,0.9032257795333862,0.24933726092179617,0.30564908559123677,0.01009046658873558,0.8195488452911377,0.8314730723698934,0.8195488452911377,0.8722860813140869,0.2670040198912223,0.7150537371635437,0.24933726092179617,0.005683136327813069,0.000805820246943043,0.27435162240805144,0.3521320164106909,0.27435162240805144,0.40096910181820367,0.17606600863604363,0.0,0.06344759448799181,0.16239454348519122,0.000805820246943043,0.3521320164106909,0.13717580828391318,0.05007640689293848,0.11340519272366824,0.007042662337392073,0.13717581996436617,0.002959255845545992,0.27435162240805144,0.05007640689293848,0.5196152422706632,0.0009177602923903133,0.27435162240805144,12.741009902410928,0.002959255845545992,0.08508521250005868,0.0,0.27435162240805144,0.3521320164106909,0.0018646858960049727,0.0,0.001479627836082147,0.27435162240805144,0.005487027378845269,0.007042662337392073,0.0,0.0018646858960049727,0.005487027378845269,0.006212149224281308,0.11340519272366824,0.0,0.40096910181820367,0.4281260487352768,0.0,0.09206670929315858,0.06344759448799181,0.09206670929315858,0.006212149224281308,0.4093908367702053,0.13717578609105716,0.40096910181820367,0.002959255845545992
kenn_hybrid_adapter_bert_ms,0.9136337637901306,0.7419354716936747,0.11063623211036126,0.7419354716936747,0.16745475182930628,0.5069310069084167,0.9032257795333862,0.824029008547465,0.6229169567426046,0.9136337637901306,0.11063623211036126,0.8225806355476379,0.853915790716807,0.7668206294377645,0.8884163697560629,0.8225806355476379,0.008002783637493849,0.7419354716936747,0.853915790716807,0.48333333333333334,0.009440476074814796,0.7419354716936747,39.666666666666664,0.008002783637493849,0.875223437945048,0.9032257795333862,0.7419354716936747,0.11063623211036126,0.8978294134140015,0.375,0.008872651495039463,0.7419354716936747,0.8591482639312744,0.8884163697560629,0.9462365309397379,0.8978294134140015,0.8591482639312744,0.8735295931498209,0.7668206294377645,0.9032257795333862,0.16745475182930628,0.24483955527345339,0.010206448845565319,0.8054995139439901,0.824029008547465,0.8054995139439901,0.8735295931498209,0.17665300766626993,0.8225806355476379,0.16745475182930628,0.008002783637493849,0.0009409233457536154,0.3177050930160397,0.16609115910152572,0.3177050930160397,0.24010351933505275,0.08304559125048713,0.0,0.06671656756990682,0.08894426766503279,0.0009409233457536154,0.16609115910152572,0.1588525510469712,0.056572234386519565,0.1183017034538238,0.003321843561653163,0.1588525510469712,0.003426881503873198,0.3177050930160397,0.056572234386519565,0.49084960357866575,0.0011460234794849597,0.3177050930160397,13.051181300301261,0.003426881503873198,0.1062475080611187,0.0,0.3177050930160397,0.16609115910152572,0.002159339396595896,0.0,0.0017134403618704831,0.3177050930160397,0.006354095747866693,0.003321843561653163,0.0492750255143387,0.002159339396595896,0.006354095747866693,0.0040592218112202845,0.1183017034538238,0.0,0.24010351933505275,0.3105470397256134,0.0005314974711940862,0.1027164672403244,0.06671656756990682,0.1027164672403244,0.0040592218112202845,0.2467388265650147,0.1588525510469712,0.24010351933505275,0.003426881503873198
kenn_top_down_adapter_bert_ms,0.9136724273363749,0.7526881694793701,0.1296296613290906,0.7526881694793701,0.18715394102036953,0.5164277156194051,0.9032257795333862,0.8107337156931559,0.6310930848121643,0.9136724273363749,0.1296296613290906,0.8279569745063782,0.8381615082422892,0.7472017208735148,0.8887962102890015,0.8279569745063782,0.008118765894323587,0.7526881694793701,0.8381615082422892,0.4766666666666666,0.00952620804309845,0.7526881694793701,42.333333333333336,0.008118765894323587,0.8831715981165568,0.9032257795333862,0.7526881694793701,0.1296296613290906,0.8979025085767111,0.375,0.008930642778674761,0.7526881694793701,0.859363317489624,0.8887962102890015,0.9569892088572184,0.8979025085767111,0.859363317489624,0.8738240202267965,0.7472017208735148,0.9032257795333862,0.18715394102036953,0.25690720851222676,0.010322431102395058,0.7813345789909363,0.8107337156931559,0.7813345789909363,0.8738240202267965,0.19400208132962385,0.8279569745063782,0.18715394102036953,0.008118765894323587,0.0009592127026026124,0.3231178395166255,0.20373475754752393,0.3231178395166255,0.28334827717849276,0.10186737001128078,0.0,0.0842304777422054,0.1029843255718534,0.0009592127026026124,0.20373475754752393,0.1615589197583128,0.07827116818771865,0.14414948592283472,0.0040747034713836915,0.1615589197583128,0.003485265247387039,0.3231178395166255,0.07827116818771865,0.4916638417997945,0.0011694208340797467,0.3231178395166255,10.96965511460289,0.003485265247387039,0.10841666601432988,0.0,0.3231178395166255,0.20373475754752393,0.0021961346892141924,0.0,0.0017426323137687903,0.3231178395166255,0.006462350482744065,0.0040747034713836915,0.03724843776651559,0.0021961346892141924,0.006462350482744065,0.00440145147538794,0.14414948592283472,0.0,0.28334827717849276,0.34796201146972855,0.00040177432321121943,0.1355148169659628,0.0842304777422054,0.1355148169659628,0.00440145147538794,0.28562803032756123,0.1615589197583128,0.28334827717849276,0.003485265247387039
