name,instance,run_id,test/macro_example/recall,test_incremental/macro_types/precision,test_incremental_transportation/macro_types/f1,test_incremental_only/macro_example_exclusive/f1,test/micro/precision,test_incremental_transportation-road/macro_types/f1,test/macro_example/precision,test_incremental/macro_types/recall,test_incremental/macro_example_exclusive/f1,test_incremental/macro_example_exclusive/recall,test_pretraining/macro_example/f1,test_incremental/micro/f1,test_pretraining/macro_types/precision,test/micro/f1,threshold_pretraining,test_pretraining/macro_types/recall,test_incremental/macro_example_exclusive/precision,test_incremental_transportation/macro_types/recall,test/macro_types/recall,test_pretraining/micro/recall,test_incremental_transportation-road/macro_types/precision,test/macro_example/f1,test_incremental_transportation/macro_types/precision,test_incremental/macro_types/f1,test_incremental/macro_example/f1,test_incremental_only/macro_example/precision,test_incremental_only/macro_example_exclusive/precision,test/micro/recall,test_incremental_only/micro/f1,test_incremental_only/micro/precision,test_incremental_transportation-road/macro_types/recall,test_pretraining/micro/precision,test_incremental/macro_example/recall,test_incremental/macro_example/precision,test_incremental_only/macro_example/recall,epoch,test_incremental_only/macro_example/f1,test_incremental_only/macro_types/precision,test_incremental/micro/recall,test_incremental_only/macro_types/f1,test_incremental_only/macro_types/recall,test_incremental_only/macro_example_exclusive/recall,test/macro_types/f1,test/macro_types/precision,test_pretraining/macro_types/f1,test_incremental/micro/precision,test_incremental_only/micro/recall,test_pretraining/macro_example/precision,test_pretraining/micro/f1,test_pretraining/macro_example/recall,threshold_incremental
kenn_horizontal_adapter_bert_ms,2,3tqnq2p6,0.914242684841156,0.7601234912872314,0.9032257795333862,0.9354838132858276,0.9107261896133424,0.7435897588729858,0.9257423281669616,0.9193547964096068,0.9273492097854614,0.9193547964096068,0.9199565649032592,0.8142857551574707,0.8985440731048584,0.904898464679718,0.375,0.8630192279815674,0.9354838132858276,0.9032257795333862,0.8630192279815674,0.8991449475288391,0.6170212626457214,0.9199565649032592,0.9032257795333862,0.832190752029419,0.010002723895013332,0.01009046658873558,0.9354838132858276,0.8991449475288391,0.7435897588729858,0.6170212626457214,0.9354838728904724,0.9107261896133424,0.009916492737829683,0.01009046658873558,0.01009046658873558,22,0.01009046658873558,0.6170212626457214,0.9193548560142516,0.7435897588729858,0.9354838728904724,0.9354838132858276,0.8804234862327576,0.8985440731048584,0.8804234862327576,0.7307692170143127,0.9354838728904724,0.9257423281669616,0.904898464679718,0.914242684841156,0.05
kenn_horizontal_adapter_bert_ms,1,3582pz1i,0.9138947129249572,0.7016128897666931,0.9032257795333862,0.8387096524238586,0.9090505838394164,0.6265060305595398,0.926148235797882,0.8709677457809448,0.8868034482002258,0.8709676861763,0.9199807047843932,0.7448275685310364,0.8962036371231079,0.9037379622459412,0.375,0.8610837459564209,0.9032257795333862,0.9032257795333862,0.8610837459564209,0.8984871506690979,0.5,0.9199807047843932,0.9032257795333862,0.77717125415802,0.0095653822645545,0.009046625345945358,0.8387096524238586,0.8984871506690979,0.6265060305595398,0.5,0.8387096524238586,0.9090505838394164,0.009394572116434574,0.009742519818246365,0.009046625345945358,23,0.009046625345945358,0.5,0.8709677457809448,0.6265060305595398,0.8387096524238586,0.8387096524238586,0.8782927989959717,0.8962036371231079,0.8782927989959717,0.650602400302887,0.8387096524238586,0.926148235797882,0.9037379622459412,0.9138947129249572,0.33
kenn_horizontal_adapter_bert_ms,0,2qkxe6x9,0.914242684841156,0.7811583280563354,0.9032257795333862,0.9354838132858276,0.9113333225250244,0.7733333110809326,0.9259742498397828,0.9193547964096068,0.9273492097854614,0.9193547964096068,0.9200711250305176,0.8321167230606079,0.8993854522705078,0.9051981568336488,0.375,0.8630192279815674,0.9354838132858276,0.9032257795333862,0.8630192279815674,0.8991449475288391,0.6590909361839294,0.9200711250305176,0.9032257795333862,0.8446410894393921,0.010002723895013332,0.01009046658873558,0.9354838132858276,0.8991449475288391,0.7733333110809326,0.6590909361839294,0.9354838728904724,0.9113333225250244,0.009916492737829683,0.01009046658873558,0.01009046658873558,23,0.01009046658873558,0.6590909361839294,0.9193548560142516,0.7733333110809326,0.9354838728904724,0.9354838132858276,0.8808271288871765,0.8993854522705078,0.8808271288871765,0.7599999904632568,0.9354838728904724,0.9259742498397828,0.9051981568336488,0.914242684841156,0.1
kenn_hybrid_adapter_bert_ms,2,31ttcobk,0.913604736328125,0.46066799759864807,0.9032257795333862,0.7419354915618896,0.7151589393615723,0.03535741567611694,0.766365110874176,0.8225806355476379,0.8754068613052368,0.8225805759429932,0.8335325717926025,0.0748349204659462,0.8865658044815063,0.7961505055427551,0.375,0.8591482639312744,0.9354838132858276,0.9032257795333862,0.8591482639312744,0.8978294134140015,0.018110236153006554,0.8335325717926025,0.9032257795333862,0.5905894637107849,0.00944245420396328,0.008002784103155136,0.7419354915618896,0.8978294134140015,0.03535741567611694,0.018110236153006554,0.7419354915618896,0.7151589393615723,0.008872650563716888,0.01009046658873558,0.008002784103155136,13,0.008002784103155136,0.018110236153006554,0.8225806355476379,0.03535741567611694,0.7419354915618896,0.7419354915618896,0.8726416826248169,0.8865658044815063,0.8726416826248169,0.039200615137815475,0.7419354915618896,0.766365110874176,0.7961505055427551,0.913604736328125,0.99
kenn_top_down_adapter_bert_ms,2,3g3t8sy5,0.9137787222862244,0.46143993735313416,0.9032257795333862,0.8064515590667725,0.7152583599090576,0.03837298601865768,0.766365110874176,0.8548387289047241,0.8933448791503906,0.8548386693000793,0.8336049318313599,0.07765568047761917,0.8865966796875,0.7963844537734985,0.375,0.8604385852813721,0.9354838132858276,0.9032257795333862,0.8604385852813721,0.898267924785614,0.019654087722301483,0.8336049318313599,0.9032257795333862,0.5993514060974121,0.009635940194129944,0.008698677644133568,0.8064515590667725,0.898267924785614,0.03837298601865768,0.019654087722301483,0.8064516186714172,0.7152583599090576,0.00922059826552868,0.01009046658873558,0.008698677644133568,13,0.008698677644133568,0.019654087722301483,0.8548387289047241,0.03837298601865768,0.8064516186714172,0.8064515590667725,0.8733217716217041,0.8865966796875,0.8733217716217041,0.040675364434719086,0.8064516186714172,0.766365110874176,0.7963844537734985,0.9137787222862244,0.99
kenn_bottom_up_adapter_bert_ms,2,2a5fmrnw,0.9144166707992554,0.4729333817958832,0.9032257795333862,1.0,0.7916264533996582,0.08179419487714767,0.8438413739204407,0.9516128897666932,0.9752065539360046,0.9516128897666932,0.8777125477790833,0.14390243589878082,0.8870564699172974,0.8421592712402344,0.375,0.864309549331665,1.0,0.9032257795333862,0.864309549331665,0.8995833992958069,0.04264099150896072,0.8777125477790833,0.9032257795333862,0.6318495869636536,0.010518929921090605,0.010786360129714012,1.0,0.8995833992958069,0.08179419487714767,0.04264099150896072,1.0,0.7916264533996582,0.0102644395083189,0.010786360129714012,0.010786360129714012,14,0.010786360129714012,0.04264099150896072,0.9516128897666932,0.08179419487714767,1.0,1.0,0.8755353093147278,0.8870564699172974,0.8755353093147278,0.07783640921115875,1.0,0.8438413739204407,0.8421592712402344,0.9144166707992554,0.01
kenn_hybrid_adapter_bert_ms,1,zzx4y15c,0.9141266942024232,0.603786826133728,0.9032257795333862,0.9032257795333862,0.9014951586723328,0.4552845358848572,0.9215089082717896,0.9032257795333862,0.9032257795333862,0.9032257795333862,0.9178029298782348,0.6054053902626038,0.8922905921936035,0.900208592414856,0.375,0.8623740673065186,0.9032257795333862,0.9032257795333862,0.8623740673065186,0.8989256620407104,0.30434781312942505,0.9178029298782348,0.9032257795333862,0.7237575054168701,0.009742519818246365,0.009742519818246365,0.9032257795333862,0.8989256620407104,0.4552845358848572,0.30434781312942505,0.9032257795333862,0.9014951586723328,0.009742519818246365,0.009742519818246365,0.009742519818246365,12,0.009742519818246365,0.30434781312942505,0.9032257795333862,0.4552845358848572,0.9032257795333862,0.9032257795333862,0.8770772814750671,0.8922905921936035,0.8770772814750671,0.4552845656871796,0.9032257795333862,0.9215089082717896,0.900208592414856,0.9141266942024232,0.48
kenn_top_down_adapter_bert_ms,1,1yt3m9pr,0.9140107035636902,0.50649094581604,0.9032257795333862,0.8709677457809448,0.8717566728591919,0.19494584202766416,0.905480146408081,0.8870967626571655,0.8950886130332947,0.8870967626571655,0.9097253680229188,0.3244837820529938,0.8883987665176392,0.8850264549255371,0.375,0.8617289066314697,0.9032257795333862,0.9032257795333862,0.8617289066314697,0.8987064361572266,0.10975609719753264,0.9097253680229188,0.9032257795333862,0.6448197960853577,0.009654749184846878,0.009394572116434574,0.8709677457809448,0.8987064361572266,0.19494584202766416,0.10975609719753264,0.8709677457809448,0.8717566728591919,0.00956854596734047,0.009742519818246365,0.009394572116434574,12,0.009394572116434574,0.10975609719753264,0.8870967626571655,0.19494584202766416,0.8709677457809448,0.8709677457809448,0.8748606443405151,0.8883987665176392,0.8748606443405151,0.19855596125125885,0.8709677457809448,0.905480146408081,0.8850264549255371,0.9140107035636902,0.77
kenn_bottom_up_adapter_bert_ms,1,akjh35yh,0.9140107035636902,0.5907881259918213,0.9032257795333862,0.8709677457809448,0.900285542011261,0.421875,0.9211030006408693,0.8870967626571655,0.8950886130332947,0.8870967626571655,0.9175431132316588,0.5789473652839661,0.891770601272583,0.8994953036308289,0.375,0.8617289066314697,0.9032257795333862,0.9032257795333862,0.8617289066314697,0.8987064361572266,0.27835050225257874,0.9175431132316588,0.9032257795333862,0.7092382311820984,0.009654749184846878,0.009394572116434574,0.8709677457809448,0.8987064361572266,0.421875,0.27835050225257874,0.8709677457809448,0.900285542011261,0.00956854596734047,0.009742519818246365,0.009394572116434574,13,0.009394572116434574,0.27835050225257874,0.8870967626571655,0.421875,0.8709677457809448,0.8709677457809448,0.876492440700531,0.891770601272583,0.876492440700531,0.4296875,0.8709677457809448,0.9211030006408693,0.8994953036308289,0.9140107035636902,0.5
kenn_hybrid_adapter_bert_ms,0,3o1buov4,0.9140107035636902,0.5126988887786865,0.9032257795333862,0.8709677457809448,0.8764165043830872,0.2142857164144516,0.9077650308609008,0.8870967626571655,0.8950886130332947,0.8870967626571655,0.9108772277832032,0.3503184914588928,0.8886470794677734,0.8874215483665466,0.375,0.8617289066314697,0.9032257795333862,0.9032257795333862,0.8617289066314697,0.8987064361572266,0.12217194586992264,0.9108772277832032,0.9032257795333862,0.6498284339904785,0.009654749184846878,0.009394572116434574,0.8709677457809448,0.8987064361572266,0.2142857164144516,0.12217194586992264,0.8709677457809448,0.8764165043830872,0.00956854596734047,0.009742519818246365,0.009394572116434574,13,0.009394572116434574,0.12217194586992264,0.8870967626571655,0.2142857164144516,0.8709677457809448,0.8709677457809448,0.8749809861183167,0.8886470794677734,0.8749809861183167,0.2182539701461792,0.8709677457809448,0.9077650308609008,0.8874215483665466,0.9140107035636902,0.74
