name,instance,run_id,test/macro_example/recall,test_incremental_only/micro/recall,test_incremental_only/micro/precision,test_incremental_only/macro_example_exclusive/f1,test_incremental_only/macro_types/f1,test_incremental/macro_types/precision,test_incremental_transportation/macro_types/precision,test/micro/f1,test_incremental/macro_types/f1,test_pretraining/macro_example/recall,test_incremental_only/macro_types/precision,test_incremental/micro/recall,test_pretraining/macro_example/f1,test/micro/precision,test/macro_types/precision,test_incremental/macro_types/recall,test_incremental_only/macro_example/precision,test_incremental_only/macro_example_exclusive/recall,test/macro_example/f1,threshold_incremental,test_incremental/macro_example/f1,test_incremental_only/macro_types/recall,epoch,test_incremental_only/macro_example/recall,test_incremental/macro_example_exclusive/f1,test_incremental_transportation/macro_types/f1,test_incremental_transportation-road/macro_types/recall,test_incremental_transportation-road/macro_types/precision,test/micro/recall,threshold_pretraining,test_incremental/macro_example/recall,test_incremental_only/macro_example_exclusive/precision,test/macro_types/recall,test_pretraining/macro_types/precision,test_incremental/macro_example_exclusive/precision,test_pretraining/micro/recall,test_pretraining/macro_types/recall,test/macro_types/f1,test_pretraining/micro/precision,test_incremental_transportation/macro_types/recall,test_incremental_transportation-road/macro_types/f1,test_incremental/micro/f1,test_incremental/macro_example/precision,test_pretraining/macro_example/precision,test_pretraining/micro/f1,test/macro_example/precision,test_pretraining/macro_types/f1,test_incremental/micro/precision,test_incremental/macro_example_exclusive/recall,test_incremental_only/micro/f1,test_incremental_only/macro_example/f1
kenn_horizontal_adapter_bert_ms,2,1jeurt8k,0.9123579263687134,0.32258063554763794,0.007955449633300304,0.32258063554763794,0.01552795059978962,0.4555906057357788,0.9032257795333862,0.7946271896362305,0.5226664543151855,0.9123579263687134,0.007955449633300304,0.6129032373428345,0.8330132365226746,0.7145107388496399,0.8863627314567566,0.6129032373428345,0.0034794709645211697,0.32258063554763794,0.8330132365226746,0.99,0.007988285273313522,0.32258063554763794,54,0.0034794709645211697,0.7405913472175598,0.9032257795333862,0.32258063554763794,0.007955449633300304,0.8949791789054871,0.375,0.0066109951585531235,0.32258063554763794,0.8507611751556396,0.8863627314567566,0.9354838132858276,0.8949791789054871,0.8507611751556396,0.8681970834732056,0.7145107388496399,0.9032257795333862,0.01552795059978962,0.05629629269242287,0.01009046658873558,0.766365110874176,0.7946271896362305,0.766365110874176,0.8681970834732056,0.029503105208277702,0.6129032373428345,0.01552795059978962,0.0034794709645211697
kenn_horizontal_adapter_bert_ms,1,2p5jid9b,0.9138947129249572,0.8387096524238586,0.6190476417541504,0.8387096524238586,0.7123287916183472,0.7611367106437683,0.9032257795333862,0.9047356247901917,0.8123567700386047,0.9138947129249572,0.6190476417541504,0.8709677457809448,0.9198376536369324,0.9110715985298156,0.8985846042633057,0.8709677457809448,0.009046625345945358,0.8387096524238586,0.9198376536369324,0.09,0.00973009318113327,0.8387096524238586,52,0.009046625345945358,0.9020736813545228,0.9032257795333862,0.8387096524238586,0.6190476417541504,0.8984871506690979,0.375,0.009394572116434574,0.8387096524238586,0.8610837459564209,0.8985846042633057,0.9354838132858276,0.8984871506690979,0.8610837459564209,0.8794345855712891,0.9110715985298156,0.9032257795333862,0.7123287916183472,0.8000000715255737,0.01009046658873558,0.9258583188056946,0.9047356247901917,0.9258583188056946,0.8794345855712891,0.7397260069847107,0.8709676861763,0.7123287916183472,0.009046625345945358
kenn_horizontal_adapter_bert_ms,0,1tacosqo,0.912705898284912,0.4193548262119293,0.010325655341148376,0.4193548262119293,0.0201550405472517,0.4567757248878479,0.9032257795333862,0.7950564026832581,0.5403282642364502,0.912705898284912,0.010325655341148376,0.6612903475761414,0.8331925868988037,0.714785635471344,0.886410117149353,0.6612902879714966,0.004523312672972679,0.4193548262119293,0.8331925868988037,0.99,0.00835776049643755,0.4193548262119293,31,0.004523312672972679,0.7748451828956604,0.9032257795333862,0.4193548262119293,0.010325655341148376,0.8956369161605835,0.375,0.0071329157799482346,0.4193548262119293,0.8526966571807861,0.886410117149353,0.9354838132858276,0.8956369161605835,0.8526966571807861,0.8692265748977661,0.714785635471344,0.9032257795333862,0.0201550405472517,0.060650892555713654,0.01009046658873558,0.7664231061935425,0.7950564026832581,0.7664231061935425,0.8692265748977661,0.03178294748067856,0.6612902879714966,0.0201550405472517,0.004523312672972679
kenn_hybrid_adapter_bert_ms,2,2liwekxs,0.9125899076461792,0.3870967626571655,0.009531374089419842,0.3870967626571655,0.01860465109348297,0.4563785791397095,0.9032257795333862,0.7948618531227112,0.5345931053161621,0.9125899076461792,0.009531374089419842,0.6451612710952759,0.8331099152565002,0.7146106958389282,0.8863942623138428,0.6451612710952759,0.004175365436822176,0.3870967626571655,0.8331099152565002,0.99,0.008237116038799286,0.3870967626571655,50,0.004175365436822176,0.7636602520942688,0.9032257795333862,0.3870967626571655,0.009531374089419842,0.8954176902770996,0.375,0.006958942860364914,0.3870967626571655,0.8520514965057373,0.8863942623138428,0.9354838132858276,0.8954176902770996,0.8520514965057373,0.8688836693763733,0.7146106958389282,0.9032257795333862,0.01860465109348297,0.05917159840464592,0.01009046658873558,0.766365110874176,0.7948618531227112,0.766365110874176,0.8688836693763733,0.03100775182247162,0.6451612710952759,0.01860465109348297,0.004175365436822176
kenn_top_down_adapter_bert_ms,2,c03a7dm7,0.9125899076461792,0.3870967626571655,0.009531374089419842,0.3870967626571655,0.01860465109348297,0.4563785791397095,0.9032257795333862,0.7948618531227112,0.5345931053161621,0.9125899076461792,0.009531374089419842,0.6451612710952759,0.8331099152565002,0.7146106958389282,0.8863942623138428,0.6451612710952759,0.004175365436822176,0.3870967626571655,0.8331099152565002,0.99,0.008237116038799286,0.3870967626571655,51,0.004175365436822176,0.7636602520942688,0.9032257795333862,0.3870967626571655,0.009531374089419842,0.8954176902770996,0.375,0.006958942860364914,0.3870967626571655,0.8520514965057373,0.8863942623138428,0.9354838132858276,0.8954176902770996,0.8520514965057373,0.8688836693763733,0.7146106958389282,0.9032257795333862,0.01860465109348297,0.05917159840464592,0.01009046658873558,0.766365110874176,0.7948618531227112,0.766365110874176,0.8688836693763733,0.03100775182247162,0.6451612710952759,0.01860465109348297,0.004175365436822176
kenn_bottom_up_adapter_bert_ms,2,bfem2itz,0.9143296480178832,0.9677419066429138,0.07389162480831146,0.9677419066429138,0.1372997760772705,0.48855870962142944,0.9032257795333862,0.8706356883049011,0.641889214515686,0.9143296480178832,0.07389162480831146,0.9354838728904724,0.8993706703186035,0.8436857461929321,0.8876814842224121,0.9354838132858276,0.010438413359224796,0.9677419066429138,0.8993706703186035,0.01,0.010261490941047668,0.9677419066429138,53,0.010438413359224796,0.9513394832611084,0.9032257795333862,0.9677419066429138,0.07389162480831146,0.899364173412323,0.375,0.01009046658873558,0.9677419066429138,0.8636643886566162,0.8876814842224121,0.9677419066429138,0.899364173412323,0.8636643886566162,0.8755082488059998,0.8436857461929321,0.9032257795333862,0.1372997760772705,0.23246490955352783,0.010438413359224796,0.8848932981491089,0.8706356883049011,0.8848932981491089,0.8755082488059998,0.1327231079339981,0.9354838728904724,0.1372997760772705,0.010438413359224796
kenn_hybrid_adapter_bert_ms,1,2k2k2zzz,0.9138947129249572,0.8387096524238586,0.302325576543808,0.8387096524238586,0.4444444477558136,0.6027756929397583,0.9032257795333862,0.9003625512123108,0.7124689221382141,0.9138947129249572,0.302325576543808,0.8709677457809448,0.9179447889328004,0.9022457003593444,0.8922501802444458,0.8709677457809448,0.009046625345945358,0.8387096524238586,0.9179447889328004,0.45,0.0095653822645545,0.8387096524238586,44,0.009046625345945358,0.8868035078048706,0.9032257795333862,0.8387096524238586,0.302325576543808,0.8984871506690979,0.375,0.009394572116434574,0.8387096524238586,0.8610837459564209,0.8922501802444458,0.9032257795333862,0.8984871506690979,0.8610837459564209,0.8763899803161621,0.9022457003593444,0.9032257795333862,0.4444444477558136,0.6033519506454468,0.009742519818246365,0.9220308661460876,0.9003625512123108,0.9220308661460876,0.8763899803161621,0.4615384638309479,0.8709677457809448,0.4444444477558136,0.009046625345945358
kenn_top_down_adapter_bert_ms,1,35hwegpx,0.9140107035636902,0.8709677457809448,0.36486485600471497,0.8709677457809448,0.5142857432365417,0.6340453028678894,0.9032257795333862,0.9017710089683532,0.7395226955413818,0.9140107035636902,0.36486485600471497,0.8870967626571655,0.9188361167907716,0.904856503009796,0.8935009241104126,0.8870967626571655,0.009394572116434574,0.8709677457809448,0.9188361167907716,0.43,0.00982257816940546,0.8709677457809448,46,0.009394572116434574,0.910647988319397,0.9032257795333862,0.8709677457809448,0.36486485600471497,0.8987064361572266,0.375,0.00956854596734047,0.8709677457809448,0.8617289066314697,0.8935009241104126,0.9354838132858276,0.8987064361572266,0.8617289066314697,0.8773273825645447,0.904856503009796,0.9032257795333862,0.5142857432365417,0.658682644367218,0.01009046658873558,0.9237126111984252,0.9017710089683532,0.9237126111984252,0.8773273825645447,0.523809552192688,0.8870967626571655,0.5142857432365417,0.009394572116434574
kenn_bottom_up_adapter_bert_ms,1,30uv395h,0.9138947129249572,0.8387096524238586,0.7647058963775635,0.8387096524238586,0.8000000715255737,0.8339658379554749,0.9032257795333862,0.9055352807044984,0.8520652055740356,0.9138947129249572,0.7647058963775635,0.8709677457809448,0.9208667278289796,0.9126948714256288,0.901497721672058,0.8709677457809448,0.009046625345945358,0.8387096524238586,0.9208667278289796,0.24,0.0095653822645545,0.8387096524238586,48,0.009046625345945358,0.8868035078048706,0.9032257795333862,0.8387096524238586,0.7647058963775635,0.8984871506690979,0.375,0.009394572116434574,0.8387096524238586,0.8610837459564209,0.901497721672058,0.9032257795333862,0.8984871506690979,0.8610837459564209,0.8808274269104004,0.9126948714256288,0.9032257795333862,0.8000000715255737,0.8503937125205994,0.009742519818246365,0.9279459714889526,0.9055352807044984,0.9279459714889526,0.8808274269104004,0.8307692408561707,0.8709677457809448,0.8000000715255737,0.009046625345945358
kenn_hybrid_adapter_bert_ms,0,3519aw5f,0.9144166707992554,1.0,0.02005174569785595,1.0,0.03931515663862229,0.46163874864578247,0.9032257795333862,0.776862621307373,0.6216888427734375,0.9144166707992554,0.02005174569785595,0.9516128897666932,0.8106926679611206,0.6836054921150208,0.8866046667098999,0.9516128897666932,0.010786360129714012,1.0,0.8106926679611206,0.01,0.010518929921090605,1.0,25,0.010786360129714012,0.9752065539360046,0.9032257795333862,1.0,0.02005174569785595,0.8995833992958069,0.375,0.0102644395083189,1.0,0.864309549331665,0.8866046667098999,1.0,0.8995833992958069,0.864309549331665,0.8753151297569275,0.6836054921150208,0.9032257795333862,0.03931515663862229,0.07199511677026749,0.010786360129714012,0.7281025648117065,0.776862621307373,0.7281025648117065,0.8753151297569275,0.03741280734539032,0.9516128897666932,0.03931515663862229,0.010786360129714012
