name,instance,run_id,test_incremental_only/macro_example_exclusive/precision,test_incremental_only/macro_types/precision,test_pretraining/macro_types/recall,test_pretraining/macro_example/recall,test_incremental_other-art-broadcast/macro_types/f1,test/micro/precision,test_incremental_other-art-film/macro_types/recall,test_incremental_other-art-stage/macro_types/recall,test_incremental_other-art-film/macro_types/precision,test_incremental_other-art-stage/macro_types/precision,test_incremental/macro_types/f1,test_incremental_other-art/macro_types/recall,test_pretraining/macro_types/f1,test_incremental/macro_example_exclusive/recall,test_incremental_only/micro/precision,test/macro_example/precision,test_pretraining/macro_example/f1,test/macro_types/f1,test_incremental/macro_example/precision,test_incremental_only/macro_example/precision,test_incremental_other-art-stage/macro_types/f1,test_incremental_other-art-writing/macro_types/f1,test/macro_types/recall,test/macro_example/recall,test_pretraining/micro/f1,test_incremental_other-art-broadcast/macro_types/recall,test_incremental/macro_types/recall,test_incremental_other-art-music/macro_types/f1,test/macro_types/precision,test_incremental_only/micro/f1,test_incremental_other-art/macro_types/f1,test_incremental/macro_example_exclusive/f1,test_incremental_other-art-writing/macro_types/recall,test_incremental/macro_example/recall,test_incremental_only/micro/recall,test_incremental_other-art-writing/macro_types/precision,test_incremental_other-art-broadcast/macro_types/precision,test_pretraining/micro/precision,test_incremental_only/macro_example/f1,test/micro/f1,epoch,test_pretraining/micro/recall,test_incremental/macro_example/f1,threshold_pretraining,test_incremental_only/macro_types/recall,test_pretraining/macro_example/precision,test_incremental/micro/recall,test_incremental_other-art-music/macro_types/recall,threshold_incremental,test_incremental/micro/f1,test_incremental_only/macro_example_exclusive/f1,test_incremental_other-art-music/macro_types/precision,test_incremental_only/macro_types/f1,test_incremental/macro_types/precision,test_incremental_only/macro_example_exclusive/recall,test_incremental_other-art-film/macro_types/f1,test/macro_example/f1,test_incremental/macro_example_exclusive/precision,test/micro/recall,test_incremental/micro/precision,test_incremental_only/macro_example/recall,test_incremental_other-art/macro_types/precision,test_pretraining/macro_types/precision
kenn_hybrid_adapter_bert_ms,2,uabdk9h7,0.7051281929016113,0.4801640510559082,0.7923381328582764,0.8531415462493896,0.444444477558136,0.8379193544387817,0.4883720874786377,0.8333333134651184,0.44680851697921753,0.4237288236618042,0.5806125998497009,0.935897409915924,0.8093226552009583,0.7489316463470459,0.44534412026405334,0.8581670522689819,0.8556469082832336,0.8093226552009583,0.07079426944255829,0.054267387837171555,0.5617977380752563,0.38181817531585693,0.7923381328582764,0.8531415462493896,0.8411692380905151,0.6666666865348816,0.6435564160346985,0.6666666269302368,0.8270512819290161,0.4910714030265808,0.8463767766952515,0.8256467580795288,0.3620689511299134,0.057638540863990784,0.5472636818885803,0.4038461446762085,0.3333333432674408,0.8379193544387817,0.0502966046333313,0.8411692380905151,32,0.8444444537162781,0.06354261934757233,0.33,0.5850882530212402,0.8581670522689819,0.7170868515968323,0.574999988079071,0.67,0.6456494331359863,0.653533399105072,0.7931034564971924,0.5274587869644165,0.5288845300674438,0.6089743971824646,0.46666666865348816,0.8556469082832336,0.9198718070983888,0.8444444537162781,0.5871559381484985,0.046867288649082184,0.7724867463111877,0.8270512819290161
kenn_top_down_adapter_bert_ms,2,ygjv4g39,0.7115384936332703,0.4765159487724304,0.7926697134971619,0.8532648682594299,0.41237112879753113,0.8363738656044006,0.4883720874786377,0.8333333134651184,0.46666666865348816,0.4166666567325592,0.5799352526664734,0.935897409915924,0.8093275427818298,0.752136766910553,0.43023255467414856,0.8573695421218872,0.8553122878074646,0.8093275427818298,0.0712876170873642,0.054760728031396866,0.555555522441864,0.3793103396892547,0.7926697134971619,0.8532648682594299,0.8404837846755981,0.6666666865348816,0.6464300155639648,0.6764705777168274,0.8267005085945129,0.4836601316928863,0.8463767766952515,0.8301751017570496,0.3793103396892547,0.05788521468639374,0.5522388219833374,0.3793103396892547,0.2985074520111084,0.8363738656044006,0.05079255998134613,0.8404837846755981,33,0.8446343541145325,0.06389112770557404,0.33,0.5885365009307861,0.8573695421218872,0.7198879718780518,0.574999988079071,0.6900000000000001,0.6393035650253296,0.6599777340888977,0.8214285969734192,0.5266351103782654,0.525844395160675,0.6153846383094788,0.4772727191448212,0.8553122878074646,0.9262820482254028,0.8446343541145325,0.5749440789222717,0.047360628843307495,0.7724867463111877,0.8267005085945129
kenn_bottom_up_adapter_bert_ms,2,24xc545c,0.7147436141967773,0.7423534989356995,0.7928074598312378,0.8534704446792603,0.6153846383094788,0.8521072864532471,0.5116279125213623,0.800000011920929,0.9166666865348816,0.9230769276618958,0.693933367729187,0.935897409915924,0.8214602470397949,0.7574785947799683,0.695652186870575,0.8638205528259277,0.8586143255233765,0.8214602470397949,0.0693964809179306,0.05500739812850952,0.8571428656578064,0.43396225571632385,0.7928074598312378,0.8534704446792603,0.8484501242637634,0.6666666865348816,0.6476239562034607,0.6764705777168274,0.8522617816925049,0.6187845468521118,0.8463767766952515,0.8233250975608826,0.3965517282485962,0.0582963302731514,0.5572139024734497,0.4791666567325592,0.5714285969734192,0.8521072864532471,0.051462769508361816,0.8484501242637634,31,0.8448243141174316,0.0633639395236969,0.33,0.589969277381897,0.8638205528259277,0.7226890921592712,0.574999988079071,0.29000000000000004,0.7298443913459778,0.6686861515045166,0.8214285969734192,0.6574468612670898,0.7473757266998291,0.6282051801681519,0.6567164063453674,0.8586143255233765,0.9017094373703004,0.8448243141174316,0.7371428608894348,0.048347312957048416,0.7724867463111877,0.8522617816925049
kenn_hybrid_adapter_bert_ms,1,16s5a5w4,0.692307710647583,0.5883598327636719,0.7892107963562012,0.852697491645813,0.3859649002552033,0.8451882600784302,0.4651162922382355,0.800000011920929,1.0,0.5714285969734192,0.6177473068237305,0.935897409915924,0.812617301940918,0.7430555820465088,0.5427135825157166,0.8589447140693665,0.8558096885681152,0.812617301940918,0.06586087495088577,0.05328070744872093,0.6666666865348816,0.4464285671710968,0.7892107963562012,0.852697491645813,0.8446260690689087,0.36666667461395264,0.6164524555206299,0.5833333134651184,0.8374546766281128,0.5400000214576721,0.8463767766952515,0.7954394221305847,0.43103447556495667,0.057186320424079895,0.5373134613037109,0.46296295523643494,0.40740740299224854,0.8451882600784302,0.04939933493733406,0.8446260690689087,33,0.8440645933151245,0.06121782958507538,0.33,0.5525635480880737,0.8589447140693665,0.7114846110343933,0.699999988079071,0.14,0.6818792223930359,0.6418746709823608,0.5,0.5699001550674438,0.6190476417541504,0.5982906222343445,0.6349206566810608,0.8558096885681152,0.8557692170143127,0.8440645933151245,0.6546391844749451,0.046045057475566864,0.7724867463111877,0.8374546766281128
kenn_top_down_adapter_bert_ms,1,2z5tie16,0.7115384936332703,0.5510510802268982,0.7911338210105896,0.8531086444854736,0.3076923191547394,0.8423944115638733,0.4651162922382355,0.8666666746139526,0.8695651888847351,0.4727272689342499,0.6097028851509094,0.935897409915924,0.8119387030601501,0.750534176826477,0.5045454502105713,0.8557955026626587,0.854449987411499,0.8119387030601501,0.07079427689313889,0.054760728031396866,0.611764669418335,0.4464285671710968,0.7911338210105896,0.8531086444854736,0.8435128927230835,0.4000000059604645,0.6331191062927246,0.699999988079071,0.8338673710823059,0.5273159146308899,0.8463767766952515,0.8266196846961975,0.43103447556495667,0.05776188150048256,0.5522388219833374,0.46296295523643494,0.25,0.8423944115638733,0.050602804869413376,0.8435128927230835,33,0.8446343541145325,0.06361749768257141,0.33,0.5725635290145874,0.8557955026626587,0.7198879718780518,0.699999988079071,0.3,0.6710183024406433,0.6575121283531189,0.699999988079071,0.5616014003753662,0.5879570245742798,0.6111111640930176,0.6060605645179749,0.854449987411499,0.9198718070983888,0.8446343541145325,0.6283618807792664,0.04703173786401749,0.7724867463111877,0.8338673710823059
kenn_bottom_up_adapter_bert_ms,1,1q2e85f1,0.6858974695205688,0.6623221039772034,0.7887300252914429,0.8525988459587097,0.40740740299224854,0.8495219945907593,0.4651162922382355,0.800000011920929,1.0,0.6315789222717285,0.6446753144264221,0.935897409915924,0.8156938552856445,0.7414530515670776,0.6257309913635254,0.8616909980773926,0.8571208119392395,0.8156938552856445,0.07005426287651062,0.05278736725449562,0.7058823704719543,0.45045045018196106,0.7887300252914429,0.8525988459587097,0.8466889262199402,0.36666667461395264,0.612285852432251,0.7105263471603394,0.8445664644241333,0.5752688050270081,0.8463767766952515,0.8172289133071899,0.43103447556495667,0.05706298351287842,0.5323383212089539,0.4716981053352356,0.4583333432674408,0.8495219945907593,0.04909225180745125,0.8466889262199402,33,0.8438746333122253,0.0628947764635086,0.33,0.5475634932518005,0.8616909980773926,0.7086834907531738,0.675000011920929,0.18000000000000002,0.7057182788848877,0.6378846168518066,0.75,0.5995003581047058,0.680682897567749,0.5961538553237915,0.6349206566810608,0.8571208119392395,0.9102564454078674,0.8438746333122253,0.7027778029441833,0.04588061198592186,0.7724867463111877,0.8445664644241333
kenn_hybrid_adapter_bert_ms,0,1ytohhzc,0.7435897588729858,0.7028152942657471,0.7978634834289551,0.8551806211471558,0.4545454680919647,0.8498001098632812,0.5348837375640869,0.7666666507720947,0.8518518805503845,0.8214285969734192,0.7027469873428345,0.935897409915924,0.8223842978477478,0.7964743971824646,0.6597937941551208,0.8622336387634277,0.8586926460266113,0.8223842978477478,0.0714520663022995,0.05722742527723312,0.7931035161018372,0.543999969959259,0.7978634834289551,0.8551806211471558,0.8488306403160095,0.5,0.6914424896240234,0.8684210777282715,0.8484600186347961,0.648101270198822,0.8463767766952515,0.8574000597000122,0.5862069129943848,0.06129748374223709,0.6368159055709839,0.5074626803398132,0.4166666567325592,0.8498001098632812,0.05527166277170181,0.8488306403160095,40,0.8478632569313049,0.06598638743162155,0.33,0.6425514817237854,0.8622336387634277,0.767507016658783,0.824999988079071,0.21,0.7405405044555664,0.718177318572998,0.9166666865348816,0.6713337302207947,0.7144272327423096,0.694444477558136,0.6571428775787354,0.8586926460266113,0.9284188747406006,0.8478632569313049,0.7154046893119812,0.053445156663656235,0.7724867463111877,0.8484600186347961
kenn_top_down_adapter_bert_ms,0,1uj16vo0,0.7628204822540283,0.6792383193969727,0.7999467849731445,0.8557397723197937,0.3762376308441162,0.8444234132766724,0.5348837375640869,0.7666666507720947,0.9200000166893004,0.7666666507720947,0.7020617127418518,0.935897409915924,0.8224203586578369,0.8060897588729858,0.5670995712280273,0.8587967157363892,0.8572655320167542,0.8224203586578369,0.07243873924016953,0.05870744585990906,0.7666666507720947,0.5230768918991089,0.7999467849731445,0.8557397723197937,0.8464234471321106,0.6333333253860474,0.7094980478286743,0.8767123818397522,0.8461930751800537,0.6064814925193787,0.8463767766952515,0.8684378862380981,0.5862069129943848,0.06203749030828476,0.6517412662506104,0.4722222089767456,0.26760563254356384,0.8444234132766724,0.05675336718559265,0.8464234471321106,39,0.8484330773353577,0.06683586537837982,0.33,0.6642181277275085,0.8587967157363892,0.7759103775024414,0.800000011920929,0.29000000000000004,0.7129986882209778,0.7374299168586731,0.9696969985961914,0.6716442108154297,0.6947796940803528,0.7136752009391785,0.6764705777168274,0.8572655320167542,0.9412393569946288,0.8484330773353577,0.6595237851142883,0.05492517724633217,0.7724867463111877,0.8461930751800537
kenn_bottom_up_adapter_bert_ms,0,1oen7lxb,0.7873931527137756,0.6337687969207764,0.8064758777618408,0.857474684715271,0.3893805146217346,0.8408706784248352,0.6976743936538696,0.7666666507720947,0.7692307829856873,0.7666666507720947,0.7072964906692505,0.935897409915924,0.8237694501876831,0.8386752605438232,0.5370370149612427,0.8567000031471252,0.8570871353149414,0.8237694501876831,0.07062982767820358,0.06059858202934265,0.7666666507720947,0.5285714268684387,0.8064758777618408,0.857474684715271,0.8459505438804626,0.7333333492279053,0.766083836555481,0.8684210777282715,0.8418209552764893,0.6157112717628479,0.8463767766952515,0.8764258027076721,0.6379310488700867,0.06454530358314514,0.7213930487632751,0.45121949911117554,0.2650602459907532,0.8408706784248352,0.059933580458164215,0.8459505438804626,39,0.8510921001434326,0.0674506202340126,0.33,0.7321211099624634,0.8567000031471252,0.8151260614395142,0.824999988079071,0.08,0.7132353186607361,0.7787524461746216,0.9166666865348816,0.6794039607048035,0.656888484954834,0.7702991962432861,0.7317072749137878,0.8570871353149414,0.9177350401878356,0.8510921001434326,0.6339869499206543,0.05928301438689232,0.7724867463111877,0.8418209552764893
box_adapter_bert_ms,2,1ocrnqrs,0.6858974695205688,0.4252244234085083,0.6536152958869934,0.7937445640563965,0.2790697515010834,0.6261951923370361,0.4651162922382355,0.800000011920929,0.5,0.34285715222358704,0.528215229511261,0.8974359035491943,0.6849159002304077,0.7200855016708374,0.0578065924346447,0.6213420629501343,0.6970412731170654,0.6849159002304077,0.06438085436820984,0.05278737097978592,0.48000001907348633,0.042021580040454865,0.6536152958869934,0.7937445640563965,0.6961363554000854,0.20000000298023224,0.5834138989448547,0.6153846383094788,0.7193651795387268,0.1042884960770607,0.8284023404121399,0.7739560008049011,0.6379310488700867,0.05541851371526718,0.5323383212089539,0.021726366132497787,0.4615384638309479,0.6261951923370361,0.04871318116784096,0.6961363554000854,14,0.7836657166481018,0.059564441442489624,0.26,0.5206094980239868,0.6213420629501343,0.6918767690658569,0.5,0.96,0.2066945731639862,0.6329591274261475,0.800000011920929,0.46810728311538696,0.4825587868690491,0.5876068472862244,0.4819277226924896,0.6970412731170654,0.8365384340286255,0.7836657166481018,0.1214953288435936,0.045222826302051544,0.7692307829856873,0.7193651795387268
