name,instance,run_id,test_pretraining/macro_example/precision,epoch,test_pretraining/micro/f1,test_pretraining/micro/recall,test_incremental_only/macro_types/f1,test_incremental_only/macro_example/recall,test_incremental_only/macro_example_exclusive/precision,threshold_pretraining,test_incremental/macro_types/f1,test_pretraining/macro_types/recall,test_incremental/macro_types/precision,test_pretraining/macro_types/precision,test/macro_example/recall,test_incremental_only/macro_types/recall,test_incremental_only/macro_example_exclusive/f1,test_incremental_visual_art-color/macro_types/recall,test_incremental/macro_example/precision,test_incremental/macro_example_exclusive/f1,test/macro_types/recall,test/micro/recall,test/macro_example/precision,test_incremental/micro/precision,test_incremental_only/macro_types/precision,test_incremental_only/macro_example/precision,test_incremental/macro_example/f1,test_incremental_only/micro/recall,test_incremental/macro_example_exclusive/recall,test_incremental_only/macro_example_exclusive/recall,test_incremental/micro/recall,test_pretraining/macro_types/f1,test_incremental_visual_art/macro_types/precision,test/macro_example/f1,test_incremental_visual_art/macro_types/f1,test/micro/precision,test_incremental/micro/f1,test_pretraining/macro_example/f1,test_incremental/macro_example/recall,test_incremental_only/macro_example/f1,test_incremental_only/micro/f1,test_pretraining/micro/precision,test_incremental_visual_art-color/macro_types/f1,test_incremental_visual_art-color/macro_types/precision,test/micro/f1,test/macro_types/f1,test_incremental/macro_types/recall,test_incremental_visual_art/macro_types/recall,test/macro_types/precision,test_pretraining/macro_example/recall,threshold_incremental,test_incremental_only/micro/precision,test_incremental/macro_example_exclusive/precision
no_init_box_kenn_horizontal_adapter_bert_ms,2,1kqov6gl,0.9246926307678224,40,0.8923248052597046,0.879605233669281,0.8461538553237915,0.007654836401343346,0.7333333492279053,0.25,0.826923131942749,0.8145607113838196,0.9772727489471436,0.8924275636672974,0.9059556722640992,0.7333333492279053,0.7333333492279053,0.7333333492279053,0.008698677644133568,0.7706093192100525,0.8145607113838196,0.879605233669281,0.9246926307678224,0.9772727489471436,1.0,0.007654836401343346,0.00804393831640482,0.7333333492279053,0.7166666984558105,0.7333333492279053,0.7166666388511658,0.8517181277275085,0.9545454382896424,0.9152282476425172,0.807692289352417,0.9054176211357116,0.8269230127334595,0.9152282476425172,0.007480863016098738,0.007654836401343346,0.8461538553237915,0.9054176211357116,0.8461538553237915,1.0,0.8923248052597046,0.8517181277275085,0.7166666984558105,0.699999988079071,0.8924275636672974,0.9059556722640992,0.17,1.0,0.8333333730697632
no_init_box_kenn_horizontal_adapter_bert_ms,1,5p42rjuh,0.9245187044143676,48,0.8917084336280823,0.8785087466239929,0.7234042882919312,0.0059151011519134045,0.5666667222976685,0.25,0.7685794830322266,0.8112273812294006,0.9772727489471436,0.8924275636672974,0.9051438570022584,0.5666666626930237,0.5666667222976685,0.5666666626930237,0.008002784103155136,0.6936508417129517,0.8112273812294006,0.8785087466239929,0.9245187044143676,0.9743589758872986,1.0,0.0059151011519134045,0.007240613922476768,0.5666666626930237,0.6333333253860474,0.5666667222976685,0.6333333253860474,0.8498923182487488,0.9545454382896424,0.9147287011146544,0.807692289352417,0.9053107500076294,0.767676830291748,0.9147287011146544,0.0066109951585531235,0.0059151011519134045,0.7234042882919312,0.9053107500076294,0.7234042882919312,1.0,0.8917084336280823,0.8498923182487488,0.6333333253860474,0.699999988079071,0.8924275636672974,0.9051438570022584,0.25,1.0,0.7666667699813843
no_init_box_kenn_horizontal_adapter_bert_ms,0,d8v1ip03,0.9248666763305664,57,0.8923248052597046,0.879605233669281,0.8461538553237915,0.007654836867004633,0.7333333492279053,0.25,0.826923131942749,0.8145607113838196,0.9772727489471436,0.8924275636672974,0.9061297178268432,0.7333333492279053,0.7333333492279053,0.7333333492279053,0.008002784103155136,0.7408240437507629,0.8145607113838196,0.879605233669281,0.9248666763305664,0.9772727489471436,1.0,0.007654836867004633,0.00773302698507905,0.7333333492279053,0.7166666984558105,0.7333333492279053,0.7166666388511658,0.8517181277275085,0.9545454382896424,0.9154022932052612,0.807692289352417,0.9054176211357116,0.8269230127334595,0.9154022932052612,0.007480863016098738,0.007654836867004633,0.8461538553237915,0.9054176211357116,0.8461538553237915,1.0,0.8923248052597046,0.8517181277275085,0.7166666984558105,0.699999988079071,0.8924275636672974,0.9061297178268432,0.11,1.0,0.7666667699813843
no_init_box_kenn_hybrid_adapter_bert_ms,2,lk01pu7i,0.9248666763305664,37,0.8926942944526672,0.8802631497383118,0.9090909361839294,0.008698677644133568,0.8333333730697632,0.25,0.8592528104782104,0.8165607452392578,0.9772727489471436,0.8924275636672974,0.9064196348190308,0.8333333134651184,0.833333432674408,0.8333333134651184,0.009394572116434574,0.8279999494552612,0.8165607452392578,0.8802631497383118,0.9248666763305664,0.978723406791687,1.0,0.008698677644133568,0.008643006905913353,0.8333333134651184,0.7666666507720947,0.8333333730697632,0.7666666507720947,0.8528102040290833,0.9545454382896424,0.9155502915382384,0.807692289352417,0.9054816365242004,0.8598130941390991,0.9155502915382384,0.008002784103155136,0.008698677644133568,0.9090909361839294,0.9054816365242004,0.9090909361839294,1.0,0.8926942944526672,0.8528102040290833,0.7666666507720947,0.699999988079071,0.8924275636672974,0.9064196348190308,0.04,1.0,0.9000000357627869
no_init_box_kenn_top_down_adapter_bert_ms,2,go1lher1,0.9248666763305664,39,0.8923248052597046,0.879605233669281,0.8461538553237915,0.007654836401343346,0.7333333492279053,0.25,0.826923131942749,0.8145607113838196,0.9772727489471436,0.8924275636672974,0.9058977365493774,0.7333333492279053,0.7333333492279053,0.7333333492279053,0.009394572116434574,0.7979381084442139,0.8145607113838196,0.879605233669281,0.9248666763305664,0.9772727489471436,1.0,0.007654836401343346,0.008329209871590137,0.7333333492279053,0.7166666984558105,0.7333333492279053,0.7166666388511658,0.8517181277275085,0.9545454382896424,0.915283977985382,0.807692289352417,0.9054176211357116,0.8269230127334595,0.915283977985382,0.007480863481760025,0.007654836401343346,0.8461538553237915,0.9054176211357116,0.8461538553237915,1.0,0.8923248052597046,0.8517181277275085,0.7166666984558105,0.699999988079071,0.8924275636672974,0.9058977365493774,0.25,1.0,0.9000000357627869
no_init_box_kenn_bottom_up_adapter_bert_ms,2,nsxjifmn,0.9248666763305664,37,0.8924480080604553,0.8798245787620544,0.8679245114326477,0.008002784103155136,0.7666667699813843,0.25,0.8379096984863281,0.8152273893356323,0.9772727489471436,0.8924275636672974,0.906071662902832,0.7666666507720947,0.7666667103767395,0.7666666507720947,0.009394572116434574,0.8081632256507874,0.8152273893356323,0.8798245787620544,0.9248666763305664,0.9777777791023254,1.0,0.008002784103155136,0.008435942232608795,0.7666666507720947,0.7333333492279053,0.7666667699813843,0.7333333492279053,0.8520824313163757,0.9545454382896424,0.915372669696808,0.807692289352417,0.9054389595985411,0.8380953073501587,0.915372669696808,0.007654836401343346,0.008002784103155136,0.8679245114326477,0.9054389595985411,0.8679245114326477,1.0,0.8924480080604553,0.8520824313163757,0.7333333492279053,0.699999988079071,0.8924275636672974,0.906071662902832,0.04,1.0,0.9000000357627869
no_init_box_kenn_hybrid_adapter_bert_ms,1,jqph8k53,0.9245187044143676,45,0.8922015428543091,0.8793859481811523,0.8235293626785278,0.007306889165192843,0.7000000476837158,0.25,0.8157181143760681,0.8138940334320068,0.9772727489471436,0.8924275636672974,0.9057236909866332,0.699999988079071,0.7000000476837158,0.699999988079071,0.008698677644133568,0.760869562625885,0.8138940334320068,0.8793859481811523,0.9245187044143676,0.9767441749572754,1.0,0.007306889165192843,0.00794227048754692,0.699999988079071,0.7000000476837158,0.7000000476837158,0.699999988079071,0.8513535857200623,0.9545454382896424,0.9150246977806092,0.807692289352417,0.9053962230682372,0.8155339360237122,0.9150246977806092,0.00730688963085413,0.007306889165192843,0.8235293626785278,0.9053962230682372,0.8235293626785278,1.0,0.8922015428543091,0.8513535857200623,0.699999988079071,0.699999988079071,0.8924275636672974,0.9057236909866332,0.06999999999999999,1.0,0.8333333730697632
no_init_box_kenn_top_down_adapter_bert_ms,1,wvbcfuzg,0.9245187044143676,47,0.8919550776481628,0.878947377204895,0.7755101919174194,0.0066109951585531235,0.6333333849906921,0.25,0.792626678943634,0.8125607371330261,0.9772727489471436,0.8924275636672974,0.9053757786750792,0.6333333253860474,0.6333333849906921,0.6333333253860474,0.008698677644133568,0.7407407760620117,0.8125607371330261,0.878947377204895,0.9245187044143676,0.9756097793579102,1.0,0.0066109951585531235,0.0077321575954556465,0.6333333253860474,0.6666667461395264,0.6333333849906921,0.6666666865348816,0.8506235480308533,0.9545454382896424,0.9148470759391784,0.807692289352417,0.9053534865379332,0.7920792102813721,0.9148470759391784,0.006958942394703627,0.006610995624214411,0.7755101919174194,0.9053534865379332,0.7755101919174194,1.0,0.8919550776481628,0.8506235480308533,0.6666666269302368,0.699999988079071,0.8924275636672974,0.9053757786750792,0.38,1.0,0.8333333730697632
no_init_box_kenn_bottom_up_adapter_bert_ms,1,n78oo5k2,0.9245187044143676,45,0.8919550776481628,0.878947377204895,0.7755101919174194,0.0066109951585531235,0.6333333849906921,0.25,0.792626678943634,0.8125607371330261,0.9772727489471436,0.8924275636672974,0.905375838279724,0.6333333253860474,0.6333333849906921,0.6333333253860474,0.008698677644133568,0.7407407760620117,0.8125607371330261,0.878947377204895,0.9245187044143676,0.9756097793579102,1.0,0.0066109951585531235,0.0077321575954556465,0.6333333253860474,0.6666667461395264,0.6333333849906921,0.6666666865348816,0.8506235480308533,0.9545454382896424,0.9148471355438232,0.807692289352417,0.9053534865379332,0.7920792102813721,0.9148471355438232,0.006958942394703627,0.006610995624214411,0.7755101919174194,0.9053534865379332,0.7755101919174194,1.0,0.8919550776481628,0.8506235480308533,0.6666666269302368,0.699999988079071,0.8924275636672974,0.905375838279724,0.06999999999999999,1.0,0.8333333730697632
no_init_box_kenn_hybrid_adapter_bert_ms,0,fw7q9n4g,0.9248666763305664,49,0.8923248052597046,0.879605233669281,0.8461538553237915,0.007654836867004633,0.7333333492279053,0.25,0.826923131942749,0.8145607113838196,0.9772727489471436,0.8924275636672974,0.9061297178268432,0.7333333492279053,0.7333333492279053,0.7333333492279053,0.008002784103155136,0.7408240437507629,0.8145607113838196,0.879605233669281,0.9248666763305664,0.9772727489471436,1.0,0.007654836867004633,0.00773302698507905,0.7333333492279053,0.7166666984558105,0.7333333492279053,0.7166666388511658,0.8517181277275085,0.9545454382896424,0.9154022932052612,0.807692289352417,0.9054176211357116,0.8269230127334595,0.9154022932052612,0.007480863016098738,0.007654836867004633,0.8461538553237915,0.9054176211357116,0.8461538553237915,1.0,0.8923248052597046,0.8517181277275085,0.7166666984558105,0.699999988079071,0.8924275636672974,0.9061297178268432,0.03,1.0,0.7666667699813843
no_init_box_kenn_top_down_adapter_bert_ms,0,etzvf0rw,0.9248666763305664,51,0.8923248052597046,0.879605233669281,0.8461538553237915,0.007654836867004633,0.7333333492279053,0.25,0.826923131942749,0.8145607113838196,0.9772727489471436,0.8924275636672974,0.9061297178268432,0.7333333492279053,0.7333333492279053,0.7333333492279053,0.008002784103155136,0.7408240437507629,0.8145607113838196,0.879605233669281,0.9248666763305664,0.9772727489471436,1.0,0.007654836867004633,0.00773302698507905,0.7333333492279053,0.7166666984558105,0.7333333492279053,0.7166666388511658,0.8517181277275085,0.9545454382896424,0.9154022932052612,0.807692289352417,0.9054176211357116,0.8269230127334595,0.9154022932052612,0.007480863016098738,0.007654836867004633,0.8461538553237915,0.9054176211357116,0.8461538553237915,1.0,0.8923248052597046,0.8517181277275085,0.7166666984558105,0.699999988079071,0.8924275636672974,0.9061297178268432,0.18000000000000002,1.0,0.7666667699813843
no_init_box_kenn_bottom_up_adapter_bert_ms,0,ujyh44s7,0.9248666763305664,49,0.8923248052597046,0.879605233669281,0.8461538553237915,0.007654836867004633,0.7333333492279053,0.25,0.826923131942749,0.8145607113838196,0.9772727489471436,0.8924275636672974,0.9061297178268432,0.7333333492279053,0.7333333492279053,0.7333333492279053,0.008002784103155136,0.7408240437507629,0.8145607113838196,0.879605233669281,0.9248666763305664,0.9772727489471436,1.0,0.007654836867004633,0.00773302698507905,0.7333333492279053,0.7166666984558105,0.7333333492279053,0.7166666388511658,0.8517181277275085,0.9545454382896424,0.9154022932052612,0.807692289352417,0.9054176211357116,0.8269230127334595,0.9154022932052612,0.007480863016098738,0.007654836867004633,0.8461538553237915,0.9054176211357116,0.8461538553237915,1.0,0.8923248052597046,0.8517181277275085,0.7166666984558105,0.699999988079071,0.8924275636672974,0.9061297178268432,0.03,1.0,0.7666667699813843
smart_init_box_adapter_bert_ms,2,6pmfni5e,0.9248666763305664,21,0.8926942944526672,0.8802631497383118,0.9090909361839294,0.008698677644133568,0.8333333730697632,0.25,0.8592528104782104,0.8165607452392578,0.9772727489471436,0.8924275636672974,0.9064196348190308,0.8333333134651184,0.833333432674408,0.8333333134651184,0.009394572116434574,0.8279999494552612,0.8165607452392578,0.8802631497383118,0.9248666763305664,0.978723406791687,1.0,0.008698677644133568,0.008643006905913353,0.8333333134651184,0.7666666507720947,0.8333333730697632,0.7666666507720947,0.8528102040290833,0.9545454382896424,0.9155502915382384,0.807692289352417,0.9054816365242004,0.8598130941390991,0.9155502915382384,0.008002784103155136,0.008698677644133568,0.9090909361839294,0.9054816365242004,0.9090909361839294,1.0,0.8926942944526672,0.8528102040290833,0.7666666507720947,0.699999988079071,0.8924275636672974,0.9064196348190308,0.36000000000000004,1.0,0.9000000357627869
