name,test/macro_types/recall/mean,test_pretraining/micro/precision/mean,test_incremental/macro_types/recall/mean,test_incremental/macro_example_exclusive/precision/mean,test_incremental_only/macro_types/f1/mean,test_incremental/micro/precision/mean,test_incremental/macro_types/precision/mean,test_incremental_only/macro_types/recall/mean,test_incremental_only/macro_example_exclusive/recall/mean,epoch/mean,test_pretraining/macro_types/recall/mean,test_incremental/macro_example/precision/mean,test_incremental_visual_art-color/macro_types/recall/mean,test_pretraining/macro_types/precision/mean,test_pretraining/micro/f1/mean,test_incremental_only/macro_example_exclusive/f1/mean,test_incremental/macro_example/f1/mean,test_incremental_only/micro/precision/mean,test_incremental_only/macro_example_exclusive/precision/mean,test/macro_example/precision/mean,test_incremental_only/micro/f1/mean,test_incremental/macro_types/f1/mean,test_incremental_visual_art/macro_types/precision/mean,test_incremental_visual_art-color/macro_types/precision/mean,test_pretraining/macro_types/f1/mean,test_incremental/micro/recall/mean,test_incremental_visual_art/macro_types/recall/mean,threshold_incremental/mean,threshold_pretraining/mean,test_pretraining/macro_example/f1/mean,test_incremental_visual_art/macro_types/f1/mean,test_incremental_visual_art-color/macro_types/f1/mean,test/micro/f1/mean,test/micro/recall/mean,test/macro_types/f1/mean,test/micro/precision/mean,test/macro_example/f1/mean,test_pretraining/micro/recall/mean,test_incremental/macro_example_exclusive/f1/mean,test_incremental_only/macro_example/precision/mean,test_incremental_only/micro/recall/mean,test_incremental/micro/f1/mean,test_pretraining/macro_example/precision/mean,test_incremental/macro_example/recall/mean,test_incremental_only/macro_example/f1/mean,test_incremental_only/macro_example/recall/mean,test/macro_example/recall/mean,test_incremental_only/macro_types/precision/mean,test_pretraining/macro_example/recall/mean,test/macro_types/precision/mean,test_incremental/macro_example_exclusive/recall/mean,test/macro_types/recall/std,test_pretraining/micro/precision/std,test_incremental/macro_types/recall/std,test_incremental/macro_example_exclusive/precision/std,test_incremental_only/macro_types/f1/std,test_incremental/micro/precision/std,test_incremental/macro_types/precision/std,test_incremental_only/macro_types/recall/std,test_incremental_only/macro_example_exclusive/recall/std,epoch/std,test_pretraining/macro_types/recall/std,test_incremental/macro_example/precision/std,test_incremental_visual_art-color/macro_types/recall/std,test_pretraining/macro_types/precision/std,test_pretraining/micro/f1/std,test_incremental_only/macro_example_exclusive/f1/std,test_incremental/macro_example/f1/std,test_incremental_only/micro/precision/std,test_incremental_only/macro_example_exclusive/precision/std,test/macro_example/precision/std,test_incremental_only/micro/f1/std,test_incremental/macro_types/f1/std,test_incremental_visual_art/macro_types/precision/std,test_incremental_visual_art-color/macro_types/precision/std,test_pretraining/macro_types/f1/std,test_incremental/micro/recall/std,test_incremental_visual_art/macro_types/recall/std,threshold_incremental/std,threshold_pretraining/std,test_pretraining/macro_example/f1/std,test_incremental_visual_art/macro_types/f1/std,test_incremental_visual_art-color/macro_types/f1/std,test/micro/f1/std,test/micro/recall/std,test/macro_types/f1/std,test/micro/precision/std,test/macro_example/f1/std,test_pretraining/micro/recall/std,test_incremental/macro_example_exclusive/f1/std,test_incremental_only/macro_example/precision/std,test_incremental_only/micro/recall/std,test_incremental/micro/f1/std,test_pretraining/macro_example/precision/std,test_incremental/macro_example/recall/std,test_incremental_only/macro_example/f1/std,test_incremental_only/macro_example/recall/std,test/macro_example/recall/std,test_incremental_only/macro_types/precision/std,test_pretraining/macro_example/recall/std,test/macro_types/precision/std,test_incremental/macro_example_exclusive/recall/std
no_init_box_kenn_bottom_up_adapter_bert_ms,0.816560705502828,0.905413548151652,0.7666666507720947,0.8777778148651123,0.9029255509376526,0.9720427195231119,0.9710998932520548,0.8333333333333334,0.8333333333333334,37.0,0.816560705502828,0.009162607292334238,0.8333333333333334,0.8921806613604227,0.8926612138748169,0.8333333333333334,0.008543455973267555,0.9876543283462524,0.8333333333333334,0.9246926705042521,0.9029255509376526,0.856580893198649,0.9545454382896424,0.9876543283462524,0.8526969949404398,0.7666666905085245,0.699999988079071,0.03333333333333333,0.25,0.9154649376869202,0.807692289352417,0.9029255509376526,0.8926612138748169,0.8802631497383118,0.8526969949404398,0.905413548151652,0.9154649376869202,0.8802631497383118,0.818463146686554,0.008698678265015284,0.8333333333333334,0.8569503625233968,0.9246926705042521,0.008002783637493849,0.008698678265015284,0.008698678265015284,0.906419595082601,0.9876543283462524,0.906419595082601,0.8921806613604227,0.7666666905085245,0.0011546856720679145,0.00010441836140897469,0.028867485929275124,0.03849001565179121,0.031387130877110134,0.011157875676613378,0.010691699691684542,0.057735040684065646,0.057735040684065646,9.16515138991168,0.0011546856720679145,0.0004017748609105587,0.057735040684065646,0.0004276473400127658,0.00019119301733520262,0.057735040684065646,0.00034642086474174095,0.02138333055785368,0.057735040684065646,0.00017398596150269166,0.031387130877110134,0.016588731632379238,0.0,0.02138333055785368,0.000558517042203084,0.028867520342032837,0.0,0.011547005383792516,0.0,0.00023144858106996302,0.0,0.031387130877110134,0.00019119301733520262,0.00037981360680138464,0.000558517042203084,0.00010441836140897469,0.00023144858106996302,0.00037981360680138464,0.03318718175308147,0.0006026620225161684,0.057735040684065646,0.016809963380046346,0.00017398596150269166,0.0003013307424084146,0.0006026620225161684,0.0006026620225161684,0.00030131810647393635,0.02138333055785368,0.00030131810647393635,0.0004276473400127658,0.028867520342032837
no_init_box_kenn_horizontal_adapter_bert_ms,0.8167829314867655,0.9054887096087137,0.7722222010294596,0.8777778148651123,0.9146214524904887,0.9788454373677572,0.9772727489471436,0.8444444338480631,0.8444444537162781,42.0,0.8167829314867655,0.009162607292334238,0.8444444338480631,0.8924275636672974,0.8927353223164877,0.8444444537162781,0.00857628540446361,1.0,0.8444444537162781,0.9247506856918335,0.9146214524904887,0.862442135810852,0.9545454382896424,1.0,0.8529309431711832,0.7722222407658895,0.699999988079071,0.06333333333333334,0.25,0.9155229528745016,0.807692289352417,0.9146214524904887,0.8927353223164877,0.8803362647692362,0.8529309431711832,0.9054887096087137,0.9155229528745016,0.8803362647692362,0.8216081658999125,0.008814660521845022,0.8444444338480631,0.863066554069519,0.9247506856918335,0.008060774921129147,0.008814660521845022,0.008814660521845022,0.9064775904019674,1.0,0.9064775904019674,0.8924275636672974,0.7722222407658895,0.0013877674195708959,4.438614798688429e-05,0.03469440023724557,0.03849001565179121,0.041518481255795756,0.0009487417301770477,0.0,0.06938886728516519,0.06938889114611801,7.54983443527075,0.0013877674195708959,0.0004017748609105587,0.06938886728516519,0.0,0.00025631914464450175,0.06938889114611801,0.0003780727410347968,0.0,0.06938889114611801,0.00020090167948783906,0.041518481255795756,0.021846237961623105,0.0,0.0,0.000756936316933236,0.034694433642582574,0.0,0.08386497083606083,0.0,0.0002812510097322664,0.0,0.041518481255795756,0.00025631914464450175,0.00045650300644157815,0.000756936316933236,4.438614798688429e-05,0.0002812510097322664,0.00045650300644157815,0.03621938849396916,0.0007243094837098339,0.06938886728516519,0.022237880146421397,0.00020090167948783906,0.0003621546672894809,0.0007243094837098339,0.0007243094837098339,0.0003621472481183192,0.0,0.0003621472481183192,0.0,0.034694433642582574
no_init_box_kenn_hybrid_adapter_bert_ms,0.8167829314867655,0.9054206609725952,0.7722222010294596,0.8777778148651123,0.909913698832194,0.9722037514050802,0.9710998932520548,0.8444444537162781,0.8444444537162781,37.0,0.8167829314867655,0.009162607292334238,0.8444444537162781,0.8921806613604227,0.8927022814750671,0.844444473584493,0.00857592560350895,0.9876543283462524,0.8444444537162781,0.9246926705042521,0.909913698832194,0.8601723909378052,0.9545454382896424,0.9876543283462524,0.8528183499972025,0.7722222407658895,0.699999988079071,0.03,0.25,0.9154945214589437,0.807692289352417,0.909913698832194,0.8927022814750671,0.8803362449010214,0.8528183499972025,0.9054206609725952,0.9154945214589437,0.8803362449010214,0.8215737342834473,0.008814660521845022,0.8444444537162781,0.8606041073799133,0.9246926705042521,0.008060774765908718,0.008814660521845022,0.008814660521845022,0.9064775904019674,0.9876543283462524,0.9064775904019674,0.8921806613604227,0.7722222407658895,0.0007697789771260544,0.00010769035276915923,0.019244990619516757,0.03849001565179121,0.019946861811167425,0.011284793561581526,0.010691699691684542,0.03849001565179121,0.03849001565179121,9.16515138991168,0.0007697789771260544,0.0004017748609105587,0.03849001565179121,0.0004276473400127658,0.0001238824434009687,0.03848998123903349,0.00029018181546067157,0.02138333055785368,0.03849001565179121,0.00017398596150269166,0.019946861811167425,0.010616493037357374,0.0,0.02138333055785368,0.00036384230841002995,0.019245025032274446,0.0,0.017320508075688773,0.0,0.00018133134176971793,0.0,0.019946861811167425,0.0001238824434009687,0.0002532090712009151,0.00036384230841002995,0.00010769035276915923,0.00018133134176971793,0.0002532090712009151,0.027799485993868674,0.0004017748609105587,0.03849001565179121,0.010767996131704375,0.00017398596150269166,0.00020088716160560972,0.0004017748609105587,0.0004017748609105587,0.0002008672667300529,0.02138333055785368,0.0002008672667300529,0.0004276473400127658,0.019245025032274446
no_init_box_kenn_top_down_adapter_bert_ms,0.8167829314867655,0.905284583568573,0.7722222010294596,0.8777778148651123,0.898503581682841,0.9592592517534891,0.9594155748685201,0.8444444338480631,0.8444444537162781,42.666666666666664,0.8167829314867655,0.009162607292334238,0.8444444338480631,0.8917133013407389,0.8926360607147217,0.8444444537162781,0.00857628540446361,0.9642857114473978,0.8444444537162781,0.9246346950531006,0.898503581682841,0.8551947474479675,0.9545454382896424,0.9642857114473978,0.8526041905085245,0.7722222407658895,0.699999988079071,0.13,0.25,0.9154661099116007,0.807692289352417,0.898503581682841,0.8926360607147217,0.8803362647692362,0.8526041905085245,0.905284583568573,0.9154661099116007,0.8803362647692362,0.8216081658999125,0.008814660521845022,0.8444444338480631,0.8551226854324341,0.9246346950531006,0.008060774921129147,0.008814660521845022,0.008814660521845022,0.9064775904019674,0.9642857114473978,0.9064775904019674,0.8917133013407389,0.7722222407658895,0.0013877674195708959,0.00017486580658896783,0.03469440023724557,0.03849001565179121,0.03160023943704988,0.01889978043900048,0.01785716414452428,0.06938886728516519,0.06938889114611801,13.051181300301261,0.0013877674195708959,0.0004017748609105587,0.06938886728516519,0.0007142722608731391,0.00019716329068840361,0.06938889114611801,0.0003780727410347968,0.03571429848671374,0.06938889114611801,0.00020090167948784706,0.03160023943704988,0.017288000146851668,0.0,0.03571429848671374,0.0005684470701997632,0.034694433642582574,0.0,0.10816653826391968,0.0,0.00026271492373109454,0.0,0.03160023943704988,0.00019716329068840361,0.00045650300644157815,0.0005684470701997632,0.00017486580658896783,0.00026271492373109454,0.00045650300644157815,0.03621938849396916,0.0007243094837098339,0.06938886728516519,0.017323197560920864,0.00020090167948784706,0.0003621546672894809,0.0007243094837098339,0.0007243094837098339,0.0003621472481183192,0.03571429848671374,0.0003621472481183192,0.0007142722608731391,0.034694433642582574
no_init_kenn_bottom_up_adapter_bert_ms,0.8618650833765665,0.9104397892951965,0.8888888756434122,0.9333333571751913,0.7673322757085165,0.8318840563297272,0.8901515205701193,0.8777777751286825,0.8777777949968973,131.33333333333334,0.8618650833765665,0.009742519197364649,0.8777777751286825,0.9018096923828125,0.9045508901278178,0.8777777949968973,0.009501286471883455,0.780303031206131,0.8777777949968973,0.9261095921198527,0.7673322757085165,0.8775220115979513,1.0,0.780303031206131,0.881367027759552,0.8888888756434122,0.8999999761581421,0.6766666666666667,0.375,0.9200950860977173,0.9473683834075928,0.7673322757085165,0.9045508901278178,0.8987572987874349,0.881367027759552,0.9104397892951965,0.9200950860977173,0.8987572987874349,0.9102232257525126,0.009162607447554668,0.8777777751286825,0.8326265215873718,0.9261095921198527,0.009278589859604836,0.009162607447554668,0.009162607447554668,0.9141653180122375,0.780303031206131,0.9141653180122375,0.9018096923828125,0.8888889153798422,0.0026943149099198254,0.006678035552765601,0.06735752616160809,0.05773500627130796,0.2298185629689376,0.29118535599929996,0.1902631475067382,0.13471505232321615,0.13471505723932442,94.17713806085494,0.0026943149099198254,0.0006026620225161684,0.13471505232321615,0.007610519017717987,0.002967275858971234,0.13471505723932442,0.0006230105662633868,0.3805263122198553,0.13471505723932442,0.003934032048195031,0.2298185629689376,0.08276051970655034,0.0,0.3805263122198553,0.002689522531694372,0.06735752616160809,0.0,0.5340724045795039,0.0,0.0016962515478172976,0.0,0.2298185629689376,0.002967275858971234,0.0008862907425430564,0.002689522531694372,0.006678035552765601,0.0016962515478172976,0.0008862907425430564,0.05968441223579389,0.0014062113026556858,0.13471505232321615,0.15876838363912849,0.003934032048195031,0.0007031055265047845,0.0014062113026556858,0.0014062113026556858,0.0006771114221918509,0.3805263122198553,0.0006771114221918509,0.007610519017717987,0.06735749912301342
no_init_kenn_horizontal_adapter_bert_ms,0.8618650833765665,0.913111944993337,0.8888888557751974,0.9222222566604614,0.8561798731486002,0.9189189275105795,0.936170220375061,0.8777777552604675,0.8777777949968973,127.33333333333333,0.8618650833765665,0.00962653694053491,0.8777777552604675,0.9036504427591959,0.9058765172958374,0.8777777949968973,0.009447085050245127,0.8723404208819071,0.8777777949968973,0.9274530410766602,0.8561798731486002,0.9076362649599711,1.0,0.8723404208819071,0.8822563687960306,0.8888888756434122,0.8999999761581421,0.7600000000000001,0.375,0.9207605322202047,0.9473683834075928,0.8561798731486002,0.9058765172958374,0.8987572987874349,0.8822563687960306,0.913111944993337,0.9207605322202047,0.8987572987874349,0.9050307869911194,0.009162607602775097,0.8777777552604675,0.8974267443021139,0.9274530410766602,0.009278589549163977,0.009162607602775097,0.009162607602775097,0.9141653378804525,0.8723404208819071,0.9141653378804525,0.9036504427591959,0.8888889153798422,0.0020367022685915887,0.0020664785434662894,0.050917491680013034,0.03849001565179118,0.09759229990286382,0.1404365370838516,0.110556421346319,0.10183500937362319,0.10183504189062337,94.00709193105237,0.0020367022685915887,0.0004017748609105587,0.10183500937362319,0.004422245841770302,0.0007981094163711352,0.10183504189062337,0.00044244274141281084,0.2211128771053957,0.10183504189062337,0.0016071101976291296,0.09759229990286382,0.0404790621689573,0.0,0.2211128771053957,0.0014827521041698715,0.0509175176936127,0.0,0.3724244889907214,0.0,0.0006310208405478469,0.0,0.09759229990286382,0.0007981094163711352,0.0006699867627972171,0.0014827521041698715,0.0020664785434662894,0.0006310208405478469,0.0006699867627972171,0.04238596994696637,0.0010629958569288,0.10183500937362319,0.05668112163865853,0.0016071101976291296,0.0005314979792722337,0.0010629958569288,0.0010629958569288,0.0005066739986852795,0.2211128771053957,0.0005066739986852795,0.004422245841770302,0.050917491680013034
no_init_kenn_hybrid_adapter_bert_ms,0.8620873093605042,0.9094561139742533,0.8944444259007772,0.9333333571751913,0.7554735740025839,0.8128205140431722,0.8818770249684652,0.8888888756434122,0.8888888955116272,128.0,0.8620873093605042,0.009742519197364649,0.8888888756434122,0.9014787077903748,0.9040971000989279,0.8888888955116272,0.009532858617603779,0.7637540499369303,0.8888888955116272,0.9255779981613159,0.7554735740025839,0.8750817974408468,1.0,0.7637540499369303,0.8813239336013794,0.8944444259007772,0.8999999761581421,0.6733333333333333,0.375,0.9198605020840963,0.9473683834075928,0.7554735740025839,0.9040971000989279,0.8988303939501444,0.8813239336013794,0.9094561139742533,0.9198605020840963,0.8988303939501444,0.9132478833198547,0.009278589859604836,0.8888888756434122,0.8188197612762451,0.9255779981613159,0.009336580832799276,0.009278589859604836,0.009278589859604836,0.914223313331604,0.7637540499369303,0.914223313331604,0.9014787077903748,0.894444465637207,0.002341264905875665,0.008398296878372414,0.05853141332110524,0.05773500627130796,0.2665475237383412,0.3242043798118509,0.2045949942958082,0.11706282664221047,0.11706282947092389,94.50396817065408,0.002341264905875665,0.0006026620225161684,0.11706282664221047,0.008183801148342638,0.0038502061072617057,0.11706282947092389,0.0005812313492385697,0.4091899885916165,0.11706282947092389,0.004854779793377419,0.2665475237383412,0.09402327669349142,0.0,0.4091899885916165,0.003004463610842029,0.05853141332110524,0.0,0.5484827557301444,0.0,0.0021718679263093405,0.0,0.2665475237383412,0.0038502061072617057,0.0007701647282683113,0.003004463610842029,0.008398296878372414,0.0021718679263093405,0.0007701647282683113,0.05568190160123406,0.00122194982760345,0.11706282664221047,0.19046749965188928,0.004854779793377419,0.0006109751568941019,0.00122194982760345,0.00122194982760345,0.0005837514832948168,0.4091899885916165,0.0005837514832948168,0.008183801148342638,0.05853138503399429
no_init_kenn_top_down_adapter_bert_ms,0.8620873093605042,0.9097854097684225,0.8944444259007772,0.9333333571751913,0.7613476316134135,0.8186666667461395,0.8843537370363871,0.8888888756434122,0.8888888955116272,128.0,0.8620873093605042,0.009742519197364649,0.8888888756434122,0.9015777905782064,0.9042616287867228,0.8888888955116272,0.009532858617603779,0.7687074840068817,0.8888888955116272,0.9256359934806824,0.7613476316134135,0.8768295248349508,1.0,0.7687074840068817,0.8813718954722086,0.8944444259007772,0.8999999761581421,0.7200000000000001,0.375,0.9198893308639526,0.9473683834075928,0.7613476316134135,0.9042616287867228,0.8988303939501444,0.8813718954722086,0.9097854097684225,0.9198893308639526,0.8988303939501444,0.9132478833198547,0.009278589859604836,0.8888888756434122,0.8242251674334208,0.9256359934806824,0.009336580832799276,0.009278589859604836,0.009278589859604836,0.914223313331604,0.7687074840068817,0.914223313331604,0.9015777905782064,0.894444465637207,0.002341264905875665,0.007827946174261998,0.05853141332110524,0.05773500627130796,0.2564914476506517,0.3140785463015054,0.20030520315844844,0.11706282664221047,0.11706282947092389,94.50396817065408,0.002341264905875665,0.0006026620225161684,0.11706282664221047,0.008012184725662688,0.0035658421828884466,0.11706282947092389,0.0005812313492385697,0.400610389110518,0.11706282947092389,0.004754328953633535,0.2564914476506517,0.09106158555317734,0.0,0.400610389110518,0.0029237497403744113,0.05853141332110524,0.0,0.4676537180435969,0.0,0.0021221044893744417,0.0,0.2564914476506517,0.0035658421828884466,0.0007701647282683113,0.0029237497403744113,0.007827946174261998,0.0021221044893744417,0.0007701647282683113,0.05568190160123406,0.00122194982760345,0.11706282664221047,0.18115488962800422,0.004754328953633535,0.0006109751568941019,0.00122194982760345,0.00122194982760345,0.0005837514832948168,0.400610389110518,0.0005837514832948168,0.008012184725662688,0.05853138503399429
smart_init_box_adapter_bert_ms,0.8165607253710429,0.9054135680198669,0.7666666507720947,0.8777778148651123,0.9026833176612854,0.9721670548121134,0.9713203509648641,0.8333333134651184,0.8333333532015482,32.0,0.8165607253710429,0.009162607292334238,0.8333333134651184,0.8921894828478495,0.8926611741383871,0.8333333730697632,0.008542800322175026,0.988095243771871,0.8333333532015482,0.9247506856918335,0.9026833176612854,0.8565494020779928,0.9545454382896424,0.988095243771871,0.8527008692423502,0.7666666706403097,0.699999988079071,0.29333333333333333,0.25,0.9154934088389078,0.807692289352417,0.9026833176612854,0.8926611741383871,0.8802631696065267,0.8527008692423502,0.9054135680198669,0.9154934088389078,0.8802631696065267,0.8184002240498861,0.008698677954574427,0.8333333134651184,0.8568785587946574,0.9247506856918335,0.008002783947934708,0.008698677954574427,0.008698677954574427,0.9064196149508158,0.988095243771871,0.9064196149508158,0.8921894828478495,0.7666666706403097,0.0013333261014141374,8.370436268672483e-05,0.03333330154418945,0.03849001565179121,0.0320392105857198,0.010547599805064896,0.01030985573217851,0.06666666269302368,0.0666666924953483,2.6457513110645907,0.0013333261014141374,0.0004017748609105587,0.06666666269302368,0.0004123680755912671,0.00019868720266748971,0.06666669249536605,0.0003598735447333384,0.02061964263884159,0.0666666924953483,0.00020090167948783906,0.0320392105857198,0.017445808542346453,0.0,0.02061964263884159,0.0005716666730968494,0.03333333134651627,0.0,0.1530795000427338,0.0,0.0002672862639135108,0.0,0.0320392105857198,0.00019868720266748971,0.00043860077891720253,0.0005716666730968494,8.370436268672483e-05,0.0002672862639135108,0.00043860077891720253,0.03447586616036812,0.0006958940066397707,0.06666666269302368,0.017501483287642308,0.00020090167948783906,0.00034794700331988525,0.0006958940066397707,0.0006958940066397707,0.000347942114301828,0.02061964263884159,0.000347942114301828,0.0004123680755912671,0.03333333134651627
smart_init_classifier_adapter_bert_ms,0.8618650833765665,0.9131121834119161,0.8888888756434122,0.9333333571751913,0.8552422523498535,0.9199999968210856,0.9375,0.8777777751286825,0.8777777751286825,9.0,0.8618650833765665,0.009742519197364649,0.8777777751286825,0.9037036299705505,0.9058764775594076,0.8777777751286825,0.009503591805696487,0.875,0.8777777751286825,0.9278783003489176,0.8552422523498535,0.9076768159866333,1.0,0.875,0.8822807272275289,0.8888888756434122,0.8999999761581421,0.6766666666666667,0.375,0.9209704200426737,0.9473683834075928,0.8552422523498535,0.9058764775594076,0.8987572987874349,0.8822807272275289,0.9131121834119161,0.9209704200426737,0.8987572987874349,0.9104441404342651,0.009162607602775097,0.8777777751286825,0.8971961537996928,0.9278783003489176,0.009278589549163977,0.009162607602775097,0.009162607602775097,0.9141653180122375,0.875,0.9141653180122375,0.9037036299705505,0.8888888955116272,0.0023412677346228076,0.0020493946536032075,0.05853141332110524,0.05773500627130796,0.080423832407178,0.13856407011155142,0.10825317547305482,0.11706282664221047,0.11706282664221047,3.0,0.0023412677346228076,0.0006026620225161684,0.11706282664221047,0.004330122889391269,0.0006805304303598798,0.11706282664221047,0.0005937517454563382,0.21650635094610965,0.11706282664221047,0.0008705395316893802,0.080423832407178,0.031107431769839603,0.0,0.21650635094610965,0.0010955473191696674,0.05853141332110524,0.0,0.5427092530382482,0.0,0.0002122248578546379,0.0,0.080423832407178,0.0006805304303598798,0.0007701647282683113,0.0010955473191696674,0.0020493946536032075,0.0002122248578546379,0.0007701647282683113,0.05688134811559505,0.00122194982760345,0.11706282664221047,0.047924500172335106,0.0008705395316893802,0.0006109751568941019,0.00122194982760345,0.00122194982760345,0.0005808574899230172,0.21650635094610965,0.0005808574899230172,0.004330122889391269,0.05853138503399429
