name,test_pretraining/macro_example/precision/mean,epoch/mean,test_pretraining/micro/f1/mean,test_pretraining/micro/recall/mean,test_incremental_only/macro_types/f1/mean,test_incremental_only/macro_example/recall/mean,test_incremental_only/macro_example_exclusive/precision/mean,threshold_pretraining/mean,test_incremental/macro_types/f1/mean,test_pretraining/macro_types/recall/mean,test_incremental/macro_types/precision/mean,test_pretraining/macro_types/precision/mean,test/macro_example/recall/mean,test_incremental_only/macro_types/recall/mean,test_incremental_only/macro_example_exclusive/f1/mean,test_incremental_visual_art-color/macro_types/recall/mean,test_incremental/macro_example/precision/mean,test_incremental/macro_example_exclusive/f1/mean,test/macro_types/recall/mean,test/micro/recall/mean,test/macro_example/precision/mean,test_incremental/micro/precision/mean,test_incremental_only/macro_types/precision/mean,test_incremental_only/macro_example/precision/mean,test_incremental/macro_example/f1/mean,test_incremental_only/micro/recall/mean,test_incremental/macro_example_exclusive/recall/mean,test_incremental_only/macro_example_exclusive/recall/mean,test_incremental/micro/recall/mean,test_pretraining/macro_types/f1/mean,test_incremental_visual_art/macro_types/precision/mean,test/macro_example/f1/mean,test_incremental_visual_art/macro_types/f1/mean,test/micro/precision/mean,test_incremental/micro/f1/mean,test_pretraining/macro_example/f1/mean,test_incremental/macro_example/recall/mean,test_incremental_only/macro_example/f1/mean,test_incremental_only/micro/f1/mean,test_pretraining/micro/precision/mean,test_incremental_visual_art-color/macro_types/f1/mean,test_incremental_visual_art-color/macro_types/precision/mean,test/micro/f1/mean,test/macro_types/f1/mean,test_incremental/macro_types/recall/mean,test_incremental_visual_art/macro_types/recall/mean,test/macro_types/precision/mean,test_pretraining/macro_example/recall/mean,threshold_incremental/mean,test_incremental_only/micro/precision/mean,test_incremental/macro_example_exclusive/precision/mean,test_pretraining/macro_example/precision/std,epoch/std,test_pretraining/micro/f1/std,test_pretraining/micro/recall/std,test_incremental_only/macro_types/f1/std,test_incremental_only/macro_example/recall/std,test_incremental_only/macro_example_exclusive/precision/std,threshold_pretraining/std,test_incremental/macro_types/f1/std,test_pretraining/macro_types/recall/std,test_incremental/macro_types/precision/std,test_pretraining/macro_types/precision/std,test/macro_example/recall/std,test_incremental_only/macro_types/recall/std,test_incremental_only/macro_example_exclusive/f1/std,test_incremental_visual_art-color/macro_types/recall/std,test_incremental/macro_example/precision/std,test_incremental/macro_example_exclusive/f1/std,test/macro_types/recall/std,test/micro/recall/std,test/macro_example/precision/std,test_incremental/micro/precision/std,test_incremental_only/macro_types/precision/std,test_incremental_only/macro_example/precision/std,test_incremental/macro_example/f1/std,test_incremental_only/micro/recall/std,test_incremental/macro_example_exclusive/recall/std,test_incremental_only/macro_example_exclusive/recall/std,test_incremental/micro/recall/std,test_pretraining/macro_types/f1/std,test_incremental_visual_art/macro_types/precision/std,test/macro_example/f1/std,test_incremental_visual_art/macro_types/f1/std,test/micro/precision/std,test_incremental/micro/f1/std,test_pretraining/macro_example/f1/std,test_incremental/macro_example/recall/std,test_incremental_only/macro_example/f1/std,test_incremental_only/micro/f1/std,test_pretraining/micro/precision/std,test_incremental_visual_art-color/macro_types/f1/std,test_incremental_visual_art-color/macro_types/precision/std,test/micro/f1/std,test/macro_types/f1/std,test_incremental/macro_types/recall/std,test_incremental_visual_art/macro_types/recall/std,test/macro_types/precision/std,test_pretraining/macro_example/recall/std,threshold_incremental/std,test_incremental_only/micro/precision/std,test_incremental/macro_example_exclusive/precision/std
no_init_box_kenn_bottom_up_adapter_bert_ms,0.9247506856918335,43.666666666666664,0.8922426303227743,0.8794590632120768,0.8298628528912863,0.007422872042904298,0.7111111680666605,0.25,0.8191531697909037,0.8141162792841593,0.9772727489471436,0.8924275636672974,0.9058590730031332,0.7111111084620158,0.7111111481984457,0.7111111084620158,0.008698677954574427,0.7632426818211874,0.8141162792841593,0.8794590632120768,0.9247506856918335,0.9768867691357931,1.0,0.007422872042904298,0.00796704227104783,0.7111111084620158,0.7055555979410807,0.7111111680666605,0.7055555582046509,0.8514747023582458,0.9545454382896424,0.9152073661486307,0.807692289352417,0.9054033557573953,0.8190325101216634,0.9152073661486307,0.00736488060404857,0.007422872198124726,0.8298628528912863,0.9054033557573953,0.8298628528912863,1.0,0.8922426303227743,0.8514747023582458,0.7055555582046509,0.699999988079071,0.8924275636672974,0.9058590730031332,0.04666666666666667,1.0,0.8333333929379781,0.00020090167948783906,6.110100926607787,0.00025653389256652864,0.0004565030064415715,0.048313033262853564,0.0007243099311027157,0.06938888160174811,0.0,0.023620270925771264,0.0013877674195708891,0.0,0.0,0.0004194990369257892,0.06938886728516518,0.06938885774078345,0.06938886728516518,0.0006958940066397712,0.03890235438681392,0.0013877674195708891,0.0004565030064415715,0.00020090167948783906,0.0011343681210364653,0.0,0.0007243099311027157,0.0004060795112086854,0.06938886728516518,0.034694400237245564,0.06938888160174811,0.03469442409820874,0.0007592937791097148,0.0,0.00031232027558788746,0.0,4.448636629688279e-05,0.024001360814776072,0.00031232027558788746,0.0003621547418549169,0.0007243096701235308,0.048313033262853564,4.448636629688279e-05,0.048313033262853564,0.0,0.00025653389256652864,0.0007592937791097148,0.03469446704792158,0.0,0.0,0.0004194990369257892,0.020816659994661323,0.0,0.06666663289070353
no_init_box_kenn_horizontal_adapter_bert_ms,0.9246926705042521,48.333333333333336,0.8921193480491638,0.8792397379875183,0.805237332979838,0.007074924806753795,0.6777778069178263,0.25,0.8074752489725748,0.8134496013323466,0.9772727489471436,0.8924275636672974,0.9057430823644003,0.6777777870496114,0.6777778069178263,0.6777777870496114,0.008234748616814613,0.735028068224589,0.8134496013323466,0.8792397379875183,0.9246926705042521,0.9763014912605286,1.0,0.007074924806753795,0.007672526407986879,0.6777777870496114,0.6888889074325562,0.6777778069178263,0.6888888676961263,0.851109524567922,0.9545454382896424,0.9151197473208109,0.807692289352417,0.905381997426351,0.807174285252889,0.9151197473208109,0.007190907063583533,0.007074924806753795,0.805237332979838,0.905381997426351,0.805237332979838,1.0,0.8921193480491638,0.851109524567922,0.6888889074325562,0.699999988079071,0.8924275636672974,0.9057430823644003,0.17666666666666667,1.0,0.7888889710108439,0.00017398596150269166,8.504900548115382,0.0003558623274379921,0.0006330570907600138,0.07086949556875459,0.001004436749001919,0.09622502192309917,0.0,0.033684721403995165,0.001924499061951683,0.0,0.0,0.0005261903082091479,0.09622505633585686,0.09622502192309917,0.09622505633585686,0.00040177432321121943,0.03880524209295632,0.001924499061951683,0.0006330570907600138,0.00017398596150269166,0.0016822676604589734,0.0,0.001004436749001919,0.000405065130986774,0.09622505633585686,0.048112545374307286,0.09622502192309917,0.04811251096154957,0.001054131594050913,0.0,0.0003496581416037487,0.0,6.17020745668526e-05,0.03420579938117976,0.0003496581416037487,0.0005022184417133634,0.001004436749001919,0.07086949556875459,6.17020745668526e-05,0.07086949556875459,0.0,0.0003558623274379921,0.001054131594050913,0.048112545374307286,0.0,0.0,0.0005261903082091479,0.07023769168568493,0.0,0.03848998123903349
no_init_box_kenn_hybrid_adapter_bert_ms,0.9247506856918335,43.666666666666664,0.8924068808555603,0.879751443862915,0.8595913847287496,0.007886801225443682,0.7555555899937948,0.25,0.8339646855990092,0.8150051633516947,0.9772727489471436,0.8924275636672974,0.9060910145441691,0.7555555502573649,0.7555556098620096,0.7555555502573649,0.008698677954574427,0.7765645186106364,0.8150051633516947,0.879751443862915,0.9247506856918335,0.9775801102320353,1.0,0.007886801225443682,0.008106101459513107,0.7555555502573649,0.7277777989705404,0.7555555899937948,0.7277777592341105,0.8519606391588846,0.9545454382896424,0.9153257608413696,0.807692289352417,0.9054318269093832,0.834090014298757,0.9153257608413696,0.007596845583369334,0.007886801225443682,0.8595913847287496,0.9054318269093832,0.8595913847287496,1.0,0.8924068808555603,0.8519606391588846,0.7277777791023254,0.699999988079071,0.8924275636672974,0.9060910145441691,0.04666666666666667,1.0,0.8333333929379781,0.00020090167948783906,6.110100926607787,0.00025642413497452163,0.00045651255022464125,0.04433532578612563,0.0007243095955581171,0.06938886728516518,0.0,0.02260542080114778,0.001387800824882306,0.0,0.0,0.0003495824831572465,0.06938885774078345,0.06938890069050367,0.06938885774078345,0.0006958940066397712,0.04565805916125165,0.001387800824882306,0.00045651255022464125,0.00020090167948783906,0.0010247891896262502,0.0,0.0007243095955581171,0.0004765986829733587,0.06938885774078345,0.034694400237245564,0.06938886728516518,0.03469443364258258,0.0007579861940067693,0.0,0.0002710260163836965,0.0,4.4443420425341e-05,0.022993159731311223,0.0002710260163836965,0.00036215500283412195,0.0007243095955581171,0.04433532578612563,4.4443420425341e-05,0.04433532578612563,0.0,0.00025642413497452163,0.0007579861940067693,0.03469442409820874,0.0,0.0,0.0003495824831572465,0.020816659994661323,0.0,0.06666663289070353
no_init_box_kenn_top_down_adapter_bert_ms,0.9247506856918335,45.666666666666664,0.892201562722524,0.8793859481811523,0.8226059675216675,0.0073068894756337,0.7000000278155009,0.25,0.8154909809430441,0.8138940533002218,0.9772727489471436,0.8924275636672974,0.9058010776837667,0.700000007947286,0.7000000278155009,0.700000007947286,0.008698677954574427,0.7598343094189962,0.8138940533002218,0.8793859481811523,0.9247506856918335,0.9767184257507324,1.0,0.0073068894756337,0.007931464817374945,0.700000007947286,0.7000000476837158,0.7000000278155009,0.699999988079071,0.8513532678286234,0.9545454382896424,0.9151777823766073,0.807692289352417,0.905396242936452,0.815308411916097,0.9151777823766073,0.00730688963085413,0.00730688963085413,0.8226059675216675,0.905396242936452,0.8226059675216675,1.0,0.892201562722524,0.8513532678286234,0.700000007947286,0.699999988079071,0.8924275636672974,0.9058010776837667,0.27,1.0,0.8333333929379781,0.00020090167948783906,6.110100926607787,0.0002134623360504576,0.00037981360680138464,0.04078613808421023,0.0006026621569410481,0.05773500627130796,0.0,0.01980106637128838,0.0011546856720679145,0.0,0.0,0.0003861518656778812,0.057735040684065646,0.05773500627130796,0.057735040684065646,0.0006958940066397712,0.0329988842007216,0.0011546856720679145,0.00037981360680138464,0.00020090167948783906,0.000960115939998064,0.0,0.0006026621569410481,0.0003444575954657762,0.057735040684065646,0.028867485929275124,0.05773500627130796,0.028867485929275124,0.000631955882513429,0.0,0.00029244603541751194,0.0,3.702812729167359e-05,0.020117078725302797,0.00029244603541751194,0.0003013311456830089,0.0006026618880913784,0.04078613808421023,3.702812729167359e-05,0.04078613808421023,0.0,0.0002134623360504576,0.000631955882513429,0.028867554754790525,0.0,0.0,0.0003861518656778812,0.10148891565092219,0.0,0.06666663289070353
no_init_kenn_bottom_up_adapter_bert_ms,0.9268634716669718,189.33333333333334,0.9051100413004557,0.8983918229738871,0.77537073691686,0.008582695542524258,0.8222222725550333,0.375,0.8747151494026184,0.8607539931933085,0.9088541666666666,0.9025577902793884,0.9139140446980795,0.8222222129503886,0.8222222924232483,0.8222222129503886,0.00962653694053491,0.8901167909304301,0.8607539931933085,0.8983918229738871,0.9268634716669718,0.8717948794364929,0.8177083333333334,0.008582695542524258,0.009291406410435835,0.8222222129503886,0.8611111442248026,0.8222222725550333,0.8611111243565878,0.8811454176902771,1.0,0.9203412731488546,0.9473683834075928,0.9119382898012797,0.8495993415514628,0.9203412731488546,0.008988633751869202,0.008582695542524258,0.77537073691686,0.9119382898012797,0.77537073691686,0.8177083333333334,0.9051100413004557,0.8811454176902771,0.8611110846201578,0.8999999761581421,0.9025577902793884,0.9139140446980795,0.6666666666666666,0.8177083333333334,0.9222222566604614,0.0026282743697976637,117.73841061154738,0.0015931443000535477,0.000988872515527889,0.14758429605008247,0.0015689805066896637,0.15030830071366488,0.0,0.05584756334536818,0.003006157907047804,0.1578692142315383,0.006314775451813073,0.0007656845363874776,0.1503083007136649,0.15030830291671812,0.1503083007136649,0.0004017748609105587,0.05637800166378263,0.003006157907047804,0.000988872515527889,0.0026282743697976637,0.2220577826064877,0.3157384284630766,0.0015689805066896637,0.0005884976763962934,0.1503083007136649,0.07515411951411992,0.15030830071366488,0.07515415035683248,0.0019228259219419765,0.0,0.0010310644354841504,0.0,0.004016391669507998,0.09672038168945099,0.0010310644354841504,0.0007844901672882221,0.0015689805066896637,0.14758429605008247,0.004016391669507998,0.14758429605008247,0.3157384284630766,0.0015931443000535477,0.0019228259219419765,0.07515415255988965,0.0,0.006314775451813073,0.0007656845363874776,0.5089531740085067,0.3157384284630766,0.03849001565179118
no_init_kenn_horizontal_adapter_bert_ms,0.9274917046229044,189.66666666666666,0.9056607882181803,0.898245632648468,0.8137859503428141,0.008350730563203493,0.8000000516573588,0.375,0.8870415687561035,0.8603095412254333,0.939393937587738,0.9037793874740601,0.9137980739275614,0.799999992052714,0.8000000715255737,0.799999992052714,0.009510554373264313,0.8786479632059733,0.8603095412254333,0.898245632648468,0.9274917046229044,0.9248826305071512,0.8787878751754761,0.008350730563203493,0.009171690481404463,0.799999992052714,0.8500000238418579,0.8000000516573588,0.850000003973643,0.88150022427241,1.0,0.9205931425094604,0.9473683834075928,0.9132019678751627,0.8787302176157633,0.9205931425094604,0.008872651805480322,0.008350730718423923,0.8137859503428141,0.9132019678751627,0.8137859503428141,0.8787878751754761,0.9056607882181803,0.88150022427241,0.8499999841054281,0.8999999761581421,0.9037793874740601,0.9137980739275614,0.7633333333333333,0.8787878751754761,0.9111111561457316,0.0014901997093756528,118.15808619528896,0.0006222814444573872,0.0010049508788173033,0.08306746291072199,0.0015944938362009902,0.15275252706723505,0.0,0.036003674869927546,0.003055043647761548,0.10497277934472811,0.0041989070442581995,0.0007894983895346552,0.15275252706723505,0.15275253357063623,0.15275252706723505,0.00020088716160560972,0.04861009036381962,0.003055043647761548,0.0010049508788173033,0.0014901997093756528,0.13010710049253837,0.20994555868945622,0.0015944938362009902,0.0005074114938256335,0.15275252706723505,0.07637624727511835,0.15275252706723505,0.0763762797921171,0.0013180643716723455,0.0,0.0005563059367444197,0.0,0.001811641910486389,0.04541302832194086,0.0005563059367444197,0.000797246918100495,0.0015944935821619332,0.08306746291072199,0.001811641910486389,0.08306746291072199,0.20994555868945622,0.0006222814444573872,0.0013180643716723455,0.07637625377852075,0.0,0.0041989070442581995,0.0007894983895346552,0.31785741037976967,0.20994555868945622,0.01924502503227447
no_init_kenn_hybrid_adapter_bert_ms,0.9264381925264994,189.33333333333334,0.90489262342453,0.8985380132993063,0.7727838754653931,0.008814660366624594,0.844444473584493,0.375,0.8755862315495809,0.8611984252929688,0.8995433847109476,0.9021853605906168,0.9140300154685974,0.8444444338480631,0.8444444934527079,0.8444444338480631,0.00962653694053491,0.8963457544644674,0.8611984252929688,0.8985380132993063,0.9264381925264994,0.8533333341280619,0.7990867594877878,0.008814660366624594,0.00935642762730519,0.8444444338480631,0.8722222447395325,0.844444473584493,0.8722222248713175,0.8812001347541809,1.0,0.9201895793279012,0.9473683834075928,0.9113500714302063,0.8425513704617819,0.9201895793279012,0.009104616319139799,0.008814660366624594,0.7727838754653931,0.9113500714302063,0.7727838754653931,0.7990867594877878,0.90489262342453,0.8812001347541809,0.8722222050031027,0.8999999761581421,0.9021853605906168,0.9140300154685974,0.6733333333333333,0.7990867594877878,0.9222222566604614,0.003364879448495103,117.45779383818399,0.0021580986864313434,0.0007701647282683113,0.18429220017576725,0.0012219500927951664,0.11706282664221045,0.0,0.06785627945941983,0.002341264905875665,0.17399596163703912,0.006959842595012497,0.0005808902174606351,0.11706279835509788,0.11706282381350708,0.11706279835509788,0.0004017748609105587,0.04810352273571023,0.002341264905875665,0.0007701647282683113,0.003364879448495103,0.254034117066925,0.34799194048045706,0.0012219500927951664,0.0005021242712965625,0.11706279835509788,0.05853138503399432,0.11706282664221045,0.05853141332110526,0.0022863028259421047,0.0,0.001425321867868492,0.0,0.005068202943926799,0.12433043858352062,0.001425321867868492,0.0006109746707093693,0.0012219500927951664,0.18429220017576725,0.005068202943926799,0.18429220017576725,0.34799194048045706,0.0021580986864313434,0.0022863028259421047,0.0585313822052845,0.0,0.006959842595012497,0.0005808902174606351,0.5398456569551462,0.34799194048045706,0.03849001565179118
no_init_kenn_top_down_adapter_bert_ms,0.9266314903895062,189.33333333333334,0.9050582051277161,0.8985380132993063,0.7823604941368103,0.008814660366624594,0.844444473584493,0.375,0.8787426551183065,0.8611984252929688,0.9044117530186971,0.902380108833313,0.9140300154685974,0.8444444338480631,0.8444444934527079,0.8444444338480631,0.00962653694053491,0.8963457544644674,0.8611984252929688,0.8985380132993063,0.9266314903895062,0.8631578882535299,0.8088235259056091,0.008814660366624594,0.00935642762730519,0.8444444338480631,0.8722222447395325,0.844444473584493,0.8722222248713175,0.8812941312789917,1.0,0.9202853639920553,0.9473683834075928,0.9116836587587992,0.8500782251358032,0.9202853639920553,0.009104616319139799,0.008814660366624594,0.7823604941368103,0.9116836587587992,0.7823604941368103,0.8088235259056091,0.9050582051277161,0.8812941312789917,0.8722222050031027,0.8999999761581421,0.902380108833313,0.9140300154685974,0.7366666666666667,0.8088235259056091,0.9222222566604614,0.0030300777287731095,117.45779383818399,0.0018724741401352112,0.0007701647282683113,0.16797249398603487,0.0012219500927951664,0.11706282664221045,0.0,0.06253110195066165,0.002341264905875665,0.16556370037805895,0.006622528743978044,0.0005808902174606351,0.11706279835509788,0.11706282381350708,0.11706279835509788,0.0004017748609105587,0.04810352273571023,0.002341264905875665,0.0007701647282683113,0.0030300777287731095,0.23701749015990414,0.33112736634336026,0.0012219500927951664,0.0005021242712965625,0.11706279835509788,0.05853138503399432,0.11706282664221045,0.05853141332110526,0.0021282034332720857,0.0,0.0012606341567285239,0.0,0.004490423197804564,0.1113962715345628,0.0012606341567285239,0.0006109746707093693,0.0012219500927951664,0.16797249398603487,0.004490423197804564,0.16797249398603487,0.33112736634336026,0.0018724741401352112,0.0021282034332720857,0.0585313822052845,0.0,0.006622528743978044,0.0005808902174606351,0.4301550108197431,0.33112736634336026,0.03849001565179118
smart_init_box_adapter_bert_ms,0.9247506856918335,25.666666666666668,0.8924969832102457,0.8799707492192587,0.8751591245333353,0.008234748306373755,0.7888889312744141,0.25,0.8422358830769857,0.8156718413035074,0.9708624680836996,0.8921711643536886,0.9062456488609314,0.7888888716697693,0.7888889710108439,0.7888888716697693,0.008814660211404165,0.791092574596405,0.8156718413035074,0.8799707492192587,0.9247506856918335,0.9712669650713602,0.9871794780095419,0.008234748306373755,0.0082577516635259,0.7888888716697693,0.74444446961085,0.7888889312744141,0.7444444298744202,0.8522075414657593,0.9545454382896424,0.9154046575228372,0.807692289352417,0.9053850968678793,0.8423996369043986,0.9154046575228372,0.007770818813393514,0.008234748306373755,0.8751591245333353,0.9053850968678793,0.8751591245333353,0.9871794780095419,0.8924969832102457,0.8522075414657593,0.7444444298744202,0.699999988079071,0.8921711643536886,0.9062456488609314,0.3166666666666667,0.9871794780095419,0.8444444934527079,0.00020090167948783906,6.429100507328636,0.0002606204646811021,0.0005064525551595442,0.04544346813628088,0.000803549184121778,0.07698003130358241,0.0,0.023270516329207923,0.0015396267797675128,0.011102932146271454,0.0004440966381962531,0.00040591188899789847,0.07698003130358241,0.07698006571634013,0.07698003130358241,0.0005314979792722337,0.04118460649100479,0.0015396267797675128,0.0005064525551595442,0.00020090167948783906,0.011244502993343848,0.02220579546702756,0.000803549184121778,0.0004299026108091195,0.07698003130358241,0.0384899984454239,0.07698003130358241,0.03849001565179121,0.0007601285563470015,0.0,0.0003048341691350359,0.0,0.00010255640953038593,0.02360444117765068,0.0003048341691350359,0.0004017748609108278,0.000803549184121778,0.04544346813628088,0.00010255640953038593,0.04544346813628088,0.02220579546702756,0.0002606204646811021,0.0007601285563470015,0.03849001565179121,0.0,0.0004440966381962531,0.00040591188899789847,0.22810816147900834,0.02220579546702756,0.050917491680013006
smart_init_classifier_adapter_bert_ms,0.9281296133995056,24.666666666666668,0.9060483972231547,0.8984649181365967,0.8647477229436239,0.008698678109794855,0.8333333730697632,0.375,0.9095666209856669,0.8609761993090311,0.9639639655749003,0.9047621885935465,0.9139333764712015,0.8333333333333334,0.8333333730697632,0.8333333333333334,0.00962653694053491,0.8929734031359354,0.8609761993090311,0.8984649181365967,0.9281296133995056,0.9583333333333334,0.9279279311498007,0.008698678109794855,0.009321224875748158,0.8333333333333334,0.8666666746139526,0.8333333730697632,0.8666666746139526,0.8823211391766866,1.0,0.9209765791893005,0.9473683834075928,0.913762092590332,0.9065945148468018,0.9209765791893005,0.009046624725063642,0.008698678109794855,0.8647477229436239,0.913762092590332,0.8647477229436239,0.9279279311498007,0.9060483972231547,0.8823211391766866,0.8666666348775228,0.8999999761581421,0.9047621885935465,0.9139333764712015,0.6966666666666667,0.9279279311498007,0.9222222566604614,0.00038611755009447464,29.77135088190211,0.0003656606621703853,0.0010049508788173033,0.06429070521240697,0.0015944940902400517,0.15275249455023668,0.0,0.029857648039922337,0.0030550371444239338,0.06241624252757379,0.0024966455715720345,0.0007722455441555997,0.15275250105363536,0.15275249455023668,0.15275250105363536,0.0004017748609105587,0.05605475283799073,0.0030550371444239338,0.0010049508788173033,0.00038611755009447464,0.07216878364870322,0.12483248505514756,0.0015944940902400517,0.0005851232145613768,0.15275250105363536,0.07637624727511838,0.15275249455023668,0.07637624727511838,0.0010536605113521777,0.0,0.00029655138395528633,0.0,0.0008756423992466817,0.029916778127672527,0.00029655138395528633,0.0007972469181004952,0.0015944940902400517,0.06429070521240697,0.0008756423992466817,0.06429070521240697,0.12483248505514756,0.0003656606621703853,0.0010536605113521777,0.07637625377852078,0.0,0.0024966455715720345,0.0007722455441555997,0.5080682368868706,0.12483248505514756,0.03849001565179118
