name,instance,run_id,test/micro/recall,test/micro/precision,test_incremental/micro/recall,test_incremental/macro_example_exclusive/precision,test_incremental_other-living_thing/macro_types/precision,test_pretraining/macro_example/recall,test_incremental_only/macro_example_exclusive/recall,test_incremental_other-living_thing-animal/macro_types/recall,test_pretraining/micro/recall,test_pretraining/macro_types/recall,test_incremental_only/micro/precision,test_incremental_other-living_thing-animal/macro_types/f1,test_incremental/macro_example/f1,test/macro_types/f1,test_incremental/micro/precision,test_incremental_only/macro_example_exclusive/f1,test_pretraining/micro/precision,test/micro/f1,test/macro_example/f1,test/macro_types/recall,epoch,threshold_pretraining,test_pretraining/macro_example/f1,threshold_incremental,test_incremental/macro_types/recall,test_incremental/macro_example_exclusive/f1,test_pretraining/micro/f1,test_incremental_only/macro_example/precision,test_pretraining/macro_types/f1,test_incremental/macro_types/precision,test_incremental/macro_example/precision,test_incremental/macro_example_exclusive/recall,test_incremental_only/macro_example_exclusive/precision,test_incremental_other-living_thing-animal/macro_types/precision,test/macro_types/precision,test/macro_example/precision,test_incremental_only/micro/recall,test_incremental_only/macro_types/f1,test/macro_example/recall,test_incremental_only/macro_example/f1,test_pretraining/macro_example/precision,test_incremental_only/macro_example/recall,test_incremental_other-living_thing/macro_types/recall,test_incremental_only/macro_types/recall,test_incremental_other-living_thing/macro_types/f1,test_incremental/macro_example/recall,test_pretraining/macro_types/precision,test_incremental/micro/f1,test_incremental_only/micro/f1,test_incremental/macro_types/f1,test_incremental_only/macro_types/precision
no_init_box_kenn_hybrid_adapter_bert_ms,2,knr47xe1,0.7926973104476929,0.8483193516731262,0.8024691343307495,0.8823530077934265,0.8070175647735596,0.8032413721084595,0.6333334445953369,0.6333333253860474,0.7926973104476929,0.6670475006103516,0.8636363744735718,0.7307692766189575,0.0215659998357296,0.7074270844459534,0.8227847814559937,0.6333334445953369,0.8483193516731262,0.8195657134056091,0.8294897675514221,0.6670475006103516,50,0.26,0.8294897675514221,0.46,0.7676470279693604,0.857142984867096,0.8195657134056091,0.009373458102345468,0.7074270844459534,0.8353269696235657,0.022200295701622963,0.8333333730697632,0.6333334445953369,0.8636363744735718,0.7530105113983154,0.8575116395950317,0.6333333253860474,0.7307692766189575,0.8032413721084595,0.009373458102345468,0.8575116395950317,0.009373458102345468,0.901960790157318,0.6333333253860474,0.8518518209457397,0.020966945216059685,0.7530105113983154,0.8124999403953552,0.7307692766189575,0.8000582456588745,0.8636363744735718
no_init_box_kenn_top_down_adapter_bert_ms,2,yyu3ihfn,0.7926973104476929,0.8483193516731262,0.8024691343307495,0.8823530077934265,0.8070175647735596,0.8032413721084595,0.6333334445953369,0.6333333253860474,0.7926973104476929,0.6670475006103516,0.8636363744735718,0.7307692766189575,0.0215659998357296,0.7074270844459534,0.8227847814559937,0.6333334445953369,0.8483193516731262,0.8195657134056091,0.8294897675514221,0.6670475006103516,52,0.26,0.8294897675514221,0.59,0.7676470279693604,0.857142984867096,0.8195657134056091,0.009373458102345468,0.7074270844459534,0.8353269696235657,0.022200295701622963,0.8333333730697632,0.6333334445953369,0.8636363744735718,0.7530105113983154,0.8575116395950317,0.6333333253860474,0.7307692766189575,0.8032413721084595,0.009373458102345468,0.8575116395950317,0.009373458102345468,0.901960790157318,0.6333333253860474,0.8518518209457397,0.020966945216059685,0.7530105113983154,0.8124999403953552,0.7307692766189575,0.8000582456588745,0.8636363744735718
no_init_box_kenn_bottom_up_adapter_bert_ms,2,xggch032,0.7926973104476929,0.8483193516731262,0.8024691343307495,0.8823530077934265,0.8070175647735596,0.8032413721084595,0.6333334445953369,0.6333333253860474,0.7926973104476929,0.6670475006103516,0.8636363744735718,0.7307692766189575,0.0215659998357296,0.7074270844459534,0.8227847814559937,0.6333334445953369,0.8483193516731262,0.8195657134056091,0.8294897675514221,0.6670475006103516,49,0.26,0.8294897675514221,0.18000000000000002,0.7676470279693604,0.857142984867096,0.8195657134056091,0.009373458102345468,0.7074270844459534,0.8353269696235657,0.022200295701622963,0.8333333730697632,0.6333334445953369,0.8636363744735718,0.7530105113983154,0.8575116395950317,0.6333333253860474,0.7307692766189575,0.8032413721084595,0.009373458102345468,0.8575116395950317,0.009373458102345468,0.901960790157318,0.6333333253860474,0.8518518209457397,0.020966945216059685,0.7530105113983154,0.8124999403953552,0.7307692766189575,0.8000582456588745,0.8636363744735718
no_init_box_kenn_hybrid_adapter_bert_ms,1,haujjhjh,0.7909305095672607,0.8480319976806641,0.6913580298423767,0.8823530077934265,0.8070175647735596,0.8017613291740417,0.3333333730697632,0.3333333432674408,0.7909305095672607,0.6607974767684937,0.7692307829856873,0.46511632204055786,0.0203279796987772,0.7030363082885742,0.800000011920929,0.3333333730697632,0.8480319976806641,0.8184865713119507,0.8286999464035034,0.6607974767684937,49,0.26,0.8286999464035034,0.81,0.6176470518112183,0.8079376816749573,0.8184865713119507,0.004933399148285389,0.7030363082885742,0.7881242036819458,0.022200295701622963,0.7450981140136719,0.3333333730697632,0.7692307829856873,0.7510437369346619,0.8575116395950317,0.3333333432674408,0.46511632204055786,0.8017613291740417,0.004933399148285389,0.8575116395950317,0.004933399148285389,0.901960790157318,0.3333333432674408,0.8518518209457397,0.018746916204690933,0.7510437369346619,0.7417219281196594,0.46511632204055786,0.6925487518310547,0.7692307829856873
no_init_box_kenn_top_down_adapter_bert_ms,1,lkxdafkl,0.7909305095672607,0.8480319976806641,0.6913580298423767,0.8823530077934265,0.8070175647735596,0.8017613291740417,0.3333333730697632,0.3333333432674408,0.7909305095672607,0.6607974767684937,0.7692307829856873,0.46511632204055786,0.0203279796987772,0.7030363082885742,0.800000011920929,0.3333333730697632,0.8480319976806641,0.8184865713119507,0.8286999464035034,0.6607974767684937,50,0.26,0.8286999464035034,0.81,0.6176470518112183,0.8079376816749573,0.8184865713119507,0.004933399148285389,0.7030363082885742,0.7881242036819458,0.022200295701622963,0.7450981140136719,0.3333333730697632,0.7692307829856873,0.7510437369346619,0.8575116395950317,0.3333333432674408,0.46511632204055786,0.8017613291740417,0.004933399148285389,0.8575116395950317,0.004933399148285389,0.901960790157318,0.3333333432674408,0.8518518209457397,0.018746916204690933,0.7510437369346619,0.7417219281196594,0.46511632204055786,0.6925487518310547,0.7692307829856873
no_init_box_kenn_bottom_up_adapter_bert_ms,1,h3jggyya,0.7911267876625061,0.8480639457702637,0.7037037014961243,0.8823530077934265,0.8070175647735596,0.801925778388977,0.36666667461395264,0.36666667461395264,0.7911267876625061,0.6614919304847717,0.7857142686843872,0.5,0.020472129806876183,0.7035797238349915,0.8028169274330139,0.36666667461395264,0.8480639457702637,0.8186065554618835,0.8287877440452576,0.6614919304847717,47,0.26,0.8287877440452576,0.45,0.634313702583313,0.8136668801307678,0.8186065554618835,0.005426738876849413,0.7035797238349915,0.7963659167289734,0.022200295701622963,0.7549020051956177,0.36666667461395264,0.7857142686843872,0.7513871192932129,0.8575116395950317,0.36666667461395264,0.5,0.801925778388977,0.005426738876849413,0.8575116395950317,0.005426738876849413,0.901960790157318,0.36666667461395264,0.8518518209457397,0.01899358630180359,0.7513871192932129,0.75,0.5,0.7061620354652405,0.7857142686843872
no_init_box_kenn_hybrid_adapter_bert_ms,0,6f7zm7f3,0.7934825420379639,0.8484466671943665,0.8518518805503845,0.8823530077934265,0.8070175647735596,0.8038991093635559,0.7666667699813843,0.7666666507720947,0.7934825420379639,0.6698252558708191,0.8846153616905212,0.8214284777641296,0.02207627147436142,0.7091798186302185,0.8313252925872803,0.7666667103767395,0.8484466671943665,0.8200446367263794,0.829840362071991,0.6698252558708191,52,0.26,0.829840362071991,0.6,0.8343137502670288,0.8774235844612122,0.8200446367263794,0.011346817947924135,0.7091798186302185,0.8458164930343628,0.022200295701622963,0.8725490570068359,0.7666667699813843,0.8846153616905212,0.7534475326538086,0.8575116395950317,0.7666666507720947,0.8214284777641296,0.8038991093635559,0.011346817947924135,0.8575116395950317,0.011346817947924135,0.901960790157318,0.7666666507720947,0.8518518209457397,0.021953625604510307,0.7534475326538086,0.8414633870124817,0.8214284777641296,0.8400257229804993,0.8846153616905212
no_init_box_kenn_top_down_adapter_bert_ms,0,6lal14i1,0.7934825420379639,0.8484466671943665,0.8518518805503845,0.8823530077934265,0.8070175647735596,0.8038991093635559,0.7666667699813843,0.7666666507720947,0.7934825420379639,0.6698252558708191,0.8846153616905212,0.8214284777641296,0.02207627147436142,0.7091798186302185,0.8313252925872803,0.7666667103767395,0.8484466671943665,0.8200446367263794,0.829840362071991,0.6698252558708191,44,0.26,0.829840362071991,0.66,0.8343137502670288,0.8774235844612122,0.8200446367263794,0.011346817947924135,0.7091798186302185,0.8458164930343628,0.022200295701622963,0.8725490570068359,0.7666667699813843,0.8846153616905212,0.7534475326538086,0.8575116395950317,0.7666666507720947,0.8214284777641296,0.8038991093635559,0.011346817947924135,0.8575116395950317,0.011346817947924135,0.901960790157318,0.7666666507720947,0.8518518209457397,0.021953625604510307,0.7534475326538086,0.8414633870124817,0.8214284777641296,0.8400257229804993,0.8846153616905212
no_init_box_kenn_bottom_up_adapter_bert_ms,0,228v6zbo,0.7934825420379639,0.8484466671943665,0.8518518805503845,0.8823530077934265,0.8070175647735596,0.8038991093635559,0.7666667699813843,0.7666666507720947,0.7934825420379639,0.6698252558708191,0.8846153616905212,0.8214284777641296,0.02207627147436142,0.7091798186302185,0.8313252925872803,0.7666667103767395,0.8484466671943665,0.8200446367263794,0.829840362071991,0.6698252558708191,52,0.26,0.829840362071991,0.27,0.8343137502670288,0.8774235844612122,0.8200446367263794,0.011346817947924135,0.7091798186302185,0.8458164930343628,0.022200295701622963,0.8725490570068359,0.7666667699813843,0.8846153616905212,0.7534475326538086,0.8575116395950317,0.7666666507720947,0.8214284777641296,0.8038991093635559,0.011346817947924135,0.8575116395950317,0.011346817947924135,0.901960790157318,0.7666666507720947,0.8518518209457397,0.021953625604510307,0.7534475326538086,0.8414633870124817,0.8214284777641296,0.8400257229804993,0.8846153616905212
smart_init_box_adapter_bert_ms,2,gdarrbso,0.7923046946525574,0.8484339118003845,0.7777777910232544,0.8823530077934265,0.8070175647735596,0.8029124736785889,0.5666667222976685,0.5666666626930237,0.7923046946525574,0.6656585931777954,0.8947368264198303,0.6938775777816772,0.02130201645195484,0.70693039894104,0.8289473652839661,0.5666667222976685,0.8484339118003845,0.819409191608429,0.8293527960777283,0.6656585931777954,7,0.26,0.8293527960777283,0.81,0.7343137264251709,0.8466508388519287,0.819409191608429,0.008386778645217419,0.70693039894104,0.8508771657943726,0.022200295701622963,0.8137255311012268,0.5666667222976685,0.8947368264198303,0.7536584138870239,0.8575938940048218,0.5666666626930237,0.6938775777816772,0.8029124736785889,0.008386778645217419,0.8575938940048218,0.008386778645217419,0.901960790157318,0.5666666626930237,0.8518518209457397,0.020473605021834373,0.7536584138870239,0.8025476932525635,0.6938775777816772,0.7883098125457764,0.8947368264198303
