name,test_pretraining/macro_types/f1/mean,test_pretraining/macro_example/f1/mean,test_incremental_only/micro/precision/mean,test_incremental_other-living_thing-animal/macro_types/precision/mean,test_incremental_only/macro_example_exclusive/f1/mean,test/micro/f1/mean,test_incremental/macro_example/recall/mean,test_incremental_other-living_thing/macro_types/f1/mean,test_incremental_other-living_thing-animal/macro_types/recall/mean,threshold_pretraining/mean,test/macro_example/recall/mean,test_incremental/micro/recall/mean,test_incremental/macro_types/f1/mean,test_pretraining/macro_types/recall/mean,test_incremental_only/macro_types/precision/mean,test/macro_types/precision/mean,test_incremental/macro_types/precision/mean,test_pretraining/macro_example/recall/mean,test/micro/recall/mean,test_pretraining/micro/recall/mean,test_incremental/macro_example/f1/mean,test_incremental_only/macro_types/f1/mean,test_incremental_only/macro_example/f1/mean,test_incremental/macro_example/precision/mean,test_incremental_only/macro_types/recall/mean,test/macro_example/precision/mean,test_incremental_only/micro/recall/mean,test_pretraining/macro_example/precision/mean,test_incremental_only/macro_example/precision/mean,threshold_incremental/mean,test_incremental_only/micro/f1/mean,test_incremental_only/macro_example/recall/mean,test_incremental/macro_example_exclusive/precision/mean,test_incremental_only/macro_example_exclusive/precision/mean,test/macro_types/f1/mean,test_incremental_other-living_thing/macro_types/precision/mean,test/macro_example/f1/mean,test/macro_types/recall/mean,test_incremental/macro_example_exclusive/f1/mean,test_incremental/micro/precision/mean,test_incremental_other-living_thing/macro_types/recall/mean,test_incremental_other-living_thing-animal/macro_types/f1/mean,test_incremental/micro/f1/mean,test_pretraining/macro_types/precision/mean,epoch/mean,test_pretraining/micro/precision/mean,test_incremental/macro_types/recall/mean,test_incremental/macro_example_exclusive/recall/mean,test_incremental_only/macro_example_exclusive/recall/mean,test/micro/precision/mean,test_pretraining/micro/f1/mean,test_pretraining/macro_types/f1/std,test_pretraining/macro_example/f1/std,test_incremental_only/micro/precision/std,test_incremental_other-living_thing-animal/macro_types/precision/std,test_incremental_only/macro_example_exclusive/f1/std,test/micro/f1/std,test_incremental/macro_example/recall/std,test_incremental_other-living_thing/macro_types/f1/std,test_incremental_other-living_thing-animal/macro_types/recall/std,threshold_pretraining/std,test/macro_example/recall/std,test_incremental/micro/recall/std,test_incremental/macro_types/f1/std,test_pretraining/macro_types/recall/std,test_incremental_only/macro_types/precision/std,test/macro_types/precision/std,test_incremental/macro_types/precision/std,test_pretraining/macro_example/recall/std,test/micro/recall/std,test_pretraining/micro/recall/std,test_incremental/macro_example/f1/std,test_incremental_only/macro_types/f1/std,test_incremental_only/macro_example/f1/std,test_incremental/macro_example/precision/std,test_incremental_only/macro_types/recall/std,test/macro_example/precision/std,test_incremental_only/micro/recall/std,test_pretraining/macro_example/precision/std,test_incremental_only/macro_example/precision/std,threshold_incremental/std,test_incremental_only/micro/f1/std,test_incremental_only/macro_example/recall/std,test_incremental/macro_example_exclusive/precision/std,test_incremental_only/macro_example_exclusive/precision/std,test/macro_types/f1/std,test_incremental_other-living_thing/macro_types/precision/std,test/macro_example/f1/std,test/macro_types/recall/std,test_incremental/macro_example_exclusive/f1/std,test_incremental/micro/precision/std,test_incremental_other-living_thing/macro_types/recall/std,test_incremental_other-living_thing-animal/macro_types/f1/std,test_incremental/micro/f1/std,test_pretraining/macro_types/precision/std,epoch/std,test_pretraining/micro/precision/std,test_incremental/macro_types/recall/std,test_incremental/macro_example_exclusive/recall/std,test_incremental_only/macro_example_exclusive/recall/std,test/micro/precision/std,test_pretraining/micro/f1/std
no_init_box_kenn_bottom_up_adapter_bert_ms,0.7061317960421244,0.8279780546824137,0.4325757523377736,0.4325757523377736,0.8666667342185974,0.817640999952952,0.02269363589584827,0.8518518209457397,0.8666666746139526,0.26,0.8043924570083618,0.8888888955116272,0.7281049092610677,0.6719086170196533,0.4325757523377736,0.7440300981203715,0.6197966734568278,0.8043924570083618,0.7940714359283447,0.7940714359283447,0.020629220952590305,0.572879433631897,0.012826837599277496,0.01891136293609937,0.8666666746139526,0.852989395459493,0.8666666746139526,0.852989395459493,0.012826837599277496,0.01,0.572879433631897,0.012826837599277496,0.7516340414683024,0.8666667342185974,0.7061317960421244,0.8070175647735596,0.8279780546824137,0.6719086170196533,0.8199104269345602,0.6096516847610474,0.901960790157318,0.572879433631897,0.7215197483698527,0.7440300981203715,33.0,0.8426555593808492,0.884313702583313,0.9019608100255329,0.8666667342185974,0.8426555593808492,0.817640999952952,0.0008840487739830076,0.0006756853943712517,0.09415603675192127,0.09415603675192127,0.0,0.0012692960240536992,0.0,0.0,0.0,0.0,0.0,0.0,0.033113106501529856,0.0,0.09415603675192127,0.0019615927139638714,0.0470780045281851,0.0,0.0,0.0,0.0002248606748488128,0.08745325783719181,0.0,0.000376794797233615,0.0,0.0014336008328922887,0.0,0.0014336008328922887,0.0,0.0,0.08745325783719181,0.0,0.01497569114879224,0.0,0.0008840487739830076,0.0,0.0006756853943712517,0.0,0.008937129817245848,0.07337169726106715,0.0,0.08745325783719181,0.0531284825894747,0.0019615927139638714,11.0,0.00269385267061826,0.0,3.4412757714036146e-08,0.0,0.00269385267061826,0.0012692960240536992
no_init_box_kenn_hybrid_adapter_bert_ms,0.7064423362414042,0.8280104398727417,0.4383857448895772,0.4383857448895772,0.8888889749844869,0.8177753488222758,0.02285808262725671,0.8518518209457397,0.8888888756434122,0.26,0.8045020898183187,0.8971193432807922,0.7341832121213278,0.6723715464274088,0.4383857448895772,0.7441511154174805,0.6227016647656759,0.8045020898183187,0.7942023277282715,0.7942023277282715,0.02074718413253625,0.5845890740553538,0.01315573106209437,0.01899358630180359,0.8888888756434122,0.8529345591862997,0.8888888756434122,0.8529345591862997,0.01315573106209437,0.01,0.5845890740553538,0.01315573106209437,0.7549020051956177,0.8888889749844869,0.7064423362414042,0.8070175647735596,0.8280104398727417,0.6723715464274088,0.8245989481608073,0.6130522688229879,0.901960790157318,0.5845890740553538,0.7273170948028564,0.7441511154174805,40.333333333333336,0.8427923123041788,0.8954248030980428,0.9084967772165934,0.8888889749844869,0.8427923123041788,0.8177753488222758,0.0010051780529202923,0.0006333104665566067,0.08349646208093307,0.08349646208093307,0.019245025032274446,0.0010949879959519708,0.00014241504696902536,0.0,0.019244990619516757,0.0,9.494479851091165e-05,0.007127776852617885,0.03262183315657408,0.0004009086272751853,0.08349646208093307,0.0017394856099709403,0.0417482388495656,9.494479851091165e-05,0.0001133556238836424,0.0001133556238836424,0.00020001500713920573,0.08151005953738998,0.00028483009393804584,0.00024667009711265564,0.019244990619516757,0.0012370161604263782,0.019244990619516757,0.0012370161604263782,0.00028483009393804584,0.0,0.08151005953738998,0.00028483009393804584,0.0098038911819458,0.019245025032274446,0.0010051780529202923,0.0,0.0006333104665566067,0.0004009086272751853,0.007949564612798353,0.062159978986153074,0.0,0.08151005953738998,0.04716930477688086,0.0017394856099709403,18.502252115170556,0.002196904024077731,0.009622495309758327,0.0056602792130023265,0.019245025032274446,0.002196904024077731,0.0010949879959519708
no_init_box_kenn_top_down_adapter_bert_ms,0.705845852692922,0.8263372381528219,0.3889268984397252,0.3889268984397252,0.8777778546015421,0.8153161009152731,0.022775859261552494,0.8518518209457397,0.8777777751286825,0.26,0.8044472734133402,0.8930041193962097,0.7114784518877665,0.6721400817235311,0.3889268984397252,0.7431207100550333,0.5979722440242767,0.8044472734133402,0.7941368818283081,0.7941368818283081,0.020760732392470043,0.5144828061262766,0.012991284330685934,0.01907580966750781,0.8777777751286825,0.8494784434636434,0.8777777751286825,0.8494784434636434,0.012991284330685934,0.04,0.5144828061262766,0.012991284330685934,0.758169968922933,0.8777778546015421,0.705845852692922,0.8070175647735596,0.8263372381528219,0.6721400817235311,0.8251373767852783,0.5486648182074229,0.901960790157318,0.5144828061262766,0.6635890901088715,0.7431207100550333,28.333333333333332,0.8377147316932678,0.8898692528406779,0.9052287737528483,0.8777778546015421,0.8377147316932678,0.8153161009152731,0.0016713516305114924,0.0037478229066370615,0.20093452860550362,0.20093452860550362,0.019245025032274446,0.005577050952390952,0.00014241504696902436,0.0,0.019244990619516757,0.0,9.494479851091165e-05,0.007127776852617885,0.07229371151825753,0.0004009086272751853,0.20093452860550362,0.004186146412494803,0.10046726896659436,9.494479851091165e-05,0.0001133556238836424,0.0001133556238836424,0.00011087682993013011,0.21407922184286915,0.00028483009393804584,0.00028483009393804546,0.019244990619516757,0.00800382485288181,0.019244990619516757,0.00800382485288181,0.00028483009393804584,0.026457513110645908,0.21407922184286915,0.00028483009393804584,0.011320558426004405,0.019245025032274446,0.0016713516305114924,0.0,0.0037478229066370615,0.0004009086272751853,0.004406828926317995,0.19911192256227409,0.0,0.21407922184286915,0.1668270317085153,0.004186146412494803,9.018499505645789,0.011849397485193565,0.009622495309758295,0.00566031362576004,0.019245025032274446,0.011849397485193565,0.005577050952390952
no_init_kenn_bottom_up_adapter_bert_ms,0.8358222047487894,0.8628575205802917,0.50411323706309,0.50411323706309,0.9000000556310018,0.8544874389966329,0.023186976090073586,0.8952381014823914,0.899999996026357,0.33,0.8629589676856995,0.9135802586873373,0.779394805431366,0.8161696195602417,0.50411323706309,0.8564574718475342,0.687241792678833,0.8629589676856995,0.8564978440602621,0.8564978440602621,0.021201541026433308,0.6269634564717611,0.013320177172621092,0.01956914986173312,0.899999996026357,0.8627590934435526,0.899999996026357,0.8627590934435526,0.013320177483061949,0.38666666666666666,0.6269634564717611,0.013320177483061949,0.7777778307596842,0.9000000556310018,0.8358222047487894,0.8703703880310059,0.8628575205802917,0.8161696195602417,0.8426573673884074,0.6727920969327291,0.9215686321258544,0.6269634564717611,0.7687091628710429,0.8564574718475342,7.666666666666667,0.852493147055308,0.9107843041419983,0.9215686917304993,0.9000000556310018,0.852493147055308,0.8544874389966329,0.0006133536329743844,0.000913288222663213,0.16846047298465053,0.16846047298465053,0.09999996423721907,0.0015107691994451884,0.0007400102913379669,0.0,0.09999999403953702,0.0,0.0004933476448059082,0.03703704476356906,0.035315445933242755,0.002083301544189453,0.16846047298465053,0.0035095768105736776,0.08423022846056946,0.0004933476448059082,0.0005889236929546174,0.0005889236929546174,0.0006722872981120027,0.10849734049432663,0.001480019651353457,0.0012415455955551375,0.09999999403953702,0.0023160256800671035,0.09999999403953702,0.0023160256800671035,0.0014800191856920962,0.5265295180076168,0.10849734049432663,0.0014800191856920962,0.04934529253324037,0.09999996423721907,0.0006133536329743844,0.0,0.000913288222663213,0.002083301544189453,0.02672006438899907,0.12201336725739169,0.0,0.10849734049432663,0.06767204753609964,0.0035095768105736776,4.618802153517007,0.003587369878500069,0.05000001192092894,0.02941173315048219,0.09999996423721907,0.003587369878500069,0.0015107691994451884
no_init_kenn_hybrid_adapter_bert_ms,0.8356378277142843,0.8625983595848083,0.46083776156107586,0.46083776156107586,0.9222222765286764,0.8541442155838013,0.02335142282148202,0.8952381014823914,0.9222222169240316,0.33,0.8630686004956564,0.9218107064565023,0.7707303563753763,0.8166325887044271,0.46083776156107586,0.8555559317270914,0.6656040747960409,0.8630686004956564,0.8566287159919739,0.8566287159919739,0.02099451112250487,0.6027141014734904,0.013649070635437965,0.01907580966750781,0.9222222169240316,0.8621314366658529,0.9222222169240316,0.8621314366658529,0.013649070635437965,0.39666666666666667,0.6027141014734904,0.013649070635437965,0.7581699887911478,0.9222222765286764,0.8356378277142843,0.8703703880310059,0.8625983595848083,0.8166325887044271,0.8344289461771647,0.6443365017573038,0.9215686321258544,0.6027141014734904,0.7536319891611735,0.8555559317270914,7.666666666666667,0.8516805768013,0.921895424524943,0.9281046191851298,0.9222222765286764,0.8516805768013,0.8541442155838013,0.0006125764455725631,0.001016322368884356,0.13247304937865245,0.13247304937865245,0.06938882433544988,0.0016550998517642487,0.0005134847542444239,0.0,0.06938886728516519,0.0,0.00034232833936972897,0.025699598327516476,0.033402463877578135,0.0014455634231831517,0.13247304937865245,0.002759853842343572,0.06623650274282471,0.00034232833936972897,0.0004086522483187009,0.0004086522483187009,0.0006039006193907737,0.10587306698331864,0.0010269684645721297,0.000753589594467234,0.06938886728516519,0.002370104064229556,0.06938886728516519,0.002370104064229556,0.0010269684645721297,0.5216640042530568,0.10587306698331864,0.0010269684645721297,0.02995146684180244,0.06938882433544988,0.0006125764455725631,0.0,0.001016322368884356,0.0014455634231831517,0.024002045773992346,0.10967137552686775,0.0,0.10587306698331864,0.06956100087541697,0.002759853842343572,4.618802153517007,0.003690782337558878,0.03469443364258256,0.02040848420221945,0.06938882433544988,0.003690782337558878,0.0016550998517642487
no_init_kenn_top_down_adapter_bert_ms,0.8360055883725485,0.8629623651504517,0.48558757702509564,0.48558757702509564,0.9333333770434061,0.8545429110527039,0.02343364618718624,0.8952381014823914,0.9333333373069763,0.33,0.8631234169006348,0.9259259303410848,0.781512459119161,0.8168640534083048,0.48558757702509564,0.8560715119043986,0.6779789725939432,0.8631234169006348,0.8566941618919373,0.8566941618919373,0.021327320486307144,0.6298598845799764,0.013813517366846403,0.01956914986173312,0.9333333373069763,0.8628029425938925,0.9333333373069763,0.8628029425938925,0.013813517366846403,0.39666666666666667,0.6298598845799764,0.013813517366846403,0.7777778108914694,0.9333333770434061,0.8360055883725485,0.8703703880310059,0.8629623651504517,0.8168640534083048,0.8476564685503641,0.6642975409825643,0.9215686321258544,0.6298598845799764,0.7702201008796692,0.8560715119043986,11.666666666666666,0.8524064421653748,0.9274509946505228,0.93137260278066,0.9333333770434061,0.8524064421653748,0.8545429110527039,0.00041078368045490245,0.0006984990248319889,0.11321780483584017,0.11321780483584017,0.06666663289070349,0.0012439091075270438,0.0004933401942253113,0.0,0.06666666269302367,0.0,0.00032889842987060547,0.0246913731098235,0.026569460653698966,0.0013888478283377013,0.11321780483584017,0.0023587458591955127,0.05660888855603371,0.00032889842987060547,0.00039261579513549805,0.00039261579513549805,0.00036053227968824446,0.08550811665355164,0.0009866794571281945,0.0002848300939380462,0.06666666269302367,0.0016943905260083376,0.06666666269302367,0.0016943905260083376,0.0009866794571281945,0.5142308171758411,0.08550811665355164,0.0009866794571281945,0.011320610045180216,0.06666663289070349,0.00041078368045490245,0.0,0.0006984990248319889,0.0013888478283377013,0.014329404209588843,0.09063979429259793,0.0,0.08550811665355164,0.05457663089465254,0.0023587458591955127,6.110100926607786,0.002849332478287461,0.03333333134651627,0.01960784196856652,0.06666663289070349,0.002849332478287461,0.0012439091075270438
smart_init_box_adapter_bert_ms,0.7055049339930216,0.8218541145324707,0.2989240015546481,0.2989240015546481,0.9222222963968912,0.8091502785682678,0.023104752724369366,0.8518518209457397,0.9222221970558167,0.26,0.804666539033254,0.9094650149345398,0.6822329560915629,0.673065980275472,0.2989240015546481,0.7412456671396891,0.5529707968235016,0.804666539033254,0.7943986455599467,0.7943986455599467,0.02107836678624153,0.4104837377866109,0.013649070945878824,0.01940470313032468,0.9222221970558167,0.8399487535158793,0.9222221970558167,0.8399487535158793,0.013649070945878824,0.20333333333333337,0.4104837377866109,0.013649070945878824,0.7712419033050537,0.9222222963968912,0.7055049339930216,0.8070175647735596,0.8218541145324707,0.673065980275472,0.8377618193626404,0.4383450498183568,0.901960790157318,0.4104837377866109,0.5587398111820221,0.7412456671396891,14.333333333333334,0.8247634172439575,0.9120914737383524,0.9183007081349691,0.9222222963968912,0.8247634172439575,0.8091502785682678,0.002062110178092859,0.009254919772040565,0.25165556675601125,0.25165556675601125,0.03848998123903342,0.012897047219092817,0.00028483009393804546,0.0,0.03849001565179121,0.0,0.00018988959702184732,0.014255553705235843,0.09154114992677058,0.0008018860800657746,0.25165556675601125,0.005242811856027511,0.12582779959212537,0.00018988959702184732,0.00022667683500957075,0.00022667683500957075,0.0007231925605828239,0.2769518105309379,0.0005696596501767524,0.0012415455955551386,0.03849001565179121,0.019427525103868224,0.03849001565179121,0.019427525103868224,0.0005696596501767524,0.3008875759039136,0.2769518105309379,0.0005696596501767524,0.049345320165134314,0.03848998123903342,0.002062110178092859,0.0,0.009254919772040565,0.0008018860800657746,0.028743376309518516,0.2604406687916582,0.0,0.2769518105309379,0.2440618181919508,0.005242811856027511,4.509249752822894,0.026810651136485487,0.01924502503227458,0.011320627251519768,0.03848998123903342,0.026810651136485487,0.012897047219092817
smart_init_classifier_adapter_bert_ms,0.8358365495999655,0.8628781239191691,0.5055647889773051,0.5055647889773051,0.9000000556310018,0.8544875383377075,0.023186976090073586,0.8952381014823914,0.899999996026357,0.33,0.8629589676856995,0.9135802586873373,0.7798145214716593,0.8161696195602417,0.5055647889773051,0.8564877112706503,0.687967578570048,0.8629589676856995,0.8564978440602621,0.8564978440602621,0.021201541026433308,0.62786998351415,0.013320177172621092,0.01956914986173312,0.899999996026357,0.8628002007802328,0.899999996026357,0.8628002007802328,0.013320177483061949,0.5233333333333333,0.62786998351415,0.013320177483061949,0.7777778307596842,0.9000000556310018,0.8358365495999655,0.8703703880310059,0.8628781239191691,0.8161696195602417,0.8426573673884074,0.6734933654467264,0.9215686321258544,0.62786998351415,0.7689986228942871,0.8564877112706503,7.666666666666667,0.8524937431017557,0.9107843041419983,0.9215686917304993,0.9000000556310018,0.8524937431017557,0.8544875383377075,0.0006100490007261037,0.0008806191864261746,0.16965549292207702,0.16965549292207702,0.09999996423721907,0.0015605695698769537,0.0007400102913379669,0.0,0.09999999403953702,0.0,0.0004933476448059082,0.03703704476356906,0.03583623214411159,0.002083301544189453,0.16965549292207702,0.0035344621819979193,0.0848277423466622,0.0004933476448059082,0.0005889236929546174,0.0005889236929546174,0.0006722872981120027,0.1106101023016293,0.001480019651353457,0.0012415455955551375,0.09999999403953702,0.0022515722257742403,0.09999999403953702,0.0022515722257742403,0.0014800191856920962,0.45544849690533984,0.1106101023016293,0.0014800191856920962,0.04934529253324037,0.09999996423721907,0.0006100490007261037,0.0,0.0008806191864261746,0.002083301544189453,0.02672006438899907,0.12387816942760144,0.0,0.1106101023016293,0.06941715529176656,0.0035344621819979193,4.618802153517007,0.0036833359833024436,0.05000001192092894,0.02941173315048219,0.09999996423721907,0.0036833359833024436,0.0015605695698769537
