name,instance,run_id,test_pretraining/macro_types/f1,test_pretraining/macro_example/f1,test_incremental_only/micro/precision,test_incremental_other-living_thing-animal/macro_types/precision,test_incremental_only/macro_example_exclusive/f1,test/micro/f1,test_incremental/macro_example/recall,test_incremental_other-living_thing/macro_types/f1,test_incremental_other-living_thing-animal/macro_types/recall,threshold_pretraining,test/macro_example/recall,test_incremental/micro/recall,test_incremental/macro_types/f1,test_pretraining/macro_types/recall,test_incremental_only/macro_types/precision,test/macro_types/precision,test_incremental/macro_types/precision,test_pretraining/macro_example/recall,test/micro/recall,test_pretraining/micro/recall,test_incremental/macro_example/f1,test_incremental_only/macro_types/f1,test_incremental_only/macro_example/f1,test_incremental/macro_example/precision,test_incremental_only/macro_types/recall,test/macro_example/precision,test_incremental_only/micro/recall,test_pretraining/macro_example/precision,test_incremental_only/macro_example/precision,threshold_incremental,test_incremental_only/micro/f1,test_incremental_only/macro_example/recall,test_incremental/macro_example_exclusive/precision,test_incremental_only/macro_example_exclusive/precision,test/macro_types/f1,test_incremental_other-living_thing/macro_types/precision,test/macro_example/f1,test/macro_types/recall,test_incremental/macro_example_exclusive/f1,test_incremental/micro/precision,test_incremental_other-living_thing/macro_types/recall,test_incremental_other-living_thing-animal/macro_types/f1,test_incremental/micro/f1,test_pretraining/macro_types/precision,epoch,test_pretraining/micro/precision,test_incremental/macro_types/recall,test_incremental/macro_example_exclusive/recall,test_incremental_only/macro_example_exclusive/recall,test/micro/precision,test_pretraining/micro/f1
no_init_box_kenn_hybrid_adapter_bert_ms,2,br2gba0u,0.7069810628890991,0.8283367156982422,0.4821428656578064,0.4821428656578064,0.9000000953674316,0.8183656930923462,0.02294030599296093,0.8518518209457397,0.8999999761581421,0.26,0.8045569062232971,0.9012345671653748,0.7515126466751099,0.6726030111312866,0.4821428656578064,0.7450627088546753,0.6445802450180054,0.8045569062232971,0.7942677736282349,0.7942677736282349,0.020927999168634415,0.6279070377349854,0.013320177793502808,0.019240256398916245,0.8999999761581421,0.853564977645874,0.8999999761581421,0.853564977645874,0.013320177793502808,0.01,0.6279070377349854,0.013320177793502808,0.7647058963775635,0.9000000953674316,0.7069810628890991,0.8070175647735596,0.8283367156982422,0.6726030111312866,0.8317853808403015,0.6460176706314087,0.901960790157318,0.6279070377349854,0.7525773644447327,0.7450627088546753,59,0.8439716100692749,0.9009803533554076,0.9117647409439088,0.9000000953674316,0.8439716100692749,0.8183656930923462
no_init_box_kenn_top_down_adapter_bert_ms,2,2ld7lass,0.7068563103675842,0.8285203576087952,0.5098039507865906,0.5098039507865906,0.8666667342185974,0.8185773491859436,0.02269363589584827,0.8518518209457397,0.8666666746139526,0.26,0.8043924570083618,0.8888888955116272,0.7548226118087769,0.6719086170196533,0.5098039507865906,0.7456389665603638,0.6584107875823975,0.8043924570083618,0.7940714359283447,0.7940714359283447,0.020824747160077095,0.6419753432273865,0.012826837599277496,0.019240256398916245,0.8666666746139526,0.8541405200958252,0.8666666746139526,0.8541405200958252,0.012826837599277496,0.05,0.6419753432273865,0.012826837599277496,0.7647058963775635,0.8666667342185974,0.7068563103675842,0.8070175647735596,0.8285203576087952,0.6719086170196533,0.8276816606521606,0.6666666865348816,0.901960790157318,0.6419753432273865,0.761904776096344,0.7456389665603638,29,0.8446439504623413,0.884313702583313,0.901960790157318,0.8666667342185974,0.8446439504623413,0.8185773491859436
no_init_box_kenn_bottom_up_adapter_bert_ms,2,2ffjqh8f,0.7067645788192749,0.8284429907798767,0.5,0.5,0.8666667342185974,0.8184944987297058,0.02269363589584827,0.8518518209457397,0.8666666746139526,0.26,0.8043924570083618,0.8888888955116272,0.7515910267829895,0.6719086170196533,0.5,0.7454347610473633,0.6535087823867798,0.8043924570083618,0.7940714359283447,0.7940714359283447,0.020824747160077095,0.6341463327407837,0.012826837599277496,0.019240256398916245,0.8666666746139526,0.8539760708808899,0.8666666746139526,0.8539760708808899,0.012826837599277496,0.01,0.6341463327407837,0.012826837599277496,0.7647058963775635,0.8666667342185974,0.7067645788192749,0.8070175647735596,0.8284429907798767,0.6719086170196533,0.8276816606521606,0.6605504751205444,0.901960790157318,0.6341463327407837,0.75789475440979,0.7454347610473633,33,0.8444676399230957,0.884313702583313,0.901960790157318,0.8666667342185974,0.8444676399230957,0.8184944987297058
no_init_box_kenn_hybrid_adapter_bert_ms,1,r5efjpkm,0.7052826285362244,0.8272805213928223,0.34210526943206787,0.34210526943206787,0.8666667342185974,0.816511869430542,0.02269363589584827,0.8518518209457397,0.8666666746139526,0.26,0.8043924570083618,0.8888888955116272,0.6965538263320923,0.6719086170196533,0.34210526943206787,0.742145299911499,0.5745614171028137,0.8043924570083618,0.7940714359283447,0.7940714359283447,0.020532336086034775,0.49056604504585266,0.012826837599277496,0.018746916204690933,0.8666666746139526,0.8515093326568604,0.8666666746139526,0.8515093326568604,0.012826837599277496,0.01,0.49056604504585266,0.012826837599277496,0.7450981140136719,0.8666667342185974,0.7052826285362244,0.8070175647735596,0.8272805213928223,0.6719086170196533,0.8160598278045654,0.5413534045219421,0.901960790157318,0.49056604504585266,0.672897219657898,0.742145299911499,40,0.8402575850486755,0.884313702583313,0.9019608497619628,0.8666667342185974,0.8402575850486755,0.816511869430542
no_init_box_kenn_top_down_adapter_bert_ms,1,q91eotyy,0.7039166688919067,0.8220096826553345,0.15697674453258514,0.15697674453258514,0.9000000953674316,0.8088764548301697,0.02294030599296093,0.8518518209457397,0.8999999761581421,0.26,0.8045569062232971,0.9012345671653748,0.6280217170715332,0.6726030111312866,0.15697674453258514,0.738288402557373,0.48199716210365295,0.8045569062232971,0.7942677736282349,0.7942677736282349,0.020632702857255936,0.2673267424106598,0.013320177793502808,0.018746916204690933,0.8999999761581421,0.8402365446090698,0.8999999761581421,0.8402365446090698,0.013320177793502808,0.01,0.2673267424106598,0.013320177793502808,0.7450981140136719,0.9000000953674316,0.7039166688919067,0.8070175647735596,0.8220096826553345,0.6726030111312866,0.8200488090515137,0.31877729296684265,0.901960790157318,0.2673267424106598,0.47096773982048035,0.738288402557373,37,0.8240326046943665,0.9009803533554076,0.9117647409439088,0.9000000953674316,0.8240326046943665,0.8088764548301697
no_init_box_kenn_bottom_up_adapter_bert_ms,1,harcrxwt,0.7051216959953308,0.8272029757499695,0.32499998807907104,0.32499998807907104,0.8666667342185974,0.8161823749542236,0.02269363589584827,0.8518518209457397,0.8666666746139526,0.26,0.8043924570083618,0.8888888955116272,0.6902318000793457,0.6719086170196533,0.32499998807907104,0.741788923740387,0.5660088062286377,0.8043924570083618,0.7940714359283447,0.7940714359283447,0.020383507013320923,0.47272729873657227,0.012826837599277496,0.01850024610757828,0.8666666746139526,0.8513449430465698,0.8666666746139526,0.8513449430465698,0.012826837599277496,0.01,0.47272729873657227,0.012826837599277496,0.7352942228317261,0.8666667342185974,0.7051216959953308,0.8070175647735596,0.8272029757499695,0.6719086170196533,0.8101444840431213,0.525547444820404,0.901960790157318,0.47272729873657227,0.6605504751205444,0.741788923740387,44,0.8395599722862244,0.884313702583313,0.9019608497619628,0.8666667342185974,0.8395599722862244,0.8161823749542236
no_init_box_kenn_hybrid_adapter_bert_ms,0,2rkyt7kh,0.7070633172988892,0.8284140825271606,0.4909090995788574,0.4909090995788574,0.9000000953674316,0.8184484839439392,0.02294030599296093,0.8518518209457397,0.8999999761581421,0.26,0.8045569062232971,0.9012345671653748,0.754483163356781,0.6726030111312866,0.4909090995788574,0.7452453374862671,0.6489633321762085,0.8045569062232971,0.7942677736282349,0.7942677736282349,0.020781217142939568,0.6352941393852234,0.013320177793502808,0.01899358630180359,0.8999999761581421,0.8537293672561646,0.8999999761581421,0.8537293672561646,0.013320177793502808,0.01,0.6352941393852234,0.013320177793502808,0.7549020051956177,0.9000000953674316,0.7070633172988892,0.8070175647735596,0.8284140825271606,0.6726030111312866,0.8259516358375549,0.6517857313156128,0.901960790157318,0.6352941393852234,0.7564767003059387,0.7452453374862671,22,0.8441477417945862,0.9009803533554076,0.9117647409439088,0.9000000953674316,0.8441477417945862,0.8184484839439392
no_init_box_kenn_top_down_adapter_bert_ms,0,n59d6kj9,0.7067645788192749,0.8284816741943359,0.5,0.5,0.8666667342185974,0.8184944987297058,0.02269363589584827,0.8518518209457397,0.8666666746139526,0.26,0.8043924570083618,0.8888888955116272,0.7515910267829895,0.6719086170196533,0.5,0.7454347610473633,0.6535087823867798,0.8043924570083618,0.7940714359283447,0.7940714359283447,0.020824747160077095,0.6341463327407837,0.012826837599277496,0.019240256398916245,0.8666666746139526,0.8540582656860352,0.8666666746139526,0.8540582656860352,0.012826837599277496,0.060000000000000005,0.6341463327407837,0.012826837599277496,0.7647058963775635,0.8666667342185974,0.7067645788192749,0.8070175647735596,0.8284816741943359,0.6719086170196533,0.8276816606521606,0.6605504751205444,0.901960790157318,0.6341463327407837,0.75789475440979,0.7454347610473633,19,0.8444676399230957,0.884313702583313,0.901960790157318,0.8666667342185974,0.8444676399230957,0.8184944987297058
no_init_box_kenn_bottom_up_adapter_bert_ms,0,tycszlbg,0.7065091133117676,0.828288197517395,0.4727272689342499,0.4727272689342499,0.8666667342185974,0.8182461261749268,0.02269363589584827,0.8518518209457397,0.8666666746139526,0.26,0.8043924570083618,0.8888888955116272,0.7424919009208679,0.6719086170196533,0.4727272689342499,0.7448666095733643,0.6398724317550659,0.8043924570083618,0.7940714359283447,0.7940714359283447,0.020679408684372905,0.611764669418335,0.012826837599277496,0.01899358630180359,0.8666666746139526,0.8536471724510193,0.8666666746139526,0.8536471724510193,0.012826837599277496,0.01,0.611764669418335,0.012826837599277496,0.7549020051956177,0.8666667342185974,0.7065091133117676,0.8070175647735596,0.828288197517395,0.6719086170196533,0.8219051361083984,0.6428571343421936,0.901960790157318,0.611764669418335,0.7461140155792236,0.7448666095733643,22,0.8439390659332275,0.884313702583313,0.901960790157318,0.8666667342185974,0.8439390659332275,0.8182461261749268
smart_init_box_adapter_bert_ms,2,vemks8tk,0.7047120332717896,0.8248169422149658,0.2410714328289032,0.2410714328289032,0.9000000953674316,0.813757061958313,0.02294030599296093,0.8518518209457397,0.8999999761581421,0.26,0.8045569062232971,0.9012345671653748,0.6626604795455933,0.6726030111312866,0.2410714328289032,0.7400404214859009,0.5240445137023926,0.8045569062232971,0.7942677736282349,0.7942677736282349,0.020330332219600677,0.3802816867828369,0.013320177793502808,0.018253576010465625,0.8999999761581421,0.8461236953735352,0.8999999761581421,0.8461236953735352,0.013320177793502808,0.05,0.3802816867828369,0.013320177793502808,0.7254902720451355,0.9000000953674316,0.7047120332717896,0.8070175647735596,0.8248169422149658,0.6726030111312866,0.8080310821533203,0.4319526553153992,0.901960790157318,0.3802816867828369,0.5839999914169312,0.7400404214859009,19,0.8342267870903015,0.9009803533554076,0.9117647409439088,0.9000000953674316,0.8342267870903015,0.813757061958313
