name,instance,run_id,test_incremental/macro_example/f1,test_incremental_only/macro_types/f1,test_pretraining/macro_example/recall,test_incremental_only/macro_example/f1,test_incremental_only/macro_example/recall,test/micro/precision,test_pretraining/macro_types/f1,test_incremental_broadcast/macro_types/f1,threshold_pretraining,test_pretraining/micro/recall,test_pretraining/macro_types/recall,test_pretraining/macro_types/precision,test_incremental_only/macro_example/precision,test_incremental_only/macro_example_exclusive/precision,test/macro_types/recall,test_incremental/macro_example_exclusive/precision,test_incremental_broadcast-tv_channel/macro_types/f1,test_incremental_only/micro/f1,test_pretraining/micro/precision,test_pretraining/micro/f1,test_incremental/macro_types/recall,test_incremental_only/macro_example_exclusive/f1,epoch,test/macro_example/recall,test/micro/recall,test_incremental_only/macro_types/precision,test_incremental/macro_example_exclusive/recall,test_incremental_broadcast-tv_channel/macro_types/precision,test_incremental_only/micro/precision,test_incremental/macro_example/precision,test_incremental_only/micro/recall,test/micro/f1,test/macro_example/f1,test_incremental/micro/recall,test_incremental/macro_example/recall,test/macro_types/f1,test_incremental/macro_example_exclusive/f1,test_incremental_broadcast/macro_types/recall,test_incremental/micro/f1,test/macro_types/precision,test_incremental_broadcast-tv_channel/macro_types/recall,threshold_incremental,test_incremental_only/macro_types/recall,test_pretraining/macro_example/precision,test_incremental/macro_types/f1,test_pretraining/macro_example/f1,test_incremental/micro/precision,test_incremental/macro_types/precision,test_incremental_broadcast/macro_types/precision,test/macro_example/precision,test_incremental_only/macro_example_exclusive/recall
no_init_box_kenn_horizontal_adapter_bert_ms,2,qv6lpjsp,0.006958942394703627,0.7228915691375732,0.9072257280349731,0.010438414290547373,0.010438414290547373,0.9009190797805786,0.8506246209144592,0.0,0.25,0.8813596367835999,0.8198940753936768,0.8837483525276184,0.010438414290547373,1.0,0.8198940753936768,1.0,0.7228915691375732,0.7228915691375732,0.9009190797805786,0.8910319805145264,0.5,1.0,69,0.9072257280349731,0.8813596367835999,0.5660377144813538,0.5,0.5660377144813538,0.5660377144813538,0.010438414290547373,1.0,0.8910319805145264,0.9154775142669678,0.5,0.0052192071452736855,0.8506246209144592,0.6666666865348816,0.0,0.530973494052887,0.8837483525276184,1.0,0.02,1.0,0.9238808155059814,0.3614457845687866,0.9154775142669678,0.5660377144813538,0.2830188572406769,0.0,0.9238808155059814,1.0
no_init_box_kenn_horizontal_adapter_bert_ms,1,f7gqx4b5,0.006726977881044149,0.7631579041481018,0.9071097373962402,0.01009046658873558,0.01009046658873558,0.9021104574203492,0.8508612513542175,0.0,0.25,0.8811403512954712,0.819227397441864,0.885036289691925,0.01009046658873558,0.9666666984558104,0.819227397441864,0.9666666984558104,0.7631579041481018,0.7631579041481018,0.9021104574203492,0.8915021419525146,0.4833333194255829,0.9666666984558104,79,0.9071097373962402,0.8811403512954712,0.6304348111152649,0.4833333492279053,0.6304348111152649,0.6304348111152649,0.01009046658873558,0.9666666388511658,0.8915021419525146,0.9155521988868712,0.4833333194255829,0.00504523329436779,0.8508612513542175,0.644444465637207,0.0,0.5471698045730591,0.885036289691925,0.9666666388511658,0.02,0.9666666388511658,0.9241533279418944,0.3815789520740509,0.9155521988868712,0.6304348111152649,0.31521740555763245,0.0,0.9241533279418944,0.9666666984558104
no_init_box_kenn_horizontal_adapter_bert_ms,0,zxt1mvxq,0.005567153915762901,0.7272727489471436,0.9067095518112184,0.008350730873644352,0.008350730873644352,0.9030153155326844,0.8493931889533997,0.0,0.25,0.8800438642501831,0.8158940672874451,0.8857609033584595,0.008350730873644352,0.8000000715255737,0.8158940672874451,0.8000000715255737,0.7272727489471436,0.7272727489471436,0.9030153155326844,0.8913816809654236,0.4000000059604645,0.8000000715255737,50,0.9067095518112184,0.8800438642501831,0.6666666865348816,0.40000003576278687,0.6666666865348816,0.6666666865348816,0.008350730873644352,0.800000011920929,0.8913816809654236,0.915402352809906,0.4000000059604645,0.004175365436822176,0.8493931889533997,0.533333420753479,0.0,0.5,0.8857609033584595,0.800000011920929,0.06999999999999999,0.800000011920929,0.9242634773254396,0.3636363744735718,0.915402352809906,0.6666666865348816,0.3333333432674408,0.0,0.9242634773254396,0.8000000715255737
no_init_box_kenn_hybrid_adapter_bert_ms,2,jvax1fjv,0.006958942394703627,0.6741573214530945,0.9072257280349731,0.010438414290547373,0.010438414290547373,0.8997089862823486,0.8500909209251404,0.0,0.25,0.8813596367835999,0.8198940753936768,0.8825970888137817,0.010438414290547373,1.0,0.8198940753936768,1.0,0.6741573214530945,0.6741573214530945,0.8997089862823486,0.8904398083686829,0.5,1.0,42,0.9072257280349731,0.8813596367835999,0.508474588394165,0.5,0.508474588394165,0.508474588394165,0.010438414290547373,1.0,0.8904398083686829,0.9153408408164978,0.5,0.0052192071452736855,0.8500909209251404,0.6666666865348816,0.0,0.5042017102241516,0.8825970888137817,1.0,0.03,1.0,0.9236024618148804,0.33707866072654724,0.9153408408164978,0.508474588394165,0.2542372941970825,0.0,0.9236024618148804,1.0
no_init_box_kenn_top_down_adapter_bert_ms,2,wnl4uqd2,0.006958942394703627,0.6896551847457886,0.9072257280349731,0.010438414290547373,0.010438414290547373,0.900111973285675,0.8502563238143921,0.0,0.25,0.8813596367835999,0.8198940753936768,0.8829538822174072,0.010438414290547373,1.0,0.8198940753936768,1.0,0.6896551847457886,0.6896551847457886,0.900111973285675,0.8906371593475342,0.5,1.0,44,0.9072257280349731,0.8813596367835999,0.5263158082962036,0.5,0.5263158082962036,0.5263158082962036,0.010438414290547373,1.0,0.8906371593475342,0.915383517742157,0.5,0.0052192071452736855,0.8502563238143921,0.6666666865348816,0.0,0.5128205418586731,0.8829538822174072,1.0,0.19,1.0,0.9236894249916076,0.3448275923728943,0.915383517742157,0.5263158082962036,0.2631579041481018,0.0,0.9236894249916076,1.0
no_init_box_kenn_bottom_up_adapter_bert_ms,2,qky6avft,0.006958942394703627,0.6741573214530945,0.9072257280349731,0.010438414290547373,0.010438414290547373,0.8997089862823486,0.8500909209251404,0.0,0.25,0.8813596367835999,0.8198940753936768,0.8825970888137817,0.010438414290547373,1.0,0.8198940753936768,1.0,0.6741573214530945,0.6741573214530945,0.8997089862823486,0.8904398083686829,0.5,1.0,42,0.9072257280349731,0.8813596367835999,0.508474588394165,0.5,0.508474588394165,0.508474588394165,0.010438414290547373,1.0,0.8904398083686829,0.9153408408164978,0.5,0.0052192071452736855,0.8500909209251404,0.6666666865348816,0.0,0.5042017102241516,0.8825970888137817,1.0,0.03,1.0,0.9236024618148804,0.33707866072654724,0.9153408408164978,0.508474588394165,0.2542372941970825,0.0,0.9236024618148804,1.0
no_init_box_kenn_hybrid_adapter_bert_ms,1,hsb43iuv,0.006958942394703627,0.6315789818763733,0.9072257280349731,0.010438414290547373,0.010438414290547373,0.8985021114349365,0.849655270576477,0.0,0.25,0.8813596367835999,0.8198940753936768,0.8816583752632141,0.010438414290547373,1.0,0.8198940753936768,1.0,0.6315789818763733,0.6315789818763733,0.8985021114349365,0.8898483514785767,0.5,1.0,64,0.9072257280349731,0.8813596367835999,0.4615384638309479,0.5,0.4615384638309479,0.4615384638309479,0.010438414290547373,1.0,0.8898483514785767,0.9151727557182312,0.5,0.0052192071452736855,0.849655270576477,0.6666666865348816,0.0,0.48000001907348633,0.8816583752632141,1.0,0.02,1.0,0.9232602715492249,0.31578949093818665,0.9151727557182312,0.4615384638309479,0.2307692319154739,0.0,0.9232602715492249,1.0
no_init_box_kenn_top_down_adapter_bert_ms,1,8i6wo8oy,0.006958942394703627,0.6315789818763733,0.9072257280349731,0.010438414290547373,0.010438414290547373,0.8985021114349365,0.849655270576477,0.0,0.25,0.8813596367835999,0.8198940753936768,0.8816583752632141,0.010438414290547373,1.0,0.8198940753936768,1.0,0.6315789818763733,0.6315789818763733,0.8985021114349365,0.8898483514785767,0.5,1.0,65,0.9072257280349731,0.8813596367835999,0.4615384638309479,0.5,0.4615384638309479,0.4615384638309479,0.010438414290547373,1.0,0.8898483514785767,0.9151727557182312,0.5,0.0052192071452736855,0.849655270576477,0.6666666865348816,0.0,0.48000001907348633,0.8816583752632141,1.0,0.06999999999999999,1.0,0.9232602715492249,0.31578949093818665,0.9151727557182312,0.4615384638309479,0.2307692319154739,0.0,0.9232602715492249,1.0
no_init_box_kenn_bottom_up_adapter_bert_ms,1,i7evuhwg,0.006958942394703627,0.6315789818763733,0.9072257280349731,0.010438414290547373,0.010438414290547373,0.8985021114349365,0.849655270576477,0.0,0.25,0.8813596367835999,0.8198940753936768,0.8816583752632141,0.010438414290547373,1.0,0.8198940753936768,1.0,0.6315789818763733,0.6315789818763733,0.8985021114349365,0.8898483514785767,0.5,1.0,64,0.9072257280349731,0.8813596367835999,0.4615384638309479,0.5,0.4615384638309479,0.4615384638309479,0.010438414290547373,1.0,0.8898483514785767,0.9151727557182312,0.5,0.0052192071452736855,0.849655270576477,0.6666666865348816,0.0,0.48000001907348633,0.8816583752632141,1.0,0.02,1.0,0.9232602715492249,0.31578949093818665,0.9151727557182312,0.4615384638309479,0.2307692319154739,0.0,0.9232602715492249,1.0
no_init_box_kenn_hybrid_adapter_bert_ms,0,ehm4rwp7,0.006958942394703627,0.6896551847457886,0.9072257280349731,0.010438414290547373,0.010438414290547373,0.900111973285675,0.8502563238143921,0.0,0.25,0.8813596367835999,0.8198940753936768,0.8829538822174072,0.010438414290547373,1.0,0.8198940753936768,1.0,0.6896551847457886,0.6896551847457886,0.900111973285675,0.8906371593475342,0.5,1.0,101,0.9072257280349731,0.8813596367835999,0.5263158082962036,0.5,0.5263158082962036,0.5263158082962036,0.010438414290547373,1.0,0.8906371593475342,0.9153721928596495,0.5,0.0052192071452736855,0.8502563238143921,0.6666666865348816,0.0,0.5128205418586731,0.8829538822174072,1.0,0.09,1.0,0.92366623878479,0.3448275923728943,0.9153721928596495,0.5263158082962036,0.2631579041481018,0.0,0.92366623878479,1.0
no_init_box_kenn_top_down_adapter_bert_ms,0,hjltwwzl,0.006958942394703627,0.7228915691375732,0.9072257280349731,0.010438414290547373,0.010438414290547373,0.9009190797805786,0.8506246209144592,0.0,0.25,0.8813596367835999,0.8198940753936768,0.8837483525276184,0.010438414290547373,1.0,0.8198940753936768,1.0,0.7228915691375732,0.7228915691375732,0.9009190797805786,0.8910319805145264,0.5,1.0,28,0.9072257280349731,0.8813596367835999,0.5660377144813538,0.5,0.5660377144813538,0.5660377144813538,0.010438414290547373,1.0,0.8910319805145264,0.9154831767082214,0.5,0.0052192071452736855,0.8506246209144592,0.6666666865348816,0.0,0.530973494052887,0.8837483525276184,1.0,0.1,1.0,0.923892378807068,0.3614457845687866,0.9154831767082214,0.5660377144813538,0.2830188572406769,0.0,0.923892378807068,1.0
no_init_box_kenn_bottom_up_adapter_bert_ms,0,kuwjx6zw,0.006958942394703627,0.6896551847457886,0.9072257280349731,0.010438414290547373,0.010438414290547373,0.900111973285675,0.8502563238143921,0.0,0.25,0.8813596367835999,0.8198940753936768,0.8829538822174072,0.010438414290547373,1.0,0.8198940753936768,1.0,0.6896551847457886,0.6896551847457886,0.900111973285675,0.8906371593475342,0.5,1.0,98,0.9072257280349731,0.8813596367835999,0.5263158082962036,0.5,0.5263158082962036,0.5263158082962036,0.010438414290547373,1.0,0.8906371593475342,0.9153721928596495,0.5,0.0052192071452736855,0.8502563238143921,0.6666666865348816,0.0,0.5128205418586731,0.8829538822174072,1.0,0.08,1.0,0.92366623878479,0.3448275923728943,0.9153721928596495,0.5263158082962036,0.2631579041481018,0.0,0.92366623878479,1.0
no_init_box_adapter_bert_ms,2,1t9y319j,0.006958942394703627,0.6896551847457886,0.9072257280349731,0.010438414290547373,0.010438414290547373,0.900111973285675,0.8502563238143921,0.0,0.25,0.8813596367835999,0.8198940753936768,0.8829538822174072,0.010438414290547373,1.0,0.8198940753936768,1.0,0.6896551847457886,0.6896551847457886,0.900111973285675,0.8906371593475342,0.5,1.0,44,0.9072257280349731,0.8813596367835999,0.5263158082962036,0.5,0.5263158082962036,0.5263158082962036,0.010438414290547373,1.0,0.8906371593475342,0.915383517742157,0.5,0.0052192071452736855,0.8502563238143921,0.6666666865348816,0.0,0.5128205418586731,0.8829538822174072,1.0,0.19,1.0,0.9236894249916076,0.3448275923728943,0.915383517742157,0.5263158082962036,0.2631579041481018,0.0,0.9236894249916076,1.0
no_init_box_adapter_bert_ms,1,4iay9jwf,0.006958942394703627,0.6315789818763733,0.9072257280349731,0.010438414290547373,0.010438414290547373,0.8985021114349365,0.849655270576477,0.0,0.25,0.8813596367835999,0.8198940753936768,0.8816583752632141,0.010438414290547373,1.0,0.8198940753936768,1.0,0.6315789818763733,0.6315789818763733,0.8985021114349365,0.8898483514785767,0.5,1.0,83,0.9072257280349731,0.8813596367835999,0.4615384638309479,0.5,0.4615384638309479,0.4615384638309479,0.010438414290547373,1.0,0.8898483514785767,0.9151727557182312,0.5,0.0052192071452736855,0.849655270576477,0.6666666865348816,0.0,0.48000001907348633,0.8816583752632141,1.0,0.09,1.0,0.9232602715492249,0.31578949093818665,0.9151727557182312,0.4615384638309479,0.2307692319154739,0.0,0.9232602715492249,1.0
no_init_box_adapter_bert_ms,0,0k1r08st,0.006958942394703627,0.7228915691375732,0.9072257280349731,0.010438414290547373,0.010438414290547373,0.9009190797805786,0.8506246209144592,0.0,0.25,0.8813596367835999,0.8198940753936768,0.8837483525276184,0.010438414290547373,1.0,0.8198940753936768,1.0,0.7228915691375732,0.7228915691375732,0.9009190797805786,0.8910319805145264,0.5,1.0,28,0.9072257280349731,0.8813596367835999,0.5660377144813538,0.5,0.5660377144813538,0.5660377144813538,0.010438414290547373,1.0,0.8910319805145264,0.9154831767082214,0.5,0.0052192071452736855,0.8506246209144592,0.6666666865348816,0.0,0.530973494052887,0.8837483525276184,1.0,0.1,1.0,0.923892378807068,0.3614457845687866,0.9154831767082214,0.5660377144813538,0.2830188572406769,0.0,0.923892378807068,1.0
no_init_kenn_horizontal_adapter_bert_ms,2,19xm8b5x,0.008329208940267563,0.7714285850524902,0.914550006389618,0.009394573047757149,0.009394573047757149,0.9116992950439452,0.8806097507476807,0.6808511018753052,0.375,0.898903489112854,0.8623095154762268,0.8997036218643188,0.009394573047757149,0.9000000953674316,0.8623095154762268,0.9000000953674316,0.7714285850524902,0.7714285850524902,0.9116992950439452,0.9052561521530152,0.7166666984558105,0.9000000953674316,30,0.914550006389618,0.898903489112854,0.675000011920929,0.7166666984558105,0.675000011920929,0.675000011920929,0.009394573047757149,0.8999999761581421,0.9052561521530152,0.9209905862808228,0.7166666388511658,0.007480863481760025,0.8806097507476807,0.7979382276535034,0.5333333611488342,0.7350426316261292,0.8997036218643188,0.8999999761581421,0.93,0.8999999761581421,0.9275226593017578,0.7596367001533508,0.9209905862808228,0.7543859481811523,0.8080882430076599,0.9411764740943908,0.9275226593017578,0.9000000953674316
no_init_kenn_horizontal_adapter_bert_ms,1,2y5594tr,0.009059756062924862,0.6593406796455383,0.914897918701172,0.010438414290547373,0.010438414290547373,0.90812486410141,0.879888653755188,0.6808511018753052,0.375,0.8995614051818848,0.864309549331665,0.8960397243499756,0.010438414290547373,1.0,0.864309549331665,1.0,0.6593406796455383,0.6593406796455383,0.90812486410141,0.9038228392601012,0.7666666507720947,1.0,17,0.914897918701172,0.8995614051818848,0.49180328845977783,0.7666667103767395,0.49180328845977783,0.49180328845977783,0.010438414290547373,1.0,0.9038228392601012,0.9203311204910278,0.7666666507720947,0.008002784103155136,0.879888653755188,0.8679245710372925,0.5333333611488342,0.6666666865348816,0.8960397243499756,1.0,0.49,1.0,0.925829291343689,0.7407295107841492,0.9203311204910278,0.5897436141967773,0.7164899110794067,0.9411764740943908,0.925829291343689,1.0
no_init_kenn_horizontal_adapter_bert_ms,0,164u6wrk,0.009059756062924862,0.3333333134651184,0.914897918701172,0.010438414290547373,0.010438414290547373,0.890577495098114,0.8770654797554016,0.6808511018753052,0.375,0.8995614051818848,0.864309549331665,0.890203595161438,0.010438414290547373,1.0,0.864309549331665,1.0,0.3333333134651184,0.3333333134651184,0.890577495098114,0.8950468897819519,0.7666666507720947,1.0,16,0.914897918701172,0.8995614051818848,0.20000000298023224,0.7666667103767395,0.20000000298023224,0.20000000298023224,0.010438414290547373,1.0,0.8950468897819519,0.9135505557060242,0.7666666507720947,0.008002784103155136,0.8770654797554016,0.8679245710372925,0.5333333611488342,0.4052863419055938,0.890203595161438,1.0,0.01,1.0,0.9122071266174316,0.6542522311210632,0.9135505557060242,0.27544909715652466,0.570588231086731,0.9411764740943908,0.9122071266174316,1.0
smart_init_box_kenn_hybrid_adapter_bert_ms,2,4m9pvcti,0.006726977881044149,0.865671694278717,0.9071677327156068,0.01009046658873558,0.01009046658873558,0.9039369821548462,0.8522760272026062,0.0,0.25,0.8811403512954712,0.819227397441864,0.8881032466888428,0.01009046658873558,0.9666666984558104,0.819227397441864,0.9666666984558104,0.865671694278717,0.865671694278717,0.9039369821548462,0.8923931121826172,0.4833333194255829,0.9666666984558104,32,0.9071677327156068,0.8811403512954712,0.7837837934494019,0.4833333492279053,0.7837837934494019,0.7837837934494019,0.01009046658873558,0.9666666388511658,0.8923931121826172,0.9158890247344972,0.4833333194255829,0.00504523329436779,0.8522760272026062,0.644444465637207,0.0,0.5979381203651428,0.8881032466888428,0.9666666388511658,0.22,0.9666666388511658,0.9247796535491944,0.4328358471393585,0.9158890247344972,0.7837837934494019,0.3918918967247009,0.0,0.9247796535491944,0.9666666984558104
smart_init_box_kenn_top_down_adapter_bert_ms,2,3a831c8i,0.006726977881044149,0.8169013857841492,0.9071677327156068,0.01009046658873558,0.01009046658873558,0.9031242728233336,0.851571261882782,0.0,0.25,0.8811403512954712,0.819227397441864,0.8865739107131958,0.01009046658873558,0.9666666984558104,0.819227397441864,0.9666666984558104,0.8169013857841492,0.8169013857841492,0.9031242728233336,0.8919969201087952,0.4833333194255829,0.9666666984558104,32,0.9071677327156068,0.8811403512954712,0.707317054271698,0.4833333492279053,0.707317054271698,0.707317054271698,0.01009046658873558,0.9666666388511658,0.8919969201087952,0.9157752990722656,0.4833333194255829,0.00504523329436779,0.851571261882782,0.644444465637207,0.0,0.5742574334144592,0.8865739107131958,0.9666666388511658,0.5700000000000001,0.9666666388511658,0.9245476722717284,0.4084506928920746,0.9157752990722656,0.707317054271698,0.353658527135849,0.0,0.9245476722717284,0.9666666984558104
smart_init_box_kenn_bottom_up_adapter_bert_ms,2,d1u835e0,0.0064950124360620975,0.8484848737716675,0.9070517420768738,0.00974251888692379,0.00974251888692379,0.9039154052734376,0.8518598079681396,0.0,0.25,0.8809210658073425,0.8185607194900513,0.8879831433296204,0.00974251888692379,0.9333333373069764,0.8185607194900513,0.9333333373069764,0.8484848737716675,0.8484848737716675,0.9039154052734376,0.8922700881958008,0.46666666865348816,0.9333333373069764,30,0.9070517420768738,0.8809210658073425,0.7777777910232544,0.46666666865348816,0.7777777910232544,0.7777777910232544,0.00974251888692379,0.9333333373069764,0.8922700881958008,0.9158042669296264,0.46666666865348816,0.004871259443461895,0.8518598079681396,0.6222222447395325,0.0,0.5833333134651184,0.8879831433296204,0.9333333373069764,0.24,0.9333333373069764,0.9247274398803712,0.42424243688583374,0.9158042669296264,0.7777777910232544,0.3888888955116272,0.0,0.9247274398803712,0.9333333373069764
smart_init_box_kenn_hybrid_adapter_bert_ms,1,kdaamd5e,0.006958942394703627,0.6521738767623901,0.9072257280349731,0.010438414290547373,0.010438414290547373,0.8991051316261292,0.8498626351356506,0.0,0.25,0.8813596367835999,0.8198940753936768,0.8821049928665161,0.010438414290547373,1.0,0.8198940753936768,1.0,0.6521738767623901,0.6521738767623901,0.8991051316261292,0.8901439905166626,0.5,1.0,48,0.9072257280349731,0.8813596367835999,0.4838709533214569,0.5,0.4838709533214569,0.4838709533214569,0.010438414290547373,1.0,0.8901439905166626,0.9152725338935852,0.5,0.0052192071452736855,0.8498626351356506,0.6666666865348816,0.0,0.49180325865745544,0.8821049928665161,1.0,0.03,1.0,0.9234632849693298,0.32608693838119507,0.9152725338935852,0.4838709533214569,0.24193547666072843,0.0,0.9234632849693298,1.0
