name,instance,run_id,test_pretraining/macro_types/f1,test/macro_types/recall,test_incremental/macro_example/precision,test_incremental_only/macro_example/precision,test_pretraining/micro/precision,test_incremental_broadcast/macro_types/recall,test_incremental_only/macro_types/f1,test_incremental/micro/f1,test/macro_types/precision,test_incremental_only/micro/f1,test_incremental/macro_example/f1,test_pretraining/macro_example/f1,test_incremental_only/micro/recall,test/micro/recall,threshold_pretraining,test_incremental_only/micro/precision,test_incremental_broadcast/macro_types/precision,epoch,threshold_incremental,test_incremental/micro/precision,test_pretraining/macro_types/recall,test_incremental_broadcast-tv_channel/macro_types/f1,test_incremental_only/macro_example_exclusive/recall,test_pretraining/micro/f1,test/macro_example/precision,test_pretraining/micro/recall,test_incremental/macro_example/recall,test_pretraining/macro_example/recall,test_pretraining/macro_example/precision,test_incremental/macro_example_exclusive/f1,test_incremental/macro_example_exclusive/precision,test/micro/precision,test_incremental_only/macro_example_exclusive/precision,test_incremental/macro_types/recall,test_incremental_only/macro_example_exclusive/f1,test_incremental/macro_example_exclusive/recall,test_incremental_broadcast-tv_channel/macro_types/precision,test/micro/f1,test/macro_example/f1,test_incremental_only/macro_example/f1,test_incremental_only/macro_types/precision,test/macro_example/recall,test_incremental_broadcast-tv_channel/macro_types/recall,test_incremental/macro_types/precision,test_pretraining/macro_types/precision,test/macro_types/f1,test_incremental/micro/recall,test_incremental/macro_types/f1,test_incremental_only/macro_example/recall,test_incremental_broadcast/macro_types/f1,test_incremental_only/macro_types/recall
no_init_box_kenn_horizontal_adapter_bert_ms,2,b8ii97iw,0.8516663908958435,0.8185607194900513,0.00974251888692379,0.00974251888692379,0.903712034225464,0.0,0.8358209133148193,0.5773195624351501,0.8875627517700195,0.8358209133148193,0.0064950124360620975,0.9157758355140686,0.9333333373069764,0.8809210658073425,0.25,0.7567567825317383,0.0,37,0.01,0.7567567825317383,0.8185607194900513,0.8358209133148193,0.9333333373069764,0.8921709656715393,0.9246695041656494,0.8809210658073425,0.004871259443461895,0.9070517420768738,0.9246695041656494,0.6222222447395325,0.9333333373069764,0.903712034225464,0.9333333373069764,0.46666666865348816,0.9333333373069764,0.46666666865348816,0.7567567825317383,0.8921709656715393,0.9157758355140686,0.00974251888692379,0.7567567825317383,0.9070517420768738,0.9333333373069764,0.37837839126586914,0.8875627517700195,0.8516663908958435,0.46666666865348816,0.41791045665740967,0.00974251888692379,0.0,0.9333333373069764
no_init_box_kenn_horizontal_adapter_bert_ms,1,wusrocut,0.8508701920509338,0.8158940672874451,0.008350729942321777,0.008350729942321777,0.9044399261474608,0.0,0.813559353351593,0.5393258333206177,0.8889793157577515,0.813559353351593,0.005567153450101614,0.9155667424201964,0.800000011920929,0.8800438642501831,0.25,0.8275862336158752,0.0,63,0.05,0.8275862336158752,0.8158940672874451,0.813559353351593,0.8000000715255737,0.8920751810073853,0.9246288537979126,0.8800438642501831,0.004175364971160889,0.9066805839538574,0.9246288537979126,0.533333420753479,0.8000000715255737,0.9044399261474608,0.8000000715255737,0.4000000059604645,0.8000000715255737,0.40000003576278687,0.8275862336158752,0.8920751810073853,0.9155667424201964,0.008350729942321777,0.8275862336158752,0.9066805839538574,0.800000011920929,0.4137931168079376,0.8889793157577515,0.8508701920509338,0.4000000059604645,0.4067796766757965,0.008350729942321777,0.0,0.800000011920929
no_init_box_kenn_horizontal_adapter_bert_ms,0,ymi9gdfu,0.8454434871673584,0.8198940753936768,0.010438414290547373,0.010438414290547373,0.5519087910652161,0.0,0.020661156624555588,0.02044989727437496,0.8726363778114319,0.020661156624555588,0.006958942394703627,0.6697168350219727,1.0,0.8813596367835999,0.25,0.010438413359224796,0.0,20,0.0,0.010438413359224796,0.8198940753936768,0.020661156624555588,1.0,0.6787704825401306,0.5307643413543701,0.8813596367835999,0.0052192071452736855,0.9072257280349731,0.5307643413543701,0.6666666865348816,1.0,0.5519087910652161,1.0,0.5,1.0,0.5,0.010438413359224796,0.6787704825401306,0.6697168350219727,0.010438414290547373,0.010438413359224796,0.9072257280349731,1.0,0.005219206679612398,0.8726363778114319,0.8454434871673584,0.5,0.010330578312277794,0.010438414290547373,0.0,1.0
no_init_box_kenn_hybrid_adapter_bert_ms,2,y0a8ospk,0.8501923680305481,0.8165607452392578,0.008698677644133568,0.008698677644133568,0.9034436345100404,0.0,0.7692307233810425,0.5263158082962036,0.8867133259773254,0.7692307233810425,0.0057991184294223785,0.9155052304267884,0.8333333134651184,0.8802631497383118,0.25,0.7142857313156128,0.0,42,0.08,0.7142857313156128,0.8165607452392578,0.7692307233810425,0.8333333730697632,0.8917027711868286,0.92444908618927,0.8802631497383118,0.004349338822066784,0.9067327976226808,0.92444908618927,0.5555556416511536,0.8333333730697632,0.9034436345100404,0.8333333730697632,0.4166666567325592,0.833333432674408,0.4166666865348816,0.7142857313156128,0.8917027711868286,0.9155052304267884,0.008698677644133568,0.7142857313156128,0.9067327976226808,0.8333333134651184,0.3571428656578064,0.8867133259773254,0.8501923680305481,0.4166666567325592,0.3846153616905213,0.008698677644133568,0.0,0.8333333134651184
no_init_box_kenn_top_down_adapter_bert_ms,2,gno3mkj8,0.8499361872673035,0.8198940753936768,0.010438414290547373,0.010438414290547373,0.8993063569068909,0.0,0.6593406796455383,0.4958677589893341,0.8822636604309082,0.6593406796455383,0.006958942394703627,0.915278136730194,1.0,0.8813596367835999,0.25,0.49180328845977783,0.0,53,0.05,0.49180328845977783,0.8198940753936768,0.6593406796455383,1.0,0.8902425169944763,0.9234748482704164,0.8813596367835999,0.0052192071452736855,0.9072257280349731,0.9234748482704164,0.6666666865348816,1.0,0.8993063569068909,1.0,0.5,1.0,0.5,0.49180328845977783,0.8902425169944763,0.915278136730194,0.010438414290547373,0.49180328845977783,0.9072257280349731,1.0,0.24590164422988892,0.8822636604309082,0.8499361872673035,0.5,0.32967033982276917,0.010438414290547373,0.0,1.0
no_init_box_kenn_bottom_up_adapter_bert_ms,2,g4hn10uc,0.8501923680305481,0.8165607452392578,0.008698677644133568,0.008698677644133568,0.9034436345100404,0.0,0.7692307233810425,0.5263158082962036,0.8867133259773254,0.7692307233810425,0.0057991184294223785,0.9155052304267884,0.8333333134651184,0.8802631497383118,0.25,0.7142857313156128,0.0,42,0.08,0.7142857313156128,0.8165607452392578,0.7692307233810425,0.8333333730697632,0.8917027711868286,0.92444908618927,0.8802631497383118,0.004349338822066784,0.9067327976226808,0.92444908618927,0.5555556416511536,0.8333333730697632,0.9034436345100404,0.8333333730697632,0.4166666567325592,0.833333432674408,0.4166666865348816,0.7142857313156128,0.8917027711868286,0.9155052304267884,0.008698677644133568,0.7142857313156128,0.9067327976226808,0.8333333134651184,0.3571428656578064,0.8867133259773254,0.8501923680305481,0.4166666567325592,0.3846153616905213,0.008698677644133568,0.0,0.8333333134651184
no_init_box_kenn_hybrid_adapter_bert_ms,1,e3bz99v5,0.8497352600097656,0.819227397441864,0.01009046658873558,0.01009046658873558,0.8998880386352539,0.0,0.6666666865348816,0.4957265257835388,0.8826030492782593,0.6666666865348816,0.006726977881044149,0.915256142616272,0.9666666388511658,0.8811403512954712,0.25,0.5087719559669495,0.0,44,0.01,0.5087719559669495,0.819227397441864,0.6666666865348816,0.9666666984558104,0.8904155492782593,0.9235502481460572,0.8811403512954712,0.00504523329436779,0.9071097373962402,0.9235502481460572,0.644444465637207,0.9666666984558104,0.8998880386352539,0.9666666984558104,0.4833333194255829,0.9666666984558104,0.4833333492279053,0.5087719559669495,0.8904155492782593,0.915256142616272,0.01009046658873558,0.5087719559669495,0.9071097373962402,0.9666666388511658,0.25438597798347473,0.8826030492782593,0.8497352600097656,0.4833333194255829,0.3333333432674408,0.01009046658873558,0.0,0.9666666388511658
no_init_box_kenn_top_down_adapter_bert_ms,1,3xm53njb,0.849850594997406,0.8185607194900513,0.00974251888692379,0.00974251888692379,0.9010767340660096,0.0,0.7000000476837158,0.5090909600257874,0.8836275935173035,0.7000000476837158,0.0064950124360620975,0.9154021143913268,0.9333333373069764,0.8809210658073425,0.25,0.5600000023841858,0.0,42,0.1,0.5600000023841858,0.8185607194900513,0.7000000476837158,0.9333333969116212,0.8908848762512207,0.9239677786827089,0.8809210658073425,0.004871259443461895,0.9069937467575072,0.9239677786827089,0.6222222447395325,0.9333333969116212,0.9010767340660096,0.9333333969116212,0.46666666865348816,0.9333333969116212,0.46666669845581055,0.5600000023841858,0.8908848762512207,0.9154021143913268,0.00974251888692379,0.5600000023841858,0.9069937467575072,0.9333333373069764,0.2800000011920929,0.8836275935173035,0.849850594997406,0.46666666865348816,0.3500000238418579,0.00974251888692379,0.0,0.9333333373069764
no_init_box_kenn_bottom_up_adapter_bert_ms,1,z88g1ija,0.8497352600097656,0.819227397441864,0.01009046658873558,0.01009046658873558,0.8998880386352539,0.0,0.6666666865348816,0.4957265257835388,0.8826030492782593,0.6666666865348816,0.006726977881044149,0.915256142616272,0.9666666388511658,0.8811403512954712,0.25,0.5087719559669495,0.0,44,0.01,0.5087719559669495,0.819227397441864,0.6666666865348816,0.9666666984558104,0.8904155492782593,0.9235502481460572,0.8811403512954712,0.00504523329436779,0.9071097373962402,0.9235502481460572,0.644444465637207,0.9666666984558104,0.8998880386352539,0.9666666984558104,0.4833333194255829,0.9666666984558104,0.4833333492279053,0.5087719559669495,0.8904155492782593,0.915256142616272,0.01009046658873558,0.5087719559669495,0.9071097373962402,0.9666666388511658,0.25438597798347473,0.8826030492782593,0.8497352600097656,0.4833333194255829,0.3333333432674408,0.01009046658873558,0.0,0.9666666388511658
no_init_box_kenn_hybrid_adapter_bert_ms,0,l7qemt86,0.8502563238143921,0.8198940753936768,0.010438414290547373,0.010438414290547373,0.900111973285675,0.0,0.6896551847457886,0.5128205418586731,0.8829538822174072,0.6896551847457886,0.006958942394703627,0.9153807163238524,1.0,0.8813596367835999,0.25,0.5263158082962036,0.0,38,0.01,0.5263158082962036,0.8198940753936768,0.6896551847457886,1.0,0.8906371593475342,0.9236836433410645,0.8813596367835999,0.0052192071452736855,0.9072257280349731,0.9236836433410645,0.6666666865348816,1.0,0.900111973285675,1.0,0.5,1.0,0.5,0.5263158082962036,0.8906371593475342,0.9153807163238524,0.010438414290547373,0.5263158082962036,0.9072257280349731,1.0,0.2631579041481018,0.8829538822174072,0.8502563238143921,0.5,0.3448275923728943,0.010438414290547373,0.0,1.0
