name,test_pretraining/macro_types/f1/mean,test/macro_types/recall/mean,test_incremental/macro_example/precision/mean,test_incremental_only/macro_example/precision/mean,test_pretraining/micro/precision/mean,test_incremental_broadcast/macro_types/recall/mean,test_incremental_only/macro_types/f1/mean,test_incremental/micro/f1/mean,test/macro_types/precision/mean,test_incremental_only/micro/f1/mean,test_incremental/macro_example/f1/mean,test_pretraining/macro_example/f1/mean,test_incremental_only/micro/recall/mean,test/micro/recall/mean,threshold_pretraining/mean,test_incremental_only/micro/precision/mean,test_incremental_broadcast/macro_types/precision/mean,epoch/mean,threshold_incremental/mean,test_incremental/micro/precision/mean,test_pretraining/macro_types/recall/mean,test_incremental_broadcast-tv_channel/macro_types/f1/mean,test_incremental_only/macro_example_exclusive/recall/mean,test_pretraining/micro/f1/mean,test/macro_example/precision/mean,test_pretraining/micro/recall/mean,test_incremental/macro_example/recall/mean,test_pretraining/macro_example/recall/mean,test_pretraining/macro_example/precision/mean,test_incremental/macro_example_exclusive/f1/mean,test_incremental/macro_example_exclusive/precision/mean,test/micro/precision/mean,test_incremental_only/macro_example_exclusive/precision/mean,test_incremental/macro_types/recall/mean,test_incremental_only/macro_example_exclusive/f1/mean,test_incremental/macro_example_exclusive/recall/mean,test_incremental_broadcast-tv_channel/macro_types/precision/mean,test/micro/f1/mean,test/macro_example/f1/mean,test_incremental_only/macro_example/f1/mean,test_incremental_only/macro_types/precision/mean,test/macro_example/recall/mean,test_incremental_broadcast-tv_channel/macro_types/recall/mean,test_incremental/macro_types/precision/mean,test_pretraining/macro_types/precision/mean,test/macro_types/f1/mean,test_incremental/micro/recall/mean,test_incremental/macro_types/f1/mean,test_incremental_only/macro_example/recall/mean,test_incremental_broadcast/macro_types/f1/mean,test_incremental_only/macro_types/recall/mean,test_pretraining/macro_types/f1/std,test/macro_types/recall/std,test_incremental/macro_example/precision/std,test_incremental_only/macro_example/precision/std,test_pretraining/micro/precision/std,test_incremental_broadcast/macro_types/recall/std,test_incremental_only/macro_types/f1/std,test_incremental/micro/f1/std,test/macro_types/precision/std,test_incremental_only/micro/f1/std,test_incremental/macro_example/f1/std,test_pretraining/macro_example/f1/std,test_incremental_only/micro/recall/std,test/micro/recall/std,threshold_pretraining/std,test_incremental_only/micro/precision/std,test_incremental_broadcast/macro_types/precision/std,epoch/std,threshold_incremental/std,test_incremental/micro/precision/std,test_pretraining/macro_types/recall/std,test_incremental_broadcast-tv_channel/macro_types/f1/std,test_incremental_only/macro_example_exclusive/recall/std,test_pretraining/micro/f1/std,test/macro_example/precision/std,test_pretraining/micro/recall/std,test_incremental/macro_example/recall/std,test_pretraining/macro_example/recall/std,test_pretraining/macro_example/precision/std,test_incremental/macro_example_exclusive/f1/std,test_incremental/macro_example_exclusive/precision/std,test/micro/precision/std,test_incremental_only/macro_example_exclusive/precision/std,test_incremental/macro_types/recall/std,test_incremental_only/macro_example_exclusive/f1/std,test_incremental/macro_example_exclusive/recall/std,test_incremental_broadcast-tv_channel/macro_types/precision/std,test/micro/f1/std,test/macro_example/f1/std,test_incremental_only/macro_example/f1/std,test_incremental_only/macro_types/precision/std,test/macro_example/recall/std,test_incremental_broadcast-tv_channel/macro_types/recall/std,test_incremental/macro_types/precision/std,test_pretraining/macro_types/precision/std,test/macro_types/f1/std,test_incremental/micro/recall/std,test_incremental/macro_types/f1/std,test_incremental_only/macro_example/recall/std,test_incremental_broadcast/macro_types/f1/std,test_incremental_only/macro_types/recall/std
no_init_box_adapter_bert_ms,0.8500456213951111,0.8196718494097391,0.010322431723276775,0.010322431723276775,0.8999035954475403,0.0,0.6777748068173727,0.5045749644438425,0.882757564385732,0.6777748068173727,0.006881620890150468,0.9153287212053934,0.9888888796170553,0.8812865416208903,0.25,0.5164985259373983,0.0,41.0,0.049999999999999996,0.5164985259373983,0.8196718494097391,0.6777748068173727,0.9888888994852701,0.8904975851376852,0.9236178994178772,0.8812865416208903,0.005161215861638387,0.9071870644887289,0.9236178994178772,0.6592592795689901,0.9888888994852701,0.8999035954475403,0.9888888994852701,0.49444443980852765,0.9888888994852701,0.4944444497426351,0.5164985259373983,0.8904975851376852,0.9153287212053934,0.010322431723276775,0.5164985259373983,0.9071870644887289,0.9888888796170553,0.25824926296869916,0.882757564385732,0.8500456213951111,0.49444443980852765,0.33888740340868634,0.010322431723276775,0.0,0.9888888796170553,0.0001293530794599046,0.0003849066949418842,0.0002008876993049496,0.0002008876993049496,0.0008660454710100766,0.0,0.025845229399738774,0.011686782356536545,0.0007182055738290844,0.025845229399738774,0.00013392477440373973,6.448914985644863e-05,0.019245025032274446,0.00012660453560046957,0.0,0.03590948521265383,0.0,2.6457513110645907,0.03605551275463989,0.03590948521265383,0.0003849066949418842,0.025845229399738774,0.01924499061951683,0.0003597584299069295,0.0001996633629133369,0.00012660453560046957,0.00010044384965247449,6.696722649591429e-05,0.0001996633629133369,0.012830005217263726,0.01924499061951683,0.0008660454710100766,0.01924499061951683,0.009622512516137223,0.01924499061951683,0.009622495309758379,0.03590948521265383,0.0003597584299069295,6.448914985644863e-05,0.0002008876993049496,0.03590948521265383,6.696722649591429e-05,0.019245025032274446,0.017954742606326915,0.0007182055738290844,0.0001293530794599046,0.009622512516137223,0.012922614699869387,0.0002008876993049496,0.0,0.019245025032274446
no_init_box_kenn_bottom_up_adapter_bert_ms,0.850061317284902,0.8185607393582662,0.009742519507805506,0.009742519507805506,0.9011478821436564,0.0,0.7085175315539042,0.5116209586461385,0.8840900858243307,0.7085175315539042,0.006495012901723385,0.9153806964556376,0.9333333174387614,0.8809210459391276,0.25,0.5831244985262553,0.0,41.333333333333336,0.03333333333333333,0.5831244985262553,0.8185607393582662,0.7085175315539042,0.9333333571751913,0.890918493270874,0.9238943258921305,0.8809210459391276,0.004871259753902753,0.907022754351298,0.9238943258921305,0.6222222646077474,0.9333333571751913,0.9011478821436564,0.9333333571751913,0.4666666587193807,0.9333333770434061,0.46666667858759564,0.5831244985262553,0.890918493270874,0.9153806964556376,0.009742519507805506,0.5831244985262553,0.907022754351298,0.9333333174387614,0.2915622492631276,0.8840900858243307,0.850061317284902,0.4666666587193807,0.3542587657769521,0.009742519507805506,0.0,0.9333333174387614,0.00028417880915676476,0.0017638302724211755,0.0009205820322299404,0.0009205820322299404,0.001991330177979718,0.0,0.053820874285702425,0.015329882617709475,0.0022785549396516494,0.053820874285702425,0.0006137212081504447,0.00012454390644678118,0.08819171637640416,0.0005802086604075315,0.0,0.11392716282237389,0.0,3.0550504633038944,0.0404145188432738,0.11392716282237389,0.0017638302724211755,0.053820874285702425,0.08819169384796592,0.0006881835821868775,0.00048504413198635616,0.0005802086604075315,0.0004602910161149701,0.00025772007182458466,0.00048504413198635616,0.05879443628213253,0.08819169384796592,0.001991330177979718,0.08819169384796592,0.04409585818820208,0.088191660055308,0.044095846923982995,0.11392716282237389,0.0006881835821868775,0.00012454390644678118,0.0009205820322299404,0.11392716282237389,0.00025772007182458466,0.08819171637640416,0.056963581411186945,0.0022785549396516494,0.00028417880915676476,0.04409585818820208,0.026910437142851226,0.0009205820322299404,0.0,0.08819171637640416
no_init_box_kenn_horizontal_adapter_bert_ms,0.8493266900380453,0.818116287390391,0.009510554373264313,0.009510554373264313,0.786686917146047,0.0,0.5566804744303226,0.37903176434338093,0.8830594817797343,0.5566804744303226,0.006340369426955779,0.8336864709854126,0.9111111164093018,0.8807748556137085,0.25,0.5315938098356128,0.0,40.0,0.02,0.5315938098356128,0.818116287390391,0.5566804744303226,0.9111111362775167,0.8210055430730184,0.7933542331059774,0.8807748556137085,0.004755277186632156,0.9069860180219015,0.7933542331059774,0.6074074506759644,0.9111111362775167,0.786686917146047,0.9111111362775167,0.4555555582046509,0.9111111362775167,0.45555556813875836,0.5315938098356128,0.8210055430730184,0.8336864709854126,0.009510554373264313,0.5315938098356128,0.9069860180219015,0.9111111164093018,0.2657969049178064,0.8830594817797343,0.8493266900380453,0.4555555582046509,0.2783402372151613,0.009510554373264313,0.0,0.9111111164093018,0.0033864334559152226,0.0020367022685915982,0.0010629967714694578,0.0010629967714694578,0.2033241471669866,0.0,0.4643397743664859,0.3111215154984107,0.009054418017375028,0.4643397743664859,0.0007086642094660833,0.14200190867896015,0.1018350093736232,0.0006699607491975616,0.0,0.45272112082668053,0.0,21.656407827707714,0.026457513110645904,0.45272112082668053,0.0020367022685915982,0.4643397743664859,0.10183497685662424,0.12317918504061943,0.22740951794219985,0.0006699607491975616,0.0005314983857347285,0.0002784515323092588,0.22740951794219985,0.06788997373208348,0.10183497685662424,0.2033241471669866,0.10183497685662424,0.050917504686811596,0.10183497685662424,0.05091748842831211,0.45272112082668053,0.12317918504061943,0.14200190867896015,0.0010629967714694578,0.45272112082668053,0.0002784515323092588,0.1018350093736232,0.22636056041334027,0.009054418017375028,0.0033864334559152226,0.050917504686811596,0.23216988718324294,0.0010629967714694578,0.0,0.1018350093736232
no_init_box_kenn_hybrid_adapter_bert_ms,0.850061317284902,0.8185607393582662,0.009742519507805506,0.009742519507805506,0.9011478821436564,0.0,0.7085175315539042,0.5116209586461385,0.8840900858243307,0.7085175315539042,0.006495012901723385,0.9153806964556376,0.9333333174387614,0.8809210459391276,0.25,0.5831244985262553,0.0,41.333333333333336,0.03333333333333333,0.5831244985262553,0.8185607393582662,0.7085175315539042,0.9333333571751913,0.890918493270874,0.9238943258921305,0.8809210459391276,0.004871259753902753,0.907022754351298,0.9238943258921305,0.6222222646077474,0.9333333571751913,0.9011478821436564,0.9333333571751913,0.4666666587193807,0.9333333770434061,0.46666667858759564,0.5831244985262553,0.890918493270874,0.9153806964556376,0.009742519507805506,0.5831244985262553,0.907022754351298,0.9333333174387614,0.2915622492631276,0.8840900858243307,0.850061317284902,0.4666666587193807,0.3542587657769521,0.009742519507805506,0.0,0.9333333174387614,0.00028417880915676476,0.0017638302724211755,0.0009205820322299404,0.0009205820322299404,0.001991330177979718,0.0,0.053820874285702425,0.015329882617709475,0.0022785549396516494,0.053820874285702425,0.0006137212081504447,0.00012454390644678118,0.08819171637640416,0.0005802086604075315,0.0,0.11392716282237389,0.0,3.0550504633038944,0.0404145188432738,0.11392716282237389,0.0017638302724211755,0.053820874285702425,0.08819169384796592,0.0006881835821868775,0.00048504413198635616,0.0005802086604075315,0.0004602910161149701,0.00025772007182458466,0.00048504413198635616,0.05879443628213253,0.08819169384796592,0.001991330177979718,0.08819169384796592,0.04409585818820208,0.088191660055308,0.044095846923982995,0.11392716282237389,0.0006881835821868775,0.00012454390644678118,0.0009205820322299404,0.11392716282237389,0.00025772007182458466,0.08819171637640416,0.056963581411186945,0.0022785549396516494,0.00028417880915676476,0.04409585818820208,0.026910437142851226,0.0009205820322299404,0.0,0.08819171637640416
no_init_box_kenn_top_down_adapter_bert_ms,0.8499330282211304,0.8194496234258016,0.010206449156006178,0.010206449156006178,0.8999635577201843,0.0,0.6753358046213785,0.5016529063383738,0.8827729423840841,0.6753358046213785,0.00680429907515645,0.9153289794921875,0.9777777791023254,0.8812134464581808,0.25,0.5172677636146545,0.0,44.333333333333336,0.05666666666666667,0.5172677636146545,0.8194496234258016,0.6753358046213785,0.9777777989705404,0.8904895186424255,0.9236584901809693,0.8812134464581808,0.005103224578003089,0.9071484009424845,0.9236584901809693,0.6518518726030985,0.9777777989705404,0.8999635577201843,0.9777777989705404,0.4888888895511627,0.9777777989705404,0.4888888994852702,0.5172677636146545,0.8904895186424255,0.9153289794921875,0.010206449156006178,0.5172677636146545,0.9071484009424845,0.9777777791023254,0.25863388180732727,0.8827729423840841,0.8499330282211304,0.4888888895511627,0.33766790231068927,0.010206449156006178,0.0,0.9777777791023254,8.089997272170494e-05,0.0007698133898837444,0.0004017753986098986,0.0004017753986098986,0.000969275031187282,0.0,0.02167166949300893,0.006764786466341105,0.0007446732632060161,0.02167166949300893,0.0002678500865068188,6.49254930584914e-05,0.03849001565179113,0.0002532090712009151,0.0,0.03723344857397143,0.0,7.76745346515403,0.0404145188432738,0.03723344857397143,0.0007698133898837444,0.02167166949300893,0.03848998123903342,0.00034592408418639023,0.0002694167723960476,0.0002532090712009151,0.0002008876993049488,0.00013393445299192476,0.0002694167723960476,0.025660010434527477,0.03848998123903342,0.000969275031187282,0.03848998123903342,0.019245007825895603,0.03848998123903342,0.019244990619516743,0.03723344857397143,0.00034592408418639023,6.49254930584914e-05,0.0004017753986098986,0.03723344857397143,0.00013393445299192476,0.03849001565179113,0.018616724286985714,0.0007446732632060161,8.089997272170494e-05,0.019245007825895603,0.010835834746504465,0.0004017753986098986,0.0,0.03849001565179113
no_init_kenn_bottom_up_adapter_bert_ms,0.8805086414019266,0.8634206453959147,0.009974484021464983,0.009974484021464983,0.9105178316434225,0.5333333611488342,0.7394578655560812,0.7170511285463969,0.8982871373494467,0.7394578655560812,0.008735747387011846,0.9208283623059591,0.9555555383364359,0.8992690245310465,0.375,0.6041759649912516,0.9411764740943908,42.333333333333336,0.6133333333333334,0.6924596230189005,0.8634206453959147,0.7394578655560812,0.9555555979410807,0.9048583507537842,0.9269949396451315,0.8992690245310465,0.007770818968613942,0.9147433241208395,0.9269949396451315,0.8368846575419108,0.9555555979410807,0.9105178316434225,0.9555555979410807,0.7444444497426351,0.9555555979410807,0.7444445093472799,0.6041759649912516,0.9048583507537842,0.9208283623059591,0.009974484021464983,0.6041759649912516,0.9147433241208395,0.9555555383364359,0.7726762096087137,0.8982871373494467,0.8805086414019266,0.7444444497426351,0.7581531405448914,0.009974484021464983,0.6808511018753052,0.9555555383364359,0.0005570708657000035,0.0003849066949418842,0.00020088769930494898,0.00020088769930494898,0.0008087138178200506,0.0,0.03966293421064308,0.023931330348391833,0.0010244580105529804,0.03966293421064308,0.00014058256762117697,0.00011671559478895908,0.019244990619516684,0.00012660453560046957,0.0,0.051222421392908016,0.0,3.785938897200182,0.10016652800877822,0.04298064946406374,0.0003849066949418842,0.03966293421064308,0.01924499061951662,0.00040542108006916776,0.0002038729309057403,0.00012660453560046957,0.00010044384965247449,6.696722649587423e-05,0.0002038729309057403,0.013467776855829483,0.01924499061951662,0.0008087138178200506,0.01924499061951662,0.009622495309758367,0.01924499061951662,0.009622495309758367,0.051222421392908016,0.00040542108006916776,0.00011671559478895908,0.00020088769930494898,0.051222421392908016,6.696722649587423e-05,0.019244990619516684,0.025611224219064584,0.0010244580105529804,0.0005570708657000035,0.009622495309758367,0.013950933902121022,0.00020088769930494898,0.0,0.019244990619516684
no_init_kenn_horizontal_adapter_bert_ms,0.8804576396942139,0.8634206453959147,0.009974484331905842,0.009974484331905842,0.9104503591855367,0.5333333611488342,0.7352035244305929,0.7147101958592733,0.8981813987096151,0.7352035244305929,0.008735292901595434,0.9207626581192017,0.9555555383364359,0.8992690046628317,0.375,0.5988889336585999,0.9411764740943908,40.333333333333336,0.7600000000000001,0.6883838375409445,0.8634206453959147,0.7352035244305929,0.9555555979410807,0.9048249920209249,0.9268519083658854,0.8992690046628317,0.007770819279054801,0.9147529800732931,0.9268519083658854,0.8368410269419352,0.9555555979410807,0.9104503591855367,0.9555555979410807,0.7444444497426351,0.9555555979410807,0.7444444894790649,0.5988889336585999,0.9048249920209249,0.9207626581192017,0.009974484331905842,0.5988889336585999,0.9147529800732931,0.9555555383364359,0.7700327038764954,0.8981813987096151,0.8804576396942139,0.7444444298744202,0.7566908001899719,0.009974484331905842,0.6808511018753052,0.9555555383364359,0.0002782784029331725,0.0010183673927800195,0.0005314983857347294,0.0005314983857347294,0.0005873676273121791,0.0,0.00410672770271423,0.0017825074019982804,0.000524256692314155,0.00410672770271423,0.00037204944112364586,4.421302844095975e-05,0.050917517693612684,0.0003349966332405895,0.0,0.026213348276344563,0.0,7.234178138070234,0.16000000000000003,0.025638440491672777,0.0010183673927800195,0.00410672770271423,0.05091745916301218,0.00012042996174374995,0.0002525180678885222,0.0003349966332405895,0.0002657489388283486,0.00016140931568842196,0.0002525180678885222,0.035642357229695505,0.05091745916301218,0.0005873676273121791,0.05091745916301218,0.025458729581506082,0.05091745916301218,0.025458762098508163,0.026213348276344563,0.00012042996174374995,4.421302844095975e-05,0.0005314983857347294,0.026213348276344563,0.00016140931568842196,0.050917517693612684,0.013106674138172281,0.000524256692314155,0.0002782784029331725,0.025458762098508163,0.00700185340080672,0.0005314983857347294,0.0,0.050917517693612684
no_init_kenn_hybrid_adapter_bert_ms,0.8807419538497925,0.8631984194119772,0.009858501454194387,0.009858501454194387,0.9111178914705912,0.5333333611488342,0.7629447778066,0.7309915820757548,0.8990136384963989,0.7629447778066,0.008654582314193249,0.9209107955296835,0.9444444378217062,0.899195929368337,0.375,0.6405007640520731,0.9411764740943908,40.333333333333336,0.63,0.7236558794975281,0.8631984194119772,0.7629447778066,0.944444497426351,0.9051175912221273,0.9272017677625021,0.899195929368337,0.007712827840199073,0.9147046605745951,0.9272017677625021,0.8291090130805969,0.944444497426351,0.9111178914705912,0.944444497426351,0.7388888994852701,0.944444497426351,0.7388889392217001,0.6405007640520731,0.9051175912221273,0.9209107955296835,0.009858501454194387,0.6405007640520731,0.9147046605745951,0.9444444378217062,0.790838619073232,0.8990136384963989,0.8807419538497925,0.7388888994852701,0.7639163931210836,0.009858501454194387,0.6808511018753052,0.9444444378217062,0.0004917424086198418,0.0003849066949418842,0.00020088769930494898,0.00020088769930494898,0.000539368172102527,0.0,0.031038496234484986,0.018583753364068548,0.0007789090736311382,0.031038496234484986,0.00014058229877227874,0.00016096697912733684,0.019244990619516646,0.00012660453560046957,0.0,0.038944563191960484,0.0,6.350852961085883,0.09539392014169454,0.031570043452076285,0.0003849066949418842,0.031038496234484986,0.01924499061951662,0.0002945879857917194,0.00026929224374299147,0.00012660453560046957,0.00010044371522790944,6.696722649589026e-05,0.00026929224374299147,0.0134677940622413,0.01924499061951662,0.000539368172102527,0.01924499061951662,0.009622495309758367,0.01924499061951662,0.009622512516183387,0.038944563191960484,0.0002945879857917194,0.00016096697912733684,0.00020088769930494898,0.038944563191960484,6.696722649589026e-05,0.019244990619516646,0.019472281595980228,0.0007789090736311382,0.0004917424086198418,0.009622495309758367,0.01218260860991186,0.00020088769930494898,0.0,0.019244990619516646
no_init_kenn_top_down_adapter_bert_ms,0.8803678750991821,0.8634206453959147,0.009974484021464983,0.009974484021464983,0.9103153149286906,0.5333333611488342,0.7289706468582153,0.7109341621398926,0.8979938824971517,0.7289706468582153,0.008735747387011846,0.9207616249720255,0.9555555383364359,0.8992690245310465,0.375,0.5895129442214966,0.9411764740943908,42.666666666666664,0.7733333333333334,0.6805241306622823,0.8634206453959147,0.7289706468582153,0.9555555979410807,0.9047583937644958,0.9268596172332764,0.8992690245310465,0.007770818968613942,0.9147433241208395,0.9268596172332764,0.8368846575419108,0.9555555979410807,0.9103153149286906,0.9555555979410807,0.7444444497426351,0.9555555979410807,0.7444445093472799,0.5895129442214966,0.9047583937644958,0.9207616249720255,0.009974484021464983,0.5895129442214966,0.9147433241208395,0.9555555383364359,0.7653447190920512,0.8979938824971517,0.8803678750991821,0.7444444497426351,0.7546987533569336,0.009974484021464983,0.6808511018753052,0.9555555383364359,0.00022618564020924237,0.0003849066949418842,0.00020088769930494898,0.00020088769930494898,0.0003443222448687584,0.0,0.013848448781911502,0.008507393045244043,0.0003713881634340707,0.013848448781911502,0.00014058256762117697,3.5969333113755574e-05,0.019244990619516684,0.00012660453560046957,0.0,0.01857107047091034,0.0,3.214550253664319,0.03214550253664323,0.01642303944447835,0.0003849066949418842,0.013848448781911502,0.01924499061951662,0.00015062270637085145,8.392562578612953e-05,0.00012660453560046957,0.00010044384965247449,6.696722649587423e-05,8.392562578612953e-05,0.013467776855829483,0.01924499061951662,0.0003443222448687584,0.01924499061951662,0.009622495309758367,0.01924499061951662,0.009622495309758367,0.01857107047091034,0.00015062270637085145,3.5969333113755574e-05,0.00020088769930494898,0.01857107047091034,6.696722649587423e-05,0.019244990619516684,0.009285518477255728,0.0003713881634340707,0.00022618564020924237,0.009622495309758367,0.005686467002360854,0.00020088769930494898,0.0,0.019244990619516684
smart_init_box_adapter_bert_ms,0.850872536500295,0.8196718494097391,0.010322431723276775,0.010322431723276775,0.9015862147013346,0.0,0.7497064471244812,0.5432648460070292,0.8845434784889221,0.7497064471244812,0.006881620890150468,0.9155729611714681,0.9888888796170553,0.8812865416208903,0.25,0.6057931383450826,0.0,29.666666666666668,0.32666666666666666,0.6057931383450826,0.8196718494097391,0.7497064471244812,0.9888888994852701,0.8913205663363138,0.924095352490743,0.8812865416208903,0.005161215861638387,0.907206396261851,0.924095352490743,0.6592592795689901,0.9888888994852701,0.9015862147013346,0.9888888994852701,0.49444443980852765,0.9888888994852701,0.4944444497426351,0.6057931383450826,0.8913205663363138,0.9155729611714681,0.010322431723276775,0.6057931383450826,0.907206396261851,0.9888888796170553,0.3028965691725413,0.8845434784889221,0.850872536500295,0.49444443980852765,0.3748532235622406,0.010322431723276775,0.0,0.9888888796170553,0.00034580632300826476,0.0003849066949418842,0.00020088769930495036,0.00020088769930495036,0.000985762151857365,0.0,0.03905961454518009,0.01734633546589452,0.0011936090915369056,0.03905961454518009,0.00013392477440373973,0.00012703888414893828,0.019245025032274446,0.00012660453560046957,0.0,0.05968011518850548,0.0,5.131601439446885,0.07371114795831991,0.05968011518850548,0.0003849066949418842,0.03905961454518009,0.01924499061951678,0.0004171972699834232,0.0002933421948214315,0.00012660453560046957,0.00010044384965247449,3.348361324794513e-05,0.0002933421948214315,0.012830005217263726,0.01924499061951678,0.000985762151857365,0.01924499061951678,0.009622512516137223,0.01924499061951678,0.009622495309758379,0.05968011518850548,0.0004171972699834232,0.00012703888414893828,0.00020088769930495036,0.05968011518850548,3.348361324794513e-05,0.019245025032274446,0.02984005759425274,0.0011936090915369056,0.00034580632300826476,0.009622512516137223,0.019529807272590044,0.00020088769930495036,0.0,0.019245025032274446
