name,instance,run_id,test_incremental/macro_example/precision,test_incremental_building-sports_facility/macro_types/precision,test/micro/precision,threshold_pretraining,test_incremental_building-sports_facility/macro_types/f1,test/micro/f1,test/macro_example/precision,test_incremental_only/macro_example/f1,test_incremental_building/macro_types/recall,test_incremental/micro/f1,test_incremental_only/macro_types/recall,test_incremental_building-theater/macro_types/f1,test_incremental/macro_example_exclusive/recall,test_pretraining/micro/precision,test_pretraining/macro_example/precision,test_incremental_only/macro_example/recall,test_incremental_only/macro_types/precision,test_incremental_building-hospital/macro_types/precision,test/macro_types/precision,test_incremental_building-hotel/macro_types/f1,test_incremental_only/macro_example_exclusive/f1,test_incremental_building-library/macro_types/recall,test_incremental_building-theater/macro_types/recall,test_incremental_building-hospital/macro_types/recall,test_incremental_building-airport/macro_types/precision,test/micro/recall,test_pretraining/macro_example/f1,test_incremental/micro/precision,test_incremental_only/micro/precision,test_incremental_only/macro_example_exclusive/recall,test_incremental/micro/recall,test_pretraining/macro_types/precision,test_pretraining/micro/f1,test_incremental/macro_example_exclusive/precision,test_incremental_building-power_station/macro_types/recall,epoch,threshold_incremental,test/macro_example/recall,test_incremental_only/micro/f1,test_pretraining/macro_example/recall,test_incremental_building-hotel/macro_types/precision,test_incremental_building-restaurant/macro_types/recall,test_incremental/macro_example/f1,test_incremental_building-hospital/macro_types/f1,test_incremental_building-sports_facility/macro_types/recall,test_incremental_building-airport/macro_types/f1,test_incremental_building-power_station/macro_types/f1,test_incremental_only/macro_types/f1,test_incremental_only/macro_example/precision,test_incremental_building-dam/macro_types/precision,test/macro_example/f1,test_incremental_building-library/macro_types/precision,test_pretraining/micro/recall,test_incremental/macro_types/precision,test_incremental_building-dam/macro_types/f1,test_incremental_building-restaurant/macro_types/f1,test_pretraining/macro_types/f1,test_incremental_only/micro/recall,test_incremental/macro_types/recall,test_pretraining/macro_types/recall,test_incremental/macro_example/recall,test_incremental_building/macro_types/precision,test_incremental_building-theater/macro_types/precision,test_incremental_only/macro_example_exclusive/precision,test/macro_types/f1,test_incremental_building-dam/macro_types/recall,test_incremental_building-library/macro_types/f1,test_incremental_building-restaurant/macro_types/precision,test_incremental_building-power_station/macro_types/precision,test/macro_types/recall,test_incremental_building/macro_types/f1,test_incremental_building-hotel/macro_types/recall,test_incremental_building-airport/macro_types/recall,test_incremental/macro_types/f1,test_incremental/macro_example_exclusive/f1
no_init_box_kenn_horizontal_adapter_bert_ms,2,v6hmn1yl,0.1038622111082077,0.92592591047287,0.8587246537208557,0.25,0.8771929740905762,0.8650211095809937,0.878862202167511,0.06862717121839523,0.8587896227836609,0.7049645185470581,0.724482536315918,0.6666666865348816,0.7853025794029236,0.8587246537208557,0.878862202167511,0.0680236667394638,0.8418433666229248,1.0,0.8827235698699951,0.7755101919174194,0.7359495759010315,0.8666666746139526,0.5,0.8125,1.0,0.8714107275009155,0.8890450596809387,0.6315120458602905,0.42430704832077026,0.7294776439666748,0.7977527976036072,0.8827235698699951,0.8650211095809937,0.860230565071106,0.44117647409439087,42,0.01,0.8994665145874023,0.5342282056808472,0.8994665145874023,1.0,0.5333333611488342,0.09913292527198792,0.8965517282485962,0.8333333134651184,0.98305082321167,0.6122449040412903,0.7787662148475647,0.0692414790391922,0.0989399328827858,0.8890450596809387,1.0,0.8714107275009155,0.8513696789741516,0.17891374230384827,0.5423729419708252,0.840418815612793,0.7210144996643066,0.7379132509231567,0.8019835352897644,0.09481558948755264,0.9371069073677064,1.0,0.7425373196601868,0.840418815612793,0.9333333373069764,0.9285714626312256,0.5517241358757019,1.0,0.8019835352897644,0.8962405920028687,0.6333333253860474,0.9666666388511658,0.7905916571617126,0.8210607171058655
no_init_box_kenn_horizontal_adapter_bert_ms,1,k99l6zmx,0.1038622111082077,0.0,0.9062983393669128,0.25,0.0,0.879005491733551,0.92454195022583,0.03861899673938751,0.8587896227836609,0.775047242641449,0.4023965299129486,0.46153849363327026,0.6613832712173462,0.9062983393669128,0.92454195022583,0.03827418386936188,0.7555555701255798,1.0,0.8693341016769409,0.5365853905677795,0.4141454994678498,0.699999988079071,0.30000001192092896,0.5,1.0,0.853308379650116,0.906883180141449,0.9425287246704102,0.9572649598121644,0.4104477465152741,0.6581059098243713,0.8693341016769409,0.879005491733551,0.8602305054664612,0.5882353186607361,21,0.01,0.8898863792419434,0.5699745416641235,0.8898863792419434,1.0,0.36666667461395264,0.09028931707143784,0.6666666865348816,0.0,0.888888955116272,0.6779661178588867,0.525121808052063,0.03897007927298546,0.0,0.906883180141449,1.0,0.853308379650116,0.7737106680870056,0.0,0.5365853905677795,0.8064240217208862,0.4057970941066742,0.4480358362197876,0.7520046234130859,0.07985386252403259,0.9371069073677064,1.0,0.41791045665740967,0.8064240217208862,0.0,0.8235293626785278,1.0,0.800000011920929,0.7520046234130859,0.8962405920028687,0.36666667461395264,0.800000011920929,0.5674664974212646,0.7478139996528625
no_init_box_kenn_horizontal_adapter_bert_ms,0,dw9wfo1u,0.10473208129405975,0.0,0.906992256641388,0.25,0.0,0.8776715397834778,0.9252145886421204,0.03375086933374405,0.8587896227836609,0.7610790133476257,0.34904685616493225,0.0,0.6416906118392944,0.906992256641388,0.9252145886421204,0.03375086933374405,0.6666666865348816,1.0,0.8555409908294678,0.2857142984867096,0.3619402945041657,0.7666666507720947,0.0,0.4375,1.0,0.8501872420310974,0.9063772559165956,0.9518072009086608,1.0,0.3619402945041657,0.6340289115905762,0.8555409908294678,0.8776715397834778,0.867435097694397,0.47058823704719543,20,0.01,0.888291597366333,0.5201072692871094,0.888291597366333,1.0,0.3333333432674408,0.08906561136245728,0.6086956262588501,0.0,0.98305082321167,0.6399999856948853,0.45819592475891113,0.03375086933374405,0.0,0.9063772559165956,1.0,0.8501872420310974,0.6937106847763062,0.0,0.5,0.7957247495651245,0.35144928097724915,0.40002113580703735,0.7437262535095215,0.07747623324394226,0.9371069073677064,0.0,0.3619402945041657,0.7957247495651245,0.0,0.8679245114326477,1.0,1.0,0.7437262535095215,0.8962405920028687,0.1666666716337204,0.9666666388511658,0.5074350237846375,0.7376787066459656
no_init_box_kenn_hybrid_adapter_bert_ms,2,jeqepwvc,0.1038622111082077,0.9285714030265808,0.9048643708229064,0.25,0.8965517282485962,0.8895471692085266,0.9224947690963744,0.07410620152950287,0.8587896227836609,0.8702289462089539,0.7833061218261719,0.7843137383460999,0.8078770041465759,0.9048643708229064,0.9224947690963744,0.07341684401035309,0.9219732284545898,1.0,0.8951575756072998,0.800000011920929,0.7947060465812683,0.9666666388511658,0.6666666865348816,0.8125,1.0,0.8747398853302002,0.9118449687957764,0.92266184091568,0.9033613204956056,0.7873134613037109,0.8234350085258484,0.8951575756072998,0.8895471692085266,0.8602305054664612,0.47058823704719543,31,0.01,0.9014381766319276,0.8365758657455444,0.9014381766319276,1.0,0.6666666865348816,0.10060250759124756,0.8965517282485962,0.8666666746139526,0.98305082321167,0.6399999856948853,0.8470017313957214,0.07480862736701965,0.8285714387893677,0.9118449687957764,1.0,0.8747398853302002,0.923486590385437,0.892307698726654,0.6250000596046448,0.8510645031929016,0.7789855003356934,0.7908544540405273,0.811111330986023,0.09754117578268053,0.9371069073677064,0.9523809552192688,0.8022387623786926,0.8510645031929016,0.9666666388511658,0.98305082321167,0.5882353186607361,1.0,0.811111330986023,0.8962405920028687,0.6666666865348816,0.9666666388511658,0.8520398736000061,0.8332321643829346
no_init_box_kenn_top_down_adapter_bert_ms,2,yxznc6au,0.10299234837293623,0.8965517282485962,0.8569393754005432,0.25,0.8813559412956238,0.866460919380188,0.877638578414917,0.07654204219579697,0.8587896227836609,0.7187283635139465,0.8087962865829468,0.8518518805503845,0.8179634809494019,0.8569393754005432,0.877638578414917,0.07585246860980988,0.7821342945098877,1.0,0.8734583854675293,0.800000011920929,0.8208276629447937,0.9666666388511658,0.7666666507720947,0.8125,1.0,0.8761964440345764,0.8897600769996643,0.6310679316520691,0.4387351870536804,0.8134328126907349,0.8346709609031677,0.8734583854675293,0.866460919380188,0.8530259132385254,0.5,31,0.01,0.9022210836410522,0.5677749514579773,0.9022210836410522,1.0,0.7666666507720947,0.10083125531673431,0.8965517282485962,0.8666666746139526,0.98305082321167,0.5151515007019043,0.7952418923377991,0.07724426686763763,0.10545454174280168,0.8897600769996643,1.0,0.8761964440345764,0.7976315021514893,0.19016394019126892,0.6388888359069824,0.8432528972625732,0.804347813129425,0.8137956857681274,0.8150666952133179,0.0987589955329895,0.9371069073677064,0.9583333134651184,0.8283582329750061,0.8432528972625732,0.9666666388511658,0.98305082321167,0.5476190447807312,0.53125,0.8150666952133179,0.8962405920028687,0.6666666865348816,0.9666666388511658,0.8056325316429138,0.8351268768310547
no_init_box_kenn_bottom_up_adapter_bert_ms,2,wr1ifqj5,0.10421016812324524,0.92592591047287,0.8614470362663269,0.25,0.8771929740905762,0.8679401278495789,0.8816689848899841,0.07375822961330414,0.8587896227836609,0.7252125144004822,0.7796024084091187,0.800000011920929,0.8064361214637756,0.8614470362663269,0.8816689848899841,0.07306889444589615,0.8294210433959961,1.0,0.8807960152626038,0.800000011920929,0.7909743189811707,0.9666666388511658,0.6666666865348816,0.8125,1.0,0.8745318055152893,0.8913872838020325,0.6489226818084717,0.4543524384498596,0.7835820913314819,0.8218298554420471,0.8807960152626038,0.8679401278495789,0.8631123304367065,0.47058823704719543,36,0.01,0.9013222455978394,0.5729585289955139,0.9013222455978394,1.0,0.6666666865348816,0.10067253559827805,0.8965517282485962,0.8333333134651184,0.98305082321167,0.615384578704834,0.8037405014038086,0.07446068525314331,0.10943396389484406,0.8913872838020325,1.0,0.8745318055152893,0.8401896357536316,0.19661016762256625,0.5970149040222168,0.8442070484161377,0.7753623127937317,0.7875211238861084,0.8105366230010986,0.09736720472574234,0.9371069073677064,1.0,0.7985074520111084,0.8442070484161377,0.9666666388511658,0.98305082321167,0.5405405163764954,0.8888888955116272,0.8105366230010986,0.8962405920028687,0.6666666865348816,0.9666666388511658,0.8130032420158386,0.8338122367858887
no_init_box_kenn_hybrid_adapter_bert_ms,1,8snkgciq,0.10455811023712158,0.9285714030265808,0.8979068994522095,0.25,0.8965517282485962,0.8861719965934753,0.916411519050598,0.07419472187757492,0.8587896227836609,0.8444445133209229,0.7823801636695862,0.8679245114326477,0.8083573579788208,0.8979068994522095,0.916411519050598,0.07359081506729126,0.8465914726257324,1.0,0.8834604024887085,0.6333333253860474,0.795655369758606,0.9333333373069764,0.7666666507720947,0.9375,0.446153849363327,0.8747398853302002,0.908774733543396,0.8665540814399719,0.7846715450286865,0.7891790866851807,0.8234350085258484,0.8834604024887085,0.8861719965934753,0.8659942150115967,0.47058823704719543,41,0.01,0.901264190673828,0.7818182110786438,0.901264190673828,0.6333333253860474,0.6333333253860474,0.10095886141061784,0.9677419066429138,0.8666666746139526,0.6105263233184814,0.6274510025978088,0.8132203221321106,0.07480862736701965,0.8064516186714172,0.908774733543396,1.0,0.8747398853302002,0.8556430339813232,0.819672167301178,0.7307692766189575,0.84566330909729,0.7789855003356934,0.7900211811065674,0.8109676837921143,0.09759917110204697,0.9371069073677064,1.0,0.8022388219833374,0.84566330909729,0.8333333134651184,0.9655172228813172,0.8636363744735718,0.9411764740943908,0.8109676837921143,0.8962405920028687,0.6333333253860474,0.9666666388511658,0.8215237259864807,0.8361837267875671
no_init_box_kenn_top_down_adapter_bert_ms,1,vq9go83g,0.10229645669460297,0.8709677457809448,0.8842281699180603,0.25,0.8852458596229553,0.8807186484336853,0.905010461807251,0.07828191667795181,0.8587896227836609,0.8070714473724365,0.8268246054649353,0.8928570747375488,0.8251680731773376,0.8842281699180603,0.905010461807251,0.07759220898151398,0.7593576908111572,0.9677419066429138,0.8699241280555725,0.42105263471603394,0.8394858837127686,0.9666666388511658,0.8333333134651184,0.9375,0.3258427083492279,0.8772367835044861,0.9038608074188232,0.7743362784385681,0.6305555701255798,0.8320895433425903,0.8426966071128845,0.8699241280555725,0.8807186484336853,0.8472622632980347,0.47058823704719543,40,0.01,0.9027140140533448,0.7138364911079407,0.9027140140533448,0.3076923191547394,0.7333333492279053,0.10094504058361052,0.952380895614624,0.8999999761581421,0.4873949885368347,0.6274510025978088,0.7916562557220459,0.07898399233818054,0.644444465637207,0.9038608074188232,1.0,0.8772367835044861,0.7771325707435608,0.7733333110809326,0.7719298005104065,0.8430913090705872,0.8224637508392334,0.83002108335495,0.817864179611206,0.09962885826826096,0.9371069073677064,0.9615384340286256,0.8470149040222168,0.8430913090705872,0.9666666388511658,0.98305082321167,0.8148148059844971,0.9411764740943908,0.817864179611206,0.8962405920028687,0.6666666865348816,0.9666666388511658,0.8027065992355347,0.8360692262649536
no_init_box_kenn_bottom_up_adapter_bert_ms,1,d4d6sz4h,0.1043841391801834,0.9285714030265808,0.8979286551475525,0.25,0.8965517282485962,0.8862893581390381,0.9164694547653198,0.07454269379377365,0.8587896227836609,0.8453947305679321,0.7860838770866394,0.8679245114326477,0.8097982406616211,0.8979286551475525,0.9164694547653198,0.0739387646317482,0.845302402973175,1.0,0.8832603693008423,0.6333333253860474,0.7993870377540588,0.9333333373069764,0.7666666507720947,0.9375,0.453125,0.8749479651451111,0.9088622331619264,0.866779088973999,0.7854545712471008,0.7929104566574097,0.8250401020050049,0.8832603693008423,0.8862893581390381,0.8645532727241516,0.47058823704719543,41,0.01,0.901380181312561,0.7840290665626526,0.901380181312561,0.6333333253860474,0.6333333253860474,0.1009705439209938,0.9677419066429138,0.8666666746139526,0.6170212626457214,0.6274510025978088,0.8146183490753174,0.07515657693147659,0.7878788113594055,0.9088622331619264,1.0,0.8749479651451111,0.854482889175415,0.8253968358039856,0.7307692766189575,0.8458839654922485,0.782608687877655,0.7933543920516968,0.8115423917770386,0.09777314215898514,0.9371069073677064,1.0,0.8059701323509216,0.8458839654922485,0.8666666746139526,0.9655172228813172,0.8636363744735718,0.9411764740943908,0.8115423917770386,0.8962405920028687,0.6333333253860474,0.9666666388511658,0.8227848410606384,0.8362804651260376
no_init_box_kenn_hybrid_adapter_bert_ms,0,fu2s82ki,0.10577592253684998,0.8928571343421936,0.9069417715072632,0.25,0.8620689511299133,0.8922719955444336,0.9247854351997375,0.07967380434274673,0.8587896227836609,0.8920742273330688,0.8405637741088867,0.9090909361839294,0.8309317827224731,0.9069417715072632,0.9247854351997375,0.07898399233818054,0.9493488073349,0.9666666388511658,0.8994054794311523,0.888888955116272,0.8544124364852905,0.9666666388511658,0.8333333134651184,0.90625,1.0,0.8780691027641296,0.9138540029525756,0.9396092295646667,0.9428571462631226,0.8470149040222168,0.8491171598434448,0.8994054794311523,0.8922719955444336,0.8760806322097778,0.5588235259056091,37,0.01,0.9031779170036316,0.886756181716919,0.9031779170036316,1.0,0.7666666507720947,0.10297824442386629,0.9354838132858276,0.8333333134651184,0.98305082321167,0.7169811129570007,0.8916504979133606,0.0803757831454277,0.800000011920929,0.9138540029525756,1.0,0.8780691027641296,0.9481246471405028,0.8615384697914124,0.8214284777641296,0.8578670620918274,0.8369565010070801,0.8423863649368286,0.8199961185455322,0.10032474994659424,0.9371069073677064,1.0,0.8619402647018433,0.8578670620918274,0.9333333373069764,0.98305082321167,0.8846153616905212,1.0,0.8199961185455322,0.8962405920028687,0.800000011920929,0.9666666388511658,0.892133355140686,0.8529091477394104
