name,instance,run_id,test_incremental_only/macro_example/f1,test/micro/f1,test_incremental_only/macro_types/recall,test_incremental_CONTACT_INFO/macro_types/f1,test_incremental/macro_types/precision,test_incremental/macro_example/recall,test_incremental_only/macro_example/precision,test/micro/recall,test/macro_types/recall,test_incremental_CONTACT_INFO-url/macro_types/recall,test/macro_example/precision,test_incremental_CONTACT_INFO-url/macro_types/precision,test_incremental_only/micro/recall,test_incremental_only/macro_example/recall,test_incremental_CONTACT_INFO/macro_types/recall,test_incremental/macro_example_exclusive/precision,threshold_incremental,test_pretraining/micro/f1,test_pretraining/macro_types/f1,test_pretraining/micro/precision,test_pretraining/macro_types/recall,test_pretraining/macro_example/recall,test/macro_example/recall,test_incremental/macro_types/f1,test_incremental_only/macro_types/precision,test_incremental/micro/f1,test_incremental/macro_example_exclusive/f1,test_incremental_only/macro_example_exclusive/precision,epoch,test/macro_types/precision,test_incremental_only/macro_types/f1,test_pretraining/macro_example/precision,test_incremental_CONTACT_INFO/macro_types/precision,test/macro_types/f1,test_incremental_only/macro_example_exclusive/recall,test_incremental/macro_example/precision,test/micro/precision,test_incremental/macro_types/recall,test_pretraining/macro_example/f1,test_incremental/micro/precision,test_pretraining/micro/recall,test_incremental_only/micro/f1,test_incremental_only/micro/precision,threshold_pretraining,test_incremental/macro_example_exclusive/recall,test_incremental_CONTACT_INFO-url/macro_types/f1,test_incremental/micro/recall,test_incremental/macro_example/f1,test_pretraining/macro_types/precision,test_incremental_only/macro_example_exclusive/f1,test/macro_example/f1
no_init_box_kenn_horizontal_adapter_bert_ms,2,gkxhapdw,0.02544769085943699,0.8258912563323975,0.8999999761581421,0.8115941882133484,0.6657925844192505,0.02591894380748272,0.02544769085943699,0.8613718152046204,0.8752915263175964,0.8999999761581421,0.8261074423789978,0.6136363744735718,0.8999999761581421,0.02544769085943699,0.9333333373069764,0.9666666984558104,0.01,0.8258912563323975,0.8469169735908508,0.7932180762290955,0.8752915263175964,0.8543826341629028,0.8543826341629028,0.7713435292243958,0.6136363744735718,0.7692307829856873,0.9410029053688048,0.9000000357627869,37,0.8203243017196655,0.7297297716140747,0.8261074423789978,0.7179487347602844,0.8469169735908508,0.9000000357627869,0.02733270451426506,0.7932180762290955,0.9166666269302368,0.8400071859359741,0.6626505851745605,0.8613718152046204,0.7297297716140747,0.6136363744735718,0.175,0.9166666865348816,0.7297297716140747,0.9166666865348816,0.026607058942317963,0.8203243017196655,0.9000000357627869,0.8400071859359741
no_init_box_kenn_horizontal_adapter_bert_ms,1,wshdie4m,0.02544769085943699,0.8267498016357422,0.8999999761581421,0.8115941882133484,0.6882426738739014,0.02591894194483757,0.02544769085943699,0.8613718152046204,0.8752915263175964,0.8999999761581421,0.827049970626831,0.6585366129875183,0.8999999761581421,0.02544769085943699,0.9333333373069764,0.9666666984558104,0.060000000000000005,0.8267498016357422,0.8483223915100098,0.7948034405708313,0.8752915263175964,0.8543826341629028,0.8543826341629028,0.7861990928649902,0.6585366129875183,0.7857142686843872,0.9410029649734496,0.9000000357627869,67,0.8229655027389526,0.7605634331703186,0.827049970626831,0.7179487347602844,0.8483223915100098,0.9000000357627869,0.02733270451426506,0.7948034405708313,0.9166666269302368,0.8404941558837891,0.6875,0.8613718152046204,0.7605634331703186,0.6585366129875183,0.175,0.9166667461395264,0.7605634331703186,0.9166666865348816,0.026607057079672813,0.8229655027389526,0.9000000357627869,0.8404941558837891
no_init_box_kenn_horizontal_adapter_bert_ms,0,w4cx1266,0.020735155791044235,0.8258602619171143,0.7333333492279053,0.8115941882133484,0.7027243375778198,0.023562677204608917,0.020735155791044235,0.8577617406845093,0.8654875755310059,0.7333333492279053,0.8272070288658142,0.6875,0.7333333492279053,0.020735155791044235,0.9333333373069764,0.9333333969116212,0.05,0.8258602619171143,0.8445855379104614,0.7962466478347778,0.8654875755310059,0.852340579032898,0.852340579032898,0.7624760866165161,0.6875,0.7633587718009949,0.8805031776428223,0.73333340883255,34,0.8246691823005676,0.7096773982048035,0.8272070288658142,0.7179487347602844,0.8445855379104614,0.73333340883255,0.02639019675552845,0.7962466478347778,0.8333333730697632,0.8395857214927673,0.7042253613471985,0.8577617406845093,0.7096773982048035,0.6875,0.175,0.8333333730697632,0.7096773982048035,0.8333333134651184,0.02489641495049,0.8246691823005676,0.73333340883255,0.8395857214927673
no_init_box_kenn_hybrid_adapter_bert_ms,2,6s20p4st,0.02450518310070038,0.8257706761360168,0.8666666746139526,0.8115941882133484,0.668498158454895,0.02544768899679184,0.02450518310070038,0.860649824142456,0.8733307123184204,0.8666666746139526,0.826578676700592,0.6190476417541504,0.8666666746139526,0.02450518310070038,0.9333333373069764,0.9666666984558104,0.03,0.8257706761360168,0.846167266368866,0.793608546257019,0.8733307123184204,0.8539113998413086,0.8539113998413086,0.7671648859977722,0.6190476417541504,0.7659575343132019,0.9321428537368774,0.8666666746139526,37,0.8206425905227661,0.7222222685813904,0.826578676700592,0.7179487347602844,0.846167266368866,0.8666666746139526,0.02733270451426506,0.793608546257019,0.8999999761581421,0.8400228023529053,0.6666666865348816,0.860649824142456,0.7222222685813904,0.6190476417541504,0.175,0.9000000357627869,0.7222222685813904,0.8999999761581421,0.026356536895036697,0.8206425905227661,0.8666666746139526,0.8400228023529053
no_init_box_kenn_top_down_adapter_bert_ms,2,m4tfsful,0.02450518310070038,0.8257706761360168,0.8666666746139526,0.8115941882133484,0.668498158454895,0.02544768899679184,0.02450518310070038,0.860649824142456,0.8733307123184204,0.8666666746139526,0.826578676700592,0.6190476417541504,0.8666666746139526,0.02450518310070038,0.9333333373069764,0.9666666984558104,0.12,0.8257706761360168,0.846167266368866,0.793608546257019,0.8733307123184204,0.8539113998413086,0.8539113998413086,0.7671648859977722,0.6190476417541504,0.7659575343132019,0.9321428537368774,0.8666666746139526,37,0.8206425905227661,0.7222222685813904,0.826578676700592,0.7179487347602844,0.846167266368866,0.8666666746139526,0.02733270451426506,0.793608546257019,0.8999999761581421,0.8400228023529053,0.6666666865348816,0.860649824142456,0.7222222685813904,0.6190476417541504,0.175,0.9000000357627869,0.7222222685813904,0.8999999761581421,0.026356536895036697,0.8206425905227661,0.8666666746139526,0.8400228023529053
no_init_box_kenn_bottom_up_adapter_bert_ms,2,tb5c9v8h,0.02450518310070038,0.8254847526550293,0.8666666746139526,0.8115941882133484,0.6612999439239502,0.02544768899679184,0.02450518310070038,0.860649824142456,0.8733307123184204,0.8666666746139526,0.8261074423789978,0.604651153087616,0.8666666746139526,0.02450518310070038,0.9333333373069764,0.9666666984558104,0.02,0.8254847526550293,0.8457168936729431,0.7930805087089539,0.8733307123184204,0.8539113998413086,0.8539113998413086,0.762403130531311,0.604651153087616,0.7605634331703186,0.9321428537368774,0.8666666746139526,37,0.8197957277297974,0.7123287916183472,0.8261074423789978,0.7179487347602844,0.8457168936729431,0.8666666746139526,0.02733270451426506,0.7930805087089539,0.8999999761581421,0.8397793173789978,0.6585366129875183,0.860649824142456,0.7123287916183472,0.604651153087616,0.175,0.9000000357627869,0.7123287916183472,0.8999999761581421,0.026356536895036697,0.8197957277297974,0.8666666746139526,0.8397793173789978
no_init_box_kenn_hybrid_adapter_bert_ms,1,ylcw9jsl,0.02450518310070038,0.8263431191444397,0.8666666746139526,0.8115941882133484,0.6839743852615356,0.02544768899679184,0.02450518310070038,0.860649824142456,0.8733307123184204,0.8666666746139526,0.8273640871047974,0.6499999761581421,0.8666666746139526,0.02450518310070038,0.9333333373069764,0.9666666984558104,0.08,0.8263431191444397,0.8471341133117676,0.7946666479110718,0.8733307123184204,0.8539113998413086,0.8539113998413086,0.777256190776825,0.6499999761581421,0.7769784331321716,0.9321428537368774,0.8666666746139526,41,0.8224632740020752,0.7428571581840515,0.8273640871047974,0.7179487347602844,0.8471341133117676,0.8666666746139526,0.02733270451426506,0.7946666479110718,0.8999999761581421,0.8404281735420227,0.6835442781448364,0.860649824142456,0.7428571581840515,0.6499999761581421,0.175,0.9000000357627869,0.7428571581840515,0.8999999761581421,0.026356536895036697,0.8224632740020752,0.8666666746139526,0.8404281735420227
no_init_box_kenn_top_down_adapter_bert_ms,1,zwvdykea,0.02450518310070038,0.8263431191444397,0.8666666746139526,0.8115941882133484,0.6839743852615356,0.02544768899679184,0.02450518310070038,0.860649824142456,0.8733307123184204,0.8666666746139526,0.8273640871047974,0.6499999761581421,0.8666666746139526,0.02450518310070038,0.9333333373069764,0.9666666984558104,0.25,0.8263431191444397,0.8471341133117676,0.7946666479110718,0.8733307123184204,0.8539113998413086,0.8539113998413086,0.777256190776825,0.6499999761581421,0.7769784331321716,0.9321428537368774,0.8666666746139526,41,0.8224632740020752,0.7428571581840515,0.8273640871047974,0.7179487347602844,0.8471341133117676,0.8666666746139526,0.02733270451426506,0.7946666479110718,0.8999999761581421,0.8404281735420227,0.6835442781448364,0.860649824142456,0.7428571581840515,0.6499999761581421,0.175,0.9000000357627869,0.7428571581840515,0.8999999761581421,0.026356536895036697,0.8224632740020752,0.8666666746139526,0.8404281735420227
no_init_box_kenn_bottom_up_adapter_bert_ms,1,x2v0gbv5,0.02544769085943699,0.8267498016357422,0.8999999761581421,0.8115941882133484,0.6882426738739014,0.02591894194483757,0.02544769085943699,0.8613718152046204,0.8752915263175964,0.8999999761581421,0.8275212049484253,0.6585366129875183,0.8999999761581421,0.02544769085943699,0.9333333373069764,0.9666666984558104,0.05,0.8267498016357422,0.8483223915100098,0.7948034405708313,0.8752915263175964,0.8543826341629028,0.8543826341629028,0.7861990928649902,0.6585366129875183,0.7857142686843872,0.9410029649734496,0.9000000357627869,44,0.8229655027389526,0.7605634331703186,0.8275212049484253,0.7179487347602844,0.8483223915100098,0.9000000357627869,0.02733270451426506,0.7948034405708313,0.9166666269302368,0.8407374024391174,0.6875,0.8613718152046204,0.7605634331703186,0.6585366129875183,0.175,0.9166667461395264,0.7605634331703186,0.9166666865348816,0.026607057079672813,0.8229655027389526,0.9000000357627869,0.8407374024391174
no_init_box_kenn_hybrid_adapter_bert_ms,0,2rhsm0hp,0.02544769085943699,0.8261772394180298,0.8999999761581421,0.8115941882133484,0.6729278564453125,0.02591894380748272,0.02544769085943699,0.8613718152046204,0.8752915263175964,0.8999999761581421,0.826578676700592,0.6279069781303406,0.8999999761581421,0.02544769085943699,0.9333333373069764,0.9666666984558104,0.02,0.8261772394180298,0.847364068031311,0.7937458157539368,0.8752915263175964,0.8543826341629028,0.8543826341629028,0.7761105298995972,0.6279069781303406,0.7746478915214539,0.9410029053688048,0.9000000357627869,48,0.8211637139320374,0.7397260665893555,0.826578676700592,0.7179487347602844,0.847364068031311,0.9000000357627869,0.02733270451426506,0.7937458157539368,0.9166666269302368,0.8402507305145264,0.6707317233085632,0.8613718152046204,0.7397260665893555,0.6279069781303406,0.175,0.9166666865348816,0.7397260665893555,0.9166666865348816,0.026607058942317963,0.8211637139320374,0.9000000357627869,0.8402507305145264
