name,epoch/mean,test/micro/precision/mean,test_pretraining/micro/recall/mean,test_incremental_only/macro_types/f1/mean,test_incremental/macro_example/recall/mean,test_pretraining/macro_example/precision/mean,test_incremental_CONTACT_INFO-url/macro_types/precision/mean,test/macro_example/f1/mean,test_incremental_only/macro_example/precision/mean,test_incremental_only/macro_example_exclusive/precision/mean,test_incremental/micro/precision/mean,test_pretraining/macro_types/precision/mean,test_incremental/macro_example_exclusive/recall/mean,test_incremental/macro_example_exclusive/precision/mean,test_incremental/macro_example/f1/mean,test_pretraining/macro_example/recall/mean,test_incremental_only/macro_types/recall/mean,test/macro_types/f1/mean,test_incremental/micro/recall/mean,test_pretraining/macro_types/f1/mean,test/micro/f1/mean,test/macro_example/recall/mean,test_pretraining/micro/precision/mean,test_incremental_CONTACT_INFO/macro_types/precision/mean,test_incremental_only/micro/recall/mean,test_incremental/macro_types/precision/mean,test_incremental/macro_example_exclusive/f1/mean,test_incremental_only/micro/precision/mean,test_incremental_CONTACT_INFO/macro_types/f1/mean,test_incremental_only/macro_example_exclusive/recall/mean,test_pretraining/macro_types/recall/mean,test_incremental/macro_example/precision/mean,test_incremental/micro/f1/mean,test_pretraining/micro/f1/mean,threshold_pretraining/mean,test/macro_types/precision/mean,threshold_incremental/mean,test_incremental/macro_types/f1/mean,test_incremental/macro_types/recall/mean,test_incremental_only/macro_example/recall/mean,test_incremental_only/macro_example/f1/mean,test/macro_types/recall/mean,test/macro_example/precision/mean,test_pretraining/macro_example/f1/mean,test_incremental_CONTACT_INFO-url/macro_types/f1/mean,test_incremental_only/macro_example_exclusive/f1/mean,test_incremental_CONTACT_INFO-url/macro_types/recall/mean,test/micro/recall/mean,test_incremental_only/micro/f1/mean,test_incremental_only/macro_types/precision/mean,test_incremental_CONTACT_INFO/macro_types/recall/mean,epoch/std,test/micro/precision/std,test_pretraining/micro/recall/std,test_incremental_only/macro_types/f1/std,test_incremental/macro_example/recall/std,test_pretraining/macro_example/precision/std,test_incremental_CONTACT_INFO-url/macro_types/precision/std,test/macro_example/f1/std,test_incremental_only/macro_example/precision/std,test_incremental_only/macro_example_exclusive/precision/std,test_incremental/micro/precision/std,test_pretraining/macro_types/precision/std,test_incremental/macro_example_exclusive/recall/std,test_incremental/macro_example_exclusive/precision/std,test_incremental/macro_example/f1/std,test_pretraining/macro_example/recall/std,test_incremental_only/macro_types/recall/std,test/macro_types/f1/std,test_incremental/micro/recall/std,test_pretraining/macro_types/f1/std,test/micro/f1/std,test/macro_example/recall/std,test_pretraining/micro/precision/std,test_incremental_CONTACT_INFO/macro_types/precision/std,test_incremental_only/micro/recall/std,test_incremental/macro_types/precision/std,test_incremental/macro_example_exclusive/f1/std,test_incremental_only/micro/precision/std,test_incremental_CONTACT_INFO/macro_types/f1/std,test_incremental_only/macro_example_exclusive/recall/std,test_pretraining/macro_types/recall/std,test_incremental/macro_example/precision/std,test_incremental/micro/f1/std,test_pretraining/micro/f1/std,threshold_pretraining/std,test/macro_types/precision/std,threshold_incremental/std,test_incremental/macro_types/f1/std,test_incremental/macro_types/recall/std,test_incremental_only/macro_example/recall/std,test_incremental_only/macro_example/f1/std,test/macro_types/recall/std,test/macro_example/precision/std,test_pretraining/macro_example/f1/std,test_incremental_CONTACT_INFO-url/macro_types/f1/std,test_incremental_only/macro_example_exclusive/f1/std,test_incremental_CONTACT_INFO-url/macro_types/recall/std,test/micro/recall/std,test_incremental_only/micro/f1/std,test_incremental_only/macro_types/precision/std,test_incremental_CONTACT_INFO/macro_types/recall/std
no_init_box_kenn_bottom_up_adapter_bert_ms,40.333333333333336,0.6902526716391245,0.8551143209139506,0.37695036207636196,0.021834746624032658,0.7072939475377401,0.515552527581652,0.7597160140673319,0.01727929525077343,0.6111111442248026,0.5041558506588141,0.8145546317100525,0.7722222805023193,0.9555555979410807,0.02403234752515952,0.8506126403808594,0.6111111144224802,0.835453450679779,0.7722222208976746,0.835453450679779,0.7532596985499064,0.8506126403808594,0.6902526716391245,0.7179487347602844,0.6111111144224802,0.6167506178220113,0.8499440948168436,0.515552527581652,0.8115941882133484,0.6111111442248026,0.8582980632781982,0.02701853464047114,0.5008995632330576,0.7532596985499064,0.17499999999999996,0.8145546317100525,0.01,0.6496407787005106,0.7722222407658895,0.01727929525077343,0.01727929525077343,0.8582980632781982,0.7072939475377401,0.7597160140673319,0.37695036207636196,0.6111111442248026,0.6111111144224802,0.8551143209139506,0.37695036207636196,0.515552527581652,0.9333333373069764,5.507570547286103,0.1869219723952262,0.007303966543707122,0.28015345879776626,0.004767197918717701,0.2090559348376544,0.42534834693736534,0.1354625693490732,0.009534395254361004,0.3371997699450229,0.3912591159294875,0.025020463759032146,0.16859987564332216,0.03848998123903344,0.0032632545114891012,0.00436457066003646,0.33719979498653024,0.004528425024463648,0.16859987564332224,0.004528425024463648,0.12199671889306796,0.00436457066003646,0.1869219723952262,0.0,0.33719979498653024,0.21267416893382562,0.11541042490519769,0.42534834693736534,0.0,0.3371997699450229,0.01983525453259542,0.001088313141041107,0.3473860971467487,0.12199671889306796,0.0,0.025020463759032146,0.01,0.09776714087868649,0.16859991001401914,0.009534395254361004,0.009534395254361004,0.01983525453259542,0.2090559348376544,0.1354625693490732,0.28015345879776626,0.3371997699450229,0.33719979498653024,0.007303966543707122,0.28015345879776626,0.42534834693736534,0.0
no_init_box_kenn_horizontal_adapter_bert_ms,41.333333333333336,0.582488218943278,0.8572803934415182,0.11285409082969029,0.023248507330815,0.5864645640055338,0.2855168121556441,0.6809790929158529,0.020106816353897255,0.7111111134290695,0.2775757635633151,0.8010231455167135,0.8222222526868185,0.9777777989705404,0.024928270528713863,0.85218346118927,0.7111111134290695,0.8307863473892212,0.8222222129503886,0.8307863473892212,0.6819449861844381,0.85218346118927,0.582488218943278,0.7179487347602844,0.7111111134290695,0.5017327666282654,0.8816299041112264,0.2855168121556441,0.8115941882133484,0.7111111134290695,0.8641804059346517,0.02764687252541383,0.2717948754628499,0.6819449861844381,0.17499999999999996,0.8010231455167135,0.006666666666666667,0.5677581628163656,0.8222222526868185,0.020106816353897255,0.020106816353897255,0.8641804059346517,0.5864645640055338,0.6809790929158529,0.11285409082969029,0.7111111134290695,0.7111111134290695,0.8572803934415182,0.11285409082969029,0.2855168121556441,0.9333333373069764,7.3711147958319945,0.18718845363759923,0.010838332452269893,0.10021416815355765,0.007074037029865215,0.20882920882947284,0.4455555208170408,0.1345485142403509,0.014148073522031093,0.5003702292828539,0.38944901334767484,0.026209134809242498,0.25018511894302164,0.03848998123903342,0.004967001947054007,0.00598575507538578,0.5003702292828539,4.0262926516047845e-05,0.250185084530264,4.0262926516047845e-05,0.12047073684142447,0.00598575507538578,0.18718845363759923,0.0,0.5003702292828539,0.22277776632321314,0.17566628807057413,0.4455555208170408,0.0,0.5003702292828539,0.029433506968023795,0.0010883131410411077,0.2975574631054512,0.12047073684142447,0.0,0.026209134809242498,0.011547005383792516,0.050833011521999295,0.25018511894302164,0.014148073522031093,0.014148073522031093,0.029433506968023795,0.20882920882947284,0.1345485142403509,0.10021416815355765,0.5003702292828539,0.5003702292828539,0.010838332452269893,0.10021416815355765,0.4455555208170408,0.0
no_init_box_kenn_hybrid_adapter_bert_ms,44.0,0.7982818285624186,0.8495788176854452,0.47827666997909546,0.01822180300951004,0.8279662529627482,0.765386720498403,0.8376560807228088,0.010053408332169056,0.35555559396743774,0.7296356558799744,0.8292507529258728,0.6444445053736368,0.9333333969116212,0.021533741305271786,0.8475756645202637,0.35555555919806164,0.8361891110738119,0.6444444457689921,0.8361891110738119,0.8231307069460551,0.8475756645202637,0.7982818285624186,0.7179487347602844,0.35555555919806164,0.7416677276293436,0.7615767121315002,0.765386720498403,0.8115941882133484,0.35555559396743774,0.8432653943697611,0.02639019675552845,0.6836156050364176,0.8231307069460551,0.17499999999999996,0.8292507529258728,0.02666666666666667,0.6886477867762247,0.6444444457689921,0.010053408332169056,0.010053408176948627,0.8432653943697611,0.8279662529627482,0.8376560807228088,0.47827666997909546,0.35555559396743774,0.35555555919806164,0.8495788176854452,0.47827666997909546,0.765386720498403,0.9333333373069764,1.0,0.0006382046711725345,0.0023209785338559404,0.10686207866935454,0.0015148680220063487,9.071202931307072e-05,0.05437815464971922,0.0005048572277876623,0.003029735899151952,0.10715169654861878,0.015589700460509165,0.0031987353612267385,0.05357585445502392,0.0,0.0010800436382895158,0.0009598237867399944,0.10715167723388783,0.003446928455817383,0.05357585445502392,0.003446928455817383,0.0010932726975084988,0.0009598237867399944,0.0006382046711725345,0.0,0.10715167723388783,0.02718906781000133,0.038197561771318105,0.05437815464971922,0.0,0.10715169654861878,0.006303045518111028,0.0,0.03286653246958198,0.0010932726975084988,0.0,0.0031987353612267385,0.015275252316519466,0.033266804464716596,0.05357585445502392,0.003029735899151952,0.0030297361647294904,0.006303045518111028,9.071202931307072e-05,0.0005048572277876623,0.10686207866935454,0.10715169654861878,0.10715167723388783,0.0023209785338559404,0.10686207866935454,0.05437815464971922,0.0
no_init_box_kenn_top_down_adapter_bert_ms,41.666666666666664,0.797875980536143,0.849338153998057,0.4506698250770569,0.01806471807261308,0.8274426460266113,0.7214285731315613,0.8373107115427653,0.00973923938969771,0.344444473584493,0.7188428243001302,0.8266650040944418,0.638888955116272,0.9333333969116212,0.02139408638079961,0.8474185864130656,0.34444444874922436,0.8345450957616171,0.6388888955116272,0.8345450957616171,0.8228003978729248,0.8474185864130656,0.797875980536143,0.7179487347602844,0.34444444874922436,0.7196886539459229,0.7566376328468323,0.7214285731315613,0.8115941882133484,0.344444473584493,0.8426117897033691,0.02639019675552845,0.674725333849589,0.8228003978729248,0.17499999999999996,0.8266650040944418,0.08666666666666667,0.6751076579093933,0.6388888955116272,0.00973923938969771,0.009739239079256853,0.8426117897033691,0.8274426460266113,0.8373107115427653,0.4506698250770569,0.344444473584493,0.34444444874922436,0.849338153998057,0.4506698250770569,0.7214285731315613,0.9333333373069764,6.806859285554045,0.0005050162380946372,0.003412154300623515,0.1573974817944601,0.0022270573704806164,0.000566380722736067,0.02575394027967383,0.0007054926649209088,0.004454114740961233,0.15752719496915155,0.007806047583356778,0.0015149167562393173,0.07876358592306151,0.0,0.0016104223197732292,0.001679646102995566,0.15752718656077655,0.004642865345805808,0.07876358592306151,0.004642865345805808,0.001410312367105708,0.001679646102995566,0.0005050162380946372,0.0,0.15752718656077655,0.012876949475674164,0.05695530175411199,0.02575394027967383,0.0,0.15752719496915155,0.009266298290964639,0.0,0.045395027069484666,0.001410312367105708,0.0,0.0015149167562393173,0.05507570547286104,0.04594322844306346,0.07876358592306151,0.004454114740961233,0.004454114379663828,0.009266298290964639,0.000566380722736067,0.0007054926649209088,0.1573974817944601,0.15752719496915155,0.15752718656077655,0.003412154300623515,0.1573974817944601,0.02575394027967383,0.0
no_init_kenn_bottom_up_adapter_bert_ms,38.666666666666664,0.7839204470316569,0.8705174525578817,0.7462364633878072,0.026233113060394924,0.8155566056569418,0.6294227639834086,0.8372559944788615,0.026076028123497963,0.9222222566604614,0.6327505707740784,0.8019025127092997,0.9277778267860413,0.9777777989705404,0.026919653018315632,0.8601424296696981,0.9222222169240316,0.841239849726359,0.9277777671813965,0.841239849726359,0.8249507745107015,0.8601424296696981,0.7839204470316569,0.6363636255264282,0.9222222169240316,0.6328932046890259,0.9520584543546041,0.6294227639834086,0.7567567229270935,0.9222222566604614,0.8846531907717387,0.02764687252541383,0.7518883546193441,0.8249507745107015,0.25,0.8019025127092997,0.29333333333333333,0.75199822584788,0.9277777870496114,0.026076028123497963,0.026076028123497963,0.8846531907717387,0.8155566056569418,0.8372559944788615,0.7462364633878072,0.9222222566604614,0.9222222169240316,0.8705174525578817,0.7462364633878072,0.6294227639834086,0.9333333373069764,2.5166114784235836,0.0009061787402357092,0.0023209785338559144,0.035626159776639216,0.0015148684083008462,0.0005049272288409935,0.016207705132606734,0.0008023442523199305,0.0030297357542914865,0.10715164092219509,0.008483332842422886,0.0009533795712148089,0.053575820461097504,0.03848998123903342,0.0013107604545840286,0.0014595576213153848,0.10715166255469387,0.0027615289989560516,0.05357582046109755,0.0027615289989560516,0.0007411929640500464,0.0014595576213153848,0.0009061787402357092,0.0,0.10715166255469387,0.00810383677319687,0.04635721304010084,0.016207705132606734,0.0,0.10715164092219509,0.006303045518111054,0.0010883131410411077,0.017234258560993466,0.0007411929640500464,0.0,0.0009533795712148089,0.2773685875028629,0.017377633290648616,0.05357584209359963,0.0030297357542914865,0.0030297357542914865,0.006303045518111054,0.0005049272288409935,0.0008023442523199305,0.035626159776639216,0.10715164092219509,0.10715166255469387,0.0023209785338559144,0.035626159776639216,0.016207705132606734,0.0
no_init_kenn_horizontal_adapter_bert_ms,39.0,0.7790819406509399,0.8705174525578817,0.6723275581995646,0.026233113060394924,0.8115247885386149,0.542940358320872,0.8351161877314249,0.026076028123497963,0.9222222566604614,0.5795249938964844,0.7968153158823649,0.9277778267860413,0.9777777989705404,0.026919653018315632,0.8601424296696981,0.9222222169240316,0.8384085893630981,0.9277777671813965,0.8384085893630981,0.8222462932268778,0.8601424296696981,0.7790819406509399,0.6363636255264282,0.9222222169240316,0.5896520018577576,0.9520584543546041,0.542940358320872,0.7567567229270935,0.9222222566604614,0.8846531907717387,0.02764687252541383,0.7097259362538656,0.8222462932268778,0.25,0.7968153158823649,0.22,0.7184133529663086,0.9277777870496114,0.026076028123497963,0.026076028123497963,0.8846531907717387,0.8115247885386149,0.8351161877314249,0.6723275581995646,0.9222222566604614,0.9222222169240316,0.8705174525578817,0.6723275581995646,0.542940358320872,0.9333333373069764,3.0,0.007603291005740718,0.0023209785338559144,0.08382518557151987,0.0015148684083008462,0.006084549356408891,0.12075495092919429,0.002846975117061493,0.0030297357542914865,0.10715164092219509,0.07694648879590398,0.007103240572628477,0.053575820461097504,0.03848998123903342,0.0013107604545840286,0.0014595576213153848,0.10715166255469387,0.002637889543153651,0.05357582046109755,0.002637889543153651,0.0035502192638833616,0.0014595576213153848,0.007603291005740718,0.0,0.10715166255469387,0.0603774814984142,0.04635721304010084,0.12075495092919429,0.0,0.10715164092219509,0.006303045518111054,0.0010883131410411077,0.05066435974305617,0.0035502192638833616,0.0,0.007103240572628477,0.32969683043669074,0.036530102695102644,0.05357584209359963,0.0030297357542914865,0.0030297357542914865,0.006303045518111054,0.006084549356408891,0.002846975117061493,0.08382518557151987,0.10715164092219509,0.10715166255469387,0.0023209785338559144,0.08382518557151987,0.12075495092919429,0.0
no_init_kenn_hybrid_adapter_bert_ms,37.0,0.7845074733098348,0.8700361053148905,0.746684710184733,0.025918944428364437,0.8158707420031229,0.6432670553525289,0.8372725447018942,0.02544769023855527,0.9000000158945719,0.639612595240275,0.802716871102651,0.9166667064030966,0.9777777989705404,0.026747530326247215,0.859828253587087,0.899999996026357,0.8410897056261698,0.9166666467984518,0.8410897056261698,0.8250583012898763,0.859828253587087,0.7845074733098348,0.6363636255264282,0.899999996026357,0.6398153503735861,0.9459710121154785,0.6432670553525289,0.7567567229270935,0.9000000158945719,0.8833460013071696,0.02764687252541383,0.7526501019795736,0.8250583012898763,0.25,0.802716871102651,0.5366666666666667,0.7527775367101034,0.9166666865348816,0.02544769023855527,0.02544769023855527,0.8833460013071696,0.8158707420031229,0.8372725447018942,0.746684710184733,0.9000000158945719,0.899999996026357,0.8700361053148905,0.746684710184733,0.6432670553525289,0.9333333373069764,2.0,0.0007444751016541983,0.0031472228205866554,0.05133992723510218,0.002054146113977497,0.0004534569082922836,0.004497605144758576,0.001187473143733157,0.004108292227954995,0.14529662962812417,0.001969685495909274,0.0002645852419494422,0.07264831481406207,0.03848998123903342,0.0016078156583826404,0.0020014236443202872,0.14529661595388085,0.0037700460572318915,0.07264831481406209,0.0037700460572318915,0.0010110348231328816,0.0020014236443202872,0.0007444751016541983,0.0,0.14529661595388085,0.002248786108769143,0.056863127986596144,0.004497605144758576,0.0,0.14529662962812417,0.008546867001312826,0.0010883131410411077,0.024309339752829864,0.0010110348231328816,0.0,0.0002645852419494422,0.26159765544311236,0.024041312289601737,0.07264830113982217,0.004108292227954995,0.004108292227954995,0.008546867001312826,0.0004534569082922836,0.001187473143733157,0.05133992723510218,0.14529662962812417,0.14529661595388085,0.0031472228205866554,0.05133992723510218,0.004497605144758576,0.0
no_init_kenn_top_down_adapter_bert_ms,35.666666666666664,0.7837037642796835,0.8702767888704935,0.7364062666893005,0.02607602874437968,0.815504233042399,0.6214337746302286,0.8371538718541464,0.02576185887058576,0.9111111362775167,0.6288729508717855,0.8014325698216757,0.9222222566604614,0.9777777989705404,0.0268343947827816,0.8599853515625,0.9111110965410868,0.8406834801038107,0.9222222169240316,0.8406834801038107,0.8247222900390625,0.8599853515625,0.7837037642796835,0.6363636255264282,0.9111110965410868,0.6288987199465433,0.9490431745847067,0.6214337746302286,0.7567567229270935,0.9111111362775167,0.8839996059735616,0.02764687252541383,0.7471913894017538,0.8247222900390625,0.25,0.8014325698216757,0.5,0.7472266554832458,0.9222222367922465,0.02576185887058576,0.02576185887058576,0.8839996059735616,0.815504233042399,0.8371538718541464,0.7364062666893005,0.9111111362775167,0.9111110965410868,0.8702767888704935,0.7364062666893005,0.6214337746302286,0.9333333373069764,2.0816659994661326,0.0007839103637349659,0.002733516379691588,0.04320077496204766,0.001784136998384503,0.0005441345248476402,0.009096408141563305,0.0009757615858277922,0.0035682739967690075,0.12619794522222932,0.004882875044216164,0.0005350673284012035,0.06309898966677806,0.03848998123903342,0.0014578474198196,0.0017302928278728968,0.12619796621381477,0.0033335031047255007,0.06309895555545132,0.0033335031047255007,0.0008622134051350562,0.0017302928278728968,0.0007839103637349659,0.0,0.12619796621381477,0.0045482037631162184,0.05155915436764275,0.009096408141563305,0.0,0.12619794522222932,0.007423398664103415,0.0010883131410411077,0.020620597082314715,0.0008622134051350562,0.0,0.0005350673284012035,0.30446674695276665,0.021006693664295816,0.06309897654704062,0.0035682739967690075,0.0035682739967690075,0.007423398664103415,0.0005441345248476402,0.0009757615858277922,0.04320077496204766,0.12619794522222932,0.12619796621381477,0.002733516379691588,0.04320077496204766,0.009096408141563305,0.0
smart_init_box_adapter_bert_ms,6.666666666666667,0.7975435654322306,0.8580024043718973,0.7326775590578715,0.02371976027886073,0.8284898797671,0.7524741490681967,0.8402194182078043,0.021049323802193005,0.7444445093472799,0.7305741310119629,0.828491191069285,0.838888943195343,0.9333333969116212,0.02490926596025626,0.8522881865501404,0.7444444497426351,0.8468541900316874,0.8388888835906982,0.8468541900316874,0.8266626397768656,0.8522881865501404,0.7975435654322306,0.7179487347602844,0.7444444497426351,0.7352114319801331,0.8809578021367391,0.7524741490681967,0.8115941882133484,0.7444445093472799,0.8661412199338278,0.02639019675552845,0.7781002918879191,0.8266626397768656,0.17499999999999996,0.828491191069285,0.5333333333333333,0.7803789973258972,0.8388889034589132,0.021049323802193005,0.021049323802193005,0.8661412199338278,0.8284898797671,0.8402194182078043,0.7326775590578715,0.7444445093472799,0.7444444497426351,0.8580024043718973,0.7326775590578715,0.7524741490681967,0.9333333373069764,2.8867513459481287,0.0009914673597517729,0.004807468235948254,0.10596093420432319,0.0031377606247182037,0.00037116459041973155,0.03582661955004505,0.0014810327536192369,0.006275521249436408,0.22194427379887538,0.011820869367983681,0.002107428777891419,0.11097215331124287,0.0,0.0017867174892006509,0.002708666288904012,0.22194427379887538,0.005179815210752455,0.11097215331124287,0.005179815210752455,0.001724850036792794,0.002708666288904012,0.0009914673597517729,0.0,0.22194427379887538,0.01791331080408944,0.06319023802795626,0.03582661955004505,0.0,0.22194427379887538,0.013055560963986529,0.0,0.04359151706118113,0.001724850036792794,0.0,0.002107428777891419,0.21733231083604052,0.040419488751098076,0.1109721204876328,0.006275521249436408,0.006275521249436408,0.013055560963986529,0.00037116459041973155,0.0014810327536192369,0.10596093420432319,0.22194427379887538,0.22194427379887538,0.004807468235948254,0.10596093420432319,0.03582661955004505,0.0
smart_init_classifier_adapter_bert_ms,5.0,0.7871984044710795,0.8671480218569437,0.742345949014028,0.024033928910891216,0.8158707618713379,0.7288997968037924,0.8365769783655802,0.021677661687135696,0.7666667501131693,0.6741698185602824,0.8077540993690491,0.8500000635782877,0.9333333969116212,0.025131237382690113,0.858362098534902,0.7666666507720947,0.8402503530184428,0.8500000238418579,0.8402503530184428,0.8252391219139099,0.858362098534902,0.7871984044710795,0.6363636255264282,0.7666666507720947,0.6826317111651102,0.8888082305590311,0.7288997968037924,0.7567567229270935,0.7666667501131693,0.87550288438797,0.02639019675552845,0.7511165340741476,0.8252391219139099,0.25,0.8077540993690491,0.6533333333333333,0.7561203440030416,0.8499999841054281,0.021677661687135696,0.02167766106625398,0.87550288438797,0.8158707618713379,0.8365769783655802,0.742345949014028,0.7666667302449545,0.7666666507720947,0.8671480218569437,0.742345949014028,0.7288997968037924,0.9333333373069764,0.0,0.0007629422618335095,0.002888113260320406,0.05849063681944415,0.0018850136548283789,0.0002267112477672848,0.03152334576977845,0.0007418257128337228,0.003770027309656143,0.13333335518837083,0.010303031334084318,0.0018543354423590883,0.06666666269303255,0.0,0.001034333903272716,0.0013360029840400198,0.13333332538604736,0.0032534854369743824,0.06666666269302368,0.0032534854369743824,0.0010968287823565242,0.0013360029840400198,0.0007629422618335095,0.0,0.13333332538604736,0.015761688370651807,0.03658103277107396,0.03152334576977845,0.0,0.13333335518837083,0.00784313678741455,0.0,0.026355334616991553,0.0010968287823565242,0.0,0.0018543354423590883,0.025166114784235867,0.0235320928028765,0.06666666269303258,0.003770027309656143,0.0037700263783336067,0.00784313678741455,0.0002267112477672848,0.0007418257128337228,0.05849063681944415,0.13333335518837086,0.13333332538604736,0.002888113260320406,0.05849063681944415,0.03152334576977845,0.0
