name,test_incremental_only/macro_example/f1/mean,test/micro/f1/mean,test_incremental_only/macro_types/recall/mean,test_incremental_CONTACT_INFO/macro_types/f1/mean,test_incremental/macro_types/precision/mean,test_incremental/macro_example/recall/mean,test_incremental_only/macro_example/precision/mean,test/micro/recall/mean,test/macro_types/recall/mean,test_incremental_CONTACT_INFO-url/macro_types/recall/mean,test/macro_example/precision/mean,test_incremental_CONTACT_INFO-url/macro_types/precision/mean,test_incremental_only/micro/recall/mean,test_incremental_only/macro_example/recall/mean,test_incremental_CONTACT_INFO/macro_types/recall/mean,test_incremental/macro_example_exclusive/precision/mean,threshold_incremental/mean,test_pretraining/micro/f1/mean,test_pretraining/macro_types/f1/mean,test_pretraining/micro/precision/mean,test_pretraining/macro_types/recall/mean,test_pretraining/macro_example/recall/mean,test/macro_example/recall/mean,test_incremental/macro_types/f1/mean,test_incremental_only/macro_types/precision/mean,test_incremental/micro/f1/mean,test_incremental/macro_example_exclusive/f1/mean,test_incremental_only/macro_example_exclusive/precision/mean,epoch/mean,test/macro_types/precision/mean,test_incremental_only/macro_types/f1/mean,test_pretraining/macro_example/precision/mean,test_incremental_CONTACT_INFO/macro_types/precision/mean,test/macro_types/f1/mean,test_incremental_only/macro_example_exclusive/recall/mean,test_incremental/macro_example/precision/mean,test/micro/precision/mean,test_incremental/macro_types/recall/mean,test_pretraining/macro_example/f1/mean,test_incremental/micro/precision/mean,test_pretraining/micro/recall/mean,test_incremental_only/micro/f1/mean,test_incremental_only/micro/precision/mean,threshold_pretraining/mean,test_incremental/macro_example_exclusive/recall/mean,test_incremental_CONTACT_INFO-url/macro_types/f1/mean,test_incremental/micro/recall/mean,test_incremental/macro_example/f1/mean,test_pretraining/macro_types/precision/mean,test_incremental_only/macro_example_exclusive/f1/mean,test/macro_example/f1/mean,test_incremental_only/macro_example/f1/std,test/micro/f1/std,test_incremental_only/macro_types/recall/std,test_incremental_CONTACT_INFO/macro_types/f1/std,test_incremental/macro_types/precision/std,test_incremental/macro_example/recall/std,test_incremental_only/macro_example/precision/std,test/micro/recall/std,test/macro_types/recall/std,test_incremental_CONTACT_INFO-url/macro_types/recall/std,test/macro_example/precision/std,test_incremental_CONTACT_INFO-url/macro_types/precision/std,test_incremental_only/micro/recall/std,test_incremental_only/macro_example/recall/std,test_incremental_CONTACT_INFO/macro_types/recall/std,test_incremental/macro_example_exclusive/precision/std,threshold_incremental/std,test_pretraining/micro/f1/std,test_pretraining/macro_types/f1/std,test_pretraining/micro/precision/std,test_pretraining/macro_types/recall/std,test_pretraining/macro_example/recall/std,test/macro_example/recall/std,test_incremental/macro_types/f1/std,test_incremental_only/macro_types/precision/std,test_incremental/micro/f1/std,test_incremental/macro_example_exclusive/f1/std,test_incremental_only/macro_example_exclusive/precision/std,epoch/std,test/macro_types/precision/std,test_incremental_only/macro_types/f1/std,test_pretraining/macro_example/precision/std,test_incremental_CONTACT_INFO/macro_types/precision/std,test/macro_types/f1/std,test_incremental_only/macro_example_exclusive/recall/std,test_incremental/macro_example/precision/std,test/micro/precision/std,test_incremental/macro_types/recall/std,test_pretraining/macro_example/f1/std,test_incremental/micro/precision/std,test_pretraining/micro/recall/std,test_incremental_only/micro/f1/std,test_incremental_only/micro/precision/std,threshold_pretraining/std,test_incremental/macro_example_exclusive/recall/std,test_incremental_CONTACT_INFO-url/macro_types/f1/std,test_incremental/micro/recall/std,test_incremental/macro_example/f1/std,test_pretraining/macro_types/precision/std,test_incremental_only/macro_example_exclusive/f1/std,test/macro_example/f1/std
no_init_box_kenn_bottom_up_adapter_bert_ms,0.023248507330815,0.8257998824119568,0.8222222129503886,0.8115941882133484,0.6788806517918905,0.024819351111849148,0.023248507330815,0.8596871097882589,0.8707163532574972,0.8222222129503886,0.8268405000368754,0.6398125886917114,0.8222222129503886,0.023248507330815,0.9333333373069764,0.9555555979410807,0.043333333333333335,0.8257998824119568,0.8455756902694702,0.7944867809613546,0.8707163532574972,0.853335420290629,0.853335420290629,0.7649677594502767,0.6398125886917114,0.7647897601127625,0.9147523442904154,0.8222222526868185,36.0,0.8218640486399332,0.7167705098787943,0.8268405000368754,0.7179487347602844,0.8455756902694702,0.8222222526868185,0.027018535261352856,0.7944867809613546,0.8777777552604675,0.8398785988489786,0.6787258187929789,0.8596871097882589,0.7167705098787943,0.6398125886917114,0.17499999999999996,0.8777778347333273,0.7167705098787943,0.8777777751286825,0.02586481471856435,0.8218640486399332,0.8222222526868185,0.8398785988489786,0.0030297364303070295,0.0008380366825658607,0.10715167491612135,0.0,0.01523606810580987,0.0015148673459906442,0.0030297364303070295,0.0023209785338559404,0.006303033156683577,0.10715167491612135,0.0007083337901121172,0.030472152287693524,0.10715167491612135,0.0030297364303070295,0.0,0.01924499061951662,0.02081665999466133,0.0008380366825658607,0.0028199556147963144,0.0012777188007863623,0.006303033156683577,0.0014253361402494355,0.0014253361402494355,0.020072278106760853,0.030472152287693524,0.019164109268493792,0.038053075723465855,0.1071516625546939,8.54400374531753,0.0017924820710387456,0.04174964867469174,0.0007083337901121172,0.0,0.0028199556147963144,0.1071516625546939,0.0005441571082198923,0.0012777188007863623,0.05357582046109755,0.0008137180923777751,0.01753415343681962,0.0023209785338559404,0.04174964867469174,0.030472152287693524,0.0,0.053575842093599675,0.04174964867469174,0.053575842093599675,0.0010759607105897456,0.0017924820710387456,0.1071516625546939,0.0008137180923777751
no_init_box_kenn_horizontal_adapter_bert_ms,0.023876845836639404,0.826167106628418,0.8444444338480631,0.8115941882133484,0.6855865319569906,0.02513352098564307,0.023876845836639404,0.86016845703125,0.8720235427220663,0.8444444338480631,0.8267881472905477,0.6532243291536967,0.8444444338480631,0.023876845836639404,0.9333333373069764,0.9555555979410807,0.04,0.826167106628418,0.846608301003774,0.7947560548782349,0.8720235427220663,0.8537019491195679,0.8537019491195679,0.773339569568634,0.6532243291536967,0.7727679411570231,0.920836349328359,0.8444444934527079,46.0,0.8226529955863953,0.7333235343297323,0.8267881472905477,0.7179487347602844,0.846608301003774,0.8444444934527079,0.027018535261352856,0.7947560548782349,0.8888888756434122,0.8400290211041769,0.6847919821739197,0.86016845703125,0.7333235343297323,0.6532243291536967,0.17499999999999996,0.888888935248057,0.7333235343297323,0.8888888955116272,0.02603684365749359,0.8226529955863953,0.8444444934527079,0.8400290211041769,0.002720783390302108,0.0005048665834803443,0.09622502192309915,0.0,0.018608597885210253,0.0013603906197526949,0.002720783390302108,0.0020842774959807433,0.005660313625759928,0.09622502192309915,0.0005947152302272193,0.03721725491791969,0.09622502192309915,0.002720783390302108,0.0,0.01924499061951662,0.026457513110645908,0.0005048665834803443,0.0018874527227519969,0.001514841755954565,0.005660313625759928,0.0011789810790083753,0.0011789810790083753,0.011986800622274307,0.03721725491791969,0.011589895434067852,0.03492955129488666,0.09622502192309915,18.24828759089466,0.0021892332803688784,0.025632664443444923,0.0005947152302272193,0.0,0.0018874527227519969,0.09622502192309915,0.0005441571082198923,0.001514841755954565,0.048112476548791853,0.0004546106483856243,0.020919262029550956,0.0020842774959807433,0.025632664443444923,0.03721725491791969,0.0,0.048112528167937645,0.025632664443444923,0.048112545374307286,0.000987640231470589,0.0021892332803688784,0.09622502192309915,0.0004546106483856243
no_init_box_kenn_hybrid_adapter_bert_ms,0.024819352353612583,0.8260970115661621,0.8777777751286825,0.8115941882133484,0.675133466720581,0.0256047739336888,0.024819352353612583,0.8608904878298441,0.8739843169848124,0.8777777751286825,0.8268404801686605,0.6323181986808777,0.8777777751286825,0.024819352353612583,0.9333333373069764,0.9666666984558104,0.043333333333333335,0.8260970115661621,0.8468884825706482,0.7940070033073425,0.8739843169848124,0.8540684779485067,0.8540684779485067,0.7735105355580648,0.6323181986808777,0.7725279529889425,0.9350962042808533,0.8777777949968973,42.0,0.8214231928189596,0.7349351644515991,0.8268404801686605,0.7179487347602844,0.8468884825706482,0.8777777949968973,0.02733270451426506,0.7940070033073425,0.905555526415507,0.8402339021364847,0.6736475626627604,0.8608904878298441,0.7349351644515991,0.6323181986808777,0.17499999999999996,0.9055555860201517,0.7349351644515991,0.9055555462837219,0.02644004424413045,0.8214231928189596,0.8777777949968973,0.8402339021364847,0.0005441571082198923,0.00029453375126550015,0.019244990619516733,0.0,0.007970378695985728,0.0002720790918092851,0.0005441571082198923,0.00041684173409308226,0.001132076490255081,0.019244990619516733,0.0004534569082922836,0.015940699524275674,0.019244990619516733,0.0005441571082198923,0.0,0.0,0.03214550253664319,0.00029453375126550015,0.0006350861363192897,0.0005753772511299424,0.001132076490255081,0.00027206726242380813,0.00027206726242380813,0.005525267954401252,0.015940699524275674,0.005808240459098774,0.005115353194727239,0.01924502503227447,5.5677643628300215,0.0009376668131730223,0.011120441749259418,0.0004534569082922836,0.0,0.0006350861363192897,0.01924502503227447,0.0,0.0005753772511299424,0.00962249530975839,0.0002032088727695065,0.008808510883952982,0.00041684173409308226,0.011120441749259418,0.015940699524275674,0.0,0.00962249530975839,0.011120441749259418,0.009622529722516081,0.00014463897143577516,0.0009376668131730223,0.01924502503227447,0.0002032088727695065
no_init_box_kenn_top_down_adapter_bert_ms,0.024819352353612583,0.8260970115661621,0.8777777751286825,0.8115941882133484,0.675133466720581,0.0256047739336888,0.024819352353612583,0.8608904878298441,0.8739843169848124,0.8777777751286825,0.8268404801686605,0.6323181986808777,0.8777777751286825,0.024819352353612583,0.9333333373069764,0.9666666984558104,0.13333333333333333,0.8260970115661621,0.8468884825706482,0.7940070033073425,0.8739843169848124,0.8540684779485067,0.8540684779485067,0.7735105355580648,0.6323181986808777,0.7725279529889425,0.9350962042808533,0.8777777949968973,35.0,0.8214231928189596,0.7349351644515991,0.8268404801686605,0.7179487347602844,0.8468884825706482,0.8777777949968973,0.02733270451426506,0.7940070033073425,0.905555526415507,0.8402339021364847,0.6736475626627604,0.8608904878298441,0.7349351644515991,0.6323181986808777,0.17499999999999996,0.9055555860201517,0.7349351644515991,0.9055555462837219,0.02644004424413045,0.8214231928189596,0.8777777949968973,0.8402339021364847,0.0005441571082198923,0.00029453375126550015,0.019244990619516733,0.0,0.007970378695985728,0.0002720790918092851,0.0005441571082198923,0.00041684173409308226,0.001132076490255081,0.019244990619516733,0.0004534569082922836,0.015940699524275674,0.019244990619516733,0.0005441571082198923,0.0,0.0,0.11060440015358038,0.00029453375126550015,0.0006350861363192897,0.0005753772511299424,0.001132076490255081,0.00027206726242380813,0.00027206726242380813,0.005525267954401252,0.015940699524275674,0.005808240459098774,0.005115353194727239,0.01924502503227447,7.211102550927978,0.0009376668131730223,0.011120441749259418,0.0004534569082922836,0.0,0.0006350861363192897,0.01924502503227447,0.0,0.0005753772511299424,0.00962249530975839,0.0002032088727695065,0.008808510883952982,0.00041684173409308226,0.011120441749259418,0.015940699524275674,0.0,0.00962249530975839,0.011120441749259418,0.009622529722516081,0.00014463897143577516,0.0009376668131730223,0.01924502503227447,0.0002032088727695065
no_init_kenn_bottom_up_adapter_bert_ms,0.027646873146295547,0.8256211479504904,0.9777777592341105,0.7567567229270935,0.639357348283132,0.027018535882234573,0.027646873146295547,0.8717208305994669,0.8879211743672689,0.9777777592341105,0.8161325454711914,0.6423510710398356,0.9777777592341105,0.027646873146295547,0.9333333373069764,1.0,0.17,0.8256211479504904,0.8431421518325806,0.7841524481773376,0.8879211743672689,0.8609278599421183,0.8609278599421183,0.7661075194676717,0.6423510710398356,0.7661446730295817,0.9772562781969706,0.9777777989705404,15.666666666666666,0.802662988503774,0.7753216226895651,0.8161325454711914,0.6363636255264282,0.8431421518325806,0.9777777989705404,0.02827521041035652,0.7841524481773376,0.9555555582046509,0.8379319906234741,0.639409085114797,0.8717208305994669,0.7753216226895651,0.6423510710398356,0.25,0.9555555979410807,0.7753216226895651,0.9555555383364359,0.027632127205530804,0.802662988503774,0.9777777989705404,0.8379319906234741,0.0005441560328212146,0.00034362321369183125,0.019245025032274446,0.0,0.0055098280743136425,0.0002720780164106073,0.0005441560328212146,0.00041684173409305825,0.0011320420774973668,0.019245025032274446,0.0,0.011019714941107315,0.019245025032274446,0.0005441560328212146,0.0,0.0,0.034641016151377546,0.00034362321369183125,0.0008186492172657117,0.0003417453242789466,0.0011320420774973668,0.0001813552331107374,0.0001813552331107374,0.006640964439328721,0.011019714941107315,0.006727684740270706,0.005018274805238642,0.019244990619516844,0.5773502691896255,0.0006482385079805152,0.013270067618105315,0.0,0.0,0.0008186492172657117,0.019244990619516844,0.0,0.0003417453242789466,0.009622529722516057,8.58942432342354e-05,0.00562815698874623,0.00041684173409305825,0.013270067618105315,0.011019714941107315,0.0,0.009622495309758342,0.013270067618105315,0.009622495309758367,0.0001418924032113629,0.0006482385079805152,0.019244990619516844,8.58942432342354e-05
no_init_kenn_horizontal_adapter_bert_ms,0.027646873146295547,0.8248692353566488,0.9777777592341105,0.7567567229270935,0.6218437353769938,0.027018535882234573,0.027646873146295547,0.8717208305994669,0.8879211743672689,0.9777777592341105,0.8150329987208048,0.6073237856229147,0.9777777592341105,0.027646873146295547,0.9333333373069764,1.0,0.043333333333333335,0.8248692353566488,0.8420040806134542,0.78279709815979,0.8879211743672689,0.8609278599421183,0.8609278599421183,0.7533841331799825,0.6073237856229147,0.7528026898701986,0.9772562781969706,0.9777777989705404,17.333333333333332,0.8006025552749634,0.7491917610168457,0.8150329987208048,0.6363636255264282,0.8420040806134542,0.9777777989705404,0.02827521041035652,0.78279709815979,0.9555555582046509,0.8373520374298096,0.6210563778877258,0.8717208305994669,0.7491917610168457,0.6073237856229147,0.25,0.9555555979410807,0.7491917610168457,0.9555555383364359,0.027632127205530804,0.8006025552749634,0.9777777989705404,0.8373520374298096,0.0005441560328212146,0.0007200181294831439,0.019245025032274446,0.0,0.013412165839376532,0.0002720780164106073,0.0005441560328212146,0.00041684173409305825,0.0011320420774973668,0.019245025032274446,0.0005441345248476402,0.02682433167875309,0.019245025032274446,0.0005441560328212146,0.0,0.0,0.011547005383792518,0.0007200181294831439,0.0013815689836237455,0.0009608386079098905,0.0011320420774973668,0.0001813552331107374,0.0001813552331107374,0.012821195551291,0.02682433167875309,0.013344820072545859,0.005018274805238642,0.019244990619516844,3.214550253664318,0.0015778937663366033,0.02600592747498842,0.0005441345248476402,0.0,0.0013815689836237455,0.019244990619516844,0.0,0.0009608386079098905,0.009622529722516057,0.00037289664250247386,0.014121653665001632,0.00041684173409305825,0.02600592747498842,0.02682433167875309,0.0,0.009622495309758342,0.02600592747498842,0.009622495309758367,0.0001418924032113629,0.0015778937663366033,0.019244990619516844,0.00037289664250247386
no_init_kenn_hybrid_adapter_bert_ms,0.027646873146295547,0.8257152239481608,0.9777777592341105,0.7567567229270935,0.6416922807693481,0.027018535882234573,0.027646873146295547,0.8717208305994669,0.8879211743672689,0.9777777592341105,0.8159754673639933,0.647020955880483,0.9777777592341105,0.027646873146295547,0.9333333373069764,0.9888888994852701,0.37666666666666665,0.8257152239481608,0.8432936668395996,0.7843222220738729,0.8879211743672689,0.8608754873275757,0.8608754873275757,0.767781138420105,0.647020955880483,0.7678449153900146,0.9718902508417765,0.9777777989705404,16.0,0.8029376864433289,0.7787134250005087,0.8159754673639933,0.6363636255264282,0.8432936668395996,0.9777777989705404,0.027961041778326035,0.7843222220738729,0.9555555582046509,0.8378243843714396,0.6417811314264933,0.8717208305994669,0.7787134250005087,0.647020955880483,0.25,0.9555555979410807,0.7787134250005087,0.9555555383364359,0.027480401719609897,0.8029376864433289,0.9777777989705404,0.8378243843714396,0.0005441560328212146,0.0002318387486654743,0.019245025032274446,0.0,0.002231288796900877,0.0002720780164106073,0.0005441560328212146,0.00041684173409305825,0.0011320420774973668,0.019245025032274446,0.00027206726242383214,0.004462612006559468,0.019245025032274446,0.0005441560328212146,0.0,0.01924499061951683,0.14502873278538062,0.0002318387486654743,0.0006552533194803991,8.086998060916394e-05,0.0011320420774973668,0.00023993643754288723,0.00023993643754288723,0.004698786762695901,0.004462612006559468,0.004753090094356007,0.01257803009619821,0.019244990619516844,0.0,0.00026253492853925555,0.009318630659214192,0.00027206726242383214,0.0,0.0006552533194803991,0.019244990619516844,0.0005441560328212146,8.086998060916394e-05,0.009622529722516057,0.00024108932616798086,0.002306515085246237,0.00041684173409305825,0.009318630659214192,0.004462612006559468,0.0,0.009622495309758342,0.009318630659214192,0.009622495309758367,0.0003556460527682801,0.00026253492853925555,0.019244990619516844,0.00024108932616798086
no_init_kenn_top_down_adapter_bert_ms,0.027646873146295547,0.8255270719528198,0.9777777592341105,0.7567567229270935,0.6370224157969157,0.027018535882234573,0.027646873146295547,0.8717208305994669,0.8879211743672689,0.9777777592341105,0.8161325454711914,0.6376811861991882,0.9777777592341105,0.027646873146295547,0.9333333373069764,1.0,0.3866666666666667,0.8255270719528198,0.8429906368255615,0.7839826742808024,0.8879211743672689,0.8609278599421183,0.8609278599421183,0.7644339005152384,0.6376811861991882,0.7644444306691488,0.9772562781969706,0.9777777989705404,15.666666666666666,0.8023882905642191,0.7719298203786215,0.8161325454711914,0.6363636255264282,0.8429906368255615,0.9777777989705404,0.02827521041035652,0.7839826742808024,0.9555555582046509,0.8379319906234741,0.6370370388031006,0.8717208305994669,0.7719298203786215,0.6376811861991882,0.25,0.9555555979410807,0.7719298203786215,0.9555555383364359,0.027632127205530804,0.8023882905642191,0.9777777989705404,0.8379319906234741,0.0005441560328212146,0.000394783156403505,0.019245025032274446,0.0,0.006275510495270492,0.0002720780164106073,0.0005441560328212146,0.00041684173409305825,0.0011320420774973668,0.019245025032274446,0.0,0.012551089816056411,0.019245025032274446,0.0005441560328212146,0.0,0.0,0.08082903768654763,0.000394783156403505,0.0009176850097465366,0.0003749269952071213,0.0011320420774973668,0.0001813552331107374,0.0001813552331107374,0.007597579820820514,0.012551089816056411,0.007697996247806708,0.005018274805238642,0.019244990619516844,0.5773502691896255,0.0007383257165827326,0.015193404590998045,0.0,0.0,0.0009176850097465366,0.019244990619516844,0.0,0.0003749269952071213,0.009622529722516057,8.58942432342354e-05,0.0064150198150107205,0.00041684173409305825,0.015193404590998045,0.012551089816056411,0.0,0.009622495309758342,0.015193404590998045,0.009622495309758367,0.0001418924032113629,0.0007383257165827326,0.019244990619516844,8.58942432342354e-05
smart_init_box_adapter_bert_ms,0.02576185887058576,0.8270765542984009,0.9111111164093018,0.8115941882133484,0.6957367261250814,0.026076028123497963,0.025761859491467476,0.8616125186284384,0.8759451309839884,0.9111111164093018,0.82741645971934,0.6735247174898783,0.9111111164093018,0.025761859491467476,0.9333333373069764,0.944444497426351,0.5866666666666667,0.8270765542984009,0.8490955233573914,0.7952035268147787,0.8759451309839884,0.8543826540311178,0.8543826540311178,0.7929604649543762,0.6735247174898783,0.7924311359723409,0.933134933312734,0.9111111760139465,13.666666666666666,0.8238471349080404,0.7738208572069804,0.82741645971934,0.7179487347602844,0.8490955233573914,0.9111111760139465,0.026704366008440655,0.7952035268147787,0.9222222169240316,0.8406831423441569,0.6949527462323507,0.8616125186284384,0.7738208572069804,0.6735247174898783,0.17499999999999996,0.9222222963968912,0.7738208572069804,0.9222222169240316,0.026384584605693817,0.8238471349080404,0.9111111760139465,0.8406831423441569,0.001088313141041107,0.0005895570078253492,0.03849001565179128,0.0,0.016568297224443675,0.0005441560328212146,0.001088313678740845,0.0008337178809438546,0.002264152980510114,0.03849001565179128,0.0007906315041130523,0.03313663748126465,0.03849001565179128,0.001088313678740845,0.0,0.01924499061951662,0.12662279942148386,0.0005895570078253492,0.0012620877030817418,0.0011517204887865212,0.002264152980510114,0.0005441861448002846,0.0005441861448002846,0.01126668005307851,0.03313663748126465,0.011818059031196903,0.016672871307040857,0.03849001565179128,5.773502691896258,0.0019492291067860186,0.02301751735511226,0.0007906315041130523,0.0,0.0012620877030817418,0.03849001565179128,0.0005441571082198931,0.0011517204887865212,0.0192450250322745,0.0004597830373648784,0.017943349202447455,0.0008337178809438546,0.02301751735511226,0.03313663748126465,0.0,0.019244990619516813,0.02301751735511226,0.0192450250322745,0.0004714279454952329,0.0019492291067860186,0.03849001565179128,0.0004597830373648784
smart_init_classifier_adapter_bert_ms,0.024819350490967434,0.8256399234135946,0.8777777552604675,0.7567567229270935,0.6623701453208923,0.025604773312807083,0.024819351732730865,0.8695547779401144,0.8820388317108154,0.8777777552604675,0.8157398502031962,0.6883766849835714,0.8777777552604675,0.024819351732730865,0.9333333373069764,0.9333333969116212,0.84,0.8256399234135946,0.8419601718584696,0.7859484950701395,0.8820388317108154,0.859514057636261,0.859514057636261,0.7649012605349222,0.6883766849835714,0.7634804646174113,0.9191651145617169,0.8777778546015421,5.0,0.8053703705469767,0.7708009481430054,0.8157398502031962,0.6363636255264282,0.8419601718584696,0.8777778546015421,0.02639019675552845,0.7859484950701395,0.905555526415507,0.837054987748464,0.6601985096931458,0.8695547779401144,0.7708009481430054,0.6883766849835714,0.25,0.9055556257565817,0.7708009481430054,0.9055555661519369,0.025989583383003872,0.8053703705469767,0.8777778744697571,0.837054987748464,0.0010883109902437512,0.0002839558666865063,0.03849001565179121,0.0,0.014040856003787522,0.0005441560328212146,0.0010883120656424291,0.0008337178809438546,0.002264118567752424,0.03849001565179121,0.0002078248435750486,0.028081680339116247,0.03849001565179121,0.0010883120656424291,0.0,0.0,0.026457513110645852,0.0002839558666865063,0.0006272435550034817,0.0008898005013116736,0.002264118567752424,0.0003627792917369029,0.0003627792917369029,0.005757287500646087,0.028081680339116247,0.005360795183304143,0.00997646493552252,0.03849005006454889,0.0,0.0016518467837222373,0.011106192782864241,0.0002078248435750486,0.0,0.0006272435550034817,0.03849005006454889,0.0,0.0008898005013116736,0.019244990619516733,0.0001301661229663815,0.012101405832364484,0.0008337178809438546,0.011106192782864241,0.028081680339116247,0.0,0.01924502503227447,0.011106192782864241,0.01924502503227447,0.00028208460111231253,0.0016518467837222373,0.03849001565179121,0.0001301661229663815
