name,instance,run_id,test_pretraining/macro_example/f1,test_pretraining/macro_types/recall,test_pretraining/micro/f1,test_incremental_CONTACT_INFO/macro_types/f1,test_incremental_CONTACT_INFO/macro_types/recall,test_incremental_only/macro_example/precision,test/macro_types/f1,test_incremental/macro_types/recall,test/macro_example/recall,test_incremental/micro/f1,test_incremental_only/macro_example_exclusive/recall,test/micro/recall,test_incremental_CONTACT_INFO-url/macro_types/precision,test/micro/f1,test_incremental/macro_types/f1,test_incremental/macro_types/precision,test_incremental_CONTACT_INFO-url/macro_types/f1,epoch,test/macro_types/precision,test_incremental_only/macro_example/recall,test_incremental/macro_example/recall,threshold_incremental,test_pretraining/micro/precision,test_incremental_only/micro/precision,test_pretraining/macro_example/recall,test/macro_types/recall,test_pretraining/macro_types/f1,test_incremental_only/macro_example_exclusive/f1,test/macro_example/precision,test_incremental/macro_example/f1,test_incremental_only/macro_types/f1,test_incremental/micro/recall,test_pretraining/macro_example/precision,test_incremental/macro_example_exclusive/f1,test_incremental/macro_example_exclusive/precision,test_incremental_CONTACT_INFO/macro_types/precision,threshold_pretraining,test_incremental_only/micro/recall,test_incremental/macro_example/precision,test_incremental_only/macro_types/precision,test_incremental_only/macro_example_exclusive/precision,test_incremental/macro_example_exclusive/recall,test_pretraining/micro/recall,test_incremental_only/micro/f1,test_incremental_only/macro_example/f1,test_incremental_CONTACT_INFO-url/macro_types/recall,test/macro_example/f1,test_incremental/micro/precision,test_pretraining/macro_types/precision,test_incremental_only/macro_types/recall,test/micro/precision
no_init_box_kenn_horizontal_adapter_bert_ms,2,hsqniqca,0.8377500772476196,0.8537229299545288,0.8234065175056458,0.8115941882133484,0.9333333373069764,0.015080112032592297,0.836743950843811,0.7333333492279053,0.8501414060592651,0.7040000557899475,0.5333333611488342,0.8534296154975891,0.6153846383094788,0.8234065175056458,0.6984127163887024,0.6666666865348816,0.5714285969734192,37,0.8204271197319031,0.015080112032592297,0.020735155791044235,0.01,0.7954239845275879,0.6153846383094788,0.8501414060592651,0.8537229299545288,0.836743950843811,0.5333333611488342,0.8257147073745728,0.023223374038934708,0.5714285969734192,0.7333333492279053,0.8257147073745728,0.8213333487510681,0.9333333969116212,0.7179487347602844,0.175,0.5333333611488342,0.02639019675552845,0.6153846383094788,0.5333333611488342,0.7333333492279053,0.8534296154975891,0.5714285969734192,0.015080112032592297,0.5333333611488342,0.8377500772476196,0.6769230961799622,0.8204271197319031,0.5333333611488342,0.7954239845275879
no_init_box_kenn_horizontal_adapter_bert_ms,1,kssv9dhk,0.8395904302597046,0.8654875755310059,0.8258602619171143,0.8115941882133484,0.9333333373069764,0.020735155791044235,0.8445855379104614,0.8333333730697632,0.85218346118927,0.7633587718009949,0.7333333492279053,0.8577617406845093,0.6875,0.8258602619171143,0.7624760866165161,0.7027243375778198,0.7096773982048035,38,0.8246691823005676,0.020735155791044235,0.023562677204608917,0.01,0.7962466478347778,0.6875,0.85218346118927,0.8654875755310059,0.8445855379104614,0.7333333492279053,0.8273641467094421,0.02530805952847004,0.7096773982048035,0.8333333134651184,0.8273641467094421,0.8950617909431458,0.9666666984558104,0.7179487347602844,0.175,0.7333333492279053,0.02733270451426506,0.6875,0.7333333492279053,0.8333333730697632,0.8577617406845093,0.7096773982048035,0.020735155791044235,0.7333333492279053,0.8395904302597046,0.7042253613471985,0.8246691823005676,0.7333333492279053,0.7962466478347778
no_init_box_kenn_horizontal_adapter_bert_ms,0,4h5vpnpy,0.838634192943573,0.8537229299545288,0.8239805102348328,0.8115941882133484,0.9333333373069764,0.015080112032592297,0.8383100032806396,0.7333333492279053,0.8502984642982483,0.7154472470283508,0.5333333611488342,0.8534296154975891,0.6666666865348816,0.8239805102348328,0.7122302651405334,0.692307710647583,0.5925926566123962,41,0.8234437108039856,0.015080112032592297,0.020735155791044235,0.01,0.7964959740638733,0.6666666865348816,0.8502984642982483,0.8537229299545288,0.8383100032806396,0.5333333611488342,0.8272855877876282,0.023223374038934708,0.5925926566123962,0.7333333492279053,0.8272855877876282,0.8213333487510681,0.9333333969116212,0.7179487347602844,0.175,0.5333333611488342,0.02639019675552845,0.6666666865348816,0.5333333611488342,0.7333333492279053,0.8534296154975891,0.5925926566123962,0.015080112032592297,0.5333333611488342,0.838634192943573,0.6984127163887024,0.8234437108039856,0.5333333611488342,0.7964959740638733
no_init_box_kenn_hybrid_adapter_bert_ms,2,vq7kjydk,0.8389525413513184,0.8635268211364746,0.8251650929450989,0.8115941882133484,0.9333333373069764,0.019792648032307625,0.8426877856254578,0.8166666626930237,0.8518693447113037,0.7480915784835815,0.7000000476837158,0.8570396900177002,0.65625,0.8251650929450989,0.7463010549545288,0.6870993375778198,0.6774193048477173,38,0.8228309154510498,0.019792648032307625,0.023091422393918037,0.02,0.7955763936042786,0.65625,0.8518693447113037,0.8635268211364746,0.8426877856254578,0.7000000476837158,0.8264216184616089,0.024630850180983543,0.6774193048477173,0.8166666626930237,0.8264216184616089,0.8711112141609192,0.9333333969116212,0.7179487347602844,0.175,0.699999988079071,0.02639019675552845,0.65625,0.7000000476837158,0.8166667222976685,0.8570396900177002,0.6774193048477173,0.019792648032307625,0.699999988079071,0.8389525413513184,0.6901408433914185,0.8228309154510498,0.699999988079071,0.7955763936042786
no_init_box_kenn_top_down_adapter_bert_ms,2,2tb5e5ad,0.8400988578796387,0.8733307123184204,0.8260568380355835,0.8115941882133484,0.9333333373069764,0.02450518310070038,0.846639096736908,0.8999999761581421,0.8540685176849365,0.7714285850524902,0.8666666746139526,0.860649824142456,0.6341463327407837,0.8260568380355835,0.772112250328064,0.6760475635528564,0.7323943972587585,38,0.8215306997299194,0.02450518310070038,0.02544769085943699,0.02,0.7941372394561768,0.6341463327407837,0.8540685176849365,0.8733307123184204,0.846639096736908,0.8666666746139526,0.826578676700592,0.026356535032391548,0.7323943972587585,0.8999999761581421,0.826578676700592,0.9321428537368774,0.9666666984558104,0.7179487347602844,0.175,0.8666666746139526,0.02733270451426506,0.6341463327407837,0.8666666746139526,0.9000000357627869,0.860649824142456,0.7323943972587585,0.02450518310070038,0.8666666746139526,0.8400988578796387,0.675000011920929,0.8215306997299194,0.8666666746139526,0.7941372394561768
no_init_box_kenn_bottom_up_adapter_bert_ms,2,1tqom86o,0.8384501338005066,0.8596052527427673,0.8243477940559387,0.8115941882133484,0.9333333373069764,0.017907632514834404,0.8401117920875549,0.7833333015441895,0.8510838747024536,0.7286822199821472,0.6333333849906921,0.8555956482887268,0.6333333253860474,0.8243477940559387,0.7255126237869263,0.6756410598754883,0.6333333253860474,37,0.8214828968048096,0.017907632514834404,0.022148914635181427,0.02,0.7953020334243774,0.6333333253860474,0.8510838747024536,0.8596052527427673,0.8401117920875549,0.6333333849906921,0.826185941696167,0.02408425882458687,0.6333333253860474,0.7833333611488342,0.826185941696167,0.8517799973487854,0.9333333969116212,0.7179487347602844,0.175,0.6333333253860474,0.02639019675552845,0.6333333253860474,0.6333333849906921,0.7833333611488342,0.8555956482887268,0.6333333253860474,0.017907632514834404,0.6333333253860474,0.8384501338005066,0.6811594367027283,0.8214828968048096,0.6333333253860474,0.7953020334243774
no_init_box_kenn_hybrid_adapter_bert_ms,1,otu2wm9o,0.840199887752533,0.8713699579238892,0.8262227177619934,0.8115941882133484,0.9333333373069764,0.023562677204608917,0.8464563488960266,0.8833333253860474,0.8534401655197144,0.7737226486206055,0.8333333730697632,0.859927773475647,0.6578947305679321,0.8262227177619934,0.773476243019104,0.6879217624664307,0.7352941036224365,38,0.822927713394165,0.023562677204608917,0.02497643604874611,0.01,0.7950600981712341,0.6578947305679321,0.8534401655197144,0.8713699579238892,0.8464563488960266,0.833333432674408,0.8273640871047974,0.026101499795913696,0.7352941036224365,0.8833333253860474,0.8273640871047974,0.9231231808662416,0.9666666984558104,0.7179487347602844,0.175,0.8333333134651184,0.02733270451426506,0.6578947305679321,0.8333333730697632,0.8833333849906921,0.859927773475647,0.7352941036224365,0.023562677204608917,0.8333333134651184,0.840199887752533,0.6883116960525513,0.822927713394165,0.8333333134651184,0.7950600981712341
no_init_box_kenn_top_down_adapter_bert_ms,1,ldxo78s5,0.840199887752533,0.8713699579238892,0.8262227177619934,0.8115941882133484,0.9333333373069764,0.023562677204608917,0.8464563488960266,0.8833333253860474,0.8534401655197144,0.7737226486206055,0.8333333730697632,0.859927773475647,0.6578947305679321,0.8262227177619934,0.773476243019104,0.6879217624664307,0.7352941036224365,38,0.822927713394165,0.023562677204608917,0.02497643604874611,0.03,0.7950600981712341,0.6578947305679321,0.8534401655197144,0.8713699579238892,0.8464563488960266,0.833333432674408,0.8273640871047974,0.026101499795913696,0.7352941036224365,0.8833333253860474,0.8273640871047974,0.9231231808662416,0.9666666984558104,0.7179487347602844,0.175,0.8333333134651184,0.02733270451426506,0.6578947305679321,0.8333333730697632,0.8833333849906921,0.859927773475647,0.7352941036224365,0.023562677204608917,0.8333333134651184,0.840199887752533,0.6883116960525513,0.822927713394165,0.8333333134651184,0.7950600981712341
no_init_box_kenn_bottom_up_adapter_bert_ms,1,8kyl0i4s,0.8398904204368591,0.8694092035293579,0.8258153796195984,0.8115941882133484,0.9333333373069764,0.02262016758322716,0.845242977142334,0.8666666746139526,0.8529688715934753,0.7647058963775635,0.8000000715255737,0.8592057824134827,0.6486486196517944,0.8258153796195984,0.7641360759735107,0.6832987070083618,0.7164179086685181,38,0.8223838210105896,0.02262016758322716,0.02450518310070038,0.01,0.7949231863021851,0.6486486196517944,0.8529688715934753,0.8694092035293579,0.845242977142334,0.8000000715255737,0.8272070288658142,0.02584183029830456,0.7164179086685181,0.8666666746139526,0.8272070288658142,0.9139394164085388,0.9666666984558104,0.7179487347602844,0.175,0.800000011920929,0.02733270451426506,0.6486486196517944,0.8000000715255737,0.8666667342185974,0.8592057824134827,0.7164179086685181,0.02262016758322716,0.800000011920929,0.8398904204368591,0.6842105388641357,0.8223838210105896,0.800000011920929,0.7949231863021851
no_init_box_kenn_hybrid_adapter_bert_ms,0,j6zpm7ad,0.8395187854766846,0.8635268211364746,0.8254520297050476,0.8115941882133484,0.9333333373069764,0.019792648032307625,0.8433403968811035,0.8166666626930237,0.8518693447113037,0.7538461685180664,0.7000000476837158,0.8570396900177002,0.6774193644523621,0.8254520297050476,0.7525011301040649,0.6976840496063232,0.688524603843689,32,0.8240761756896973,0.019792648032307625,0.023091422393918037,0.01,0.7961099743843079,0.6774193644523621,0.8518693447113037,0.8635268211364746,0.8433403968811035,0.7000000476837158,0.8275212049484253,0.024630850180983543,0.688524603843689,0.8166666626930237,0.8275212049484253,0.8711112141609192,0.9333333969116212,0.7179487347602844,0.175,0.699999988079071,0.02639019675552845,0.6774193644523621,0.7000000476837158,0.8166667222976685,0.8570396900177002,0.688524603843689,0.019792648032307625,0.699999988079071,0.8395187854766846,0.699999988079071,0.8240761756896973,0.699999988079071,0.7961099743843079
