name,instance,run_id,test_pretraining/macro_types/precision,test_incremental/micro/f1,test_pretraining/micro/f1,test_incremental/macro_example/recall,test_incremental_geography-glacier/macro_types/precision,test_incremental_geography-mountain/macro_types/precision,test_incremental_only/micro/precision,test_incremental/micro/precision,test/macro_types/recall,test_pretraining/micro/precision,test_pretraining/macro_example/recall,test_incremental_geography-mountain/macro_types/recall,test_incremental_only/macro_types/f1,test_incremental_geography/macro_types/f1,test_incremental_geography-island/macro_types/precision,threshold_incremental,test_incremental/micro/recall,test_incremental_only/macro_example/f1,test_incremental/macro_example_exclusive/recall,test_incremental_geography-island/macro_types/recall,test_pretraining/macro_example/f1,test/macro_types/f1,test_pretraining/macro_types/f1,test_incremental_geography/macro_types/recall,test_incremental_only/macro_example_exclusive/precision,test_incremental/macro_types/recall,test/micro/recall,test/macro_example/recall,test/macro_types/precision,test_incremental_only/micro/recall,test_incremental/macro_types/precision,test_incremental_only/macro_example_exclusive/f1,threshold_pretraining,test_incremental/macro_example/f1,test_pretraining/macro_types/recall,test_incremental_geography/macro_types/precision,test_incremental/macro_example_exclusive/precision,test_incremental_only/macro_example_exclusive/recall,test/micro/f1,test_pretraining/micro/recall,test_incremental_only/micro/f1,test_incremental_geography-glacier/macro_types/f1,test_incremental_only/macro_types/precision,test_incremental_geography-island/macro_types/f1,epoch,test/macro_example/precision,test_incremental/macro_types/f1,test_incremental/macro_example_exclusive/f1,test_incremental_only/macro_example/precision,test_incremental_geography-mountain/macro_types/f1,test_incremental_only/macro_example/recall,test/micro/precision,test/macro_example/f1,test_incremental_only/macro_types/recall,test_pretraining/macro_example/precision,test_incremental_geography-glacier/macro_types/recall,test_incremental/macro_example/precision
kenn_horizontal_adapter_bert_ms,2,brle9fiv,0.8910083770751953,0.8469387888908386,0.903106689453125,0.02847367152571678,0.7631579041481018,0.6590909361839294,0.6692913174629211,0.7942583560943604,0.8646031618118286,0.9070478081703186,0.9140107035636902,0.90625,0.7761452198028564,0.9418604373931884,0.6000000238418579,0.060000000000000005,0.9071038365364076,0.028348084539175034,0.90925931930542,0.8709677457809448,0.9189909100532532,0.8776071667671204,0.8776071667671204,0.8999999761581421,0.888888955116272,0.9109710454940796,0.8991996645927429,0.9140107035636902,0.8910083770751953,0.9139785170555116,0.7525134682655334,0.9052488207817078,0.375,0.028986196964979172,0.8646031618118286,0.9878048896789552,0.9425926208496094,0.9222222566604614,0.903106689453125,0.8991996645927429,0.7727272510528564,0.8529411554336548,0.6740829944610596,0.7105263471603394,38,0.9240257740020752,0.824195146560669,0.92562597990036,0.027835769578814507,0.7631579041481018,0.02887961082160473,0.9070478081703186,0.9189909100532532,0.9146282076835632,0.9240257740020752,0.9666666388511658,0.029517512768507004
kenn_horizontal_adapter_bert_ms,1,1a7ppnpj,0.9076600074768066,0.9190751314163208,0.9061135649681092,0.027371838688850403,0.9655172228813172,0.9642857313156128,0.9629629850387572,0.9754601120948792,0.8602787852287292,0.9147013425827026,0.9132567644119264,0.84375,0.8969929218292236,0.9418604373931884,0.9583333134651184,0.16,0.868852436542511,0.026964781805872917,0.8740741014480591,0.7419354915618896,0.9206711649894714,0.8833344578742981,0.8833344578742981,0.8999999761581421,0.8666667342185974,0.8547546863555908,0.8976854681968689,0.9132567644119264,0.9076600074768066,0.8387096524238586,0.9689852595329284,0.8610753417015076,0.375,0.028431033715605736,0.8602787852287292,0.9878048896789552,0.9444445371627808,0.8555556535720825,0.9061135649681092,0.8976854681968689,0.8965516686439514,0.9491525292396544,0.9627121090888976,0.836363673210144,40,0.9282069206237792,0.9082924723625184,0.9078977704048156,0.027139876037836075,0.9000000357627869,0.026791928336024284,0.9147013425827026,0.9206711649894714,0.8396729230880737,0.9282069206237792,0.9333333373069764,0.02957550436258316
kenn_horizontal_adapter_bert_ms,0,3m4v994v,0.8938189744949341,0.8385416865348816,0.902804970741272,0.027661794796586037,0.7837837934494019,0.5,0.6722689270973206,0.8009950518608093,0.8615208268165588,0.9075409770011902,0.9134597778320312,0.875,0.7859538793563843,0.9418604373931884,0.8846153616905212,0.06999999999999999,0.8797814249992371,0.02731384709477425,0.8833333849906921,0.7419354915618896,0.918557584285736,0.8773727416992188,0.8773727416992188,0.8999999761581421,0.8722223043441772,0.8709005117416382,0.8981180787086487,0.9134597778320312,0.8938189744949341,0.8602150678634644,0.7890510559082031,0.8722223043441772,0.375,0.028257587924599648,0.8615208268165588,0.9878048896789552,0.9222223162651062,0.8722223043441772,0.902804970741272,0.8981180787086487,0.7547169923782349,0.865671694278717,0.7227997779846191,0.8070175051689148,39,0.9237126111984252,0.8279578685760498,0.9023590087890624,0.027313850820064545,0.6363636255264282,0.027313848957419395,0.9075409770011902,0.918557584285736,0.861200749874115,0.9237126111984252,0.9666666388511658,0.02887960895895958
kenn_hybrid_adapter_bert_ms,2,1369obg9,0.8859184980392456,0.800000011920929,0.9007468223571776,0.02911157533526421,0.7692307829856873,0.44117647409439087,0.5562499761581421,0.702479362487793,0.8670858144760132,0.9014298319816588,0.9144456386566162,0.9375,0.726980447769165,0.9418604373931884,0.5471698045730591,0.060000000000000005,0.9289617538452148,0.02920166775584221,0.929629683494568,0.9354838728904724,0.9177738428115844,0.8764010071754456,0.8764010071754456,0.8999999761581421,0.9055556058883668,0.9432460069656372,0.9000648856163025,0.9144456386566162,0.8859184980392456,0.9569892287254332,0.6863455176353455,0.9325066804885864,0.375,0.02922709845006466,0.8670858144760132,0.9878048896789552,0.9370371103286744,0.9611111879348756,0.9007468223571776,0.9000648856163025,0.7035572528839111,0.8695651888847351,0.5858590602874756,0.6904762387275696,42,0.9211262464523317,0.7945460081100464,0.9333186745643616,0.028357690200209618,0.6000000238418579,0.03009742498397827,0.9014298319816588,0.9177738428115844,0.9576613306999208,0.9211262464523317,1.0,0.029343541711568832
kenn_top_down_adapter_bert_ms,2,26u6xx6q,0.8796482086181641,0.7121534943580627,0.8958311676979065,0.02864764630794525,0.7317073345184326,0.3085106313228607,0.4215686321258545,0.5839160680770874,0.8652441501617432,0.8922746777534485,0.9141266942024232,0.90625,0.6297450065612793,0.9418604373931884,0.3913043439388275,0.17,0.9125683307647704,0.028605695813894272,0.914814829826355,0.8709677457809448,0.9146743416786194,0.8723867535591125,0.8723867535591125,0.8999999761581421,0.894444465637207,0.9193044304847716,0.8994159698486328,0.9141266942024232,0.8796482086181641,0.924731194972992,0.6048318147659302,0.913475215435028,0.375,0.029019692912697792,0.8652441501617432,0.9878048896789552,0.9388889074325562,0.9333333969116212,0.8958311676979065,0.8994159698486328,0.5791245698928833,0.8450704216957092,0.4771741032600403,0.5399999618530273,42,0.9152226448059082,0.7296257615089417,0.9266955256462096,0.028009742498397827,0.4603174328804016,0.02922755852341652,0.8922746777534485,0.9146743416786194,0.925739288330078,0.9152226448059082,1.0,0.02940153330564499
kenn_bottom_up_adapter_bert_ms,2,1vfzdqxh,0.8839336633682251,0.7731481790542603,0.8994159698486328,0.02864764630794525,0.7631579041481018,0.4084506928920746,0.514970064163208,0.6706827282905579,0.8652234673500061,0.8994159698486328,0.9141266942024232,0.90625,0.6910805702209473,0.9418604373931884,0.48275861144065857,0.060000000000000005,0.9125683307647704,0.028605695813894272,0.9148148894309998,0.9032257795333862,0.9170545339584352,0.8744784593582153,0.8744784593582153,0.8999999761581421,0.894444465637207,0.9190356135368348,0.8994159698486328,0.9141266942024232,0.8839336633682251,0.924731194972992,0.6605430245399475,0.913475215435028,0.375,0.029019692912697792,0.8652234673500061,0.9878048896789552,0.9388889074325562,0.9333333969116212,0.8994159698486328,0.8994159698486328,0.6615384817123413,0.8529411554336548,0.5514557361602783,0.6292134523391724,42,0.9200011491775512,0.7686386108398438,0.9266955852508544,0.028009742498397827,0.5631067752838135,0.02922755852341652,0.8994159698486328,0.9170545339584352,0.9253808259963988,0.9200011491775512,0.9666666388511658,0.02940153330564499
kenn_hybrid_adapter_bert_ms,1,32gviolp,0.9008368849754332,0.9027026891708374,0.9054878354072572,0.028589654713869095,0.9666666388511658,0.6666666865348816,0.8190476298332214,0.893048107624054,0.8652040958404541,0.9116421937942504,0.9140976667404176,0.9375,0.8829089403152466,0.9418604373931884,0.8999999761581421,0.04,0.9125683307647704,0.02896633557975292,0.9129630327224731,0.8709677457809448,0.9201550483703612,0.882660984992981,0.882660984992981,0.8999999761581421,0.9222222566604614,0.9187835454940796,0.8994159698486328,0.9140976667404176,0.9008368849754332,0.924731194972992,0.8802845478057861,0.9249916672706604,0.375,0.029130155220627785,0.8652040958404541,0.9878048896789552,0.948148250579834,0.9277778267860411,0.9054878354072572,0.8994159698486328,0.8686869144439697,0.9666666388511658,0.8444444537162781,0.8852458596229553,41,0.9262932538986206,0.8991221189498901,0.9302230477333068,0.02887961082160473,0.7792207598686218,0.02905358374118805,0.9116421937942504,0.9201550483703612,0.9250448346138,0.9262932538986206,0.9666666388511658,0.029691487550735474
kenn_top_down_adapter_bert_ms,1,7q2gyk3j,0.8628389835357666,0.4482758343219757,0.8695651888847351,0.028937602415680885,0.17751479148864746,0.15228426456451416,0.17995910346508026,0.29597198963165283,0.8664654493331909,0.8412538170814514,0.9143296480178832,0.9375,0.3106651306152344,0.9418604373931884,0.22764228284358975,0.05,0.9234972596168518,0.02948620915412903,0.9240741729736328,0.9032257795333862,0.8986332416534424,0.8646484017372131,0.8646484017372131,0.8999999761581421,0.9333333969116212,0.935181438922882,0.8998485803604126,0.9143296480178832,0.8628389835357666,0.9462365508079528,0.3863115608692169,0.9415929913520812,0.375,0.029450276866555217,0.8664654493331909,0.9878048896789552,0.9574074745178224,0.9500000476837158,0.8695651888847351,0.8998485803604126,0.3024055063724518,0.30150753259658813,0.1858137845993042,0.3636363744735718,41,0.8834667205810547,0.5467624664306641,0.9404455423355104,0.02922755852341652,0.26200875639915466,0.02974947914481163,0.8412538170814514,0.8986332416534424,0.9469086527824402,0.8834667205810547,1.0,0.029981443658471107
kenn_bottom_up_adapter_bert_ms,1,1olc0it4,0.9084305763244628,0.934097409248352,0.9066899418830872,0.02795175276696682,0.9666666388511658,1.0,0.976190447807312,0.9819276928901672,0.8627614974975586,0.9149779677391052,0.9136627316474916,0.875,0.927042543888092,0.9418604373931884,0.9615384340286256,0.2,0.8907103538513184,0.028008664026856422,0.8925926685333252,0.8064516186714172,0.9209344387054444,0.8850072622299194,0.8850072622299194,0.8999999761581421,0.9000000953674316,0.8870295882225037,0.8985507488250732,0.9136627316474916,0.9084305763244628,0.8817204236984253,0.9790024757385254,0.8944100141525269,0.375,0.028740711510181427,0.8627614974975586,0.9878048896789552,0.9444445371627808,0.888888955116272,0.9066899418830872,0.8985507488250732,0.9265536665916444,0.9666666388511658,0.976068377494812,0.8771929740905762,40,0.9283229112625122,0.9307494163513184,0.9177868366241456,0.028183717280626297,0.9333333373069764,0.027835769578814507,0.9149779677391052,0.9209344387054444,0.8827061653137207,0.9283229112625122,0.9666666388511658,0.02957550436258316
kenn_hybrid_adapter_bert_ms,0,1sl2zff8,0.8935991525650024,0.833759605884552,0.9025529623031616,0.02795175276696682,0.7692307829856873,0.4677419364452362,0.6507936716079712,0.7836538553237915,0.8627627491950989,0.90659099817276,0.9136627316474916,0.90625,0.7924906015396118,0.9418604373931884,0.9200000166893004,0.08,0.8907103538513184,0.02739392966032028,0.8925926685333252,0.7419354915618896,0.918594241142273,0.8779102563858032,0.8779102563858032,0.8999999761581421,0.8611111640930176,0.8870463371276855,0.8985507488250732,0.9136627316474916,0.8935991525650024,0.8817204236984253,0.7861944437026978,0.8747795820236206,0.375,0.028009623289108276,0.8627627491950989,0.9878048896789552,0.8962963819503784,0.888888955116272,0.9025529623031616,0.8985507488250732,0.7488584518432617,0.8695651888847351,0.7189909219741821,0.8214285373687744,39,0.923579216003418,0.8335810899734497,0.8944407105445862,0.026965901255607605,0.6170212626457214,0.027835767716169357,0.90659099817276,0.918594241142273,0.8827285766601562,0.923579216003418,1.0,0.028067734092473984
kenn_top_down_adapter_bert_ms,0,1r0o0oiq,0.8874655961990356,0.7890819311141968,0.9005098938941956,0.027313850820064545,0.6304348111152649,0.421875,0.5652173757553101,0.7227272987365723,0.8602994680404663,0.9033522009849548,0.9132277965545654,0.84375,0.7085617184638977,0.9418604373931884,0.7857142686843872,0.27,0.868852436542511,0.026704657822847366,0.8722223043441772,0.7096773982048035,0.9175277948379515,0.8736714124679565,0.8736714124679565,0.8999999761581421,0.8555555939674377,0.8550235033035278,0.8976854681968689,0.9132277965545654,0.8874655961990356,0.8387096524238586,0.706457257270813,0.8527687191963196,0.375,0.027798037976026535,0.8602994680404663,0.9878048896789552,0.90370374917984,0.8500000238418579,0.9005098938941956,0.8976854681968689,0.6753246188163757,0.7631579041481018,0.6126747131347656,0.7457627058029175,39,0.9218685030937196,0.7736727595329285,0.8876839280128479,0.026791926473379135,0.5625,0.026617955416440964,0.9033522009849548,0.9175277948379515,0.8400313854217529,0.9218685030937196,0.9666666388511658,0.02829970046877861
