name,instance,run_id,test_incremental_only/macro_types/precision,test_incremental_only/macro_example_exclusive/precision,test_pretraining/micro/f1,threshold_incremental,test_incremental/macro_example/f1,test_incremental/macro_types/precision,test_incremental_only/macro_example/f1,test/micro/recall,test_pretraining/macro_types/precision,test_incremental_only/macro_example_exclusive/f1,test/macro_example/precision,test_incremental_geography-glacier/macro_types/recall,test_incremental_geography-island/macro_types/precision,test/micro/f1,test_incremental/macro_example/recall,test_incremental_only/micro/precision,test_pretraining/macro_example/precision,test_incremental_geography-mountain/macro_types/precision,threshold_pretraining,test_incremental/macro_example/precision,test_incremental_geography/macro_types/recall,test_incremental_geography-mountain/macro_types/f1,test_pretraining/micro/precision,test_incremental_only/micro/f1,test/macro_example/recall,test_pretraining/micro/recall,test_pretraining/macro_example/recall,test_incremental_geography-glacier/macro_types/precision,test_incremental/macro_types/f1,test_incremental/macro_types/recall,test_incremental_only/macro_example_exclusive/recall,test/macro_example/f1,test_incremental/macro_example_exclusive/precision,epoch,test_incremental/micro/recall,test_incremental/micro/precision,test_pretraining/macro_example/f1,test_pretraining/macro_types/recall,test_incremental_only/macro_types/f1,test/micro/precision,test/macro_types/recall,test_pretraining/macro_types/f1,test/macro_types/f1,test_incremental_only/micro/recall,test_incremental_only/macro_example/recall,test_incremental_only/macro_example/precision,test/macro_types/precision,test_incremental_geography/macro_types/f1,test_incremental_geography/macro_types/precision,test_incremental/macro_example_exclusive/recall,test_incremental_geography-island/macro_types/f1,test_incremental_geography-glacier/macro_types/f1,test_incremental_only/macro_types/recall,test_incremental/macro_example_exclusive/f1,test_incremental_geography-island/macro_types/recall,test_incremental_geography-mountain/macro_types/recall,test_incremental/micro/f1
kenn_horizontal_adapter_bert_ms,2,zz0xrknr,0.8604655265808105,0.7777778506278992,0.9043667912483216,0.25,0.027242930606007576,0.8923003673553467,0.02409251220524311,0.8959550261497498,0.9017611742019652,0.7693542838096619,0.927685022354126,0.9666666388511658,0.782608687877655,0.9043667912483216,0.025922060012817383,0.8641975522041321,0.927685022354126,0.9200000166893004,0.375,0.02870563603937626,0.8999999761581421,0.8070175051689148,0.9129380583763124,0.8045977354049683,0.9123289585113524,0.8959550261497498,0.9123289585113524,0.8787878751754761,0.8388916850090027,0.7915154695510864,0.7611111402511597,0.9199429154396056,0.9166667461395264,55,0.8251366019248962,0.9263803958892822,0.9199429154396056,0.8554142713546753,0.804490864276886,0.9129380583763124,0.8554142713546753,0.8779764771461487,0.8779764771461487,0.7526881694793701,0.02383437752723694,0.02435629814863205,0.9017611742019652,0.9418604373931884,0.9878048896789552,0.8277778625488281,0.6666666865348816,0.920634925365448,0.7553539276123047,0.8699576258659363,0.5806451439857483,0.71875,0.8728322982788086
kenn_horizontal_adapter_bert_ms,1,1wirnyof,0.9457615613937378,0.9388889670372008,0.906751036643982,0.08,0.029155615717172623,0.9562723636627196,0.029226522892713547,0.8991996645927429,0.9066821336746216,0.9333003759384156,0.927772045135498,0.9666666388511658,0.90625,0.906751036643982,0.028531663119792935,0.9444444179534912,0.927772045135498,0.931034505367279,0.375,0.029807470738887787,0.8999999761581421,0.8852458596229553,0.9144302606582642,0.9289617538452148,0.9140397310256958,0.8991996645927429,0.9140397310256958,1.0,0.9333364963531494,0.9114751219749452,0.927777886390686,0.9208546876907348,0.9518519639968872,78,0.9071038365364076,0.9651162624359132,0.9208546876907348,0.8646419048309326,0.9302815198898317,0.9144302606582642,0.8646419048309326,0.8851631879806519,0.8851631879806519,0.9139785170555116,0.02905358374118805,0.02940153330564499,0.9066821336746216,0.9418604373931884,0.9878048896789552,0.9111111760139464,0.9206348657608032,0.98305082321167,0.915300190448761,0.931036114692688,0.9354838728904724,0.84375,0.9352113008499146
kenn_horizontal_adapter_bert_ms,0,2obvj2y6,0.850649356842041,0.8000000715255737,0.9044085741043092,0.13,0.02686511911451817,0.8849382400512695,0.02478848397731781,0.8963876366615295,0.9011948704719543,0.7915789484977722,0.9272210597991944,1.0,0.9090909361839294,0.9044085741043092,0.026270007714629173,0.8470588326454163,0.9272210597991944,0.7857142686843872,0.375,0.027487821877002716,0.8999999761581421,0.7333332896232605,0.9125743508338928,0.8089888095855713,0.9125319719314576,0.8963876366615295,0.9125319719314576,0.8571428656578064,0.844811201095581,0.8081653118133545,0.7833333611488342,0.9198178648948668,0.8777778744697571,60,0.8360655903816223,0.916167676448822,0.9198178648948668,0.8566949963569641,0.8124608397483826,0.9125743508338928,0.8566949963569641,0.8783816695213318,0.8783816695213318,0.774193525314331,0.02453027293086052,0.02505219168961048,0.9011948704719543,0.9418604373931884,0.9878048896789552,0.838888943195343,0.7547169923782349,0.9230769276618958,0.7775537967681885,0.8578929305076599,0.6451612710952759,0.6875,0.8742856979370117
kenn_hybrid_adapter_bert_ms,2,3v84d0ae,0.8719680905342102,0.894444465637207,0.9057220816612244,0.15000000000000002,0.028583891689777374,0.9009272456169128,0.02818264439702034,0.8987670540809631,0.9024248123168944,0.8999657034873962,0.9272500872612,0.9666666388511658,0.800000011920929,0.9057220816612244,0.028183717280626297,0.8645833134651184,0.9272500872612,0.9629629850387572,0.375,0.02899559400975704,0.8999999761581421,0.8813559412956238,0.9127855896949768,0.8783068060874939,0.91380774974823,0.8987670540809631,0.91380774974823,0.8529411554336548,0.8982547521591187,0.8955981135368347,0.9055556058883668,0.9204798340797424,0.9259259700775146,67,0.8961748480796814,0.9213483333587646,0.9204798340797424,0.8634206056594849,0.8829103708267212,0.9127855896949768,0.8634206056594849,0.882491946220398,0.882491946220398,0.8924731016159058,0.028357690200209618,0.028009744361042976,0.9024248123168944,0.9418604373931884,0.9878048896789552,0.9000000357627869,0.8484848141670227,0.90625,0.8941308259963989,0.912778913974762,0.9032257795333862,0.8125,0.9085872173309326
kenn_top_down_adapter_bert_ms,2,3184w6ii,0.5378806591033936,0.9000000357627869,0.8999133110046387,0.48,0.028661131858825684,0.6503617167472839,0.028096459805965424,0.8985507488250732,0.8831505179405212,0.8972136378288269,0.920784056186676,0.9666666388511658,0.5744680762290955,0.8999133110046387,0.028009742498397827,0.5359477400779724,0.920784056186676,0.48148149251937866,0.375,0.029343539848923683,0.8999999761581421,0.604651153087616,0.9012801051139832,0.6666666865348816,0.9136917591094972,0.8985507488250732,0.9136917591094972,0.557692289352417,0.7506594657897949,0.8875335454940796,0.894444465637207,0.9172242283821106,0.9370371103286744,69,0.8907103538513184,0.693617045879364,0.9172242283821106,0.8628002405166626,0.6686354279518127,0.9012801051139832,0.8628002405166626,0.872856855392456,0.872856855392456,0.8817204236984253,0.028009742498397827,0.028183717280626297,0.8831505179405212,0.9418604373931884,0.9878048896789552,0.894444465637207,0.692307710647583,0.707317054271698,0.8833782076835632,0.915245532989502,0.8709677457809448,0.8125,0.7799042463302612
kenn_bottom_up_adapter_bert_ms,2,3b0tvbcf,0.8856973648071289,0.8833333849906921,0.9056808948516846,0.19,0.028514688834547997,0.911224126815796,0.027661796659231182,0.8983344435691833,0.90321683883667,0.8833333849906921,0.9274240136146544,0.9666666388511658,0.7878788113594055,0.9056808948516846,0.027835767716169357,0.8804348111152649,0.9274240136146544,0.9629629850387572,0.375,0.02922755852341652,0.8999999761581421,0.8813559412956238,0.9131486415863036,0.8756756782531738,0.9135757684707642,0.8983344435691833,0.9135757684707642,0.90625,0.8950650095939636,0.879469096660614,0.8833333849906921,0.9204477667808532,0.9333333969116212,67,0.8852459192276001,0.931034505367279,0.9204477667808532,0.8621799349784851,0.8791128396987915,0.9131486415863036,0.8621799349784851,0.8822214007377625,0.8822214007377625,0.8709677457809448,0.027661796659231182,0.027661796659231182,0.90321683883667,0.9418604373931884,0.9878048896789552,0.888888955116272,0.8125000596046448,0.9354838132858276,0.872625470161438,0.9105691313743592,0.8387096524238586,0.8125,0.907563090324402
kenn_hybrid_adapter_bert_ms,1,3ha7ywmc,0.47193849086761475,0.9222222566604614,0.8972144722938538,0.5800000000000001,0.028696145862340927,0.6009050607681274,0.028616270050406456,0.8987670540809631,0.8793461322784424,0.9138129353523254,0.9177684783935548,0.9666666388511658,0.5957446694374084,0.8972144722938538,0.028183717280626297,0.45355191826820374,0.9177684783935548,0.4482758641242981,0.375,0.02922755666077137,0.8999999761581421,0.5777778029441833,0.8956671953201294,0.6014493107795715,0.91380774974823,0.8987670540809631,0.91380774974823,0.3717948794364929,0.7192359566688538,0.8955981135368347,0.9055556058883668,0.9157838225364684,0.9333333969116212,78,0.8961748480796814,0.6188679337501526,0.9157838225364684,0.8634206056594849,0.6177940368652344,0.8956671953201294,0.8634206056594849,0.8713105916976929,0.8713105916976929,0.8924731016159058,0.028357690200209618,0.02887961082160473,0.8793461322784424,0.9418604373931884,0.9878048896789552,0.9000000357627869,0.7179486751556396,0.5370370149612427,0.8941308259963989,0.9163636565208436,0.9032257795333862,0.8125,0.7321428656578064
kenn_top_down_adapter_bert_ms,1,3utxiu9o,0.3796157240867615,0.9222222566604614,0.8924927711486816,0.68,0.028696145862340927,0.5316630005836487,0.028616270050406456,0.8987670540809631,0.8740198612213135,0.9138129353523254,0.9123173356056212,0.9666666388511658,0.4912280738353729,0.8924927711486816,0.028183717280626297,0.35775861144065857,0.9123173356056212,0.37142857909202576,0.375,0.02922755666077137,0.8999999761581421,0.5098038911819458,0.8863054513931274,0.5107691884040833,0.91380774974823,0.8987670540809631,0.91380774974823,0.27619048953056335,0.6672309041023254,0.8955980539321899,0.9055556058883668,0.9130619168281556,0.9333333969116212,78,0.8961748480796814,0.522292971611023,0.9130619168281556,0.8634206056594849,0.532957136631012,0.8863054513931274,0.8634206056594849,0.8686879277229309,0.8686879277229309,0.8924731016159058,0.028357690200209618,0.02887961082160473,0.8740198612213135,0.9418604373931884,0.9878048896789552,0.9000000357627869,0.6363636255264282,0.4296296536922455,0.8941308259963989,0.9163636565208436,0.9032257795333862,0.8125,0.6599597930908203
kenn_bottom_up_adapter_bert_ms,1,288hgc9n,0.8605042695999146,0.9222222566604614,0.9056233763694764,0.3,0.028696145862340927,0.8923293352127075,0.028616270050406456,0.8987670540809631,0.9017634391784668,0.9138129353523254,0.9274530410766602,0.9666666388511658,0.800000011920929,0.9056233763694764,0.028183717280626297,0.8556700944900513,0.9274530410766602,0.9285714030265808,0.375,0.02922755666077137,0.8999999761581421,0.8666666150093079,0.9125850796699524,0.8736841678619385,0.91380774974823,0.8987670540809631,0.91380774974823,0.8529411554336548,0.8939607739448547,0.8955981135368347,0.9055556058883668,0.9205798506736756,0.9333333969116212,77,0.8961748480796814,0.916201114654541,0.9205798506736756,0.8634206056594849,0.876995325088501,0.9125850796699524,0.8634206056594849,0.8821755647659302,0.8821755647659302,0.8924731016159058,0.028357690200209618,0.02887961082160473,0.9017634391784668,0.9418604373931884,0.9878048896789552,0.9000000357627869,0.8484848141670227,0.90625,0.8941308259963989,0.9163636565208436,0.9032257795333862,0.8125,0.9060773253440856
kenn_hybrid_adapter_bert_ms,0,3qair5qs,0.8376922607421875,0.8111112117767334,0.9044710993766784,0.23,0.026820892468094822,0.8752204179763794,0.02548683062195778,0.8970365524291992,0.9004473686218262,0.8138794898986816,0.9271631240844728,1.0,0.9230769276618958,0.9044710993766784,0.026791928336024284,0.8241758346557617,0.9271631240844728,0.8399999737739563,0.375,0.02684991993010044,0.8999999761581421,0.7368420958518982,0.9120299220085144,0.8152174353599548,0.9128798842430116,0.8970365524291992,0.9128798842430116,0.75,0.8533840775489807,0.8326108455657959,0.8166667222976685,0.9199660420417786,0.8574074506759644,86,0.8524590134620667,0.9017341136932372,0.9199660420417786,0.8585754036903381,0.823689877986908,0.9120299220085144,0.8585754036903381,0.8790130615234375,0.8790130615234375,0.8064516186714172,0.02557411417365074,0.02540013939142227,0.9004473686218262,0.9418604373931884,0.9878048896789552,0.855555534362793,0.8421053290367126,0.8571428656578064,0.8101478815078735,0.8564804792404175,0.774193525314331,0.65625,0.8764045238494873
