name,instance,run_id,test_pretraining/macro_example/recall,test_incremental/macro_example/precision,test_incremental_only/macro_types/f1,test_incremental/macro_types/precision,test_incremental_rail-railway/macro_types/f1,test_pretraining/micro/precision,test_pretraining/macro_example/f1,test_pretraining/micro/recall,test_incremental/micro/precision,test_incremental_only/macro_types/precision,test_incremental/micro/recall,test_pretraining/macro_types/recall,test_incremental_only/micro/recall,test_pretraining/macro_types/precision,test_incremental_only/micro/precision,test_incremental/macro_example_exclusive/f1,test/micro/recall,test_incremental/macro_example/recall,test_incremental_rail/macro_types/precision,test/micro/precision,test/macro_example/f1,threshold_pretraining,test_incremental_only/micro/f1,test_incremental_only/macro_types/recall,test_pretraining/macro_example/precision,test_incremental_rail-railway/macro_types/recall,test_incremental_only/macro_example/recall,test_incremental_only/macro_example_exclusive/f1,epoch,test_incremental/macro_example/f1,test_incremental_rail-railway/macro_types/precision,test/macro_types/precision,test_incremental/macro_types/f1,test_pretraining/macro_types/f1,test_incremental_rail/macro_types/recall,test/macro_types/recall,test/macro_example/precision,test_incremental_rail/macro_types/f1,test_incremental/macro_example_exclusive/recall,test/micro/f1,threshold_incremental,test_incremental_only/macro_example/precision,test_incremental/micro/f1,test_incremental_only/macro_example/f1,test_incremental/macro_example_exclusive/precision,test_incremental_only/macro_example_exclusive/recall,test_incremental_only/macro_example_exclusive/precision,test/macro_types/f1,test_pretraining/micro/f1,test_incremental/macro_types/recall,test/macro_example/recall
kenn_horizontal_adapter_bert_ms,2,3koqdqaf,0.91537344455719,0.009394572116434574,0.04218750447034836,0.5108000040054321,0.04218750447034836,0.7183666229248047,0.8361371159553528,0.898903489112854,0.03167062625288963,0.02160000056028366,0.6666666865348816,0.8623095154762268,0.8999999761581421,0.8866356611251831,0.02160000056028366,0.7659575343132019,0.898903489112854,0.006958942860364914,1.0,0.7183666229248047,0.8361371159553528,0.375,0.04218750447034836,0.8999999761581421,0.7695256471633911,0.8999999761581421,0.009394572116434574,0.9000000953674316,105,0.007995381020009518,0.02160000056028366,0.8866356611251831,0.5784169435501099,0.87430340051651,0.4333333373069763,0.8623095154762268,0.7695256471633911,0.604651153087616,0.6666667461395264,0.7985582947731018,0.99,0.009394572116434574,0.06046863272786141,0.009394572116434574,0.9000000953674316,0.9000000953674316,0.9000000953674316,0.87430340051651,0.7985582947731018,0.6666666269302368,0.91537344455719
kenn_horizontal_adapter_bert_ms,1,lhgmrkg5,0.9156344532966614,0.01009046658873558,0.46400004625320435,0.6526315808296204,0.46400004625320435,0.9011206030845642,0.9179280400276184,0.8993421196937561,0.3888888955116272,0.3052631616592407,0.699999988079071,0.8636428713798523,0.9666666388511658,0.8923088908195496,0.3052631616592407,0.812000036239624,0.8993421196937561,0.00730688963085413,1.0,0.9011206030845642,0.9179280400276184,0.375,0.46400004625320435,0.9666666388511658,0.9202331304550172,0.9666666388511658,0.01009046658873558,0.9666666984558104,51,0.00847599282860756,0.3052631616592407,0.8923088908195496,0.6754863858222961,0.8777418732643127,0.4333333373069763,0.8636428713798523,0.9202331304550172,0.604651153087616,0.7000000476837158,0.9002304673194885,0.22,0.01009046658873558,0.5,0.01009046658873558,0.9666666984558104,0.9666666984558104,0.9666666984558104,0.8777418732643127,0.9002304673194885,0.699999988079071,0.9156344532966614
kenn_horizontal_adapter_bert_ms,0,l9f4izsh,0.9154894351959229,0.00974251888692379,0.04371584579348564,0.5111910700798035,0.04371584579348564,0.7184159755706787,0.8361855745315552,0.8991228342056274,0.032436709851026535,0.022382093593478203,0.6833333373069763,0.8629761934280396,0.9333333373069764,0.8866512775421143,0.022382093593478203,0.7890034914016724,0.8991228342056274,0.0071329157799482346,1.0,0.7184159755706787,0.8361855745315552,0.375,0.04371584579348564,0.9333333373069764,0.7695256471633911,0.9333333373069764,0.00974251888692379,0.9333333969116212,107,0.00823594443500042,0.022382093593478203,0.8866512775421143,0.5848585367202759,0.8746535778045654,0.4333333373069763,0.8629761934280396,0.7695256471633911,0.604651153087616,0.6833333969116211,0.7986754179000854,0.99,0.00974251888692379,0.06193353608250618,0.00974251888692379,0.9333333969116212,0.9333333969116212,0.9333333969116212,0.8746535778045654,0.7986754179000854,0.6833333373069763,0.9154894351959229
kenn_hybrid_adapter_bert_ms,2,1wozcnir,0.9156054258346558,0.01009046658873558,0.04524180665612221,0.5115814805030823,0.04524180665612221,0.7184653282165527,0.836336612701416,0.8993421196937561,0.03320158272981644,0.02316293865442276,0.699999988079071,0.8636428713798523,0.9666666388511658,0.8866668939590454,0.02316293865442276,0.812000036239624,0.8993421196937561,0.00730688963085413,1.0,0.7184653282165527,0.836336612701416,0.375,0.04524180665612221,0.9666666388511658,0.7696995735168457,0.9666666388511658,0.01009046658873558,0.9666666984558104,54,0.00847599282860756,0.02316293865442276,0.8866668939590454,0.5911398530006409,0.875003457069397,0.4333333373069763,0.8636428713798523,0.7696995735168457,0.604651153087616,0.7000000476837158,0.7987924218177795,0.99,0.01009046658873558,0.06339623034000397,0.01009046658873558,0.9666666984558104,0.9666666984558104,0.9666666984558104,0.875003457069397,0.7987924218177795,0.699999988079071,0.9156054258346558
kenn_top_down_adapter_bert_ms,2,1c81a08i,0.9156054258346558,0.01009046658873558,0.04524180665612221,0.5115814805030823,0.04524180665612221,0.7184653282165527,0.836336612701416,0.8993421196937561,0.03320158272981644,0.02316293865442276,0.699999988079071,0.8636428713798523,0.9666666388511658,0.8866668939590454,0.02316293865442276,0.812000036239624,0.8993421196937561,0.00730688963085413,1.0,0.7184653282165527,0.836336612701416,0.375,0.04524180665612221,0.9666666388511658,0.7696995735168457,0.9666666388511658,0.01009046658873558,0.9666666984558104,57,0.00847599282860756,0.02316293865442276,0.8866668939590454,0.5911398530006409,0.875003457069397,0.4333333373069763,0.8636428713798523,0.7696995735168457,0.604651153087616,0.7000000476837158,0.7987924218177795,0.99,0.01009046658873558,0.06339623034000397,0.01009046658873558,0.9666666984558104,0.9666666984558104,0.9666666984558104,0.875003457069397,0.7987924218177795,0.699999988079071,0.9156054258346558
kenn_bottom_up_adapter_bert_ms,2,1r7s7qxa,0.9154894351959229,0.00974251888692379,0.04371584579348564,0.5111910700798035,0.04371584579348564,0.7184159755706787,0.8362882137298584,0.8991228342056274,0.032436709851026535,0.022382093593478203,0.6833333373069763,0.8629761934280396,0.9333333373069764,0.8866512775421143,0.022382093593478203,0.7890034914016724,0.8991228342056274,0.0071329157799482346,1.0,0.7184159755706787,0.8362882137298584,0.375,0.04371584579348564,0.9333333373069764,0.7696995735168457,0.9333333373069764,0.00974251888692379,0.9333333969116212,56,0.00823594443500042,0.022382093593478203,0.8866512775421143,0.5848585367202759,0.8746535778045654,0.4333333373069763,0.8629761934280396,0.7696995735168457,0.604651153087616,0.6833333969116211,0.7986754179000854,0.99,0.00974251888692379,0.06193353608250618,0.00974251888692379,0.9333333969116212,0.9333333969116212,0.9333333969116212,0.8746535778045654,0.7986754179000854,0.6833333373069763,0.9154894351959229
kenn_hybrid_adapter_bert_ms,1,2ic6jv9z,0.9151705503463744,0.008698677644133568,0.2590673565864563,0.5766870975494385,0.2590673565864563,0.8869885206222534,0.9145699143409728,0.8984649181365967,0.21590909361839297,0.1533742398023605,0.6333333253860474,0.8609762191772461,0.8333333134651184,0.8892711400985718,0.1533742398023605,0.7196969985961914,0.8984649181365967,0.0066109951585531235,1.0,0.8869885206222534,0.9145699143409728,0.375,0.2590673565864563,0.8333333134651184,0.913970112800598,0.8333333134651184,0.008698677644133568,0.833333432674408,52,0.007512494456022978,0.1533742398023605,0.8892711400985718,0.6036842465400696,0.8748949766159058,0.4333333373069763,0.8609762191772461,0.913970112800598,0.604651153087616,0.6333333253860474,0.8926898241043091,0.66,0.008698677644133568,0.32203391194343567,0.008698677644133568,0.8333333730697632,0.8333333730697632,0.8333333730697632,0.8748949766159058,0.8926898241043091,0.6333333253860474,0.9151705503463744
kenn_top_down_adapter_bert_ms,1,3ljcy7z0,0.9151705503463744,0.008698677644133568,0.21645022928714752,0.5621890425682068,0.21645022928714752,0.8797509074211121,0.912328839302063,0.8984649181365967,0.17757008969783783,0.12437810748815536,0.6333333253860474,0.8609762191772461,0.8333333134651184,0.8886911869049072,0.12437810748815536,0.7196969985961914,0.8984649181365967,0.0066109951585531235,1.0,0.8797509074211121,0.912328839302063,0.375,0.21645022928714752,0.8333333134651184,0.909504771232605,0.8333333134651184,0.008698677644133568,0.833333432674408,54,0.007512494456022978,0.12437810748815536,0.8886911869049072,0.5956443548202515,0.8746141791343689,0.4333333373069763,0.8609762191772461,0.909504771232605,0.604651153087616,0.6333333253860474,0.8890093564987183,0.7100000000000001,0.008698677644133568,0.27737224102020264,0.008698677644133568,0.8333333730697632,0.8333333730697632,0.8333333730697632,0.8746141791343689,0.8890093564987183,0.6333333253860474,0.9151705503463744
kenn_bottom_up_adapter_bert_ms,1,2lg86spg,0.9151705503463744,0.008698677644133568,0.2777777910232544,0.5833333134651184,0.2777777910232544,0.8894919753074646,0.9153821468353271,0.8984649181365967,0.23312883079051971,0.1666666716337204,0.6333333253860474,0.8609762191772461,0.8333333134651184,0.88953697681427,0.1666666716337204,0.7196969985961914,0.8984649181365967,0.0066109951585531235,1.0,0.8894919753074646,0.9153821468353271,0.375,0.2777777910232544,0.8333333134651184,0.9155938625335692,0.8333333134651184,0.008698677644133568,0.833333432674408,53,0.007512494456022978,0.1666666716337204,0.88953697681427,0.6073058843612671,0.8750235438346863,0.4333333373069763,0.8609762191772461,0.9155938625335692,0.604651153087616,0.6333333253860474,0.8939559459686279,0.63,0.008698677644133568,0.340807169675827,0.008698677644133568,0.8333333730697632,0.8333333730697632,0.8333333730697632,0.8750235438346863,0.8939559459686279,0.6333333253860474,0.9151705503463744
kenn_hybrid_adapter_bert_ms,0,2e7uwyt4,0.9154894351959229,0.00974251888692379,0.04371584579348564,0.5111910700798035,0.04371584579348564,0.7184159755706787,0.8361855745315552,0.8991228342056274,0.032436709851026535,0.022382093593478203,0.6833333373069763,0.8629761934280396,0.9333333373069764,0.8866512775421143,0.022382093593478203,0.7890034914016724,0.8991228342056274,0.0071329157799482346,1.0,0.7184159755706787,0.8361855745315552,0.375,0.04371584579348564,0.9333333373069764,0.7695256471633911,0.9333333373069764,0.00974251888692379,0.9333333969116212,110,0.00823594443500042,0.022382093593478203,0.8866512775421143,0.5848585367202759,0.8746535778045654,0.4333333373069763,0.8629761934280396,0.7695256471633911,0.604651153087616,0.6833333969116211,0.7986754179000854,0.99,0.00974251888692379,0.06193353608250618,0.00974251888692379,0.9333333969116212,0.9333333969116212,0.9333333969116212,0.8746535778045654,0.7986754179000854,0.6833333373069763,0.9154894351959229
kenn_top_down_adapter_bert_ms,0,skzzip5s,0.9154894351959229,0.00974251888692379,0.04371584579348564,0.5111910700798035,0.04371584579348564,0.7184159755706787,0.8361855745315552,0.8991228342056274,0.032436709851026535,0.022382093593478203,0.6833333373069763,0.8629761934280396,0.9333333373069764,0.8866512775421143,0.022382093593478203,0.7890034914016724,0.8991228342056274,0.0071329157799482346,1.0,0.7184159755706787,0.8361855745315552,0.375,0.04371584579348564,0.9333333373069764,0.7695256471633911,0.9333333373069764,0.00974251888692379,0.9333333969116212,110,0.00823594443500042,0.022382093593478203,0.8866512775421143,0.5848585367202759,0.8746535778045654,0.4333333373069763,0.8629761934280396,0.7695256471633911,0.604651153087616,0.6833333969116211,0.7986754179000854,0.99,0.00974251888692379,0.06193353608250618,0.00974251888692379,0.9333333969116212,0.9333333969116212,0.9333333969116212,0.8746535778045654,0.7986754179000854,0.6833333373069763,0.9154894351959229
kenn_bottom_up_adapter_bert_ms,0,2vikmfpp,0.9154894351959229,0.00974251888692379,0.04371584579348564,0.5111910700798035,0.04371584579348564,0.7184159755706787,0.8361855745315552,0.8991228342056274,0.032436709851026535,0.022382093593478203,0.6833333373069763,0.8629761934280396,0.9333333373069764,0.8866512775421143,0.022382093593478203,0.7890034914016724,0.8991228342056274,0.0071329157799482346,1.0,0.7184159755706787,0.8361855745315552,0.375,0.04371584579348564,0.9333333373069764,0.7695256471633911,0.9333333373069764,0.00974251888692379,0.9333333969116212,109,0.00823594443500042,0.022382093593478203,0.8866512775421143,0.5848585367202759,0.8746535778045654,0.4333333373069763,0.8629761934280396,0.7695256471633911,0.604651153087616,0.6833333969116211,0.7986754179000854,0.99,0.00974251888692379,0.06193353608250618,0.00974251888692379,0.9333333969116212,0.9333333969116212,0.9333333969116212,0.8746535778045654,0.7986754179000854,0.6833333373069763,0.9154894351959229
