name,test_incremental/macro_example/recall/mean,test_incremental_only/macro_types/recall/mean,test/macro_types/f1/mean,test_incremental/micro/precision/mean,test_incremental/micro/f1/mean,test_incremental_rail/macro_types/f1/mean,test_incremental_only/macro_example/f1/mean,test_incremental_only/macro_types/f1/mean,test_incremental/macro_types/precision/mean,test/macro_example/recall/mean,test_incremental_rail-railway/macro_types/f1/mean,test_incremental_only/macro_example/precision/mean,test_incremental_only/macro_example_exclusive/precision/mean,test_incremental/macro_example/precision/mean,test_incremental_rail-railway/macro_types/recall/mean,test_incremental/micro/recall/mean,test_incremental_only/micro/f1/mean,test_incremental/macro_example_exclusive/f1/mean,test/micro/f1/mean,test/micro/recall/mean,threshold_incremental/mean,test_incremental_rail/macro_types/recall/mean,test_pretraining/micro/f1/mean,test_incremental_only/micro/precision/mean,test_incremental/macro_example_exclusive/precision/mean,test/macro_example/f1/mean,test_pretraining/macro_example/recall/mean,test_pretraining/macro_example/precision/mean,test_incremental_only/macro_example_exclusive/f1/mean,test_incremental_rail-railway/macro_types/precision/mean,test/macro_types/precision/mean,test_pretraining/macro_example/f1/mean,threshold_pretraining/mean,test_incremental_only/macro_types/precision/mean,test_incremental/macro_example_exclusive/recall/mean,test_pretraining/micro/recall/mean,test_pretraining/micro/precision/mean,test_pretraining/macro_types/precision/mean,test_pretraining/macro_types/recall/mean,test_incremental_only/macro_example/recall/mean,test/macro_example/precision/mean,test_incremental/macro_example/f1/mean,test_incremental/macro_types/f1/mean,test_incremental_only/micro/recall/mean,test_incremental_only/macro_example_exclusive/recall/mean,test/macro_types/recall/mean,test_pretraining/macro_types/f1/mean,test/micro/precision/mean,test_incremental_rail/macro_types/precision/mean,epoch/mean,test_incremental/macro_types/recall/mean,test_incremental/macro_example/recall/std,test_incremental_only/macro_types/recall/std,test/macro_types/f1/std,test_incremental/micro/precision/std,test_incremental/micro/f1/std,test_incremental_rail/macro_types/f1/std,test_incremental_only/macro_example/f1/std,test_incremental_only/macro_types/f1/std,test_incremental/macro_types/precision/std,test/macro_example/recall/std,test_incremental_rail-railway/macro_types/f1/std,test_incremental_only/macro_example/precision/std,test_incremental_only/macro_example_exclusive/precision/std,test_incremental/macro_example/precision/std,test_incremental_rail-railway/macro_types/recall/std,test_incremental/micro/recall/std,test_incremental_only/micro/f1/std,test_incremental/macro_example_exclusive/f1/std,test/micro/f1/std,test/micro/recall/std,threshold_incremental/std,test_incremental_rail/macro_types/recall/std,test_pretraining/micro/f1/std,test_incremental_only/micro/precision/std,test_incremental/macro_example_exclusive/precision/std,test/macro_example/f1/std,test_pretraining/macro_example/recall/std,test_pretraining/macro_example/precision/std,test_incremental_only/macro_example_exclusive/f1/std,test_incremental_rail-railway/macro_types/precision/std,test/macro_types/precision/std,test_pretraining/macro_example/f1/std,threshold_pretraining/std,test_incremental_only/macro_types/precision/std,test_incremental/macro_example_exclusive/recall/std,test_pretraining/micro/recall/std,test_pretraining/micro/precision/std,test_pretraining/macro_types/precision/std,test_pretraining/macro_types/recall/std,test_incremental_only/macro_example/recall/std,test/macro_example/precision/std,test_incremental/macro_example/f1/std,test_incremental/macro_types/f1/std,test_incremental_only/micro/recall/std,test_incremental_only/macro_example_exclusive/recall/std,test/macro_types/recall/std,test_pretraining/macro_types/f1/std,test/micro/precision/std,test_incremental_rail/macro_types/precision/std,epoch/std,test_incremental/macro_types/recall/std
no_init_box_kenn_bottom_up_adapter_bert_ms,0.006089074537158012,0.799999992052714,0.8509200215339661,0.8565789461135864,0.6931972702344259,0.523809552192688,0.008350730873644352,0.8142218391100565,0.8748890161514282,0.9066129724184672,0.8142218391100565,0.008350730873644352,0.8000000715255737,0.00846671313047409,0.799999992052714,0.5833333333333334,0.8142218391100565,0.6785385807355245,0.8920751611391703,0.8800438642501831,0.27,0.36666667461395264,0.8920751611391703,0.8331113258997599,0.8111111720403036,0.9153786897659302,0.9066129724184672,0.9243157108624777,0.8000000715255737,0.8331113258997599,0.889089822769165,0.9153786897659302,0.25,0.8331113258997599,0.5833333730697632,0.8800438642501831,0.9044402241706848,0.889089822769165,0.8158940672874451,0.008350730873644352,0.9243157108624777,0.007082865883906682,0.6994743148485819,0.799999992052714,0.8000000715255737,0.8158940672874451,0.8509200215339661,0.9044402241706848,0.9166666865348816,49.666666666666664,0.5833333532015482,0.00017397338524460793,0.03333333134651627,0.0002911136310610628,0.049982671247787734,0.007167128345734779,0.0,0.00034794677048921585,0.018079132811931325,0.033421166150413406,0.0001018222909370798,0.018079132811931325,0.00034794677048921585,0.03333330154418945,0.00040177432321121943,0.03333333134651627,0.01666668057442601,0.018079132811931325,0.023959562087288132,0.0001513895829181768,0.0002192854881286621,0.11135528725660043,0.0,0.0001513895829181768,0.06684236597910131,0.038489981239033515,0.00015434537310690972,0.0001018222909370798,0.0004059331757978643,0.03333336114883423,0.06684236597910131,0.00133686942456213,0.00015434537310690972,0.0,0.06684236597910131,0.016666650772094727,0.0002192854881286621,0.0005188083193108692,0.00133686942456213,0.0006666779518127441,0.00034794677048921585,0.0004059331757978643,0.00025010029710452935,0.004087266621757904,0.03333333134651627,0.03333330154418945,0.0006666779518127441,0.0002911136310610628,0.0005188083193108692,0.0,17.925772879665004,0.016666680574425982
no_init_box_kenn_horizontal_adapter_bert_ms,0.006437021928528945,0.8666666547457377,0.8505528966585795,0.76137242714564,0.6780806183815002,0.523809552192688,0.009046624725063642,0.7766122619311014,0.8155606190363566,0.9068449338277181,0.7766122619311014,0.009046624725063642,0.8666667143503824,0.009162607292334238,0.8666666547457377,0.6166666746139526,0.7766122619311014,0.7242228587468466,0.8916941285133362,0.8804824550946554,0.08,0.36666667461395264,0.8916941285133362,0.7144545714060465,0.8777778148651123,0.9151553511619568,0.9068449338277181,0.923619826634725,0.8666667540868124,0.7144545714060465,0.8867166837056478,0.9151553511619568,0.25,0.7144545714060465,0.6166667143503824,0.8804824550946554,0.9031961957613627,0.8867166837056478,0.8172274033228556,0.009046624725063642,0.923619826634725,0.007559737501045068,0.7007646361986796,0.8666666547457377,0.8666667143503824,0.8172274033228556,0.8505528966585795,0.9031961957613627,0.9166666865348816,46.0,0.6166666746139526,0.0003013310112580842,0.05773504068406572,0.000634286812816892,0.09814332157445332,0.025606649148285133,0.0,0.0006026620225161684,0.05341419446170075,0.05939720602231307,0.00018410825372717124,0.05341419446170075,0.0006026620225161684,0.05773504068406572,0.0008035497218211171,0.05773504068406572,0.028867485929275124,0.05341419446170075,0.04598318716573166,0.0005085125092871527,0.00037984801955909866,0.0360555127546399,0.0,0.0005085125092871527,0.11879441200226372,0.07698003130358233,0.0003114126051892662,0.00018410825372717124,0.000784458016845769,0.05773500627130803,0.11879441200226372,0.002375872722575076,0.0003114126051892662,0.0,0.11879441200226372,0.028867554754790525,0.00037984801955909866,0.0014053999008080047,0.002375872722575076,0.0011546856720679145,0.0006026620225161684,0.000784458016845769,0.0004799915641306461,0.010365289627895475,0.05773504068406572,0.05773504068406572,0.0011546856720679145,0.000634286812816892,0.0014053999008080047,0.0,24.331050121192877,0.028867485929275124
no_init_box_kenn_hybrid_adapter_bert_ms,0.006147065665572882,0.8111111124356588,0.851470430692037,0.8909735282262167,0.7090042432149252,0.523809552192688,0.00846671313047409,0.8438893755276998,0.8983078002929688,0.9066516359647115,0.8438893755276998,0.00846671313047409,0.8111111720403036,0.00858269538730383,0.8111111124356588,0.5888888835906982,0.8438893755276998,0.6862159371376038,0.8922814925511678,0.8801169594128927,0.37666666666666665,0.36666667461395264,0.8922814925511678,0.8799489140510559,0.8222222725550333,0.9155311584472656,0.9066516359647115,0.9245863358179728,0.8111111919085184,0.8799489140510559,0.89002658923467,0.9155311584472656,0.25,0.8799489140510559,0.588888923327128,0.8801169594128927,0.9047869642575582,0.89002658923467,0.8161162932713827,0.00846671313047409,0.9245863358179728,0.007163005570570628,0.7113396128018697,0.8111111124356588,0.8111111720403036,0.8161162932713827,0.851470430692037,0.9047869642575582,0.9166666865348816,46.666666666666664,0.588888923327128,0.00010044358080280486,0.019244990619516757,6.775871992316887e-05,0.011193162396976705,0.003348980754434832,0.0,0.00020088716160560972,0.0030901624037278272,0.007742251054216646,5.020821349318487e-05,0.0030901624037278272,0.00020088716160560972,0.019244990619516757,0.00020088716160560972,0.019244990619516757,0.009622529722516081,0.0030901624037278272,0.011487923866001436,1.3765103082417532e-05,0.00012660453560046957,0.19655363983740756,0.0,1.3765103082417532e-05,0.015484502108433293,0.019244990619516733,4.005644996967549e-05,5.020821349318487e-05,0.00013393445299185263,0.019245025032274446,0.015484502108433293,0.0003096804065965001,4.005644996967549e-05,0.0,0.015484502108433293,0.009622495309758367,0.00012660453560046957,0.00010537186409572469,0.0003096804065965001,0.0003849066949418842,0.00020088716160560972,0.00013393445299185263,0.00011991570379159172,0.004532607555733521,0.019244990619516757,0.019244990619516757,0.0003849066949418842,6.775871992316887e-05,0.00010537186409572469,0.0,16.441816606851365,0.009622495309758367
no_init_box_kenn_top_down_adapter_bert_ms,0.006437021928528945,0.8666666547457377,0.8504637877146403,0.7500842412312826,0.6684861977895101,0.523809552192688,0.0090466250355045,0.7621129751205444,0.8108706076939901,0.9068449338277181,0.7621129751205444,0.0090466250355045,0.8666667143503824,0.009162607292334238,0.8666666547457377,0.6166666746139526,0.7621129751205444,0.724354883035024,0.8914968967437744,0.8804824550946554,0.4566666666666667,0.36666667461395264,0.8914968967437744,0.7050745288530985,0.8777778148651123,0.9151836037635803,0.9068449338277181,0.9236778219540914,0.8666667342185974,0.7050745288530985,0.8865290880203247,0.9151836037635803,0.25,0.7050745288530985,0.6166667143503824,0.8804824550946554,0.9027939637502035,0.8865290880203247,0.8172274033228556,0.0090466250355045,0.9236778219540914,0.007561115858455499,0.6969682176907858,0.8666666547457377,0.8666667143503824,0.8172274033228556,0.8504637877146403,0.9027939637502035,0.9166666865348816,40.0,0.6166666746139526,0.0004602910161149698,0.08819169384796602,0.0006651577692061664,0.14756103876958487,0.04233905932580967,0.0,0.0009205816802230941,0.0832420767498887,0.08501680848324517,0.00029040890954921966,0.0832420767498887,0.0009205816802230941,0.08819169384796594,0.0008035497218211174,0.08819169384796602,0.04409586945242499,0.0832420767498887,0.05637338875087403,0.0009384963066356761,0.0005802086604075053,0.3695041722813605,0.0,0.0009384963066356761,0.1700336169664903,0.07698003130358233,0.0004226019629339796,0.00029040890954921966,0.0011583675703134883,0.08819168258374804,0.1700336169664903,0.003400660876994048,0.0004226019629339796,0.0,0.1700336169664903,0.04409588071664168,0.0005802086604075053,0.0025166280954332133,0.003400660876994048,0.0017638302724212018,0.0009205816802230941,0.0011583675703134883,0.0005884490218168243,0.00944988017929664,0.08819169384796602,0.08819169384796594,0.0017638302724212018,0.0006651577692061664,0.0025166280954332133,0.0,12.529964086141668,0.044095813131325295
no_init_kenn_bottom_up_adapter_bert_ms,0.006900951266288757,0.8888888955116272,0.8797409137090048,0.6515388637781144,0.5965718328952789,0.604651153087616,0.009278589859604836,0.6400728722413381,0.7991177241007487,0.9153348207473755,0.6400728722413381,0.009278589859604836,0.888888935248057,0.009278589859604836,0.8888888955116272,0.6611110965410868,0.6400728722413381,0.7580930987993876,0.900734523932139,0.8988304138183594,0.64,0.4333333373069763,0.900734523932139,0.5982354531685511,0.888888935248057,0.9186235666275024,0.9153348207473755,0.921980619430542,0.888888935248057,0.5982354531685511,0.8981683452924093,0.9186235666275024,0.375,0.5982354531685511,0.6611111561457316,0.8988304138183594,0.90277632077535,0.8981683452924093,0.8620873093605042,0.009278589859604836,0.921980619430542,0.007913289126008749,0.711042602856954,0.8888888955116272,0.888888935248057,0.8620873093605042,0.8797409137090048,0.90277632077535,1.0,29.0,0.6611111164093018,0.0005314983857347285,0.10183500937362319,0.002818171394549553,0.3866289132966839,0.2398357332111324,0.0,0.0010629958569288,0.325830333838929,0.19380996533403283,0.000354324737779438,0.325830333838929,0.0010629958569288,0.10183497685662425,0.0010629958569288,0.10183500937362319,0.05091749168001303,0.325830333838929,0.07048645579111494,0.008716736822500126,0.0006699607491975616,0.546168472176855,0.0,0.008716736822500126,0.38761992212630075,0.10183497685662425,0.005184119429589485,0.000354324737779438,0.010739734907452718,0.10183497685662425,0.38761992212630075,0.007752400548832029,0.005184119429589485,0.0,0.38761992212630075,0.05091755021061102,0.0006699607491975616,0.01802963360506862,0.007752400548832029,0.002036708772084948,0.0010629958569288,0.010739734907452718,0.0007357668231661577,0.06512589208697073,0.10183500937362319,0.10183497685662425,0.002036708772084948,0.002818171394549553,0.01802963360506862,0.0,11.789826122551595,0.050917524197016326
no_init_kenn_horizontal_adapter_bert_ms,0.006668986442188422,0.8444444338480631,0.8802400827407837,0.7755555510520935,0.699643075466156,0.604651153087616,0.008814660211404165,0.7617049018541971,0.8485119938850403,0.9151801864306132,0.7617049018541971,0.008814660211404165,0.8444444934527079,0.008814660211404165,0.8444444338480631,0.6388888756434122,0.7617049018541971,0.7274170517921448,0.9052214423815409,0.8985380132993063,0.9333333333333332,0.4333333373069763,0.9052214423815409,0.6970240076382955,0.8444444934527079,0.921213686466217,0.9151801864306132,0.9273273746172587,0.8444445331891378,0.6970240076382955,0.900144120057424,0.921213686466217,0.375,0.6970240076382955,0.6388888955116272,0.8985380132993063,0.9120053052902222,0.900144120057424,0.8611984252929688,0.008814660211404165,0.9273273746172587,0.0075930797805388766,0.7285515268643697,0.8444444338480631,0.8444444934527079,0.8611984252929688,0.8802400827407837,0.9120053052902222,1.0,29.333333333333332,0.6388888756434122,0.0001004438496524743,0.01924502503227447,0.0005971843080729234,0.06257835789006667,0.02119512480593197,0.0,0.0002008876993049486,0.03936782311301697,0.037919937027412066,6.696722649597039e-05,0.03936782311301697,0.0002008876993049486,0.01924502503227447,0.0002008876993049486,0.01924502503227447,0.00962249530975839,0.03936782311301697,0.013371524372525725,0.0003520047528275232,0.00012660453560044553,0.03511884584284244,0.0,0.0003520047528275232,0.07583986566570068,0.01924502503227447,0.000275565217130869,6.696722649597039e-05,0.0005866115577014311,0.019244990619516733,0.07583986566570068,0.0015168034295204534,0.000275565217130869,0.0,0.07583986566570068,0.009622529722516081,0.00012660453560044553,0.0008117302507508616,0.0015168034295204534,0.00038487228218417015,0.0002008876993049486,0.0005866115577014311,0.00013957787640596307,0.01022588968890037,0.01924502503227447,0.01924502503227447,0.00038487228218417015,0.0005971843080729234,0.0008117302507508616,0.0,11.372481406154654,0.00962249530975839
no_init_kenn_hybrid_adapter_bert_ms,0.006842960293094317,0.8777777751286825,0.8813359340031942,0.835166315237681,0.7306591669718424,0.604651153087616,0.009162607602775097,0.8154425819714864,0.8877394795417786,0.9152961770693461,0.8154425819714864,0.009162607602775097,0.8777778347333273,0.009162607602775097,0.8777777751286825,0.6555555462837219,0.8154425819714864,0.7503264745076498,0.9056424299875895,0.8987572987874349,0.8099999999999999,0.4333333373069763,0.9056424299875895,0.7754789392153422,0.8777778347333273,0.9216061234474182,0.9152961770693461,0.928003986676534,0.8777778148651123,0.7754789392153422,0.9017132123311361,0.9216061234474182,0.375,0.7754789392153422,0.6555556058883667,0.8987572987874349,0.912635087966919,0.9017132123311361,0.8618650833765665,0.009162607602775097,0.928003986676534,0.007832218116770187,0.7519397139549255,0.8777777751286825,0.8777778347333273,0.8618650833765665,0.8813359340031942,0.912635087966919,1.0,27.666666666666668,0.6555555661519369,0.0006109751568941022,0.11706282664221046,0.0008980807181691408,0.08495795731755172,0.025749212739735464,0.0,0.00122194982760345,0.04551207529769224,0.050579047117498034,0.00040728633318046003,0.04551207529769224,0.00122194982760345,0.11706276723927372,0.00122194982760345,0.11706282664221046,0.05853138503399429,0.04551207529769224,0.08114861534100765,0.00034176469802282817,0.0007701647282682954,0.2946183972531247,0.0,0.00034176469802282817,0.10115812629230937,0.11706276723927372,0.00021992444444109333,0.00040728633318046003,0.0005219280722593289,0.11706279552638878,0.10115812629230937,0.0020231655600183723,0.00021992444444109333,0.0,0.10115812629230937,0.058531444436929696,0.0007701647282682954,0.0011343803990140778,0.0020231655600183723,0.0023412677346228233,0.00122194982760345,0.0005219280722593289,0.0008470625644942288,0.028698778389445623,0.11706282664221046,0.11706276723927372,0.0023412677346228233,0.0008980807181691408,0.0011343803990140778,0.0,9.60902353693305,0.058531416149823656
no_init_kenn_top_down_adapter_bert_ms,0.006900951266288757,0.8888888955116272,0.8795808752377828,0.6344293554623922,0.5807245870431265,0.604651153087616,0.009278589859604836,0.6227109978596369,0.7908119757970175,0.9153348207473755,0.6227109978596369,0.009278589859604836,0.888888935248057,0.009278589859604836,0.8888888955116272,0.6611110965410868,0.6227109978596369,0.7580930987993876,0.8994494080543518,0.8988304138183594,0.6633333333333333,0.4333333373069763,0.8994494080543518,0.5816239366928736,0.888888935248057,0.9177715182304382,0.9153348207473755,0.9202911655108134,0.888888935248057,0.5816239366928736,0.8978361090024313,0.9177715182304382,0.375,0.5816239366928736,0.6611111561457316,0.8988304138183594,0.9002638459205627,0.8978361090024313,0.8620873093605042,0.009278589859604836,0.9202911655108134,0.007913289126008749,0.7070257862408956,0.8888888955116272,0.888888935248057,0.8620873093605042,0.8795808752377828,0.9002638459205627,1.0,29.0,0.6611111164093018,0.0005314983857347285,0.10183500937362319,0.0029260620635404903,0.40091235127518315,0.2616434081658152,0.0,0.0010629958569288,0.3455667568580663,0.1984906892982561,0.000354324737779438,0.3455667568580663,0.0010629958569288,0.10183497685662425,0.0010629958569288,0.10183500937362319,0.05091749168001303,0.3455667568580663,0.07048645579111494,0.01085643745458382,0.0006699607491975616,0.5485739087245521,0.0,0.01085643745458382,0.3969814041259194,0.10183497685662425,0.006586130294211358,0.000354324737779438,0.013516690997406927,0.10183497685662425,0.3969814041259194,0.007939640526721525,0.006586130294211358,0.0,0.3969814041259194,0.05091755021061102,0.0006699607491975616,0.022206361991153306,0.007939640526721525,0.002036708772084948,0.0010629958569288,0.013516690997406927,0.0007357668231661577,0.06899351448836925,0.10183500937362319,0.10183497685662425,0.002036708772084948,0.0029260620635404903,0.022206361991153306,0.0,11.789826122551595,0.050917524197016326
smart_init_box_adapter_bert_ms,0.006495013056943814,0.8777777751286825,0.8506085673967997,0.7500410676002502,0.6702227592468262,0.523809552192688,0.009162607602775097,0.765571137269338,0.8122366070747375,0.9068835775057474,0.765571137269338,0.009162607602775097,0.8777778347333273,0.009278589859604836,0.8777777751286825,0.6222222248713175,0.765571137269338,0.7319965163866679,0.891472339630127,0.8805555502573649,0.5166666666666667,0.36666667461395264,0.891472339630127,0.7078065176804861,0.888888935248057,0.915222148100535,0.9068835775057474,0.9237164855003357,0.8777778347333273,0.7078065176804861,0.8865837256113688,0.915222148100535,0.25,0.7078065176804861,0.6222222844759623,0.8805555502573649,0.9026676615079244,0.8865837256113688,0.8174496094385783,0.009162607602775097,0.9237164855003357,0.007640882084767024,0.700627863407135,0.8777777751286825,0.8777778347333273,0.8174496094385783,0.8506085673967997,0.9026676615079244,0.9166666865348816,22.666666666666668,0.6222222248713175,0.0004378241275477503,0.08388702849107246,0.0010043018471947544,0.16854996428959443,0.056328215348923884,0.0,0.000875647761668747,0.10564988476536867,0.09727290744640758,0.00027657630564831477,0.10564988476536867,0.000875647761668747,0.08388702849107245,0.0007243098565372795,0.08388702849107246,0.041943543851141914,0.10564988476536867,0.0523593015046127,0.0011738011431590841,0.0005518879559579835,0.41283572196859775,0.0,0.0011738011431590841,0.19454578166145622,0.06938885774078339,0.0005331421418332142,0.00027657630564831477,0.0013392584983557745,0.08388702849107245,0.19454578166145622,0.003890913454464893,0.0005331421418332142,0.0,0.19454578166145622,0.041943543851141914,0.0005518879559579835,0.0029316392478025677,0.003890913454464893,0.00167774175417105,0.000875647761668747,0.0013392584983557745,0.0005465483830609091,0.018524270162963288,0.08388702849107246,0.08388702849107245,0.00167774175417105,0.0010043018471947544,0.0029316392478025677,0.0,9.29157324317757,0.04194348463993088
smart_init_classifier_adapter_bert_ms,0.006958942549924056,0.899999996026357,0.8803082704544067,0.6986966927846273,0.6409862339496613,0.604651153087616,0.009394572116434574,0.6932211220264435,0.8225255807240804,0.9153735041618347,0.6932211220264435,0.009394572116434574,0.9000000357627869,0.009394572116434574,0.899999996026357,0.6666666467984518,0.6932211220264435,0.7658352454503378,0.903016984462738,0.898903508981069,0.65,0.4333333373069763,0.903016984462738,0.6450512011845907,0.9000000357627869,0.9197437365849813,0.9153735041618347,0.9241765340169271,0.9000000556310018,0.6450512011845907,0.899104654788971,0.9197437365849813,0.375,0.6450512011845907,0.6666667262713114,0.898903508981069,0.907215396563212,0.899104654788971,0.8623095353444418,0.009394572116434574,0.9241765340169271,0.007994104642421007,0.7262123823165894,0.899999996026357,0.9000000357627869,0.8623095353444418,0.8803082704544067,0.907215396563212,1.0,6.666666666666667,0.6666666666666666,0.0004602910161149698,0.08819171637640413,0.0025202233915697795,0.3411061109293559,0.18458844488882123,0.0,0.0009205815042196988,0.2714882222522754,0.17792385758756227,0.0003068260640238313,0.2714882222522754,0.0009205815042196988,0.08819168258374813,0.0009205815042196988,0.08819171637640413,0.04409584692398299,0.2714882222522754,0.060966319472430267,0.005037367417250866,0.0005802086604075053,0.5458021619598075,0.0,0.005037367417250866,0.35584774956934107,0.08819168258374813,0.003438390476503874,0.0003068260640238313,0.007231961476634295,0.08819166005530804,0.35584774956934107,0.007116951473711685,0.003438390476503874,0.0,0.35584774956934107,0.04409588071664168,0.0005802086604075053,0.0107076851877674,0.007116951473711685,0.0017638415368200844,0.0009205815042196988,0.007231961476634295,0.0006363918975156725,0.05469102600563609,0.08819171637640413,0.08819168258374813,0.0017638415368200844,0.0025202233915697795,0.0107076851877674,0.0,1.1547005383792515,0.04409588071664168
