name,instance,run_id,test_incremental/macro_example/recall,test_incremental_only/macro_types/recall,test/macro_types/f1,test_incremental/micro/precision,test_incremental/micro/f1,test_incremental_rail/macro_types/f1,test_incremental_only/macro_example/f1,test_incremental_only/macro_types/f1,test_incremental/macro_types/precision,test/macro_example/recall,test_incremental_rail-railway/macro_types/f1,test_incremental_only/macro_example/precision,test_incremental_only/macro_example_exclusive/precision,test_incremental/macro_example/precision,test_incremental_rail-railway/macro_types/recall,test_incremental/micro/recall,test_incremental_only/micro/f1,test_incremental/macro_example_exclusive/f1,test/micro/f1,test/micro/recall,threshold_incremental,test_incremental_rail/macro_types/recall,test_pretraining/micro/f1,test_incremental_only/micro/precision,test_incremental/macro_example_exclusive/precision,test/macro_example/f1,test_pretraining/macro_example/recall,test_pretraining/macro_example/precision,test_incremental_only/macro_example_exclusive/f1,test_incremental_rail-railway/macro_types/precision,test/macro_types/precision,test_pretraining/macro_example/f1,threshold_pretraining,test_incremental_only/macro_types/precision,test_incremental/macro_example_exclusive/recall,test_pretraining/micro/recall,test_pretraining/micro/precision,test_pretraining/macro_types/precision,test_pretraining/macro_types/recall,test_incremental_only/macro_example/recall,test/macro_example/precision,test_incremental/macro_example/f1,test_incremental/macro_types/f1,test_incremental_only/micro/recall,test_incremental_only/macro_example_exclusive/recall,test/macro_types/recall,test_pretraining/macro_types/f1,test/micro/precision,test_incremental_rail/macro_types/precision,epoch,test_incremental/macro_types/recall
no_init_box_kenn_horizontal_adapter_bert_ms,2,wb9exxv7,0.006263048388063908,0.8333333134651184,0.8501923680305481,0.7659574747085571,0.672897219657898,0.523809552192688,0.008698677644133568,0.7692307233810425,0.8154761791229248,0.9067386388778688,0.7692307233810425,0.008698677644133568,0.8333333730697632,0.008698677644133568,0.8333333134651184,0.6000000238418579,0.7692307233810425,0.6976744532585144,0.8917027711868286,0.8802631497383118,0.11,0.36666667461395264,0.8917027711868286,0.7142857313156128,0.8333333730697632,0.9150729179382324,0.9067386388778688,0.9235618114471436,0.833333432674408,0.7142857313156128,0.8867133259773254,0.9150729179382324,0.25,0.7142857313156128,0.6000000238418579,0.8802631497383118,0.9034436345100404,0.8867133259773254,0.8165607452392578,0.008698677644133568,0.9235618114471436,0.00728261424228549,0.6913372874259949,0.8333333134651184,0.8333333730697632,0.8165607452392578,0.8501923680305481,0.9034436345100404,0.9166666865348816,34,0.6000000238418579
no_init_box_kenn_horizontal_adapter_bert_ms,1,cblk49hq,0.006784969009459019,0.9333333373069764,0.8501810431480408,0.6610169410705566,0.6554622054100037,0.523809552192688,0.00974251888692379,0.7272727489471436,0.756205677986145,0.907057523727417,0.7272727489471436,0.00974251888692379,0.9333333969116212,0.01009046658873558,0.9333333373069764,0.6499999761581421,0.7272727489471436,0.7773196697235107,0.8911813497543335,0.8809210658073425,0.09,0.36666667461395264,0.8911813497543335,0.5957446694374084,0.9666666984558104,0.9148934483528136,0.907057523727417,0.9228659868240356,0.9333333969116212,0.5957446694374084,0.8843424916267395,0.9148934483528136,0.25,0.5957446694374084,0.6500000953674316,0.8809210658073425,0.901683509349823,0.8843424916267395,0.8185607194900513,0.00974251888692379,0.9228659868240356,0.008113984018564224,0.6990921497344971,0.9333333373069764,0.9333333969116212,0.8185607194900513,0.8501810431480408,0.901683509349823,0.9166666865348816,74,0.6499999761581421
no_init_box_kenn_horizontal_adapter_bert_ms,0,zlukn0kc,0.006263048388063908,0.8333333134651184,0.8512852787971497,0.8571428656578064,0.7058824300765991,0.523809552192688,0.008698677644133568,0.8333333134651184,0.875,0.9067386388778688,0.8333333134651184,0.008698677644133568,0.8333333730697632,0.008698677644133568,0.8333333134651184,0.6000000238418579,0.8333333134651184,0.6976744532585144,0.8921982645988464,0.8802631497383118,0.04,0.36666667461395264,0.8921982645988464,0.8333333134651184,0.8333333730697632,0.9154996871948242,0.9067386388778688,0.9244316816329956,0.833333432674408,0.8333333134651184,0.8890942335128784,0.9154996871948242,0.25,0.8333333134651184,0.6000000238418579,0.8802631497383118,0.9044614434242249,0.8890942335128784,0.8165607452392578,0.008698677644133568,0.9244316816329956,0.00728261424228549,0.7118644714355469,0.8333333134651184,0.8333333730697632,0.8165607452392578,0.8512852787971497,0.9044614434242249,0.9166666865348816,30,0.6000000238418579
no_init_box_kenn_hybrid_adapter_bert_ms,2,fqal11z5,0.00626304792240262,0.8333333134651184,0.8515486717224121,0.8780487775802612,0.7128713130950928,0.523809552192688,0.008698677644133568,0.8474575877189636,0.8893678188323975,0.906709611415863,0.8474575877189636,0.008698677644133568,0.8333333730697632,0.008698677644133568,0.8333333134651184,0.6000000238418579,0.8474575877189636,0.6976744532585144,0.8922973871231079,0.8802631497383118,0.48,0.36666667461395264,0.8922973871231079,0.8620689511299133,0.8333333730697632,0.91548490524292,0.906709611415863,0.9244316816329956,0.833333432674408,0.8620689511299133,0.8896690011024475,0.91548490524292,0.25,0.8620689511299133,0.6000000238418579,0.8802631497383118,0.9046652913093568,0.8896690011024475,0.8165607452392578,0.008698677644133568,0.9244316816329956,0.00728261424228549,0.7165734171867371,0.8333333134651184,0.8333333730697632,0.8165607452392578,0.8515486717224121,0.9046652913093568,0.9166666865348816,59,0.6000000238418579
no_init_box_kenn_top_down_adapter_bert_ms,2,0ih21u79,0.006263048388063908,0.8333333134651184,0.8510386943817139,0.8372092843055725,0.6990290880203247,0.523809552192688,0.008698677644133568,0.819672167301178,0.8615591526031494,0.9067386388778688,0.819672167301178,0.008698677644133568,0.8333333730697632,0.008698677644133568,0.8333333134651184,0.6000000238418579,0.819672167301178,0.6976744532585144,0.892099142074585,0.8802631497383118,0.67,0.36666667461395264,0.892099142074585,0.8064516186714172,0.8333333730697632,0.9154143929481506,0.9067386388778688,0.924257755279541,0.833333432674408,0.8064516186714172,0.8885565996170044,0.9154143929481506,0.25,0.8064516186714172,0.6000000238418579,0.8802631497383118,0.9042577147483826,0.8885565996170044,0.8165607452392578,0.008698677644133568,0.924257755279541,0.00728261424228549,0.7073754072189331,0.8333333134651184,0.8333333730697632,0.8165607452392578,0.8510386943817139,0.9042577147483826,0.9166666865348816,39,0.6000000238418579
no_init_box_kenn_bottom_up_adapter_bert_ms,2,t902wx3s,0.00626304792240262,0.8333333134651184,0.8505901098251343,0.800000011920929,0.6857142448425293,0.523809552192688,0.008698677644133568,0.7936508059501648,0.8371212482452393,0.906709611415863,0.7936508059501648,0.008698677644133568,0.8333333730697632,0.008698677644133568,0.8333333134651184,0.6000000238418579,0.7936508059501648,0.6976744532585144,0.891900897026062,0.8802631497383118,0.29000000000000004,0.36666667461395264,0.891900897026062,0.7575757503509521,0.8333333730697632,0.9152004718780518,0.906709611415863,0.9238517880439758,0.833333432674408,0.7575757503509521,0.887579083442688,0.9152004718780518,0.25,0.7575757503509521,0.6000000238418579,0.8802631497383118,0.9038504958152772,0.887579083442688,0.8165607452392578,0.008698677644133568,0.9238517880439758,0.00728261424228549,0.6989984512329102,0.8333333134651184,0.8333333730697632,0.8165607452392578,0.8505901098251343,0.9038504958152772,0.9166666865348816,59,0.6000000238418579
no_init_box_kenn_hybrid_adapter_bert_ms,1,3wdb1srg,0.006089074537158012,0.800000011920929,0.8514313101768494,0.8974359035491943,0.7070707082748413,0.523809552192688,0.008350730873644352,0.8421052694320679,0.9027777910232544,0.9066226482391356,0.8421052694320679,0.008350730873644352,0.8000000715255737,0.008698677644133568,0.800000011920929,0.5833333134651184,0.8421052694320679,0.686274528503418,0.8922735452651978,0.8800438642501831,0.5,0.36666667461395264,0.8922735452651978,0.8888888955116272,0.8333333730697632,0.9155542850494384,0.9066226482391356,0.9246636629104614,0.8000000715255737,0.8888888955116272,0.8902053833007812,0.9155542850494384,0.25,0.8888888955116272,0.5833333730697632,0.8800438642501831,0.9048478007316588,0.8902053833007812,0.8158940672874451,0.008350730873644352,0.9246636629104614,0.007163617294281721,0.708722710609436,0.800000011920929,0.8000000715255737,0.8158940672874451,0.8514313101768494,0.9048478007316588,0.9166666865348816,53,0.5833333730697632
no_init_box_kenn_top_down_adapter_bert_ms,1,fn30o6m4,0.006089074537158012,0.800000011920929,0.8506174087524414,0.8333333134651184,0.6862744688987732,0.523809552192688,0.008350730873644352,0.8000000715255737,0.8583333492279053,0.9066226482391356,0.8000000715255737,0.008350730873644352,0.8000000715255737,0.008698677644133568,0.800000011920929,0.5833333134651184,0.8000000715255737,0.686274528503418,0.891975998878479,0.8800438642501831,0.67,0.36666667461395264,0.891975998878479,0.800000011920929,0.8333333730697632,0.915440559387207,0.9066226482391356,0.9244316816329956,0.8000000715255737,0.800000011920929,0.8884276151657104,0.915440559387207,0.25,0.800000011920929,0.5833333730697632,0.8800438642501831,0.904236137866974,0.8884276151657104,0.8158940672874451,0.008350730873644352,0.9244316816329956,0.007163617294281721,0.6946050524711609,0.800000011920929,0.8000000715255737,0.8158940672874451,0.8506174087524414,0.904236137866974,0.9166666865348816,53,0.5833333730697632
no_init_box_kenn_bottom_up_adapter_bert_ms,1,li3srea4,0.006089074537158012,0.800000011920929,0.8511407971382141,0.875,0.699999988079071,0.523809552192688,0.008350730873644352,0.8275862336158752,0.886904776096344,0.9066226482391356,0.8275862336158752,0.008350730873644352,0.8000000715255737,0.008698677644133568,0.800000011920929,0.5833333134651184,0.8275862336158752,0.686274528503418,0.892174243927002,0.8800438642501831,0.37,0.36666667461395264,0.892174243927002,0.8571428656578064,0.8333333730697632,0.91546893119812,0.9066226482391356,0.924489676952362,0.8000000715255737,0.8571428656578064,0.8895704746246338,0.91546893119812,0.25,0.8571428656578064,0.5833333730697632,0.8800438642501831,0.9046438336372375,0.8895704746246338,0.8158940672874451,0.008350730873644352,0.924489676952362,0.007163617294281721,0.7037786841392517,0.800000011920929,0.8000000715255737,0.8158940672874451,0.8511407971382141,0.9046438336372375,0.9166666865348816,61,0.5833333730697632
no_init_box_kenn_hybrid_adapter_bert_ms,0,qteolzjo,0.006089074537158012,0.800000011920929,0.8514313101768494,0.8974359035491943,0.7070707082748413,0.523809552192688,0.008350730873644352,0.8421052694320679,0.9027777910232544,0.9066226482391356,0.8421052694320679,0.008350730873644352,0.8000000715255737,0.008350730873644352,0.800000011920929,0.5833333134651184,0.8421052694320679,0.6746988296508789,0.8922735452651978,0.8800438642501831,0.15000000000000002,0.36666667461395264,0.8922735452651978,0.8888888955116272,0.8000000715255737,0.9155542850494384,0.9066226482391356,0.9246636629104614,0.8000000715255737,0.8888888955116272,0.8902053833007812,0.9155542850494384,0.25,0.8888888955116272,0.5833333730697632,0.8800438642501831,0.9048478007316588,0.8902053833007812,0.8158940672874451,0.008350730873644352,0.9246636629104614,0.007042785175144672,0.708722710609436,0.800000011920929,0.8000000715255737,0.8158940672874451,0.8514313101768494,0.9048478007316588,0.9166666865348816,28,0.5833333730697632
