name,instance,run_id,test/macro_types/recall,test_incremental/macro_types/f1,test_pretraining/macro_example/f1,threshold_pretraining,test_incremental/macro_example/f1,test/macro_types/f1,test_pretraining/micro/recall,test_incremental_only/macro_types/recall,test/macro_example/f1,test_incremental_rail/macro_types/f1,test_incremental/macro_example/recall,test_incremental_only/macro_example/f1,test_incremental_only/micro/precision,test_pretraining/macro_example/precision,test_incremental_only/macro_example_exclusive/f1,test/micro/precision,test/macro_example/precision,test_pretraining/macro_types/f1,test_pretraining/micro/precision,test_incremental_only/macro_example/recall,test_incremental_only/macro_types/precision,test_pretraining/micro/f1,test_incremental/micro/f1,test_incremental/macro_types/recall,test_incremental_only/macro_types/f1,test_incremental_rail-railway/macro_types/recall,epoch,test_incremental/macro_example_exclusive/precision,test_incremental_only/macro_example/precision,test_incremental/macro_example_exclusive/recall,test_incremental_only/micro/f1,test/macro_types/precision,test_incremental/micro/precision,test_incremental_only/micro/recall,test_pretraining/macro_example/recall,test_incremental_rail-railway/macro_types/precision,test_incremental_only/macro_example_exclusive/recall,test_incremental/macro_types/precision,test_incremental/macro_example_exclusive/f1,test_incremental_rail/macro_types/precision,test_incremental_rail/macro_types/recall,test_incremental_rail-railway/macro_types/f1,test_incremental/micro/recall,test_pretraining/macro_types/recall,test_pretraining/macro_types/precision,threshold_incremental,test/macro_example/recall,test_incremental/macro_example/precision,test/micro/f1,test/micro/recall,test_incremental_only/macro_example_exclusive/precision
no_init_box_kenn_horizontal_adapter_bert_ms,2,wnodm4dd,0.8158940672874451,0.6823899745941162,0.9151287078857422,0.25,0.0072788940742611885,0.8499501347541809,0.8800438642501831,0.800000011920929,0.9151287078857422,0.523809552192688,0.006089074537158012,0.008350730873644352,0.7272727489471436,0.9237357974052428,0.8000000715255737,0.9036253094673156,0.9237357974052428,0.8499501347541809,0.9036253094673156,0.008350730873644352,0.7272727489471436,0.8916786909103394,0.6666666269302368,0.5833333730697632,0.7619048357009888,0.800000011920929,50,0.8666667342185974,0.008350730873644352,0.5833333730697632,0.7619048357009888,0.8869730234146118,0.7777777910232544,0.800000011920929,0.9066805839538574,0.7272727489471436,0.8000000715255737,0.821969747543335,0.6973180770874023,0.9166666865348816,0.36666667461395264,0.7619048357009888,0.5833333134651184,0.8158940672874451,0.8869730234146118,0.01,0.9066805839538574,0.009046625345945358,0.8916786909103394,0.8800438642501831,0.8000000715255737
no_init_box_kenn_horizontal_adapter_bert_ms,1,l0ex2y83,0.8145607113838196,0.6561822295188904,0.9149673581123352,0.25,0.00680429907515645,0.8490646481513977,0.879605233669281,0.7333333492279053,0.9149673581123352,0.523809552192688,0.005741127301007509,0.007654836401343346,0.7096773982048035,0.9236778020858764,0.73333340883255,0.9035819172859192,0.9236778020858764,0.8490646481513977,0.9035819172859192,0.007654836401343346,0.7096773982048035,0.8914324045181274,0.6407766938209534,0.550000011920929,0.7213114500045776,0.7333333492279053,27,0.8000000715255737,0.007654836401343346,0.5500000715255737,0.7213114500045776,0.8866211175918579,0.7674418687820435,0.7333333492279053,0.9064196348190308,0.7096773982048035,0.73333340883255,0.8131720423698425,0.6518518924713135,0.9166666865348816,0.36666667461395264,0.7213114500045776,0.550000011920929,0.8145607113838196,0.8866211175918579,0.01,0.9064196348190308,0.008350730873644352,0.8914324045181274,0.879605233669281,0.73333340883255
no_init_box_kenn_horizontal_adapter_bert_ms,0,si81xv1d,0.8158940672874451,0.6990786790847778,0.915440559387207,0.25,0.007042785175144672,0.8508701920509338,0.8800438642501831,0.800000011920929,0.915440559387207,0.523809552192688,0.006089074537158012,0.008350730873644352,0.8275862336158752,0.9244316816329956,0.8000000715255737,0.9044399261474608,0.9244316816329956,0.8508701920509338,0.9044399261474608,0.008350730873644352,0.8275862336158752,0.8920751810073853,0.6930692791938782,0.5833333730697632,0.813559353351593,0.800000011920929,48,0.8000000715255737,0.008350730873644352,0.5833333730697632,0.813559353351593,0.8889793157577515,0.8536585569381714,0.800000011920929,0.9066226482391356,0.8275862336158752,0.8000000715255737,0.8721264600753784,0.6746988296508789,0.9166666865348816,0.36666667461395264,0.813559353351593,0.5833333134651184,0.8158940672874451,0.8889793157577515,0.02,0.9066226482391356,0.008350730873644352,0.8920751810073853,0.8800438642501831,0.8000000715255737
no_init_box_kenn_hybrid_adapter_bert_ms,2,d6tkwmg4,0.8165607452392578,0.695084273815155,0.9152584671974182,0.25,0.00740178395062685,0.8503854274749756,0.8802631497383118,0.8333333134651184,0.9152584671974182,0.523809552192688,0.00626304792240262,0.008698677644133568,0.7352941036224365,0.9239097833633424,0.833333432674408,0.903647005558014,0.9239097833633424,0.8503854274749756,0.903647005558014,0.008698677644133568,0.7352941036224365,0.8918018341064453,0.6792453527450562,0.6000000238418579,0.78125,0.8333333134651184,42,0.8666667342185974,0.008698677644133568,0.6000000238418579,0.78125,0.8871334791183472,0.782608687877655,0.8333333134651184,0.9067675471305848,0.7352941036224365,0.8333333730697632,0.8259804248809814,0.7090909481048584,0.9166666865348816,0.36666667461395264,0.78125,0.6000000238418579,0.8165607452392578,0.8871334791183472,0.04,0.9067675471305848,0.009046625345945358,0.8918018341064453,0.8802631497383118,0.8333333730697632
no_init_box_kenn_top_down_adapter_bert_ms,2,jlqpgdre,0.8165607452392578,0.695084273815155,0.9152584671974182,0.25,0.00740178395062685,0.8503854274749756,0.8802631497383118,0.8333333134651184,0.9152584671974182,0.523809552192688,0.00626304792240262,0.008698677644133568,0.7352941036224365,0.9239097833633424,0.833333432674408,0.903647005558014,0.9239097833633424,0.8503854274749756,0.903647005558014,0.008698677644133568,0.7352941036224365,0.8918018341064453,0.6792453527450562,0.6000000238418579,0.78125,0.8333333134651184,42,0.8666667342185974,0.008698677644133568,0.6000000238418579,0.78125,0.8871334791183472,0.782608687877655,0.8333333134651184,0.9067675471305848,0.7352941036224365,0.8333333730697632,0.8259804248809814,0.7090909481048584,0.9166666865348816,0.36666667461395264,0.78125,0.6000000238418579,0.8165607452392578,0.8871334791183472,0.2,0.9067675471305848,0.009046625345945358,0.8918018341064453,0.8802631497383118,0.8333333730697632
no_init_box_kenn_bottom_up_adapter_bert_ms,2,v0bcmomt,0.8165607452392578,0.6913372874259949,0.9152584671974182,0.25,0.00740178395062685,0.8501923680305481,0.8802631497383118,0.8333333134651184,0.9152584671974182,0.523809552192688,0.00626304792240262,0.008698677644133568,0.7142857313156128,0.9239097833633424,0.833333432674408,0.9034436345100404,0.9239097833633424,0.8501923680305481,0.9034436345100404,0.008698677644133568,0.7142857313156128,0.8917027711868286,0.672897219657898,0.6000000238418579,0.7692307233810425,0.8333333134651184,42,0.8666667342185974,0.008698677644133568,0.6000000238418579,0.7692307233810425,0.8867133259773254,0.7659574747085571,0.8333333134651184,0.9067675471305848,0.7142857313156128,0.8333333730697632,0.8154761791229248,0.7090909481048584,0.9166666865348816,0.36666667461395264,0.7692307233810425,0.6000000238418579,0.8165607452392578,0.8867133259773254,0.03,0.9067675471305848,0.009046625345945358,0.8917027711868286,0.8802631497383118,0.8333333730697632
no_init_box_kenn_hybrid_adapter_bert_ms,1,7vxjisar,0.8178940415382385,0.7158909440040588,0.9153470396995544,0.25,0.007876929827034473,0.8510566353797913,0.8807017803192139,0.8999999761581421,0.9153470396995544,0.523809552192688,0.0066109951585531235,0.009394572116434574,0.7297297120094299,0.9239097833633424,0.9000000953674316,0.9034870862960817,0.9239097833633424,0.8510566353797913,0.9034870862960817,0.009394572116434574,0.7297297120094299,0.891948938369751,0.6972476840019226,0.6333333253860474,0.8059700727462769,0.8999999761581421,34,0.9333333969116212,0.009394572116434574,0.6333334445953369,0.8059700727462769,0.8870221972465515,0.7755101919174194,0.8999999761581421,0.906941533088684,0.7297297120094299,0.9000000953674316,0.8231981992721558,0.754610002040863,0.9166666865348816,0.36666667461395264,0.8059700727462769,0.6333333253860474,0.8178940415382385,0.8870221972465515,0.02,0.906941533088684,0.00974251888692379,0.891948938369751,0.8807017803192139,0.9000000953674316
no_init_box_kenn_top_down_adapter_bert_ms,1,2civppp3,0.8172273635864258,0.707517147064209,0.915287971496582,0.25,0.0076395426876842976,0.8508163690567017,0.8804824352264404,0.8666666746139526,0.915287971496582,0.523809552192688,0.0064370217733085155,0.009046625345945358,0.7428571581840515,0.9239097833633424,0.8666667342185974,0.9036687016487122,0.9239097833633424,0.8508163690567017,0.9036687016487122,0.009046625345945358,0.7428571581840515,0.8919249773025513,0.691588819026947,0.6166666746139526,0.8000000715255737,0.8666666746139526,24,0.9000000953674316,0.009046625345945358,0.6166666746139526,0.8000000715255737,0.8872847557067871,0.7872340679168701,0.8666666746139526,0.9068255424499512,0.7428571581840515,0.8666667342185974,0.8297619223594666,0.7318681478500366,0.9166666865348816,0.36666667461395264,0.8000000715255737,0.6166666746139526,0.8172273635864258,0.8872847557067871,0.12,0.9068255424499512,0.009394572116434574,0.8919249773025513,0.8804824352264404,0.8666667342185974
no_init_box_kenn_bottom_up_adapter_bert_ms,1,8pa29onf,0.8178940415382385,0.7158909440040588,0.9153470396995544,0.25,0.007876929827034473,0.8510566353797913,0.8807017803192139,0.8999999761581421,0.9153470396995544,0.523809552192688,0.0066109951585531235,0.009394572116434574,0.7297297120094299,0.9239097833633424,0.9000000953674316,0.9034870862960817,0.9239097833633424,0.8510566353797913,0.9034870862960817,0.009394572116434574,0.7297297120094299,0.891948938369751,0.6972476840019226,0.6333333253860474,0.8059700727462769,0.8999999761581421,34,0.9333333969116212,0.009394572116434574,0.6333334445953369,0.8059700727462769,0.8870221972465515,0.7755101919174194,0.8999999761581421,0.906941533088684,0.7297297120094299,0.9000000953674316,0.8231981992721558,0.754610002040863,0.9166666865348816,0.36666667461395264,0.8059700727462769,0.6333333253860474,0.8178940415382385,0.8870221972465515,0.02,0.906941533088684,0.00974251888692379,0.891948938369751,0.8807017803192139,0.9000000953674316
no_init_box_kenn_hybrid_adapter_bert_ms,0,xrmebzn9,0.8158940672874451,0.708722710609436,0.9155542850494384,0.25,0.007042785175144672,0.8514313101768494,0.8800438642501831,0.800000011920929,0.9155542850494384,0.523809552192688,0.006089074537158012,0.008350730873644352,0.8888888955116272,0.9246636629104614,0.8000000715255737,0.9048478007316588,0.9246636629104614,0.8514313101768494,0.9048478007316588,0.008350730873644352,0.8888888955116272,0.8922735452651978,0.7070707082748413,0.5833333730697632,0.8421052694320679,0.800000011920929,41,0.8000000715255737,0.008350730873644352,0.5833333730697632,0.8421052694320679,0.8902053833007812,0.8974359035491943,0.800000011920929,0.9066226482391356,0.8888888955116272,0.8000000715255737,0.9027777910232544,0.6746988296508789,0.9166666865348816,0.36666667461395264,0.8421052694320679,0.5833333134651184,0.8158940672874451,0.8902053833007812,0.09,0.9066226482391356,0.008350730873644352,0.8922735452651978,0.8800438642501831,0.8000000715255737
