name,test/micro/precision/mean,test/macro_types/recall/mean,test_incremental/micro/recall/mean,test_incremental/macro_types/precision/mean,test_incremental_rail/macro_types/recall/mean,test/macro_types/f1/mean,test_incremental_only/micro/precision/mean,test_incremental_only/macro_example_exclusive/precision/mean,test_incremental/micro/precision/mean,test_incremental_rail/macro_types/precision/mean,test/macro_example/precision/mean,test_incremental_rail/macro_types/f1/mean,test_incremental/macro_example_exclusive/recall/mean,test_incremental/macro_example/f1/mean,test_incremental/micro/f1/mean,test_pretraining/macro_types/recall/mean,test_incremental_only/macro_types/recall/mean,epoch/mean,test/micro/recall/mean,test_incremental/macro_types/f1/mean,test_incremental_only/macro_example/recall/mean,test_incremental/macro_example_exclusive/f1/mean,test_pretraining/micro/f1/mean,test_incremental_only/micro/f1/mean,test_pretraining/macro_example/recall/mean,test_pretraining/macro_types/precision/mean,test_incremental_rail-railway/macro_types/precision/mean,test/macro_example/recall/mean,test_pretraining/macro_example/precision/mean,test_incremental_only/micro/recall/mean,test_incremental_only/macro_types/precision/mean,test/macro_types/precision/mean,test_pretraining/micro/precision/mean,test_incremental_rail-railway/macro_types/f1/mean,test_incremental_only/macro_example/precision/mean,test_incremental/macro_types/recall/mean,test_incremental_only/macro_types/f1/mean,test_incremental/macro_example/precision/mean,test_incremental_only/macro_example/f1/mean,test_pretraining/micro/recall/mean,test_pretraining/macro_types/f1/mean,test_incremental/macro_example/recall/mean,test_incremental_rail-railway/macro_types/recall/mean,threshold_pretraining/mean,test_pretraining/macro_example/f1/mean,test_incremental_only/macro_example_exclusive/f1/mean,test/micro/f1/mean,test_incremental_only/macro_example_exclusive/recall/mean,test/macro_example/f1/mean,threshold_incremental/mean,test_incremental/macro_example_exclusive/precision/mean,test/micro/precision/std,test/macro_types/recall/std,test_incremental/micro/recall/std,test_incremental/macro_types/precision/std,test_incremental_rail/macro_types/recall/std,test/macro_types/f1/std,test_incremental_only/micro/precision/std,test_incremental_only/macro_example_exclusive/precision/std,test_incremental/micro/precision/std,test_incremental_rail/macro_types/precision/std,test/macro_example/precision/std,test_incremental_rail/macro_types/f1/std,test_incremental/macro_example_exclusive/recall/std,test_incremental/macro_example/f1/std,test_incremental/micro/f1/std,test_pretraining/macro_types/recall/std,test_incremental_only/macro_types/recall/std,epoch/std,test/micro/recall/std,test_incremental/macro_types/f1/std,test_incremental_only/macro_example/recall/std,test_incremental/macro_example_exclusive/f1/std,test_pretraining/micro/f1/std,test_incremental_only/micro/f1/std,test_pretraining/macro_example/recall/std,test_pretraining/macro_types/precision/std,test_incremental_rail-railway/macro_types/precision/std,test/macro_example/recall/std,test_pretraining/macro_example/precision/std,test_incremental_only/micro/recall/std,test_incremental_only/macro_types/precision/std,test/macro_types/precision/std,test_pretraining/micro/precision/std,test_incremental_rail-railway/macro_types/f1/std,test_incremental_only/macro_example/precision/std,test_incremental/macro_types/recall/std,test_incremental_only/macro_types/f1/std,test_incremental/macro_example/precision/std,test_incremental_only/macro_example/f1/std,test_pretraining/micro/recall/std,test_pretraining/macro_types/f1/std,test_incremental/macro_example/recall/std,test_incremental_rail-railway/macro_types/recall/std,threshold_pretraining/std,test_pretraining/macro_example/f1/std,test_incremental_only/macro_example_exclusive/f1/std,test/micro/f1/std,test_incremental_only/macro_example_exclusive/recall/std,test/macro_example/f1/std,threshold_incremental/std,test_incremental/macro_example_exclusive/precision/std
no_init_box_kenn_bottom_up_adapter_bert_ms,0.9046040773391724,0.8125607172648112,0.500000019868215,0.8700670798619589,0.36666667461395264,0.8490137855211893,0.8234674334526062,0.6333333651224772,0.8605841596921285,0.9166666865348816,0.9244993527730306,0.523809552192688,0.500000019868215,0.0061651805105308695,0.6284283598264059,0.8125607172648112,0.6333333253860474,47.333333333333336,0.8789473573366801,0.6309586564699808,0.006610995003332694,0.5906243125597636,0.8915907541910807,0.704708089431127,0.9061296780904134,0.8888969620068868,0.8234674334526062,0.9061296780904134,0.9244993527730306,0.6333333253860474,0.8234674334526062,0.8888969620068868,0.9046040773391724,0.704708089431127,0.006610995003332694,0.5,0.704708089431127,0.007538854299734036,0.006610995003332694,0.8789473573366801,0.8490137855211893,0.005219206679612398,0.6333333253860474,0.25,0.9152222871780396,0.6333333849906921,0.8915907541910807,0.6333333651224772,0.9152222871780396,0.03,0.7222222685813904,0.0002164888699800008,0.004807416953585915,0.12018505188323371,0.039162850891057095,0.0,0.0033030384784404096,0.07832571646968352,0.24037010376646745,0.04000627879848594,0.0,0.0002361551696865503,0.0,0.12018505188323371,0.0013984388026941706,0.1087278217454869,0.004807416953585915,0.2403700707037591,14.571661996262929,0.001581381065280707,0.1094123663396751,0.0025090822335592055,0.13397043246096646,0.0009047868406015209,0.19012433772273815,0.0007403436334675044,0.001566532653514964,0.07832571646968352,0.0007403436334675044,0.0002361551696865503,0.2403700707037591,0.07832571646968352,0.001566532653514964,0.0002164888699800008,0.19012433772273815,0.0025090822335592055,0.12018504361756,0.19012433772273815,0.0015689807648596992,0.0025090822335592055,0.001581381065280707,0.0033030384784404096,0.0012545411490674084,0.2403700707037591,0.0,0.00048479765676321036,0.2403701285634988,0.0009047868406015209,0.24037010376646745,0.00048479765676321036,0.017320508075688773,0.1503083293533309
no_init_box_kenn_horizontal_adapter_bert_ms,0.9048267404238383,0.8067829211552938,0.3555555542310079,0.9055555661519369,0.36666667461395264,0.8464867870012919,0.8944444457689921,0.34444447855154675,0.8958333333333334,0.9166666865348816,0.924489696820577,0.523809552192688,0.35555557409922284,0.004374782787635922,0.501144160827001,0.8067829211552938,0.34444444874922436,51.0,0.8770467837651571,0.5024171074231466,0.003595453609401981,0.4191042085488637,0.8907197316487631,0.4638282159964244,0.9051631887753805,0.8903164664904276,0.8944444457689921,0.9051631887753805,0.924489696820577,0.34444444874922436,0.8944444457689921,0.8903164664904276,0.9048267404238383,0.4638282159964244,0.003595453609401981,0.35555556416511536,0.4638282159964244,0.005335189091662566,0.003595453609401981,0.8770467837651571,0.8464867870012919,0.0037114358662317195,0.34444444874922436,0.25,0.9147242705027262,0.34444447855154675,0.8907197316487631,0.34444447855154675,0.9147242705027262,0.07333333333333335,0.5111111700534821,0.00017955904267468996,0.004337618612237261,0.10844011948135669,0.04589644599845345,0.0,0.0018041457159595896,0.09179284329650632,0.21688026071988728,0.036084391824351615,0.0,2.9027482404102733e-05,0.0,0.10844013398613939,0.001253416234907682,0.10698397378534141,0.004337618612237261,0.2168802309469123,19.0,0.0014268202025430792,0.10709436171767847,0.0022638856694403853,0.1200773091265205,0.0006572223290323324,0.2226105303411837,0.0006826861132998298,0.0018358464405322289,0.09179284329650632,0.0006826861132998298,2.9027482404102733e-05,0.2168802309469123,0.09179284329650632,0.0018358464405322289,0.00017955904267468996,0.2226105303411837,0.0022638856694403853,0.1084401187179478,0.2226105303411837,0.0014062115523018085,0.0022638856694403853,0.0014268202025430792,0.0018041457159595896,0.0011319427124553774,0.2168802309469123,0.0,0.00034250503261049335,0.21688026071988728,0.0006572223290323324,0.21688026071988728,0.00034250503261049335,0.1096965511460289,0.134715095339166
no_init_box_kenn_hybrid_adapter_bert_ms,0.9045359293619791,0.8125607172648112,0.500000019868215,0.8624281883239746,0.36666667461395264,0.8488750259081522,0.8081896503766378,0.6333333651224772,0.8508839805920919,0.9166666865348816,0.9244413574536642,0.523809552192688,0.500000019868215,0.0061651805105308695,0.6265126665433248,0.8125607172648112,0.6333333253860474,47.333333333333336,0.8789473573366801,0.6294838984807333,0.006610995003332694,0.5906243125597636,0.8915577530860901,0.7011654178301493,0.9061296780904134,0.8885914087295532,0.8081896503766378,0.9061296780904134,0.9244413574536642,0.6333333253860474,0.8081896503766378,0.8885914087295532,0.9045359293619791,0.7011654178301493,0.006610995003332694,0.5,0.7011654178301493,0.007538854299734036,0.006610995003332694,0.8789473573366801,0.8488750259081522,0.005219206679612398,0.6333333253860474,0.25,0.9151938756306967,0.6333333849906921,0.8915577530860901,0.6333333651224772,0.9151938756306967,0.03,0.7222222685813904,0.00033161665543529677,0.004807416953585915,0.12018505188323371,0.05236003622943514,0.0,0.003538756165189134,0.10472008779239272,0.24037010376646745,0.056698285263236996,0.0,0.00033607228023501627,0.0,0.12018505188323371,0.0013984388026941706,0.11197235362275373,0.004807416953585915,0.2403700707037591,14.571661996262929,0.001581381065280707,0.11190600910275442,0.0025090822335592055,0.13397043246096646,0.0009606589770076924,0.19615974360660313,0.0007403436334675044,0.0020944159485627124,0.10472008779239272,0.0007403436334675044,0.00033607228023501627,0.2403700707037591,0.10472008779239272,0.0020944159485627124,0.00033161665543529677,0.19615974360660313,0.0025090822335592055,0.12018504361756,0.19615974360660313,0.0015689807648596992,0.0025090822335592055,0.001581381065280707,0.003538756165189134,0.0012545411490674084,0.2403700707037591,0.0,0.0005329659904285813,0.2403701285634988,0.0009606589770076924,0.24037010376646745,0.0005329659904285813,0.017320508075688773,0.1503083293533309
no_init_box_kenn_top_down_adapter_bert_ms,0.904603918393453,0.8125607172648112,0.500000019868215,0.867559552192688,0.36666667461395264,0.8489690025647482,0.8184523781140646,0.6333333651224772,0.8582010467847189,0.9166666865348816,0.9244606892267863,0.523809552192688,0.500000019868215,0.0061651805105308695,0.6288889050483704,0.8125607172648112,0.6333333253860474,44.666666666666664,0.8789473573366801,0.6311324238777161,0.006610995003332694,0.5906243125597636,0.8915908137957255,0.7060358723004659,0.9061296780904134,0.8887966672579447,0.8184523781140646,0.9061296780904134,0.9244606892267863,0.6333333253860474,0.8184523781140646,0.8887966672579447,0.904603918393453,0.7060358723004659,0.006610995003332694,0.5,0.7060358723004659,0.007538854299734036,0.006610995003332694,0.8789473573366801,0.8489690025647482,0.005219206679612398,0.6333333253860474,0.25,0.9152033726374308,0.6333333849906921,0.8915908137957255,0.6333333651224772,0.9152033726374308,0.16333333333333333,0.7222222685813904,0.0003875857478024447,0.004807416953585915,0.12018505188323371,0.056879497354401794,0.0,0.0036473375106035716,0.11375901420118531,0.24037010376646745,0.0630207408541694,0.0,0.00035156073272474714,0.0,0.12018505188323371,0.0013984388026941706,0.1147622487042555,0.004807416953585915,0.2403700707037591,15.53490693030806,0.001581381065280707,0.11384996983509843,0.0025090822335592055,0.13397043246096646,0.0009997515591751874,0.20171102362159687,0.0007403436334675044,0.002275198107863326,0.11375901420118531,0.0007403436334675044,0.00035156073272474714,0.2403700707037591,0.11375901420118531,0.002275198107863326,0.0003875857478024447,0.20171102362159687,0.0025090822335592055,0.12018504361756,0.20171102362159687,0.0015689807648596992,0.0025090822335592055,0.001581381065280707,0.0036473375106035716,0.0012545411490674084,0.2403700707037591,0.0,0.0005439538441949131,0.2403701285634988,0.0009997515591751874,0.24037010376646745,0.0005439538441949131,0.07371114795831993,0.1503083293533309
no_init_kenn_bottom_up_adapter_bert_ms,0.9126702745755514,0.8607539733250936,0.6277777751286825,0.887196958065033,0.4333333373069763,0.8807448943456014,0.7743939359982809,0.8222222725550333,0.8358663121859232,1.0,0.9279652833938599,0.604651153087616,0.6277778148651123,0.007430213658759992,0.7138563394546509,0.8607539733250936,0.8222222129503886,72.66666666666667,0.8983918031056722,0.7336529493331909,0.00858269538730383,0.7118145028750101,0.905474325021108,0.7904761830965678,0.9151222109794617,0.9016914963722229,0.7743939359982809,0.9151222109794617,0.9279652833938599,0.8222222129503886,0.7743939359982809,0.9016914963722229,0.9126702745755514,0.7904761830965678,0.00858269538730383,0.6277777751286825,0.7904761830965678,0.00858269538730383,0.00858269538730383,0.8983918031056722,0.8807448943456014,0.006553004030138254,0.8222222129503886,0.375,0.9214987953503925,0.8222222924232483,0.905474325021108,0.8222222725550333,0.9214987953503925,0.7166666666666667,0.8222222725550333,0.0012528108832891738,0.00167774175417105,0.041943543851141914,0.06650992481532121,0.0,0.0012735023360923295,0.13301985944105624,0.08388702849107246,0.10612731607052536,0.0,0.0009211870544859627,0.0,0.04194353990374737,0.0006104797847228639,0.041076942233887505,0.00167774175417105,0.08388702849107246,31.50132272355136,0.0005518879559579835,0.031076093498520113,0.000875647761668747,0.058483988249542866,0.0005913204988967489,0.07190315318015757,0.00027862575481487104,0.002660377671920459,0.13301985944105624,0.00027862575481487104,0.0009211870544859627,0.08388702849107246,0.13301985944105624,0.002660377671920459,0.0012528108832891738,0.07190315318015757,0.000875647761668747,0.04194348463993088,0.07190315318015757,0.000875647761668747,0.000875647761668747,0.0005518879559579835,0.0012735023360923295,0.0004378238808343735,0.08388702849107246,0.0,0.0004594879514723387,0.0838870324384907,0.0005913204988967489,0.08388702849107246,0.0004594879514723387,0.07767453465154031,0.08388702849107246
no_init_kenn_horizontal_adapter_bert_ms,0.9095371961593628,0.8609761993090311,0.6333333253860474,0.8331135511398315,0.4333333373069763,0.8798167705535889,0.6662271122137705,0.8333333730697632,0.7284546295801798,1.0,0.9257229963938395,0.604651153087616,0.6333333651224772,0.007554009091109037,0.6483091115951538,0.8609761993090311,0.8333333333333334,87.66666666666667,0.8984649181365967,0.710280974706014,0.008698677954574427,0.7236740589141846,0.903957188129425,0.6931129892667135,0.9151801864306132,0.8995281656583151,0.6662271122137705,0.9151801864306132,0.9257229963938395,0.8333333333333334,0.6662271122137705,0.8995281656583151,0.9095371961593628,0.6931129892667135,0.008698677954574427,0.6333333452542623,0.6931129892667135,0.008814660521845022,0.008698677954574427,0.8984649181365967,0.8798167705535889,0.006610995313773553,0.8333333333333334,0.375,0.9204166531562805,0.8333333730697632,0.903957188129425,0.8333333730697632,0.9204166531562805,0.5666666666666668,0.8444445133209229,0.006608651245580364,0.002403708476792944,0.06009252180878,0.15181488260273648,0.0,0.0016847142545705761,0.3036297953921621,0.12018504361755994,0.2827467301513589,0.0,0.004757545809899969,0.0,0.060092530074458354,0.0008178511706051329,0.11789654040682664,0.002403708476792944,0.12018501882052557,31.77000681985028,0.0007907029312819175,0.02768918403130097,0.0012545413427942115,0.0783500795858998,0.002885089455554037,0.18513380552600578,0.0004062910303927414,0.006072558992652824,0.3036297953921621,0.0004062910303927414,0.004757545809899969,0.12018501882052557,0.3036297953921621,0.006072558992652824,0.006608651245580364,0.18513380552600578,0.0012545413427942115,0.060092497011747945,0.18513380552600578,0.001118493441647976,0.0012545413427942115,0.0007907029312819175,0.0016847142545705761,0.0006272706713971057,0.12018501882052557,0.0,0.002155473732617494,0.12018504361755994,0.002885089455554037,0.12018504361755994,0.002155473732617494,0.3028751117760146,0.10715164092219505
no_init_kenn_hybrid_adapter_bert_ms,0.9129412372907003,0.8607539733250936,0.6277777751286825,0.9030519127845764,0.4333333373069763,0.881047248840332,0.8061038057009379,0.8222222725550333,0.8599776228268942,1.0,0.9281972845395406,0.604651153087616,0.6277778148651123,0.007430213658759992,0.7227462927500407,0.8607539733250936,0.8222222129503886,72.0,0.8983918031056722,0.7390173673629761,0.00858269538730383,0.7118145028750101,0.9056077202161154,0.8070255517959595,0.9151222109794617,0.9023256897926331,0.8061038057009379,0.9151222109794617,0.9281972845395406,0.8222222129503886,0.8061038057009379,0.9023256897926331,0.9129412372907003,0.8070255517959595,0.00858269538730383,0.6277777751286825,0.8070255517959595,0.00858269538730383,0.00858269538730383,0.8983918031056722,0.881047248840332,0.006553004030138254,0.8222222129503886,0.375,0.9216132561365763,0.8222222924232483,0.9056077202161154,0.8222222725550333,0.9216132561365763,0.7799999999999999,0.8222222725550333,0.0011390426989379488,0.00167774175417105,0.041943543851141914,0.06671518726591548,0.0,0.0012409471138135036,0.13343034983706767,0.08388702849107246,0.10349812751781054,0.0,0.0008208082296322344,0.0,0.04194353990374737,0.0006104797847228639,0.038621725019800594,0.00167774175417105,0.08388702849107246,32.92415526630866,0.0005518879559579835,0.030309803835026995,0.000875647761668747,0.058483988249542866,0.0005358846086431507,0.06817139176185989,0.00027862575481487104,0.002668623022621097,0.13343034983706767,0.00027862575481487104,0.0008208082296322344,0.08388702849107246,0.13343034983706767,0.002668623022621097,0.0011390426989379488,0.06817139176185989,0.000875647761668747,0.04194348463993088,0.06817139176185989,0.000875647761668747,0.000875647761668747,0.0005518879559579835,0.0012409471138135036,0.0004378238808343735,0.08388702849107246,0.0,0.00041300797860723194,0.0838870324384907,0.0005358846086431507,0.08388702849107246,0.00041300797860723194,0.10816653826391967,0.08388702849107246
no_init_kenn_top_down_adapter_bert_ms,0.9124002655347189,0.8607539733250936,0.6277777751286825,0.8777272502581278,0.4333333373069763,0.8805633982022604,0.7554545402526855,0.8222222725550333,0.8190948367118835,1.0,0.9277526537577311,0.604651153087616,0.6277778148651123,0.007430213658759992,0.7061917583147684,0.8607539733250936,0.8222222129503886,73.66666666666667,0.8983918031056722,0.7299460172653198,0.00858269538730383,0.7118145028750101,0.9053411483764648,0.7776061693827311,0.9151222109794617,0.9013127088546753,0.7554545402526855,0.9151222109794617,0.9277526537577311,0.8222222129503886,0.7554545402526855,0.9013127088546753,0.9124002655347189,0.7776061693827311,0.00858269538730383,0.6277777751286825,0.7776061693827311,0.00858269538730383,0.00858269538730383,0.8983918031056722,0.8805633982022604,0.006553004030138254,0.8222222129503886,0.375,0.9213938117027282,0.8222222924232483,0.9053411483764648,0.8222222725550333,0.9213938117027282,0.8233333333333334,0.8222222725550333,0.0017132114412311175,0.00167774175417105,0.041943543851141914,0.08255102238982677,0.0,0.0015599870040853873,0.16510202229813514,0.08388702849107246,0.13449347565716616,0.0,0.00128934199572915,0.0,0.04194353990374737,0.0006104797847228639,0.05303736937225892,0.00167774175417105,0.08388702849107246,31.50132272355136,0.0005518879559579835,0.035352459368350096,0.000875647761668747,0.058483988249542866,0.0008163769466501508,0.09278303548647857,0.00027862575481487104,0.0033020211053480116,0.16510202229813514,0.00027862575481487104,0.00128934199572915,0.08388702849107246,0.16510202229813514,0.0033020211053480116,0.0017132114412311175,0.09278303548647857,0.000875647761668747,0.04194348463993088,0.09278303548647857,0.000875647761668747,0.000875647761668747,0.0005518879559579835,0.0015599870040853873,0.0004378238808343735,0.08388702849107246,0.0,0.0006337402043477287,0.0838870324384907,0.0008163769466501508,0.08388702849107246,0.0006337402043477287,0.1001665280087781,0.08388702849107246
smart_init_box_adapter_bert_ms,0.9047511219978333,0.8150051633516947,0.5611111124356588,0.8933141628901163,0.36666667461395264,0.8507735927899679,0.869961678981781,0.7555555899937948,0.8851473331451416,0.9166666865348816,0.9248183170954386,0.523809552192688,0.5611111720403036,0.006804544789095719,0.6863063375155131,0.8150051633516947,0.7555555701255798,18.0,0.879751443862915,0.6886743307113647,0.007886801535884539,0.6518754561742147,0.8920760949452718,0.8073655764261881,0.9064969420433044,0.8898268342018127,0.869961678981781,0.9064969420433044,0.9248183170954386,0.7555555701255798,0.869961678981781,0.8898268342018127,0.9047511219978333,0.8073655764261881,0.007886801535884539,0.5611111124356588,0.8073655764261881,0.008118766359984875,0.007886801535884539,0.879751443862915,0.8507735927899679,0.005857109713057677,0.7555555701255798,0.25,0.9155659874280294,0.7555555899937948,0.8920760949452718,0.7555555899937948,0.9155659874280294,0.37333333333333335,0.7777778307596842,0.0001728642805598743,0.002036676254991939,0.050917517693612656,0.016391428046111378,0.0,0.0013844689318265953,0.03278288939039577,0.10183504189062338,0.02147360131721717,0.0,0.00020367286804370838,0.0,0.050917517693612656,0.0006660085157549917,0.04371897802008121,0.002036676254991939,0.10183500937362319,8.717797887081348,0.0006699607491975616,0.042533851409942786,0.0010629961109678485,0.0638036285818833,0.0004212193334253081,0.07059635138433047,0.00031803908557675087,0.00065567943934371,0.03278288939039577,0.00031803908557675087,0.00020367286804370838,0.10183500937362319,0.03278288939039577,0.00065567943934371,0.0001728642805598743,0.07059635138433047,0.0010629961109678485,0.050917517693612656,0.07059635138433047,0.000875647761668747,0.0010629961109678485,0.0006699607491975616,0.0013844689318265953,0.0005314981825034518,0.10183500937362319,0.0,0.0002576482893669656,0.10183504189062338,0.0004212193334253081,0.10183504189062338,0.0002576482893669656,0.10503967504392486,0.08388706007038475
smart_init_classifier_adapter_bert_ms,0.9134703278541565,0.8603095412254333,0.6166666746139526,0.9310290416081747,0.4333333373069763,0.8813477555910746,0.8620580832163492,0.8000000715255737,0.9051556587219238,1.0,0.9283325672149658,0.604651153087616,0.6166667143503824,0.007266507018357515,0.7315018971761068,0.8603095412254333,0.799999992052714,10.333333333333334,0.898245612780253,0.740253229935964,0.008350730718423923,0.6961314479509989,0.9057937860488892,0.8245106140772501,0.915044883886973,0.903444786866506,0.8620580832163492,0.915044883886973,0.9283325672149658,0.799999992052714,0.8620580832163492,0.903444786866506,0.9134703278541565,0.8245106140772501,0.008350730718423923,0.6166666547457377,0.8245106140772501,0.008350730718423923,0.008350730718423923,0.898245612780253,0.8813477555910746,0.006437021618088086,0.799999992052714,0.375,0.9216407934824625,0.8000000913937887,0.9057937860488892,0.8000000715255737,0.9216407934824625,0.8666666666666667,0.8000000715255737,0.0002868273607320859,0.0024036836797855276,0.06009252180878,0.020531672476954723,0.0,0.0009170599808668316,0.04106328997162803,0.12018504361756,0.032752535438503,0.0,0.00014592010774096742,0.0,0.06009251354312019,0.0008780998753526622,0.034032939419607895,0.0024036836797855276,0.12018501882052555,1.1547005383792517,0.0007906781341787844,0.0387090827994745,0.0012545410844918108,0.08412198100613794,0.00027383118533383296,0.051439113698307656,0.0004063002467363877,0.0008212678887971677,0.04106328997162803,0.0004063002467363877,0.00014592010774096742,0.12018501882052555,0.04106328997162803,0.0008212678887971677,0.0002868273607320859,0.051439113698307656,0.0012545410844918108,0.06009249701174792,0.051439113698307656,0.0012545410844918108,0.0012545410844918108,0.0007906781341787844,0.0009170599808668316,0.0006272706713971055,0.12018501882052555,0.0,0.00017033335141706474,0.12018505188323374,0.00027383118533383296,0.12018504361756,0.00017033335141706474,0.0351188458428424,0.12018504361756
