name,test_pretraining/macro_example/recall/mean,threshold_pretraining/mean,test_incremental_FACILITY-ATTRACTION/macro_types/recall/mean,test_incremental_only/macro_types/recall/mean,test_pretraining/macro_types/f1/mean,test_incremental_FACILITY-BUILDING/macro_types/recall/mean,test_incremental_only/macro_types/f1/mean,test_incremental/micro/recall/mean,test_incremental_FACILITY/macro_types/precision/mean,test_incremental_FACILITY-BUILDING/macro_types/precision/mean,test_incremental/macro_types/precision/mean,test_incremental_FACILITY-AIRPORT/macro_types/f1/mean,test_incremental/macro_example/f1/mean,test_incremental_only/micro/precision/mean,test_incremental/micro/precision/mean,test/micro/f1/mean,test_incremental_only/macro_example/recall/mean,test_incremental/macro_example_exclusive/f1/mean,test_incremental_FACILITY-AIRPORT/macro_types/recall/mean,test/macro_types/precision/mean,test_pretraining/micro/recall/mean,test_incremental_FACILITY-HIGHWAY_STREET/macro_types/recall/mean,test_pretraining/macro_types/precision/mean,test_incremental/macro_types/f1/mean,test/macro_example/f1/mean,test_pretraining/macro_example/f1/mean,test_incremental/macro_example_exclusive/precision/mean,test_incremental_FACILITY-ATTRACTION/macro_types/f1/mean,test_incremental_FACILITY-BUILDING/macro_types/f1/mean,test_incremental_FACILITY-HIGHWAY_STREET/macro_types/f1/mean,test/micro/precision/mean,test_pretraining/micro/precision/mean,test_incremental_FACILITY/macro_types/recall/mean,test_incremental_FACILITY-HIGHWAY_STREET/macro_types/precision/mean,test_incremental_only/macro_example_exclusive/precision/mean,test_pretraining/micro/f1/mean,test_incremental_only/micro/f1/mean,test_pretraining/macro_types/recall/mean,test_incremental_FACILITY-AIRPORT/macro_types/precision/mean,test_incremental/macro_example/recall/mean,test_incremental/macro_types/recall/mean,test_pretraining/macro_example/precision/mean,test_incremental_only/macro_example/precision/mean,test_incremental_only/micro/recall/mean,test/macro_types/f1/mean,test_incremental/micro/f1/mean,test_incremental_only/macro_example/f1/mean,test/macro_example/precision/mean,test_incremental/macro_example_exclusive/recall/mean,test/macro_example/recall/mean,test_incremental_only/macro_example_exclusive/f1/mean,test_incremental_FACILITY/macro_types/f1/mean,test_incremental/macro_example/precision/mean,test_incremental_only/macro_types/precision/mean,epoch/mean,test/macro_types/recall/mean,test_incremental_FACILITY-ATTRACTION/macro_types/precision/mean,threshold_incremental/mean,test_incremental_only/macro_example_exclusive/recall/mean,test/micro/recall/mean,test_pretraining/macro_example/recall/std,threshold_pretraining/std,test_incremental_FACILITY-ATTRACTION/macro_types/recall/std,test_incremental_only/macro_types/recall/std,test_pretraining/macro_types/f1/std,test_incremental_FACILITY-BUILDING/macro_types/recall/std,test_incremental_only/macro_types/f1/std,test_incremental/micro/recall/std,test_incremental_FACILITY/macro_types/precision/std,test_incremental_FACILITY-BUILDING/macro_types/precision/std,test_incremental/macro_types/precision/std,test_incremental_FACILITY-AIRPORT/macro_types/f1/std,test_incremental/macro_example/f1/std,test_incremental_only/micro/precision/std,test_incremental/micro/precision/std,test/micro/f1/std,test_incremental_only/macro_example/recall/std,test_incremental/macro_example_exclusive/f1/std,test_incremental_FACILITY-AIRPORT/macro_types/recall/std,test/macro_types/precision/std,test_pretraining/micro/recall/std,test_incremental_FACILITY-HIGHWAY_STREET/macro_types/recall/std,test_pretraining/macro_types/precision/std,test_incremental/macro_types/f1/std,test/macro_example/f1/std,test_pretraining/macro_example/f1/std,test_incremental/macro_example_exclusive/precision/std,test_incremental_FACILITY-ATTRACTION/macro_types/f1/std,test_incremental_FACILITY-BUILDING/macro_types/f1/std,test_incremental_FACILITY-HIGHWAY_STREET/macro_types/f1/std,test/micro/precision/std,test_pretraining/micro/precision/std,test_incremental_FACILITY/macro_types/recall/std,test_incremental_FACILITY-HIGHWAY_STREET/macro_types/precision/std,test_incremental_only/macro_example_exclusive/precision/std,test_pretraining/micro/f1/std,test_incremental_only/micro/f1/std,test_pretraining/macro_types/recall/std,test_incremental_FACILITY-AIRPORT/macro_types/precision/std,test_incremental/macro_example/recall/std,test_incremental/macro_types/recall/std,test_pretraining/macro_example/precision/std,test_incremental_only/macro_example/precision/std,test_incremental_only/micro/recall/std,test/macro_types/f1/std,test_incremental/micro/f1/std,test_incremental_only/macro_example/f1/std,test/macro_example/precision/std,test_incremental/macro_example_exclusive/recall/std,test/macro_example/recall/std,test_incremental_only/macro_example_exclusive/f1/std,test_incremental_FACILITY/macro_types/f1/std,test_incremental/macro_example/precision/std,test_incremental_only/macro_types/precision/std,epoch/std,test/macro_types/recall/std,test_incremental_FACILITY-ATTRACTION/macro_types/precision/std,threshold_incremental/std,test_incremental_only/macro_example_exclusive/recall/std,test/micro/recall/std
no_init_box_kenn_bottom_up_adapter_bert_ms,0.8322599331537882,0.17499999999999996,0.35151515156030655,0.44898990044991177,0.7641343077023824,0.42222222685813904,0.20744548241297403,0.5344995160897573,0.9557521939277648,0.3521834748486678,0.5354797095060349,0.18499847128987312,0.07466869801282883,0.6804115610818068,0.6638597970207533,0.6503894627094269,0.05906377670665582,0.47156840562820435,0.4444444477558136,0.7526761690775553,0.8113289674123129,0.5777777830759684,0.7526761690775553,0.3766084313392639,0.6690932710965475,0.6690932710965475,0.5509920914967855,0.0673381934563319,0.17603331555922827,0.3708039013048013,0.6130722959836324,0.6130722959836324,0.6428571343421936,0.6760917374243339,0.2178160846233368,0.6503894627094269,0.18704351782798767,0.7887958089510599,0.34275840409100056,0.07880406081676483,0.4877633700768153,0.6289147635300955,0.029767515137791634,0.43047619238495827,0.7641343077023824,0.4085453376173973,0.03575503764053186,0.6289147635300955,0.4976852337519328,0.8322599331537882,0.2616282304128011,0.7686832547187805,0.08724473416805267,0.43041156108180684,43.333333333333336,0.7887958089510599,0.3506126292049885,0.006666666666666667,0.4321839064359665,0.8113289674123129,0.031883744996417177,0.0,0.5622661741990853,0.48899818102591974,0.04664283874430134,0.5178302289213332,0.199978294298359,0.256763982939834,0.0,0.5617376392262168,0.40336109700393047,0.2741816846617592,0.006181638477096163,0.5535434137179334,0.5186892605900364,0.24227726224484616,0.0683972740307515,0.03903997144946891,0.5091750761334156,0.10084024889582005,0.05756210797290393,0.3790827075403072,0.10084024889582005,0.13669176889162485,0.2628505805239415,0.2628505805239415,0.17480792550345425,0.05836765072242735,0.21883930446263747,0.29392337953049597,0.32734348934172697,0.32734348934172697,0.0,0.5610255677724144,0.14087729166838167,0.24227726224484616,0.17970572391614495,0.09779964398422428,0.5693634677883954,0.03663280836197499,0.3911985560602872,0.34413254435222507,0.019252788309583057,0.5032574154950958,0.04664283874430134,0.25500406451310326,0.027912045553527044,0.34413254435222507,0.2313536888322608,0.031883744996417177,0.20423917711012743,0.0,0.027679286078021916,0.5042013305038555,17.616280348965084,0.09779964398422428,0.562982912404221,0.005773502691896258,0.5004793589671553,0.05756210797290393
no_init_box_kenn_horizontal_adapter_bert_ms,0.8343281944592794,0.17499999999999996,0.357575756808122,0.4852272669474284,0.7754396001497904,0.4166666666666667,0.2575262213746707,0.5471331477165222,0.9557521939277648,0.3521834748486678,0.5977019220590591,0.3125288573404153,0.07623581091562907,0.6724750436842442,0.663159521917502,0.6520566642284393,0.06330505758523941,0.48146548867225647,0.522222230831782,0.7682317097981771,0.8141612013181051,0.6444444457689921,0.7682317097981771,0.4157299796740214,0.6699931621551514,0.6699931621551514,0.5460317730903625,0.07805316895246506,0.16901576270659766,0.4378604280451934,0.6134821971257528,0.6134821971257528,0.6428571343421936,0.6538695165266594,0.2477011481920878,0.6520566642284393,0.22980228314797083,0.7960432767868042,0.6760917374243339,0.0808985208471616,0.5167532563209534,0.6286005874474844,0.03385171170035998,0.45523809393246967,0.7754396001497904,0.4219306732217471,0.039928061266740165,0.6286005874474844,0.5109127461910248,0.8343281944592794,0.2921632726987203,0.7686832547187805,0.08645931134621303,0.5081893441577753,38.666666666666664,0.7960432767868042,0.3506126292049885,0.013333333333333334,0.4632183909416199,0.8141612013181051,0.02957557738206356,0.0,0.5575428191146735,0.4472715064656154,0.0262916831596032,0.5204164998665332,0.1693827770153731,0.24212881208342196,0.0,0.5617376392262168,0.3768821760800977,0.22394727385977428,0.0024899947679201825,0.5467997971644706,0.5180630032163319,0.24364397716221298,0.06372270397125589,0.015725529311231248,0.41410321814516643,0.09422052766285845,0.05428116384363506,0.3079201424207085,0.09422052766285845,0.0774126242558186,0.2636116899430971,0.2636116899430971,0.17029049710021132,0.07008545357124601,0.20707503622623336,0.3316462105503195,0.32769146270194977,0.32769146270194977,0.0,0.5428050166630923,0.07772656761252551,0.24364397716221298,0.1493543332377375,0.08945431796106693,0.5610255677724144,0.034282947380241374,0.35781722280457184,0.3438604599268397,0.01062238663031434,0.4745724904344667,0.0262916831596032,0.2623738496487503,0.021314724232486197,0.3438604599268397,0.2165131985409215,0.02957557738206356,0.1559649816290295,0.0,0.026963990876443,0.4711027203591539,10.263202878893768,0.08945431796106693,0.562982912404221,0.011547005383792516,0.4662743951288991,0.05428116384363506
no_init_box_kenn_hybrid_adapter_bert_ms,0.8307676315307617,0.17499999999999996,0.35151515156030655,0.42260101065039635,0.7611758907636007,0.3500000002483527,0.1734116847316424,0.5189504424730936,0.9557521939277648,0.3521834748486678,0.5354797045389811,0.17217796916762987,0.07311672220627467,0.6804115610818068,0.6625749592979749,0.6482595304648081,0.05607917082185546,0.46176694830258685,0.4333333373069763,0.7526761690775553,0.8078431288401285,0.5555555572112402,0.7526761690775553,0.35353851318359375,0.6682979265848795,0.6682979265848795,0.5490079522132874,0.0673381934563319,0.06742846220731735,0.3415641176203887,0.6123681664466858,0.6123681664466858,0.6428571343421936,0.6760917374243339,0.18103447804848352,0.6482595304648081,0.14327182869116464,0.7835180362065634,0.34275840409100056,0.07697140673796336,0.46665225426356,0.6288362244764963,0.02474081004038453,0.39999999726812047,0.7611758907636007,0.3929601733883222,0.031872016532967486,0.6288362244764963,0.4861111541589101,0.8307676315307617,0.23321523517370224,0.7686832547187805,0.08693056553602219,0.43041156108180684,36.666666666666664,0.7835180362065634,0.3506126292049885,0.01,0.410344826678435,0.8078431288401285,0.03293257572727278,0.0,0.5622661741990853,0.5070322069991587,0.0443268525958752,0.5634713832808926,0.15961024119090034,0.2672214792441178,0.0,0.5617376392262168,0.40336110275479525,0.25209771662183994,0.005168292980307802,0.5535434137179334,0.5175670302959107,0.2403756923037051,0.07051975032510627,0.03264025237232863,0.5131601423959934,0.10084024889582005,0.05990650183102204,0.40734006025639247,0.10084024889582005,0.11433473696597334,0.2621538979836788,0.2621538979836788,0.17296389404737578,0.05836765072242735,0.0586925234267603,0.2907714892901999,0.3267290609486941,0.3267290609486941,0.0,0.5610255677724144,0.13120451590277546,0.2403756923037051,0.12231616511321731,0.10140644659736027,0.5693634677883954,0.037902961969255536,0.40562577928338694,0.3440644670354168,0.017930871397691558,0.5237541116189196,0.0443268525958752,0.2387097381827585,0.029207546461633913,0.3440644670354168,0.2393753135096772,0.03293257572727278,0.21371867208246464,0.0,0.027387302041879287,0.5042013305038555,7.094598884597587,0.10140644659736027,0.562982912404221,0.01,0.516010029173555,0.05990650183102204
no_init_box_kenn_top_down_adapter_bert_ms,0.8319457570711771,0.17499999999999996,0.35151515156030655,0.44343434398372966,0.7635741233825684,0.42222222685813904,0.20013553649187088,0.532555878162384,0.9557521939277648,0.3521834748486678,0.5354797045389811,0.18499847128987312,0.07438828299442928,0.6804115610818068,0.6636282925804456,0.6501186986764272,0.0584354386664927,0.4697974423567454,0.4444444477558136,0.7526761690775553,0.8108932375907898,0.5555555572112402,0.7526761690775553,0.37236841519673664,0.668932318687439,0.668932318687439,0.5509920914967855,0.0673381934563319,0.17603331555922827,0.3415641176203887,0.6129812200864156,0.6129812200864156,0.6428571343421936,0.6760917374243339,0.21321838349103928,0.6501186986764272,0.17999906837940216,0.787684698899587,0.34275840409100056,0.07848989218473434,0.48331892490386963,0.6289147635300955,0.029139177097628515,0.4266666683057944,0.7635741233825684,0.4063808148105939,0.03512669960036874,0.6289147635300955,0.4957011044025421,0.8319457570711771,0.2570305292805036,0.7686832547187805,0.08724473416805267,0.43041156108180684,43.333333333333336,0.787684698899587,0.3506126292049885,0.04666666666666667,0.427586205303669,0.8108932375907898,0.03224544501501863,0.0,0.5622661741990853,0.4955641921613228,0.047539274454109014,0.5178302289213332,0.2058943071990172,0.25900526210084707,0.0,0.5617376392262168,0.40336110275479525,0.2741816846617592,0.006637662570212982,0.5535434137179334,0.5184920007745237,0.24205499358652563,0.06911218750032128,0.04191999590559182,0.5091750761334156,0.10084024889582005,0.0580645636717117,0.40734006025639247,0.10084024889582005,0.14272467605185532,0.26271433616061973,0.26271433616061973,0.17480792550345425,0.05836765072242735,0.21883930446263747,0.2907714892901999,0.3272656192276959,0.3272656192276959,0.0,0.5610255677724144,0.1488394734147181,0.24205499358652563,0.18587133032190606,0.09911284441229447,0.5693634677883954,0.03699209099227967,0.39645136495333083,0.34413254435222507,0.020340928130265026,0.5076503155934694,0.047539274454109014,0.2538646507502623,0.02886957483153451,0.34413254435222507,0.2336227352334196,0.03224544501501863,0.2112456495696139,0.0,0.027679286078021916,0.5042013305038555,17.616280348965084,0.09911284441229447,0.562982912404221,0.04509249752822894,0.5057105534018004,0.0580645636717117
no_init_kenn_bottom_up_adapter_bert_ms,0.8462927937507629,0.25,0.6121212045351664,0.6058080792427063,0.7967988848686218,0.37777777512868244,0.5944527586301168,0.6073858141899109,0.9732142686843872,0.6501782536506653,0.6701957186063131,0.570100466410319,0.0914246067404747,0.541985829671224,0.7019950151443481,0.7947793404261271,0.0755576491355896,0.5773899753888448,0.6888889074325562,0.769034186999003,0.8348583777745565,0.7444444298744202,0.769034186999003,0.6377692619959513,0.8163582682609558,0.8163582682609558,0.5992063482602438,0.6370015939076742,0.40998217463493347,0.6012077331542969,0.7587535977363586,0.7587535977363586,0.648809552192688,0.5229390660921732,0.5659003953138987,0.7947793404261271,0.5442787607510885,0.8270057439804077,0.5237899720668793,0.08822912971178691,0.6144084135691324,0.7885642449061075,0.07733794053395589,0.5676190555095673,0.7967988848686218,0.6463800072669983,0.07638824234406154,0.7885642449061075,0.5572090148925781,0.8462927937507629,0.5589511891206106,0.7785714268684387,0.09487904856602351,0.5944410761197408,57.333333333333336,0.8270057439804077,0.6808570027351379,0.06333333333333334,0.5528735518455505,0.8348583777745565,0.005748114542374019,0.0,0.16497766039800885,0.06845937964062569,0.005235184361682696,0.1797632048101328,0.02705180815812126,0.04933350377774545,0.0,0.2950348340366214,0.06423503546790427,0.12444838587580015,0.006140897971287352,0.08863060078696156,0.09146609548969005,0.0064339019071178154,0.012752903177994332,0.038782735779408224,0.07698003130358241,0.016058761371192384,0.011059745754024682,0.13877772502594468,0.016058761371192384,0.01936789000719329,0.003699353444597409,0.003699353444597409,0.033333946579188894,0.11685659013710314,0.01954160916716413,0.027880499227092015,0.020224550098188004,0.020224550098188004,0.0,0.10089971272548556,0.08290484418555664,0.0064339019071178154,0.01568052816048462,0.013691835693229395,0.21054221875828638,0.006908738728037216,0.054767512342115375,0.010477934786468062,0.01133006402175949,0.09669363291965075,0.005235184361682696,0.016617828908594822,0.011820481310472232,0.010477934786468062,0.043631990610684575,0.005748114542374019,0.08649330968621467,0.0,0.005278135722044329,0.08029377680540141,16.74315780649915,0.013691835693229395,0.08531176991695444,0.023094010767585025,0.0933160665843111,0.011059745754024682
no_init_kenn_horizontal_adapter_bert_ms,0.8458738923072815,0.25,0.6303030451138815,0.5909090836842855,0.7983378171920776,0.3333333283662796,0.5998897552490234,0.5996112823486328,0.9732142686843872,0.7107512354850769,0.6924538215001425,0.6423277854919434,0.09085328131914139,0.5936720867951711,0.740667482217153,0.7983219226201376,0.07335846622784932,0.5737817883491516,0.6777777870496114,0.7745987375577291,0.8331154783566793,0.7222222089767456,0.7745987375577291,0.6407363613446554,0.8176211714744568,0.8176211714744568,0.600859800974528,0.6033860842386881,0.44808504978815716,0.5826546053091685,0.7664722800254822,0.7664722800254822,0.648809552192688,0.5348484714825948,0.5406130254268646,0.7983219226201376,0.5653984347979227,0.8240259488423666,0.6342857082684835,0.08707718054453532,0.6024892131487528,0.7912870446840922,0.0738820806145668,0.5523809591929117,0.7983378171920776,0.6600916186968485,0.07353220134973526,0.7912870446840922,0.549933910369873,0.8458738923072815,0.5380528767903646,0.7785714268684387,0.09514085203409195,0.6222636699676514,56.666666666666664,0.8240259488423666,0.6091692845026652,0.060000000000000005,0.5367816090583801,0.8331154783566793,0.0009975914331399238,0.0,0.03784847002778666,0.03275363290424136,0.009972198945440956,0.09279606718275675,0.037172419281876465,0.008906854918982294,0.0,0.08406790556778743,0.09920608644917943,0.04215617304339634,0.002129140919018666,0.14830704162689964,0.10751027942918245,0.008772757101967664,0.0014397047889631452,0.013446571276496115,0.10715167491612136,0.024801510968955418,0.001996764889678898,0.16777408856145667,0.024801510968955418,0.025421638052931274,0.007101385151265186,0.007101385151265186,0.036472149952349424,0.09398950615416474,0.08935550485154663,0.08126466555539817,0.017698384155808423,0.017698384155808423,0.0,0.20881074020580775,0.03563838465242026,0.008772757101967664,0.05674322384282041,0.006550734301232852,0.13021175357442283,0.0009598010248402914,0.02620293203475263,0.014183187164489389,0.004870462507877896,0.017457440583789795,0.009972198945440956,0.03675868640603058,0.0018834967932051595,0.014183187164489389,0.0060615849389112,0.0009975914331399238,0.013782041325831185,0.0,0.0057750363709681745,0.12400757736342007,17.897858344878397,0.006550734301232852,0.22494173020740632,0.0692820323027551,0.010534668924697812,0.001996764889678898
no_init_kenn_hybrid_adapter_bert_ms,0.8440412282943726,0.25,0.5818181832631429,0.5676767627398173,0.8062595327695211,0.31111111243565875,0.6310267249743143,0.5860058267911276,0.9732142686843872,0.8838383754094442,0.7692406177520752,0.6606060663859049,0.08955246955156326,0.6916464964548746,0.8158646821975708,0.8038254777590433,0.07021677494049072,0.5655665000279745,0.6444444457689921,0.7937954266866049,0.8300653696060181,0.7333333293596903,0.7937954266866049,0.6620171666145325,0.822082002957662,0.822082002957662,0.5955687761306763,0.6411477526028951,0.45928554733594257,0.6178744236628214,0.7792580127716064,0.7792580127716064,0.648809552192688,0.5701612830162048,0.541379302740097,0.8038254777590433,0.5936378836631775,0.8193794886271158,0.6877777775128683,0.08529688666264217,0.5839033325513204,0.8012619018554688,0.07398680597543716,0.5257142881552378,0.8062595327695211,0.6808551549911499,0.07204135755697887,0.8012619018554688,0.5386905074119568,0.8440412282943726,0.5271439949671427,0.7785714268684387,0.09430306901534398,0.7182471950848898,59.0,0.8193794886271158,0.7312113245328268,0.15666666666666668,0.5137930810451508,0.8300653696060181,0.00328222001296403,0.0,0.1311109544194226,0.03885179263089428,0.011363532715588558,0.06735752616160809,0.04367277905936161,0.021023617295865892,0.0,0.10088376610742616,0.08827414019464615,0.027773185557070007,0.003194894133426845,0.1350173722129716,0.08332891995751417,0.0066749035637858715,0.005556000112424084,0.02017721971024353,0.050917491680013006,0.022068544495253847,0.004713138641250178,0.15275250105363536,0.022068544495253847,0.034429661717839864,0.004790110959525792,0.004790110959525792,0.0275346157082439,0.10167428471625052,0.08659705875737775,0.04275566243658404,0.011769696894811433,0.011769696894811433,0.0,0.1620486231994589,0.05882318241600909,0.0066749035637858715,0.05806200790632138,0.007770321082753723,0.0926362984457345,0.002984607690259038,0.03108144578521564,0.008019491251429355,0.008038982910985806,0.04120630940687909,0.011363532715588558,0.03240251308672292,0.006745243984328335,0.008019491251429355,0.018849192481296816,0.00328222001296403,0.04935655633054605,0.0,0.0043598579547623586,0.11034268468989625,16.522711641858304,0.007770321082753723,0.12188450083548984,0.11590225767142474,0.04065456557549778,0.004713138641250178
no_init_kenn_top_down_adapter_bert_ms,0.8447481393814087,0.25,0.5636363625526428,0.581186850865682,0.7906245986620585,0.350000003973643,0.5657200217247009,0.5928085446357727,0.9732142686843872,0.5724313656489054,0.6408041715621948,0.6182301640510559,0.09000781923532486,0.535648763179779,0.7008780042330424,0.794113278388977,0.07210179169972737,0.5684422453244528,0.7111111084620158,0.7616863250732422,0.8315904140472412,0.700000007947286,0.7616863250732422,0.6150709788004557,0.8164882659912109,0.8164882659912109,0.5945767561594645,0.5677944819132487,0.42778898278872174,0.5558453798294067,0.7599432269732157,0.7599432269732157,0.648809552192688,0.5014784534772238,0.5536398192246755,0.794113278388977,0.5345686376094818,0.8220815261205038,0.56318798661232,0.08629175772269566,0.5947114626566569,0.7900984287261963,0.07566237449645996,0.5390476187070211,0.7906245986620585,0.6411614616711935,0.07373208552598953,0.7900984287261963,0.5449735720952352,0.8447481393814087,0.5395154356956482,0.7785714268684387,0.09414598097403844,0.5577016075452169,77.66666666666667,0.8220815261205038,0.5937085648377737,0.16333333333333333,0.5275862018267313,0.8315904140472412,0.0014531889232485612,0.0,0.11354541008335994,0.009249967394389973,0.012748616881242819,0.09279607521173946,0.059981850595666034,0.014381602299096958,0.0,0.02449053389080252,0.09136491094410822,0.024538888440461037,0.0036577844106733502,0.12539355389017254,0.09198386562682606,0.010363899279352192,0.0029429784894774292,0.023100615415609205,0.10715166255469387,0.022841227736027054,0.003224116323088402,0.09999999403953702,0.022841227736027054,0.04357280507999508,0.006618471022751026,0.006618471022751026,0.03908694786842838,0.1590009313409341,0.06806593277013621,0.09613668495223823,0.01635299283809753,0.01635299283809753,0.0,0.21606376599095753,0.06247558473480959,0.010363899279352192,0.07509885712821629,0.0018500268367558853,0.09636933714321676,0.0017303101884840078,0.007399973915511999,0.011231590342964917,0.008538135053081075,0.02818792495927157,0.012748616881242819,0.0461585564395139,0.005288217940123345,0.011231590342964917,0.010927711924566211,0.0014531889232485612,0.038695115487918805,0.0,0.0061890782210156795,0.1142061260012577,38.13572253587617,0.0018500268367558853,0.2478852076517989,0.1305118130030126,0.021534468319815477,0.003224116323088402
smart_init_box_adapter_bert_ms,0.857079267501831,0.17499999999999996,0.8666666547457377,0.8236111203829447,0.7839230895042419,0.7166666587193807,0.38271254301071167,0.728862981001536,0.9557521939277648,0.3092053731282552,0.39783204595247906,0.27878647049268085,0.07276833802461624,0.25824210047721863,0.3769318461418152,0.7309043208758036,0.10901664694150288,0.45956675211588544,0.799999992052714,0.7182642221450806,0.8549019495646158,0.9111110965410868,0.7182642221450806,0.5215328733126322,0.8079157471656799,0.8079157471656799,0.35492728153864544,0.4785386025905609,0.4193720817565918,0.3257912000020345,0.6411036849021912,0.6411036849021912,0.6428571343421936,0.20426675180594125,0.2977011402448018,0.7309043208758036,0.3806695342063904,0.8637200196584066,0.1740597685178121,0.1059273233016332,0.7874603470166525,0.764504869778951,0.04068488751848539,0.8114285667737325,0.7839230895042419,0.48557045062383014,0.058435358107089996,0.764504869778951,0.6689814726511637,0.857079267501831,0.4275856018066406,0.7686832547187805,0.05619960278272629,0.25835200647513074,50.666666666666664,0.8637200196584066,0.34587616721789044,0.10666666666666669,0.7977011402448019,0.8549019495646158,0.008996896912251976,0.0,0.20027529282535522,0.14394353402212479,0.003190336486881623,0.12583057628962924,0.06276553441368858,0.07563335427469216,0.0,0.08698756395550046,0.059993453880769536,0.05504761341200417,0.004743568255068109,0.07534183546210245,0.10897930365940961,0.03653050166380152,0.01934627490716649,0.02995787526720679,0.16666665673256012,0.014998415191406865,0.016955718317977743,0.09622502192309917,0.014998415191406865,0.022094375532811347,0.00927496687440123,0.00927496687440123,0.0542202852760492,0.04727711548399431,0.054493746448025904,0.09123284852072959,0.06683950419698557,0.06683950419698557,0.0,0.0777679949826216,0.04535862511342551,0.03653050166380152,0.061035946947261145,0.028788715195890806,0.052427509340637196,0.010521534536273983,0.11515481882623556,0.02393472514696632,0.006198869890168293,0.1482413865096734,0.003190336486881623,0.06994283925126296,0.003923340229641823,0.02393472514696632,0.06644850297893627,0.008996896912251976,0.028708029490536986,0.0,0.008585302194009308,0.07499180125666251,31.34219732777735,0.028788715195890806,0.08452604808081195,0.14153915830374764,0.14156141171633083,0.016955718317977743
smart_init_classifier_adapter_bert_ms,0.852811853090922,0.25,0.7818181912104288,0.6940656503041586,0.7747532725334167,0.5388888915379842,0.44423306981722516,0.6647230386734009,0.9732142686843872,0.36143410205841064,0.4563528498013814,0.3077182173728943,0.07233962913354237,0.3256182273228963,0.47771747907002765,0.7652758757273356,0.08686773230632146,0.4568592806657155,0.6333333452542623,0.7155734896659851,0.8477124174435934,0.8222222129503886,0.7155734896659851,0.5473977128664652,0.8115142981211344,0.8115142981211344,0.36894843975702923,0.594181497891744,0.4323849578698476,0.3994888961315155,0.6974912683169047,0.6974912683169047,0.648809552192688,0.26408351461092633,0.22164750595887503,0.7652758757273356,0.4400581320126851,0.8446572621663412,0.20346194008986154,0.0950884868701299,0.6850144664446512,0.7740346590677897,0.030291130145390827,0.6800000071525574,0.7747532725334167,0.5556601881980896,0.04490706821282705,0.7740346590677897,0.6005291144053141,0.852811853090922,0.3285958568255107,0.7785714268684387,0.058419729272524513,0.3271375000476837,14.0,0.8446572621663412,0.4795704185962677,0.08333333333333333,0.6356321771939596,0.8477124174435934,0.0025954753159181877,0.0,0.03149183724469421,0.05384431967890546,0.004446411822531281,0.05357585445502394,0.011497343112250962,0.020408153533935547,0.0,0.013108290415699803,0.004822172368626366,0.03444022829746287,0.0006581623459169744,0.0058397776506052355,0.01151356183517516,0.0019891100247976467,0.00683453112043087,0.00415661304878753,0.08819169384796602,0.0012055269098863862,0.00457516312602419,0.13471505232321615,0.0012055269098863862,0.013606208552516649,0.0010794711864396313,0.0010794711864396313,0.008411516471554553,0.04449888051462364,0.026160243684028365,0.04279799638262932,0.005976801880490896,0.005976801880490896,0.0,0.023492568663185713,0.026476312409200606,0.0019891100247976467,0.007459229130283144,0.010768883377847998,0.022054483516529725,0.0033776190556173043,0.043075442870301024,0.000645940398422668,0.003618347803696185,0.04000002145767212,0.004446411822531281,0.003933739711463736,0.004890469807990906,0.000645940398422668,0.021331295391896814,0.0025954753159181877,0.035784754520107875,0.0,0.0013318884659468161,0.006027686677816714,4.58257569495584,0.010768883377847998,0.04582545029600447,0.015275252316519475,0.05000989016105061,0.00457516312602419
