name,test_incremental_only/micro/recall/mean,test_incremental_only/micro/precision/mean,test_incremental_only/macro_example_exclusive/f1/mean,test_incremental/micro/f1/mean,test_incremental/macro_types/f1/mean,test_pretraining/macro_example/f1/mean,test_incremental_FACILITY-HIGHWAY_STREET/macro_types/precision/mean,test_pretraining/macro_example/recall/mean,test_incremental_FACILITY/macro_types/f1/mean,test_incremental_FACILITY/macro_types/recall/mean,test_incremental_FACILITY-BUILDING/macro_types/f1/mean,threshold_incremental/mean,threshold_pretraining/mean,test_incremental_only/macro_example/f1/mean,test_incremental_FACILITY-AIRPORT/macro_types/precision/mean,test/macro_types/precision/mean,test_incremental/macro_types/recall/mean,test_pretraining/macro_types/precision/mean,test_incremental_FACILITY-ATTRACTION/macro_types/precision/mean,test/macro_types/recall/mean,test_pretraining/macro_types/recall/mean,test_incremental_FACILITY-AIRPORT/macro_types/recall/mean,test/macro_example/f1/mean,test_incremental/micro/precision/mean,test_incremental_FACILITY-BUILDING/macro_types/recall/mean,test_incremental_only/macro_example_exclusive/precision/mean,epoch/mean,test_pretraining/macro_example/precision/mean,test/macro_example/recall/mean,test_incremental_only/macro_types/precision/mean,test_incremental_FACILITY/macro_types/precision/mean,test_incremental_only/macro_types/recall/mean,test_incremental_only/macro_example_exclusive/recall/mean,test_pretraining/macro_types/f1/mean,test/micro/f1/mean,test_pretraining/micro/precision/mean,test_incremental/macro_example_exclusive/recall/mean,test_incremental_FACILITY-ATTRACTION/macro_types/recall/mean,test/macro_types/f1/mean,test_incremental_FACILITY-BUILDING/macro_types/precision/mean,test_incremental/macro_example/f1/mean,test_incremental/macro_example/recall/mean,test_incremental_FACILITY-HIGHWAY_STREET/macro_types/f1/mean,test/micro/precision/mean,test_incremental/macro_example/precision/mean,test_incremental/macro_example_exclusive/precision/mean,test_incremental_only/macro_example/precision/mean,test/micro/recall/mean,test_incremental/macro_types/precision/mean,test_incremental/macro_example_exclusive/f1/mean,test_incremental_FACILITY-HIGHWAY_STREET/macro_types/recall/mean,test_pretraining/micro/f1/mean,test_incremental_only/macro_types/f1/mean,test_incremental_FACILITY-AIRPORT/macro_types/f1/mean,test_incremental_FACILITY-ATTRACTION/macro_types/f1/mean,test/macro_example/precision/mean,test_incremental/micro/recall/mean,test_pretraining/micro/recall/mean,test_incremental_only/macro_example/recall/mean,test_incremental_only/micro/f1/mean,test_incremental_only/micro/recall/std,test_incremental_only/micro/precision/std,test_incremental_only/macro_example_exclusive/f1/std,test_incremental/micro/f1/std,test_incremental/macro_types/f1/std,test_pretraining/macro_example/f1/std,test_incremental_FACILITY-HIGHWAY_STREET/macro_types/precision/std,test_pretraining/macro_example/recall/std,test_incremental_FACILITY/macro_types/f1/std,test_incremental_FACILITY/macro_types/recall/std,test_incremental_FACILITY-BUILDING/macro_types/f1/std,threshold_incremental/std,threshold_pretraining/std,test_incremental_only/macro_example/f1/std,test_incremental_FACILITY-AIRPORT/macro_types/precision/std,test/macro_types/precision/std,test_incremental/macro_types/recall/std,test_pretraining/macro_types/precision/std,test_incremental_FACILITY-ATTRACTION/macro_types/precision/std,test/macro_types/recall/std,test_pretraining/macro_types/recall/std,test_incremental_FACILITY-AIRPORT/macro_types/recall/std,test/macro_example/f1/std,test_incremental/micro/precision/std,test_incremental_FACILITY-BUILDING/macro_types/recall/std,test_incremental_only/macro_example_exclusive/precision/std,epoch/std,test_pretraining/macro_example/precision/std,test/macro_example/recall/std,test_incremental_only/macro_types/precision/std,test_incremental_FACILITY/macro_types/precision/std,test_incremental_only/macro_types/recall/std,test_incremental_only/macro_example_exclusive/recall/std,test_pretraining/macro_types/f1/std,test/micro/f1/std,test_pretraining/micro/precision/std,test_incremental/macro_example_exclusive/recall/std,test_incremental_FACILITY-ATTRACTION/macro_types/recall/std,test/macro_types/f1/std,test_incremental_FACILITY-BUILDING/macro_types/precision/std,test_incremental/macro_example/f1/std,test_incremental/macro_example/recall/std,test_incremental_FACILITY-HIGHWAY_STREET/macro_types/f1/std,test/micro/precision/std,test_incremental/macro_example/precision/std,test_incremental/macro_example_exclusive/precision/std,test_incremental_only/macro_example/precision/std,test/micro/recall/std,test_incremental/macro_types/precision/std,test_incremental/macro_example_exclusive/f1/std,test_incremental_FACILITY-HIGHWAY_STREET/macro_types/recall/std,test_pretraining/micro/f1/std,test_incremental_only/macro_types/f1/std,test_incremental_FACILITY-AIRPORT/macro_types/f1/std,test_incremental_FACILITY-ATTRACTION/macro_types/f1/std,test/macro_example/precision/std,test_incremental/micro/recall/std,test_pretraining/micro/recall/std,test_incremental_only/macro_example/recall/std,test_incremental_only/micro/f1/std
no_init_box_kenn_bottom_up_adapter_bert_ms,0.42476190129915875,0.8976089557011923,0.4763186573982239,0.6766051650047302,0.6617898146311442,0.8303436636924744,1.0,0.8341187437375387,0.7686832547187805,0.6428571343421936,0.44971932967503864,0.016666666666666666,0.17499999999999996,0.06509539112448692,0.9199999968210856,0.8476749658584595,0.5183694461981455,0.8476749658584595,0.8882352908452352,0.7964472770690918,0.7964472770690918,0.6888888875643412,0.8303436636924744,0.9306375781695048,0.3166666676600774,0.5126436452070872,36.333333333333336,0.8266048431396484,0.8341187437375387,0.905405600865682,0.9557521939277648,0.48724748690923053,0.44482757647832233,0.8212483326594034,0.8072474201520284,0.8038504521052042,0.5003307362397512,0.254545455177625,0.8212483326594034,0.8133870959281921,0.09169307351112366,0.07922295480966568,0.8150644699732462,0.8038504521052042,0.10885956386725108,0.687500019868215,0.07005969186623891,0.8106753826141357,0.9154749115308126,0.5790854493776957,0.6888888875643412,0.8072474201520284,0.6333210468292236,0.7868641018867493,0.3904558519522349,0.8266048431396484,0.5315840641657511,0.8106753826141357,0.06079170356194178,0.576400617758433,0.038047588025029264,0.09725600711566156,0.03928607013666184,0.025784335232160224,0.0404451308550796,0.003386989289865092,0.0,0.0027780092194965344,0.0,0.0,0.08682461407020418,0.011547005383792514,0.0,0.005368973822301808,0.13856407011155142,0.014505446663908409,0.03332554503892691,0.014505446663908409,0.11808740265267618,0.008331398398023836,0.008331398398023836,0.050917517693612684,0.003386989289865092,0.041585673785849146,0.07637625865606784,0.04591948712301696,5.859465277082315,0.004238587889072559,0.0027780092194965344,0.07252745440445177,0.0,0.04165692686113639,0.03396158474142629,0.010744167401001129,0.0045933104726886935,0.005078896674939854,0.016371564529607693,0.10123208849668666,0.010744167401001129,0.14741504835343502,0.001968504452679418,0.0025922883881959393,0.03607454228749335,0.005078896674939854,0.0012468195131634804,0.007874263609101283,0.0062755176127297545,0.004351864595868179,0.0580219492023084,0.012432071888720423,0.050917517693612684,0.0045933104726886935,0.0506345756668204,0.0838659077552005,0.13069962667239077,0.004238587889072559,0.019412035026368554,0.004351864595868179,0.004641308947668458,0.05319447048626162
no_init_box_kenn_horizontal_adapter_bert_ms,0.40761904915173847,0.8982164859771729,0.4625645577907562,0.6695696314175924,0.6514047781626383,0.8304654359817505,1.0,0.8335689504941305,0.7686832547187805,0.6428571343421936,0.37950249512990314,0.01,0.17499999999999996,0.06321570028861363,0.9166666666666666,0.8468137979507446,0.507460335890452,0.8468137979507446,0.8925925890604655,0.7937200466791788,0.7937200466791788,0.6888889074325562,0.8304654359817505,0.9323924779891968,0.2611111104488373,0.4919540186723073,41.333333333333336,0.8273903131484985,0.8335689504941305,0.9010995427767435,0.9557521939277648,0.47361109654108685,0.4367816050847371,0.8193799257278442,0.8062441547711691,0.803805927435557,0.495039701461792,0.2666666607062022,0.8193799257278442,0.7951388955116272,0.0909679929415385,0.07838517179091771,0.8075229724248251,0.803805927435557,0.10854539771874745,0.6855158805847168,0.0672321692109108,0.8087145884831747,0.9120300809542338,0.5745061834653219,0.6777777671813965,0.8062441547711691,0.619712233543396,0.7863247990608215,0.40437209606170654,0.8273903131484985,0.5228377083937327,0.8087145884831747,0.05969211210807165,0.5589210093021393,0.07369729977707615,0.08163727834994182,0.073029200843946,0.03556744751007029,0.056754327908834924,0.0033262941019842696,0.0,0.0045466694819210635,0.0,0.0,0.14223464027880717,0.0,0.0,0.009980421861275476,0.14433756729740646,0.014611838763012544,0.05543495063634091,0.014611838763012544,0.1112961346064508,0.013858723567214057,0.013858723567214057,0.07698003130358241,0.0033262941019842696,0.032038194229214535,0.13471505478126922,0.0889450192831242,14.468356276140469,0.0028711926224477473,0.0045466694819210635,0.07305920715257853,0.0,0.06929368539016277,0.059957717264750576,0.012941161240032681,0.0057474732701172275,0.004040469012083728,0.030025289271587083,0.10959479601378243,0.012941161240032681,0.11521292730524575,0.0030902067329231227,0.0047542382790688445,0.027723881165188532,0.004040469012083728,0.0009809918356210121,0.006195410888513502,0.012155537429306295,0.008429441940373447,0.058447368389592046,0.01951610429178718,0.03849001565179121,0.0057474732701172275,0.07228790105112942,0.10362696521636093,0.13902732084926492,0.0028711926224477473,0.037600669313683964,0.008429441940373447,0.00819402994354283,0.0797439322212464
no_init_box_kenn_hybrid_adapter_bert_ms,0.39619047443072003,0.9104679822921753,0.44803763429323834,0.6656792163848877,0.6436183055241903,0.8300219376881918,1.0,0.8326526284217834,0.7686832547187805,0.6428571343421936,0.38953882455825806,0.08666666666666667,0.17499999999999996,0.06123040119806925,0.8722222248713175,0.8494609991709391,0.4971572955449422,0.8494609991709391,0.8842592636744181,0.7911442716916403,0.7911442716916403,0.6444444557030996,0.8300219376881918,0.9382886091868082,0.261111115415891,0.47816089789072674,39.0,0.82741645971934,0.8326526284217834,0.9143359065055847,0.9557521939277648,0.4607323110103607,0.4218390882015228,0.8191798726717631,0.8058014512062073,0.8042414784431458,0.48875664671262103,0.24848484992980957,0.8191798726717631,0.9008620778719584,0.08976660668849945,0.07739030321439107,0.8150644699732462,0.8042414784431458,0.10697455207506816,0.6755952636400858,0.06534715617696445,0.8074073990186056,0.9226191639900208,0.5669188896814982,0.6888888875643412,0.8058014512062073,0.608397364616394,0.7403228878974915,0.3797057420015335,0.82741645971934,0.5170068144798279,0.8074073990186056,0.057650014758110046,0.5474939743677775,0.10163292361182341,0.05571371278352885,0.1038785870385345,0.045378841265126243,0.07343322491954399,0.004178536802390556,0.0,0.0062835576956271014,0.0,0.0,0.1404241428330687,0.1327905619136139,0.0,0.014196414813304688,0.15485956353277763,0.009517370660135365,0.08116481748078744,0.009517370660135365,0.11140008085037638,0.0202911617269376,0.0202911617269376,0.15396007981354365,0.004178536802390556,0.02212217411760335,0.1272937698462789,0.12266040468120538,10.44030650891055,0.0025550861734004423,0.0062835576956271014,0.04758686619303577,0.0,0.10145599630581326,0.08820667561606975,0.012847348316891145,0.006960984468796012,0.0031564154765709117,0.04301867154843688,0.11829831715834298,0.012847348316891145,0.08906886107715377,0.006020902833097574,0.006811626790021085,0.03607454228749335,0.0031564154765709117,0.004188589917603124,0.026452949196940544,0.01676320745997631,0.011624691027890795,0.03806951671856226,0.03802487295271614,0.050917517693612684,0.006960984468796012,0.09639164428668073,0.1569483713940869,0.15559140690021794,0.0025550861734004423,0.05185354921699223,0.011624691027890795,0.012054635415447486,0.10677622299482353
no_init_box_kenn_top_down_adapter_bert_ms,0.45904762546221417,0.8240260481834412,0.5197934011618296,0.6806284189224243,0.667561670144399,0.8302844564119974,0.9255599578221639,0.8368415633837382,0.7686832547187805,0.6428571343421936,0.4850316842397054,0.013333333333333334,0.17499999999999996,0.07103680570920308,0.8317077159881592,0.8339641094207764,0.5453391174475352,0.8339641094207764,0.8703703681627909,0.8031896948814392,0.8031896948814392,0.7555555502573649,0.8302844564119974,0.8951297402381897,0.36666667461395264,0.5540229678153992,41.666666666666664,0.823829710483551,0.8368415633837382,0.8368512789408366,0.9557521939277648,0.5209595958391825,0.48965515693028766,0.8182862599690756,0.8073820471763611,0.8002945184707642,0.5191799203554789,0.27272727092107135,0.8182862599690756,0.7197671135266622,0.09388951460520427,0.0822075605392456,0.7897919615109762,0.8002945184707642,0.10948790361483891,0.6914682785669962,0.07571473220984141,0.814596951007843,0.860631505648295,0.5929569999376932,0.6888888875643412,0.8073820471763611,0.6420305172602335,0.7909639875094095,0.41156689325968426,0.823829710483551,0.549076775709788,0.814596951007843,0.06691800182064374,0.5895679195721945,0.061633098607838284,0.09375396947268426,0.06619400275697418,0.03636126644760994,0.058878642370782476,0.004452874377474681,0.06903807571113281,0.004082959741504886,0.0,0.0,0.07100898842778079,0.005773502691896258,0.0,0.009046315779948357,0.13313715979507545,0.01587136916418703,0.0531482095933608,0.01587136916418703,0.11564810896047927,0.01328706189979234,0.01328706189979234,0.11706282664221047,0.004452874377474681,0.042418191597492515,0.0577350234776868,0.0743847519182027,13.79613472438325,0.004837200640288906,0.004082959741504886,0.07935689144773865,0.0,0.06643526622557074,0.059825320504206574,0.014512686939272086,0.006419002043440691,0.005827406993887162,0.02780137299800018,0.10123207377688515,0.014512686939272086,0.10480564389898919,0.003931426709061533,0.004402103527597105,0.05773828978761305,0.005827406993887162,0.0032077510458241917,0.020258499631954766,0.010165689041608318,0.007049531122715011,0.06348552228360055,0.024828893591300857,0.050917517693612684,0.006419002043440691,0.07379692593550281,0.1197313336722805,0.129356028125205,0.004837200640288906,0.03144547758959273,0.007049531122715011,0.008175941986380057,0.07473785362007948
no_init_kenn_bottom_up_adapter_bert_ms,0.7009523709615072,0.47064929207166034,0.7043861349423727,0.6181337833404541,0.6229021549224854,0.8087815443674723,0.43063972393671673,0.8555869857470194,0.7785714268684387,0.648809552192688,0.4841944177945455,0.060000000000000005,0.25,0.09626388549804688,0.5298376182715098,0.7466256022453308,0.7090548475583395,0.7466256022453308,0.5204356908798218,0.8506673574447632,0.8506673574447632,0.8777777751286825,0.8087815443674723,0.6010438104470571,0.6166666547457377,0.6955939133961996,25.666666666666668,0.767473042011261,0.8555869857470194,0.4823981026808421,0.9732142686843872,0.7241161664326986,0.7149425347646078,0.794478972752889,0.7811975479125977,0.7243896722793579,0.6269841194152832,0.6909090876579285,0.794478972752889,0.4486793627341588,0.10246426860491435,0.09927741189797719,0.5215686360994974,0.7243896722793579,0.10600062956412633,0.6694444616635641,0.09506231049696605,0.8501089215278625,0.5805613398551941,0.64711066087087,0.7111111084620158,0.7811975479125977,0.5509888331095377,0.6441189448038737,0.5318024158477783,0.767473042011261,0.6754130125045776,0.8501089215278625,0.0977065662542979,0.5307397047678629,0.09669362029755701,0.22316385146740772,0.06481834137323109,0.08788770096265763,0.07293426485150103,0.017005992651777095,0.1795426686489733,0.005152981307186867,0.0,0.0,0.1300173855109693,0.0692820323027551,0.0,0.008858299535713487,0.20622812042871366,0.043994318557188744,0.06289710007219644,0.043994318557188744,0.3369032351710916,0.015724315173715385,0.015724315173715385,0.05091751769361273,0.017005992651777095,0.20799751290065435,0.1452966296281242,0.043215704166824506,5.507570547286103,0.03501036917874962,0.005152981307186867,0.21997161952731667,0.0,0.07862135608932881,0.09000811449924087,0.017741358375498405,0.027475098993080628,0.05544402591517392,0.042658724757129354,0.1454545259475708,0.017741358375498405,0.1997974983963696,0.004149049190522452,0.006754630700100767,0.12689169329829694,0.05544402591517392,0.0017585036664642297,0.011105823236823248,0.0059060038513524885,0.011059712877876752,0.1759772619475066,0.02620324120374731,0.01924502503227447,0.027475098993080628,0.11962939999097055,0.1473939044624768,0.132778708015407,0.03501036917874962,0.04933350377774545,0.011059712877876752,0.012300830835237319,0.11238702864020371
no_init_kenn_horizontal_adapter_bert_ms,0.5942857166131338,0.6927610039710999,0.6170117855072021,0.6790244181950887,0.6705374320348104,0.8196781675020853,0.6368852456410726,0.8491464853286743,0.7785714268684387,0.648809552192688,0.522273600101471,0.19333333333333333,0.25,0.08432299892107646,0.7747126420338949,0.7894306381543478,0.6363276044527689,0.7894306381543478,0.6837383111317953,0.8324855963389078,0.8324855963389078,0.8111110925674438,0.8196781675020853,0.7904277841250101,0.49444443980852765,0.6318007707595825,16.666666666666668,0.7928316990534464,0.8491464853286743,0.6964232325553894,0.9732142686843872,0.6332070628801981,0.6045976877212524,0.8093485236167908,0.8013243277867635,0.7690322597821554,0.576719601949056,0.5272727310657501,0.8093485236167908,0.6903567413489023,0.09777266035477321,0.09131846576929092,0.6449756920337677,0.7690322597821554,0.10563933352629344,0.6671627163887024,0.08634411791960399,0.8379084865252177,0.7517814636230469,0.6174808939297994,0.700000007947286,0.8013243277867635,0.6319501598676046,0.7803184390068054,0.5339154899120331,0.7928316990534464,0.6209912498792013,0.8379084865252177,0.08262644708156586,0.600642462571462,0.15928413136482145,0.23586801050957604,0.12617821165454796,0.04144802991594836,0.04064624034061875,0.012954058862403547,0.24052455457244376,0.009195295205520551,0.0,0.0,0.08749953898956445,0.14364307617610164,0.0,0.017243965273973066,0.20473970904306668,0.0450394005729594,0.10875212587015909,0.0450394005729594,0.2968193731663247,0.02718804278202736,0.02718804278202736,0.10183500937362319,0.012954058862403547,0.19232342867946933,0.20971760280699278,0.0990730663515636,4.041451884327381,0.031345602660848404,0.009195295205520551,0.22519707655523666,0.0,0.13594020247800304,0.15228476313180622,0.014053127640394033,0.013096000357140149,0.03783923180478803,0.07146532646560029,0.25648611868897336,0.014053127640394033,0.2442074008452972,0.007471906278370735,0.011315902571275696,0.13983661188987945,0.03783923180478803,0.004306953648784883,0.027200455049142376,0.013539682240111036,0.018218787085568552,0.18015768436744647,0.047188675449526804,0.03333333134651627,0.013096000357140149,0.06586043323082966,0.11159441889933605,0.1295186594716625,0.031345602660848404,0.08126742237303593,0.018218787085568552,0.02081177134247785,0.05120105321684433
no_init_kenn_hybrid_adapter_bert_ms,0.6552380919456482,0.5719321568806967,0.6740122040112814,0.665371815363566,0.6586913267771403,0.8179168701171875,0.5138461788495382,0.8532045284907023,0.7785714268684387,0.648809552192688,0.5318701068560282,0.10000000000000002,0.25,0.09211288144191106,0.6421783566474915,0.7661821444829305,0.679054876168569,0.7661821444829305,0.6163403888543447,0.8431673447291056,0.8431673447291056,0.8555555542310079,0.8179168701171875,0.7003742456436157,0.555555542310079,0.6762452125549316,25.666666666666668,0.7857524553934733,0.8532045284907023,0.5801807940006256,0.9732142686843872,0.6866161425908407,0.6735632022221884,0.8022852738698324,0.7966146866480509,0.7543368538220724,0.6071428656578064,0.6242424249649048,0.8022852738698324,0.5483582417170206,0.09968075156211853,0.09613572061061859,0.5838616589705149,0.7543368538220724,0.10362341751654942,0.6544312437375387,0.09241804977258046,0.8448801835378011,0.6587875088055929,0.6295314232508341,0.7111111084620158,0.7966146866480509,0.6111401120821635,0.723901629447937,0.5771190424760183,0.7857524553934733,0.6520893971125284,0.8448801835378011,0.09205152342716853,0.5888795256614685,0.08027162927840809,0.19857598849378374,0.05118104976348321,0.054553154490949746,0.05340763801148054,0.011040207606140145,0.18651910419558612,0.0043723760782615195,0.0,0.0,0.06458281068169498,0.11357816691600547,0.0,0.006994579814879397,0.17869892343597985,0.038364325434698726,0.047875285338233584,0.038364325434698726,0.33418153781704885,0.011968775417385301,0.011968775417385301,0.01924502503227447,0.011040207606140145,0.1656062358733056,0.17664568256617236,0.027594167767559855,5.507570547286103,0.024043807725494228,0.0043723760782615195,0.1918215229301738,0.0,0.0598440634593961,0.07933534159642566,0.015455139025334347,0.015452156275225531,0.034841850549289774,0.03674658442839172,0.06385244549548419,0.015455139025334347,0.08644469402959347,0.0033185462662928414,0.005818491933060682,0.11689761896789483,0.034841850549289774,0.0012201460739643128,0.007705786566412583,0.003771116410627824,0.009181397058717941,0.15345724301163244,0.020958179551291145,0.01924502503227447,0.015452156275225531,0.08405087524697533,0.12090747720565061,0.14617666167265303,0.024043807725494228,0.04095490192867471,0.009181397058717941,0.010842243262090137,0.07410838004680746
no_init_kenn_top_down_adapter_bert_ms,0.6323809623718262,0.4749998251597087,0.6636336843172709,0.628206710020701,0.6129047870635986,0.8137635986010233,0.4148531307776769,0.8513456980387369,0.7785714268684387,0.648809552192688,0.5295184353987376,0.18000000000000002,0.25,0.09069452186425526,0.5625983874003092,0.7469598054885864,0.6616811354955038,0.7469598054885864,0.45727745691935223,0.8388239145278931,0.8388239145278931,0.8333333333333334,0.8137635986010233,0.6299041112263998,0.600000003973643,0.6823754707972208,27.333333333333332,0.7795161406199137,0.8513456980387369,0.4840690592924754,0.9732142686843872,0.6648989915847778,0.6471264362335205,0.7899176875750223,0.7880415519078573,0.7409335176150004,0.5955687959988912,0.5151515106360117,0.7899176875750223,0.5015472372372946,0.09920627623796463,0.09430306901534398,0.5074103077252706,0.7409335176150004,0.1047230064868927,0.6613757212956747,0.0932558352748553,0.842265804608663,0.5818981130917867,0.6265349189440409,0.7111111283302307,0.7880415519078573,0.5493463675181071,0.6670641700426737,0.46945905685424805,0.7795161406199137,0.6404276092847189,0.842265804608663,0.08843857795000076,0.5289447208245596,0.09166636239156695,0.12422030679003358,0.06833553629152972,0.03566776090647767,0.021277249004504548,0.005894341399714847,0.16545484030876462,0.005389927874300952,0.0,0.0,0.08998584061992963,0.11532562594670795,0.0,0.00933897912517535,0.060340663708233266,0.022044898218855496,0.06952040757109192,0.022044898218855496,0.07997600526344466,0.017380115965756004,0.017380115965756004,0.09999999403953704,0.005894341399714847,0.12050494254114238,0.06009253007445836,0.0571523598186097,10.969655114602888,0.014978341028781185,0.005389927874300952,0.11022458525927287,0.0,0.0869005296856332,0.08476962811110832,0.006175637324950212,0.011237931853589862,0.02770162971553134,0.040301873298342866,0.15675777363694302,0.006175637324950212,0.19045329926603652,0.004724058960637185,0.006381445227473997,0.1296360511179703,0.02770162971553134,0.002956920142340999,0.018674346448358196,0.007810646710014773,0.010484713462657952,0.0881796272738104,0.02983463344384631,0.03849001565179121,0.011237931853589862,0.03902732872063412,0.030445012639250646,0.07041518884140138,0.014978341028781185,0.04676854068929232,0.010484713462657952,0.01158491871704984,0.04175374961459885
smart_init_box_adapter_bert_ms,0.5771428545316061,0.712213377157847,0.6183081865310669,0.6985806226730347,0.6909113526344299,0.830577572186788,0.770793636639913,0.843858003616333,0.7686832547187805,0.6428571343421936,0.557011624177297,0.3833333333333333,0.17499999999999996,0.08450018614530563,0.6977124015490214,0.8124133348464966,0.6243290305137634,0.8124133348464966,0.8003726998964945,0.8229372104008993,0.8229372104008993,0.799999992052714,0.830577572186788,0.819585919380188,0.4888888994852702,0.6363984743754069,68.66666666666667,0.8177191019058228,0.843858003616333,0.729097326596578,0.9557521939277648,0.6196969747543335,0.6022988160451254,0.8176171580950419,0.808982253074646,0.7907464702924093,0.5720899899800619,0.4787878791491191,0.8176171580950419,0.6475105583667755,0.0953689639767011,0.09058539817730586,0.7387321392695109,0.7907464702924093,0.10074353218078613,0.6362433830897013,0.08697246015071869,0.828104575475057,0.7744283278783163,0.6023004253705343,0.7111111084620158,0.808982253074646,0.6692793965339661,0.7427579363187155,0.5811826487382253,0.8177191019058228,0.6093294421831766,0.828104575475057,0.0823122834165891,0.636381189028422,0.05142858624458601,0.06306031635049719,0.03625623204131711,0.022957234237400113,0.015647449712848482,0.001751477660469485,0.013344663179462524,0.0021206140518188477,0.0,0.0,0.1731314807202055,0.06350852961085883,0.0,0.004954900065522487,0.0611652642531523,0.008498819798671564,0.02017148136487687,0.008498819798671564,0.17749045197342142,0.00504285108969618,0.00504285108969618,0.057735040684065646,0.001751477660469485,0.038348652558745006,0.15122954219436335,0.05078761179767145,11.590225767142474,0.003820629073272094,0.0021206140518188477,0.04249407840692126,0.0,0.02521433693158246,0.03622058284537312,0.004395259657834664,0.0043553149727068845,0.005767334738408596,0.019347373111072028,0.1412264160123349,0.004395259657834664,0.20355163288890477,0.0027144945138754444,0.0030634816406803584,0.04161090738015282,0.005767334738408596,0.0036850744371266252,0.023272976843870346,0.006940812085623391,0.005882352590586079,0.03399525860825193,0.017143301593412673,0.06938886728516518,0.0043553149727068845,0.019755775329614193,0.023958479480919514,0.08337080421304359,0.003820629073272094,0.02623906731606094,0.005882352590586079,0.00495003120889184,0.043738414905134276
smart_init_classifier_adapter_bert_ms,0.6171428759892782,0.6852240761121114,0.6198312838872274,0.7064286669095358,0.692493736743927,0.8271070917447408,0.6285744309425354,0.8510577082633972,0.7785714268684387,0.648809552192688,0.5514858762423197,0.30666666666666664,0.25,0.0847083255648613,0.6582603454589844,0.7864507635434469,0.655317505200704,0.7864507635434469,0.7651329437891642,0.8372330268224081,0.8372330268224081,0.8555555542310079,0.8271070917447408,0.8046677112579346,0.4722222288449605,0.6130268176396688,30.0,0.8044926325480143,0.8510577082633972,0.6815238197644552,0.9732142686843872,0.6569444338480631,0.628735621770223,0.8109203179677328,0.808105488618215,0.7782120903333029,0.5876322984695435,0.600000003973643,0.8109203179677328,0.6741276383399963,0.0958662082751592,0.09304639448722203,0.6589146455128988,0.7782120903333029,0.09923551728328069,0.62671959400177,0.08377840618292491,0.8405228654543558,0.7398619453112284,0.6054407755533854,0.700000007947286,0.808105488618215,0.6650386651357015,0.7414111892382304,0.6564092536767324,0.8044926325480143,0.6326530774434408,0.8405228654543558,0.08592522641023,0.6442790826161703,0.10946996233624524,0.03080747654137503,0.06415961571718887,0.020688844760950276,0.02742757425231833,0.0019839545738150567,0.09382733385278026,0.006149109422232101,0.0,0.0,0.14950980348237428,0.1619670748434179,0.0,0.008768281884583779,0.06274518409659541,0.007772722262729377,0.0724047967596268,0.007772722262729377,0.18663767792208896,0.018101205488758768,0.018101205488758768,0.050917491680013006,0.0019839545738150567,0.033494607023214704,0.15485955497955955,0.038541458192857196,5.0,0.002357272621803404,0.006149109422232101,0.03886371478175354,0.0,0.09050600224836687,0.09533302450651181,0.00506487448065953,0.0029632979378701944,0.005268071076135173,0.04642958858621967,0.23636361956596438,0.00506487448065953,0.1515717956897337,0.0027471050315587093,0.007351710319151147,0.047587704369614986,0.005268071076135173,0.0030476561216571537,0.019247405130723687,0.005267212228191063,0.012521090915496384,0.031090983311720295,0.0173492604579578,0.03333333134651627,0.0029632979378701944,0.028843552292087973,0.025879934728477678,0.1755288416889101,0.002357272621803404,0.05585202509244309,0.012521090915496384,0.013028550252593257,0.04338809170195258
