name,instance,run_id,test_incremental_FACILITY/macro_types/f1,test_pretraining/macro_types/recall,threshold_pretraining,test_incremental_only/micro/f1,test_incremental/macro_types/precision,test_incremental_FACILITY-BUILDING/macro_types/recall,test_incremental_only/micro/precision,test_pretraining/micro/f1,test/micro/recall,test_pretraining/micro/recall,test_incremental/macro_example/f1,test_incremental_FACILITY-AIRPORT/macro_types/precision,test_incremental_only/micro/recall,test_incremental/micro/precision,test_pretraining/macro_types/precision,test_incremental_FACILITY-HIGHWAY_STREET/macro_types/recall,test/macro_example/f1,test_incremental_FACILITY/macro_types/recall,test/micro/precision,test_incremental/macro_types/f1,test_incremental/macro_types/recall,test_incremental_FACILITY/macro_types/precision,test_pretraining/macro_types/f1,test_incremental_only/macro_example/f1,test_incremental/macro_example_exclusive/f1,test/macro_types/recall,test_pretraining/micro/precision,test_incremental_FACILITY-AIRPORT/macro_types/recall,test_incremental_only/macro_example_exclusive/f1,threshold_incremental,test/micro/f1,test_incremental/macro_example/precision,test_incremental_only/macro_example/recall,test_incremental_FACILITY-ATTRACTION/macro_types/f1,test_incremental_FACILITY-HIGHWAY_STREET/macro_types/f1,test_incremental_only/macro_types/f1,test_incremental_FACILITY-ATTRACTION/macro_types/recall,test_incremental/micro/recall,test_pretraining/macro_example/f1,test_incremental_FACILITY-BUILDING/macro_types/precision,test_incremental_FACILITY-HIGHWAY_STREET/macro_types/precision,test/macro_example/recall,test_incremental/micro/f1,test_incremental/macro_example_exclusive/recall,test_incremental/macro_example/recall,test_incremental_FACILITY-BUILDING/macro_types/f1,test/macro_types/f1,test_incremental_only/macro_example_exclusive/precision,test_incremental_only/macro_types/recall,test/macro_example/precision,test_incremental_only/macro_example/precision,test_pretraining/macro_example/precision,test_incremental_only/macro_types/precision,test_incremental/macro_example_exclusive/precision,test_incremental_only/macro_example_exclusive/recall,test_incremental_FACILITY-AIRPORT/macro_types/f1,test_incremental_FACILITY-ATTRACTION/macro_types/precision,test/macro_types/precision,test_pretraining/macro_example/recall,epoch
kenn_horizontal_adapter_bert_ms,2,9rbbm09j,0.7785714268684387,0.808571457862854,0.25,0.4879518151283264,0.6297379732131958,0.2666666805744171,0.5159235596656799,0.7915749549865723,0.8228757977485657,0.8228757977485657,0.08944368362426758,0.6785714030265808,0.4628571569919586,0.7063196897506714,0.7589197754859924,0.699999988079071,0.8161447048187256,0.648809552192688,0.7625681161880493,0.5818154811859131,0.5406709909439087,0.9732142686843872,0.7829591631889343,0.06984707713127136,0.5648794174194336,0.808571457862854,0.7625681161880493,0.6333333253860474,0.5110878944396973,0.060000000000000005,0.7915749549865723,0.09770657122135162,0.06691800057888031,0.5376343727111816,0.48275861144065857,0.5283204913139343,0.4545454680919647,0.5539358854293823,0.8161447048187256,0.47058823704719543,0.3684210479259491,0.8420515060424805,0.6209150552749634,0.5208333730697632,0.08246937394142151,0.3404255509376526,0.7829591631889343,0.5344827175140381,0.5136363506317139,0.7917844653129578,0.0730443000793457,0.7917844653129578,0.5438688397407532,0.6170635223388672,0.48965519666671753,0.6551724076271057,0.6578947305679321,0.7589197754859924,0.8420515060424805,25
kenn_horizontal_adapter_bert_ms,1,1fcp8y4r,0.7785714268684387,0.8337986469268799,0.25,0.5856353044509888,0.6456025838851929,0.550000011920929,0.5668449401855469,0.7997509241104126,0.8392156958580017,0.8392156958580017,0.0938987135887146,0.5952380895614624,0.6057142615318298,0.7190635204315186,0.7628859281539917,0.6666666865348816,0.818562924861908,0.648809552192688,0.7638310790061951,0.6435850262641907,0.6415801048278809,0.9732142686843872,0.7967675924301147,0.08145876228809357,0.5930151343345642,0.8337986469268799,0.7638310790061951,0.8333333134651184,0.596053421497345,0.04,0.7997509241104126,0.0958215519785881,0.0838831290602684,0.5436893105506897,0.5479452013969421,0.5993319153785706,0.5090909004211426,0.6268221735954285,0.818562924861908,0.6111111044883728,0.4651162922382355,0.8497486114501953,0.6697819232940674,0.58134925365448,0.09205152094364166,0.5789474248886108,0.7967675924301147,0.5793103575706482,0.6397727131843567,0.789585292339325,0.0791705921292305,0.789585292339325,0.5636997222900391,0.6051587462425232,0.6137930750846863,0.6944444179534912,0.5833333134651184,0.7628859281539917,0.8497486114501953,41
kenn_horizontal_adapter_bert_ms,0,3i0thorj,0.7785714268684387,0.8372834920883179,0.25,0.6455331444740295,0.7201180458068848,0.4833333194255829,0.6511628031730652,0.8072591423988342,0.843137264251709,0.843137264251709,0.09856615960597992,0.6111111044883728,0.6399999856948853,0.7781690359115601,0.7815147638320923,0.6666666865348816,0.824576735496521,0.648809552192688,0.7743096947669983,0.6863020658493042,0.6555195450782776,0.9732142686843872,0.8084384799003601,0.08717935532331467,0.622492253780365,0.8372834920883179,0.7743096947669983,0.7333333492279053,0.637912392616272,0.060000000000000005,0.8072591423988342,0.10367577522993088,0.08671064674854279,0.7256637215614319,0.7017543911933899,0.6570204496383667,0.7454545497894287,0.6443148851394653,0.824576735496521,0.5686274766921997,0.7407407164573669,0.8514765501022339,0.7049441337585449,0.5932539701461792,0.09393654018640518,0.522522509098053,0.8084384799003601,0.6413792371749878,0.6571969985961914,0.7993245124816895,0.08765315264463425,0.7993245124816895,0.6568439602851868,0.6547619104385376,0.634482741355896,0.6666666269302368,0.7068965435028076,0.7815147638320923,0.8514765501022339,19
kenn_hybrid_adapter_bert_ms,2,3040az6o,0.7785714268684387,0.8331925868988037,0.25,0.5121951699256897,0.5736458897590637,0.3166666626930237,0.44680851697921753,0.7873580455780029,0.8385620713233948,0.8385620713233948,0.09243109822273254,0.5882353186607361,0.6000000238418579,0.6167147159576416,0.7448967695236206,0.800000011920929,0.8149940967559814,0.648809552192688,0.7420474290847778,0.6046316027641296,0.6391558647155762,0.9732142686843872,0.7865746021270752,0.08281861990690231,0.5837464332580566,0.8331925868988037,0.7420474290847778,0.6666666865348816,0.6060038208961487,0.04,0.7873580455780029,0.09313540160655975,0.08341187238693237,0.6774193644523621,0.41025641560554504,0.5432870984077454,0.7636363506317139,0.6239067316055298,0.8149940967559814,0.42222222685813904,0.27586206793785095,0.8503770232200623,0.6202898621559143,0.5793651342391968,0.09173735231161118,0.3619047999382019,0.7865746021270752,0.6017241477966309,0.6367424130439758,0.7824379205703735,0.0822337418794632,0.7824379205703735,0.4737538099288941,0.5881944894790649,0.6103448271751404,0.6250000596046448,0.6086956262588501,0.7448967695236206,0.8503770232200623,31
kenn_top_down_adapter_bert_ms,2,1k8byfhb,0.7785714268684387,0.8179653882980347,0.25,0.4326923191547394,0.5332096815109253,0.3333333432674408,0.373443990945816,0.77672278881073,0.828758180141449,0.828758180141449,0.09125020354986192,0.6666666865348816,0.5142857432365417,0.5637393593788147,0.7347877025604248,0.7333333492279053,0.8098123669624329,0.648809552192688,0.7308357357978821,0.5548157691955566,0.5782467722892761,0.9732142686843872,0.77414870262146,0.07667265832424164,0.5762884616851807,0.8179653882980347,0.7308357357978821,0.6666666865348816,0.5610324144363403,0.14,0.77672278881073,0.09707821905612946,0.07351554930210114,0.4516128897666931,0.37288135290145874,0.482312947511673,0.5090909004211426,0.5801749229431152,0.8098123669624329,0.3703703582286834,0.25,0.8449575901031494,0.5718390941619873,0.5436508059501648,0.08608230948448181,0.35087719559669495,0.77414870262146,0.5862069129943848,0.560606062412262,0.777474045753479,0.08011309802532196,0.777474045753479,0.4232085347175598,0.6130952835083008,0.5379310250282288,0.6666666865348816,0.4057970941066742,0.7347877025604248,0.8449575901031494,31
kenn_bottom_up_adapter_bert_ms,2,25tci10w,0.7785714268684387,0.8340259790420532,0.25,0.4999999403953552,0.5585507154464722,0.3333333432674408,0.4257028102874756,0.7846012115478516,0.8392156958580017,0.8392156958580017,0.0930645540356636,0.5882353186607361,0.6057142615318298,0.5955678820610046,0.7411229610443115,0.800000011920929,0.8130449056625366,0.648809552192688,0.7366609573364258,0.5975868105888367,0.6424891948699951,0.9732142686843872,0.7848346829414368,0.08356156945228577,0.5877469778060913,0.8340259790420532,0.7366609573364258,0.6666666865348816,0.6114402413368225,0.04,0.7846012115478516,0.09393653273582458,0.08435437828302383,0.6511628031730652,0.39669421315193176,0.5321069955825806,0.7636363506317139,0.6268221735954285,0.8130449056625366,0.4000000059604645,0.2637362778186798,0.8506911993026733,0.6107954978942871,0.5823413133621216,0.0922086089849472,0.3636363744735718,0.7848346829414368,0.6057471036911011,0.6409090757369995,0.7785893678665161,0.0827835351228714,0.7785893678665161,0.454884797334671,0.5932539701461792,0.617241382598877,0.6250000596046448,0.5675675868988037,0.7411229610443115,0.8506911993026733,30
kenn_hybrid_adapter_bert_ms,1,15p7tku5,0.7785714268684387,0.8354653120040894,0.25,0.6028168797492981,0.668677806854248,0.550000011920929,0.5944444537162781,0.8021222949028015,0.8398692607879639,0.8398692607879639,0.09349068999290466,0.625,0.6114285588264465,0.7397260069847107,0.7686547040939331,0.699999988079071,0.8205515742301941,0.648809552192688,0.7676224708557129,0.6583037972450256,0.6482467651367188,0.9732142686843872,0.8006686568260193,0.08159664273262024,0.590438187122345,0.8354653120040894,0.7676224708557129,0.8333333134651184,0.5970622897148132,0.06999999999999999,0.8021222949028015,0.09464341402053832,0.08435437828302383,0.5436893105506897,0.5753424167633057,0.6190807819366455,0.5090909004211426,0.6297376155853271,0.8205515742301941,0.6734693646430969,0.4883720874786377,0.8502199053764343,0.6803149580955505,0.5833333730697632,0.09236569702625276,0.60550457239151,0.8006686568260193,0.5781608819961548,0.648106038570404,0.7928840517997742,0.07901351153850555,0.7928840517997742,0.5925437211990356,0.5977182984352112,0.617241382598877,0.7142857313156128,0.5833333134651184,0.7686547040939331,0.8502199053764343,50
kenn_top_down_adapter_bert_ms,1,2zi4aww5,0.7785714268684387,0.8269047737121582,0.25,0.5875371098518372,0.6845208406448364,0.5,0.6111111044883728,0.8016321063041687,0.8346405029296875,0.8346405029296875,0.09403567016124724,0.6486486196517944,0.5657142996788025,0.7591241002082825,0.7726154327392578,0.6666666865348816,0.8203043341636658,0.648809552192688,0.7711352705955505,0.6473479270935059,0.614004373550415,0.9732142686843872,0.7988387942314148,0.07915937155485153,0.5938801169395447,0.8269047737121582,0.7711352705955505,0.800000011920929,0.5792282819747925,0.24,0.8016321063041687,0.09959157556295396,0.07822808623313904,0.5434783101081848,0.5797101855278015,0.6088048815727234,0.4545454680919647,0.6064140200614929,0.8203043341636658,0.6122449040412903,0.5128205418586731,0.8469996452331543,0.67423015832901,0.5625,0.08906692266464233,0.5504587292671204,0.7988387942314148,0.5862069129943848,0.6053030490875244,0.7952403426170349,0.08011309802532196,0.7952403426170349,0.6123474836349487,0.6289682984352112,0.5724138021469116,0.7164179086685181,0.6756756901741028,0.7726154327392578,0.8469996452331543,50
kenn_bottom_up_adapter_bert_ms,1,3el3uaz1,0.7785714268684387,0.8133441209793091,0.25,0.6048110127449036,0.8010379076004028,0.44999998807907104,0.7586206793785095,0.806369423866272,0.8274509906768799,0.8274509906768799,0.09170852601528168,0.6551724076271057,0.5028571486473083,0.8640350699424744,0.8017446994781494,0.6666666865348816,0.8250110149383545,0.648809552192688,0.7863354086875916,0.6590102910995483,0.5597619414329529,0.9732142686843872,0.807502806186676,0.07018830627202988,0.579183042049408,0.8133441209793091,0.7863354086875916,0.6333333253860474,0.5135847926139832,0.27,0.806369423866272,0.10069116950035097,0.06880301237106323,0.523809552192688,0.7272727489471436,0.6289827823638916,0.4000000059604645,0.5743440389633179,0.8250110149383545,0.8181818127632141,0.800000011920929,0.8423657417297363,0.690017580986023,0.5317460298538208,0.08419729769229889,0.5806451439857483,0.807502806186676,0.5241379141807556,0.5375000238418579,0.8083568811416626,0.07163053750991821,0.8083568811416626,0.7579936981201172,0.6359127759933472,0.5034482479095459,0.6440677642822266,0.7586206793785095,0.8017446994781494,0.8423657417297363,31
kenn_hybrid_adapter_bert_ms,0,a86bwoym,0.7785714268684387,0.8476623296737671,0.25,0.6578249335289001,0.6823112964630127,0.6000000238418579,0.6138613820075989,0.8071915507316589,0.8509804010391235,0.8509804010391235,0.10051386058330536,0.4150943458080292,0.7085714340209961,0.7420381903648376,0.7720630764961243,0.6666666865348816,0.8251520991325378,0.648809552192688,0.7676886916160583,0.6895943880081177,0.6970346570014954,0.9732142686843872,0.8080984354019165,0.09310634434223176,0.6347929239273071,0.8476623296737671,0.7676886916160583,0.7333333492279053,0.681281566619873,0.06999999999999999,0.8071915507316589,0.10245051980018616,0.09519321471452712,0.8214285969734192,0.6349206566810608,0.655583918094635,0.8363636136054993,0.6793003082275391,0.8251520991325378,0.6101694703102112,0.6060606241226196,0.854932427406311,0.7092846035957336,0.6230158805847168,0.09864906966686247,0.6050419807434082,0.8080984354019165,0.6666666269302368,0.7090908885002136,0.7973766922950745,0.0911090150475502,0.7973766922950745,0.6095855236053467,0.6470237970352173,0.6965516805648804,0.5301204919815063,0.8070175647735596,0.7720630764961243,0.854932427406311,23
