name,instance,run_id,test_incremental_geography/macro_types/recall,test_incremental/macro_example/precision,test_incremental_geography-mountain/macro_types/recall,test/macro_example/f1,test_incremental/macro_example/f1,test_incremental/macro_types/precision,test_incremental_geography-glacier/macro_types/precision,test_incremental_only/macro_example/precision,test_incremental/micro/f1,test_incremental_only/macro_example/f1,test_incremental/macro_example_exclusive/recall,test_incremental/macro_example_exclusive/f1,test_incremental_only/macro_example_exclusive/f1,test_incremental/micro/precision,test_incremental_geography-glacier/macro_types/f1,test_incremental_geography-island/macro_types/recall,test_incremental_only/macro_types/recall,test_incremental_geography/macro_types/f1,test_incremental_only/macro_types/precision,epoch,test_incremental_only/macro_example_exclusive/precision,test_incremental_only/macro_types/f1,test/micro/f1,test_incremental_only/micro/f1,test_incremental/macro_example/recall,test_incremental_geography-mountain/macro_types/precision,test/micro/precision,threshold_pretraining,test/macro_types/recall,test/macro_example/precision,test_incremental_only/micro/recall,test_incremental_only/micro/precision,test_pretraining/macro_types/precision,test_pretraining/macro_example/precision,test_incremental_geography-mountain/macro_types/f1,test/macro_types/precision,test_incremental/micro/recall,test/macro_types/f1,threshold_incremental,test/macro_example/recall,test_pretraining/micro/f1,test_incremental_geography/macro_types/precision,test_incremental_geography-glacier/macro_types/recall,test_pretraining/macro_types/f1,test_pretraining/micro/precision,test_pretraining/macro_types/recall,test_incremental_geography-island/macro_types/precision,test_incremental/macro_types/f1,test_incremental_geography-island/macro_types/f1,test_incremental/macro_example_exclusive/precision,test_incremental_only/macro_example_exclusive/recall,test/micro/recall,test_pretraining/micro/recall,test_incremental_only/macro_example/recall,test_pretraining/macro_example/recall,test_pretraining/macro_example/f1,test_incremental/macro_types/recall
no_init_box_kenn_hybrid_adapter_bert_ms,2,d0rqe5bn,0.9222221970558168,0.02974947914481163,0.53125,0.9142234921455384,0.0285111740231514,0.925595223903656,1.0,0.026443980634212497,0.8957746624946594,0.0262688547372818,0.8740741014480591,0.9104568958282472,0.8388521671295166,0.9244186282157898,0.98305082321167,0.9677419066429138,0.8218861818313599,0.9540229439735411,0.9047619104385376,21,0.8444445133209229,0.8613351583480835,0.8915451169013977,0.8397789597511292,0.027371838688850403,1.0,0.9041370153427124,0.25,0.8165454864501953,0.9237589836120604,0.8172042965888977,0.8636363744735718,0.891070544719696,0.9237589836120604,0.6938775777816772,0.891070544719696,0.868852436542511,0.8521817326545715,0.01,0.9048829078674316,0.8915451169013977,0.988095223903656,0.9666666388511658,0.8521817326545715,0.9041370153427124,0.8165454864501953,0.7142857313156128,0.884539008140564,0.8219178318977356,0.9500000476837158,0.8333333730697632,0.8792991638183594,0.8792991638183594,0.026096034795045853,0.9048829078674316,0.9142234921455384,0.8469702005386353
no_init_box_kenn_top_down_adapter_bert_ms,2,baji5vj5,0.9222221970558168,0.03009742498397827,0.65625,0.9139996767044068,0.0290471650660038,0.8859127163887024,1.0,0.027835769578814507,0.878706157207489,0.02766069956123829,0.8962963223457336,0.9275728464126588,0.8832984566688538,0.8670212626457214,0.98305082321167,0.9677419066429138,0.8635528683662415,0.9540229439735411,0.8518519401550293,21,0.888888955116272,0.8576624989509583,0.8908593654632568,0.8121827244758606,0.028067734092473984,1.0,0.9018173813819884,0.25,0.8189493417739868,0.9228195548057556,0.8602150678634644,0.7692307829856873,0.888018012046814,0.9228195548057556,0.7924528121948242,0.888018012046814,0.8907103538513184,0.8520863056182861,0.02,0.9053467512130736,0.8908593654632568,0.988095223903656,0.9666666388511658,0.8520863056182861,0.9018173813819884,0.8189493417739868,0.5555555820465088,0.8820496797561646,0.7058823704719543,0.9611111879348756,0.8777778148651123,0.880164384841919,0.880164384841919,0.027487821877002716,0.9053467512130736,0.9139996767044068,0.8782202005386353
no_init_box_kenn_bottom_up_adapter_bert_ms,2,n9tfmpwz,0.9222221970558168,0.03009742498397827,0.625,0.9143158197402954,0.02895372174680233,0.9214423894882202,1.0,0.027487821877002716,0.902506947517395,0.027312742546200752,0.8907407522201538,0.9245889186859132,0.8721868395805359,0.9204545617103576,0.98305082321167,0.9677419066429138,0.8531361818313599,0.9540229439735411,0.8992248773574829,37,0.8777778148651123,0.8755744099617004,0.8918119072914124,0.8540540933609009,0.02789375931024551,1.0,0.9039999842643738,0.25,0.8183483481407166,0.923585057258606,0.8494623899459839,0.8586956262588501,0.8907510638237,0.923585057258606,0.7692307829856873,0.8907510638237,0.8852459192276001,0.8530160784721375,0.01,0.9052307605743408,0.8918119072914124,0.988095223903656,0.9666666388511658,0.8530160784721375,0.9039999842643738,0.8183483481407166,0.6976743936538696,0.8951982855796814,0.8108108043670654,0.9611111879348756,0.8666666746139526,0.879948079586029,0.879948079586029,0.027139876037836075,0.9052307605743408,0.9143158197402954,0.8704077005386353
no_init_box_kenn_hybrid_adapter_bert_ms,1,v0ih0q3x,0.9222221970558168,0.02957550436258316,0.65625,0.9138731360435486,0.02739625796675682,0.9707080125808716,1.0,0.022616563364863396,0.886227548122406,0.02252924256026745,0.8148148059844971,0.8748538494110107,0.7194337844848633,0.9801324605941772,0.9473683834075928,0.5483871102333069,0.7015457153320312,0.9540229439735411,0.9649122953414916,33,0.7222223281860352,0.8124178051948547,0.8911848664283752,0.8124999403953552,0.025516122579574585,1.0,0.9059218168258668,0.25,0.8096027374267578,0.9243447184562684,0.698924720287323,0.9701492786407472,0.8945407271385193,0.9243447184562684,0.7924528121948242,0.8945407271385193,0.8087431788444519,0.8499549627304077,0.02,0.90363609790802,0.8911848664283752,0.988095223903656,0.8999999761581421,0.8499549627304077,0.9059218168258668,0.8096027374267578,0.8947368264198303,0.850456714630127,0.6800000071525574,0.9444445371627808,0.7166666984558105,0.8769197463989258,0.8769197463989258,0.022442590445280075,0.90363609790802,0.9138731360435486,0.7567148208618164
no_init_box_kenn_top_down_adapter_bert_ms,1,33lfhlaj,0.9222221970558168,0.03027139976620674,0.75,0.9135687351226808,0.02922135218977928,0.8799669742584229,1.0,0.028183717280626297,0.8913043141365051,0.028008664026856422,0.9018518924713136,0.933135151863098,0.8944100141525269,0.8864864706993103,0.98305082321167,0.9032257795333862,0.8732975125312805,0.9540229439735411,0.8439242243766785,33,0.9000000953674316,0.858359694480896,0.8913710117340088,0.8350515961647034,0.028241708874702457,0.9230769276618958,0.9026391506195068,0.25,0.8195114731788635,0.9218510985374452,0.8709677457809448,0.801980197429657,0.8875606656074524,0.9218510985374452,0.8275862336158752,0.8875606656074524,0.8961748480796814,0.852179765701294,0.01,0.9054337739944458,0.8913710117340088,0.988095223903656,0.9666666388511658,0.852179765701294,0.9026391506195068,0.8195114731788635,0.6086956262588501,0.8827390670776367,0.7272727489471436,0.9666666984558104,0.888888955116272,0.8803806900978088,0.8803806900978088,0.027835769578814507,0.9054337739944458,0.9135687351226808,0.8855286240577698
no_init_box_kenn_bottom_up_adapter_bert_ms,1,w3yd5di7,0.9222221970558168,0.02992345206439495,0.6875,0.9141771197319032,0.02833567745983601,0.9599868059158324,1.0,0.02540013939142227,0.9069767594337464,0.02531285211443901,0.859259307384491,0.9048526883125304,0.808323860168457,0.9689440727233888,0.9655172228813172,0.7419354915618896,0.7875896096229553,0.9540229439735411,0.9506173133850098,33,0.8111112117767334,0.8614582419395447,0.8919631242752075,0.8588235974311829,0.0269079115241766,1.0,0.9056856036186218,0.25,0.8145668506622314,0.9239968061447144,0.7849462628364563,0.948051929473877,0.893716037273407,0.9239968061447144,0.8148148059844971,0.893716037273407,0.8524590134620667,0.8523077964782715,0.01,0.9045639038085938,0.8919631242752075,0.988095223903656,0.9333333373069764,0.8523077964782715,0.9056856036186218,0.8145668506622314,0.8518518805503845,0.8852141499519348,0.7931034564971924,0.9555555582046508,0.8055555820465088,0.8786502480506897,0.8786502480506897,0.0252261646091938,0.9045639038085938,0.9141771197319032,0.8212477564811707
no_init_box_kenn_hybrid_adapter_bert_ms,0,czxt3tkh,0.9222221970558168,0.02957550436258316,0.65625,0.9136119484901428,0.027727035805583,0.9220237731933594,1.0,0.02400835044682026,0.8837209343910217,0.023744521662592888,0.8333333730697632,0.8854166269302368,0.7582417726516724,0.9440993666648864,0.98305082321167,0.6129032373428345,0.7452733516693115,0.9540229439735411,0.8999999761581421,31,0.7666667699813843,0.8153612017631531,0.8910847902297974,0.8117647767066956,0.026096034795045853,0.75,0.9047937393188475,0.25,0.8121254444122314,0.9234168529510498,0.7419354915618896,0.8961039185523987,0.8907958269119263,0.9234168529510498,0.699999988079071,0.8907958269119263,0.8306010961532593,0.8496434688568115,0.01,0.9040130376815796,0.8910847902297974,0.988095223903656,0.9666666388511658,0.8496434688568115,0.9047937393188475,0.8121254444122314,0.949999988079071,0.8506373167037964,0.7450980544090271,0.944444477558136,0.7500000596046448,0.8777849674224854,0.8777849674224854,0.023486431688070297,0.9040130376815796,0.9136119484901428,0.7895105481147766
no_init_box_kenn_top_down_adapter_bert_ms,0,czn14opt,0.9222221970558168,0.02992345206439495,0.6875,0.912623941898346,0.028174081817269325,0.8303571939468384,1.0,0.02505219168961048,0.8563535809516907,0.02478848397731781,0.8500000238418579,0.8996922969818115,0.791579008102417,0.8659217953681946,1.0,0.6451612710952759,0.7775537967681885,0.9540229439735411,0.7777777910232544,31,0.8000000715255737,0.7776657938957214,0.889984667301178,0.7659574151039124,0.026617955416440964,0.5641025900840759,0.9018431901931764,0.25,0.8139878511428833,0.9210392236709596,0.774193525314331,0.75789475440979,0.8837445378303528,0.9210392236709596,0.6197183132171631,0.8837445378303528,0.8469945192337036,0.8474330902099609,0.02,0.9043609499931335,0.889984667301178,0.988095223903656,1.0,0.8474330902099609,0.9018431901931764,0.8139878511428833,0.7692307829856873,0.8219548463821411,0.7017543911933899,0.9555555582046508,0.783333420753479,0.8784339427947998,0.8784339427947998,0.02453027293086052,0.9043609499931335,0.912623941898346,0.8137208223342896
no_init_box_kenn_bottom_up_adapter_bert_ms,0,7cz39y3m,0.9222221970558168,0.02992345206439495,0.6875,0.913327932357788,0.02787899225950241,0.900532603263855,1.0,0.02400835230946541,0.8735632300376892,0.023744521662592888,0.8333333730697632,0.8902692198753357,0.7582417726516724,0.9212121367454528,0.98305082321167,0.5806451439857483,0.7449373006820679,0.9540229439735411,0.871345043182373,37,0.7666667699813843,0.8031980991363525,0.8906936049461365,0.7931034564971924,0.026096034795045853,0.6666666865348816,0.9039875268936156,0.25,0.8121061325073242,0.9228368997573853,0.7419354915618896,0.8518518805503845,0.889142632484436,0.9228368997573853,0.6769230365753174,0.889142632484436,0.8306010961532593,0.8488802313804626,0.01,0.9040129780769348,0.8906936049461365,0.988095223903656,0.9666666388511658,0.8488802313804626,0.9039875268936156,0.8121061325073242,0.9473684430122375,0.8412317633628845,0.7199999690055847,0.9555555582046508,0.7500000596046448,0.8777849674224854,0.8777849674224854,0.023486429825425148,0.9040129780769348,0.913327932357788,0.7892584800720215
smart_init_kenn_hybrid_adapter_bert_ms,2,bhhx2c2v,0.8999999761581421,0.02957550436258316,0.75,0.9207522869110109,0.028771335259079933,0.9540940523147584,1.0,0.028531664982438087,0.9235127568244934,0.028268296271562576,0.894444465637207,0.9187647700309752,0.9027009606361388,0.9588235020637512,0.98305082321167,0.9354838728904724,0.884050190448761,0.9418604373931884,0.9428571462631226,22,0.9111111760139464,0.912507176399231,0.906294286251068,0.9060773849487304,0.028009742498397827,1.0,0.9141725301742554,0.375,0.8628390431404114,0.9279227256774902,0.8817204236984253,0.931818187236786,0.9065145254135132,0.9279227256774902,0.8571428656578064,0.9065145254135132,0.8907103538513184,0.8841376900672913,0.87,0.9136917591094972,0.906294286251068,0.9878048896789552,0.9666666388511658,0.8841376900672913,0.9141725301742554,0.8628390431404114,0.8285714387893677,0.9198815226554872,0.8787878751754761,0.944444477558136,0.894444465637207,0.8985507488250732,0.8985507488250732,0.028009742498397827,0.9136917591094972,0.9207522869110109,0.8880376219749451
