name,test_pretraining/macro_example/recall/mean,test_incremental/micro/f1/mean,test/macro_types/precision/mean,test_incremental/micro/precision/mean,test_incremental_only/micro/recall/mean,test_pretraining/macro_types/precision/mean,test_incremental/macro_example_exclusive/f1/mean,threshold_pretraining/mean,test_incremental_only/macro_types/precision/mean,test_incremental_geography-mountain/macro_types/f1/mean,test_incremental_geography-island/macro_types/f1/mean,test_incremental_geography/macro_types/precision/mean,test/micro/recall/mean,test/macro_example/precision/mean,test_pretraining/macro_types/recall/mean,test_incremental_geography/macro_types/recall/mean,test/macro_types/f1/mean,test/macro_types/recall/mean,test_pretraining/macro_example/f1/mean,test_incremental_geography-glacier/macro_types/recall/mean,test/micro/precision/mean,test_incremental/macro_example/f1/mean,epoch/mean,test_incremental_only/macro_example/f1/mean,test_incremental_only/macro_example/precision/mean,test_incremental_only/micro/precision/mean,test/micro/f1/mean,test_incremental/micro/recall/mean,test_pretraining/macro_types/f1/mean,test_incremental_only/macro_example_exclusive/precision/mean,test_pretraining/micro/recall/mean,test_incremental/macro_example/recall/mean,test_incremental_only/macro_example_exclusive/recall/mean,test_incremental/macro_example_exclusive/recall/mean,test_incremental_geography-island/macro_types/recall/mean,test_incremental_geography-mountain/macro_types/recall/mean,test_incremental_only/micro/f1/mean,test_incremental/macro_types/f1/mean,test_incremental_only/macro_types/f1/mean,test_incremental/macro_types/precision/mean,test_incremental_only/macro_example_exclusive/f1/mean,test_incremental_only/macro_example/recall/mean,test_incremental/macro_example/precision/mean,test_incremental_geography-glacier/macro_types/f1/mean,test_incremental/macro_example_exclusive/precision/mean,test_incremental_geography-mountain/macro_types/precision/mean,test/macro_example/recall/mean,test_incremental/macro_types/recall/mean,test_incremental_geography/macro_types/f1/mean,test/macro_example/f1/mean,test_pretraining/micro/f1/mean,test_incremental_only/macro_types/recall/mean,threshold_incremental/mean,test_pretraining/macro_example/precision/mean,test_incremental_geography-island/macro_types/precision/mean,test_incremental_geography-glacier/macro_types/precision/mean,test_pretraining/micro/precision/mean,test_pretraining/macro_example/recall/std,test_incremental/micro/f1/std,test/macro_types/precision/std,test_incremental/micro/precision/std,test_incremental_only/micro/recall/std,test_pretraining/macro_types/precision/std,test_incremental/macro_example_exclusive/f1/std,threshold_pretraining/std,test_incremental_only/macro_types/precision/std,test_incremental_geography-mountain/macro_types/f1/std,test_incremental_geography-island/macro_types/f1/std,test_incremental_geography/macro_types/precision/std,test/micro/recall/std,test/macro_example/precision/std,test_pretraining/macro_types/recall/std,test_incremental_geography/macro_types/recall/std,test/macro_types/f1/std,test/macro_types/recall/std,test_pretraining/macro_example/f1/std,test_incremental_geography-glacier/macro_types/recall/std,test/micro/precision/std,test_incremental/macro_example/f1/std,epoch/std,test_incremental_only/macro_example/f1/std,test_incremental_only/macro_example/precision/std,test_incremental_only/micro/precision/std,test/micro/f1/std,test_incremental/micro/recall/std,test_pretraining/macro_types/f1/std,test_incremental_only/macro_example_exclusive/precision/std,test_pretraining/micro/recall/std,test_incremental/macro_example/recall/std,test_incremental_only/macro_example_exclusive/recall/std,test_incremental/macro_example_exclusive/recall/std,test_incremental_geography-island/macro_types/recall/std,test_incremental_geography-mountain/macro_types/recall/std,test_incremental_only/micro/f1/std,test_incremental/macro_types/f1/std,test_incremental_only/macro_types/f1/std,test_incremental/macro_types/precision/std,test_incremental_only/macro_example_exclusive/f1/std,test_incremental_only/macro_example/recall/std,test_incremental/macro_example/precision/std,test_incremental_geography-glacier/macro_types/f1/std,test_incremental/macro_example_exclusive/precision/std,test_incremental_geography-mountain/macro_types/precision/std,test/macro_example/recall/std,test_incremental/macro_types/recall/std,test_incremental_geography/macro_types/f1/std,test/macro_example/f1/std,test_pretraining/micro/f1/std,test_incremental_only/macro_types/recall/std,threshold_incremental/std,test_pretraining/macro_example/precision/std,test_incremental_geography-island/macro_types/precision/std,test_incremental_geography-glacier/macro_types/precision/std,test_pretraining/micro/precision/std
no_init_box_adapter_bert_ms,0.9019542932510376,0.8331629236539205,0.8938813805580139,0.9701874852180481,0.5448028842608134,0.8938813805580139,0.8181276122728983,0.25,0.9534832835197449,0.452634001771609,0.5435432195663452,0.988095223903656,0.8738192915916443,0.9242867430051168,0.8009519179662069,0.9222221970558168,0.8448665142059326,0.8009519179662069,0.9129838943481445,0.9444444378217062,0.9054157336552938,0.02561986135939757,49.333333333333336,0.01745303130398194,0.01762932011236747,0.9386587142944336,0.8893367052078247,0.7304189403851827,0.8448665142059326,0.5629630287488302,0.8738192915916443,0.02296451044579347,0.551851898431778,0.7333333889643351,0.3978494604428609,0.3125,0.6882540186246237,0.7709490458170573,0.6969565550486246,0.9621362487475077,0.5573335488637289,0.017281373652319115,0.028995593388875324,0.939393957455953,0.9259259700775146,1.0,0.9019542932510376,0.6442540287971497,0.9540229439735411,0.9129838943481445,0.8893367052078247,0.5515979727109274,0.016666666666666666,0.9242867430051168,0.916005273660024,0.9444444378217062,0.9054157336552938,0.0011048559989096,0.04306178492579419,0.0025380084276142765,0.027068662258465766,0.0993290870809402,0.0025380084276142765,0.04204955746587275,0.0,0.04399186306034346,0.24402120095396984,0.17005601147340738,0.0,0.001998176776200272,0.00040176894621776375,0.005583532162932877,0.0,0.00423992792106353,0.005583532162932877,0.0007621049321574908,0.09622505633585686,0.0008994806609200981,0.0013167909152954189,6.5064070986477125,0.0032921383450003573,0.003214197274186452,0.07585937984888574,0.0014689773881970379,0.05047873218141579,0.00423992792106353,0.1026400761508676,0.001998176776200272,0.0016575741917654594,0.10748722285677727,0.052931891679068595,0.16236203984322148,0.19008632907181935,0.10117378295777163,0.06340646152790691,0.09132038449748633,0.03299389165729704,0.10512902666904161,0.0033659874910260752,0.0007243091108825948,0.052486372465985205,0.023129625609854196,0.0,0.0011048559989096,0.07258543571329057,0.0,0.0007621049321574908,0.0014689773881970379,0.09678054654037639,0.011547005383792514,0.00040176894621776375,0.03638766963777119,0.09622505633585687,0.0008994806609200981
no_init_box_kenn_bottom_up_adapter_bert_ms,0.9004561901092529,0.7857824762662252,0.8833674391110738,0.9891685446103414,0.40143369138240814,0.8833674391110738,0.7693018913269043,0.25,0.7712418536345164,0.3631352384885152,0.3450292448202769,0.988095223903656,0.8709351817766825,0.9245187044143676,0.7925815184911092,0.9222221970558168,0.8355044921239217,0.7925815184911092,0.9123277068138123,0.7222222288449606,0.9056746959686279,0.024090873077511787,48.666666666666664,0.012931738048791885,0.01299002580344677,0.9938271641731262,0.887961765130361,0.6575591961542765,0.8355044921239217,0.41481482485930127,0.8709351817766825,0.02072218433022499,0.41111113131046295,0.6617284218470255,0.24731182058652243,0.25,0.5427473237117132,0.6491291125615438,0.5310814082622528,0.8254551887512207,0.4129535307486852,0.012874043236176172,0.029111575956145923,0.8196857770284017,0.9296296834945679,0.6666666666666666,0.9004561901092529,0.5354390541712443,0.9540229439735411,0.9123277068138123,0.887961765130361,0.4065113614002864,0.09333333333333334,0.9245187044143676,0.6470588246981303,1.0,0.9056746959686279,0.002450495941474474,0.08742599434349424,0.021886511114111627,0.0034301466228649656,0.22969849219231175,0.021886511114111627,0.0857113540357565,0.0,0.37936659561859265,0.31621883731811573,0.3339483494093816,0.0,0.004620806058653196,0.0,0.013262672288962125,0.0,0.01709412558554517,0.013262672288962125,0.001258668679879447,0.25891511669881173,0.0003903998535486409,0.002684071873608092,6.658328118479392,0.0073830456928782335,0.0074328322165500525,0.010691665278926756,0.002587165900314582,0.11673204741723667,0.01709412558554517,0.2373551110517943,0.004620806058653196,0.0036833913363694807,0.23419155739295922,0.11762298188483913,0.25873567864425767,0.21875,0.25930763665917955,0.21392730058297252,0.28678440803337824,0.284524934583647,0.23576528092204538,0.00733376433401359,0.00020088769930494936,0.1901259844818278,0.0064150198150108,0.5773502691896258,0.002450495941474474,0.17241438104420326,0.0,0.001258668679879447,0.002587165900314582,0.22988586029063093,0.14433756729740646,0.0,0.5611407076347128,0.0,0.0003903998535486409
no_init_box_kenn_horizontal_adapter_bert_ms,0.9002725879351298,0.7812405824661255,0.8832866549491882,0.989101787408193,0.38351255655288696,0.8832866549491882,0.766023059686025,0.25,0.7698413034280142,0.338934063911438,0.23299662272135416,0.988095223903656,0.8705746730168661,0.9245187044143676,0.7915950020154318,0.9222221970558168,0.834898312886556,0.7915950020154318,0.9122340083122253,0.7777777910232544,0.9056400458017985,0.023988193521897,58.0,0.012351779267191887,0.012410114208857218,0.9934640526771545,0.8877594669659933,0.6484517256418864,0.834898312886556,0.39629632234573364,0.8705746730168661,0.020432228222489357,0.3925926188627879,0.6524691979090372,0.16129031777381897,0.22916666666666666,0.5392191906770071,0.6361985603968302,0.513070156176885,0.824404776096344,0.39443354805310565,0.012294131331145763,0.02922755852341652,0.8724868098894755,0.9333333969116212,0.6666666666666666,0.9002725879351298,0.5226142406463623,0.9540229439735411,0.9122340083122253,0.8877594669659933,0.3894116183121999,0.01,0.9245187044143676,0.6428571343421936,1.0,0.9056400458017985,0.0017297892953691313,0.05978070725650918,0.021820051292963556,0.003458457284522008,0.1617675237428858,0.021820051292963556,0.05778387680460435,0.0,0.37821438594718504,0.301612917900566,0.30467788014912944,0.0,0.0032542376338219863,0.0,0.009249903710497389,0.0,0.014538263227078024,0.009249903710497389,0.0008881022525842565,0.10183500937362319,0.00023241361575240832,0.0018095183132425738,15.716233645501712,0.005189167762233051,0.005234649072179264,0.01132059283876212,0.001799535108622583,0.08220971177414542,0.014538263227078024,0.16715976994508996,0.0032542376338219863,0.0025871700374504006,0.16427293269412435,0.08261695554851799,0.22580644488334656,0.20807275370248104,0.1722037919212799,0.17286571262192432,0.22183694126550096,0.2836607775000616,0.1657074385556937,0.005144246674840382,0.0,0.06583636730917228,0.0,0.5773502691896258,0.0017297892953691313,0.12024861749745525,0.0,0.0008881022525842565,0.001799535108622583,0.1603315140684889,0.0,0.0,0.5578749703091103,0.0,0.00023241361575240832
no_init_box_kenn_hybrid_adapter_bert_ms,0.901026447614034,0.8049391905466715,0.8825401663780212,0.9783084988594055,0.45519713560740155,0.8825401663780212,0.788704514503479,0.25,0.7569023768107096,0.3631352384885152,0.3396506706873576,0.988095223903656,0.8720167279243469,0.9243640700976054,0.7957935531934103,0.9222221970558168,0.8368814388910929,0.7957935531934103,0.9125458399454752,0.899999996026357,0.9055097301801046,0.024698471650481224,48.333333333333336,0.014612462992469469,0.01472976120809714,0.9531856973965963,0.8884469469388326,0.6848816076914469,0.8368814388910929,0.47037041187286377,0.8720167279243469,0.021553391590714455,0.46296297510464984,0.6882716218630472,0.23655913273493448,0.25,0.6117314298947653,0.6692648728688558,0.5633406539758047,0.8147005836168925,0.4666247069835663,0.014497796383996805,0.028995593388875324,0.9250137011210123,0.9259259899457296,0.6666666666666666,0.901026447614034,0.5771953264872233,0.9540229439735411,0.9125458399454752,0.8884469469388326,0.46218639612197876,0.016666666666666666,0.9243640700976054,0.6444444457689921,0.9595959583918253,0.9055097301801046,0.0013757005994403675,0.050826782487034476,0.02319034425554981,0.018564141858394795,0.12601000955008013,0.02319034425554981,0.04885898133917463,0.0,0.40196607304097975,0.31621883731811573,0.3104294873428271,0.0,0.0025349340880970947,0.00026783449322593514,0.007091919002300607,0.0,0.014333136216103852,0.007091919002300607,0.0008346609356792448,0.088191693847966,0.0006596020365858883,0.0015300297539569783,7.76745346515403,0.004128547233475748,0.004077567907528571,0.06514393845166798,0.0016249847396094116,0.06403787070409557,0.014333136216103852,0.13021036563747493,0.0025349340880970947,0.002071781755256495,0.13337190356795894,0.06615891892937047,0.2265731922336729,0.21875,0.1321020995911224,0.17327026138391985,0.22258040860547582,0.30147456379253273,0.13183828567546957,0.00417657266582984,0.0004017753986098997,0.03850133910665973,0.012830005217263863,0.5773502691896258,0.0013757005994403675,0.09219443020729845,0.0,0.0008346609356792448,0.0016249847396094116,0.12292591755711584,0.011547005383792514,0.00026783449322593514,0.5590998066003368,0.0699818528964854,0.0006596020365858883
no_init_box_kenn_top_down_adapter_bert_ms,0.9014807144800822,0.8171654144922892,0.8851035038630167,0.9714383482933044,0.4982078969478607,0.8851035038630167,0.8032045165697733,0.25,0.8013333082199097,0.3954911430676778,0.41569314400355023,0.988095223903656,0.8728819489479065,0.9243254065513611,0.7982762455940247,0.9222221970558168,0.8394378026326498,0.7982762455940247,0.9127598206202189,0.9333333373069763,0.9053911368052164,0.025152540455261867,48.666666666666664,0.015974965567390125,0.016121549531817436,0.93599400917689,0.8888383507728577,0.7067395250002543,0.8394378026326498,0.5148148536682129,0.8728819489479065,0.022229955221215885,0.5055555800596873,0.7098765770594279,0.3010752598444621,0.28125,0.6446894705295563,0.7079097231229147,0.6181424160798391,0.8480237722396851,0.5101339320341746,0.01583159404496352,0.029053584362069767,0.9366651574770609,0.9277778267860413,0.6666666666666666,0.9014807144800822,0.6094701886177063,0.9540229439735411,0.9127598206202189,0.8888383507728577,0.5052195688088735,0.03666666666666667,0.9243254065513611,0.7873015801111857,0.9500316182772318,0.9053911368052164,0.0015839959159076916,0.056804036084334514,0.01701856045612515,0.018829247744659886,0.14638407188895736,0.01701856045612515,0.05514291965393744,0.0,0.29498861226995743,0.3428540668175938,0.3079027533261382,0.0,0.0029447860127718656,0.0002414203637120961,0.008274973428852684,0.0,0.012146904769291854,0.008274973428852684,0.0009193257047253828,0.1154700469553736,0.0006944312045145704,0.0017268145303943568,7.6376261582597325,0.004752942953165423,0.004736854336728897,0.0652638570004538,0.001851443080649595,0.07439192894037033,0.012146904769291854,0.15126356422976758,0.0029447860127718656,0.0023785822891860637,0.15224657364124375,0.07595603923478324,0.23336057814435243,0.24407030237208294,0.14398199214639168,0.15006263886963464,0.19562261233784004,0.22124145920246802,0.15177734452110947,0.004767637124993068,0.00046029119211856275,0.04736429951706069,0.014698600622381751,0.5773502691896258,0.0015839959159076916,0.10757455215146629,0.0,0.0009193257047253828,0.001851443080649595,0.14343275294204344,0.03785938897200183,0.0002414203637120961,0.24882185887761296,0.06079019604726221,0.0006944312045145704
no_init_kenn_bottom_up_adapter_bert_ms,0.9135371049245199,0.912736197312673,0.9046316146850586,0.9443131486574808,0.8673834999402364,0.9046316146850586,0.8984785278638204,0.375,0.9102200269699097,0.8549309968948364,0.862646241982778,0.9878048896789552,0.8982623219490051,0.9275786677996317,0.8619929552078247,0.8999999761581421,0.8827964266141256,0.8619929552078247,0.9205043117205302,0.9777777592341105,0.9136120478312174,0.02813606895506382,76.66666666666667,0.027484620610872906,0.02742983152468999,0.9056382576624552,0.9058720072110494,0.8834244012832642,0.8827964266141256,0.8759259780248007,0.8982623219490051,0.02777777798473835,0.8796296914418539,0.8870370984077454,0.8387096524238586,0.7916666666666666,0.8856658339500427,0.9023606181144714,0.8889620105425516,0.9296162128448486,0.8776755928993225,0.027545813471078873,0.028512333209315937,0.938741147518158,0.9104938904444376,0.9301830728848776,0.9135371049245199,0.8770384987195333,0.9418604373931884,0.9205043117205302,0.9058720072110494,0.8693847258885702,0.19666666666666666,0.9275786677996317,0.8921576539675394,0.9083191951115926,0.9136120478312174,0.0002919033728249395,0.025879940383593376,0.0041562999621020695,0.04027509086678127,0.027060344250238864,0.0041562999621020695,0.026120921110373656,0.0,0.07204264998958673,0.059417072268412495,0.06298108508564756,0.0,0.0005443878692998473,0.0006802322271069996,0.00152973494462155,0.0,0.002757456031807554,0.00152973494462155,0.0004780999142922295,0.01924502503227447,0.0014725859343935846,0.0008179825220264982,9.504384952922166,0.0012298467310733797,0.0015785962381398106,0.0758937397823879,0.0009933430745997138,0.013751981266994914,0.002757456031807554,0.050409825136869216,0.0005443878692998473,0.00043782397335376337,0.027962332303920867,0.013981152336012553,0.06451612710952759,0.036084391824351594,0.04977829711442476,0.03558060503142271,0.047656220214176814,0.05403197832217075,0.03927309131260854,0.0008756483167740736,0.00123880496978395,0.05142405622321039,0.039559185620959725,0.09076077726805754,0.0002919033728249395,0.0198865953369202,0.0,0.0004780999142922295,0.0009933430745997138,0.02651542336431893,0.10016652800877812,0.0006802322271069996,0.09276773375666189,0.10785995191505757,0.0014725859343935846
no_init_kenn_horizontal_adapter_bert_ms,0.9129668871561686,0.9009525179862976,0.905044158299764,0.9515839219093323,0.8136200706164042,0.905044158299764,0.8862955570220947,0.375,0.9173702796300253,0.818314254283905,0.7940577467282613,0.9878048896789552,0.8971807758013407,0.9276753465334574,0.8589170575141907,0.8999999761581421,0.8813734849294027,0.8589170575141907,0.9202621777852377,0.9777777592341105,0.9138514598210653,0.027754555145899456,64.33333333333333,0.026035839691758156,0.026270007714629173,0.9158444007237753,0.9054389198621114,0.8561020096143087,0.8813734849294027,0.838888963063558,0.8971807758013407,0.026907910282413166,0.8240741292635599,0.8592593272527059,0.7204300959904989,0.75,0.8602814475695292,0.882597287495931,0.8624639511108398,0.9349789023399353,0.8314112027486166,0.0258060780664285,0.028666976218422253,0.9575981299082438,0.9154321948687235,0.9055829246838888,0.9129668871561686,0.8370519677797953,0.9418604373931884,0.9202621777852377,0.9054389198621114,0.8160693049430847,0.15333333333333335,0.9276753465334574,0.9052579402923584,0.9412698348363241,0.9138514598210653,0.0009346384800938986,0.030491006315247843,0.002615828056528833,0.025930398375784435,0.08757558684445371,0.002615828056528833,0.03921322919664695,0.0,0.045340882795448866,0.07754799649196657,0.11617062908247083,0.0,0.001761738325564438,0.0004144854212577041,0.00499904708248257,0.0,0.0033561344245593367,0.00499904708248257,0.0005340619289718288,0.01924502503227447,0.0009328391341289383,0.001227971263530862,12.096831541082702,0.002785038355844566,0.0027342103705611407,0.05084256376643231,0.0011692661446722201,0.04450562278202173,0.0033561344245593367,0.08731241247069461,0.001761738325564438,0.0014169321996740597,0.0904947993374079,0.04524737222482939,0.18901502025900185,0.08267972847076846,0.0607540310888779,0.04457964473694014,0.05950638546614476,0.03400568713638744,0.0889355757843867,0.0028338643993481233,0.0011603075656602098,0.030998313303947644,0.037052473229846644,0.10938661198167304,0.0009346384800938986,0.06498775824804151,0.0,0.0005340619289718288,0.0011692661446722201,0.08665036079737386,0.08736894948054104,0.0004144854212577041,0.047626794587468595,0.07473813249434388,0.0009328391341289383
no_init_kenn_hybrid_adapter_bert_ms,0.9134984612464905,0.9124342799186707,0.9047989249229431,0.9458608031272888,0.8637992739677429,0.9047989249229431,0.895207683245341,0.375,0.9131199320157369,0.838249921798706,0.8796536525090536,0.9878048896789552,0.8981902201970419,0.9275787075360616,0.8618055383364359,0.8999999761581421,0.8827772339185079,0.8618055383364359,0.9204846819241842,0.9777777592341105,0.9136724472045898,0.02803364334007104,77.0,0.027428581689794857,0.02742983152468999,0.9079494675000509,0.905864953994751,0.8816029032071432,0.8827772339185079,0.8759259780248007,0.8981902201970419,0.027719787632425625,0.8759259780248007,0.8851852019627889,0.8602150281270345,0.7604166666666666,0.8847216963768005,0.9019906520843506,0.8884639938672384,0.9317911267280579,0.8758860429128011,0.02742983152468999,0.028357690200209618,0.9330693682034811,0.9055556058883667,0.9343209862709045,0.9134984612464905,0.8746023376782736,0.9418604373931884,0.9204846819241842,0.905864953994751,0.8661365310351054,0.32,0.9275787075360616,0.9085057377815247,0.8965328931808472,0.9136724472045898,0.0005357033992095924,0.026756784572692177,0.003778225732342829,0.03649331304294012,0.04966452633409125,0.003778225732342829,0.033586602125098085,0.0,0.06548944633073392,0.08814980633968285,0.046689095363675395,0.0,0.000999105594479005,0.0006459644250063634,0.0027973786611649528,0.0,0.002893742053565328,0.0027973786611649528,0.0005210807180165694,0.01924502503227447,0.0013236178835423482,0.0010517717232954077,9.539392014169456,0.0016955252014946463,0.0018107745667777667,0.06965081021225678,0.001021952241348511,0.02523934888432905,0.002893742053565328,0.057824016302714526,0.000999105594479005,0.0008035497218211166,0.05132002086905499,0.02566004484728519,0.07449680670751574,0.090210979560879,0.0522816881981383,0.0374264268643544,0.0499197332880805,0.04911707246999624,0.0541437523644223,0.0016070983682435554,0.0013109081044967352,0.04506960914149225,0.041861690491950404,0.083757239496935,0.0005357033992095924,0.03636569891223173,0.0,0.0005210807180165694,0.001021952241348511,0.04848759281417553,0.22869193252058545,0.0006459644250063634,0.09400919851097077,0.09583476500762865,0.0013236178835423482
no_init_kenn_top_down_adapter_bert_ms,0.9134984413782755,0.9133551319440206,0.9049490888913473,0.9476463596026102,0.8637992739677429,0.9049490888913473,0.8988027373949686,0.375,0.9157227277755737,0.8481914599736532,0.8618437250455221,0.9878048896789552,0.8981902201970419,0.9276076952616373,0.8617926239967346,0.8999999761581421,0.8828429182370504,0.8617926239967346,0.9204990069071451,0.9777777592341105,0.9137393832206726,0.02814622161289056,78.33333333333333,0.02751583606004715,0.02760380444427331,0.9112128615379333,0.9058979948361715,0.8816029032071432,0.8828429182370504,0.8814815282821655,0.8981902201970419,0.02771978701154391,0.8759259780248007,0.8851852218310038,0.8387096722920736,0.78125,0.8865862091382345,0.9029842813809713,0.8898802002271017,0.9337432185808817,0.8786724408467611,0.027429830903808277,0.028589654713869095,0.9484132726987203,0.9129630327224731,0.9281305273373922,0.9134984413782755,0.8744343320528666,0.9418604373931884,0.9204990069071451,0.9058979948361715,0.8659125169118246,0.48,0.9276076952616373,0.8932116230328878,0.925825814406077,0.9137393832206726,0.0004391334708899991,0.027736925072217537,0.003992908818595617,0.03787575810499454,0.0407090156881813,0.003992908818595617,0.029453387091266926,0.0,0.06921068441766673,0.07101015126662975,0.062087727931977206,0.0,0.0008189525932812937,0.000672119704291875,0.0023034748887300217,0.0,0.0030212145160827112,0.0023034748887300217,0.0005362360425009605,0.01924502503227447,0.0013817520520459437,0.0009223398896462683,9.504384952922171,0.0014788566553525357,0.001644334912699344,0.07235748061704686,0.0010637062179680995,0.02068817303003496,0.0030212145160827112,0.05250904256738403,0.0008189525932812937,0.0006586536312551551,0.04206596162381081,0.021032980811905376,0.08534680267820312,0.05412658773652741,0.05378144847681718,0.039013123736458794,0.05209812909429768,0.0519079993237772,0.0472247516700537,0.0013173066065228062,0.001206717235357975,0.046531679247251295,0.03853453876905825,0.09424389410915933,0.0004391334708899991,0.029945341034610592,0.0,0.0005362360425009605,0.0010637062179680995,0.03992708126432194,0.2,0.000672119704291875,0.08878439432938043,0.10099068096648874,0.0013817520520459437
smart_init_box_adapter_bert_ms,0.9064002633094788,0.533062736193339,0.852966825167338,0.3774966398874919,0.9713261723518372,0.852966825167338,0.6422797838846842,0.25,0.2442974348862966,0.38977272311846417,0.3781836728254954,0.988095223903656,0.8823995987574259,0.904011090596517,0.8251859545707703,0.9222221970558168,0.8388389945030212,0.8251859545707703,0.9051869511604309,0.9888888796170553,0.8482787211736044,0.020113144690791767,19.0,0.015603151793281237,0.010496404642860094,0.24426190555095673,0.864864190419515,0.9471766948699951,0.8388389945030212,0.3351851900418599,0.8823995987574259,0.029633496577541035,0.9703704516092936,0.9462963342666626,0.9677419265111288,0.9583333333333334,0.38462384541829425,0.5917445222536722,0.3847001890341441,0.43024687965710956,0.49826066692670185,0.030387380470832188,0.015222686342895031,0.3860170841217041,0.48611114422480267,0.24933006862799326,0.9064002633094788,0.9592965841293335,0.9540229439735411,0.9051869511604309,0.864864190419515,0.9716547528902689,0.043333333333333335,0.904011090596517,0.23972495396931967,0.24383726716041565,0.8482787211736044,0.0002414203637121361,0.11093625883366799,0.004910089770065767,0.11042106892257654,0.0223835174293671,0.004910089770065767,0.010063684646282905,0.0,0.08510815564047863,0.10910866372022206,0.1055218021100866,0.0,0.0004502752966918219,0.009404882188461297,0.001292070691398323,0.0,0.001722598744955539,0.001292070691398323,0.004611296209329334,0.019245025032274446,0.025872076265199107,0.0003151449446672706,13.892443989449804,0.0003887955750780245,0.00026574893882834797,0.0851357717245226,0.013285994013413661,0.011375218434129197,0.001722598744955539,0.008486241026042875,0.0004502752966918219,0.0003621545554412973,0.023129616065472525,0.011564784171790717,0.03225806355476837,0.018042195912175797,0.1061175474918316,0.05726456390311518,0.10609266493827892,0.06383112767856759,0.012415533113711403,0.0007243091108825957,0.00026574904044414756,0.1036363096591862,0.008486257284537032,0.08822485269990085,0.0002414203637121361,0.01679703348451643,0.0,0.004611296209329334,0.013285994013413661,0.02239607805250622,0.057735026918962574,0.009404882188461297,0.08497029096520171,0.08216501664035893,0.025872076265199107
