name,instance,run_id,test_pretraining/macro_example/recall,test_incremental/micro/f1,test/macro_types/precision,test_incremental/micro/precision,test_incremental_only/micro/recall,test_pretraining/macro_types/precision,test_incremental/macro_example_exclusive/f1,threshold_pretraining,test_incremental_only/macro_types/precision,test_incremental_geography-mountain/macro_types/f1,test_incremental_geography-island/macro_types/f1,test_incremental_geography/macro_types/precision,test/micro/recall,test/macro_example/precision,test_pretraining/macro_types/recall,test_incremental_geography/macro_types/recall,test/macro_types/f1,test/macro_types/recall,test_pretraining/macro_example/f1,test_incremental_geography-glacier/macro_types/recall,test/micro/precision,test_incremental/macro_example/f1,epoch,test_incremental_only/macro_example/f1,test_incremental_only/macro_example/precision,test_incremental_only/micro/precision,test/micro/f1,test_incremental/micro/recall,test_pretraining/macro_types/f1,test_incremental_only/macro_example_exclusive/precision,test_pretraining/micro/recall,test_incremental/macro_example/recall,test_incremental_only/macro_example_exclusive/recall,test_incremental/macro_example_exclusive/recall,test_incremental_geography-island/macro_types/recall,test_incremental_geography-mountain/macro_types/recall,test_incremental_only/micro/f1,test_incremental/macro_types/f1,test_incremental_only/macro_types/f1,test_incremental/macro_types/precision,test_incremental_only/macro_example_exclusive/f1,test_incremental_only/macro_example/recall,test_incremental/macro_example/precision,test_incremental_geography-glacier/macro_types/f1,test_incremental/macro_example_exclusive/precision,test_incremental_geography-mountain/macro_types/precision,test/macro_example/recall,test_incremental/macro_types/recall,test_incremental_geography/macro_types/f1,test/macro_example/f1,test_pretraining/micro/f1,test_incremental_only/macro_types/recall,threshold_incremental,test_pretraining/macro_example/precision,test_incremental_geography-island/macro_types/precision,test_incremental_geography-glacier/macro_types/precision,test_pretraining/micro/precision
no_init_box_kenn_hybrid_adapter_bert_ms,2,i53p31qc,0.901577353477478,0.8280254602432251,0.8965650200843811,0.9923664331436156,0.5053763389587402,0.8965650200843811,0.8095880150794983,0.25,1.0,0.5116279125213623,0.41025638580322266,0.988095223903656,0.8730261921882629,0.9245187044143676,0.7986510396003723,0.9222221970558168,0.8447803258895874,0.7986510396003723,0.912903904914856,0.9333333373069764,0.9059484004974364,0.025352444499731064,57,0.01626606099307537,0.016353514045476913,1.0,0.8891826868057251,0.7103825211524963,0.8447803258895874,0.5222222805023193,0.8730261921882629,0.02238459885120392,0.5166667103767395,0.7148148417472839,0.25806450843811035,0.34375,0.6714285612106323,0.7602419853210449,0.6770001649856567,0.9970238208770752,0.5194296836853027,0.016179541125893593,0.02922755852341652,0.9655172228813172,0.9333333969116212,1.0,0.901577353477478,0.6143425107002258,0.9540229439735411,0.912903904914856,0.8891826868057251,0.5117159485816956,0.01,0.9245187044143676,1.0,1.0,0.9059484004974364
no_init_box_kenn_top_down_adapter_bert_ms,2,uvs354sb,0.9027081727981568,0.8588956594467163,0.89457106590271,0.9790209531784058,0.6129032373428345,0.89457106590271,0.845203697681427,0.25,0.9654377698898317,0.6086956262588501,0.5777777433395386,0.988095223903656,0.8751892447471619,0.9244027137756348,0.804837703704834,0.9222221970558168,0.8473353385925293,0.804837703704834,0.913426637649536,1.0,0.9057533144950868,0.02646775543689728,57,0.019657474011182785,0.01983298547565937,0.9661017060279846,0.8902089595794678,0.7650273442268372,0.8473353385925293,0.6333333849906921,0.8751892447471619,0.024066343903541565,0.6222223043441772,0.7685185670852661,0.4193548262119293,0.4375,0.7499999403953552,0.8100168108940125,0.7543086409568787,0.9711021184921264,0.6277287602424622,0.01948503963649273,0.02940153144299984,0.9836065173149108,0.9388889074325562,1.0,0.9027081727981568,0.6947692632675171,0.9540229439735411,0.913426637649536,0.8902089595794678,0.618951678276062,0.01,0.9244027137756348,0.9285714030265808,0.9677419066429138,0.9057533144950868
no_init_box_kenn_bottom_up_adapter_bert_ms,2,poeghjqt,0.9014613628387452,0.8242811560630798,0.8965650200843811,0.9923076629638672,0.49462366104125977,0.8965650200843811,0.8060128092765808,0.25,1.0,0.5116279125213623,0.3684210479259491,0.988095223903656,0.872809886932373,0.9245187044143676,0.79803067445755,0.9222221970558168,0.8444331884384155,0.79803067445755,0.9128444790840148,0.9333333373069764,0.9059272408485411,0.02524048462510109,56,0.015918103978037834,0.016005568206310272,1.0,0.8890602588653564,0.7049180269241333,0.8444331884384155,0.5111111402511597,0.872809886932373,0.02221062406897545,0.5055555701255798,0.7092592716217041,0.22580644488334656,0.34375,0.6618704795837402,0.7540359497070312,0.6675223708152771,0.9970238208770752,0.5083181858062744,0.015831593424081802,0.02922755852341652,0.9655172228813172,0.9333333969116212,1.0,0.9014613628387452,0.6062780022621155,0.9540229439735411,0.9128444790840148,0.8890602588653564,0.5009632706642151,0.01,0.9245187044143676,1.0,1.0,0.9059272408485411
no_init_box_kenn_hybrid_adapter_bert_ms,1,ulzv92og,0.9020413160324096,0.8401253819465637,0.8952829837799072,0.9852941036224364,0.5483871102333069,0.8952829837799072,0.8236511945724487,0.25,0.9777778387069702,0.5777778029441833,0.6086956262588501,0.988095223903656,0.8738914132118225,0.9245187044143676,0.8010109663009644,0.9222221970558168,0.8455274105072021,0.8010109663009644,0.9131417274475098,0.800000011920929,0.9058296084403992,0.025792833417654037,46,0.017657887190580368,0.017745302990078926,0.9807692170143129,0.8895739316940308,0.7322404384613037,0.8455274105072021,0.5666667222976685,0.8738914132118225,0.02308049239218235,0.5611110925674438,0.7370370626449585,0.4516128897666931,0.40625,0.7034482955932617,0.7780972719192505,0.7061434984207153,0.9803571701049804,0.5638751983642578,0.017571328207850456,0.02922755852341652,0.888888955116272,0.9333333969116212,1.0,0.9020413160324096,0.6450212597846985,0.9540229439735411,0.9131417274475098,0.8895739316940308,0.5526210069656372,0.03,0.9245187044143676,0.9333333373069764,1.0,0.9058296084403992
no_init_box_kenn_top_down_adapter_bert_ms,1,wldrma2n,0.9020413160324096,0.8401253819465637,0.8952829837799072,0.9852941036224364,0.5483871102333069,0.8952829837799072,0.8236511945724487,0.25,0.9777778387069702,0.5777778029441833,0.6086956262588501,0.988095223903656,0.8738914132118225,0.9245187044143676,0.8010109663009644,0.9222221970558168,0.8455274105072021,0.8010109663009644,0.9131417274475098,0.800000011920929,0.9058296084403992,0.025792833417654037,47,0.017657887190580368,0.017745302990078926,0.9807692170143129,0.8895739316940308,0.7322404384613037,0.8455274105072021,0.5666667222976685,0.8738914132118225,0.02308049239218235,0.5611110925674438,0.7370370626449585,0.4516128897666931,0.40625,0.7034482955932617,0.7780972719192505,0.7061434984207153,0.9803571701049804,0.5638751983642578,0.017571328207850456,0.02922755852341652,0.888888955116272,0.9333333969116212,1.0,0.9020413160324096,0.6450212597846985,0.9540229439735411,0.9131417274475098,0.8895739316940308,0.5526210069656372,0.08,0.9245187044143676,0.9333333373069764,1.0,0.9058296084403992
no_init_box_kenn_bottom_up_adapter_bert_ms,1,otjxyu1c,0.90224426984787,0.8473520278930664,0.895433783531189,0.9855072498321532,0.5698924660682678,0.895433783531189,0.8305433392524719,0.25,0.9803922176361084,0.5777778029441833,0.6666666865348816,0.988095223903656,0.8743240237236023,0.9245187044143676,0.8022516369819641,0.9222221970558168,0.8462854027748108,0.8022516369819641,0.9132457375526428,0.800000011920929,0.9058718085289,0.026008663699030876,47,0.018353797495365143,0.01844119653105736,0.9814814925193788,0.8898184299468994,0.7431694269180298,0.8462854027748108,0.5888888835906982,0.8743240237236023,0.02342844009399414,0.5833333730697632,0.7481482028961182,0.5161290168762207,0.40625,0.7210884690284729,0.7903527617454529,0.7241714596748352,0.9823179244995116,0.5860979557037354,0.018267223611474037,0.02922755852341652,0.888888955116272,0.9333333969116212,1.0,0.90224426984787,0.6611502766609192,0.9540229439735411,0.9132457375526428,0.8898184299468994,0.5741263628005981,0.01,0.9245187044143676,0.9411764740943908,1.0,0.9058718085289
no_init_box_kenn_hybrid_adapter_bert_ms,0,7isb8px9,0.8994606733322144,0.7466667294502258,0.8557724952697754,0.9572649598121644,0.31182795763015747,0.8557724952697754,0.73287433385849,0.25,0.2929292917251587,0.0,0.0,0.988095223903656,0.8691325783729553,0.9240548014640808,0.787718653678894,0.9222221970558168,0.8203365802764893,0.787718653678894,0.91159188747406,0.9666666388511658,0.904751181602478,0.02295013703405857,42,0.00991344079375267,0.01009046658873558,0.8787878751754761,0.8865842223167419,0.6120218634605408,0.8203365802764893,0.3222222328186035,0.8691325783729553,0.019195083528757095,0.31111112236976624,0.6129629611968994,0.0,0.0,0.4603174328804016,0.469455361366272,0.30687829852104187,0.4667207598686218,0.3165692389011383,0.009742519818246365,0.028531663119792935,0.920634925365448,0.9111111760139464,0.0,0.8994606733322144,0.4722222089767456,0.9540229439735411,0.91159188747406,0.8865842223167419,0.3222222328186035,0.01,0.9240548014640808,0.0,0.8787878751754761,0.904751181602478
no_init_box_kenn_top_down_adapter_bert_ms,0,mw6yh7pq,0.8996926546096802,0.7524752020835876,0.8654564619064331,0.949999988079071,0.3333333432674408,0.8654564619064331,0.7407586574554443,0.25,0.4607843160629273,0.0,0.06060606241226196,0.988095223903656,0.8695651888847351,0.9240548014640808,0.7889800667762756,0.9222221970558168,0.8254506587982178,0.7889800667762756,0.9117110967636108,1.0,0.9045904874801636,0.023197032511234283,42,0.01060953550040722,0.010786360129714012,0.8611111044883728,0.8867321610450745,0.6229507923126221,0.8254506587982178,0.3444444537162781,0.8695651888847351,0.019543029367923737,0.3333333432674408,0.6240741014480591,0.032258063554763794,0.0,0.4806201756000519,0.535615086555481,0.3939751088619232,0.5926120281219482,0.33879783749580383,0.010438414290547373,0.028531663119792935,0.9375,0.9111111760139464,0.0,0.8996926546096802,0.4886200428009033,0.9540229439735411,0.9117110967636108,0.8867321610450745,0.34408602118492126,0.02,0.9240548014640808,0.5,0.8823529481887817,0.9045904874801636
no_init_box_kenn_bottom_up_adapter_bert_ms,0,1wioycog,0.8976629376411438,0.6857142448425293,0.8581035137176514,0.9896907210350036,0.13978494703769684,0.8581035137176514,0.6713495254516602,0.25,0.3333333432674408,0.0,0.0,0.988095223903656,0.8656716346740723,0.9245187044143676,0.7774622440338135,0.9222221970558168,0.8157948851585388,0.7774622440338135,0.910892903804779,0.4333333373069763,0.9052250385284424,0.021023470908403397,43,0.004523312672972679,0.004523312672972679,1.0,0.8850066065788269,0.5245901346206665,0.8157948851585388,0.14444445073604584,0.8656716346740723,0.016527488827705383,0.14444445073604584,0.5277777910232544,0.0,0.0,0.24528302252292633,0.4029986262321472,0.20155039429664612,0.4970238208770752,0.14444445073604584,0.004523312672972679,0.02887961082160473,0.604651153087616,0.9222222566604614,0.0,0.8976629376411438,0.33888888359069824,0.9540229439735411,0.910892903804779,0.8850066065788269,0.14444445073604584,0.26,0.9245187044143676,0.0,1.0,0.9052250385284424
no_init_box_kenn_horizontal_adapter_bert_ms,2,o1xoh5yq,0.9004175662994385,0.7894737124443054,0.8965650200843811,0.9917355179786682,0.3978494703769684,0.8965650200843811,0.7727132439613342,0.25,1.0,0.4390243887901306,0.12121212482452393,0.988095223903656,0.8708630800247192,0.9245187044143676,0.7924449443817139,0.9222221970558168,0.8412957191467285,0.7924449443817139,0.9123089909553528,0.8666666746139526,0.905736804008484,0.024197697639465332,61,0.01278646383434534,0.012874043546617033,1.0,0.8879576921463013,0.6557376980781555,0.8412957191467285,0.41111114621162415,0.8708630800247192,0.020644862204790115,0.4055556058883667,0.6592593193054199,0.06451612710952759,0.28125,0.5692307949066162,0.6952110528945923,0.5756449699401855,0.9970238208770752,0.4083145260810852,0.012700069695711136,0.02922755852341652,0.9285714626312256,0.9333333969116212,1.0,0.9004175662994385,0.5336637496948242,0.9540229439735411,0.9123089909553528,0.8879576921463013,0.404144287109375,0.01,0.9245187044143676,1.0,1.0,0.905736804008484
no_init_box_kenn_horizontal_adapter_bert_ms,1,1dtvkem8,0.9019253253936768,0.8364779949188232,0.8951914310455322,0.985185205936432,0.5376344323158264,0.8951914310455322,0.8201706409454346,0.25,0.9761905670166016,0.5777778029441833,0.5777777433395386,0.988095223903656,0.8736751079559326,0.9245187044143676,0.8003906011581421,0.9222221970558168,0.845140814781189,0.8003906011581421,0.913082242012024,0.800000011920929,0.905808448791504,0.025683840736746788,72,0.01730993203818798,0.017397357150912285,0.9803921580314636,0.8894516825675964,0.7267759442329407,0.845140814781189,0.5555555820465088,0.8736751079559326,0.02290651947259903,0.550000011920929,0.7314815521240234,0.4193548262119293,0.40625,0.694444477558136,0.7718307375907898,0.6968988180160522,0.9791666865348816,0.5527638792991638,0.017223382368683815,0.02922755852341652,0.888888955116272,0.9333333969116212,1.0,0.9019253253936768,0.6369567513465881,0.9540229439735411,0.913082242012024,0.8894516825675964,0.5418683290481567,0.01,0.9245187044143676,0.9285714030265808,1.0,0.905808448791504
no_init_box_kenn_horizontal_adapter_bert_ms,0,m5w4ismg,0.8984748721122742,0.7177700400352478,0.8581035137176514,0.9903846383094788,0.2150537669658661,0.8581035137176514,0.7051852941513062,0.25,0.3333333432674408,0.0,0.0,0.988095223903656,0.8671858310699463,0.9245187044143676,0.7819494605064392,0.9222221970558168,0.8182584047317505,0.7819494605064392,0.9113107919692992,0.6666666865348816,0.9053748846054076,0.02208304218947887,41,0.006958941929042339,0.006958941929042339,1.0,0.885869026184082,0.562841534614563,0.8182584047317505,0.222222238779068,0.8671858310699463,0.017745302990078926,0.222222238779068,0.5666667222976685,0.0,0.0,0.3539822995662689,0.44155389070510864,0.2666666805744171,0.4970238208770752,0.222222238779068,0.006958941929042339,0.02922755852341652,0.800000011920929,0.9333333969116212,0.0,0.8984748721122742,0.39722222089767456,0.9540229439735411,0.9113107919692992,0.885869026184082,0.222222238779068,0.01,0.9245187044143676,0.0,1.0,0.9053748846054076
