name,instance,run_id,test_incremental/macro_types/f1,test_incremental_only/macro_example/f1,test_incremental/macro_example/precision,threshold_pretraining,test_incremental/macro_types/recall,test_incremental/macro_example_exclusive/f1,test_incremental_only/macro_example/precision,epoch,test_incremental/micro/recall,test_pretraining/macro_example/f1,test_incremental/macro_types/precision,test_incremental_only/macro_types/recall,test_incremental_geography/macro_types/precision,test/macro_types/recall,test/macro_example/recall,test_pretraining/micro/f1,test_incremental/macro_example_exclusive/recall,test_incremental/macro_example_exclusive/precision,test_incremental_geography-island/macro_types/recall,test_pretraining/macro_example/precision,test_incremental_geography/macro_types/recall,test_incremental_geography-island/macro_types/f1,test_incremental/macro_example/f1,test_incremental_geography/macro_types/f1,test_incremental_geography-glacier/macro_types/precision,test/micro/recall,test_pretraining/micro/recall,test_incremental/micro/precision,test/micro/precision,test/macro_example/precision,test_incremental_only/micro/f1,test_pretraining/macro_types/f1,test_pretraining/macro_example/recall,test/macro_example/f1,test_incremental_geography-glacier/macro_types/recall,test_incremental_only/macro_example/recall,test_incremental_only/micro/recall,test_incremental_only/micro/precision,test_pretraining/macro_types/precision,test_incremental_only/macro_example_exclusive/recall,test/macro_types/f1,test_incremental_geography-mountain/macro_types/recall,test/macro_types/precision,test_incremental_only/macro_types/f1,test_incremental_only/macro_types/precision,test_incremental_geography-mountain/macro_types/f1,test_incremental_only/macro_example_exclusive/precision,test_pretraining/macro_types/recall,test_incremental/macro_example/recall,test_incremental_geography-island/macro_types/precision,test_incremental_geography-mountain/macro_types/precision,test_incremental_only/macro_example_exclusive/f1,test_incremental/micro/f1,test_pretraining/micro/precision,test_incremental_geography-glacier/macro_types/f1,test/micro/f1,threshold_incremental
no_init_box_kenn_hybrid_adapter_bert_ms,2,d2wzsf15,0.5964654684066772,0.0110466368496418,0.02922755852341652,0.25,0.49641573429107666,0.7532939910888672,0.011134307831525804,26,0.6284152865409851,0.9120112061500548,0.7470238208770752,0.3544802963733673,0.988095223903656,0.7895797491073608,0.8998376131057739,0.8873441815376282,0.6314815282821655,0.9333333969116212,0.09677419066429138,0.9245187044143676,0.9222221970558168,0.1764705777168274,0.02358957938849926,0.9540229439735411,1.0,0.8697815537452698,0.8697815537452698,0.9913793206214904,0.9056306481361388,0.9245187044143676,0.5119999647140503,0.8311470746994019,0.8998376131057739,0.9120112061500548,0.9666666388511658,0.010960334911942482,0.34408602118492126,1.0,0.8773342370986938,0.3500000238418579,0.8311470746994019,0.0,0.8773342370986938,0.46285244822502136,0.6666666865348816,0.0,0.35555559396743774,0.7895797491073608,0.019774993881583217,1.0,0.0,0.35275593400001526,0.7692307829856873,0.9056306481361388,0.98305082321167,0.8873441815376282,0.01
no_init_box_kenn_top_down_adapter_bert_ms,2,lc2uo49p,0.7419556379318237,0.017657889053225517,0.02940153144299984,0.25,0.6466174125671387,0.8258073329925537,0.017745302990078926,26,0.7322404384613037,0.9128049612045288,0.8702694177627563,0.5547491312026978,0.988095223903656,0.8011336922645569,0.9020413160324096,0.8886933326721191,0.7370370626449585,0.9388889670372008,0.32258063554763794,0.9238286018371582,0.9222221970558168,0.4000000059604645,0.02586035430431366,0.9540229439735411,0.9666666388511658,0.8738914132118225,0.8738914132118225,0.9241379499435424,0.9040053486824036,0.9238286018371582,0.6623376607894897,0.8417995572090149,0.9020413160324096,0.9128049612045288,0.9666666388511658,0.017571330070495605,0.5483871102333069,0.8360655903816223,0.8868147134780884,0.5611111521720886,0.8417995572090149,0.375,0.8868147134780884,0.6653371453285217,0.830994188785553,0.5454545617103577,0.5666667222976685,0.8011336922645569,0.02308049239218235,0.5263158082962036,1.0,0.5638752579689026,0.8170731663703918,0.9040053486824036,0.9666666388511658,0.8886933326721191,0.01
no_init_box_kenn_bottom_up_adapter_bert_ms,2,n4v2jcui,0.7479345202445984,0.01826556585729122,0.02957550622522831,0.25,0.6619903445243835,0.8337593078613281,0.01844119653105736,37,0.7431694269180298,0.912931501865387,0.8595238327980042,0.5752464532852173,0.988095223903656,0.8023162484169006,0.90224426984787,0.8888400793075562,0.7462963461875916,0.944444477558136,0.29032257199287415,0.9238749742507936,0.9222221970558168,0.3529411554336548,0.026109373196959496,0.9540229439735411,1.0,0.8743240237236023,0.8743240237236023,0.9189189076423644,0.9038461446762084,0.9238749742507936,0.675159215927124,0.8420788049697876,0.90224426984787,0.912931501865387,0.9666666388511658,0.018093250691890717,0.5698924660682678,0.828125,0.8859881162643433,0.5777778625488281,0.8420788049697876,0.46875,0.8859881162643433,0.6750200390815735,0.8166667222976685,0.6382978558540344,0.5888888835906982,0.8023162484169006,0.023370448499917984,0.44999998807907104,1.0,0.5832804441452026,0.8217521905899048,0.9038461446762084,0.98305082321167,0.8888400793075562,0.01
no_init_box_kenn_hybrid_adapter_bert_ms,1,me9q3ivl,0.8245532512664795,0.020353419706225395,0.02887961082160473,0.25,0.7093021869659424,0.8449522852897644,0.0205288790166378,47,0.7759562730789185,0.9136019945144652,0.9845237731933594,0.6383289098739624,0.988095223903656,0.8059555888175964,0.9029401540756226,0.8905510902404785,0.779629647731781,0.9222222566604614,0.6129032373428345,0.9245187044143676,0.9222221970558168,0.7450980544090271,0.02645988203585148,0.9540229439735411,1.0,0.8756219148635864,0.8756219148635864,0.9861111044883728,0.9059982299804688,0.9245187044143676,0.7712418437004089,0.8484179377555847,0.9029401540756226,0.9136019945144652,0.8333333134651184,0.02018093317747116,0.6344085931777954,0.9833333492279052,0.8956034779548645,0.6444445252418518,0.8484179377555847,0.46875,0.8956034779548645,0.774131715297699,0.9833333492279052,0.6382978558540344,0.6555556058883667,0.8059555888175964,0.02441428974270821,0.949999988079071,1.0,0.6499525904655457,0.8685015439987183,0.9059982299804688,0.9090909361839294,0.8905510902404785,0.1
no_init_box_kenn_top_down_adapter_bert_ms,1,wkpfdket,0.9073616862297058,0.026876382529735565,0.02974947914481163,0.25,0.8618391752243042,0.9154545664787292,0.027139876037836075,47,0.8797814249992371,0.9143719673156738,0.9579613208770752,0.8417115211486816,0.988095223903656,0.8176892399787903,0.9050568342208862,0.8924731016159058,0.8833333849906921,0.9500000476837158,0.8709677457809448,0.9238808155059814,0.9222221970558168,0.8571428656578064,0.02866767719388008,0.9540229439735411,1.0,0.8797317743301392,0.8797317743301392,0.9640718698501588,0.9055889844894408,0.9238808155059814,0.8863636255264282,0.8539428114891052,0.9050568342208862,0.9143719673156738,0.9666666388511658,0.026617955416440964,0.8387096524238586,0.9397590160369872,0.8935602307319641,0.8500000834465027,0.8539428114891052,0.6875,0.8935602307319641,0.8916627168655396,0.9479166865348816,0.8148148059844971,0.8666667342185974,0.8176892399787903,0.027661794796586037,0.84375,1.0,0.8582525253295898,0.9200000762939452,0.9055889844894408,0.98305082321167,0.8924731016159058,0.01
no_init_box_kenn_bottom_up_adapter_bert_ms,1,nrw9ar8y,0.8192500472068787,0.02009356953203678,0.02922755852341652,0.25,0.7014896869659424,0.8473817706108093,0.02018093317747116,47,0.7704917788505554,0.913557469844818,0.9845238327980042,0.6279122233390808,0.988095223903656,0.805354654788971,0.9028531312942504,0.8904290199279785,0.7759259343147278,0.9333333969116212,0.6129032373428345,0.9245187044143676,0.9222221970558168,0.7450980544090271,0.02653596363961697,0.9540229439735411,1.0,0.8754056096076965,0.8754056096076965,0.9860140085220336,0.905977189540863,0.9245187044143676,0.763157844543457,0.8480848670005798,0.9028531312942504,0.913557469844818,0.8333333134651184,0.02000695839524269,0.6236559152603149,0.98305082321167,0.8956034779548645,0.638888955116272,0.8480848670005798,0.4375,0.8956034779548645,0.7664219737052917,0.9833333492279052,0.6086956262588501,0.6444445252418518,0.805354654788971,0.024298306554555893,0.949999988079071,1.0,0.6416547298431396,0.8650307059288025,0.905977189540863,0.9090909361839294,0.8904290199279785,0.060000000000000005
no_init_box_kenn_hybrid_adapter_bert_ms,0,7gfz5wiy,0.8220105767250061,0.020264560356736183,0.02992345206439495,0.25,0.7098902463912964,0.8575499653816223,0.0205288790166378,46,0.7759562730789185,0.913572371006012,0.9761905074119568,0.6391129493713379,0.988095223903656,0.806000828742981,0.9028822183609008,0.8905510902404785,0.7777778506278992,0.9555555582046508,0.35483869910240173,0.9245187044143676,0.9222221970558168,0.5116279125213623,0.0268543791025877,0.9540229439735411,1.0,0.8756219148635864,0.8756219148635864,0.9861111044883728,0.9059982299804688,0.9245187044143676,0.7712418437004089,0.8481553196907043,0.9028822183609008,0.913572371006012,1.0,0.02000696025788784,0.6344085931777954,0.9833333492279052,0.89496248960495,0.638888955116272,0.8481553196907043,0.5625,0.89496248960495,0.771236002445221,0.9722223281860352,0.7200000286102295,0.6555556058883667,0.806000828742981,0.02435629814863205,0.9166666865348816,1.0,0.6471149921417236,0.8685015439987183,0.9059982299804688,1.0,0.8905510902404785,0.01
no_init_box_kenn_top_down_adapter_bert_ms,0,j7u2h27o,0.7918922901153564,0.02096056565642357,0.02922755852341652,0.25,0.7257672548294067,0.8550538420677185,0.021224774420261383,47,0.7868852615356445,0.9128974080085754,0.8712745904922485,0.6602822542190552,0.988095223903656,0.8072221279144287,0.903114140033722,0.8897188305854797,0.7888889312744141,0.9333333969116212,0.3870967626571655,0.9228949546813964,0.9222221970558168,0.5333333611488342,0.026776213198900223,0.9540229439735411,0.9090909361839294,0.8760545253753662,0.8760545253753662,0.9171974658966064,0.9038161039352416,0.9228949546813964,0.7349397540092468,0.8451836705207825,0.903114140033722,0.9128974080085754,1.0,0.020702853798866272,0.6559139490127563,0.835616409778595,0.8868920207023621,0.6611111164093018,0.8451836705207825,0.59375,0.8868920207023621,0.7363921999931335,0.8323343992233276,0.6551724076271057,0.6777778267860413,0.8072221279144287,0.02470424398779869,0.8571428656578064,0.7307692170143127,0.6693407893180847,0.8470588326454163,0.9038161039352416,0.9523809552192688,0.8897188305854797,0.01
no_init_box_kenn_bottom_up_adapter_bert_ms,0,y6tcpbqf,0.7041020393371582,0.014437709003686903,0.02887961082160473,0.25,0.5727262496948242,0.7862263321876526,0.01461377926170826,47,0.6830601096153259,0.9125916957855223,0.913690447807312,0.4562276005744934,0.988095223903656,0.7954497933387756,0.9009684920310974,0.8884724974632263,0.6851852536201477,0.9222222566604614,0.06451612710952759,0.9245187044143676,0.9222221970558168,0.11764705926179886,0.024620866402983665,0.9540229439735411,1.0,0.8719446063041687,0.8719446063041687,0.9842519760131836,0.9056391716003418,0.9245187044143676,0.6176469922065735,0.8401418328285217,0.9009684920310974,0.9125916957855223,0.8666666746139526,0.014265832491219044,0.4516128897666931,0.9767441749572754,0.8901547789573669,0.4555555582046509,0.8401418328285217,0.4375,0.8901547789573669,0.6029747128486633,0.888888955116272,0.6086956262588501,0.46666669845581055,0.7954497933387756,0.02145673893392086,0.6666666865348816,1.0,0.4610441923141479,0.8064515590667725,0.9056391716003418,0.9285714626312256,0.8884724974632263,0.06999999999999999
no_init_box_kenn_horizontal_adapter_bert_ms,2,bfug1lkc,0.5719585418701172,0.009654748253524303,0.02922755852341652,0.25,0.4633680582046509,0.7372549176216125,0.00974251888692379,28,0.6065573692321777,0.911772847175598,0.7470238208770752,0.31041666865348816,0.988095223903656,0.7870376110076904,0.8993736505508423,0.8868528604507446,0.6092592477798462,0.9333333969116212,0.0,0.9245187044143676,0.9222221970558168,0.0,0.02308731339871883,0.9540229439735411,1.0,0.8689162731170654,0.8689162731170654,0.9910714030265808,0.9055455327033995,0.9245187044143676,0.4628099501132965,0.8297364711761475,0.8993736505508423,0.911772847175598,0.8999999761581421,0.00956854596734047,0.301075279712677,1.0,0.8773342370986938,0.3055555820465088,0.8297364711761475,0.03125,0.8773342370986938,0.4235963225364685,0.6666666865348816,0.06060606241226196,0.3111111521720886,0.7870376110076904,0.019079100340604786,0.0,1.0,0.30830833315849304,0.7525423765182495,0.9055455327033995,0.9473683834075928,0.8868528604507446,0.01
