name,test_pretraining/macro_types/precision/mean,test_incremental/micro/f1/mean,test_pretraining/micro/f1/mean,test_incremental/macro_example/recall/mean,test_incremental_geography-glacier/macro_types/precision/mean,test_incremental_geography-mountain/macro_types/precision/mean,test_incremental_only/micro/precision/mean,test_incremental/micro/precision/mean,test/macro_types/recall/mean,test_pretraining/micro/precision/mean,test_pretraining/macro_example/recall/mean,test_incremental_geography-mountain/macro_types/recall/mean,test_incremental_only/macro_types/f1/mean,test_incremental_geography/macro_types/f1/mean,test_incremental_geography-island/macro_types/precision/mean,threshold_incremental/mean,test_incremental/micro/recall/mean,test_incremental_only/macro_example/f1/mean,test_incremental/macro_example_exclusive/recall/mean,test_incremental_geography-island/macro_types/recall/mean,test_pretraining/macro_example/f1/mean,test/macro_types/f1/mean,test_pretraining/macro_types/f1/mean,test_incremental_geography/macro_types/recall/mean,test_incremental_only/macro_example_exclusive/precision/mean,test_incremental/macro_types/recall/mean,test/micro/recall/mean,test/macro_example/recall/mean,test/macro_types/precision/mean,test_incremental_only/micro/recall/mean,test_incremental/macro_types/precision/mean,test_incremental_only/macro_example_exclusive/f1/mean,threshold_pretraining/mean,test_incremental/macro_example/f1/mean,test_pretraining/macro_types/recall/mean,test_incremental_geography/macro_types/precision/mean,test_incremental/macro_example_exclusive/precision/mean,test_incremental_only/macro_example_exclusive/recall/mean,test/micro/f1/mean,test_pretraining/micro/recall/mean,test_incremental_only/micro/f1/mean,test_incremental_geography-glacier/macro_types/f1/mean,test_incremental_only/macro_types/precision/mean,test_incremental_geography-island/macro_types/f1/mean,epoch/mean,test/macro_example/precision/mean,test_incremental/macro_types/f1/mean,test_incremental/macro_example_exclusive/f1/mean,test_incremental_only/macro_example/precision/mean,test_incremental_geography-mountain/macro_types/f1/mean,test_incremental_only/macro_example/recall/mean,test/micro/precision/mean,test/macro_example/f1/mean,test_incremental_only/macro_types/recall/mean,test_pretraining/macro_example/precision/mean,test_incremental_geography-glacier/macro_types/recall/mean,test_incremental/macro_example/precision/mean,test_pretraining/macro_types/precision/std,test_incremental/micro/f1/std,test_pretraining/micro/f1/std,test_incremental/macro_example/recall/std,test_incremental_geography-glacier/macro_types/precision/std,test_incremental_geography-mountain/macro_types/precision/std,test_incremental_only/micro/precision/std,test_incremental/micro/precision/std,test/macro_types/recall/std,test_pretraining/micro/precision/std,test_pretraining/macro_example/recall/std,test_incremental_geography-mountain/macro_types/recall/std,test_incremental_only/macro_types/f1/std,test_incremental_geography/macro_types/f1/std,test_incremental_geography-island/macro_types/precision/std,threshold_incremental/std,test_incremental/micro/recall/std,test_incremental_only/macro_example/f1/std,test_incremental/macro_example_exclusive/recall/std,test_incremental_geography-island/macro_types/recall/std,test_pretraining/macro_example/f1/std,test/macro_types/f1/std,test_pretraining/macro_types/f1/std,test_incremental_geography/macro_types/recall/std,test_incremental_only/macro_example_exclusive/precision/std,test_incremental/macro_types/recall/std,test/micro/recall/std,test/macro_example/recall/std,test/macro_types/precision/std,test_incremental_only/micro/recall/std,test_incremental/macro_types/precision/std,test_incremental_only/macro_example_exclusive/f1/std,threshold_pretraining/std,test_incremental/macro_example/f1/std,test_pretraining/macro_types/recall/std,test_incremental_geography/macro_types/precision/std,test_incremental/macro_example_exclusive/precision/std,test_incremental_only/macro_example_exclusive/recall/std,test/micro/f1/std,test_pretraining/micro/recall/std,test_incremental_only/micro/f1/std,test_incremental_geography-glacier/macro_types/f1/std,test_incremental_only/macro_types/precision/std,test_incremental_geography-island/macro_types/f1/std,epoch/std,test/macro_example/precision/std,test_incremental/macro_types/f1/std,test_incremental/macro_example_exclusive/f1/std,test_incremental_only/macro_example/precision/std,test_incremental_geography-mountain/macro_types/f1/std,test_incremental_only/macro_example/recall/std,test/micro/precision/std,test/macro_example/f1/std,test_incremental_only/macro_types/recall/std,test_pretraining/macro_example/precision/std,test_incremental_geography-glacier/macro_types/recall/std,test_incremental/macro_example/precision/std
box_adapter_bert_ms,0.8529281218846639,0.532309373219808,0.8645854791005453,0.029633496577541035,0.24833841621875763,0.2441793531179428,0.243448868393898,0.3766258160273234,0.8251928289731344,0.8477874000867208,0.9064002633094788,0.9583333333333334,0.38425280650456745,0.9540229439735411,0.23836272458235422,0.049999999999999996,0.9471766750017802,0.015581797187527021,0.9462963342666626,0.9569892485936483,0.9040003816286722,0.8388249079386393,0.8388249079386393,0.9222221970558168,0.33456791440645856,0.9593861897786459,0.8823995987574259,0.9064002633094788,0.8529281218846639,0.9713261524836222,0.4297439257303874,0.49757876992225647,0.25,0.020096331213911373,0.8251928289731344,0.988095223903656,0.48549385865529376,0.9703704118728638,0.8645854791005453,0.8823995987574259,0.3839982847372691,0.39214853445688885,0.24362682302792868,0.3756779332955678,10.0,0.9016640981038412,0.5915014942487081,0.6417428652445475,0.010477074421942234,0.3848105271657308,0.030387381091713905,0.8477874000867208,0.9040003816286722,0.9717742204666138,0.9016640981038412,1.0,0.015203356121977171,0.004759030175320011,0.11342963686488086,0.014514869967915962,0.00026574822752102297,0.09057484621491686,0.07453669445387337,0.08234833343802683,0.10869674114073871,0.0009391649244922753,0.02799514811850316,0.00017715261513273533,0.018042195912175797,0.10641170166729134,0.0,0.08311448709200153,0.04,0.008347152812040999,0.0002658062500405709,0.008486234522755008,0.03724840335375787,0.0057401684848686725,0.0018199092546733304,0.0018199092546733304,0.0,0.005657486430059831,0.012209126176606355,0.00033041173611073873,0.00017715261513273533,0.004759030175320011,0.016425019343781672,0.06186737036404152,0.008488097746728113,0.0,0.00021587751551568375,0.0009391649244922753,0.0,0.005657502688568028,0.016972547086070065,0.014514869967915962,0.00033041173611073873,0.1062377114255907,0.11838281947815003,0.08248983244390513,0.10565574662247176,2.6457513110645907,0.011561561066637369,0.05751103439120809,0.0068936624597453,0.0001771663318095679,0.09627054895014239,0.0005314968615008104,0.02799514811850316,0.0057401684848686725,0.016278869351571416,0.011561561066637369,0.0,0.0001771662301942066
classifier_adapter_bert_ms,0.8907424012819926,0.8034624258677164,0.9008046984672546,0.027719785769780476,0.9165852069854736,0.49678075810273487,0.6128371258576711,0.7456447084744772,0.8617404898007711,0.903461774190267,0.9135080973307291,0.8541666666666666,0.7517188787460327,0.9418604373931884,0.5950532952944437,0.41,0.8816029032071432,0.027311113352576893,0.8851852218310038,0.774193545182546,0.9178988933563232,0.8759961525599161,0.8759961525599161,0.8999999761581421,0.8685185710589091,0.8737566868464152,0.8981902201970419,0.9135080973307291,0.8907424012819926,0.8637992739677429,0.7490560611089071,0.8721348841985067,0.375,0.028219104434053104,0.8617404898007711,0.9878048896789552,0.9179012775421143,0.8759259780248007,0.9008046984672546,0.8981902201970419,0.7080763181050619,0.9407580892244974,0.669473131497701,0.662723441918691,47.666666666666664,0.9223401546478271,0.8052452603975931,0.9011301199595133,0.027197867011030514,0.6105341414610544,0.02742983152468999,0.903461774190267,0.9178988933563232,0.8650090098381042,0.9223401546478271,0.9666666388511658,0.028744298964738846,0.007818210601535926,0.10293044355280616,0.005227682106774552,0.0007671510481794775,0.03273344954272754,0.21824232586094786,0.1940442977925915,0.15219125746347703,0.0029097829528726875,0.0095245504277703,0.0005041921998760236,0.036084391824351615,0.10500215160932796,0.0,0.22868334423487627,0.19,0.025824124946969527,0.0015380562826085747,0.024497693987129122,0.1163081187252312,0.0027975574435481097,0.0051515890756258665,0.0051515890756258665,0.0,0.052802127640996094,0.037827025236513385,0.0010222523918508558,0.0005041921998760236,0.007818210601535926,0.05081520695999098,0.10163652429072506,0.049115248434311934,0.0,0.0007236259477175327,0.0029097829528726875,0.0,0.02804399715675688,0.047249435912911225,0.005227682106774552,0.0010222523918508558,0.15587972736862304,0.017427171106453733,0.1355153848044769,0.17364142542545305,9.865765724632496,0.005162474327313094,0.07409170848986826,0.023107851442493228,0.0016535111844610518,0.20262998728566461,0.0014796280003387537,0.0095245504277703,0.0027975574435481097,0.05043608968468898,0.005162474327313094,0.0,0.0008782041310209952
kenn_bottom_up_adapter_bert_ms,0.8946574529012045,0.8415014743804932,0.9026434620221456,0.0280677347133557,0.8014143904050192,0.6224890251954397,0.7037718494733175,0.805214524269104,0.8631685972213745,0.9066518545150757,0.9137400587399801,0.8854166666666666,0.7936200102170309,0.9418604373931884,0.7880990207195282,0.11666666666666665,0.8943533698717753,0.02780058979988098,0.8962963620821635,0.8172042965888977,0.9187120199203491,0.8785973191261292,0.8785973191261292,0.8999999761581421,0.8796296914418539,0.8923219045003256,0.8986949324607849,0.9137400587399801,0.8946574529012045,0.8888888955116272,0.7999518116315206,0.8877655267715454,0.375,0.028521898513038952,0.8631685972213745,0.9878048896789552,0.9259259700775146,0.8962963620821635,0.9026434620221456,0.8986949324607849,0.7696043054262797,0.871376097202301,0.737334152062734,0.775944987932841,40.333333333333336,0.9237454732259115,0.8370814720789591,0.9107993841171265,0.027545813471078873,0.6995302240053812,0.028067734092473984,0.9066518545150757,0.9187120199203491,0.8897625803947449,0.9237454732259115,0.9666666388511658,0.028995593388875324,0.012529904787234996,0.08316816009733889,0.0037054990100694896,0.0005314978776566979,0.14983288686275784,0.32791023820507553,0.24171240997807114,0.15985245742764853,0.0018845913002107143,0.007838073316612959,0.000354357254599928,0.018042195912175797,0.1209745318669457,0.0,0.26524693058111853,0.07371114795831994,0.016694279610497458,0.0009268292125472145,0.016972514569074088,0.08118099722398019,0.002000694137667457,0.005625897227709484,0.005625897227709484,0.0,0.030597611425993213,0.024500070712078735,0.0006608494862051444,0.000354357254599928,0.012529904787234996,0.03285000617055778,0.16288865621769005,0.029596705992773968,0.0,0.0006360835452990939,0.0018845913002107143,0.0,0.027404928330387403,0.033945003124541066,0.0037054990100694896,0.0006608494862051444,0.1391059388720573,0.08754118356149763,0.21718488954355486,0.13009621729313267,1.5275252316519474,0.00422297173063297,0.08394764395991301,0.020312253776617918,0.0009581719608246816,0.20341835244677825,0.001062996771469455,0.007838073316612959,0.002000694137667457,0.03266673060029604,0.00422297173063297,0.0,0.0008581916836316363
kenn_horizontal_adapter_bert_ms,0.8974957863489786,0.8681852022806803,0.9040084083875021,0.027835768337051075,0.8374863068262736,0.7077922224998474,0.768174409866333,0.8569045066833496,0.8621342579523722,0.9097633759180704,0.9135757486025492,0.875,0.8196973403294882,0.9418604373931884,0.8143162329991659,0.09666666666666666,0.8852458993593851,0.027542237813274067,0.888888935248057,0.7849462429682413,0.9194065531094869,0.8794381221135458,0.8794381221135458,0.8999999761581421,0.8759259978930155,0.8788754145304362,0.8983344038327535,0.9135757486025492,0.8974957863489786,0.8709677457809448,0.8368499279022217,0.8795154889424642,0.375,0.02855827286839485,0.8621342579523722,0.9878048896789552,0.9364198247591654,0.8833334048589071,0.9040084083875021,0.8983344038327535,0.8079986373583475,0.8892551263173422,0.7865316271781921,0.7846358418464661,39.0,0.9253151019414266,0.8534818291664124,0.9119609196980792,0.02742983214557171,0.7665071884791056,0.02766179603834947,0.9097633759180704,0.9194065531094869,0.8718339602152506,0.9253151019414266,0.9555555383364359,0.029324208696683247,0.008913944571035805,0.04427150886932797,0.0018293500804728077,0.0005711470867348515,0.11135660477397644,0.2359431532010139,0.16869842412737912,0.10272740358995326,0.0022264953462568706,0.004283507903541163,0.00039011918159898094,0.03125,0.06711935369247789,0.0,0.18922780512950435,0.055075705472861024,0.01970248107213414,0.0007193770591372257,0.018238640105941763,0.07449680670751573,0.0011164117566772394,0.003376360917986032,0.003376360917986032,0.0,0.011564808032736242,0.028944240611302467,0.0007799327540299228,0.00039011918159898094,0.008913944571035805,0.03876938943976711,0.11588165612621383,0.022972091104223376,0.0,0.00038060495915392614,0.0022264953462568706,0.0,0.012330220358408462,0.034694400237245564,0.0018293500804728077,0.0007799327540299228,0.07721607259362227,0.05226175286430587,0.15450890881737744,0.06583663339396083,1.0,0.002509278622253882,0.04750467845296284,0.012154006450878736,0.00036215425718010566,0.13185011368871027,0.0010864644119784389,0.004283507903541163,0.0011164117566772394,0.03859238971373543,0.002509278622253882,0.019244990619516684,0.000386124916748245
kenn_hybrid_adapter_bert_ms,0.8934515118598938,0.8454874356587728,0.9029292066891988,0.028550994272033375,0.8350427349408468,0.5251950323581696,0.6753637591997782,0.7930604418118795,0.8650175531705221,0.9065543413162231,0.9140686790148417,0.9270833333333334,0.8007933298746744,0.9418604373931884,0.7890565991401672,0.06,0.9107468128204346,0.028520644331971805,0.9117284615834554,0.8494623700777689,0.9188410441080729,0.8789907495180765,0.8789907495180765,0.8999999761581421,0.8962963422139486,0.9163586298624674,0.8993438680966696,0.9140686790148417,0.8934515118598938,0.9211469491322836,0.7842748363812765,0.9107593099276224,0.375,0.02878895898660024,0.8650175531705221,0.9878048896789552,0.9271605809529623,0.9259259899457296,0.9029292066891988,0.8993438680966696,0.7737008730570475,0.9019323388735453,0.7164314786593119,0.7990502119064331,40.666666666666664,0.92366623878479,0.8424164056777954,0.9193274776140848,0.028067734092473984,0.665414015452067,0.028995592147111893,0.9065543413162231,0.9188410441080729,0.921811580657959,0.92366623878479,0.9888888796170553,0.029034254451592762,0.00746028923888389,0.0523461218428313,0.002392795658591552,0.0005808769833666911,0.11398964453161818,0.12323596329440505,0.13311055028615704,0.0956319745572615,0.002167561298219907,0.005106279589061681,0.00039225764799382404,0.01804219591217582,0.07829511587754208,0.0,0.2097186602207223,0.02,0.019190644754395844,0.0009828325247781698,0.018549346180736427,0.09855001200826755,0.0012096357948709908,0.0032668684738869124,0.0032668684738869124,0.0,0.03159021813063298,0.02817819874191784,0.0007596390936593873,0.00039225764799382404,0.00746028923888389,0.03776219493399997,0.09698376423435066,0.031385099505193664,0.0,0.0006766628366272054,0.002167561298219907,0.0,0.02730042938258587,0.03614671081977583,0.002392795658591552,0.0007596390936593873,0.08532180671175008,0.056061548276821714,0.1293116950868856,0.09929447816372734,1.5275252316519456,0.002584602718187035,0.052844941501466486,0.021608079686725973,0.000989255772819711,0.09892629553675707,0.0011319433148333183,0.005106279589061681,0.0012096357948709908,0.03757086444777628,0.002584602718187035,0.019245025032274446,0.0008549197507319998
kenn_top_down_adapter_bert_ms,0.8766509294509888,0.6498370865980784,0.8886354168256124,0.028299699847896893,0.5132189790407816,0.29422329862912494,0.3889150371154149,0.5342051188151041,0.8640030225118002,0.8789602319399515,0.9138947129249573,0.8958333333333334,0.5496572852134705,0.9418604373931884,0.4682202984889348,0.16333333333333336,0.9016393423080444,0.028265520930290222,0.903703769048055,0.8279569745063782,0.9102784593900045,0.8702355225880941,0.8702355225880941,0.8999999761581421,0.894444485505422,0.9031697909037272,0.8989833394686381,0.9138947129249573,0.8766509294509888,0.9032257994016012,0.5658668776353201,0.902612308661143,0.375,0.02875600258509318,0.8640030225118002,0.9878048896789552,0.9333333770434061,0.9111111561457316,0.8886354168256124,0.8989833394686381,0.5189515650272369,0.6365786194801331,0.4252208669980367,0.5497996807098389,40.666666666666664,0.9068526228268942,0.6833536624908447,0.918274998664856,0.028009742498397827,0.42827539642651874,0.02853166436155637,0.8789602319399515,0.9102784593900045,0.9042264421780905,0.9068526228268942,0.9888888796170553,0.029227559144298237,0.012583929220285612,0.17874478988146386,0.01668016231913594,0.0008659921277712573,0.2951050781571543,0.13536205917755406,0.19469380329723535,0.2176773008829916,0.0032649854070343717,0.03312111367914933,0.0005864133752097716,0.04773516348912335,0.2106916134743276,0.0,0.28687651244627616,0.11015141094572205,0.028915329216904,0.0014216350325294352,0.027654038110299324,0.10369517256340065,0.010185473520267996,0.00488103745937064,0.00488103745937064,0.0,0.03888890147209553,0.04244488905035313,0.0011446136213973768,0.0005864133752097716,0.012583929220285612,0.056897890980574385,0.16359100365029253,0.04539757580183981,0.0,0.0008571013822751849,0.0032649854070343717,0.0,0.027279488030806934,0.053575854455023914,0.01668016231913594,0.0011446136213973768,0.19360464610233874,0.2930561210446505,0.21812133583423413,0.1912515598395491,1.5275252316519456,0.02052357610126431,0.12032414819808329,0.02737016518887169,0.001217816025018692,0.1527866680874991,0.0016777400658982925,0.03312111367914933,0.010185473520267996,0.0565931928927082,0.02052357610126431,0.01924502503227447,0.0008542630131473
